press,title,naver_news_text,naver_news_url,body
뉴스1,상법개정안본회의 통과에…-'지주사·금융株' 빛보나,네이버뉴스,https://n.news.naver.com/mnews/article/421/0008131421?sid=101,
뉴스1,상법 개정안통과에도 외국인 떠난다? 불확실성 여전,네이버뉴스,https://n.news.naver.com/mnews/article/421/0008131421?sid=101,
동아일보,‘순익 90% 배당’도 요구…상법개정땐 행동주의펀드 공격 세질듯,네이버뉴스,https://n.news.naver.com/mnews/article/020/0003621392?sid=101,
여성경제신문,"[K-밸류업] ⑬ ""상법은 갈등 증폭 수단 아냐""···극단적 주주이익 극대...",,,
여성경제신문,"경실련 ""'주주 충실 의무'상법개정 환영""",,,
아주경제,[주간증시전망] 엔비디아 AI 콘퍼런스·FOMC 회의 주목…상법 개정안통...,,,
서울파이낸스,"증권가,상법개정안통과 '환영'···""국내 증시 저평가 해소 기대""",,,
스카이데일리,[조맹기의 언론 톺아보기] 재허가 못받은 MBC의 발악 수준 편파 뉴스 가...,,,
뉴시스,이번주 국회에는 무슨 일이? [뉴시스국회토pic],네이버뉴스,https://n.news.naver.com/mnews/article/003/0013121132?sid=100,
노컷뉴스,尹탄핵 국면서 연금개혁 합의…추경도 물꼬 틀까,네이버뉴스,https://n.news.naver.com/mnews/article/079/0004002357?sid=100,
조선일보,巨野의 ‘인해전술’… 국회 안건 일방표결 117개 역대 최다,네이버뉴스,https://n.news.naver.com/mnews/article/023/0003893585?sid=100,
머니투데이,"석달 만에 100% 껑충 ""그런데 왜?""…물음표 붙은 코오롱 주가",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005166105?sid=101,
