press,title,naver_news_text,naver_news_url,body
조선일보,상법개정으로 사외이사 감독 강화한다지만...작년 안건 찬성률 99%,네이버뉴스,https://n.news.naver.com/mnews/article/023/0003918189?sid=101,
조선일보,"‘거수기’ 사외이사, 안건 찬성률 99.8%",네이버뉴스,https://n.news.naver.com/mnews/article/023/0003918189?sid=101,
헤럴드경제,대기업 사외이사는 고액 보수 ‘꼭두각시’…449명 중 단 3명만 반대표,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002502067?sid=101,
매일경제,"자기 목소리 없는 재벌 사외이사들…""경영진과 다른 의견 3명뿐""",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005527759?sid=101,
연합뉴스,"재벌 사외이사들, 목소리 없다?…끊임없는 '거수기 논란'",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015517363?sid=101,
머니투데이,상법개정 의결에 VIP운용-롯데렌탈 유증 갈등 주목…왜?,네이버뉴스,https://n.news.naver.com/mnews/article/008/0005224027?sid=101,
동아일보,[사설]“제조업 노화 심각”… 설상가상 ‘노봉법’-상법-법인세 몰아치...,네이버뉴스,https://n.news.naver.com/mnews/article/020/0003649166?sid=110,
한국일보,"상법·노란봉투법에 입 연 최태원...""친기업 정부라면 규제도 풀어 달라...",네이버뉴스,https://n.news.naver.com/mnews/article/469/0000877022?sid=102,
한국일보,"최태원 “전략없는 韓제조업의 잃어버린 10년, AI만이 유일한 희망”",네이버뉴스,https://n.news.naver.com/mnews/article/469/0000877022?sid=102,
동아일보,"최태원 ""韓 제조업, 中에 밀려 10년후 퇴출… AI만이 유일한 희망""",네이버뉴스,https://n.news.naver.com/mnews/article/020/0003649082?sid=101,
이투데이,"與,상법개정 후속안 '속도전'…자사주 소각 의무화·배임죄 완화 8월 ...",,,
머니투데이방송,"국내 증시, 추가 상승 동력은?…""美 관세 협상·상법개정 후속책 관건...",,,
글로벌이코노믹,성장 의지 속상법·노란봉투법·법인세…재계 하반기 험로 예고,,,
펜앤드마이크,"최태원 ""기업에 나쁜 것만 하진 않을 것""…현실은상법통과·노란봉투...",,,
헤럴드경제,최태원 “APEC 통해 관세문제 깨끗이 해결될 방안 나오길 기대” [대한상...,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002502097?sid=101,
헤럴드경제,최태원 “APEC 통해 관세 깨끗이 해결할 방안 나왔으면”,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002502097?sid=101,
노컷뉴스,"최태원 ""李대통령, 친기업정부 강조…RE100, 가격 맞으면 간다""",네이버뉴스,https://n.news.naver.com/mnews/article/079/0004046893?sid=101,
