press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,"""중대재해법 준비 시간 달라""…중소기업인, 광주 재집결",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012380152?sid=101,,뉴시스,"""중대재해법 준비 시간 달라""…중소기업인, 광주 재집결","호남권 중대재해처벌법 유예 촉구 결의대회 열어
호남권 30여개 중소기업단체 등 5000여명 현장에
""유예법안, 오는 29일 본회의서 꼭 통과시켜달라""
[수원=뉴시스] 고승민 기자 = 지난 14일 경기 수원시 수원메쎄에서 열린 50인 미만 사업장 중대재해처벌법 유예 촉구 결의대회에서 김기문 중소기업중앙회장이 발언하고 있다. 2024.02.19. kkssmm99@newsis.com
[서울=뉴시스]이수정 기자 = 중소기업인들이 지난달 27일부터 50인 미만 사업장에 확대 적용된 중대재해처벌법(중처법)을 유예해달라고 다시 호소했다. 이들은 중처법을 사전에 예방하기 위한 시간이 필요하다며, 안전관리자 교육 인원 등을 대폭 확대해줄 것을 요청했다.
중소건설단체와 중소기업단체협의회 등 협·단체는 19일 광주 김대중컨벤션센터에서 50인 미만 사업장 중대재해처벌법(중처법) 유예를 촉구하는 결의대회를 열었다. 현장에는 호남권 30여개 지방 중소기업단체 등 5000여명의 중소기업인들이 참여했다.
이들은 '준비기간 보장하라' 등의 구호를 외치며 중처법 유예를 호소했다.
강창선 한국정보통신공사협회장은 ""마음 같아서는 중처법을 없애달라 호소하고 싶지만, 법이 만들어진 이상 법을 잘 준수하기 위해 2년간 시간을 부여해 달라는 것""이라며 ""본인이 법 적용 대상에 해당하는지조차 알지 못하는 영세 사업장들이 대부분이다. 소규모 사업장에 대한 정부의 적극적 정책 지원이 필요하다""고 말했다.
강 회장은 ""지속되는 경기불황과 원자재 폭등으로 가만히 있어도 중소기업이 문을 닫고 있는 것이 현실""이라며 ""무리한 법 적용은 대한민국 경제를 무너뜨릴 위험이 있다""고도 덧붙였다.
고성수 성원엔지니어링 대표이사는 ""중처법은 재해 발생시 처벌을 강화하면 안전관리에 더욱 힘쓸 것이라는 엄벌주의식, 단순사고와 탁상행정이 만들어낸 악법 중 악법""이라며 ""진정으로 근로자 안전을 신경쓰는 사람은 국회의원이 아니라 우리 사업주""라고 강조했다.
고 대표는 안전관리자 교육 인원 확대 등을 요청했다. 그는 ""안전관리자 교육 인원을 대폭 늘리고 교육원도 울산과 서울 뿐만 아니라 전국 광역시로 확대해야 한다""며 ""중소건설업체가 어렵게 안전관리자를 양성해도 대형건설사로 이직하는 현실인 만큼 중소건설사가 양성한 안전관리자에 대해서는 일정한 수준의 국가 지원이 꼭 필요하다""고 말했다.
노정규 현대로오텍 대표도 ""(중처법은) 중소기업 대표에게는 안전사고가 나면 그동안 일궈온 모든 것을 안고 죽으라는 법률""이라며 ""가족과도 같은 그들을 위험에 내몰고 얻을 수 있는 것이 무엇이 있다고 근로자의 안전을 방치하겠나""라고 호소했다.
이달 말 열리는 국회 본회의에서 관련 법안을 통과시켜달라는 목소리도 이어졌다.
김기문 중소기업중앙회장은 ""산업안전보건법에도 의무조항과 처벌조항이 많은데, 굳이 중처법까지 만들어 이중삼중으로 처벌한다""며 ""중처법 입법과정에서도 중소기업 의견이 반영되지 않았는데, 이번만이라도 여기 모인 지역 중소기업인들의 목소리를 듣고 국회는 중처법 유예 법안을 오는 29일 본회의에서 꼭 통과시켜 달라""고 강조했다．",중대재해
뉴시스,이번엔 野 텃밭 광주서...‘중대재해법’ 유예 촉구 5000명 모였다,네이버뉴스,https://n.news.naver.com/mnews/article/003/0012380152?sid=101,,뉴시스,"""중대재해법 준비 시간 달라""…중소기업인, 광주 재집결","호남권 중대재해처벌법 유예 촉구 결의대회 열어
호남권 30여개 중소기업단체 등 5000여명 현장에
""유예법안, 오는 29일 본회의서 꼭 통과시켜달라""
[수원=뉴시스] 고승민 기자 = 지난 14일 경기 수원시 수원메쎄에서 열린 50인 미만 사업장 중대재해처벌법 유예 촉구 결의대회에서 김기문 중소기업중앙회장이 발언하고 있다. 2024.02.19. kkssmm99@newsis.com
[서울=뉴시스]이수정 기자 = 중소기업인들이 지난달 27일부터 50인 미만 사업장에 확대 적용된 중대재해처벌법(중처법)을 유예해달라고 다시 호소했다. 이들은 중처법을 사전에 예방하기 위한 시간이 필요하다며, 안전관리자 교육 인원 등을 대폭 확대해줄 것을 요청했다.
중소건설단체와 중소기업단체협의회 등 협·단체는 19일 광주 김대중컨벤션센터에서 50인 미만 사업장 중대재해처벌법(중처법) 유예를 촉구하는 결의대회를 열었다. 현장에는 호남권 30여개 지방 중소기업단체 등 5000여명의 중소기업인들이 참여했다.
이들은 '준비기간 보장하라' 등의 구호를 외치며 중처법 유예를 호소했다.
강창선 한국정보통신공사협회장은 ""마음 같아서는 중처법을 없애달라 호소하고 싶지만, 법이 만들어진 이상 법을 잘 준수하기 위해 2년간 시간을 부여해 달라는 것""이라며 ""본인이 법 적용 대상에 해당하는지조차 알지 못하는 영세 사업장들이 대부분이다. 소규모 사업장에 대한 정부의 적극적 정책 지원이 필요하다""고 말했다.
강 회장은 ""지속되는 경기불황과 원자재 폭등으로 가만히 있어도 중소기업이 문을 닫고 있는 것이 현실""이라며 ""무리한 법 적용은 대한민국 경제를 무너뜨릴 위험이 있다""고도 덧붙였다.
고성수 성원엔지니어링 대표이사는 ""중처법은 재해 발생시 처벌을 강화하면 안전관리에 더욱 힘쓸 것이라는 엄벌주의식, 단순사고와 탁상행정이 만들어낸 악법 중 악법""이라며 ""진정으로 근로자 안전을 신경쓰는 사람은 국회의원이 아니라 우리 사업주""라고 강조했다.
고 대표는 안전관리자 교육 인원 확대 등을 요청했다. 그는 ""안전관리자 교육 인원을 대폭 늘리고 교육원도 울산과 서울 뿐만 아니라 전국 광역시로 확대해야 한다""며 ""중소건설업체가 어렵게 안전관리자를 양성해도 대형건설사로 이직하는 현실인 만큼 중소건설사가 양성한 안전관리자에 대해서는 일정한 수준의 국가 지원이 꼭 필요하다""고 말했다.
노정규 현대로오텍 대표도 ""(중처법은) 중소기업 대표에게는 안전사고가 나면 그동안 일궈온 모든 것을 안고 죽으라는 법률""이라며 ""가족과도 같은 그들을 위험에 내몰고 얻을 수 있는 것이 무엇이 있다고 근로자의 안전을 방치하겠나""라고 호소했다.
이달 말 열리는 국회 본회의에서 관련 법안을 통과시켜달라는 목소리도 이어졌다.
김기문 중소기업중앙회장은 ""산업안전보건법에도 의무조항과 처벌조항이 많은데, 굳이 중처법까지 만들어 이중삼중으로 처벌한다""며 ""중처법 입법과정에서도 중소기업 의견이 반영되지 않았는데, 이번만이라도 여기 모인 지역 중소기업인들의 목소리를 듣고 국회는 중처법 유예 법안을 오는 29일 본회의에서 꼭 통과시켜 달라""고 강조했다．",중대재해
조선일보,"""중대재해법은 악법 중의 악법""…중소기업계, 광주서 결의대회",네이버뉴스,https://n.news.naver.com/mnews/article/023/0003817526?sid=101,,조선일보,이번엔 野 텃밭 광주서...‘중대재해법’ 유예 촉구 5000명 모였다,"호남권 30여개 지방 중소기업단체 및 중기인 모여
지난달 31일 국회 앞, 지난 14일 수도권 집회 이후 3번째 대규모 집회
19일 광주광역시 김대중컨벤션센터에서 열린 50인 미만 사업장 중대재해처벌법 유예를 촉구하는 결의대회에서 기업인과 소상공인들이 중대재해법 유예를 촉구하고 있다./중소기업중앙회
기업인 5000명이 중대재해처벌법 유예를 촉구하기 위해 또 모였다. 이번엔 중대재해법 유예 법안을 반대하고 있는 야당의 텃밭인 광주광역시에 5000명이 집결했다.
중소건설단체와 중소기업단체협의회 등은 19일 광주광역시 김대중컨벤션센터에서 50인 미만 사업장 중대재해처벌법 유예를 촉구하는 결의대회를 개최했다. 오는 29일 마지막 본회의에서 중대재해법 유예 법안을 처리해줄 것을 촉구하기 위해서다. 지난달 31일 3600여명이 모인 국회 앞 집회, 지난 14일 4000여명이 모인 수도권(수원) 집회에 이은 세 번째 대규모 집회다. 광주광역시에서 진행됐지만, 호남권 기업인 등 5000여명이 참석했다.
이 날 결의대회에 모인 참석자들은 ‘준비기간 보장하라’ 등 구호를 외치며, 무리한 법 시행으로 현장의 혼선을 주고 영세기업인을 예비 범법자로 만들지 말아달라는 절박함을 호소했다. 강창선 한국정보통신공사협회장은 “마음 같아서는 중대재해처벌법을 없애달라 호소하고 싶지만, 법이 만들어진 이상 이를 준비할 수 있는 시간만이라도 달라는 것”이라고 말했다.
한 중소건설업체 대표는 “사업주만 처벌하면 근로자가 더욱 안전해지는 것처럼 호도하며 사업주를 냉혈한으로 몰아가고 있다”며 ”영세 중소건설기업에서 안전관리자를 양성하려면 일정 수준의 지원과 시간이 필요하기에 중대재해법 유예는 선택이 아닌 필수”라고 말했다. 또다른 중소기업 대표는 “50인 미만 사업장 대상 정부 컨설팅도 작년에서야 지원이 시작됐고, 안전관리가 매우 전문적인 영역이라 기존 인력으로는 적기대응이 어렵고, 업종 이해도가 높은 전문인력은 오지 않는다”며 “기업 입장에서 너무 짧았던 준비기간을 좀 더 달라”고 호소했다.
19일 광주광역시 김대중컨벤션센터에서 열린 50인 미만 사업장 중대재해처벌법 유예를 촉구하는 결의대회에서 기업인과 소상공인들이 중대재해법 유예를 촉구하고 있다./중소기업중앙회
김기문 중소기업중앙회장은 “산업안전보건법에도 의무조항과 처벌조항이 많은데, 굳이 중대재해처벌법까지 만들어 이중삼중으로 처벌한다”며 “중대재해법 입법과정에서도 중소기업 의견이 반영되지 않았는데, 이번만이라도 여기 모인 지역 중소기업인들의 목소리를 듣고 국회는 중대재해처벌법 유예 법안을 오는 29일 본회의에서 꼭 통과시켜 줄 것”을 강조했다.",중대재해
한국경제,"""중대재해처벌법 유예촉구""…중소기업인들 호남권 결의대회",네이버뉴스,https://n.news.naver.com/mnews/article/015/0004950108?sid=101,,한국경제,"""중대재해법은 악법 중의 악법""…중소기업계, 광주서 결의대회","사진=중기중앙회 제공
중소기업계는 중대재해처벌법의 50인 미만 사업장 확대 시행 유예를 촉구하는 결의대회를 19일 광주 치평동 김대중컨벤션센터에서 개최했다.
결의대회에 참석한 김기문 중소기업중앙회장은 “산업안전보건법에도 (사업장 안전과 관련한) 의무·처벌조항이 많다”며 “중대재해처벌법은 (사고 발생시 중소기업을) 이중삼중으로 처벌한다”고 지적했다.
중소기업계 애로사항 발표자로 나선 고성수 성원엔지니어링 대표는 “중대재해처벌법은 탁상행정이 만들어낸 악법 중의 악법”이라며 “사업주만 처벌하면 근로자가 안전해지는 것처럼 호도하고 있다”고 비판했다.
중소기업계는 지난달 31일 서울 여의도 국회 기자회견에 이어 지난 14일 경기 수원에서 결의대회를 개최했다. 주최 단체들은 오는 29일 국회 본회의 전까지 전국을 순회하며 같은 취지의 행사를 열 예정이다.",중대재해
뉴시스,"중소기업계, 호남서 또 결의대회…""중처법 준비 기간 줘야""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012380707?sid=102,,뉴시스,"""중대재해처벌법 유예촉구""…중소기업인들 호남권 결의대회","[광주=뉴시스]호남권 중소건설·중소기업인들이 19일 광주 김대중컨벤션센터 1층 다목적홀에서 `중대재해처벌법 유예촉구 결의대회'를 개최했다.
[광주=뉴시스] 배상현 기자 = 호남권 중소건설·중소기업인들이 19일 광주 김대중컨벤션센터 1층 다목적홀에서 '중대재해처벌법 유예촉구 결의대회'를 개최했다.
결의대회에는 광주전남 중소기업협동조합, 중소기업단체협의회, 건설단체연합회 등 30여개 단체가 참여했다.
강창선 한국정보통신공사협회장은 이날 “마음 같아서는 중대재해처벌법을 없애달라고 호소하고 싶지만, 법이 만들어진 이상 이를 준수할 수 있는 시간만이라도 달라는 것”이라고 말했다.
현장 애로 발언을 한 중소건설업체 대표는 “사업주만 처벌하면 근로자가 더욱 안전해지는 것처럼 호도하며 사업주를 냉혈한으로 몰아가고 있다”며“영세 중소건설기업에서 안전관리자를 양성하려면 일정 수준의 지원과 시간이 필요하기에 중대재해처벌법 유예는 선택이 아닌 필수”라고 말했다.
다른 중소기업 대표는 “50인 미만 사업장 대상 정부 컨설팅도 작년에서야 지원이 시작됐고, 안전관리가 매우 전문적인 영역이라 기존 인력으로는 적기대응이 어렵고, 업종 이해도가 높은 전문인력은 오지 않는다”며 “기업 입장에서 너무 짧았던 준비기간을 좀 더 달라”고 호소했다.
김기문 중소기업중앙회장은 “산업안전보건법에도 의무조항과 처벌조항이 많은데, 굳이 중대재해처벌법까지 만들어 이중삼중으로 처벌한다”며 “중처법 입법과정에서도 중소기업 의견이 반영되지 않았는데 이번만이라도 여기 모인 지역 중소기업인들의 목소리를 듣고 국회는 중대재해처벌법 유예 법안을 오는 29일 본회의에서 꼭 통과시켜 줄 것”을 호소했다.
호남권 결의대회 참석에 앞서 김기문 회장과 단체장들은 국립 5·18민주묘지를 참배하고 경제발전에 근간이 된 민주화운동의 뜻을 기리는 시간을 가졌다．",중대재해
연합뉴스,"노동장관 ""중소기업중대재해예방을 위해 자원·역량 집중""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0014513546?sid=102,,연합뉴스,"노동장관 ""중소기업 중대재해 예방을 위해 자원·역량 집중""","중대재해 예방 지원 총력대응 결의대회
(서울=연합뉴스) 강민지 기자 = 19일 오후 서울 영등포구 안전보건공단 서울남부지사에서 열린 '중소기업 중대재해 예방지원 총력대응 결의대회'에서 이정식 고용노동부 장관과 참석자들이 구호를 외치고 있다. 2024.2.19 mjkang@yna.co.kr
(서울=연합뉴스) 고미혜 기자 = 이정식 고용노동부 장관은 19일 ""중소기업의 중대재해 예방을 위해 가용한 모든 자원과 역량을 집중할 것""이라고 약속했다.
이 장관은 이날 한국산업안전보건공단 서울남부지사에서 '중소기업 중대재해 예방지원 총력 대응 결의대회'를 열고 ""정부가 지금 할 수 있는 일은 현장의 혼란을 최소화하고 영세·중소기업의 어려움을 덜어드리는 것""이라며 이같이 말했다.
이 장관은 ""안전보건관리체계 확산은 중대재해 감축과 더불어 안전하고 건강한 좋은 일자리 확산의 지름길이 될 것""이라며 이를 위해 ""노동부와 공단이 최일선에서 전조직적 노력을 기울여야 한다""고 강조했다.
이날 결의대회는 지난달 27일 중대재해처벌법이 50인 미만 사업장으로 확대 적용되고, 이에 맞춰 전국 중소규모 사업장 83만7천 곳에 대한 산업안전 대진단이 이뤄지는 가운데 열렸다.
양 기관 간부와 전국 기관장들은 중소기업의 중대재해 예방을 위해 ▲ 산업안전 대진단의 성공적 완수 ▲ 자기규율 예방체계 구축·이행 지원 ▲ 안전문화·의식 확산 노력 등을 다짐하는 선언문을 발표했다.
mihye@yna.co.kr",중대재해
연합뉴스,"중소기업중대재해예방지원 총력 결의…""산재예방 모든 역량 집중""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0014513546?sid=102,,연합뉴스,"노동장관 ""중소기업 중대재해 예방을 위해 자원·역량 집중""","중대재해 예방 지원 총력대응 결의대회
(서울=연합뉴스) 강민지 기자 = 19일 오후 서울 영등포구 안전보건공단 서울남부지사에서 열린 '중소기업 중대재해 예방지원 총력대응 결의대회'에서 이정식 고용노동부 장관과 참석자들이 구호를 외치고 있다. 2024.2.19 mjkang@yna.co.kr
(서울=연합뉴스) 고미혜 기자 = 이정식 고용노동부 장관은 19일 ""중소기업의 중대재해 예방을 위해 가용한 모든 자원과 역량을 집중할 것""이라고 약속했다.
이 장관은 이날 한국산업안전보건공단 서울남부지사에서 '중소기업 중대재해 예방지원 총력 대응 결의대회'를 열고 ""정부가 지금 할 수 있는 일은 현장의 혼란을 최소화하고 영세·중소기업의 어려움을 덜어드리는 것""이라며 이같이 말했다.
이 장관은 ""안전보건관리체계 확산은 중대재해 감축과 더불어 안전하고 건강한 좋은 일자리 확산의 지름길이 될 것""이라며 이를 위해 ""노동부와 공단이 최일선에서 전조직적 노력을 기울여야 한다""고 강조했다.
이날 결의대회는 지난달 27일 중대재해처벌법이 50인 미만 사업장으로 확대 적용되고, 이에 맞춰 전국 중소규모 사업장 83만7천 곳에 대한 산업안전 대진단이 이뤄지는 가운데 열렸다.
양 기관 간부와 전국 기관장들은 중소기업의 중대재해 예방을 위해 ▲ 산업안전 대진단의 성공적 완수 ▲ 자기규율 예방체계 구축·이행 지원 ▲ 안전문화·의식 확산 노력 등을 다짐하는 선언문을 발표했다.
mihye@yna.co.kr",중대재해
뉴스1,"고용부-안전보건공단,중대재해예방 총력대응 결의",네이버뉴스,https://n.news.naver.com/mnews/article/421/0007359936?sid=101,,뉴스1,"중소기업 중대재해 예방지원 총력 결의…""산재예방 모든 역량 집중""","고용장관 ""산업안전대진단으로 지원 원하는 사업장에 즉각 대응""
ⓒ News1 장수영
(세종=뉴스1) 나혜윤 기자 = 고용노동부와 산업안전보건공단은 19일 '중소기업 중대재해 예방지원 총력대응 결의대회'를 갖고 중소기업의 산재예방 지원에 모든 자원 역량을 집중하기로 했다고 밝혔다.
이날 고용부 등은 안전보건공단 서울남부지사에서 결의대회를 개최하고 이같이 밝혔다.
이번 행사는 지난 1월 말 50인 미만 중소·영세 사업장에 중대재해처벌법이 확대 적용돼 중소기업의 재해예방 역량 향상에 대한 정부의 지원이 중요해진 상황에서, 중대재해 감축 로드맵 2년 차의 성과를 도출하기 위한 총력대응이 필요하다는 인식에 따라 개최됐다.
이정식 고용노동부 장관은 '산업안전대진단' 추진 현황 및 계획을 직접 점검하고 향후 효과적인 지원이 이루어질 수 있는 방안에 대해 모색하는 시간을 가졌다.
이날 참석자들은 '중소기업 중대재해 예방 지원 선언문'을 통해 중소기업의 중대재해 예방을 위해 △산업안전대진단의 성공적 완수 △자기규율 예방체계 구축·이행을 위한 지원 △안전문화·의식 확산 노력 등에 총력을 다하겠다는 대국민 약속도 발표했다.
이 장관은 ""정부가 지금 해야 하는 일은 현장의 혼란을 최소화하고, 영세·중소기업의 어려움을 덜어 드릴 수 있도록 가용한 모든 자원과 역량을 집중하는 것""이라며 ""'산업안전대진단'을 통해 지원을 원하는 사업장에는 즉시 대응하고, 안전보건공단 30개 일선기관의 상담 지원센터를 중심으로 찾아가는 현장 지도·안내에도 만전을 기해 달라""고 당부했다.",중대재해
이데일리,"고용장관 ""50인 미만중대재해법, 현장 혼란 최소화…역량 집중""",네이버뉴스,https://n.news.naver.com/mnews/article/018/0005676182?sid=102,,이데일리,"고용부-안전보건공단, 중대재해 예방 총력대응 결의","고용장관 ""현장 혼란 최소화에 모든 역량 집중""
[이데일리 서대웅 기자] 고용노동부와 안전보건공단은 19일 안전보건공단 서울남부지사에서 ‘중소기업 중대재해 예방지원 총력대응 결의대회’를 개최했다고 밝혔다.
이정식 고용노동부 장관이 19일 안전보건공단 서울남부지사에서 열린 ‘중소기업 중대재해 예방지원 총력대응 결의대회’에서 발언하고 있다.(사진=고용노동부)
이번 행사는 지난달 27일 50인 미만 중소·영세 사업장에 중대재해처벌법이 확대 적용된 가운데 중소기업의 재해예방 역량 향상에 대한 정부의 총력 지원이 필요하다는 인식에 따라 마련됐다. 이정식 고용부 장관과 안종주 안전보건공단 이사장을 비롯해 양기관 간부들과 전국 기관장들이 모두 참여했다.
이 장관은 “정부가 지금 해야 하는 일은 현장 혼란을 최소화하고, 영세·중소기업의 어려움을 덜어 드릴 수 있도록 가용한 모든 자원과 역량을 집중하는 것”이라며 “산업안전대진단을 통해 지원을 원하는 사업장에는 즉시 대응하고, 안전보건공단 30개 일선기관의 상담 지원센터를 중심으로 찾아가는 현장 지도·안내에도 만전을 기해달라”고 주문했다. 그러면서 “생명과 안전을 지킨다는 책임을 가지고, 산업안전대진단의 성공적인 완수와 산재예방사업의 과감한 혁신을 통한 성과 창출을 위해 최선의 노력을 다해달라”고 당부했다.
이날 참석자들은 중소기업 중대재해 예방 지원 선언문을 통해 중소기업의 중대재해 예방을 위해 △산업안전대진단의 성공적 완수 △자기규율 예방체계 구축·이행을 위한 지원 △안전문화·의식 확산 노력 등에 총력을 다할 것이라는 대국민 약속도 발표했다.",중대재해
뉴시스,"이정식 고용장관 “중소기업중대재해법 적용, 어려움 덜어드리겠다”",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012380402?sid=102,,뉴시스,"고용장관 ""50인 미만 중대재해법, 현장 혼란 최소화…역량 집중""","정부-공단, 中企 중대재해 예방지원 총력대응 결의대회
[서울=뉴시스] 고승민 기자 = 이정식 고용노동부 장관. (공동취재) 2024.02.06. photo@newsis.com
[서울=뉴시스] 강지은 기자 = 이정식 고용노동부 장관은 50인 미만 사업장에 중대재해처벌법이 확대 시행된 것과 관련해 ""현장의 혼란을 최소화하고, 가용한 모든 역량을 집중하는 것이 중요하다""고 19일 밝혔다.
이 장관은 이날 오후 서울 영등포구 안전보건공단 서울남부지사에서 정부와 공단이 공동 개최한 '중소기업 중대재해 예방지원 총력대응 결의대회'에서 인사말을 통해 이같이 말했다.
이번 행사는 지난달 27일부터 50인 미만 사업장에 대해서도 중대재해법이 적용돼 재해예방 역량 향상이 중요해진 상황에서 정부 지원 등 총력 대응이 필요하다는 인식에 따라 마련됐다.
이 자리에는 이 장관과 안종주 공단 이사장을 비롯해 양 기관의 전국 기관장들이 모두 참여했다. 고용부 관계자는 ""어려운 여건 속에서 중대재해 감축에 양 기관이 매진해야 한다는 의지를 드러낸 것""이라고 전했다.
이날 참석자들은 50인 미만 사업장들이 안전보건관리체계 구축을 자체적으로 진단하는 '산업안전대진단' 추진 현황과 계획을 공유했다.
또 '중소기업 중대재해 예방 지원 선언문'을 통해 ▲산업안전대진단의 성공적 완수 ▲자기규율 예방체계 구축과 이행을 위한 지원 ▲안전문화 의식 확산 노력 등에 총력을 기울이기로 했다.
이 장관은 ""정부가 지금 해야 하는 일은 현장의 혼란을 최소화하고, 영세 중소기업의 어려움을 덜어줄 수 있도록 가용한 모든 자원과 역량을 집중하는 것""이라며 ""산업안전대진단을 통해 지원을 원하는 사업장에 즉시 대응할 것""이라고 했다.
이어 참석자들에게 ""소중한 생명과 안전을 지킬 수 있다는 사명과 책임을 가지고, 산업안전대진단의 성공적 완수와 산재예방 사업의 과감한 혁신을 통해 성과 창출에 최선의 노력을 다해달라""고 당부했다．",중대재해
