press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
KBS,금리 인하기대감 상승에 뉴욕 주식 시장↑,네이버뉴스,https://n.news.naver.com/mnews/article/056/0012072799?sid=104,,KBS,금리 인하 기대감 상승에 뉴욕 주식 시장↑,"[앵커]
금리 인하 기대감이 커지면서 뉴욕 주식 시장이 연일 상승했습니다.
특히 새로운 인공지능, AI 모델을 내놓은 구글의 주가가  나스닥 시장을 이끌었습니다.
뉴욕 박일중 특파원입니다.
[리포트]
밤사이 뉴욕 주식 시장에서 나스닥 지수가 2% 이상 오르는 등 주요 주가지수가 일제히 상승했습니다.
주식 시장에 온기를 불어넣은 건 크리스토퍼 월러  미 연방준비제도 이사의 발언이었습니다.
월러 이사는 언론과의 인터뷰에서 노동 시장에 우려가 있다며 다음 달 금리 인하를 지지한다고 밝혔습니다.
[크리스토퍼 월러/미 연방준비제도 이사/폭스뉴스 인터뷰 : ""9월 고용 지표에도 불구하고 노동 시장은 여전히 약하고, 회복되고 있다는 증거가 없습니다. 그래서 다음 달 금리 인하를 지지합니다.""]
월러 이사는 제롬 파월 현 의장 후임으로 거론되는 인물 가운데 한 명입니다.
그의 발언 이후 금리 선물 시장에서의 다음 달 금리 인하 전망은 80% 안팎으로 높아졌습니다.
다만 1월부터는 금리 조정이 좀 더 어려워질 수 있다며 그때마다 지표를 살펴봐야 할 것이라고 덧붙였습니다.
인공지능, AI에 대한 기대감도 힘을 보탰습니다.
최근 새로 내놓은 AI 모델에 대한 호평이 이어지면서 구글의 모회사 알파벳의 주가가 6% 넘게 오르는 등 강세를 보였습니다.
반면 AI 칩 제조회사 엔비디아 주가 상승률은 나스닥 지수 상승률에 못 미쳤습니다.
또 2008년 금융위기를 예측해 유명해진 마이클 버리는 자신의 소셜미디어를 통해 AI 거품론을 다시 한번 주장했습니다.
아마존은 이날도 우리 돈으로 70조 원 넘는 AI 분야 투자 계획을 내놨습니다.
거품론에도 불구하고 해당 기업들의 투자는 식지 않는 모습입니다.
뉴욕에서 KBS 뉴스 박일중입니다.
촬영:서대영/영상편집:이재연/자료조사:최유나 주은서/영상출처:폭스뉴스
■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",금리인하
KBS,'구글+금리인하기대감' 뉴욕증시 일제히 반등[뉴욕 is],네이버뉴스,https://n.news.naver.com/mnews/article/056/0012072799?sid=104,,KBS,금리 인하 기대감 상승에 뉴욕 주식 시장↑,"[앵커]
금리 인하 기대감이 커지면서 뉴욕 주식 시장이 연일 상승했습니다.
특히 새로운 인공지능, AI 모델을 내놓은 구글의 주가가  나스닥 시장을 이끌었습니다.
뉴욕 박일중 특파원입니다.
[리포트]
밤사이 뉴욕 주식 시장에서 나스닥 지수가 2% 이상 오르는 등 주요 주가지수가 일제히 상승했습니다.
주식 시장에 온기를 불어넣은 건 크리스토퍼 월러  미 연방준비제도 이사의 발언이었습니다.
월러 이사는 언론과의 인터뷰에서 노동 시장에 우려가 있다며 다음 달 금리 인하를 지지한다고 밝혔습니다.
[크리스토퍼 월러/미 연방준비제도 이사/폭스뉴스 인터뷰 : ""9월 고용 지표에도 불구하고 노동 시장은 여전히 약하고, 회복되고 있다는 증거가 없습니다. 그래서 다음 달 금리 인하를 지지합니다.""]
월러 이사는 제롬 파월 현 의장 후임으로 거론되는 인물 가운데 한 명입니다.
그의 발언 이후 금리 선물 시장에서의 다음 달 금리 인하 전망은 80% 안팎으로 높아졌습니다.
다만 1월부터는 금리 조정이 좀 더 어려워질 수 있다며 그때마다 지표를 살펴봐야 할 것이라고 덧붙였습니다.
인공지능, AI에 대한 기대감도 힘을 보탰습니다.
최근 새로 내놓은 AI 모델에 대한 호평이 이어지면서 구글의 모회사 알파벳의 주가가 6% 넘게 오르는 등 강세를 보였습니다.
반면 AI 칩 제조회사 엔비디아 주가 상승률은 나스닥 지수 상승률에 못 미쳤습니다.
또 2008년 금융위기를 예측해 유명해진 마이클 버리는 자신의 소셜미디어를 통해 AI 거품론을 다시 한번 주장했습니다.
아마존은 이날도 우리 돈으로 70조 원 넘는 AI 분야 투자 계획을 내놨습니다.
거품론에도 불구하고 해당 기업들의 투자는 식지 않는 모습입니다.
뉴욕에서 KBS 뉴스 박일중입니다.
촬영:서대영/영상편집:이재연/자료조사:최유나 주은서/영상출처:폭스뉴스
■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",금리인하
머니투데이방송,금리 인하기대감 상승에 뉴욕 주식 시장↑,,,,,,,금리인하
KBS,금리 인하기대감 상승에 뉴욕 주식 시장↑,네이버뉴스,https://n.news.naver.com/mnews/article/056/0012073067?sid=104,,KBS,금리 인하 기대감 상승에 뉴욕 주식 시장↑,"[앵커]
금리 인하 기대감이 커지면서 뉴욕 주식 시장이 연일 상승했습니다.
특히 새로운 인공지능, AI 모델을 내놓은 구글의 주가가  나스닥 시장을 이끌었습니다.
뉴욕 박일중 특파원입니다.
[리포트]
밤사이 뉴욕 주식 시장에서 나스닥 지수가 2% 이상 오르는 등 주요 주가지수가 일제히 상승했습니다.
주식 시장에 온기를 불어넣은 건 크리스토퍼 월러  미 연방준비제도 이사의 발언이었습니다.
월러 이사는 언론과의 인터뷰에서 노동 시장에 우려가 있다며 다음 달 금리 인하를 지지한다고 밝혔습니다.
[크리스토퍼 월러/미 연방준비제도 이사/폭스뉴스 인터뷰 : ""9월 고용 지표에도 불구하고 노동 시장은 여전히 약하고, 회복되고 있다는 증거가 없습니다. 그래서 다음 달 금리 인하를 지지합니다.""]
월러 이사는 제롬 파월 현 의장 후임으로 거론되는 인물 가운데 한 명입니다.
그의 발언 이후 금리 선물 시장에서의 다음 달 금리 인하 전망은 80% 안팎으로 높아졌습니다.
다만 1월부터는 금리 조정이 좀 더 어려워질 수 있다며 그때마다 지표를 살펴봐야 할 것이라고 덧붙였습니다.
인공지능, AI에 대한 기대감도 힘을 보탰습니다.
최근 새로 내놓은 AI 모델에 대한 호평이 이어지면서 구글의 모회사 알파벳의 주가가 6% 넘게 오르는 등 강세를 보였습니다.
반면 AI 칩 제조회사 엔비디아 주가 상승률은 나스닥 지수 상승률에 못 미쳤습니다.
또 2008년 금융위기를 예측해 유명해진 마이클 버리는 자신의 소셜미디어를 통해 AI 거품론을 다시 한번 주장했습니다.
아마존은 이날도 우리 돈으로 70조 원 넘는 AI 분야 투자 계획을 내놨습니다.
거품론에도 불구하고 해당 기업들의 투자는 식지 않는 모습입니다.
뉴욕에서 KBS 뉴스 박일중입니다.
촬영:서대영/영상편집:이재연/자료조사:최유나 주은서/영상출처:폭스뉴스
■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",금리인하
KBS,금리 인하기대감 상승에 뉴욕 주식 시장↑,네이버뉴스,https://n.news.naver.com/mnews/article/056/0012072968?sid=104,,KBS,금리 인하 기대감 상승에 뉴욕 주식 시장↑,"[앵커]
금리 인하 기대감이 커지면서 뉴욕 주식 시장이 연일 상승했습니다.
특히 새로운 인공지능, AI 모델을 내놓은 구글의 주가가  나스닥 시장을 이끌었습니다.
뉴욕 박일중 특파원입니다.
[리포트]
밤사이 뉴욕 주식 시장에서 나스닥 지수가 2% 이상 오르는 등 주요 주가지수가 일제히 상승했습니다.
주식 시장에 온기를 불어넣은 건 크리스토퍼 월러  미 연방준비제도 이사의 발언이었습니다.
월러 이사는 언론과의 인터뷰에서 노동 시장에 우려가 있다며 다음 달 금리 인하를 지지한다고 밝혔습니다.
[크리스토퍼 월러/미 연방준비제도 이사/폭스뉴스 인터뷰 : ""9월 고용 지표에도 불구하고 노동 시장은 여전히 약하고, 회복되고 있다는 증거가 없습니다. 그래서 다음 달 금리 인하를 지지합니다.""]
월러 이사는 제롬 파월 현 의장 후임으로 거론되는 인물 가운데 한 명입니다.
그의 발언 이후 금리 선물 시장에서의 다음 달 금리 인하 전망은 80% 안팎으로 높아졌습니다.
다만 1월부터는 금리 조정이 좀 더 어려워질 수 있다며 그때마다 지표를 살펴봐야 할 것이라고 덧붙였습니다.
인공지능, AI에 대한 기대감도 힘을 보탰습니다.
최근 새로 내놓은 AI 모델에 대한 호평이 이어지면서 구글의 모회사 알파벳의 주가가 6% 넘게 오르는 등 강세를 보였습니다.
반면 AI 칩 제조회사 엔비디아 주가 상승률은 나스닥 지수 상승률에 못 미쳤습니다.
또 2008년 금융위기를 예측해 유명해진 마이클 버리는 자신의 소셜미디어를 통해 AI 거품론을 다시 한번 주장했습니다.
아마존은 이날도 우리 돈으로 70조 원 넘는 AI 분야 투자 계획을 내놨습니다.
거품론에도 불구하고 해당 기업들의 투자는 식지 않는 모습입니다.
뉴욕에서 KBS 뉴스 박일중입니다.
촬영:서대영/영상편집:이재연/자료조사:최유나 주은서/영상출처:폭스뉴스
■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",금리인하
한국경제,"파월과 이견 없는 샌프란 연은 총재 ""12월금리 인하지지"" [Fed워치]",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005215557?sid=104,,한국경제,"파월과 이견 없는 샌프란 연은 총재 ""12월 금리 인하 지지"" [Fed워치]","""현재 미국 노동시장 충분히 취약""
""지금 내렸다고 내년에 못 올린다는 법 없어""
미국 중앙은행(Fed) 내부에서 공개적 입장 차이를 거의 보이지 않던 메리 데일리 샌프란시스코 연방준비은행 총재가 오는 12월 기준금리 인하를 지지하며 취약해진 노동시장 위험을 경고하고 나섰다. Fed 내 중도·온건 성향의 핵심 인사가 선제적 인하를 주장하고 나서면서, 다음 달 FOMC의 금리 결정에 적지 않은 영향을 미칠 전망이다.
데일리 총재는 24일(현지시간) 월스트리트저널(WSJ)과의 인터뷰에서 “노동시장 상황에 대해 우리가 선제적으로 대응할 수 있다는 확신이 크지 않다”며 “현재 노동시장은 충분히 취약해 갑작스럽고 비선형적으로 악화할 위험이 존재한다”고 밝혔다. 반면 올해 초 우려됐던 관세 발(發) 물가 상승은 예상보다 약해 인플레이션 재급등 가능성은 낮아졌다고 진단했다.
데일리 총재는 올해 FOMC 투표권은 없지만, 파월 의장과 정책 노선이 거의 같았던 인사로 꼽힌다. 그가 공개적으로 차별화된 의견을 내놓은 것은 매우 이례적이다.
Fed 내부에선 다음 달 12월 9~10일 FOMC 회의에서는 금리를 추가 인하할지, 동결하고 지표를 더 지켜볼지 의견이 갈린 상태다.
데일리 연은 총재는 Fed가 목표하는 2% 인플레이션 복귀가 실업률 상승 없이도 가능하다고 보며, 이 과정에서 불필요한 실업 증가가 발생한다면 “그것이야말로 정책 실패”라고 강조했다.
그는 최근 미국 경제가 ‘저고용·저해고’ 균형을 유지해 왔지만, 이 균형이 부정적 방향으로 무너질 위험이 커지고 있다고 우려했다. 데일리 총재는 “기업이 ‘생산 증가가 예상보다 약하다’고 판단해 고용 축소나 추가 해고에 나서면, 노동시장은 매우 취약한 상황에 놓이게 된다”고 우려했다.
Fed는 최근 두 차례 회의에서 기준금리를 인하해 정책금리를 연 3.75~4.00%로 낮춘 상태다. 노동시장 둔화를 미리 방어한다는 취지였다. 하지만 일부 위원들은 관세 부과 상품의 물가 압력, 미국 국내 서비스 물가 강세를 근거로 물가가 다시 고착화될 위험을 지적하며 추가 인하에 반대하고 있다.
최근 시장에서 12월 금리 인하 확률은 최근 며칠 새 급등했다. 일주일 전까지만 해도 42.4%였던 0.25% 인하 확률은 이날 84.4%까지 올랐다. 존 윌리엄스 뉴욕 연은 총재 또한 지난주
“단기적으로 금리 인하 여지가 있다”고 밝혔다. 그는 “노동시장에 불필요한 위험을 주지 않는 것이 인플레 목표 달성만큼 중요하다”고 강조했다.
데일리 총재는 일부에서 제기하는 “지금 인하하면 내년에 금리를 다시 올리기 어려워진다”는 주장에 선을 그었다. 그는 “내년에 우리의 손이 묶여 있다고 가정해서는 안 된다. 경제가 더 약해지면 추가 인하도 가능하고, 필요하면 다시 인상도 해야 한다”고 강조했다.
데일리 총재는 Fed 내부의 이견이 확대되는 점에 대해 “지금의 불확실성을 감안하면 의견 차이는 자연스럽고 건강한 것”이라고 평가했다. 또한 “지금 모두가 같은 의견이라면, 오히려 집단사고에 빠진 것일 것이다. 우리의 임무는 ‘합의 유지’가 아니라 ‘올바른 판단’이다”고 말했다.
그는“나는 금리를 내리는 데 따르는 위험을 상대적으로 낮게 본다”며 “반대로 금리를 내리지 않는 위험은 더 높다고 본다”고 밝혔다.
뉴욕=박신영 특파원 nyusos@hankyung.com",금리인하
한국경제,12월 FOMC금리인하기대 폭발…격론 끝에 비둘기파 결집,네이버뉴스,https://n.news.naver.com/mnews/article/015/0005215557?sid=104,,한국경제,"파월과 이견 없는 샌프란 연은 총재 ""12월 금리 인하 지지"" [Fed워치]","""현재 미국 노동시장 충분히 취약""
""지금 내렸다고 내년에 못 올린다는 법 없어""
미국 중앙은행(Fed) 내부에서 공개적 입장 차이를 거의 보이지 않던 메리 데일리 샌프란시스코 연방준비은행 총재가 오는 12월 기준금리 인하를 지지하며 취약해진 노동시장 위험을 경고하고 나섰다. Fed 내 중도·온건 성향의 핵심 인사가 선제적 인하를 주장하고 나서면서, 다음 달 FOMC의 금리 결정에 적지 않은 영향을 미칠 전망이다.
데일리 총재는 24일(현지시간) 월스트리트저널(WSJ)과의 인터뷰에서 “노동시장 상황에 대해 우리가 선제적으로 대응할 수 있다는 확신이 크지 않다”며 “현재 노동시장은 충분히 취약해 갑작스럽고 비선형적으로 악화할 위험이 존재한다”고 밝혔다. 반면 올해 초 우려됐던 관세 발(發) 물가 상승은 예상보다 약해 인플레이션 재급등 가능성은 낮아졌다고 진단했다.
데일리 총재는 올해 FOMC 투표권은 없지만, 파월 의장과 정책 노선이 거의 같았던 인사로 꼽힌다. 그가 공개적으로 차별화된 의견을 내놓은 것은 매우 이례적이다.
Fed 내부에선 다음 달 12월 9~10일 FOMC 회의에서는 금리를 추가 인하할지, 동결하고 지표를 더 지켜볼지 의견이 갈린 상태다.
데일리 연은 총재는 Fed가 목표하는 2% 인플레이션 복귀가 실업률 상승 없이도 가능하다고 보며, 이 과정에서 불필요한 실업 증가가 발생한다면 “그것이야말로 정책 실패”라고 강조했다.
그는 최근 미국 경제가 ‘저고용·저해고’ 균형을 유지해 왔지만, 이 균형이 부정적 방향으로 무너질 위험이 커지고 있다고 우려했다. 데일리 총재는 “기업이 ‘생산 증가가 예상보다 약하다’고 판단해 고용 축소나 추가 해고에 나서면, 노동시장은 매우 취약한 상황에 놓이게 된다”고 우려했다.
Fed는 최근 두 차례 회의에서 기준금리를 인하해 정책금리를 연 3.75~4.00%로 낮춘 상태다. 노동시장 둔화를 미리 방어한다는 취지였다. 하지만 일부 위원들은 관세 부과 상품의 물가 압력, 미국 국내 서비스 물가 강세를 근거로 물가가 다시 고착화될 위험을 지적하며 추가 인하에 반대하고 있다.
최근 시장에서 12월 금리 인하 확률은 최근 며칠 새 급등했다. 일주일 전까지만 해도 42.4%였던 0.25% 인하 확률은 이날 84.4%까지 올랐다. 존 윌리엄스 뉴욕 연은 총재 또한 지난주
“단기적으로 금리 인하 여지가 있다”고 밝혔다. 그는 “노동시장에 불필요한 위험을 주지 않는 것이 인플레 목표 달성만큼 중요하다”고 강조했다.
데일리 총재는 일부에서 제기하는 “지금 인하하면 내년에 금리를 다시 올리기 어려워진다”는 주장에 선을 그었다. 그는 “내년에 우리의 손이 묶여 있다고 가정해서는 안 된다. 경제가 더 약해지면 추가 인하도 가능하고, 필요하면 다시 인상도 해야 한다”고 강조했다.
데일리 총재는 Fed 내부의 이견이 확대되는 점에 대해 “지금의 불확실성을 감안하면 의견 차이는 자연스럽고 건강한 것”이라고 평가했다. 또한 “지금 모두가 같은 의견이라면, 오히려 집단사고에 빠진 것일 것이다. 우리의 임무는 ‘합의 유지’가 아니라 ‘올바른 판단’이다”고 말했다.
그는“나는 금리를 내리는 데 따르는 위험을 상대적으로 낮게 본다”며 “반대로 금리를 내리지 않는 위험은 더 높다고 본다”고 밝혔다.
뉴욕=박신영 특파원 nyusos@hankyung.com",금리인하
뉴스1,"미 샌프란시스코 연준 총재,금리 인하지지",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008623739?sid=101,,뉴스1,12월 FOMC 금리인하 기대 폭발…격론 끝에 비둘기파 결집,"당연직 부의장인 뉴욕 연은 총재 이어 SF 연은 총재까지 인하 합류
파월 의장, 분열된 FOMC 설득할 확고한 동력·명분 확보
제롬 파월 미국 연방준비제도(Fed, 연준) 의장/ 2025.09.17. ⓒ 로이터=뉴스1
(서울=뉴스1) 신기림 기자 = 미국 중앙은행 연방준비제도(연준)가 다음달 기준금리를 인하할지 동결할지를 놓고 격렬한 의견 대립 속에서 인하의 물꼬가 트였다.
24일(현지시간) CME 페드워치툴에 따르면 금리 선물 시장에 반영된 12월 금리인하 확률은 81%로 하루 전의 71%, 일주일 전의 42%에서 크게 올라섰다.
금리결정기구인 연방공개시장위원회(FOMC)의 당연직 부의장인 존 윌리엄스 뉴욕 연방준비은행(연은) 총재에 이어 샌프란시스코 연은의 메리 데일리 총재까지 금리 인하파에 합류한 영향이다.
제롬 파월 의장이 공개적으로 인하를 지지한 것은 아니지만 이견이 팽팽한 FOMC 내부에서 동결을 원하는 반대파의 이견을 해소하고 인하를 관철할 확실한 추진력을 얻은 것으로 분석된다.
셧다운發 데이터 공백 속 '이례적 분열'
최근 한 달 연준 위원들 사이에서는 미국 경제의 향방과 적절한 금리 수준을 두고 공개적으로 의견 대립이 첨예하다.
고용 성장 위험과 고착화된 인플레이션 위험을 어떻게 관리할지를 놓고 의견이 분열됐다. 또 연준의 예측을 조정하고 이견을 해소하는 데 필수적인 경제 데이터가 셧다운으로 사실상 공백인 상황에서 정책 결정을 내려야 한다. 역대 최장 43일의 셧다운으로 두 달 치의 고용 및 인플레이션 수치 발표가 지연됐다.
월스트리트저널(WSJ)이 최근 FOMC 위원들의 공개 발언을 통해 집계한 정책 선호도를 보면 FOMC 전체 19명 중에서 동결 9명, 인하 6명, 불분명 4명이다. 투표권이 있는 12명만 보면 동결 5명, 인하 4명, 불분명 3명이다.
연준의 결정은 의장에 주도되지만 대통령이 임명한 7명의 연준 이사 전원, 뉴욕 연은 총재, 그리고 11개 지역 연은 총재 중 순번에 따라 투표하는 4명을 포함한 총 12명의 승인을 받아야 한다.
공개적인 논쟁으로 인해 경제 전문가들과 시장 참여자들은 오는 12월 9~10일 FOMC 회의에서 인하에 대한 충분한 지지 기반이 없어 동결할 가능성을 높여 잡았다. 하지만 며칠 사이에 인하 확률이 대폭 높아졌다.
존 윌리엄스 뉴욕 연은 총재. ⓒ 로이터=뉴스1
윌리엄스 ""추가 인하 여지 있다""…시장 기대 급등의 결정타
인하 기대를 끌어올린 결정타는 윌리엄스 뉴욕 연은 총재가 제공했다. 지난 21일 윌리엄스 총재는 기준 금리를 성장을 촉진하지도 둔화시키지도 않는 중립 수준으로 끌어 내리기 위해 ""단기적으로 또 한 번의 추가 인하할 여지가 여전하다(see room for a further adjustment in the near term)""고 밝혔다.
고용이 예상보다 약해 위험이 증가한 반면 인플레이션이 예상보다 가파를 위험은 다소 낮아졌다고 판단하기 때문이라고 그는 설명했다.
윌리엄스 총재가 매우 신중하게 단어를 선택한다는 점을 감안하면 12월 인하로 확실하게 기울었다는 의미로 해석됐다. CME페드워치툴에 따르면 선물시장에 반영된 인하 확률은 윌리엄스 총재 발언 이전 약 40%에서 그의 발언 직후 70% 이상으로 급등했다.
특히 윌리엄스 총재는 파월 의장과 정책적으로 긴밀하게 협력하는 주요 인사로 그의 발언은 곧 파월 의장의 정책 방향에 대한 강력한 신호로 해석된다.
뱅가드의 조쉬 허트 선임 이코노미스트는 마켓워치에 파월 의장의 가장 가까운 동맹인 윌리엄스 뉴욕 연은 총재의 인하 발언으로 연준 내 가장 영향력 있는 관료들이 모두 추가 인하를 지지한다고 말했다.
그는 ""파월 의장, 윌리엄스 뉴욕 연은 총재, 크리스토퍼 월러 이사까지 세 명이 인하를 지지하는 강력한 그룹을 형성했다""고 평가했다. 연준 내에서 가장 강력한 영향력이 있는 3명이 모두 한 방향으로 의견을 모은다면 전체 투표 결과를 결정지을 만큼 큰 무게가 기울어지는 것이다.
트럼프 최측근인 스티븐 마이런 이사 역시 21일 블룸버그 TV에서 자신의 ""한 표가 결정적인 상황(the marginal vote)""이라면 더 큰 폭의 인하를 주장하며 반대표를 던지는 대신 0.25%p 인하에 찬성하며 다수결에 동참할 것이라고 시사했다.
샌프란시스코 연은의 메리 데일리 총재 ⓒ 로이터=뉴스1
샌프란시스코 연은 총재 합류에 인하 분위기 확정
게다가 샌프란시스코 연은의 메리 데일리 총재까지 금리인하를 강력하게 표명하며 12월 인하를 거스르기 힘든 강력한 분위기가 형성됐다.
데일리 총재는 24일 WSJ과 인터뷰에서 노동 약화를 근거로 다음달 금리인하를 지지한다고 밝혔다. 그는 노동 시장에 대해 ""우리가 앞서 나갈 수 있다고 확신하지 않는다""고 말했다. 올해 9월과 10월 금리를 연속 내렸던 연준이 12월 갑자기 금리를 동결할 만큼 노동시장이 견고하다고 볼 수 없다는 얘기다.
데일리 총재는 나중에 방향을 되돌릴 위험 때문에 지금 금리인하를 미뤄서는 안된다고 지적했다. 또 연준 위원들 사이 이례적 수준으로 의견차가 심한 것은 기능 장애가 아니라 진정한 불확실성을 반영하는 것이며 이는 건전한 신호일 수 있다고 그는 해석했다. 데일리 총재는 ""지금 모두가 동의하고 있다면 (연준이) 집단사고에 빠졌을 것""이라고 말했다.
데일리 총재는 올해 FOMC 회의에서 투표권이 없지만, 평소 파월 의장과 공개적으로 다른 입장을 취하는 경우가 드물었기 때문에 데일리 총재의 이번 발언은 12월 금리 결정을 대변할 수 있다고 WSJ은 평가했다.
데일리 총재는 이른바 '파월 그룹'의 정책 의도를 간접적으로 확인시켜 주는 역할을 한다는 점에서 파월 의중을 반영한다고 볼 수 있다. 파월 의장이 인하 결정을 내릴 경우 FOMC 내부의 비판이나 반발을 최소화할 버팀목과 명분을 얻었다고 해석된다.",금리인하
뉴시스,"데일리 美샌프란 연은총재 ""노동시장 취약 경고""…금리인하기대 '재점...",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013619422?sid=104,,뉴시스,"미 샌프란시스코 연준 총재, 금리 인하 지지","""고용 상황 급격히 악화할 가능성 크다""
""관세 따른 인플레 압력 예상보다 진정""
""금리 인하 따른 위험보다 유지 위험이 더 커""
[서울=뉴시스]메리 데일리 미국 샌프란시스코 연방준비은행 총재. (출처=샌프란시스코 연방준비은행 홈페이지) 2025.11.25. *재판매 및 DB 금지
[서울=뉴시스] 강영진 기자 = 메리 데일리 미 샌프란시스코 연방준비은행 총재가 다음달 연방준비제도이사회(Fed)가 금리를 인하해야 한다고 밝힌 것으로 미 월스트리트저널(WSJ)이 24일(현지시각) 보도했다.
WSJ는 제롬 파월 Fed 총재와 다른 의견을 낸 적이 거의 없는 데일리 샌프란시스코 총재의 금리 인하 지지 발언으로 Fed가 다음달 금리를 내릴 가능성이 커졌다고 지적했다.
데일리 총재는 이날 WSJ와 인터뷰에서 갑작스러운 고용시장 악화 가능성이 높고 인플레이션 억제보다 관리하기 어렵다는 이유로 금리 인하를 지지한다고 밝혔다.
그는 “고용시장에 관해 우리가 선제적으로 대응할 수 있다고 자신하지 못한다”면서 “지금 고용시장이 매우 취약해 비선형적인 변화가 일어날 위험이 있다”고 말했다.
데일리는 반면 인플레이션 급등 위험이 낮은 편이라면서 올해 초 예상했던 것보다 관세로 인한 비용 상승이 진정됐다고 지적했다.
데일리는 통화정책 결정에 투표권은 없으나 파월 Fed 의장과 의견이 어긋나는 공개 발언을 거의 한 적이 없다는 점에서 주목된다.
그는 경제가 한동안 “낮은 고용·낮은 해고”의 균형 상태를 유지해 왔으나 균형이 깨질 위험이 크다고 본다.
그는 “해고가 늘어나거나 기업들이 ‘생산이 계획만큼 늘지 않아 고용을 줄이겠다’고 말하기 시작하면 매우 취약해질 것”이라고 말했다.
Fed는 다음달 회의에서 3%에 달하는 물가와 고용 악화 사이에서 어느 쪽이 더 심각한 지를 판단해야 한다.
CME 그룹에 따르면, 시장은 이날 Fed가 금리를 내릴 가능성을 높게 보고 있다.
다음달 Fed의 금리 인하 가능성 전망치는 이달 초 50% 이하에 머물렀으나 지난주 존 윌리엄스 뉴욕 연준 총재가 “단기적으로 금리를 내릴 여지가 있다”고 발언하면서 다시 상승했다.
그는 노동시장에 “불필요한 위험을 주지 않는 것”이 인플레이션 안정만큼 중요하다고 말했다.
그러나 금리 인하에 반대하는 Fed 당국자들이 늘어나고 있다.
당국자들은 관세 영향을 받는 상품들의 가격이 높으며 앞으로 더 오를 가능성이 있는 것으로 본다. 또 서비스 부문 물가 압력이 확산되는 조짐도 있다고 지적한다.
이들은 금리를 지나치게 빠르게 내리면 내년 경제가 다시 과열될 때 Fed가 곤란한 상황에 처할 것을 우려한다.
이와 관련 데일리는 Fed가 내년 경제 상황에 맞춰 정책을 되돌릴 가능성을 걱정해 지금 금리 인하를 미뤄서는 안 된다고 강조했다.
데일리는 다음 달 금리를 인하할지 동결할지는 “움직이지 않았을 때의 위험이 무엇인지, 움직였을 때의 위험이 무엇인지에 대한 판단이 필요한 문제”라고 밝혔다.
그는 이어 “나는 금리를 내리는 데 따른 위험을 다른 사람들보다 조금 낮게 보며 금리를 내리지 않았을 때의 위험은 다른 사람들보다 조금 더 높게 본다”고 강조했다.",금리인하
한국경제TV,"데일리 美샌프란 연은총재 ""노동시장 취약""…12월금리인하지지",네이버뉴스,https://n.news.naver.com/mnews/article/215/0001232114?sid=104,,한국경제TV,"데일리 美샌프란 연은총재 ""노동시장 취약 경고""…금리인하 기대 '재점화'","메리 데일리 미국 샌프란시스코 연방준비은행(연은) 총재가 고용시장 약화를 우려해 12월 기준금리 인하를 찬성하는 입장을 보였다.
데일리 총재는 24일(현지시간) 월스트리트저널(WSJ) 인터뷰에서 ""노동시장을 볼 때 우리가 이를 해낼 것이란 확신이 들지 않는다""라며 ""노동시장이 현재 충분히 취약해진 상황이어서 갑작스러운 악화""를 겪을 수 있다""고 밝혔다.
인플레이션과 관련해서는 도널드 트럼프 미 행정부의 관세 정책으로 인한 비용 증가가 올해 초 예상했던 것보다 완화된 점을 고려할 때 노동시장과 비교해 위험도가 낮아 보인다고 분석했다.
데일리 총재는 올해와 내년 연방공개시장위원회(FOMC)에서 투표권을 행사하지 않는다. 12월 9~10일 연방준비제도(Fed·연준)의 FOMC 회의를 앞두고 여전히 금리 동결을 지지하는 위원과 금리 인하를 지지하는 위원 간 의견이 엇갈리는 분위기다.
시장에서는 FOMC 정례회의에서 Fed가 현재 연 3.75~4.0%인 기준금리를 0.25%포인트 인하 가능성을 21일 71.0%에서 이날 80.9%로 반영 중이다. 반면 금리 동결 확률은 60.9%에서 29.0%로 낮아졌다.
차기 미국 Fed 의장 유력 후보로 꼽히는 크리스토퍼 월러 Fed 이사는 최근 12월 기준금리 인하를 지지한다는 입장을 내비쳤다. 월러 이사는 이날 폭스비즈니스 네트워크 인터뷰에서 ""우리의 이중 책무 측면에서 가장 큰 우려는 노동시장""이라며 ""다음 회의에서 금리를 인하해야 한다고 주장하고 있다""고 전했다.
(사진=연합뉴스)",금리인하
