press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
이데일리,"해소되지 않는 대구 미분양…신세계건설,신용등급강등되나",네이버뉴스,https://n.news.naver.com/mnews/article/018/0005629934?sid=101,,이데일리,"해소되지 않는 대구 미분양…신세계건설, 신용등급 강등되나","“대구 분양 부진…내년 비슷한 흐름”
미분양사업장 신용등급 하향 요인
올해 회사채 금리 6.44%로 껑충
이 기사는 2023년11월30일 15시16분에
마켓인 프리미엄 콘텐츠
로 선공개 되었습니다.
신세계건설이 대구 현장 미분양 장기화 등으로 신용등급 하방 압력을 받고 있다. 사진은 대구 칠성동 주상복합 빌리브 루센트(왼쪽)와 대구 본동3 주상복합 빌리브 라디체.(사진=신세계건설)
[이데일리 김형일 기자] 신세계건설(034300)이 신용등급 하방 압력을 받고 있다. 대구 현장 미분양 장기화 등으로 부정적 전망이 나온 가운데 내년 미분양 물량 해소가 요원해서다. 신세계건설은 대구를 중심으로 주요 사업을 진행하고 있다.
30일 투자은행(IB) 업계에 따르면 신세계건설의 주요 미분양 사업장은 대구 수성4가 공동주택, 대구 칠성동 주상복합, 대구 본동3 주상복합, 부산 명지지구 아파텔, 서울 연신내 오피스텔 개발사업이다. 특히 올해 3분기 평균 분양률은 대구가 22.4%로 부산 47.4%, 서울 27.7% 대비 부진했으며 이에 따라 신세계건설은 대구에 451억원, 부산에 24억원의 충당금을 쌓았다.
그러나 내년에도 대구 분양시장 전망은 밝지 않다. 신용평가사 관계자는 “전체적으로 분양 실적이 올라오고 있지만, 올 2분기 대구는 22%의 초기 분양률을 기록하는 등 부진한 것으로 파악된다”고 말했다. 이어 “대구는 최근 신규 분양이 없는 상황”이라며 “내년에도 비슷한 흐름을 보일 것”이라고 덧붙였다.
한국기업평가와 한국신용평가는 지난 16일 신세계건설 신용등급 전망을 ‘A·안정적’에서 ‘A·부정적’으로 변경했다. 이유로는 ▲민간 건축 사업 분양 실적 부진에 따른 사업변동성 증가 ▲공사 원가 상승 및 미분양사업장 관련 손실로 영업 적자 지속 ▲추가 대손 인식 가능성 고려 시 재무구조 개선 상당 시일 소요 등을 들었다.
신용등급 하향은 회사채 발행금리 상승, 이자 부담 증가로 이어진다. 신세계건설은 작년 1540억원 규모의 신종자본증권과 후순위채를 평균 4.18% 금리로 발행했다. 하지만 올해는 고금리 환경에 따라 3100억원 규모의 회사채를 평균 6.44% 금리로 조달했다.
신세계건설은 여타 건설사와 마찬가지로 미분양에 따른 대손충당금을 적립하고 있으며 원자재 가격 상승에 따라 공사비가 늘고 있다. 신세계건설 원자재 가격은 레미콘(M3당)이 작년 3분기 8만300원에서 올해 3분기 8만8700원으로 상승했으며 같은 기간 시멘트(백당)는  5100원에서 5500원으로 올랐다. 이에 따라 영업순이익은 연결기준 작년 3분기 137억원 흑자를 기록했으나 올 3분기 903억원 손실로 적자 전환했다.
다만 민간공사 매출 비중이 60~70% 수준인 신세계건설 입장에서 민간 주택공급 물량이 줄어들고 있는 점은 호재다. 권준성 나이스신용평가 선임연구원은 민간 건설수주 규모는 올해 134조원에서 내년 129조원으로 5조원 감소할 것이라고 내다봤다. 공급 물량 감소는 미분양 물량 감소, 주택가격 상승으로 이어진다.
신세계건설 관계자는 “대구 지역의 경우 업계 전반적으로 분양 현장의 회복세가 기대보다 더딘 상황”이라며 “다만 내년 신규 공급 물량이 적을 경우 기존 미분양 주택 해소 및 신규 주택의 공급에는 긍정적 요소가 될 것으로 본다”고 말했다.",신용등급
천지일보,"우리카드, 최고등급신용카드 '투체어스' 출시",,,,,,,신용등급
천지일보,"우리카드, 신규 최고등급신용카드 '투체어스' 출시",,,,,,,신용등급
비즈트리뷴,우리카드 '큰손' vs 하나카드 '여행족'… 하위권 전쟁 치열,,,,,,,신용등급
이데일리,"[마켓인]나신평, 코리아세븐신용등급A로 하향…영업수익성 저하",네이버뉴스,https://n.news.naver.com/mnews/article/018/0005630086?sid=101,,이데일리,"[마켓인]나신평, 코리아세븐 신용등급 A로 하향…영업수익성 저하","코리아세븐 장기신용등급 ‘A+(부정적)’→‘A(안정적)’
올해 3분기까지 누적 영업손실 224억원
“단기간 내 영업수익성 개선 쉽지 않아”
이 기사는 2023년11월30일 18시46분에
마켓인 프리미엄 콘텐츠
로 선공개 되었습니다.
[이데일리 마켓in 박미경 기자] 코리아세븐의 신용등급이 하향 조정됐다. 미니스톱 인수와 물류비용 상승 등으로 영업수익성이 저하됐기 때문이다.
NICE신용평가는 30일 코리아세븐의 장기신용등급을 ‘A+(부정적)’에서 ‘A(안정적)’로, 단기신용등급을 ‘A2+’에서 ‘A2’로 내렸다.
지난 2022년 3월 코리아세븐은 한국미니스톱(현 롯데씨브이에스711)을 인수했다. 그러나 미국 세븐일레븐에 지급하는 기술사용료 부담, 인건비 및 물류비용 상승, 리모델링 비용 등으로 올해 3분기까지 누적 영업손실 224억원을 기록했다.
이동선 NICE신평 연구원은 “코리아세븐은 2024년 1분기까지 미니스톱과의 통합작업을 마무리하고, 수익성 중심의 경영활동을 통해 점당 매출 확대에 나설 계획”이라면서 “다만 물류비용의 추가 인상 가능성, 경쟁사 대비 차별화되는 자체브랜드(PB) 상품의 부족 등을 감안할 때 단기간 내 영업수익성의 본격적인 개선은 쉽지 않을 것”이라고 전망했다.
올해 9월 말 기준 코리아세븐은 국내에 1만3502개(한국미니스톱 매장 포함)의 대규모 점포망을 보유 중이다. 점포수 기준으로 BGF리테일(CU), GS리테일(GS25)에 이어 편의점 업계 내 3위의 시장 지위를 확보하고 있다.
다만 미니스톱 인수 이후 통합과정에서 기존 점포의 이탈 등으로 인해 점포수는 2022년 말 대비 763개 감소했으며, 인수 후 초기 통합비용 발생 등으로 인해 인수효과 발생까지는 시간이 다소 걸릴 것으로 보인다.
또 단기간 내 재무구조 개선이 어렵다는 평가다. 운전자금 부담 증가 및 가맹점 확대에 따른 투자 지속 등으로 인해 코리아세븐의 순차입금 규모는 2018년 말 기준 656억원에서 2023년 9월 말 기준 8287억원으로 증가했고, 부채비율은 2023년 9월 말 378.6%로 상승했다.
이 연구원은 “조달금리 상승에 따른 이자비용 부담 증가, 영업수익성 회복의 지연 등을 감안할 때 재무구조 개선에는 시일이 소요될 전망”이라고 덧붙였다.
NICE신평은 코리아세븐의 등급 상향 조정 검토 요인으로 ‘통합작업 완료 이후 영업수익성 개선’, ‘현금창출력 개선, 차입금 상환 등 재무부담 완화’, ‘순차입금/상각전영업이익(EBITDA) 2배 이하 지속’ 등을 제시했다.",신용등급
더밸류뉴스,"""DL건설, 기업어음신용등급'A2-""...한기평",,,,,,,신용등급
뉴시스,韓 디지털경쟁력 세계 6위…미래준비도 1위 등극,네이버뉴스,https://n.news.naver.com/mnews/article/003/0012239547?sid=105,,뉴시스,韓 디지털경쟁력 세계 6위…미래준비도 1위 등극,"스위스 IMD 평가…인구 2000만명 이상 27개국 중에선 2위
미래준비도·기술·지식 등 3대 평가 분야 모두 순위 상승
[서울=뉴시스] 과학기술정보통신부 청사. (사진=과학기술정보통신부 제공) 2023.07.10. photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스]윤현성 기자 = 우리나라의 디지털경쟁력이 전 세계 64개국 가운데 6번째로 높은 것으로 나타났다. 3개 평가 분야가 모두 지난해보다 순위가 올랐고, 특히 미래준비도는 전 세계 1위에 등극했다.
과학기술정보통신부는 스위스 국제경영개발원(IMD)이 발표한 2023년 세계 디지털경쟁력 평가결과 한국이 평가대상 64개국 중 6위를 기록하며 전년 대비 2단계가 상승했다고 30일 밝혔다.
IMD는 2017년부터 디지털 기술에 대한 적응력 등에 대해 미래준비도, 기술, 지식 등 3개 분야, 9개 부문, 54개 세부지표를 측정해 국가별 디지털 경쟁력을 평가·발표하고 있다.
국가별로는 지난해 2위였던 미국이 1위를 차자했고, 지난해 1위였던 덴마크가 4위로 내려앉았다. 아태지역에서는 싱가포르가 3위, 중국은 19위, 일본은 32위를 기록했다. 한국은 전체 순위 6위, 인구 2000만명 이상인 27개국 중에서는 미국에 이은 2위를 기록했다.
분야별로 살펴보면 미래준비도, 기술, 지식 3대 분야에서 모두 작년 대비 순위가 상승했다. 미래준비도 분야는 64개국 중 1위(2→1위), 기술 분야는 12위(13→12위), 지식 분야는 10위(16→10위)를 차지했다.
미래준비도 분야는 세계화에 대한 사회적 인식을 나타내는 세계화에 대한 태도(11→7위), 빅데이터 및 분석기술 활용(34→31위), 공공민간 동반자 관계(46→40위) 등의 지표에서 순위가 상승했다.
기술 분야에서는 지적재산권(37→28위), 국가신용등급(17→16위), 통신기술(12→11위), 모바일 광대역통신 가입자(15→12위) 등 지표의 순위가 올랐다.
지식 분야에서는 인재의 국제 경험(59→51위), 직원 교육(34→23위), 교육 및 연구개발 분야의 로봇(7→4위) 등에서 순위를 끌어올렸다．",신용등급
뉴시스,"한국, IMD 디지털 경쟁력 평가 6위…두 계단 올라 역대 최고",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012239547?sid=105,,뉴시스,韓 디지털경쟁력 세계 6위…미래준비도 1위 등극,"스위스 IMD 평가…인구 2000만명 이상 27개국 중에선 2위
미래준비도·기술·지식 등 3대 평가 분야 모두 순위 상승
[서울=뉴시스] 과학기술정보통신부 청사. (사진=과학기술정보통신부 제공) 2023.07.10. photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스]윤현성 기자 = 우리나라의 디지털경쟁력이 전 세계 64개국 가운데 6번째로 높은 것으로 나타났다. 3개 평가 분야가 모두 지난해보다 순위가 올랐고, 특히 미래준비도는 전 세계 1위에 등극했다.
과학기술정보통신부는 스위스 국제경영개발원(IMD)이 발표한 2023년 세계 디지털경쟁력 평가결과 한국이 평가대상 64개국 중 6위를 기록하며 전년 대비 2단계가 상승했다고 30일 밝혔다.
IMD는 2017년부터 디지털 기술에 대한 적응력 등에 대해 미래준비도, 기술, 지식 등 3개 분야, 9개 부문, 54개 세부지표를 측정해 국가별 디지털 경쟁력을 평가·발표하고 있다.
국가별로는 지난해 2위였던 미국이 1위를 차자했고, 지난해 1위였던 덴마크가 4위로 내려앉았다. 아태지역에서는 싱가포르가 3위, 중국은 19위, 일본은 32위를 기록했다. 한국은 전체 순위 6위, 인구 2000만명 이상인 27개국 중에서는 미국에 이은 2위를 기록했다.
분야별로 살펴보면 미래준비도, 기술, 지식 3대 분야에서 모두 작년 대비 순위가 상승했다. 미래준비도 분야는 64개국 중 1위(2→1위), 기술 분야는 12위(13→12위), 지식 분야는 10위(16→10위)를 차지했다.
미래준비도 분야는 세계화에 대한 사회적 인식을 나타내는 세계화에 대한 태도(11→7위), 빅데이터 및 분석기술 활용(34→31위), 공공민간 동반자 관계(46→40위) 등의 지표에서 순위가 상승했다.
기술 분야에서는 지적재산권(37→28위), 국가신용등급(17→16위), 통신기술(12→11위), 모바일 광대역통신 가입자(15→12위) 등 지표의 순위가 올랐다.
지식 분야에서는 인재의 국제 경험(59→51위), 직원 교육(34→23위), 교육 및 연구개발 분야의 로봇(7→4위) 등에서 순위를 끌어올렸다．",신용등급
연합뉴스,"한국, ‘IMD 디지털 경쟁력 평가’ 6위 ‘역대 최고’…두 계단 ‘껑충...",네이버뉴스,https://n.news.naver.com/mnews/article/001/0014362445?sid=105,,연합뉴스,"한국, IMD 디지털 경쟁력 평가 6위…두 계단 올라 역대 최고","IMD 세계 디지털 경쟁력 순위
[IMD 홈페이지 캡처]
(서울=연합뉴스) 강건택 기자 = 스위스 국제경영개발원(IMD)이 발표한 2023 세계 디지털 경쟁력 평가에서 한국이 전체 평가 대상 64개국 중 6위에 올랐다.
30일 과학기술정보통신부 등에 따르면 한국은 지난해(8위)보다 두 계단 상승해 역대 가장 높은 순위를 기록했다.
IMD가 2017년부터 발표한 이 평가 결과에서 한국의 순위는 2017년 19위, 2018년 14위, 2019년 10위, 2020년 8위, 2021년 12위, 2022년 8위로 재작년을 제외하면 대체로 오름세를 보였다.
인구 2천만 명 이상 국가(27개국) 중에서는 올해 한국이 미국에 이어 2위에 올랐다.
분야별로는 미래 준비도 분야에서 전체 1위, 기술 분야에서 12위, 지식 분야에서 10위를 각각 차지했다. 3개 분야 모두 전년(미래 준비도 2위, 기술 13위, 지식 16위)보다 순위가 올라갔다.
미래 준비도 분야에서 한국은 '세계화에 대한 태도' (작년 11위→올해 7위), '빅데이터 및 분석기술 활용' (작년 34위→올해 31위), '공공·민간 동반자 관계' (작년 46위→올해 40위) 등의 지표에서 지난해보다 좋은 평가를 받았다.
기술 분야는 '지적 재산권'(작년 37위→올해 28위)·'국가신용등급'(작년 17위→올해 16위)·'통신 기술'(작년 12위→올해 11위)에서, 지식 분야는 '인재의 국제 경험'(작년 59위→올해 51위)·'직원 교육'(작년 34위→올해 23위)·'교육 및 연구개발 분야 로봇'(작년 7위→올해 4위)에서 각각 순위를 끌어올렸다.
[그래픽] 세계 디지털 경쟁력 평가 순위
(서울=연합뉴스) 김민지 기자 = minfo@yna.co.kr
트위터 @yonhap_graphics  페이스북 tuney.kr/LeYN1
올해 IMD 평가 결과 전체 1위는 지난해 2위였던 미국이 차지했고, 작년 1위였던 덴마크는 4위로 미끄러졌다.
싱가포르가 3위로 아시아·태평양 국가 중 가장 높은 순위를 기록했고, 중국(19위)과 일본(32위)은 한국보다 순위가 낮았다. 아태 지역에서는 싱가포르와 한국 외에 대만(9위)과 홍콩(10위)이 '톱10'에 들었다.
네덜란드가 작년보다 4계단 뛰어오른 전체 2위에 올랐고, 스위스는 5위로 순위에 변동이 없었다.
IMD는 2017년부터 디지털 기술에 대한 적응력 등에 대해 미래 준비도, 기술, 지식 등 3개 분야, 9개 부문, 54개 세부 지표를 측정해 국가별 디지털 경쟁력을 평가해 발표하고 있다.
firstcircle@yna.co.kr",신용등급
부산일보,"한국 디지털경쟁력, 세계 6위 올랐다",네이버뉴스,https://n.news.naver.com/mnews/article/082/0001244283?sid=101,,부산일보,"한국, ‘IMD 디지털 경쟁력 평가’ 6위 ‘역대 최고’…두 계단 ‘껑충’","한국, 인구 2000만 명 이상 27개국 중 미국 이어 2위
IMD, ‘2023년세계디지털 경쟁력 평가 결과’ 발표
MD 세계 디지털 경쟁력 순위. IMD 홈페이지 캡처
한국, ‘2023년 IMD 세계 디지털 경쟁력 평가’ 결과. 과기정통부 제공
스위스 국제경영개발원(IMD)이 발표한 ‘2023 세계 디지털 경쟁력 평가’에서 우리나라가 전체 평가 대상 64개국 중에서 역대 최고인 6위에 올랐다. 특히 우리나라는 인구 200만 명 이상 27개국 가운데 미국에 이어 2위를 차지했다.
30일 과학기술정보통신부 등에 따르면 한국은 ‘2023 세계 디지털 경쟁력 평가’에서 지난해(8위)보다 두 계단 상승해 역대 가장 높은 순위를 기록했다.
IMD가 2017년부터 발표한 이 평가 결과에서 한국의 순위는 2017년 19위, 2018년 14위, 2019년 10위, 2020년 8위, 2021년 12위, 2022년 8위로 재작년을 제외하면 대체로 오름세를 보였다.
‘2023년 IMD 세계 디지털경쟁력 평가’ 국가별 순위. 과기정통부 제공
인구 2000만 명 이상 국가(27개국) 중에서는 올해 한국이 미국에 이어 2위에 올랐다.
한국은 분야별로 보면, 미래 준비도 분야에서 전체 1위, 기술 분야에서 12위, 지식 분야에서 10위를 각각 차지했다. 3개 분야 모두 전년(미래 준비도 2위, 기술 13위, 지식 16위)보다 순위가 올라갔다.
미래 준비도 분야에서 한국은 '세계화에 대한 태도' (작년 11위→올해 7위), '빅데이터 및 분석기술 활용' (작년 34위→올해 31위), '공공·민간 동반자 관계' (작년 46위→올해 40위) 등의 지표에서 지난해보다 좋은 평가를 받았다.
기술 분야는 '지적 재산권'(작년 37위→올해 28위)·'국가신용등급'(작년 17위→올해 16위)·'통신 기술'(작년 12위→올해 11위)에서, 지식 분야는 '인재의 국제 경험'(작년 59위→올해 51위)·'직원 교육'(작년 34위→올해 23위)·'교육 및 연구개발 분야 로봇'(작년 7위→올해 4위)에서 각각 순위를 끌어올렸다.
올해 IMD 평가 결과 전체 1위는 지난해 2위였던 미국이 차지했고, 작년 1위였던 덴마크는 4위로 미끄러졌다.
싱가포르가 3위로 아시아·태평양 국가 중 가장 높은 순위를 기록했고, 중국(19위)과 일본(32위)은 한국보다 순위가 낮았다. 아태 지역에서는 싱가포르와 한국 외에 대만(9위)과 홍콩(10위)이 '톱10'에 들었다.
네덜란드가 작년보다 4계단 뛰어오른 전체 2위에 올랐고, 스위스는 5위로 순위에 변동이 없었다.
IMD는 2017년부터 디지털 기술에 대한 적응력 등에 대해 미래 준비도, 기술, 지식 등 3개 분야, 9개 부문, 54개 세부 지표를 측정해 국가별 디지털 경쟁력을 평가해 발표하고 있다.",신용등급
