press,title,naver_news_text,naver_news_url,body
뉴스토마토,"국민 67.1% ""유산취득세도입 찬성""",,,
경향신문,[단독] 상속세 최고세율 인하·유산취득세도입시···500억 이상 자산...,네이버뉴스,https://n.news.naver.com/mnews/article/032/0003359397?sid=101,
한국일보,유산취득세도입하면... 상속인 5명·30억 실효세율 17.1→0.6%,네이버뉴스,https://n.news.naver.com/mnews/article/469/0000855899?sid=101,
한국일보,“유산취득세도입시 30억~100억대 자산가 실효세율 인하효과 가장 커”,네이버뉴스,https://n.news.naver.com/mnews/article/469/0000855899?sid=101,
경향신문,정부유산취득세는 ‘초부자 감세’… 배우자+자녀 3명이상일 때 상속 ...,네이버뉴스,https://n.news.naver.com/mnews/article/032/0003359153?sid=101,
한겨레,상속인 늘면 낮아지는유산취득세…‘양자 늘리기’ 일본식 편법 대책 ...,네이버뉴스,https://n.news.naver.com/mnews/article/028/0002737394?sid=100,
한겨레,"유산취득세, 유산세보다 상속세 실효세율 낮아",네이버뉴스,https://n.news.naver.com/mnews/article/028/0002737394?sid=100,
세정신문,"상속세,유산취득세과세방식으로 전환…2028년 시행 목표",,,
일요서울,기획재정부의 '유산취득세도입' 발표...상속세 전면 재정비? [지식용어...,,,
세정일보,"조세재정연구원, 내달 4일 '유산취득세도입 상속세법 개정안 공청회' ...",,,
경상매일신문,"정부,유산취득세개편안 입법예고…4월28일까지 40일간",,,
시빅뉴스,유산취득세전면 개편 바람직한가?,,,
중앙일보,"이용섭 ""'소득 있는 곳에 세금' 원칙 무너져선 안 돼"" [월간중앙]",네이버뉴스,https://n.news.naver.com/mnews/article/025/0003430506?sid=101,
시사IN,상속세가 중산층의 집을 빼앗는다고?,네이버뉴스,https://n.news.naver.com/mnews/article/308/0000036394?sid=101,
시사IN,[국세 칼럼] 백가쟁명식 상속 세제 개편 논의에 대하여,네이버뉴스,https://n.news.naver.com/mnews/article/308/0000036394?sid=101,
불교신문,시대 변화 맞는 상속세 개편,,,
불교신문,"상속세 개편, 비용·시간 덜 들일 묘수는?",,,
택스워치,75년 만에 상속세 ‘대수술’…가장 큰 수혜자는,,,
