press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴스토마토,"국민 67.1% ""유산취득세도입 찬성""",,,,,,,유산취득세
경향신문,[단독] 상속세 최고세율 인하·유산취득세도입시···500억 이상 자산...,네이버뉴스,https://n.news.naver.com/mnews/article/032/0003359397?sid=101,,경향신문,[단독] 상속세 최고세율 인하·유산취득세 도입시···500억 이상 자산가 감세효과 20배 ↑,"기획재정부 정정훈 세제실장(왼쪽 세 번째)이 지난 11일 정부세종청사 기재부 기자실에서 유산취득세 도입 방안에 관해 설명하고 있다. 왼쪽부터 김완수 상속세개편팀장, 김건영 조세개혁추진단장, 정 실장, 김병철 재산소비세정책관. 연합뉴스
유산취득세를 도입하고 상속세 최고세율까지 내리는 국민의힘 방안이 현실화하면 수천억원대 자산가들의 감세 효과가 20배 넘게
늘어나는 것으로 나타났다.
국회 기획재정위원회 소속 정성호 더불어민주당 의원이 26일 국회 예산정책처에 의뢰한 ‘상속세 과세방식별 세부담 변화 사례 분석(현행·세율 인하)’ 자료를 보면, 국민의힘 안대로 유산취득세를 도입하고 최고세율을 현 50%에서 40%로 내린다면 수천억원대 상속인이 받는 감세 효과가 기존 1% 미만(0.4~0.6%)에서 약 20%대로 수십배 커지는 것으로 나타났다.
예를 들어 국민의힘 안대로라면 상속세 과표구간 500억 초과 구간의 상속인(배우자·자녀2명 총 3명 가정)은 지금보다 약 481억5230만원(20.1%) 세금을 덜 내는 것으로 추산됐다. 과표 500억원 이하 구간에선 19억430만원(21.6%) 세금을 덜 내며, 과표 50억원 초과~100억원 이하 7억3850만원의 세금을 아끼게 된다. 약 7억원은 최근 강북 지역 아파트 평균 매매 가격이다.
과표 5억원 초과~10억원 이하(추정 상속재산 14억~20억원·상속인 3명 가정) 구간에서도 현 유산세보다 평균 7120만원(46.4%) 세금이 줄었다. 과표 10억원 초과~20억원 이하(추정 상속재산 20억~30억원) 구간에선 1억7880만원(45.0%) 감소했다. 과표 30억원 이하 구간에선 2억9380만원(-36%) 세금이 줄었다.
예정처는 상속세 최고세율을 내리지 않고 유산취득세만 도입해도 과표 500억원을 초과하는 초부자(상속인 3명 가정)의 경우 현재 2400억5000만원인 상속세가 유산취득세로 9억2000만원(-0.4%) 감소한다고 분석했다.
다만, 현 세율 체제에서 유산취득세를 도입할 때 기존 상속세 대비 세율 인하 효과가 가장 큰 구간은 과표 10억 초과~20억원 이하 구간이었다. 이들은 유산취득세로 바뀌면 상속인 수(2~4명)에 따라 25~39.9%(1억~1억6000만원)의 세금을 덜 낼 수 있다.
예정처의 유산취득세 시뮬레이션 분석에는 정부가 추진하는 인적공제 확대 방안은 빠져 있어 배우자·자녀 인적 공제 확대를 반영하면 감세 효과는 더욱 커진다. 그만큼 세수가 줄어든다는 뜻이다.
예정처는 최근 보고서에서 배우자·자녀 인적 공제가 확대된 정부안을 도입하면 30억원을 법정상속분대로 상속받을 경우 최대 16.5%포인트의 실효세율 인하 효과가 발생한다고 밝혔다. 배우자와 자녀 4명이 상속받는 경우를 보면 실효세율은 현행 17.1%에서 유산취득세 도입시 0.6%로 뚝 떨어졌다. 사실상 세금 부담이 거의 없어지는 셈이다. 배우자와 자녀 2명이 받는 경우에도 실효세율은 10.8%에서 4.1%로 줄었다.",유산취득세
한국일보,유산취득세도입하면... 상속인 5명·30억 실효세율 17.1→0.6%,네이버뉴스,https://n.news.naver.com/mnews/article/469/0000855899?sid=101,,한국일보,유산취득세 도입하면... 상속인 5명·30억 실효세율 17.1→0.6%,"정부, '유산세'에서 '유산취득세' 전환 추진
유산취득세, 상속인 증가하면 실효세율은 낮아져
상속인 5명, 30억 상속 시 실효세율 차이 최대
게티이미지뱅크
정부가 도입을 추진 중인 상속세 유산취득세 방식을 적용하면 배우자와 자녀 4명이 함께 상속을 받으면 현재(유산세)보다 실제 납부하는 세금(실효세율)이 최대 16%포인트까지 낮아질 수 있다는 분석이 나왔다. 상속재산이 30억~100억 원 사이일 경우 상속세 감면 효과가 가장 컸다.
26일 국회예산정책처가 발표한 '상속세 유산취득세 과세방식으로의 전환 개편 동향' 보고서에 따르면 정부는 지난 12일 상속세 과세 방식을 현행 '유산세 방식'에서 2028년부터 '유산취득세 방식'으로 전환하겠다고 발표했다. 유산세는 사망자(피상속인)의 전체 재산을 기준으로 과세하는 방식으로 우리나라와 미국, 영국, 덴마크 등 경제협력개발기구(OECD) 회원국 중 4개국만 유지하고 있다. 반면 유산취득세는 상속인이 실제 취득한 재산을 기준으로 개별 과세하는 방식으로 독일, 프랑스, 일본 등 OECD 내 20개국에서 채택 중이다.
실제 유산세와 유산취득세의 장단점은 뚜렷하다. 유산세는 피상속인의 총재산에 과세해 행정적 부담이 낮고 세수확보가 쉬운 반면, 유산취득세는 개별 상속인의 실제 취득재산을 기준으로 과세하므로 상속인의 세금 납부 능력(담세력)에 부합한다. 또 재산 분산을 촉진해 부의 집중 억제 효과도 높은 편이다. 다만 상속재산과 상속인 수가 많을수록 조사와 평가가 복잡해져 세무행정 부담과 조세회피 우려가 커진다는 단점도 있다.
그래픽=신동준 기자
예정처가 자체 분석한 시나리오 결과를 보면 유산취득세 도입 시 배우자와 자녀 등 상속인이 증가할수록 상속재산이 분산되면서 실효세율이 낮아졌다. 상속인과 상속재산을 변수로 두고 바꿔가며 분석했는데, 배우자와 자녀 1명 등 총 2명이 상속받을 때 실효세율 인하 폭은 0.9~4.6%포인트였지만, 배우자와 자녀 4명 등 총 5명이 상속받을 때 세금의 인하 폭은 5.2%포인트에서 최대 16.5%포인트까지 확대됐다.
상속재산 규모가 커질수록 유산취득세의 실효세율 감소는 뚜렷했다. 다만 상속재산이 30억 원을 지나 500억 원에 수렴할수록 내야 하는 세금은 비슷해졌다. 배우자와 자녀 4명 등 총 5명인 경우 상속재산이 10억 원일 때 두 방식 간 실효세율 차이는 없었지만 △20억 원일 때 11.3%포인트 △30억 원 16.5%포인트 △50억 원 16.4%포인트 △100억 원 14.6%포인트 △300억 원 5.2%포인트 차이가 났다.
예정처는 상속세 과세방식 전환에 찬·반 의견이 상존하는 만큼 제도보완이 필요한지 검토가 필요하다는 입장이다. 특히 상속취득재산의 명의자와 귀속자가 다른 위장분할 같은 조세회피 우려도 커질 수밖에 없는 만큼 대비가 필요하다고 강조한다. 정부도 조세회피 대응 방안으로 위장분할에 대한 과세를 바로잡을 수 있는 기간(부과제척기간)을 현행 10년에서 15년으로 늘리고, 우회상속을 통한 세금 회피를 막기 위해 회피한 만큼 추가 과세 방안도 신설할 방침이다.
최천규 예정처 추계세제분석실 분석관은 ""정부의 조세회피 대응 외에도 유산취득세하에서 세액확정과 과세관할 등 조세행정도 누수가 없도록 대비할 필요가 있다""고 제언했다.",유산취득세
한국일보,“유산취득세도입시 30억~100억대 자산가 실효세율 인하효과 가장 커”,네이버뉴스,https://n.news.naver.com/mnews/article/469/0000855899?sid=101,,한국일보,유산취득세 도입하면... 상속인 5명·30억 실효세율 17.1→0.6%,"정부, '유산세'에서 '유산취득세' 전환 추진
유산취득세, 상속인 증가하면 실효세율은 낮아져
상속인 5명, 30억 상속 시 실효세율 차이 최대
게티이미지뱅크
정부가 도입을 추진 중인 상속세 유산취득세 방식을 적용하면 배우자와 자녀 4명이 함께 상속을 받으면 현재(유산세)보다 실제 납부하는 세금(실효세율)이 최대 16%포인트까지 낮아질 수 있다는 분석이 나왔다. 상속재산이 30억~100억 원 사이일 경우 상속세 감면 효과가 가장 컸다.
26일 국회예산정책처가 발표한 '상속세 유산취득세 과세방식으로의 전환 개편 동향' 보고서에 따르면 정부는 지난 12일 상속세 과세 방식을 현행 '유산세 방식'에서 2028년부터 '유산취득세 방식'으로 전환하겠다고 발표했다. 유산세는 사망자(피상속인)의 전체 재산을 기준으로 과세하는 방식으로 우리나라와 미국, 영국, 덴마크 등 경제협력개발기구(OECD) 회원국 중 4개국만 유지하고 있다. 반면 유산취득세는 상속인이 실제 취득한 재산을 기준으로 개별 과세하는 방식으로 독일, 프랑스, 일본 등 OECD 내 20개국에서 채택 중이다.
실제 유산세와 유산취득세의 장단점은 뚜렷하다. 유산세는 피상속인의 총재산에 과세해 행정적 부담이 낮고 세수확보가 쉬운 반면, 유산취득세는 개별 상속인의 실제 취득재산을 기준으로 과세하므로 상속인의 세금 납부 능력(담세력)에 부합한다. 또 재산 분산을 촉진해 부의 집중 억제 효과도 높은 편이다. 다만 상속재산과 상속인 수가 많을수록 조사와 평가가 복잡해져 세무행정 부담과 조세회피 우려가 커진다는 단점도 있다.
그래픽=신동준 기자
예정처가 자체 분석한 시나리오 결과를 보면 유산취득세 도입 시 배우자와 자녀 등 상속인이 증가할수록 상속재산이 분산되면서 실효세율이 낮아졌다. 상속인과 상속재산을 변수로 두고 바꿔가며 분석했는데, 배우자와 자녀 1명 등 총 2명이 상속받을 때 실효세율 인하 폭은 0.9~4.6%포인트였지만, 배우자와 자녀 4명 등 총 5명이 상속받을 때 세금의 인하 폭은 5.2%포인트에서 최대 16.5%포인트까지 확대됐다.
상속재산 규모가 커질수록 유산취득세의 실효세율 감소는 뚜렷했다. 다만 상속재산이 30억 원을 지나 500억 원에 수렴할수록 내야 하는 세금은 비슷해졌다. 배우자와 자녀 4명 등 총 5명인 경우 상속재산이 10억 원일 때 두 방식 간 실효세율 차이는 없었지만 △20억 원일 때 11.3%포인트 △30억 원 16.5%포인트 △50억 원 16.4%포인트 △100억 원 14.6%포인트 △300억 원 5.2%포인트 차이가 났다.
예정처는 상속세 과세방식 전환에 찬·반 의견이 상존하는 만큼 제도보완이 필요한지 검토가 필요하다는 입장이다. 특히 상속취득재산의 명의자와 귀속자가 다른 위장분할 같은 조세회피 우려도 커질 수밖에 없는 만큼 대비가 필요하다고 강조한다. 정부도 조세회피 대응 방안으로 위장분할에 대한 과세를 바로잡을 수 있는 기간(부과제척기간)을 현행 10년에서 15년으로 늘리고, 우회상속을 통한 세금 회피를 막기 위해 회피한 만큼 추가 과세 방안도 신설할 방침이다.
최천규 예정처 추계세제분석실 분석관은 ""정부의 조세회피 대응 외에도 유산취득세하에서 세액확정과 과세관할 등 조세행정도 누수가 없도록 대비할 필요가 있다""고 제언했다.",유산취득세
경향신문,정부유산취득세는 ‘초부자 감세’… 배우자+자녀 3명이상일 때 상속 ...,네이버뉴스,https://n.news.naver.com/mnews/article/032/0003359153?sid=101,,경향신문,“유산취득세 도입시 30억~100억대 자산가 실효세율 인하효과 가장 커”,"상속가액별 유산취득세 도입 시 실효세율 변화. 국회예산정책처 자료 갈무리
정부가 도입을 추진하는 ‘유산취득세’가 시행되면 상속가액이 30억원~100억원대인 자산가가 실효세율 측면에서 가장 큰 혜택을 보게 된다는 국회예산정책처의 분석이 나왔다. 이 구간에서 실효세율은 통상 절반이하로 떨어졌고, 많게는 90% 이상 줄었다.
26일 국회예산정책처의 ‘상속세 유산취득세 과세방식으로의 전환 개편동향’ 자료를 보면, 30억원을 법정상속분대로 상속받을 경우 최대 16.5%포인트의 실효세율 인하효과가 발생했다. 배우자와 자녀 4명이 상속받는 경우를 보면 실효세율은 현행 17.1%에서 유산취득세 도입시 0.6%로 뚝 떨어졌다. 사실상 세금 부담이 거의 없어지는 셈이다. 배우자와 자녀 2명이 받는 경우에도 실효세율은 10.8%에서 4.1%로 줄었다.
예정처는 상속가액이 10억~500억원일 경우 피상속인 기준으로 전체 상속분에 세금을 매기는 현행 유산세 방식과 상속인이 각자 받는 재산에 매기는 유산취득세 방식에서 실효세율을 비교했다. 배우자와 자녀 1~4명이 상속받는다고 전제했다.
50억원 상속시에도 비슷했다. 배우자가 자녀가 4명인 경우 실효세율은 현행 22.2%에서 5.8%로 4분의 1 수준이 된다. 배우자와 자녀가 2명인 경우에도 세율이 15.7%에서 8.8%로 절반 가까이 떨어진다. 100억원 구간에서도 유산취득세 도입시 자녀 수(1~4명)에 따라 현행보다 3.6%포인트~14.6%포인트 낮아진다.
mp0327b????????????
유산취득세 도입시 상속세 실효세율 인하 효과는 자녀가 많을수록 크다. 상속분을 쪼갤수록 과표구간도 낮아져 상속세율이 떨어지기 때문이다. 실제로 상속인이 배우자와 자녀 1명인 경우는 실효세율 인하 효과는 0.9%포인트~4.6%포인트 수준이지만 배우자와 자녀가 4명인 경우에는 5.2%포인트~16.5%포인트로 커진다고 예정처는 설명했다.
예정처는 유산취득세 방식이 상속인의 세금부담 능력에 따른 조세 부과가 가능해 응능부담의 원칙에 부합한다고 봤다. 또 상속인 수에 따른 세부담 감소로 유산 분할을 촉진할 수 있어 부의 집중억제 효과도 현행 방식보다 높다고 판단했다. 다만 세액 감소로 세수증대 효과가 낮고, 세무행정에 부담이 크다는 점은 단점으로 꼽았다.
예정처는 “세금 부담 능력에 따른 공평과세라는 찬성 의견과 자산불평등 심화와 세수감소로 인한 국가재정 악화 우려가 공존하는 상황”이라며 “조세회피 대응방안 등 제도 보완 방식을 검토해야 한다”고 했다.",유산취득세
한겨레,상속인 늘면 낮아지는유산취득세…‘양자 늘리기’ 일본식 편법 대책 ...,네이버뉴스,https://n.news.naver.com/mnews/article/028/0002737394?sid=100,,한겨레,상속인 늘면 낮아지는 유산취득세…‘양자 늘리기’ 일본식 편법 대책 있나,"국회 예산정책처 ‘세수감소’ 보고서
기재부 입법예고…5월 국회 제출
여야 감세 경쟁…“대책 마련해야”
기존 유산세 방식에서 유산취득세 방식으로 바꾸는 상속세법 개편안이 시행될 경우, 상속인이 늘어날수록 실효세율이 크게 낮아지는 결과가 수치로 확인됐다. 게티이미지뱅크
2028년 시행을 목표로 상속세 과세방식을 기존 유산세 방식에서 유산취득세 방식으로 바꾸는 정부 개편안이 시행될 경우, 상속인이 늘어날수록 실효세율이 크게 낮아지는 결과가 다시 확인됐다. 정부는 상속세법 입법예고를 거쳐 오는 5월 세법 개정안을 국회에 제출할 예정이다. 여야가 배우자 상속세 폐지 합의 등 감세 경쟁에 나선 상황에서, ‘위장 분할’ 등 조세회피를 막기 위한 면밀한 대책이 필요하다는 지적이 나온다.
국회 예산정책처 추계세제분석실은 25일 ‘상속세 유산취득세 과세방식으로의 전환 개편 동향’ 분석보고서에서 “상속재산 분산 정도에 따라 유산취득세 방식이 유산세 방식에 비해 실효세율이 상대적으로 낮아진다”는 시나리오 분석 결과를 공개했다.
실효세율 변화 시나리오 분석은 △상속인(배우자+자녀 1∼4명) △상속재산(10억·20억·30억·50억·100억·500억원)을 기준으로 현행 방식과 개편안에 따른 실효세율(산출세액/상속재산가액)을 비교하는 방식으로 이뤄졌다.
상속인이 배우자와 자녀 1명일 때는 실효세율이 최소 0.9%포인트에서 최대 4.6%포인트 낮아졌다. 상속인이 배우자와 자녀 2명 이상이면 실효세율 감소 효과가 급격히 커졌다. 상속인이 배우자+자녀 4명일 때는 실효세율이 최소 5.2%포인트에서 최대 16.5%포인트 낮아졌다. 상속재산 20억∼100억원 구간에서 감세 효과가 두드러졌다.
국회 예산정책처 ‘상속세 유산취득세 과세방식으로의 전환 개편 동향’ 분석보고서
보고서는 “과세방식 전환 시 배우자 유무와 자녀 수 등의 상속인 수가 증가하는 경우 상속재산 분산으로 실효세율 인하 효과가 확대된다”고 했다.
현행 유산세 방식은 피상속인(사망자) 전체 유산을 기준으로 과세하는 방식이다. 한국은 1950년 상속세 도입 때부터 이 방식을 유지해 왔다. 경제협력개발기구(OECD) 국가 중 한국·미국·영국·덴마크 4개국만 유산세 방식을 취하고, 나머지 국가는 유산취득세 방식으로 상속세를 부과한다. 소득재분배 효과가 크고 세무행정이 비교적 간단하지만, 개별 상속인의 세금을 낼 수 있는 경제적 능력을 보는 담세력(응능과세주의)과 무관하게 상속세가 부과되는 단점이 있다.
상속인(유가족 등)들이 취득한 개별 상속재산가액을 기준으로 과세하는 유산취득세 방식은 유산 분할을 촉진해 부의 억제를 완화하는 한편 상속인별 담세력에 맞는 상속세 부과가 가능하다. 반면 유산세에 견줘 세수증대 효과가 낮고, 모든 상속인과 취득재산을 조사해야 해 세무행정 부담이 커진다. 상속세를 적게 내기 위한 상속재산 위장 분할, 우회 상속 등이 나타날 수 있다.
현행 유산세 방식은 일제강점기인 1934년 조선상속세령에 뿌리를 두고 있다. 우리는 1950년 상속세법을 제정하며 유산세 방식을 유지했는데, 일본은 같은 해 유산세에서 유산취득세 방식으로 바꿨다. 그러나 유산취득세 방식의 허점을 이용한 상속세 회피가 늘기 시작했다고 한다. 상속인 수가 많을수록 상속세액이 줄어들자 상속인 수를 인위적으로 늘리기 위해 양자를 두는 등 조세회피가 문제가 된 것이다.(‘상속세제 과세방식별 공제제도 비교연구’, 국회 예산정책처 연구용역, 2023). 일본은 이를 보완하기 위해 유산취득세 전환 8년만인 1958년 유산세 방식과 유산취득세 방식을 절충한 ‘법정상속분 방식’으로 전환했다.
유산취득세로 전환하면 상속재산을 ‘명의상 취득’하는 사람을 늘리는 방식 등으로 상속세 부과 과세표준 등을 낮추는 불법이 나타날 가능성이 있다.
기획재정부는 지난 12일 유산취득세 도입 방안을 발표하며 위장 분할·우회 상속 등 조세회피 방지책도 내놓았다. 상속재산 위장 분할의 경우 상속세 부과제척 기간(국가가 세금을 부과할 수 있는 기간)을 현행 10년에서 15년으로 연장하기로 했다. 나중에 상속재산을 다른 상속인에게 증여하는 방식으로 상속세를 낮추는 우회 상속에 대해서도 ‘상속 개시 후 5년 이내 증여’가 있을 경우 추가 과세를 따지기로 했다. 기재부는 지난 19일 상속세법 및 증여세법 개정안을 입법예고(4월28일까지)했다.
이에 대해 국회 예산정책처 보고서는 “상속세 과세방식 전환에 대한 찬반 의견이 상존하고 있다. 반대쪽에서는 부의 대물림에 대한 과세 약화로 인한 자산 불평등 심화와 세수 감소로 인한 국가재정 기반 약화를 우려하고 있다”고 지적했다. 이어 “정부의 조세회피 대응 방안 외에도 제도 보완이 필요한지에 대한 면밀한 검토가 필요하다. 유산취득세 방식에서 세액 확정·과세 관할 등 조세행정도 누수가 없도록 대비할 필요가 있다”고 했다.",유산취득세
한겨레,"유산취득세, 유산세보다 상속세 실효세율 낮아",네이버뉴스,https://n.news.naver.com/mnews/article/028/0002737394?sid=100,,한겨레,상속인 늘면 낮아지는 유산취득세…‘양자 늘리기’ 일본식 편법 대책 있나,"국회 예산정책처 ‘세수감소’ 보고서
기재부 입법예고…5월 국회 제출
여야 감세 경쟁…“대책 마련해야”
기존 유산세 방식에서 유산취득세 방식으로 바꾸는 상속세법 개편안이 시행될 경우, 상속인이 늘어날수록 실효세율이 크게 낮아지는 결과가 수치로 확인됐다. 게티이미지뱅크
2028년 시행을 목표로 상속세 과세방식을 기존 유산세 방식에서 유산취득세 방식으로 바꾸는 정부 개편안이 시행될 경우, 상속인이 늘어날수록 실효세율이 크게 낮아지는 결과가 다시 확인됐다. 정부는 상속세법 입법예고를 거쳐 오는 5월 세법 개정안을 국회에 제출할 예정이다. 여야가 배우자 상속세 폐지 합의 등 감세 경쟁에 나선 상황에서, ‘위장 분할’ 등 조세회피를 막기 위한 면밀한 대책이 필요하다는 지적이 나온다.
국회 예산정책처 추계세제분석실은 25일 ‘상속세 유산취득세 과세방식으로의 전환 개편 동향’ 분석보고서에서 “상속재산 분산 정도에 따라 유산취득세 방식이 유산세 방식에 비해 실효세율이 상대적으로 낮아진다”는 시나리오 분석 결과를 공개했다.
실효세율 변화 시나리오 분석은 △상속인(배우자+자녀 1∼4명) △상속재산(10억·20억·30억·50억·100억·500억원)을 기준으로 현행 방식과 개편안에 따른 실효세율(산출세액/상속재산가액)을 비교하는 방식으로 이뤄졌다.
상속인이 배우자와 자녀 1명일 때는 실효세율이 최소 0.9%포인트에서 최대 4.6%포인트 낮아졌다. 상속인이 배우자와 자녀 2명 이상이면 실효세율 감소 효과가 급격히 커졌다. 상속인이 배우자+자녀 4명일 때는 실효세율이 최소 5.2%포인트에서 최대 16.5%포인트 낮아졌다. 상속재산 20억∼100억원 구간에서 감세 효과가 두드러졌다.
국회 예산정책처 ‘상속세 유산취득세 과세방식으로의 전환 개편 동향’ 분석보고서
보고서는 “과세방식 전환 시 배우자 유무와 자녀 수 등의 상속인 수가 증가하는 경우 상속재산 분산으로 실효세율 인하 효과가 확대된다”고 했다.
현행 유산세 방식은 피상속인(사망자) 전체 유산을 기준으로 과세하는 방식이다. 한국은 1950년 상속세 도입 때부터 이 방식을 유지해 왔다. 경제협력개발기구(OECD) 국가 중 한국·미국·영국·덴마크 4개국만 유산세 방식을 취하고, 나머지 국가는 유산취득세 방식으로 상속세를 부과한다. 소득재분배 효과가 크고 세무행정이 비교적 간단하지만, 개별 상속인의 세금을 낼 수 있는 경제적 능력을 보는 담세력(응능과세주의)과 무관하게 상속세가 부과되는 단점이 있다.
상속인(유가족 등)들이 취득한 개별 상속재산가액을 기준으로 과세하는 유산취득세 방식은 유산 분할을 촉진해 부의 억제를 완화하는 한편 상속인별 담세력에 맞는 상속세 부과가 가능하다. 반면 유산세에 견줘 세수증대 효과가 낮고, 모든 상속인과 취득재산을 조사해야 해 세무행정 부담이 커진다. 상속세를 적게 내기 위한 상속재산 위장 분할, 우회 상속 등이 나타날 수 있다.
현행 유산세 방식은 일제강점기인 1934년 조선상속세령에 뿌리를 두고 있다. 우리는 1950년 상속세법을 제정하며 유산세 방식을 유지했는데, 일본은 같은 해 유산세에서 유산취득세 방식으로 바꿨다. 그러나 유산취득세 방식의 허점을 이용한 상속세 회피가 늘기 시작했다고 한다. 상속인 수가 많을수록 상속세액이 줄어들자 상속인 수를 인위적으로 늘리기 위해 양자를 두는 등 조세회피가 문제가 된 것이다.(‘상속세제 과세방식별 공제제도 비교연구’, 국회 예산정책처 연구용역, 2023). 일본은 이를 보완하기 위해 유산취득세 전환 8년만인 1958년 유산세 방식과 유산취득세 방식을 절충한 ‘법정상속분 방식’으로 전환했다.
유산취득세로 전환하면 상속재산을 ‘명의상 취득’하는 사람을 늘리는 방식 등으로 상속세 부과 과세표준 등을 낮추는 불법이 나타날 가능성이 있다.
기획재정부는 지난 12일 유산취득세 도입 방안을 발표하며 위장 분할·우회 상속 등 조세회피 방지책도 내놓았다. 상속재산 위장 분할의 경우 상속세 부과제척 기간(국가가 세금을 부과할 수 있는 기간)을 현행 10년에서 15년으로 연장하기로 했다. 나중에 상속재산을 다른 상속인에게 증여하는 방식으로 상속세를 낮추는 우회 상속에 대해서도 ‘상속 개시 후 5년 이내 증여’가 있을 경우 추가 과세를 따지기로 했다. 기재부는 지난 19일 상속세법 및 증여세법 개정안을 입법예고(4월28일까지)했다.
이에 대해 국회 예산정책처 보고서는 “상속세 과세방식 전환에 대한 찬반 의견이 상존하고 있다. 반대쪽에서는 부의 대물림에 대한 과세 약화로 인한 자산 불평등 심화와 세수 감소로 인한 국가재정 기반 약화를 우려하고 있다”고 지적했다. 이어 “정부의 조세회피 대응 방안 외에도 제도 보완이 필요한지에 대한 면밀한 검토가 필요하다. 유산취득세 방식에서 세액 확정·과세 관할 등 조세행정도 누수가 없도록 대비할 필요가 있다”고 했다.",유산취득세
세정신문,"상속세,유산취득세과세방식으로 전환…2028년 시행 목표",,,,,,,유산취득세
일요서울,기획재정부의 '유산취득세도입' 발표...상속세 전면 재정비? [지식용어...,,,,,,,유산취득세
세정일보,"조세재정연구원, 내달 4일 '유산취득세도입 상속세법 개정안 공청회' ...",,,,,,,유산취득세
