press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,"與 한정애 정책위의장 ""세제 개편안, 국민 목소리 경청할 것""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013404066?sid=100,,뉴시스,"與 한정애 정책위의장 ""세제 개편안, 국민 목소리 경청할 것""","한정애 ""전자청원 등 많은 분들 우려 표명하는 걸로 알아""
""정부와 긴밀하게 소통하며 최선을 다해 챙길 것""
[서울=뉴시스] 조성봉 기자 = 한정애 더불어민주당 원정책위의장이 5일 오전 서울 여의도 국회에서 열린 원내대책회의에서 발언을 하고 있다. 2025.08.05. suncho21@newsis.com
[서울=뉴시스]신재현 한재혁 기자 = 한정애 더불어민주당 신임 정책위의장이 5일 양도소득세 대주주 기준 하향 등 2025년도 정부 세제개편안과 관련해 ""정부와 긴밀히 소통하면서 최선을 다해 챙기겠다""고 밝혔다.
한 정책위의장은 이날 원내대책회의에서 ""오는 8월14일까지 입법 예고 기간으로 각계 의견을 수렴 중에 있다""며 그중에는 국회의 전자청원 올라오는 등 많은 분들께서 일부 우려를 표명하시는 사항도 있는 것으로 안다""고 말했다.
한 정책위의장은 ""정책위의장으로 일을 시작한 만큼 세제 개편안과 관련해서 국민들의 목소리를 경청하겠다. 두루 살피겠다""며 ""정부의 의견을 전달하는 과정도 필요하다고 본다""고 했다.'
이어 ""정부와 긴밀하게 소통하면서 최선을 다해 챙기도록 하겠다""고 덧붙였다.
민주당은 주식 양도소득세 대주주 기준을 50억원에서 10억원으로 하향하는 세제 개편안을 두고 찬반 의견이 갈려 갑론을박이 벌어지고 있는 상태다.
이에 정청래 민주당 대표는 전날 최고위원회의에서 ""한정애 정책위의장께서는 오늘 중으로 A안, B안을 다 작성해서 최고위에 보고해달라""며 ""가장 빠른 시간 안에 입장을 정리해서 국민 여러분들께 알려드리도록 하겠다""고 밝혔다.
한 정책위의장은 전날 당내 코스피 5000특위, 조세정상화 특위 등 소속 의원들을 만나 당내 의견 수렴 절차를 시작한 것으로 알려졌다．",세제개편
노컷뉴스,"대통령실 ""하루이틀 변동으로세제개편재검토 어려워""",네이버뉴스,https://n.news.naver.com/mnews/article/079/0004052653?sid=100,,노컷뉴스,"대통령실 ""하루이틀 변동으로 세제개편 재검토 어려워""","강유정 대변인 ""오늘은 주가 올라""
양도세 개편과 주식시장 인과성 부인
재검토 가능성도 사실상 일축
""여당 의견 수렴한다는 원칙적 얘기""
강유정 대통령실 대변인이 5일 서울 용산 대통령실 청사에서 현안 브리핑을 하고 있다. 연합뉴스
대통령실은 5일 세제 개편안 재검토 여부에 대해 ""주식시장 구조를 바꾸는 데 있어 하루이틀 주가 변동폭으로만 정책을 다시 고려하기는 쉽지 않을 것""이라고 밝혔다.
대통령실 강유정 대변인은 이날 오전 언론 브리핑에서 ""오늘은 또 주가가 올랐다. 이재명 정부에서는 한국 주식시장을 더욱 구조적으로 건강하게 하기 위해 차근차근 진행하고 있다""며 이같이 말했다.
강 대변인의 발언은 주식 양도소득세 과세 대상 대주주 기준을 50억 원에서 10억 원으로 강화하는 내용을 골자로 하는 세제 개편안 발표로 주식시장이 위축됐다는 지적에 대한 반박으로 풀이된다.
강 대변인은 최근 대통령실이 더불어민주당 지도부에 세제개편안과 관련한 당내 의견을 수렴해 달라고 요청했다는 언론 보도에 대해 ""다양한 입법 문제, 정책 과제에 대해 여당 의견을 충분히 수렴할 수 있다는 원칙적인 얘기였다""며 세제 개편안 재검토 가능성을 사실상 부인했다.
다만 ""안이 마련되면 충분히 들을 수 있다""며 여당 내 총의가 모일 경우 대응에 나설 가능성도 열어뒀다.
세제 개편안을 두고 여당인 민주당에서도 찬반 의견이 엇갈리는 상황이다. 정청래 당 대표는 비공개 논의를 거쳐 정책 방향 등을 결정하겠다고 밝혔다. 이와 관련해 한정애 정책위의장은 당내 의견 수렴 절차를 진행 중인 것으로 알려졌다.
※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.
이메일 :
jebo@cbs.co.kr
카카오톡 :
@노컷뉴스
사이트 :
https://url.kr/b71afn",세제개편
노컷뉴스,"대통령실 ""주가 하루이틀 변동으로세제개편재검토 어려워""",네이버뉴스,https://n.news.naver.com/mnews/article/079/0004052653?sid=100,,노컷뉴스,"대통령실 ""하루이틀 변동으로 세제개편 재검토 어려워""","강유정 대변인 ""오늘은 주가 올라""
양도세 개편과 주식시장 인과성 부인
재검토 가능성도 사실상 일축
""여당 의견 수렴한다는 원칙적 얘기""
강유정 대통령실 대변인이 5일 서울 용산 대통령실 청사에서 현안 브리핑을 하고 있다. 연합뉴스
대통령실은 5일 세제 개편안 재검토 여부에 대해 ""주식시장 구조를 바꾸는 데 있어 하루이틀 주가 변동폭으로만 정책을 다시 고려하기는 쉽지 않을 것""이라고 밝혔다.
대통령실 강유정 대변인은 이날 오전 언론 브리핑에서 ""오늘은 또 주가가 올랐다. 이재명 정부에서는 한국 주식시장을 더욱 구조적으로 건강하게 하기 위해 차근차근 진행하고 있다""며 이같이 말했다.
강 대변인의 발언은 주식 양도소득세 과세 대상 대주주 기준을 50억 원에서 10억 원으로 강화하는 내용을 골자로 하는 세제 개편안 발표로 주식시장이 위축됐다는 지적에 대한 반박으로 풀이된다.
강 대변인은 최근 대통령실이 더불어민주당 지도부에 세제개편안과 관련한 당내 의견을 수렴해 달라고 요청했다는 언론 보도에 대해 ""다양한 입법 문제, 정책 과제에 대해 여당 의견을 충분히 수렴할 수 있다는 원칙적인 얘기였다""며 세제 개편안 재검토 가능성을 사실상 부인했다.
다만 ""안이 마련되면 충분히 들을 수 있다""며 여당 내 총의가 모일 경우 대응에 나설 가능성도 열어뒀다.
세제 개편안을 두고 여당인 민주당에서도 찬반 의견이 엇갈리는 상황이다. 정청래 당 대표는 비공개 논의를 거쳐 정책 방향 등을 결정하겠다고 밝혔다. 이와 관련해 한정애 정책위의장은 당내 의견 수렴 절차를 진행 중인 것으로 알려졌다.
※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.
이메일 :
jebo@cbs.co.kr
카카오톡 :
@노컷뉴스
사이트 :
https://url.kr/b71afn",세제개편
세계일보,"""주식 이제 팔아야 하나?""…세제개편실망 이어 美 증시 ‘조정 경고’...",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004057422?sid=101,,세계일보,"""주식 이제 팔아야 하나?""…세제개편 실망 이어 美 증시 ‘조정 경고’까지","美 투자은행들, S&P 500 단기 하락 경고…국내 주식시장 타격 예상
미국 주식시장이 단기적으로 조정을 보일 수 있다는 경고가 나오고 있다. 주가가 많이 오른 데다 경제지표도 안 좋게 나오고 있기 때문이다. 미국 주식시장이 조정을 받으면 국내 주식시장도 타격이 예상된다.
블룸버그 통신에 따르면 미국 대형 투자은행 모건스탠리와 에버코어 ISI, 독일 최대 상업은행 도이체방크 등은 4일(현지시간) 보고서에서 뉴욕 증시의 대표 지수인스탠더드앤드푸어스(S&P) 500이 향후 몇주 혹은 몇 달 내에 단기적으로 하락할 수 있다고 경고했다.
4일(현지시간) 뉴욕증권거래소(NYSE) 모습. UPI연합뉴스
모건스탠리의 마이크 윌슨 전략가는 미국 정부의 관세가 민간 소비와 기업 경영에 타격을 입히면서 이번 분기에 최대 10%의 주가 조정이 있을 것으로 예측했다.
윌슨은 고객들에게 보낸 메모에서 ""투자자들은 최근 몇 주간 3분기에 소폭 하락이 있을 것임을 예상하게 됐다""고 했다.
에버코어ISI의 줄리언 이매뉴얼은 최대 15%의 하락이 나올 수 있다고 전망했다.
도이체방크의 파라그 타테 분석팀도 뉴욕 주식 시장이 3개월 넘게 강세를 보여 왔기 때문에 소폭 하락은 불가피하다고 봤다.
뉴욕 증시는 지난 4월 저점을 기록한 뒤 급등해 지금은 사상 최고치 수준이다.
최근 나오는 미국 경제 지표는 물가의 소폭 상승과 노동시장 약세, 소비 지출 약세를 보여준다. 뉴욕 증시가 연중 가장 약세를 보이는 시기에 접어들었다는 점도 조정 예상의 근거가 됐다.
블룸버그 집계 자료에 따르면 지난 30년 동안 S&P 500지수는 8월과 9월에 각각 0.7%의 하락률을 기록해 가장 저조한 성적을 보였다. 이외의 달에 평균 1.1% 상승한 것과 대비된다.
최근 주가가 많이 오른 것도 부담이다. 주가의 상승·하락 압력을 나타내는 보조지표 주가 상대강도지수(RSI)로 볼 때 S&P 500의 최근 14일 RSI는 76을 넘어섰다. 지난해 7월 이후 최고치다.
미국 뉴욕 타임스퀘어에 설치된 모니터에 나스닥 주가가 표시되고 있다. EPA연합뉴스
옵션시장에서도 조정에 대한 투자자들의 우려가 드러났다. 향후 60일 동안 SPDR S&P 500 ETF 트러스트(SPY)가 10% 하락할 경우를 대비한 헤지 비용은 10% 상승에 대비한 비용과 비교했을 때 2023년 5월 지방은행 위기 이후가장 높았다.
단기적인 조정 경고에도 불구하고 큰 흐름은 강세를 유지할 것이라는 전망도 나왔다.
에버코어 보고서는 변동성이 있겠지만 주가가 장기적으로 강세장을 보일 것이라면서 특히 인공지능(AI) 수혜 기업에 투자하라고 조언했다.
도이체방크도 과거 S&P 500지수가 평균 1.5~2개월마다 약 3% 하락했지만 3~4개월마다 5% 이상 상승했다면서 ""주가가 떨어지면 매수하는 자세를 유지하라""고 했다.
한편 미 노동시장의 약화를 시사하는 고용보고서 발표 후 급락했던 뉴욕증시가 저가 매수세 유입에 하루 만에 반등 마감했다.
이날 뉴욕증시에서 다우존스30 산업평균지수는 전 거래일보다 585.06포인트(1.34%) 오른 44,173.64에 거래를 마쳤다.
스탠더드앤드푸어스(S&P) 500 지수는 전 거래일보다 91.93포인트(1.47%) 오른 6,329.94에, 기술주 중심의 나스닥 종합지수는 전 거래일보다 403.45포인트(1.95%) 오른 21,053.58에 각각 마감했다.",세제개편
디지털타임스,"[기획] 정청래,세제개편역풍에 ‘반기업법’ 살라미 전술로 우회",네이버뉴스,https://n.news.naver.com/mnews/article/029/0002973233?sid=100,,디지털타임스,"[기획] 정청래, 세제개편 역풍에 ‘반기업법’ 살라미 전술로 우회","우의장 주재 여야 오찬서 합의
與 “야당도 방송법 먼저 요청”
반기업 프레임·민심악화에 조정
정청래 신임 더불어민주당 대표가 4일 국회에서 열린 본회의에 참석해 회의 진행을 지켜보다 생각에 잠겨 있다. [연합뉴스]
뜻하지 않은 복병이 나타났다. 정부가 발표한 세제 개편안을 둘러싸고 개미 투자자들의 반발이 거세자 ‘반기업법’으로 몰린 상법 개정안과 ‘노란봉투법’(노동조합 및 노동관계조정법 2·3조 개정안) 처리 속도 조절에 들어갔다.
더불어민주당은 7월 임시국회 마지막 날인 4일 본회의에 ‘방송 3법’(방송법·방송문화진흥회법·한국교육방송공사법 개정안)을 먼저 올렸다. 국민의힘의 필리버스터(무제한 토론) 예고에 더해 세제 개편안을 둘러싼 개미 투자자의 반발과 반기업 프레임 부담이 겹치자 전략 조정에 나선 것으로 풀이된다.
우원식 국회의장은 이날 국회에서 열린 본회의에서 민주당 요구를 받아들여 비쟁점 법안 15건을 먼저 처리한 뒤 방송 3법 중 하나인 방송법 개정안을 상정했다. 국민의힘은 소속 의원 107인 명의로 필리버스터를 신청했고 신동욱 의원이 오후 4시쯤 첫 발언자로 나섰다.
민주당은 당초 단일 법안인 상법 2차 개정안이나 노란봉투법을 우선 처리할 것으로 관측됐다. 방송 3법은 패키지 법안인 만큼 처리를 8월로 순연하자는 목소리가 있었다. 특히 이재명 대통령이 최근 참모들에게 노란봉투법의 신속한 추진을 당부한 것으로 알려지면서 민주당은 처리에 총력을 기울이는 모양새였다.
그러나 민주당은 방송3법 중 하나인 방송법 개정안을 우선 상정했다. 나머지 방송 관련 법안과 상법 2차 개정안, 노란봉투법은 등은 8월 임시국회에서 순차적으로 처리할 계획이다.
방송 3법을 우선 처리하기로 결정한 것은 ‘강력한 개혁 리더십’을 앞세워 당대표로 선출된 정청래 신임 민주당 대표의 의지가 강하게 작용한 것으로 보인다. 정 대표는 이날 오전 열린 최고위원회의에서도 검찰·언론·사법 개혁을 추석 전 반드시 완수하겠다는 의지를 드러냈다. 국민의힘이 필리버스터로 전면 저지를 예고하면서 ‘살라미 전술’로 일정을 분산하는 쪽으로 방향을 튼 것도 있다.
야당의 요청도 있었다. 문진석 민주당 원내수석부대표는 이날 오전 우 의장 주재 여야 원내지도부 오찬 회동을 마친 뒤 기자들과 만나 “야당에서도 방송법을 먼저 하자는 요청이 있어 양보했다”고 설명했다.
다만 민주당이 법안의 상정 순서를 변경한 결정적 배경에는 최근 정부가 발표한 세제 개편안의 후폭풍이 자리하고 있다는 분석도 나온다. 정부·여당이 지난달 31일 법인세·증권거래세 인상과 주식양도세 과세 대상 대주주 기준 하향 조정 등을 담은 세제 개편안을 발표하면서 주식 시장은 급락하고 개미 투자자들의 반발은 확산하고 있다. 이 여파로 국민의힘이 반기업이라며 맹공을 펼치고 있는 상법 2차 개정안이나 노란봉투법의 처리를 강행하기에는 민주당에 정치적 부담이 뒤따랐을 것이란 해석이다. 입법 강행 기조는 유지하면서도 여론이 좋지 않다는 점을 의식해 순서만 뒤로 미루는 전략을 택한 셈이다.
7월 임시국회는 5일 종료된다. 국회법을 보면 필리버스터는 개시 후 24시간이 지난 뒤 재적 의원 5분의 3의 찬성으로 종료시킬 수 있다. 이를 고려하면 7월 임시국회에서는 방송법 개정안밖에 처리하지 못하고 2차 상법 개정안, 노란봉투법 등 나머지 쟁점 법안의 경우 8월 임시국회로 미룰 수밖에 없다.
정치권에서는 여름휴가 등의 일정으로 8월 본회의가 오는 21일부터 본격화할 것으로 내다보고 있다. 강경 노선은 이어가면서도 오는 21일까지 악화한 여론이 가라앉길 바라면서 시간을 두고 정국을 운영하겠다는 의도가 읽힌다. 국민의힘의 필리버스터 전략에 대응하는 동시에 민심 달래기에 나선 것이다.
실제 민주당은 전략을 바꿨을 뿐 쟁점 법안들의 입법 강행 의지는 굽히지 않고 있다. 정 대표는 이날 본회의에 앞서 국회에서 개최한 의원총회에서 “본회의에서 당이 오랫동안 준비해온 민생 개혁 입법들을 상정한다”며 “약간의 우여곡절이 있었지만 검찰·언론·사법개혁 중의 하나인 언론개혁에 관련한 방송 3법을 맨 앞에 상정해 처리할 것”이라고 말했다.
그러면서 “노란봉투법, 상법 2차 개정안, 양곡관리법, 농안법 등은 국민의 삶을 지킬 안전장치”라며 “무너진 민주주의를 바로 세울 출발점이고 대한민국의 회복과 성장에 다시 시동을 걸 오늘이 돼야 한다”고 강조했다.",세제개편
아주경제,세제개편후폭풍…'대주주 양도세 기준 하향' 반대청원 9.5만명 돌파,,,,,,,세제개편
아주경제,與 “세제개편조정 검토”… ‘설계자’ 진성준 반기,,,,,,,세제개편
이데일리,대통령실 “세제 개편때문에 주가 하락?…분석 신중해야”,네이버뉴스,https://n.news.naver.com/mnews/article/018/0006081577?sid=100,,이데일리,대통령실 “세제 개편 때문에 주가 하락?…분석 신중해야”,"강유정 대변인 ""분석적인 접근 필요"" 기존 입장
""대외 환경적 요인과 국내 요인 맞물려 복합적""
[이데일리 김유성 기자] 대통령실은 최근 세제 개편에 따른 주가 급락과 관련해 “분석적인 접근이 필요하다”며 신중한 태도를 보였다. 장기적인 관점에서 정책 효과를 지켜봐야 한다는 기존 입장을 재확인한 것으로 풀이된다.
강유정 대통령실 대변인(사진=연합뉴스)
강유정 대통령실 대변인은 4일 브리핑에서 세제 개편에 따른 주가 하락 가능성에 대한 기자들의 질문에 “지난번 말씀드렸던 것처럼 선후 관계는 있으나, 이것이 인과관계라고 하기에는 분석적 접근이 필요하다”고 말했다.
강 대변인은 이어 “대외적인 환경과 국내 여러 요인이 맞물려 돌아가는 복합적 현상이 있다”며 “이재명 정부의 주식시장에 대한 근본적인 기대감은 구조적인 펀더멘털을 강화해 한국 시장의 기초 체력을 높이겠다는 데 있다”고 강조했다.
이어 “기업 가치가 주가에 제대로 반영될 수 있도록 구조적인 변화를 추구하는 것이 이재명 정부의 주식시장 정상화에 대한 근본적이고 장기적인 계획”이라고 덧붙였다.
주식 양도소득세와 관련해 여당 내부에서도 다양한 의견이 제기되고 있는 점도 언급됐다. 강 대변인은 “당내에 여러 의견이 있다면 그에 귀 기울이고 경청할 준비가 되어 있다”고 밝혔다.
앞서 더불어민주당은 대주주 기준을 기존 ‘종목당 50억 원 이상 보유’에서 ‘10억 원 이상 보유’로 대폭 하향 조정하는 방안을 포함한 세제 개편안을 발표했다. 이에 따라 과세 대상이 확대되고, 증권거래세 인상과 맞물리며 일부 주식 투자자들의 반발을 불러왔다. 실제로 지난 1일 코스피는 3.9% 하락하며 큰 폭의 조정을 받았다.
투자자 반발과 시장 불안정성이 확산되자, 더불어민주당 내부에서도 대주주 기준 하향에 대한 재검토 의견이 잇따르고 있다. 당정 조율 가능성도 제기되면서 ‘코스피5000 특위’ 등을 중심으로 추가 논의가 진행될 것으로 보인다.",세제개편
뉴스1,"""세제 개편우려 과했나""…KB금융, 3.69% 상승 [핫종목]",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008412799?sid=101,,뉴스1,"""세제 개편 우려 과했나""…KB금융, 3.69% 상승 [핫종목]","서울 중구 하나은행 딜링룸 전광판./뉴스1 ⓒ News1 민경석 기자
(서울=뉴스1) 문혜원 기자 = 세제 개편 우려로 최근 급락했던 금융주가 일제히 반등했다.
5일 한국거래소에 따르면 KB금융(105560)은 전일 대비 4000원(3.69%) 오른 11만 2400원에 거래를 마쳤다.
또 신한지주(055550)(3.19%)와 우리금융지주(316140)(2.68%), 하나금융지주(086790)(2.55%) 등 은행주 전반이 상승 마감했다.
이외에 미래에셋생명(085620)(6.09%) 삼성화재(000810)(3.95%) 한화손해보험(000370)(2.76%) 흥국화재(000540)(2.57%) 삼성생명(032830)(2.41%) 등 보험주와 신영증권(001720)(6.06%) 부국증권(001270)(3.85%) 삼성증권(016360)(3.09%) 등 증권주도 올랐다.
앞서 금융주는 정부의 세제개편안 발표와 함께 하락했다. 정부가 낸 세제개편안에 따르면 주식 양도소득세 과세 대상인 대주주 기준을 50억 원에서 10억 원으로 낮추고, 증권 거래세를 상향하기로 했다.
배당소득 분리과세도 기존에 기대했던 최고 세율 25%에서 35%로 상향되고 고배당 기업 조건도 시장 기대보다 엄격하게 제시됐다.
이에 금융주가 급락했지만, 투자자 반발에 정치권에서 재검토 논의가 힘을 얻으며 매수세가 다시 쏠린 것으로 보인다.
이경민 대신증권(003540) 연구원은 ""최근 정책 실망감에 급락했던 금융주와 지주사주에 대한 낙폭 과대 인식에 외국인과 기관의 저가 매수세가 유입됐다""고 진단했다.
이재원 신한투자증권(008670) 연구원은 ""양도세 기준, 배당소득 분리과세율 등 구체적인 조정안을 지속해서 확인할 필요가 있다""고 했다.",세제개편
한국경제,"코스피, 3200 턱밑에서 마감…장중세제 개편언급에 '출렁'",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005167018?sid=101,,한국경제,"코스피, 3200 턱밑에서 마감…장중 세제 개편 언급에 '출렁'","코스닥 1.8% '상승'
원·달러 환율 1388.3원에 주간 거래 마쳐
5일 오후 서울 중구 하나은행 딜링룸./사진=뉴스1
코스피와 코스닥 지수가 상승 마감했다. 미국 기준금리 인하 기대감에 투자심리가 회복된 것으로 추정된다. 다만 장중 '주식 양도세 기준 재검토가 어렵다'는 보도가 나오며 지수가 출렁이기도 했다.
5일 코스피는 전일 대비 50.25포인트(1.6%) 오른 3198에 마감했다. 코스피는 2거래일 연속 상승했다. 코스닥 지수도 1.85% 오른 14.54에 거래를 마쳤다. 코스피와 코스닥 지수는 장 초반 각각 3200, 800선을 웃돌며 상승세를 탔지만, 오전 11시30분께 상승분을 소폭 반납했다.
강유정 대통령실 대변인이 언론 브리핑에서 ""세제 개편안 재검토 여부에 대해 ""주식시장 구조를 바꾸는 데 있어 하루 이틀 주가 변동폭으로만 정책을 다시 고려하기는 쉽지 않을 것""이라고 밝히면서다.
시장은 세제 개편안을 악재로 해석하고 있다. 모건스탠리는 이번 세제 개편안이 국내 자본시장 개선에 대한 기대감을 약화할 것으로 예상하며 향후 3~6개월 내 코스피 하락 가능성을 열어 뒀다.
이날 유가증권시장에 외국인과 기관은 각각 3570억원, 748억원을 순매수했다 개인은 5169억원을 순매도했다. 코스닥 시장에서도 외국인과 기관은 각각 648억원, 178억원 매수 우위를 보였다. 개인은 752억원을 순매도했다.
시가총액 순위 상위주는 대부분 강세를 보였다. KB금융(3.69%), 신한지주(3.19%), 한화에어로스페이스(2.45%), 셀트리온(2.24%), SK하이닉스(2.13%), 한화오션(1.57%), 두산에너빌리티(0.78%)이 상승 마감했다. 삼성전자는 전일 대비 200원(0.29%) 오른 6만9900원에 거래를 마쳤다.
코스닥 시가총액 상위주도 상승세로 마감했다. 에이비엘바이오(5.02%), 레인보우로보틱스(3.82%), 알테오젠(2.78%), 리가켐바이오(2.14%), 리노공업(2%), 코오롱티슈진(1.77%), 파마리서치(1.62%)가 전날보다 높은 가격에 거래를 마쳤다.
2차전지주의 상승세도 두드러졌다. 에코프로머티(11.91%), 코스모신소재(10.7%), 삼성SDI(10.22%) 등 관련주가 일제히 불을 뿜었다. 에코프로비엠(15.28%)의 호실적에 힘입어 업종을 바라보는 투자심리가 개선된 모습이다. 에코프로비엠은 2분기 영업이익이 490억원으로 잠정 집계됐다고 공시했다. 금융정보업체 에프앤가이드가 집계한 영업이익과 매출이익 컨센서스는 각각 123억원과 7211억원이었다. 시장 기대치를 웃돈 '깜짝 실적'이다.
SK바이오팜도 15.92% 급등했다. 신약 매출이 늘어 영업이익이 전년 동기 대비 2배 이상 늘었다. '비과세 배당'을 결정한 넥스틸도 16.34% 올랐다. 넥스틸은 이날 이사회를 열고, 중간배당으로 주당 1155원을 지급하겠다고 밝혔다. 시가배당률은 8.12%에 달한다.
원·달러 환율은 전장 대비 3.1원 오른 1388.3원에 거래를 마쳤다.",세제개편
