press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴스1,불확실성에 위축된소비심리,네이버뉴스,https://n.news.naver.com/mnews/article/421/0007998629?sid=101,,뉴스1,불확실성에 위축된 소비심리,"(서울=뉴스1) 구윤성 기자 = 새해 첫날인 1일 오후 서울 명동거리의 일부 구역이 한산하다.
지난해부터 이어진 고물가·고환율, 비상계엄 사태와 탄핵 정국 속 정치 불확실성 등으로 소비심리가 위축되면서 올해 경기 하방 리스크는 더 커질 것으로 보인다. 2025.1.1/뉴스1",소비심리
경기일보,"계엄·애도에소비심리꽁꽁... 소상공인들 '혹독한 겨울' [현장, 그곳&]",네이버뉴스,https://n.news.naver.com/mnews/article/666/0000060986?sid=102,,경기일보,"계엄·애도에 소비심리 꽁꽁... 소상공인들 '혹독한 겨울' [현장, 그곳&]","비상계엄 후 회복 기대했지만... 4일까지 국가애도기간 지정
연말연시 특수 실종에 ‘한숨’
1일 낮 12시께 수원특례시 장안구의 한 식당 안은 손님 한 명 없이 고요하기만 했다. 박소민기자
지난달 31일 오후 7시께 안양시 동안구 호계동 범계로데오거리. 연말연시면 매번 북적이는 사람들로 발디딜 틈 없던 이곳은 손님 1명 없이 한산하다 못해 적막감마저 느껴졌다. 인근을 둘러봤지만 이곳 식당가 10곳 중 4곳이 손님 한 명 없이 텅텅 비어 있는 모습이었다.
인근에서 식당을 운영 중인 김지호씨(가명·20대)는 “저희는 다른 곳에 비해 장사가 잘되는 매장인데도 불구하고 최근 들어 한달 매출이 200~300만원 감소했다”며 “이 시국에 송년회를 한다는 것 자체가 문제라는 인식이 강해 이미 잡혀있던 예약도 줄취소되고 있는 상황”이라며 한숨을 내쉬었다.
1일 낮 12시께 수원특례시 장안구의 한 식당도 상황은 마찬가지. 시국이 시국인지라 가게 문을 열지 말지 고민하던 한정숙씨(50대)가 장고 끝에 결심하고 이른 아침부터 음식 마련을 위해 분주히 움직인 노력이 물거품이 됐다.
가게 문을 연 지 3시간이 훌쩍 지났지만 아침부터 손님들의 주문소리 대신 TV에서 흘러나오는 노래소리가 식당 내부에 맴돌았고 미리 준비한 밑반찬들은 차갑게 식어가고 있었다.
한씨는 “국가애도기간 때문인지 이번 연말연시 단체 손님 예약은 단 한 건도 없었다”며 “연말인 어제도 오후 5시까지 손님이 한 명도 없었다”며 고개를 저었다.
무안 제주항공 여객기 참사로 인해 선포된 국가애도기간이 계엄 사태 이후 연말연시 회복을 기대하던 지역 상권에 직격탄을 날리며 소상공인들의 시름이 깊어지고 있다.
이날 경기도 등에 따르면 정부는 무안 제주항공 여객기 참사가 발생한 지난달 29일 밤부터 1월4일까지를 국가애도기간으로 지정했다.
국가애도기간은 세월호 참사, 이태원 참사 등 대규모 인명 사고가 발생했을 때 지정된다. 이 기간 동안 축제, 지자체 행사, 모임 등은 자제되는 분위기가 형성된다.
앞서 지난달 3일 비상계엄 이후 수원특례시, 광명시, 시흥시, 광주시 등을 비롯한 각 지자체 장들은 지역상권 활성화를 위해 주변 식당 이용 권장, 취소했던 연말 회식 재개 추진 등을 당부했다.
하지만 계엄 사태 이후 국가애도기간이 선포되자 송년회, 연말연초 행사 등이 잇따라 취소, 각 지자체들의 노력에도 소상공인들이 변화를 체감하기에는 역부족인 상황이다.
이홍주 숙명여대 소비자경제학과 교수는 “비상계엄에 이어 국가애도기간으로 자연스럽게 소비심리가 위축될 수밖에 없는 것 같다”며 “즐거운 시간을 보내는 것에 대한 미안한 마음과 죄스러운 마음들이 있기 때문에 이로 인한 소상공인들의 어려움은 당분간 지속될 것으로 전망된다”고 말했다.",소비심리
MBC,"2025년, 위축된소비심리‥불확실성을 걷어내라",네이버뉴스,https://n.news.naver.com/mnews/article/214/0001397299?sid=101,,MBC,"2025년, 위축된 소비심리‥불확실성을 걷어내라","[뉴스투데이]
◀ 앵커 ▶
정치적 격변 속에 연말을 지나온 우리 경제, 2025년 새해에는 어떤 모습일까요.
올해 성장률이 2% 이하로 떨어질 것이라는 부정적 전망이 계속되고 있는데 반전시킬 방법은 없을지, 이성일 기자가 짚어봤습니다.
◀ 리포트 ▶
지난 1분기 3.3% 깜짝 성장에도, 2024년 전체 경제 성장률은 2% 초반에 머물 것으로 예상됩니다.
설비, 건설투자는 하반기 크게 꺾였고, 소비 회복이 예상보다 더뎠습니다.
2025년은 어떻게 달라질까요?
우리 수출 규모가 10% 전후로 줄어든다는 경고는, 집권 2기 도널드 트럼프 미국 행정부가 보편 관세를 부과했을 때 우리에게 줄 충격을 보여줍니다.
달러 값, 미국 기준 금리도 새 미국 정부 정책에 달렸습니다.
[조영무/LG 경영연구원 연구위원]
""(트럼프 행정부) 3대 핵심 정책이라고 부를 수 있는 것들이 결국은 관세, 감세, 이민 통제 강화, 공교롭게도 세 가지 정책이 모두 한 가지 방향을 가리키고 있는데, 그것은 인플레이션, 물가상승 압력의 상승입니다.""
국내에서는 바닥까지 떨어진 소비심리를 되살리는 것이 우선 과제입니다.
[조영무]
""수출이 둔화되는 가운데 그동안 부진했던 소비와 투자와 같은 내수 부분이 어느 만큼 회복되면서 수출 둔화를 보완(메이크업)해 줄 수 있느냐?""
12·3 계엄사태, 아직은 파장의 깊이와 끝을 알 수 없습니다.
""간과하고 있던 한국 경제의 취약점 가령 중국과의 경쟁 격과라든가, 한국 안에서 이루어지고 있지 않은 투자라든가, 조금 더 우려하게 되는 계기로 작용할 가능성은 있는 것으로 보입니다.""
통상 협상과 정책 대응을 맡은 정부, 정치권이 리더십-지도력 부재와 혼란을 어떻게 수습할지 관건입니다.
[조영무/LG 경영연구원 연구위원]
""탄핵 국면을 짧게 가져갈 수 있다고 한다면, 민간소비를 중심으로 국내 경제에 미칠 수 있는 악영향을 최소화시킬 여지가 있습니다.""
1%대를 가리키는 부정적 전망, 하반기 세계 반도체 경기와 함께 경제가 되살아날 것이라는 희망도, 앞선 과제를 어떻게 해결했느냐에 따라 현실이 될 수도, 아닐 수도 있습니다.
MBC뉴스 이성일입니다.
MBC 뉴스는 24시간 여러분의 제보를 기다립니다.
▷ 전화 02-784-4000
▷ 이메일 mbcjebo@mbc.co.kr
▷ 카카오톡 @mbc제보",소비심리
매일일보,소상공인 금융지원 늘었지만…위축된소비심리회복해야,,,,,,,소비심리
이뉴스투데이,"[2025전망] 유통가,소비심리위축에 성장 기대치 하락···제약바이오...",,,,,,,소비심리
마이데일리,"[르포] “매장은 텅텅, 사라진소비심리”… 연말 특수 ‘실종’",네이버뉴스,https://n.news.naver.com/mnews/article/117/0003900363?sid=103,,마이데일리,"[르포] “매장은 텅텅, 사라진 소비심리”… 연말 특수 ‘실종’","고물가·정국 불안에 내국인 소비심리 ‘뚝’
달러 강세에 외국인 관광객 쇼핑 ‘싹쓸이’
명동·홍대·여의도 등 인파 예년보다 적어
지난 27일 저녁 서울 강서구에 있는 한 쇼핑몰. /한종훈 기자
[마이데일리 = 한종훈 기자·심지원 기자] “가게에 들어오는 손님이 없어요.”
지난 27일 2024년 마지막 금요일 저녁 서울 강서구에 있는 한 쇼핑몰. 이곳은 쇼핑몰을 비롯해 백화점, 마트와 식당가 그리고 영화관과 호텔까지 다양한 시설이 갖춰져 있다. 지하철역과도 연결돼 있어 가족·연인·친구·관광객 등 많은 사람이 방문하면서 주말에는 항상 붐빈다.
이날 역시 올해 마지막 '불금'과 연말을 보내려는 인파가 몰릴 것으로 예상했다. 하지만 쇼핑몰 분위기는 조용했다. 마트와 식당가에는 다소 북적였지만 의류 매장 등은 손님보다 종업원이 더 많았다.
한 중식당 관계자는 “평소 금요일 저녁에는 20분 이상은 기다려야 식사를 할 수 있었다. 12월은 늘 손님이 많았다”면서 “올해는 확실히 분위기가 다르다. 금요일인데도 대기 없이 바로 입장이 가능하다. 연말 분위기도 나지 않을 뿐더러 확실히 사람들이 지갑을 열지 않는 것 같다”고 말했다.
쇼핑몰에 있는 대형 의류매장 관계자 역시 “지난해엔 물건을 보러 들어오는 사람이 제법 있었는데, 올해는 이마저도 뜸하다. 연말 특수는 거의 없다고 보면 된다”고 분위기를 전했다.
지난 30일 오후 명동 거리. /심지원 기자
명동에 있는 중저가 생활용품 브랜드 매장. 한 외국인이 계산을 기다리고 있다. /심지원 기자
◇고환율에 명동 찾은 외국인 관광객 쇼핑 늘어
지난 30일 오후 서울 중심가 명동. 한국을 방문한 외국인 관광객이 몰리면서 인파는 적지 않았다. 화장품 등 매장 앞에는 일본어와 중국어로 외국인을 호객하는 상인들로 분주했다.
외국인들은 중저가 제품과 한류와 연관된 매장 앞에 주로 몰렸다. 지인 선물을 위해 같은 화장품 20개를 구입했다는 한 미국인 관광객은 “미국에서도 한국 화장품이 인기다”라며 “원화 대비 달러가 강세라서 계획보다 많은 물건을 구입하게 됐다”고 말했다.
지난 3일 계엄 사태 등으로 일부 국가는 한국에 여행 주의보 등을 발령했다. 한 닭갈비 전문 식당 관계자는 “우리 가게는 중국인 등 외국인이 많이 찾는다. 계엄 사태로 외국인이 오지 않을까 걱정했는데 생각보다는 줄지 않았다”면서 “연말 분위기 치곤 나쁘지 않지만 작년보다 확실히 사람이 적다. 다행히 코로나19 때보단 나아진 상황이다”고 설명했다.
명동 화장품 멀티 브랜드 매장. 외국인들이 줄지어 계산을 기다리고 있다. /심지원 기자
한류로 인기를 끈 의류 브랜드 매장. 외국인들이 옷을 입어보고 있다. /심지원 기자
식당을 방문한 대만 관광객은 “이번이 세 번째 한국 방문이다. 한국이 정치적으로 불안한 상황이라는 소식을 듣곤 여행을 올 지 조금 고민했다”면서 “하지만 한국에서 재밌게 놀고 있고 맛있는 음식에 이번 방문도 만족스럽다""고 밝혔다.
내국인 소비는 예년에 비해 줄었다. 실제로 지난 24일 한국은행이 발표한 소비자 동향조사 결과에 따르면 이달 소비자심리지수(CCSI)는 88.4로, 지난달보다 12.3포인트 떨어졌다. 2020년 3월(-18.3포인트) 이후 가장 큰 낙폭이다.
한 백화점 관계자는 “백화점에서만 20년 근무했다”면서 “연말 치고는 한산한 분위기다. 경험상 올해가 가장 안 좋다. 고물가와 정치 상황 때문에 내국인 소비가 뚝 끊겼다. 그나마 일본과 중국 등 아시아 관광객들이 구매해주는 것이 위안이다”라고 토로했다.
지난 30일 오후 홍대 거리. /심지원 기자
홍대 레드로드. 평소에 비해 사람이 적다. /심지원 기자
◇홍대
·
이태원도 연말 특수 실종
젊은이들의 성지인 홍대거리도 인파로 북적이긴 했으나, 연말 특수는 없었다. 이곳을 찾은 이들은 연말이라 더 붐비기보다 평소의 홍대라고 입을 모은다.
홍대를 자주 방문한다는 한 대학생은 “사람은 북적이는 것 같은데 안 좋은 상황들이 겹치면서 무게가 다른 느낌이다”라며 “원래는 매장에서 음악도 크게 틀어 연말 분위기가 났는데 올해는 아니다”라고 분위기를 전했다. 그는 이어 “홍대뿐만 아니라 이태원도 연말 분위기가 나지 않는 것은 마찬가지”라고 강조했다.
홍대거리에서 작년까지 다트 풍선 가게를 하다가 올해는 붕어빵 노점상을 운영하고 있다는 한 상인은 “매출 변화는 크지 않지만 사람이 지난해보다 적다”고 말한다.
한 의류 매장 관계자도 “경기도 안 좋고 정국 불안까지 겹치면서 연말치곤 사람이 너무 없다”고 전했다.
30일 저녁 여의도역 인근 건물 지하 식당가. /심지원 기자
여의도역 인근 건물 지하 식당가. 평소에 비해 손님이 적다. /심지원 기자
◇송년회 사라진 여의도 식당가 매출 급감
직장인들이 많은 여의도의 저녁도 한산했다. 연말 송년회 등 각종 모임으로 식당과 주점 등에는 인산인해를 이뤘던 예년과는 다른 풍경이다.
경기 침체와 더불어 계엄 사태, 제주항공 참사에 국가애도기간까지 선포됐다. 이로 인해 각종 모임 등을 자제하는 분위기가 확산됐다. 실제로 식당과 주점이 몰려있는 여의도역 인근 지하상가에는 저녁 7시에도 쉽게 빈자리를 찾아볼 수 있었다.
한 치킨집 관계자는 “예년에 비하면 15% 정도 매출이 낮은 상황이다. 여의도 계엄 집회 때는 매출이 조금 늘긴했다”면서도 “올해는 연말 특수가 없다고 보면 된다. 사람들이 집 밖으로 잘 안 나온다”고 분위기를 전했다.
여의도에서 만난 한 개인 택시 기사 역시 “작년 12월과는 분위기가 너무 다르다”면서 “평소 여의도는 예약 앱으로도 택시 잡기가 쉽지 않은 지역인데 올해는 그렇지 않다. 작년보다 손님도 30%나 줄었다”고 하소연했다.",소비심리
국민일보,"‘콧대 높은’ 해외 명품, 새해 벽두부터 값 올린다",네이버뉴스,https://n.news.naver.com/mnews/article/005/0001749103?sid=101,,국민일보,"‘콧대 높은’ 해외 명품, 새해 벽두부터 값 올린다","에르메스, 가방 등 평균 10% 이상
태그호이어는 최대 30% 올릴 전망
짙어지는 불황에도 럭셔리 브랜드는 연초 가격 인상 관행을 이어가는 모양새다. 에르메스, 롤렉스 등이 새해부터 제품 가격을 올린다. 31일 서울 시내 한 백화점 명품관의 에르메스 매장 옆을 행인들이 지나가고 있는 모습. 연합뉴스
새해 벽두부터 주요 럭셔리 브랜드들이 잇따라 가격 인상에 나섰다. 탄핵정국 속 환율 급등이라는 악재까지 겹치며 일부 브랜드는 과거보다 큰 인상 폭을 보일 가능성도 제기된다. 불황에도 여전히 콧대를 세운다는 평가가 나온다.
31일 업계에 따르면 프랑스 브랜드 에르메스는 오는 3일부터 가방, 의류, 장신구 등 주요 제품 가격을 인상한다. 인상률은 품목별로 다르나 평균 10% 이상으로 알려졌다. 최근 금 가격이 가파르게 상승하는 만큼 주얼리 제품의 인상 폭이 클 것으로 예상된다. 에르메스는 통상 연초 한차례 가격을 인상했으나, 지난해는 1월부터 수차례 가격을 올렸다. 올해도 2024년과 비슷한 흐름을 이어갈지 관심이 모인다.
고가의 시계 브랜드도 인상 대열에 합류했다. 루이비통모에헤네시(LVMH) 계열의 태그호이어는 오는 2일부터 일부 품목을 평균 7%, 최대 30%까지 올린다. 스위스 시계 브랜드 브라이틀링은 오는 20일부로 전 품목 가격 평균 8%가량 인상한다. 지난해 두 번에 걸쳐 주요 제품 가격을 인상한 롤렉스도 가격을 올릴 예정이다. 시기와 인상률은 아직 확정되지 않았다.
디올, 루이비통 등 LVMH의 다른 주요 브랜드와 샤넬, 구찌, 프라다 등 주요 럭셔리 브랜드도 조만간 주요 품목 가격을 인상할 것으로 전망된다. 디올과 샤넬은 주얼리 제품을 시작으로 가격 인상을 예고했다. 디올과 샤넬은 지난해 초 평균 10%대 인상을 했다. 프라다는 지난해 두 차례 10% 이상 가격을 올린 데 이어 새해에도 인상을 추진 중이다. 티파니도 오는 15일 추가 가격 조정을 계획하고 있다.
럭셔리 브랜드의 가격 인상은 원자재 상승과 환율 변동 외에도 브랜드 희소성을 유지하려는 전략으로 분석된다. 소비자들에게 ‘소유가 곧 특권’이라는 이미지를 강화하려는 의도다. 잦은 가격 인상에도 코로나19 이후 보복 소비 심리 여파로 명품 수요가 급증한 것도 추가 인상을 부추기는 요인으로 지목된다. 2021년과 2022년 백화점 명품 매출은 약 30% 증가했다. 롯데온, 쿠팡, 컬리 등 이커머스 플랫폼과 주요 백화점의 럭셔리 강화 전략은 계속되고 있다.
그러나 예전 만큼한 인기는 아니다. 불황 장기화로 성장세가 둔화하는 추세다. 지난해 신세계백화점 명품 매출 신장률은 1분기 10.1%에서 3분기 6.6%로, 롯데백화점은 같은 기간 10%에서 5%로 떨어졌다. 현대백화점만 두 자릿수 증가율을 유지했으나 상승세는 소폭 둔화했다. 버버리, 생로랑 등 일부 브랜드는 가격을 하향 조정하기도 했다. 명품을 모방한 저가 제품을 구매하는 ‘듀프’ 소비도 증가하면서 불황 속 나홀로 상승세도 꺾이지 않겠느냐는 지적이 나온다.
그럼에도 업계는 명품 시장의 견고함을 낙관하고 있다. 업계 한 관계자는 “오르는 가격에도 구매력 있는 소비층은 흔들리지 않는다”며 “고물가 상황에서 ‘스몰 럭셔리’ 트렌드도 강화하며 관련 소비는 꾸준히 이어질 것”이라고 내다봤다.",소비심리
국민일보,명품 가격 새해 줄인상… 에르메스 평균 10%선,네이버뉴스,https://n.news.naver.com/mnews/article/005/0001749103?sid=101,,국민일보,"‘콧대 높은’ 해외 명품, 새해 벽두부터 값 올린다","에르메스, 가방 등 평균 10% 이상
태그호이어는 최대 30% 올릴 전망
짙어지는 불황에도 럭셔리 브랜드는 연초 가격 인상 관행을 이어가는 모양새다. 에르메스, 롤렉스 등이 새해부터 제품 가격을 올린다. 31일 서울 시내 한 백화점 명품관의 에르메스 매장 옆을 행인들이 지나가고 있는 모습. 연합뉴스
새해 벽두부터 주요 럭셔리 브랜드들이 잇따라 가격 인상에 나섰다. 탄핵정국 속 환율 급등이라는 악재까지 겹치며 일부 브랜드는 과거보다 큰 인상 폭을 보일 가능성도 제기된다. 불황에도 여전히 콧대를 세운다는 평가가 나온다.
31일 업계에 따르면 프랑스 브랜드 에르메스는 오는 3일부터 가방, 의류, 장신구 등 주요 제품 가격을 인상한다. 인상률은 품목별로 다르나 평균 10% 이상으로 알려졌다. 최근 금 가격이 가파르게 상승하는 만큼 주얼리 제품의 인상 폭이 클 것으로 예상된다. 에르메스는 통상 연초 한차례 가격을 인상했으나, 지난해는 1월부터 수차례 가격을 올렸다. 올해도 2024년과 비슷한 흐름을 이어갈지 관심이 모인다.
고가의 시계 브랜드도 인상 대열에 합류했다. 루이비통모에헤네시(LVMH) 계열의 태그호이어는 오는 2일부터 일부 품목을 평균 7%, 최대 30%까지 올린다. 스위스 시계 브랜드 브라이틀링은 오는 20일부로 전 품목 가격 평균 8%가량 인상한다. 지난해 두 번에 걸쳐 주요 제품 가격을 인상한 롤렉스도 가격을 올릴 예정이다. 시기와 인상률은 아직 확정되지 않았다.
디올, 루이비통 등 LVMH의 다른 주요 브랜드와 샤넬, 구찌, 프라다 등 주요 럭셔리 브랜드도 조만간 주요 품목 가격을 인상할 것으로 전망된다. 디올과 샤넬은 주얼리 제품을 시작으로 가격 인상을 예고했다. 디올과 샤넬은 지난해 초 평균 10%대 인상을 했다. 프라다는 지난해 두 차례 10% 이상 가격을 올린 데 이어 새해에도 인상을 추진 중이다. 티파니도 오는 15일 추가 가격 조정을 계획하고 있다.
럭셔리 브랜드의 가격 인상은 원자재 상승과 환율 변동 외에도 브랜드 희소성을 유지하려는 전략으로 분석된다. 소비자들에게 ‘소유가 곧 특권’이라는 이미지를 강화하려는 의도다. 잦은 가격 인상에도 코로나19 이후 보복 소비 심리 여파로 명품 수요가 급증한 것도 추가 인상을 부추기는 요인으로 지목된다. 2021년과 2022년 백화점 명품 매출은 약 30% 증가했다. 롯데온, 쿠팡, 컬리 등 이커머스 플랫폼과 주요 백화점의 럭셔리 강화 전략은 계속되고 있다.
그러나 예전 만큼한 인기는 아니다. 불황 장기화로 성장세가 둔화하는 추세다. 지난해 신세계백화점 명품 매출 신장률은 1분기 10.1%에서 3분기 6.6%로, 롯데백화점은 같은 기간 10%에서 5%로 떨어졌다. 현대백화점만 두 자릿수 증가율을 유지했으나 상승세는 소폭 둔화했다. 버버리, 생로랑 등 일부 브랜드는 가격을 하향 조정하기도 했다. 명품을 모방한 저가 제품을 구매하는 ‘듀프’ 소비도 증가하면서 불황 속 나홀로 상승세도 꺾이지 않겠느냐는 지적이 나온다.
그럼에도 업계는 명품 시장의 견고함을 낙관하고 있다. 업계 한 관계자는 “오르는 가격에도 구매력 있는 소비층은 흔들리지 않는다”며 “고물가 상황에서 ‘스몰 럭셔리’ 트렌드도 강화하며 관련 소비는 꾸준히 이어질 것”이라고 내다봤다.",소비심리
동아일보,[Today’s PICK] 고환율에 명품값 들썩…새해 줄줄이 인상 대기,네이버뉴스,https://n.news.naver.com/mnews/article/020/0003607440?sid=101,,동아일보,명품 가격 새해 줄인상… 에르메스 평균 10%선,"샤넬-루이뷔통 등도 올릴듯
경기 침체로 소비 심리가 위축되는 가운데 주요 명품 브랜드들이 연초부터 줄줄이 제품 가격을 인상할 것으로 보인다. 올해는 비상계엄 사태 이후 원-달러 환율이 치솟은 영향으로 예년보다 가격 오름폭이 더 커질 수 있다는 전망도 나온다.
31일 유통업계 등에 따르면 프랑스 명품 브랜드 에르메스는 1월 3일부터 가방, 주얼리 등 주요 제품 가격을 인상할 것으로 알려졌다. 인상률은 제품에 따라 다르게 적용되는데 가방의 경우 평균 10%대 인상이 예상된다. 에르메스는 매년 새해를 기점으로 주요 제품 가격을 인상해 왔다. 지난해 1월에는 대표 상품인 피코탄18을 408만 원에서 457만 원(12%), 에르백31을 382만 원에서 422만 원(10.5%)으로 올리는 등 신발·가방 제품 가격을 10∼15% 인상했다.
프랑스 루이뷔통모에에네시(LVMH)의 시계 브랜드 태그호이어는 1월 2일부로 일부 품목의 가격을 평균 7%가량 인상할 것으로 전해졌다. 스위스 시계 브랜드 브라이틀링도 1월 중 시계와 스트랩 등 제품 가격을 평균 8% 올릴 것으로 전망된다.
이 외에 샤넬, 루이뷔통, 프라다 등 주요 명품 브랜드들도 연초에 주요 품목 가격을 인상할 것이란 전망이 많다. 명품업계 관계자는 “명품업계는 제품 전량을 수입에 의존하기 때문에 환율 변동에 민감하다”며 “환율이 급격히 오른 만큼 가격 오름폭이 예년보다 커질 수 있다”고 말했다.",소비심리
중앙일보,"롤렉스·에르메스 등 명품 브랜드, 새해부터 가격 인상 행렬",네이버뉴스,https://n.news.naver.com/mnews/article/025/0003411919?sid=101,,중앙일보,[Today’s PICK] 고환율에 명품값 들썩…새해 줄줄이 인상 대기,"소비 심리가 얼어붙었지만 주요 명품 브랜드들은 아랑곳하지 않고, 연초부터 줄줄이 제품 가격 인상에 나선다. 탄핵 정국 이후 달러당 원화가치가 급락(환율은 상승)하면서 일부 브랜드는 과거보다 원화 기준 가격 상승 폭이 더 커질 전망이다.
지난달 31일 업계에 따르면 프랑스 명품 브랜드 에르메스는 3일부터 가방, 의류, 장신구 등 주요 제품의 가격을 인상할 방침이다. 인상률은 품목별로 다르지만 평균 10% 내외가 될 것으로 전해졌다. 최근 금값 인상으로 장신구 제품의 경우 인상률이 더 높아질 수도 있다.
에르메스는 지난해 초에도 버킨백의 가격을 20% 올린 바 있다.
3만2000달러(약 4400만원)에 달하는 버킨백은 유명 연예인들과 셀럽들이 애용하는 제품으로, 돈만 있다고 살 수 없고 에르메스 구매 이력이 있어야 살 수 있는 가방으로 유명하다.
세계 최대 럭셔리 그룹인 루이뷔통모에헤네시(LVMH) 산하의 루이비통, 샤넬, 구찌, 프라다 등도 조만간 주요 품목 가격을 인상할 것으로 전망된다. 이들 브랜드는 지난해 상반기와 하반기에도 품목에 따라 최소 한 차례 이상 제품 가격을 올린 바 있다.
LVMH 계열 명품 시계 브랜드인 태그호이어도 이달 2일 일부 제품 가격을 10% 안팎 인상할 예정이다. 업계 관행에 따라 롤렉스 등 다른 명품 시계 브랜드도 조만간 가격 인상 대열에 합류할 것으로 전망된다.
명품 브랜드는 과거에는 연 1회, 대체로 연초에 가격을 인상했지만 최근 들어 인상 주기가 짧아졌다. 에루샤(에르메스·루이비통·샤넬) 등은 한 해에 5차례씩 품목별로 가격 인상에 나서기도 했다. 코로나19 유행이 정점에 달했던 2021~22년에도 수차례 가격을 올렸다.",소비심리
