press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
연합뉴스,"원주시 중앙동, 출생·전입자 축하금 지원…인구감소극복 주목",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015549854?sid=102,,연합뉴스,"원주시 중앙동, 출생·전입자 축하금 지원…인구감소 극복 주목","번영회·원주밝음신용협동조합·원주신용협동조합 민간주도 협약
원주시 중앙동 출생·전입자 축하금 지원사업 협약
[원주시 제공.재판매 및 DB 금지]
(원주=연합뉴스) 임보연 기자 = 원주시 중앙동이 이례적으로 읍면동 단위 인구 늘리기 정책을 마련, 주목받고 있다.
중앙동과 중앙동 번영회·원주밝음신용협동조합·원주신용협동조합은 5일 중앙동 출생자·전입자 축하금 지원사업을 위한 업무협약을 했다.
지역 인구감소 위기 극복과 원도심 이미지 개선을 위해 중앙동 출생자 및 미성년 전입자를 대상으로 축하금을 지원한다.
중앙동에서 출생하거나 다른 지역에서 중앙동으로 전입한 만 18세 미만 미성년자가 대상이며, 해당 대상자에게 축하금 총 10만원을 지급한다.
축하금은 출생신고 또는 전입신고 후 해당 금융기관에서 예금통장 개설 시 중앙동 번영회에서 5만원, 협력 금융기관인 원주밝음신협 및 원주신협에서 5만원을 각각 계좌이체 하는 방식으로 지원한다.
지원금 신청은 오는 6일부터이며, 올해 7월 이후 출생자 또는 전입자는 소급 신청할 수 있다.
노정호 중앙동 번영회장은 ""이번 사업은 출산을 장려하고 중앙동으로 인구 유입을 유도함으로써 지역사회에 활력을 불어넣기 위한 것""이라며 ""이를 계기로 중앙동이 좀 더 활기찬 지역으로 거듭나길 기대한다""고 말했다.
limbo@yna.co.kr",인구감소지역
연합뉴스,"원주 원도심인구감소지역중앙동, 출생자·전입자 축하금 지원 '눈길'",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015549854?sid=102,,연합뉴스,"원주시 중앙동, 출생·전입자 축하금 지원…인구감소 극복 주목","번영회·원주밝음신용협동조합·원주신용협동조합 민간주도 협약
원주시 중앙동 출생·전입자 축하금 지원사업 협약
[원주시 제공.재판매 및 DB 금지]
(원주=연합뉴스) 임보연 기자 = 원주시 중앙동이 이례적으로 읍면동 단위 인구 늘리기 정책을 마련, 주목받고 있다.
중앙동과 중앙동 번영회·원주밝음신용협동조합·원주신용협동조합은 5일 중앙동 출생자·전입자 축하금 지원사업을 위한 업무협약을 했다.
지역 인구감소 위기 극복과 원도심 이미지 개선을 위해 중앙동 출생자 및 미성년 전입자를 대상으로 축하금을 지원한다.
중앙동에서 출생하거나 다른 지역에서 중앙동으로 전입한 만 18세 미만 미성년자가 대상이며, 해당 대상자에게 축하금 총 10만원을 지급한다.
축하금은 출생신고 또는 전입신고 후 해당 금융기관에서 예금통장 개설 시 중앙동 번영회에서 5만원, 협력 금융기관인 원주밝음신협 및 원주신협에서 5만원을 각각 계좌이체 하는 방식으로 지원한다.
지원금 신청은 오는 6일부터이며, 올해 7월 이후 출생자 또는 전입자는 소급 신청할 수 있다.
노정호 중앙동 번영회장은 ""이번 사업은 출산을 장려하고 중앙동으로 인구 유입을 유도함으로써 지역사회에 활력을 불어넣기 위한 것""이라며 ""이를 계기로 중앙동이 좀 더 활기찬 지역으로 거듭나길 기대한다""고 말했다.
limbo@yna.co.kr",인구감소지역
머니투데이,"영광군,인구5만3000명 돌파…1년 새 1693명 증가",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005231778?sid=102,,머니투데이,"영광군, 인구 5만3000명 돌파…1년 새 1693명 증가","5년 전 인구수합계출산율 6년 연속 전국 1위에 이어 인구 상승세도 이어가
저출산 극복 출산장려 캠페인 장면./사진제공=영광군
전남 영광군 인구가 지난달 말 기준 5만3000명을 돌파하며 지방소멸 위기 속에서도 이례적인 인구 증가세를 보이고 있다.
5일 영광군에 따르면 수도권을 제외한 대부분 지역에서 인구가 감소하는 상황에서 영광군은 최근 1년 새 1693명이 증가했다. 지난해 같은 기간 5만1340명이었던 인구수가 지난달 말 5만3033명을 기록, 뚜렷한 상승세를 보였다. 이는 지역 활력 회복의 긍정적인 신호로 해석된다.
주목할 점은 청년 인구의 증가세다. 지방의 청년층 인구 유출이 가속화되는 가운데 영광군은 1년 새 청년 인구(18~45세) 757명, 영유아(0~6세) 인구 80명이 늘어났다.
이는 청년층의 지역 정착이 활발해지면서 가족 단위 인구 유입으로 이어지고 있음을 보여준다. 영광군은 다양한 정책적 지원이 큰 영향을 미친 것으로 평가했다.
청년층의 유입과 정착을 위해 전국 최초로 청년발전기금 100억원을 조성하고 △청년전용예산제 운영 △영광형 청년일자리 장려금 지원 △취업활동 수당 지원 △취업자 주거비 지원 △청년 창업 지원 등 종합적인 청년 정책을 펼치고 있다.
또한 26억원 규모의 청년 마을 '늘품빌리지 조성사업'도 본격화되며 청년 주거공간과 커뮤니티 기반 마련에 힘쓰고 있다.
인구증가의 또 다른 요인으로 영광군이 중장기적으로 추진한 전국 최고 수준의 결혼·출산 정책을 들 수 있다. △결혼장려금 500만원 지원 △난임 부부 시술비 지원 △신생아 양육비 최대 3500만원 지원 △출생 기본수당 △아빠 육아휴직 장려금 △신혼부부·다자녀 가구 보금자리, 전세자금 이자 지원 등 생활밀착형 지원이 큰 역할을 했다.
영광군은 인구 정책을 넘어 지속 가능한 자립 도시로의 전환에도 속도를 내고 있다. 해상풍력과 태양광 등 풍부한 재생에너지 자원을 기반으로 에너지→산업→일자리→인구로 이어지는 선순환 구조를 마련 중이다.
에너지 수익을 군민과 공유하는 재생에너지 기본소득 모델을 구체화해 정주 여건 개선과 인구 유입 확대 등 지속 가능한 경제 생태계 구축에도 박차를 가하고 있다.
장세일 영광군수는 ""단순한 인구 유입을 넘어 청년과 가족이 지역에 뿌리내릴 수 있는 환경 조성이 중요하다""며 ""결혼, 출산, 육아, 정주 여건 개선 등 삶의 전반을 아우르는 인구 정책을 통해 지방소멸 위기를 극복하고 인구 10만 자립 도시를 실현해 가겠다""고 말했다.",인구감소지역
머니투데이,"영광군,인구증가세 이례적···5만3000명 돌파",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005231778?sid=102,,머니투데이,"영광군, 인구 5만3000명 돌파…1년 새 1693명 증가","5년 전 인구수합계출산율 6년 연속 전국 1위에 이어 인구 상승세도 이어가
저출산 극복 출산장려 캠페인 장면./사진제공=영광군
전남 영광군 인구가 지난달 말 기준 5만3000명을 돌파하며 지방소멸 위기 속에서도 이례적인 인구 증가세를 보이고 있다.
5일 영광군에 따르면 수도권을 제외한 대부분 지역에서 인구가 감소하는 상황에서 영광군은 최근 1년 새 1693명이 증가했다. 지난해 같은 기간 5만1340명이었던 인구수가 지난달 말 5만3033명을 기록, 뚜렷한 상승세를 보였다. 이는 지역 활력 회복의 긍정적인 신호로 해석된다.
주목할 점은 청년 인구의 증가세다. 지방의 청년층 인구 유출이 가속화되는 가운데 영광군은 1년 새 청년 인구(18~45세) 757명, 영유아(0~6세) 인구 80명이 늘어났다.
이는 청년층의 지역 정착이 활발해지면서 가족 단위 인구 유입으로 이어지고 있음을 보여준다. 영광군은 다양한 정책적 지원이 큰 영향을 미친 것으로 평가했다.
청년층의 유입과 정착을 위해 전국 최초로 청년발전기금 100억원을 조성하고 △청년전용예산제 운영 △영광형 청년일자리 장려금 지원 △취업활동 수당 지원 △취업자 주거비 지원 △청년 창업 지원 등 종합적인 청년 정책을 펼치고 있다.
또한 26억원 규모의 청년 마을 '늘품빌리지 조성사업'도 본격화되며 청년 주거공간과 커뮤니티 기반 마련에 힘쓰고 있다.
인구증가의 또 다른 요인으로 영광군이 중장기적으로 추진한 전국 최고 수준의 결혼·출산 정책을 들 수 있다. △결혼장려금 500만원 지원 △난임 부부 시술비 지원 △신생아 양육비 최대 3500만원 지원 △출생 기본수당 △아빠 육아휴직 장려금 △신혼부부·다자녀 가구 보금자리, 전세자금 이자 지원 등 생활밀착형 지원이 큰 역할을 했다.
영광군은 인구 정책을 넘어 지속 가능한 자립 도시로의 전환에도 속도를 내고 있다. 해상풍력과 태양광 등 풍부한 재생에너지 자원을 기반으로 에너지→산업→일자리→인구로 이어지는 선순환 구조를 마련 중이다.
에너지 수익을 군민과 공유하는 재생에너지 기본소득 모델을 구체화해 정주 여건 개선과 인구 유입 확대 등 지속 가능한 경제 생태계 구축에도 박차를 가하고 있다.
장세일 영광군수는 ""단순한 인구 유입을 넘어 청년과 가족이 지역에 뿌리내릴 수 있는 환경 조성이 중요하다""며 ""결혼, 출산, 육아, 정주 여건 개선 등 삶의 전반을 아우르는 인구 정책을 통해 지방소멸 위기를 극복하고 인구 10만 자립 도시를 실현해 가겠다""고 말했다.",인구감소지역
중도일보,"영광군,인구5만3033명··· 1년새 1693명↑",,,,,,,인구감소지역
시민일보,"영광군,인구5만 3천 명 돌파…1년 새 1693명 증가",,,,,,,인구감소지역
매일일보,"영광군,인구5만 3000명 돌파···1년 새 1693명 증가",,,,,,,인구감소지역
스포츠동아,"최훈식 의성군의회 의장, ‘인구문제 인식개선 릴레이 캠페인’ 동참",네이버뉴스,https://n.news.naver.com/mnews/article/382/0001214820?sid=102,,스포츠동아,"최훈식 의성군의회 의장, ‘인구문제 인식개선 릴레이 캠페인’ 동참","최훈식 의성군의회 의장이 인구 감소와 고령화 문제의 사회적 인식 제고를 위해 인구문제 인식개선 릴레이 캠페인에 동참하고 있다. 사진제공 ㅣ 의성군의회
군민과 함께 위기 극복의 해법 모색
경북 의성군의회 최훈식 의장은 8월 5일, 인구감소와 고령화 문제에 대한 사회적 인식 제고를 위해 진행 중인 ‘인구문제 인식개선 릴레이 캠페인’에 동참했다.
이번 캠페인은 전국 주요 기관장들이 릴레이 형식으로 참여해 인구문제의 심각성을 알리고, 사회 전반의 관심을 유도하고자 마련된 것이다. 최 의장은 박영규 의성소방서장의 지목을 받아 참여했으며, ‘아이는 행복하고, 청년은 희망을 키우며, 노인은 보람있는 대한민국이 되도록’이라는 슬로건을 내걸고 캠페인의 취지에 뜻을 함께했다.
최훈식 의장은 “급격한 인구 감소와 고령화는 지역의 지속가능성을 위협하는 심각한 구조적 위기”라며, “경북은 특히 인구감소가 가장 심각한 지역 중 하나로, 청년이 정착하고 가족이 안심하며 살아갈 수 있는 환경을 만드는 데 지역사회가 힘을 모아야 한다”고 강조했다.
이어 “의성군의회는 일자리 창출, 보육 환경 개선, 고령친화 정책 등 지역 실정에 맞는 다양한 정책을 적극 지원하고, 군민과 함께 위기 극복의 해법을 모색해 나가겠다”고 밝혔다.
의성 ㅣ김현묵 스포츠동아 기자 localdk@donga.com",인구감소지역
스포츠동아,"최훈식 의성군의회 의장, '인구문제 인식개선 릴레이 캠페인' 동참",네이버뉴스,https://n.news.naver.com/mnews/article/382/0001214820?sid=102,,스포츠동아,"최훈식 의성군의회 의장, ‘인구문제 인식개선 릴레이 캠페인’ 동참","최훈식 의성군의회 의장이 인구 감소와 고령화 문제의 사회적 인식 제고를 위해 인구문제 인식개선 릴레이 캠페인에 동참하고 있다. 사진제공 ㅣ 의성군의회
군민과 함께 위기 극복의 해법 모색
경북 의성군의회 최훈식 의장은 8월 5일, 인구감소와 고령화 문제에 대한 사회적 인식 제고를 위해 진행 중인 ‘인구문제 인식개선 릴레이 캠페인’에 동참했다.
이번 캠페인은 전국 주요 기관장들이 릴레이 형식으로 참여해 인구문제의 심각성을 알리고, 사회 전반의 관심을 유도하고자 마련된 것이다. 최 의장은 박영규 의성소방서장의 지목을 받아 참여했으며, ‘아이는 행복하고, 청년은 희망을 키우며, 노인은 보람있는 대한민국이 되도록’이라는 슬로건을 내걸고 캠페인의 취지에 뜻을 함께했다.
최훈식 의장은 “급격한 인구 감소와 고령화는 지역의 지속가능성을 위협하는 심각한 구조적 위기”라며, “경북은 특히 인구감소가 가장 심각한 지역 중 하나로, 청년이 정착하고 가족이 안심하며 살아갈 수 있는 환경을 만드는 데 지역사회가 힘을 모아야 한다”고 강조했다.
이어 “의성군의회는 일자리 창출, 보육 환경 개선, 고령친화 정책 등 지역 실정에 맞는 다양한 정책을 적극 지원하고, 군민과 함께 위기 극복의 해법을 모색해 나가겠다”고 밝혔다.
의성 ㅣ김현묵 스포츠동아 기자 localdk@donga.com",인구감소지역
아시아경제,"인구문제 해결 위한 릴레이 캠페인, 의성군의회도 동참",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005633112?sid=102,,아시아경제,"최훈식 의성군의회 의장, '인구문제 인식개선 릴레이 캠페인' 동참","인구감소는 지역 생존의 문제
군민과 함께 해법 찾겠다
최훈식 경북 의성군의회 의장이 5일 인구감소와 고령화 문제에 대한 사회적 인식을 제고하고자 진행되는 '인구문제 인식개선 릴레이 캠페인'에 동참했다.
최훈식 의성군의회 의장, ‘인구문제 인식개선 릴레이 캠페인’ 동참
이번 캠페인은 저출산·고령화 위기에 대한 국민적 공감대를 형성하고 정책적 대응을 촉진하기 위한 전국 단위 릴레이 캠페인으로, 각계 기관장이 지명 방식으로 참여하고 있다.
박영규 의성소방서장의 지목을 받은 최 의장은 '아이는 행복하고, 청년은 희망을 키우며, 노인은 보람 있는 대한민국이 되도록'이라는 슬로건을 들고 캠페인에 뜻을 더했다.
최 의장은 ""급격한 인구 감소와 고령화는 단순한 사회 현상을 넘어 지역의 지속 가능성을 위협하는 심각한 구조적 문제""라며 ""특히 경북은 전국에서 인구감소 속도가 가장 빠른 지역으로, 공동체 전반에 걸쳐 종합적 대응이 시급하다""고 진단했다.
이어 ""청년층의 지역 정착을 유도하고 아이 키우기 좋은 환경을 조성하는 것이 핵심 과제""라며 ""의성군의회는 일자리 창출, 보육 여건 개선, 고령 친화 사회 기반 확충 등 지역 실정에 맞는 맞춤형 인구 정책을 적극적으로 뒷받침할 것""이라고 강조했다.
그러면서 ""인구 문제는 단기 처방이 아닌 장기적 해법이 필요한 영역인 만큼, 군민과 함께 호흡하며 지속 가능한 미래 전략을 설계해 나가겠다""고 덧붙였다.
한편 의성군은 '지방소멸위험지수'가 전국 최하위권에 머무르고 있는 대표적인 인구 위기 지역으로, 청년 유입 정책과 정주 여건 개선을 통해 지역 활력 회복에 총력을 기울이고 있다.",인구감소지역
