press,title,naver_news_text,naver_news_url,body
연합뉴스,"한미 첫 통상협의…韓 ""상호·품목별관세면제해달라""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015350993?sid=101,
연합뉴스,"'한미 첫 통상협의'…""상호·품목별관세면제해달라"" 요청",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015350993?sid=101,
한국경제,한미 첫 통상협의…韓 “상호·품목별관세면제해달라”,네이버뉴스,https://n.news.naver.com/mnews/article/015/0005123881?sid=101,
헤럴드경제,한미 첫 통상협의…韓 “상호·품목별관세면제해달라”,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002462470?sid=101,
매일경제,"첫 한미 2+2 통상협의…정부, '상호·품목별'관세면제 요청",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005482322?sid=100,
뉴스1,"한미,관세폐지 '7월 패키지' 공감…""방위비 언급 없어""(종합)",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008214006?sid=104,
뉴스1,"최상목 ""관세폐지 목적 '7월 패키지' 마련…방위비 언급 전혀 없었다""",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008214006?sid=104,
뉴시스,"한미,관세폐지 위한 ‘7월 패키지’ 만든다",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013205345?sid=101,
서울신문,"최상목 ""한미,관세폐지 목적 '7월 패키지' 마련 공감대""",네이버뉴스,https://n.news.naver.com/mnews/article/081/0003536481?sid=101,
연합뉴스,"한미,관세폐지 ‘7월 패키지’ 합의… 방위비·FTA 언급 전무",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015351029?sid=101,
뉴시스,美에상호·품목·신규관세면제 요청…'7월 패키지' 마련 추진(종합),네이버뉴스,https://n.news.naver.com/mnews/article/003/0013205476?sid=101,
뉴시스,"최상목 ""한미,관세폐지 목적 '7월 패키지' 합의 공감대""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013205476?sid=101,
중앙일보,"최상목 “韓美,관세폐지 목적 ‘7월 패키지’ 마련 공감대”",네이버뉴스,https://n.news.naver.com/mnews/article/025/0003436670?sid=104,
동아일보,"최상목 ""7월8일까지관세폐기 목적 패키지 마련…환율은 별도 논의""",네이버뉴스,https://n.news.naver.com/mnews/article/020/0003631036?sid=104,
뉴시스,"한미,관세폐지 위한 '7월 패키지' 마련에 공감대… 주요 합의는 대선...",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013205289?sid=101,
세계일보,"한미,상호관세유예 전 ‘7월 패키지’ 추진… “미국과 공감대 형성”",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004030720?sid=101,
세계일보,"한미,관세폐지 위한 ‘7월 패키지’ 공감대... 방위비 언급은 없어",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004030720?sid=101,
조선일보,"최상목 ""한미,관세폐지 목적 '7월 패키지' 추진…서두르지 않겠다""",네이버뉴스,https://n.news.naver.com/mnews/article/023/0003901616?sid=104,
강원일보,"한미, 첫 통상협의서 '7월 패키지' 공감대…대선 이후 타결 수순(종합2보...",네이버뉴스,https://n.news.naver.com/mnews/article/087/0001113126?sid=100,
연합뉴스,"한미, 통상협의 '7월 패키지' 추진…최상목 ""서두르지 않겠다""(종합)",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015351451?sid=100,
한겨레,"“중국, 미국산 일부 반도체 보복관세철회”…무역전쟁 완화 모드",네이버뉴스,https://n.news.naver.com/mnews/article/028/0002742832?sid=104,
한겨레,"CNN “중, 미 반도체 8종관세철회”…중 “결코 협상한 적 없어” [지...",네이버뉴스,https://n.news.naver.com/mnews/article/028/0002742832?sid=104,
KBS,"""中, 美반도체 125%관세철회…에탄·의료장비도 면제 검토""",네이버뉴스,https://n.news.naver.com/mnews/article/056/0011939454?sid=121,
아시아경제,"""中, 美반도체 125%관세철회…에테인·의료장비도 면제 검토""(종합)",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005583939?sid=104,
연합뉴스,"美 잇단 유화 메시지, 中 일부 관세면제…협상 기반 마련되나",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015352884?sid=104,
부산일보,한·미관세협상 ‘무역균형·조선’ 카드로 '첫 단추'…방위비는 미언...,네이버뉴스,https://n.news.naver.com/mnews/article/082/0001322964?sid=101,
부산일보,무역균형·조선카드로 한미관세협상 '첫 단추'…방위비는 미언급,네이버뉴스,https://n.news.naver.com/mnews/article/082/0001322964?sid=101,
지디넷코리아,美상호관세부과후 첫 2+2 통상협의…실무회의+고위급 논의 이어간다,네이버뉴스,https://n.news.naver.com/mnews/article/092/0002372075?sid=105,
지디넷코리아,韓 2+2 회담서 '무역 균형·에너지·조선협력' 제안…상호·품목관세면...,네이버뉴스,https://n.news.naver.com/mnews/article/092/0002372075?sid=105,
MBC,"한미,관세폐지 위한 '7월 패키지합의' 추진‥""서두르지 않겠다""",네이버뉴스,https://n.news.naver.com/mnews/article/214/0001420449?sid=104,
MBC,"한미,관세폐지 위한 '7월 패키지합의' 추진…""서두르지 않겠다""",네이버뉴스,https://n.news.naver.com/mnews/article/214/0001420449?sid=104,
SBS,"韓美,관세폐지 위한 '7월 패키지합의' 추진…""서두르지 않겠다""",네이버뉴스,https://n.news.naver.com/mnews/article/055/0001252499?sid=104,
문화일보,기재부 “상호·품목별관세조치 면제 요청” 미국 “이르면 내주 양해...,네이버뉴스,https://n.news.naver.com/mnews/article/021/0002705501?sid=100,
머니투데이,"중국, 미국산 반도체 125% 보복관세철회…메모리칩 제외",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005186034?sid=104,
