press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
헤럴드경제,"[단독] 루이비통·몽클레르개인정보 유출, 이번이 처음 아니었다",네이버뉴스,https://n.news.naver.com/mnews/article/016/0002537037?sid=101,,헤럴드경제,"[단독] 루이비통·몽클레르 개인정보 유출, 이번이 처음 아니었다","루이비통·몽클레르, 2022~2023년 수백만 원 과태료
수십만 고객 정보 유출되는데…처리까지 1년 6개월
과징금도 대부분 1억 이하…몽클레르 ‘1인당 382원’
이정헌 의원 “실효성 있는 제재·신속한 조사 이뤄져야”
루이비통 [연합]
[헤럴드경제=신현주 기자] 명품 브랜드 루이비통과 몽클레르의 개인정보가 수년 전부터 유출 위험에 놓여있던 것으로 파악됐다. 올해 명품 브랜드 4곳에서 개인정보가 유출된 가운데 국내 당국의 ‘솜방망이’ 처벌이 문제를 키웠다는 지적이 나온다.
30일 국회 과학기술정보방송통신위원회 소속 이정헌 더불어민주당 의원이 개인정보보호위원회(개보위)로부터 받은 자료에 따르면, ㈜몽클레르코리아와 루이비통코리아(유)는 지난해 개인정보 유출 관련으로 각각 660만원, 600만원의 과태료를 처분받았다.
몽클레르는 2021년 12월 발생한 23만명분의 고객·직원 개인정보 유출 사태로 조사를 받는 와중에 지난 2023년 추가로 사고가 발생했다. 개보위 조사 결과 지난해 8월 과태료 처분이 결정됐다. 몽클레르는 2021년 사고 때 인지에 한 달이 걸리고, 인지 후에도 5일이 지나서야 개보위에 사실을 알려 논란을 일으켰다.
당시 개인정보보호법은 개인정보 유출 사고 인지 후 24시간 내 신고 및 통지하도록 규정하고 있었다. 현재는 2023년 9월 개정된 개인정보보호법에 따라 개인정보처리자가 72시간 이내에 유출을 신고 및 통지해야 한다.
올해 7월 개인정보 유출로 곤욕을 치른 루이비통코리아(유)도 3년 전인 2022년 8월에도 개인정보 유출 사실을 개보위에 접수한 것으로 드러났다. 개인정보 유출에 대한 처분 1년 만에 또 고객 정보가 유출된 것이다.
루이비통이 속한 글로벌 명품 그룹 루이비통모에헤네시(LVMH) 산하 브랜드의 개인정보 유출은 어제오늘 일이 아니다. 태그호이어에선 2019년 말부터 2020년까지 해킹 공격으로 한국 이용자의 개인정보 2900여건이 유출됐다. 하지만 태그호이어는 피해 사실을 뒤늦게 인지하고 2023년 5월에야 개보위에 신고했다. 올해 디올과 티파니앤코 등 LVMH 산하 브랜드의 개인정보 유출도 이어졌다.
명품 브랜드의 개인정보 유출 사고가 반복되면서 부실한 대응도 도마에 올랐다. 특히 대응 조직과 인력에 대한 지원이 부족하다는 비판도 제기된다. 개보위에 따르면 위원회는 현재 31명의 조사관을 두고 있다. 이들은 개인정보 유출 사고 조사 외에도 개인정보보호법 위반에 대한 전반적인 조사를 진행한다.
개보위 측은 “한 명의 조사인력이 다수의 조사를 수행하고 있다”며 “개인정보 유출 조사에 특정해 편성된 예산은 없으며 ‘개인정보 침해방지’ 사업의 일부를 활용하고 있다”고 설명했다.
개보위는 지난 2020년 8월 출범 이후 5년간 5건의 명품 브랜드 개인정보 유출 사건을 조사했다. 사건 접수부터 처분까지 평균 1년 6개월의 기간이 걸렸다. 개보위 측은 “해외사업자의 경우 사업장이 국외에 있는 특수성으로 인해 대면조사를 수행하기 어려워 서면조사로 조사를 진행 중”이라고 밝혔다.
과징금 및 과태료는 5건 평균 8775만원으로 조사됐다. 가장 많은 과징금을 부과받은 곳은 샤넬코리아였다. 샤넬코리아는 8만명의 개인정보를 유출해 지난 2021년 1억4476만원의 과태료 및 과징금을 물었다. 당시 2만명의 개인정보가 유출된 천재교과서(9억2075만원)보다 미미한 처분을 받았다. 가장 최근 처분이 내려진 몽클레르의 경우 8800만원의 과징금 및 과태료 처분을 받았다. 고객 1인당 382원꼴이다.
이정헌 의원은 “글로벌 명품 기업에서 대규모 개인정보 유출이 반복해 발생했지만, 수백만원 수준의 과태료와 1년 이상의 지지부진한 조사 등 당국 대응이 부실한 상황”이라며 “그 사이 수십만 고객의 정보는 빠져나가 그 피해가 고스란히 소비자에게 전가되고 있다”고 지적했다. 이어 “해킹 위협이 일상화된 상황에서 정부와 기업이 미온 대응하는 구조가 계속되어선 안 된다”며 “조사 당국은 실효성 있는 제재와 신속한 조사 체계를 마련해야 한다”고 강조했다.",개인정보유출
헤럴드경제,“몽클레르 패딩 샀다가정보털렸다”…‘솜방망이’ 처분에 사고 반복,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002537037?sid=101,,헤럴드경제,"[단독] 루이비통·몽클레르 개인정보 유출, 이번이 처음 아니었다","루이비통·몽클레르, 2022~2023년 수백만 원 과태료
수십만 고객 정보 유출되는데…처리까지 1년 6개월
과징금도 대부분 1억 이하…몽클레르 ‘1인당 382원’
이정헌 의원 “실효성 있는 제재·신속한 조사 이뤄져야”
루이비통 [연합]
[헤럴드경제=신현주 기자] 명품 브랜드 루이비통과 몽클레르의 개인정보가 수년 전부터 유출 위험에 놓여있던 것으로 파악됐다. 올해 명품 브랜드 4곳에서 개인정보가 유출된 가운데 국내 당국의 ‘솜방망이’ 처벌이 문제를 키웠다는 지적이 나온다.
30일 국회 과학기술정보방송통신위원회 소속 이정헌 더불어민주당 의원이 개인정보보호위원회(개보위)로부터 받은 자료에 따르면, ㈜몽클레르코리아와 루이비통코리아(유)는 지난해 개인정보 유출 관련으로 각각 660만원, 600만원의 과태료를 처분받았다.
몽클레르는 2021년 12월 발생한 23만명분의 고객·직원 개인정보 유출 사태로 조사를 받는 와중에 지난 2023년 추가로 사고가 발생했다. 개보위 조사 결과 지난해 8월 과태료 처분이 결정됐다. 몽클레르는 2021년 사고 때 인지에 한 달이 걸리고, 인지 후에도 5일이 지나서야 개보위에 사실을 알려 논란을 일으켰다.
당시 개인정보보호법은 개인정보 유출 사고 인지 후 24시간 내 신고 및 통지하도록 규정하고 있었다. 현재는 2023년 9월 개정된 개인정보보호법에 따라 개인정보처리자가 72시간 이내에 유출을 신고 및 통지해야 한다.
올해 7월 개인정보 유출로 곤욕을 치른 루이비통코리아(유)도 3년 전인 2022년 8월에도 개인정보 유출 사실을 개보위에 접수한 것으로 드러났다. 개인정보 유출에 대한 처분 1년 만에 또 고객 정보가 유출된 것이다.
루이비통이 속한 글로벌 명품 그룹 루이비통모에헤네시(LVMH) 산하 브랜드의 개인정보 유출은 어제오늘 일이 아니다. 태그호이어에선 2019년 말부터 2020년까지 해킹 공격으로 한국 이용자의 개인정보 2900여건이 유출됐다. 하지만 태그호이어는 피해 사실을 뒤늦게 인지하고 2023년 5월에야 개보위에 신고했다. 올해 디올과 티파니앤코 등 LVMH 산하 브랜드의 개인정보 유출도 이어졌다.
명품 브랜드의 개인정보 유출 사고가 반복되면서 부실한 대응도 도마에 올랐다. 특히 대응 조직과 인력에 대한 지원이 부족하다는 비판도 제기된다. 개보위에 따르면 위원회는 현재 31명의 조사관을 두고 있다. 이들은 개인정보 유출 사고 조사 외에도 개인정보보호법 위반에 대한 전반적인 조사를 진행한다.
개보위 측은 “한 명의 조사인력이 다수의 조사를 수행하고 있다”며 “개인정보 유출 조사에 특정해 편성된 예산은 없으며 ‘개인정보 침해방지’ 사업의 일부를 활용하고 있다”고 설명했다.
개보위는 지난 2020년 8월 출범 이후 5년간 5건의 명품 브랜드 개인정보 유출 사건을 조사했다. 사건 접수부터 처분까지 평균 1년 6개월의 기간이 걸렸다. 개보위 측은 “해외사업자의 경우 사업장이 국외에 있는 특수성으로 인해 대면조사를 수행하기 어려워 서면조사로 조사를 진행 중”이라고 밝혔다.
과징금 및 과태료는 5건 평균 8775만원으로 조사됐다. 가장 많은 과징금을 부과받은 곳은 샤넬코리아였다. 샤넬코리아는 8만명의 개인정보를 유출해 지난 2021년 1억4476만원의 과태료 및 과징금을 물었다. 당시 2만명의 개인정보가 유출된 천재교과서(9억2075만원)보다 미미한 처분을 받았다. 가장 최근 처분이 내려진 몽클레르의 경우 8800만원의 과징금 및 과태료 처분을 받았다. 고객 1인당 382원꼴이다.
이정헌 의원은 “글로벌 명품 기업에서 대규모 개인정보 유출이 반복해 발생했지만, 수백만원 수준의 과태료와 1년 이상의 지지부진한 조사 등 당국 대응이 부실한 상황”이라며 “그 사이 수십만 고객의 정보는 빠져나가 그 피해가 고스란히 소비자에게 전가되고 있다”고 지적했다. 이어 “해킹 위협이 일상화된 상황에서 정부와 기업이 미온 대응하는 구조가 계속되어선 안 된다”며 “조사 당국은 실효성 있는 제재와 신속한 조사 체계를 마련해야 한다”고 강조했다.",개인정보유출
강원도민일보,"국민 92% ""개인정보 유출사고, 피해 여부 있던없던 불편·걱정""",네이버뉴스,https://n.news.naver.com/mnews/article/654/0000144505?sid=102,,강원도민일보,"국민 92% ""개인정보 유출 사고, 피해 여부 있던없던 불편·걱정""","리얼미터 여론조사…83% ""징벌적 손해배상제 도입 필요""
▲ 일러스트/한규빛
최근 잇따른 개인정보 유출 사고와 관련해 국민 대부분이 사태를 심각하게 인식하고 있으며, 징벌적 손해배상제도의 도입 필요성에도 크게 공감한다는 여론조사 결과가 30일 공개됐다.
여론조사기관 리얼미터가 제보팀장의 의뢰로 지난 24일 전국 만 18세 이상 성인 남녀 500명을 대상으로 조사한 결과, 응답자의 94.4%가 개인정보 유출 사고를 ""인지하고 있다""고 답했다.
사태에 대한 인식은 단순한 관심을 넘어 우려로 이어졌다. ""유출 피해 여부와 상관없이 불편하고 걱정된다""는 응답이 92.2%로 압도적이었으며, ""직접적 피해가 없다면 문제 될 것이 없다""는 의견은 5.7%에 불과했다. 또한 ""사태를 심각하게 여기고 있다""는 응답도 94.8%에 달했다.
개인정보 유출 대응과 관련한 제도적 장치에 대해서도 강한 요구가 확인됐다. 선진국이나 유럽연합(EU)처럼 징벌적 손해배상 제도를 도입해야 한다는 주장에 83.1%가 동의한다고 응답했다.
피해자 보상 방식으로는 현금·위자료 등 금전적 보상(49.8%)이 가장 선호됐으며, 요금·수수료 감면(21.3%), 대국민 사과(16.4%), 제휴 할인 이벤트·부가 서비스 무상 제공(4.6%) 순으로 나타났다.
기업들의 개인정보 보호 역량에 대한 신뢰도는 낮았다. ""신뢰하지 않는다""는 응답이 67.1%에 달했고, 기업·서비스 선택 기준으로 '보안 수준이 비용이나 혜택보다 더 중요하다'는 응답도 88.7%에 이르렀다.
이번 조사는 무선(100%) 무작위 생성 표집틀을 통한 임의전화걸기(RDD) 자동응답 방식으로 진행됐다. 응답률은 3.9%, 표본오차는 95% 신뢰수준에서 ±4.4%p다. 보다 자세한 내용은 중앙선거여론조사심의위원회 홈페이지에서 확인할 수 있다.
#개인정보 #유출 #사고 #피해 #걱정",개인정보유출
강원도민일보,"국민 92% ""개인정보 유출사고, 피해 여부 무관하게 불편·걱정""",네이버뉴스,https://n.news.naver.com/mnews/article/654/0000144505?sid=102,,강원도민일보,"국민 92% ""개인정보 유출 사고, 피해 여부 있던없던 불편·걱정""","리얼미터 여론조사…83% ""징벌적 손해배상제 도입 필요""
▲ 일러스트/한규빛
최근 잇따른 개인정보 유출 사고와 관련해 국민 대부분이 사태를 심각하게 인식하고 있으며, 징벌적 손해배상제도의 도입 필요성에도 크게 공감한다는 여론조사 결과가 30일 공개됐다.
여론조사기관 리얼미터가 제보팀장의 의뢰로 지난 24일 전국 만 18세 이상 성인 남녀 500명을 대상으로 조사한 결과, 응답자의 94.4%가 개인정보 유출 사고를 ""인지하고 있다""고 답했다.
사태에 대한 인식은 단순한 관심을 넘어 우려로 이어졌다. ""유출 피해 여부와 상관없이 불편하고 걱정된다""는 응답이 92.2%로 압도적이었으며, ""직접적 피해가 없다면 문제 될 것이 없다""는 의견은 5.7%에 불과했다. 또한 ""사태를 심각하게 여기고 있다""는 응답도 94.8%에 달했다.
개인정보 유출 대응과 관련한 제도적 장치에 대해서도 강한 요구가 확인됐다. 선진국이나 유럽연합(EU)처럼 징벌적 손해배상 제도를 도입해야 한다는 주장에 83.1%가 동의한다고 응답했다.
피해자 보상 방식으로는 현금·위자료 등 금전적 보상(49.8%)이 가장 선호됐으며, 요금·수수료 감면(21.3%), 대국민 사과(16.4%), 제휴 할인 이벤트·부가 서비스 무상 제공(4.6%) 순으로 나타났다.
기업들의 개인정보 보호 역량에 대한 신뢰도는 낮았다. ""신뢰하지 않는다""는 응답이 67.1%에 달했고, 기업·서비스 선택 기준으로 '보안 수준이 비용이나 혜택보다 더 중요하다'는 응답도 88.7%에 이르렀다.
이번 조사는 무선(100%) 무작위 생성 표집틀을 통한 임의전화걸기(RDD) 자동응답 방식으로 진행됐다. 응답률은 3.9%, 표본오차는 95% 신뢰수준에서 ±4.4%p다. 보다 자세한 내용은 중앙선거여론조사심의위원회 홈페이지에서 확인할 수 있다.
#개인정보 #유출 #사고 #피해 #걱정",개인정보유출
연합뉴스,"국민 92% ""개인정보 유출사고, 피해 여부 무관하게 불편·걱정""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015657325?sid=102,,연합뉴스,"국민 92% ""개인정보 유출사고, 피해 여부 무관하게 불편·걱정""","리얼미터 여론조사…83% ""징벌적 손해배상제 도입해야""
SKT 유심 정보 유출 사태
[연합뉴스 자료사진]
(서울=연합뉴스) 김치연 기자 = 최근 개인정보 유출 사고가 잇따라 발생한 가운데 국민 대부분이 이런 사태를 심각하게 인식하고 우려하면서 징벌적 손해배상제도를 도입해야 한다고 생각하는 것으로 나타났다.
30일 리얼미터가 제보팀장 의뢰로 지난 24일 전국 18세 이상 남녀 500명을 대상으로 조사한 결과 응답자의 94.4%는 개인정보 유출 사고에 대해 '인지하고 있다'고 답했다.
응답자 중 92.2%는 '유출 사고 피해 여부와 무관하게 불편하고 걱정된다'고 답했고, '직접적인 피해로 이어지지 않는다면 별문제 없다'는 의견은 5.7%에 그쳤다.
사태의 심각성에 대해선 '심각하게 여기고 있다'는 응답이 94.8%였다.
개인정보 유출 사태 심각성 인식
[리얼미터 제공]
선진국이나 유럽연합 등과 같이 징벌적 손해배상 제도를 도입해야 한다는 주장에는 83.1%가 동의했다.
피해자 보상 방식으로는 현금이나 위자료 등 금전적 보상(49.8%)을 가장 선호했고 요금·수수료 등 감면(21.3%), 대국민 사과(16.4%), 제휴 할인 이벤트·부가 서비스 무상 제공(4.6%) 순이었다.
기업들의 개인정보 보호 수준에 대해선 67.1%가 신뢰하지 않는다고 답했다. 기업·서비스를 선택하는 데 있어 고객 관리 보안 수준이 비용이나 혜택 등 다른 기준보다 중요하다는 응답은 88.7%에 달했다.
이번 조사는 무선(100%) 무작위 생성 표집 틀을 통한 임의 전화걸기(RDD) 자동응답 조사 방식으로 실시됐다.
응답률은 3.9%고 표본오차는 95% 신뢰수준에 ±4.4%포인트다. 자세한 내용은 중앙선거여론조사심의위원회 홈페이지 참조.
chic@yna.co.kr",개인정보유출
TV조선,"국민 94.8% ""개인정보 유출사태 심각하다""",네이버뉴스,https://n.news.naver.com/mnews/article/448/0000560526?sid=102,,TV조선,"국민 92% ""개인정보 유출사고, 피해 여부 무관하게 불편·걱정""","최근 개인정보 유출 사고가 잇따라 발생한 가운데, 국민 대부분이 이런 사태를 심각하게 인식하고 우려하면서 징벌적 손해배상제도를 도입해야 한다고 생각하는 것으로 나타났다.
오늘(30일) 리얼미터가 제보팀장 의뢰로 지난 24일 전국 18세 이상 남녀 500명을 대상으로 조사한 결과, 응답자의 94.4%는 개인정보 유출 사고에 대해 '인지하고 있다'고 답했다.
응답자 중 92.2%는 '유출 사고 피해 여부와 무관하게 불편하고 걱정된다'고 답했고, '직접적인 피해로 이어지지 않는다면 별문제 없다'는 의견은 5.7%에 그쳤다.
사태의 심각성에 대해선 '심각하게 여기고 있다'는 응답이 94.8%였다.
선진국이나 유럽연합 등과 같이 징벌적 손해배상 제도를 도입해야 한다는 주장에는 83.1%가 동의했다.
피해자 보상 방식으로는 현금이나 위자료 등 금전적 보상(49.8%)을 가장 선호했고 요금·수수료 등 감면(21.3%), 대국민 사과(16.4%), 제휴 할인 이벤트·부가 서비스 무상 제공(4.6%) 순이었다.
기업들의 개인정보 보호 수준에 대해선 67.1%가 신뢰하지 않는다고 답했다. 기업·서비스를 선택하는 데 있어 고객 관리 보안 수준이 비용이나 혜택 등 다른 기준보다 중요하다는 응답은 88.7%에 달했다.
이번 조사는 무선(100%) 무작위 생성 표집 틀을 통한 임의 전화걸기(RDD) 자동응답 조사 방식으로 실시됐다.
응답률은 3.9%고, 표본오차는 95% 신뢰수준에 ±4.4%p다. 자세한 내용은 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다.",개인정보유출
충남일보,"""10명 중 9명 '개인정보 유출두렵다'…국민 80% 이상 손해배상 강화 원...",,,,,,,개인정보유출
뉴시스,"대한체육회, 한국인터넷진흥원과개인정보노출 사고 예방 협력",네이버뉴스,https://m.sports.naver.com/general/article/003/0013515069,"스포츠 행사 개인정보 유출 선제적 예방
[서울=뉴시스]박윤서 기자 = 대한체육회는 지난 29일 오후 서울 송파구 올림픽회관 13층 체육회 대회의실에서 한국인터넷진흥원과 개인정보보호 업무협약을 체결했다고 30일 밝혔다.
이번 협약은 각종 스포츠 행사 관련 홈페이지와 플랫폼 운영 과정에서 발생할 수 있는 개인정보 유·노출 사고를 예방하고, 국민이 안심하고 체육 활동에 참여할 수 있는 환경을 조성하기 위해 마련됐다.
협약식에는 김나미 대한체육회 사무총장, 황보성 한국인터넷진흥원 개인정보안전활용본부장 등 관계자들이 참석했다.
양 기관은 스포츠 행사 참가자들의 개인정보 보호에 적극적으로 대응하고, 개인정보 보호 관리 체계를 고도화해 안전한 디지털 스포츠 문화를 함께 구축하기로 뜻을 모았다.
이번 협약으로 체육 행사 관련 개인정보 보호를 위한 정보 공유 및 점검 활동 협업, 체육 분야 개인정보 보호 인식 제고와 노출 예방을 위한 교육 및 홍보 활동, 개인정보 보호 수준 제고를 위한 기술·정책·사례 공유 등 양 기관이 긴밀하게 협력해 나갈 예정이다.
또 양 기관은 점검 및 최신 사례 공유를 통해 회원단체가 개인정보 유·노출 위험을 사전에 방지하고, 본연의 스포츠 진흥 활동에 더욱 집중할 수 있는 환경을 조성하기로 했다.
김나미 사무총장은 ""국민의 소중한 개인정보를 안전하게 지키는 것은 체육회와 회원단체의 중요한 책무""라며 ""이번 협약이 회원단체들의 안전한 스포츠 활동을 지원하는 데 큰 도움이 될 것으로 기대하며, 국민이 안심하고 스포츠를 즐길 수 있도록 최선을 다하겠다""고 전했다.",,,,개인정보유출
뉴시스,"대한체육회, 한국인터넷진흥원과개인정보보호 업무협약 체결",네이버뉴스,https://m.sports.naver.com/general/article/003/0013515069,"스포츠 행사 개인정보 유출 선제적 예방
[서울=뉴시스]박윤서 기자 = 대한체육회는 지난 29일 오후 서울 송파구 올림픽회관 13층 체육회 대회의실에서 한국인터넷진흥원과 개인정보보호 업무협약을 체결했다고 30일 밝혔다.
이번 협약은 각종 스포츠 행사 관련 홈페이지와 플랫폼 운영 과정에서 발생할 수 있는 개인정보 유·노출 사고를 예방하고, 국민이 안심하고 체육 활동에 참여할 수 있는 환경을 조성하기 위해 마련됐다.
협약식에는 김나미 대한체육회 사무총장, 황보성 한국인터넷진흥원 개인정보안전활용본부장 등 관계자들이 참석했다.
양 기관은 스포츠 행사 참가자들의 개인정보 보호에 적극적으로 대응하고, 개인정보 보호 관리 체계를 고도화해 안전한 디지털 스포츠 문화를 함께 구축하기로 뜻을 모았다.
이번 협약으로 체육 행사 관련 개인정보 보호를 위한 정보 공유 및 점검 활동 협업, 체육 분야 개인정보 보호 인식 제고와 노출 예방을 위한 교육 및 홍보 활동, 개인정보 보호 수준 제고를 위한 기술·정책·사례 공유 등 양 기관이 긴밀하게 협력해 나갈 예정이다.
또 양 기관은 점검 및 최신 사례 공유를 통해 회원단체가 개인정보 유·노출 위험을 사전에 방지하고, 본연의 스포츠 진흥 활동에 더욱 집중할 수 있는 환경을 조성하기로 했다.
김나미 사무총장은 ""국민의 소중한 개인정보를 안전하게 지키는 것은 체육회와 회원단체의 중요한 책무""라며 ""이번 협약이 회원단체들의 안전한 스포츠 활동을 지원하는 데 큰 도움이 될 것으로 기대하며, 국민이 안심하고 스포츠를 즐길 수 있도록 최선을 다하겠다""고 전했다.",,,,개인정보유출
뉴스1,"KISA·대한체육회, 체육활동개인정보보호 위해 협력",네이버뉴스,https://m.sports.naver.com/general/article/421/0008518305,"""스포츠 행사 개인정보 유출, 선제적 예방""
(서울=뉴스1) 김도용 기자 = 대한체육회가 한국인터넷진흥원과 개인정보보호 업무협약을 체결했다고 30일 밝혔다.
체육회는 ""이번 협약은 체육 대회 등 각종 스포츠 행사 관련 홈페이지 및 플랫폼 운영 과정에서 발생할 수 있는 개인정보 유·노출 사고를 예방하고, 국민이 안심하고 체육 활동에 참여할 수 있는 환경을 조성하기 위해 마련됐다""고 설명했다.
최근 다양한 스포츠 행사가 온라인 신청 및 접수 시스템을 통해 진행되면서 참가자들의 개인정보 보호 중요성이 더욱 커지고 있다. 양 기관은 이러한 환경 변화에 적극적으로 대응하고 개인정보보호 관리체계를 고도화, 안전한 디지털 스포츠 문화를 함께 구축하기로 뜻을 모았다.
이번 협약을 통해 △체육 행사 관련 개인정보 보호를 위한 정보 공유 및 점검 활동 협업 △체육 분야 개인정보 보호 인식 제고와 노출 예방을 위한 교육 및 홍보 활동 △개인정보 보호 수준 제고를 위한 기술·정책·사례 공유 등 양 기관이 필요하다고 합의하는 개인정보보호 관련 사항에 대해 긴밀하게 협력해 나갈 예정이다.
특히 전국체육대회 등 각종 대회, 생활체육 행사 등을 주관하는 회원단체들의 개인정보보호 활동을 지원하는 데 실질적인 도움을 줄 것으로 기대된다.
김나미 체육회 사무총장은 ""국민의 소중한 개인정보를 안전하게 지키는 것은 체육회와 회원단체 모두의 중요한 책무다. 이번 협약이 회원단체들의 안전한 스포츠 활동을 지원하는 데 큰 도움이 될 것으로 기대한다""면서 ""국민이 안심하고 스포츠를 즐길 수 있도록 최선을 다하겠다""고 전했다.",,,,개인정보유출
