press,title,naver_news_text,naver_news_url,body
아이뉴스24,"SKT ""매주유심100만장 확보...대리점 대여금 상환 3개월 유예""",네이버뉴스,https://n.news.naver.com/mnews/article/031/0000932450?sid=105,
아이뉴스24,[SKT유심 해킹] ‘가입 중단’ 대리점주 대여금 상환 3개월 유예키로,네이버뉴스,https://n.news.naver.com/mnews/article/031/0000932450?sid=105,
뉴스1,"""SKT해킹·대선 전 사이버 위협 예방""…금감원, 금융사 CISO 간담회",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008251825?sid=101,
뉴스1,"금감원 ""대선 앞두고 사이버 위협 경계…사고책임 CEO에""",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008251825?sid=101,
IT조선,"금감원, SKT해킹에 금융권 소집 ""보안사고는 CEO 책임""",,,
YTN,"SKT유심 해킹사태에 금융권 긴장...금감원, 금융사 CISO 간담회",네이버뉴스,https://n.news.naver.com/mnews/article/052/0002193448?sid=101,
파이낸셜포스트,"금융권 CISO, SKT해킹 사고대응 강화",,,
뉴시스,"SKT,유심교체 178만명…교체 대기자 699만명",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013243291?sid=105,
뉴시스,"SKT,해킹 사고안정화 국면…신규 가입 재개 언제쯤",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013243291?sid=105,
일간스포츠,"SKT, 보호 서비스 100%에도유심교체 '총력전'...본사 지원 인력 파견 '...",네이버뉴스,https://n.news.naver.com/mnews/article/241/0003437313?sid=105,
테크M,"SKT,유심교체 178만명·대기자 699만명…유심재설정 QR 추진 준비",,,
포인트경제,"SK텔레콤,유심보호서비스 전 고객 가입 완료",,,
SBS Biz,"SKT ""유심교체 178만명…주말부터 재고 대량 확보""",네이버뉴스,https://n.news.naver.com/mnews/article/374/0000440646?sid=101,
SBS Biz,SKT “17일유심대량 입고…대여금 상환 유예해 대리점 지원”,네이버뉴스,https://n.news.naver.com/mnews/article/374/0000440646?sid=101,
서울경제,"SKT유심교체, 주말부터 속도 낸다..100만장 입고",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004485592?sid=105,
이데일리,"SKT ""유심교체 178만 명…교체 대기자 699만 명""",네이버뉴스,https://n.news.naver.com/mnews/article/018/0006014540?sid=105,
민주신문,"[일문일답] SKT,유심교체 누적 178만명 완료… ""속도 높이기 위해 노력...",,,
머니투데이,"잇따라 보안간담회 연 금융위·금감원…""보안사고CEO 책임""",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005194631?sid=101,
IT동아,SKT유심해킹피싱 주의보 ‘이런 문자 주의하세요!’,,,
블로터,[SKT해킹그 후]기술·제도·투명성…사태가 남긴 숙제는,네이버뉴스,https://n.news.naver.com/mnews/article/293/0000067389?sid=105,
영남일보,"[단독] ‘유심정보 유출’ SKT 상대 단체소송, 대구서도 본격화",,,
데일리팝,소비자원 사칭 '유심 해킹' 피싱 주의보…앱 설치 유도 수법 확산,,,
매경이코노미,"한국서 수천억 벌면서...디올, 韓 고객정보해킹KISA에 신고 안 해",네이버뉴스,https://n.news.naver.com/mnews/article/024/0000097184?sid=102,
