press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
노컷뉴스,"SKT ""유심교체, 6일 연속 30만 명대…누적 417만 명""",네이버뉴스,https://n.news.naver.com/mnews/article/079/0004028012?sid=105,,노컷뉴스,"SKT ""유심 교체, 6일 연속 30만 명대…누적 417만 명""","유심 교체 예약 후 대기자는 482만 명으로 줄어…""교체 후에도 유심보호서비스는 유지""
연합뉴스
SK텔레콤 유심 정보 해킹 사태 이후 매일 30만 명 이상의 SK텔레콤 가입자가 유심을 교체하고 있는 것으로 나타났다.
25일 SK텔레콤 뉴스룸에 따르면 전날인 24일 가입자 30만 명이 유심을 교체했다. 지난 19일 33만 명 교체를 시작으로 20일 35만 명, 21일 36만 명, 22일 31만 명, 23일 33만 명 등 6일 연속 유심 교체 가입자 수가 30만 명대를 기록했다.
이에 따라 유심 교체 누적 가입자 수는 지난 19일 252만 명에서 지난 24일 417만 명으로 늘었고, 같은 기간 유심 교체 예약 후 대기자 수는 633만 명에서 482만 명으로 줄었다.
유심 교체 현황. SK텔레콤 제공
한편, SK텔레콤은 ""유심 교체나 유심 재설정을 한 경우 유심보호서비스 가입은 그대로 유지된다""고 밝혔다. 그러나 이심(eSIM) 경우는 갤럭시 S24 이전 듀얼심 단말 등 일부 단말기에서는 유심보호서비스 재가입이 필요하다고 SK텔레콤은 덧붙였다.
SK텔레콤은 또, 유심보호서비스 가입 상태인 기존 폰에서 유심보호서비스를 해지하지 않고 새 폰에 유심을 끼우면 정상적으로 작동하지 않는다고 강조했다. 이 경우 이전 폰에 유심을 다시 끼운 후 유심보호서비스를 해지한 후 다시 새 폰에 유심을 끼워 유심 기변을 해야 정상적으로 사용 가능하다는 설명이다.
유심보호서비스 해지와 재가입은 티월드 앱을 통해 할 수 있다.
※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.
이메일 :
jebo@cbs.co.kr
카카오톡 :
@노컷뉴스
사이트 :
https://url.kr/b71afn",유심해킹사고
노컷뉴스,"SKT 일일유심교체, 30만 명대 유지...누적 417만 명",네이버뉴스,https://n.news.naver.com/mnews/article/079/0004028012?sid=105,,노컷뉴스,"SKT ""유심 교체, 6일 연속 30만 명대…누적 417만 명""","유심 교체 예약 후 대기자는 482만 명으로 줄어…""교체 후에도 유심보호서비스는 유지""
연합뉴스
SK텔레콤 유심 정보 해킹 사태 이후 매일 30만 명 이상의 SK텔레콤 가입자가 유심을 교체하고 있는 것으로 나타났다.
25일 SK텔레콤 뉴스룸에 따르면 전날인 24일 가입자 30만 명이 유심을 교체했다. 지난 19일 33만 명 교체를 시작으로 20일 35만 명, 21일 36만 명, 22일 31만 명, 23일 33만 명 등 6일 연속 유심 교체 가입자 수가 30만 명대를 기록했다.
이에 따라 유심 교체 누적 가입자 수는 지난 19일 252만 명에서 지난 24일 417만 명으로 늘었고, 같은 기간 유심 교체 예약 후 대기자 수는 633만 명에서 482만 명으로 줄었다.
유심 교체 현황. SK텔레콤 제공
한편, SK텔레콤은 ""유심 교체나 유심 재설정을 한 경우 유심보호서비스 가입은 그대로 유지된다""고 밝혔다. 그러나 이심(eSIM) 경우는 갤럭시 S24 이전 듀얼심 단말 등 일부 단말기에서는 유심보호서비스 재가입이 필요하다고 SK텔레콤은 덧붙였다.
SK텔레콤은 또, 유심보호서비스 가입 상태인 기존 폰에서 유심보호서비스를 해지하지 않고 새 폰에 유심을 끼우면 정상적으로 작동하지 않는다고 강조했다. 이 경우 이전 폰에 유심을 다시 끼운 후 유심보호서비스를 해지한 후 다시 새 폰에 유심을 끼워 유심 기변을 해야 정상적으로 사용 가능하다는 설명이다.
유심보호서비스 해지와 재가입은 티월드 앱을 통해 할 수 있다.
※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.
이메일 :
jebo@cbs.co.kr
카카오톡 :
@노컷뉴스
사이트 :
https://url.kr/b71afn",유심해킹사고
YTN,SKT유심교체 400만 돌파…6일 연속 30만 이상 교체,네이버뉴스,https://n.news.naver.com/mnews/article/052/0002197652?sid=101,,YTN,"SKT 일일 유심교체, 30만 명대 유지...누적 417만 명","해킹 사고 이후 수습책을 가동 중인 SK텔레콤이 지난 19일부터 일일 유심교체 규모를 30만 명대로 유지하고 있습니다.
SK텔레콤은 어제(24일) 하루 가입자 30만 명이 유심을 교체했다고 밝혔습니다.
이에 따라 지금까지 유심을 바꾼 누적 고객은 417만 명이며 예약 후에도 아직 교체가 이뤄지지 않은 고객은 482만 명이라고 설명했습니다.
유심 교체나 유심 재설정을 한 경우에도 유심보호서비스 가입은 그대로 유지됩니다.
유심보호서비스 해지와 재가입, 가입 여부 확인 등은 티월드 앱을 통해 할 수 있습니다.
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr",유심해킹사고
디지털투데이,"SKT,유심교체 6일 연속 30만명↑···누적 417만명",,,,,,,유심해킹사고
서울파이낸스,"SKT 일일유심교체, 30만 명대 유지...누적 417만 명",,,,,,,유심해킹사고
아시아경제,"""집단소송 무료 대행""…SKT해킹 사고이용한 마케팅 논란",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005597833?sid=102,,아시아경제,"""집단소송 무료 대행""…SKT 해킹 사고 이용한 마케팅 논란","본사 ""중단 조치…해킹 사고 이용하지 않아"" 반박
유심 해킹 사고로 SK텔레콤을 이탈하는 가입자를 유치하기 위해 집단소송 신청을 대행해준다는 경쟁사 마케팅이 등장해 빈축을 샀다.
LG유플러스가 SK텔레콤 일부 가입자를 상대로 이번 해킹 사고가 심각한 문제라고 설명하며 매장에서 집단 소송을 대행해 준다는 내용의 광고 문자를 보낸 것으로 확인됐다. 온라인 커뮤니티 캡처
25일 통신업계에 따르면 한 LG유플러스 대리점은 최근 고객들에게 해킹 사고 관련 집단 소송 승소 시 1인당 최대 30만원을 보상받을 수 있다며 신분증과 SKT 이용계약증명서를 가져오면 매장에서 비용 없이 신청을 대행해준다고 밝혔다. 다만 이 대리점은 직영 대리점은 아닌 것으로 확인됐으며, 지역 대리점인 만큼 문자 발송 규모가 크지 않은 것으로 전해졌다.
이 밖에도 문자에는 단말기 고유식별번호(IMEI)는 '디지털 도어락 비밀번호'와 같은 역할을 한다며 이번 해킹 사고는 단순한 사고가 아니라 집 도어락 번호가 유출된 정도로 위험한 상황이라고 적혀있었다.
해당 사레뿐 아니라 SKT 해킹 사고 발생 이후 KT와 LG유플러스 대리점들은 매장 밖에 'SKT 해킹' 등의 내용을 담아 붙이거나 고객에게 '통신사 변경을 고려해야 한다'는 내용의 문자를 보내며 SKT 이탈 가입자를 유인하려는 모습을 보인다고 알려졌다. 또 SKT 해킹 사고 소송과 관련해 만들어진 오픈채팅방에서는 LG유플러스로 가입 통신사를 변경하면 혜택을 제공한다는 내용의 공지가 올라오기도 했다. LG유플러스가 KT보다 혜택이 더 많다면서 특판 직영대리점 가운데 가장 혜택이 많은 곳을 안내하겠다는 내용이었다.
이런 마케팅이 발생하는 건 당연하지만, 과도하게 불안감을 조성하거나 집단소송 신청까지 대리한다는 마케팅은 과도하다는 목소리가 나왔다. 특히 중국이나 북한으로 추정되는 해킹 공격이 지능형 지속 공격(APT)으로 고도화되는 데 대해 통신 3사의 공동 대응이 필요하다는 논의가 나오는 시점에서 이러한 행태는 매우 부적절하다는 비판의 목소리도 크다.
LG유플러스 측은 이와 관련해 ""본사는 SKT 상황을 영업에 활용하지 않는다""며 ""이 문자는 한 대리점에서 발송된 것으로 확인됐고, 확인 즉시 중단 조치했으며, 추가 조치도 검토 중""이라고 해명했다. 방송통신위원회도 해당 사실을 인지하고 있으며 상황 파악에 나선 것으로 전해졌다.",유심해킹사고
아시아경제,"'해킹사고SKT' 이탈 고객 노리는 LGU+ ""집단소송 무료대행"" 문자까지",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005597833?sid=102,,아시아경제,"""집단소송 무료 대행""…SKT 해킹 사고 이용한 마케팅 논란","본사 ""중단 조치…해킹 사고 이용하지 않아"" 반박
유심 해킹 사고로 SK텔레콤을 이탈하는 가입자를 유치하기 위해 집단소송 신청을 대행해준다는 경쟁사 마케팅이 등장해 빈축을 샀다.
LG유플러스가 SK텔레콤 일부 가입자를 상대로 이번 해킹 사고가 심각한 문제라고 설명하며 매장에서 집단 소송을 대행해 준다는 내용의 광고 문자를 보낸 것으로 확인됐다. 온라인 커뮤니티 캡처
25일 통신업계에 따르면 한 LG유플러스 대리점은 최근 고객들에게 해킹 사고 관련 집단 소송 승소 시 1인당 최대 30만원을 보상받을 수 있다며 신분증과 SKT 이용계약증명서를 가져오면 매장에서 비용 없이 신청을 대행해준다고 밝혔다. 다만 이 대리점은 직영 대리점은 아닌 것으로 확인됐으며, 지역 대리점인 만큼 문자 발송 규모가 크지 않은 것으로 전해졌다.
이 밖에도 문자에는 단말기 고유식별번호(IMEI)는 '디지털 도어락 비밀번호'와 같은 역할을 한다며 이번 해킹 사고는 단순한 사고가 아니라 집 도어락 번호가 유출된 정도로 위험한 상황이라고 적혀있었다.
해당 사레뿐 아니라 SKT 해킹 사고 발생 이후 KT와 LG유플러스 대리점들은 매장 밖에 'SKT 해킹' 등의 내용을 담아 붙이거나 고객에게 '통신사 변경을 고려해야 한다'는 내용의 문자를 보내며 SKT 이탈 가입자를 유인하려는 모습을 보인다고 알려졌다. 또 SKT 해킹 사고 소송과 관련해 만들어진 오픈채팅방에서는 LG유플러스로 가입 통신사를 변경하면 혜택을 제공한다는 내용의 공지가 올라오기도 했다. LG유플러스가 KT보다 혜택이 더 많다면서 특판 직영대리점 가운데 가장 혜택이 많은 곳을 안내하겠다는 내용이었다.
이런 마케팅이 발생하는 건 당연하지만, 과도하게 불안감을 조성하거나 집단소송 신청까지 대리한다는 마케팅은 과도하다는 목소리가 나왔다. 특히 중국이나 북한으로 추정되는 해킹 공격이 지능형 지속 공격(APT)으로 고도화되는 데 대해 통신 3사의 공동 대응이 필요하다는 논의가 나오는 시점에서 이러한 행태는 매우 부적절하다는 비판의 목소리도 크다.
LG유플러스 측은 이와 관련해 ""본사는 SKT 상황을 영업에 활용하지 않는다""며 ""이 문자는 한 대리점에서 발송된 것으로 확인됐고, 확인 즉시 중단 조치했으며, 추가 조치도 검토 중""이라고 해명했다. 방송통신위원회도 해당 사실을 인지하고 있으며 상황 파악에 나선 것으로 전해졌다.",유심해킹사고
뉴시스,“남의 불행이 나에겐 찬스”… SKT해킹사태 악용 ‘불안 마케팅’ 논...,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013263251?sid=105,,뉴시스,"'해킹사고 SKT' 이탈 고객 노리는 LGU+ ""집단소송 무료대행"" 문자까지","SKT 유심정보 유출 '집 도어락 번호 알아낸 것과 같다' 문자 보내
""법무법인 통해 소송 진행 중…무료로 신청 대행해 주겠다"" 안내
특정 SKT 집단소송 오픈채팅방서 LGU+ 번호이동 혜택 소개도
[서울=뉴시스] 심지혜 기자=LG유플러스가 SK텔레콤 일부 가입자를 상대로 이번 해킹 사고가 심각한 문제라고 설명하며 매장에서 집단 소송을 대행해 준다는 내용의 광고 문자를 보낸 것으로 확인됐다.
[서울=뉴시스] 심지혜 기자 =
# [web발신](광고)[LGU+] “SK 개인정보 유출, 단순하지 않습니다”
LG유플러스가 최근 SK텔레콤 가입자를 상대로 마케팅 문자를 보내고 있다. 이는 이번 해킹 사고가 심각한 수준이라는 설명과 함께 진행 중인 집단 소송 신청을 매장에서 무료로 대행해 준다는 내용을 담고 있어 논란이 될 것으로 보인다.
25일 이동통신업계에 따르면 LG유플러스가 경쟁사 SK텔레콤 해킹 사고를 지적하며 집단소송을 소개하는 내용의 광고 문자를 보내고 있는 것으로 나타났다.
신규 영업 정지로 SK텔레콤 가입자 이탈이 계속되자 이들을 끌어 모으겠다는 전략으로 풀이된다.
해당 문자는 ‘SK 개인정보 유출, 단순하지 않습니다’라는 문구를 시작으로 단순한 전화번호나 주소 유출이 아닌 휴대폰 고유번호인 'IMEI(단말기식별번호)'가 함께 유출된 것이라고 안내한다.
IMEI는 쉽게 바꿀 수 없고, 단말기 인증금융·보안과 연결된 ‘디지털 도어락 비밀번호’와 같은 역할을 하는 것으로 마치 누군가 당신 집 도어락 번호를 알아낸 것처럼, 단말기의 '디지털 열쇠'가 외부에 노출된 위험한 상황이라고 설명한다.
특히 해당 문자는 단순히 경쟁사를 지적하는 데서 끝나지 않고, 법무법인에서 담당하는 집단소송을 매장에서 비용없이 대행해 준다는 내용까지 담고 있다.
심지어 필요 서류로 신분증과 SK텔레콤 이용계약증명서가 있어야 한다는 것까지 안내했다.
승소할 경우 1인당 최대 30만원의 보상을 받을 수 있다고 했다.
그러면서 해당 문자는 ‘피해를 막을 수는 없었지만, 보상을 받을 수는 있습니다. 고객님의 권리를 꼭 지켜드리겠습니다‘는 문구와 ARS 고객센터 번호 안내로 마무리 된다.
아울러 최근 SK텔레콤 해킹 사고 소송과 관련해 만들어진 오픈채팅방에서는 LG유플러스로 가입 통신사를 변경하면 혜택을 제공한다는 내용을 공지하고 있었다. KT보다 LG유플러스가 혜택이 더 많다면서 특판 직영대리점 중 제일 혜택이 많은 곳을 안내하겠다고 했다.
특히 혜택이 ‘성지폰이라 공개가 어려워 1:1로 직영대리점에서 직접 연락을 해야 한다’고 하기까지 했다. 혜택이 비슷하면 판매점보다 직영대리점이 개인정보보호를 위해 낫다고도 했다.
여기에는 본사 정책 또는 직영대리점 사정으로 개통이 어려우면 중단될 수 있다는 내용까지 포함했다. 만일의 경우 혜택을 제공하지 못할 상황에 대한 대비책까지 마련해 놓은 것이다.
이와 관련, 방송통신위원회도 사태 파악에 나서고 있다.
한편, 지난달 22일부터 SK텔레콤 가입자 40만여 명이 번호이동으로 KT, LG유플러스로 이탈했다.",유심해킹사고
세계일보,"LGU+,해킹사고SKT “집단소송 무료대행” 홍보문자 ‘눈살’",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004038198?sid=101,,세계일보,“남의 불행이 나에겐 찬스”… SKT 해킹 사태 악용 ‘불안 마케팅’ 논란,"일부 미확인 정보 퍼 나르기·소송 대행 광고까지
LG유플러스 “대리점에서 문자 발송…중단 조치”
최근 SK텔레콤 해킹 사태를 악용한 경쟁사 마케팅이 등장해 논란이 일고 있다. 확인되지 않은 정보를 유포해 불안감을 조장하고, 집단소송 신청까지 무료로 대행해주겠다며 고객 몰이에 나서 빈축을 사고 있다.
25일 이동통신업계에 따르면 최근 일부 SK텔레콤 가입자들에게 ‘SK 개인정보 유출, 단순하지 않습니다’라는 제목의 광고문자가 발송됐다. 이 문자는 한 LG유플러스 대리점에서 보낸 것으로 알려졌다.
지난 22일 서울 시내 한 SK텔레콤 공식인증 대리점에서 고객들이 유심 교체를 위해 대기하고 있다. 연합뉴스
해당 문자에는 “고객님의 휴대폰 고유번호인 IMEI가 함께 유출되었습니다”라며 “IMEI는 단말기 인증·금융·보안과 연결된 디지털 도어락 비밀번호 같은 역할을 한다”고 적혀 있다.
이어 “마치 누군가 당신 집 도어락 번호를 알아낸 것처럼, 단말기의 디지털 열쇠가 외부에 노출된 위험한 상황”이라고 경고했다.
그러나 이는 잘못된 정보인 것으로 파악됐다. SK텔레콤 해킹 사고를 조사하는 과학기술정보통신부 민관합동조사단은 최근 1·2차 결과를 발표하며 IMEI 유출이 확인되지 않았다고 밝힌 바 있다. 또 금융자산의 경우 유심 정보 해킹만으로는 발생할 수 없어 허위 사실을 이용해 고객들의 공포심을 조장한다는 비판이 나오고 있다.
SK텔레콤을 상대로 한 집단소송을 무료로 대행해준다는 내용도 논란이다.
문자에는 “이번 사안은 법무법인을 통해 집단소송이 진행 중이며, 승소 시 1인당 최대 30만원 보상이 가능하다”며 “신청은 매장에서 비용 없이 대행해드린다”고 적혀 있다.
이어 신분증과 SK텔레콤 이용계약증명서를 필요 서류로 안내하며 “고객님의 권리를 꼭 지켜드리겠다”고 강조했다.
논란이 일자 LG유플러스 측은 본사 차원에서 진행한 마케팅이 아니라고 해명했다. 한 대리점에서 해당 문자를 발송한 것으로 확인하고 중단 조치를 내렸으며 추가 조치를 검토 중이라고 밝혔다.
이진숙 방송통신위원회 위원장(왼쪽)이 지난 21일 한국인터넷진흥원(KISA) 서울청사에서 열린 'SKT 사이버 침해사고 관련 이동통신 3사 점검회의'에서 인사말을 하고 있다. 방송통신위원회 제공
앞서 방송통신위원회는 SK텔레콤 해킹 사태를 이용한 불안 마케팅을 하지 않도록 통신사 관계자들을 불러 자정 노력을 요청한 바 있다.
이진숙 위원장은 “최근 스팸 신고가 감소 추세에 있지만, SK텔레콤 침해사고에 따른 불안감을 악용한 스팸 발송과 불안 마케팅도 있는 것으로 알고 있다”며 “이용자 보호 노력이 어느 때보다 중요한 시점”이라고 당부했다.",유심해킹사고
쿠키뉴스,"스팸인 줄…""SKT 집단소송 무료대행"" LGU+ 마케팅 논란(종합)",,,,,,,유심해킹사고
