press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
서울신문,"금융위, 자본규제대수술… 기업대출최대 70조 늘린다",네이버뉴스,https://n.news.naver.com/mnews/article/081/0003576187?sid=101,,서울신문,"금융위, 자본규제 대수술… 기업대출 최대 70조 늘린다","이억원 금융위원장이 15일 서울 중구 은행연합회에서 열린 금융위원장-금융지주 회장 간담회에서 발언하고 있다. 2025.9.15 이지훈 기자
금융위원회가 주택담보대출 규제는 강화하고 주식 보유 규제는 완화하는 방식으로 금융권 자본규제 대수술에 나선다. 이를 통해 기업대출 여력을 최대 70조원 이상 늘려 첨단·벤처기업과 지역경제로 자금 흐름을 돌리겠다는 구상이다.
19일 금융권에 따르면 금융위는 이날 서울 여의도 중소기업중앙회에서 ‘제1차 생산적 금융 대전환 회의’를 열고 은행·보험 자본규제 합리화 방안을 발표했다. 이억원 금융위원장은 “금융이 국가 경제의 방향타로서 우리 앞 과제를 해결하고 성장을 주도해야 할 때”라며 “정책금융·금융회사·자본시장 등 3대 전환을 추진하겠다”고 말했다.
우선 은행권의 부동산 쏠림을 완화하기 위해 신규 주택담보대출 위험가중치 하한을 현행 15%에서 20%로 올린다. 반대로 원칙적으로 400%를 적용하던 주식 위험가중치는 250%로 낮추고, 보유 3년 미만 단기매매나 업력 5년 미만 벤처캐피털 투자 등 예외적인 경우에만 400%를 유지한다. 금융위는 이 같은 조정으로 은행 자본비율이 개선돼 기업대출 여력이 31조 6000억원 늘어나고, 기업대출 평균 위험가중치(43%)를 적용하면 최대 73조 5000억원까지 확대될 수 있다고 추산했다.
이억원 금융위원장이 15일 서울 중구 은행연합회에서 열린 금융위원장-금융지주 회장 간담회에서 발언하고 있다. 2025.9.15 이지훈 기자
보험업권은 지급여력제도(K-ICS)에 큰 영향을 미치는 시장위험액과 관련한 보수적 측정 방식을 손질한다. 자산·부채 현금흐름 매칭 기준을 조정해 국채 대비 수익률이 높은 자산에 대한 투자 유인을 강화하는 한편, 과도한 리스크 회피를 유발하지 않도록 검사·감독과 면책 제도, 핵심성과지표(KPI)도 개선한다.
정책금융 부문에서는 국민성장펀드(150조원)를 올해 12월 출범시켜 인공지능(AI), 반도체, 바이오, 2차전지, 미래차 등 전략산업에 집중 투자한다. 게임·콘텐츠 산업과 벤처생태계 지원도 강화하며, 파급효과가 큰 ‘메가 프로젝트’를 발굴해 규제·세제·재정·금융·인력양성 패키지를 제공한다.
자본시장 측면에서는 기업성장집합투자기구(BDC) 도입과 세제 혜택 부여, 중소기업·소상공인 자산의 증권화를 통한 토큰증권(STO) 제도화, 대형 증권사의 모험자본 공급 의무화 등이 추진된다.
금융위는 세 축별로 실무 태스크포스(TF)를 꾸리고, 업계·전문가 의견을 모아 ‘생산적 금융 대전환 회의’를 통해 주요 과제를 순차적으로 발표할 계획이다. 이 위원장은 “정부·금융권·기업이 긴밀히 소통하는 자리를 지속적으로 마련하고, 현장의 목소리를 즉각 반영해 속도감 있게 제도 개선에 나서겠다”고 강조했다.",대출규제
서울신문,부동산 쏠림 완화 위한 금융권규제개선…기업대출31.6조 확대,네이버뉴스,https://n.news.naver.com/mnews/article/081/0003576187?sid=101,,서울신문,"금융위, 자본규제 대수술… 기업대출 최대 70조 늘린다","이억원 금융위원장이 15일 서울 중구 은행연합회에서 열린 금융위원장-금융지주 회장 간담회에서 발언하고 있다. 2025.9.15 이지훈 기자
금융위원회가 주택담보대출 규제는 강화하고 주식 보유 규제는 완화하는 방식으로 금융권 자본규제 대수술에 나선다. 이를 통해 기업대출 여력을 최대 70조원 이상 늘려 첨단·벤처기업과 지역경제로 자금 흐름을 돌리겠다는 구상이다.
19일 금융권에 따르면 금융위는 이날 서울 여의도 중소기업중앙회에서 ‘제1차 생산적 금융 대전환 회의’를 열고 은행·보험 자본규제 합리화 방안을 발표했다. 이억원 금융위원장은 “금융이 국가 경제의 방향타로서 우리 앞 과제를 해결하고 성장을 주도해야 할 때”라며 “정책금융·금융회사·자본시장 등 3대 전환을 추진하겠다”고 말했다.
우선 은행권의 부동산 쏠림을 완화하기 위해 신규 주택담보대출 위험가중치 하한을 현행 15%에서 20%로 올린다. 반대로 원칙적으로 400%를 적용하던 주식 위험가중치는 250%로 낮추고, 보유 3년 미만 단기매매나 업력 5년 미만 벤처캐피털 투자 등 예외적인 경우에만 400%를 유지한다. 금융위는 이 같은 조정으로 은행 자본비율이 개선돼 기업대출 여력이 31조 6000억원 늘어나고, 기업대출 평균 위험가중치(43%)를 적용하면 최대 73조 5000억원까지 확대될 수 있다고 추산했다.
이억원 금융위원장이 15일 서울 중구 은행연합회에서 열린 금융위원장-금융지주 회장 간담회에서 발언하고 있다. 2025.9.15 이지훈 기자
보험업권은 지급여력제도(K-ICS)에 큰 영향을 미치는 시장위험액과 관련한 보수적 측정 방식을 손질한다. 자산·부채 현금흐름 매칭 기준을 조정해 국채 대비 수익률이 높은 자산에 대한 투자 유인을 강화하는 한편, 과도한 리스크 회피를 유발하지 않도록 검사·감독과 면책 제도, 핵심성과지표(KPI)도 개선한다.
정책금융 부문에서는 국민성장펀드(150조원)를 올해 12월 출범시켜 인공지능(AI), 반도체, 바이오, 2차전지, 미래차 등 전략산업에 집중 투자한다. 게임·콘텐츠 산업과 벤처생태계 지원도 강화하며, 파급효과가 큰 ‘메가 프로젝트’를 발굴해 규제·세제·재정·금융·인력양성 패키지를 제공한다.
자본시장 측면에서는 기업성장집합투자기구(BDC) 도입과 세제 혜택 부여, 중소기업·소상공인 자산의 증권화를 통한 토큰증권(STO) 제도화, 대형 증권사의 모험자본 공급 의무화 등이 추진된다.
금융위는 세 축별로 실무 태스크포스(TF)를 꾸리고, 업계·전문가 의견을 모아 ‘생산적 금융 대전환 회의’를 통해 주요 과제를 순차적으로 발표할 계획이다. 이 위원장은 “정부·금융권·기업이 긴밀히 소통하는 자리를 지속적으로 마련하고, 현장의 목소리를 즉각 반영해 속도감 있게 제도 개선에 나서겠다”고 강조했다.",대출규제
노컷뉴스,"금융위, 자본규제손질…기업대출최대 73조 확대",네이버뉴스,https://n.news.naver.com/mnews/article/079/0004068127?sid=101,,노컷뉴스,부동산 쏠림 완화 위한 금융권 규제 개선…기업대출 31.6조 확대,"금융위원회 제공
금융당국이 금융권 자본규제 개선으로 부동산 쏠림을 완화해 최대 31조 6천억원 규모의 기업대출 확대를 유도한다.
이억권 금융위원장은 19일 서울 여의도 중소기업중앙회에서 제1차 생산적 금융 대전환 회의를 열고 생산적 금융으로의 대전환을 위해 정책금융·금융회사·자본시장의 3대 전환 추진 과제를 발표했다.
정책금융 전환과제는 150조원 규모로 조성하는 국민성장펀드를 통해 미래 전략산업과 생태계·인프라에 맞춤형 투자를 제공하는 대표과제다.
국민성장펀드는 앞으로 5년 동안 500조원에 달하는 첨단산업에 대한 투자 수요에 대비하는 마중물 역할이다. 산술적으로 한국의 1년 명목 GDP(국내총생산) 대비 1%인 125조원 규모의 부가가치 증대효과가 기대된다.
우리 경제의 전략산업인 AI(인공지능), 반도체, 바이오, 백신, 로봇, 수소, 이차전지, 디스플레이, 미래차, 방산 등은 물론 관련 기업에 지원을 집중하는 동시에 게임 등 컨텐츠 분야 산업에도 적극 투자할 방침이다.
이와 함께 산업계와 긴밀한 소통을 통해 산업 내 파급효과가 큰 '메가프로젝트'를 발굴하고 이를 위해 금융권과 산업계, 사업 부처와 소통을 통한 유기적 협력을 도모한다.
금융회사 전환과제는 지나치게 보수적으로 운영되는 기준을 합리화해 은행권 자금의 부동산 쏠림 현상을 완화하고, 벤처기업 등 생산적 분야로 자금이 유입될 수 있도록 하는 목표를 갖는다.
먼저 신규 주택담보대출의 위험가중치(RW) 하한을 현행 15%에서 20%로 상향한다. 또 은행의 주식 보유 관련 RW 기준도 현행 400%에서 250%로 낮추는 대신 3년 미만 보유 예정인 단기매매 목적의 비상장 주식 또는 벤처캐피탈 등에만 400% 적용을 유지한다.
금융당국은 이 같은 개선을 통해 31조 6천억원의 투자여력 확대를 예상한다. 관련된 은행업감독업무시행세칙 개정은 내년 1분기 중 추진하고, 다음달 보험업권 자본규제 개선방안을 발표할 예정이다.
마지막으로 자본시장 활성화를 목표로 대형 종합투자회사에 새로운 조달(발행어음)과 운용(IMA) 수단을 허용하고 모험자본 공급을 의무화한다. 약 20조원 안팎의 의무가 발생할 것으로 추정된다.
또 중기·소상공인이 보유자산 및 사업의 증권화로 원활하게 자금을 조달할 수 있도록 토큰증권(STO) 제도화, 일반 국민의 벤처 투자 확대를 위한 기업성장집합투자기구(BDC) 도입 및 세제혜택, 비상장주식 거래플랫폼 정착 등을 추진한다.
불공정거래 엄단 등 시장질서 확립 및 일반주주 권익 강화를 통해 주식시장에 대한 투자자 신뢰를 회복하고, 외국인 투자여건 개선, MSCI 선진지수 편입 로드맵 마련, 퇴직연금 개선 등에도 나선다.
이 위원장은 ""중요한 것은 전문성을 바탕으로 기업과 프로젝트를 정교하게 선별하고 리스크를 정확하게 평가하는 금융의 선구안""이라며 ""서로에 대한 이해와 선구안을 제고할 수 있는 허심탄회한 논의가 이어지기를 희망한다""고 말했다.
※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.
이메일 :
jebo@cbs.co.kr
카카오톡 :
@노컷뉴스
사이트 :
https://url.kr/b71afn",대출규제
브릿지경제,"금융위, 부동산 쏠림 완화·기업대출확대 위해 자본규제개편",,,,,,,대출규제
한국경제,"오세훈, 정부대출 규제에 ""신혼부부 꿈까지 짓눌렀다"" 비판",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005186727?sid=101,,한국경제,"오세훈, 정부 대출 규제에 ""신혼부부 꿈까지 짓눌렀다"" 비판","장기전세주택까지 묶어 신혼부부 부담
""국토부에 개선 요구해도 요지부동""
오세훈 서울시장. 사진=최혁 기자
오세훈 서울시장이 정부의 대출 규제가 장기전세주택 대출까지 제한하면서 신혼부부의 부담을 키우고 주거 안정을 해친다며 정부를 비판했다.
오 시장은 18일 페이스북에 '신혼부부의 꿈을 막는 정책, 바로잡아야 하지 않겠습니까'란 제목의 글을 올리고 ""정부의 대출규제가 '미리내집' 취지를 무색하게 만들고 있다""고 주장했다.
그는 ""미리내집은 신혼부부가 시세의 80% 이하 보증금으로 최대 20년 동안 안정적으로 거주할 수 있는 장기전세주택""이라며 ""올해 청약경쟁률이 최고 759.5:1에 달할 만큼 서울시민의 주거 안정을 위한 제도로 높은 지지를 받고 있다""고 설명했다.
이 제도가 정부의 대출 규제로 제 기능을 할 수 없게 됐다는 것이 오 시장의 지적이다. 오 시장은 ""정책대출인 버팀목대출은 보증금 4억원 이하 주택에만 적용되지만, 서울에서 이 조건을 충족하는 단지는 4분의 1에 불과하다""며 ""서울과 지방의 집값이 다른데도 똑같은 잣대를 들이대 생긴 문제""라고 짚었다.
이어 ""설상가상으로 지난 6·27 규제 이후에는 대출한도도 3억원에서 2억5000만원으로 줄었다""며 ""성북구 미리내집의 경우 과거에는 자기 자금 9000만원이면 입주할 수 있었지만 이제는 1억4000만원이 필요하다""고 강조했다.
오 시장은 ""집값 억제와 무관한 장기전세까지 묶어 신혼부부의 짐만 키운 셈""이라며 ""서울시가 제도 개선을 수차례 요청했지만 국토부는 요지부동""이라고 비판했다.
그러면서 ""'집값 잡기'와 무관한 '주거 안정'은 오히려 적극적으로 장려해야 하지 않겠나""라며 ""신혼부부의 꿈까지 짓누르는 규제는 교각살우(矯角殺牛)""라고 목소리를 높였다.",대출규제
한국경제,"오세훈, 李정부 부동산대출 규제에 ""신혼부부 꿈까지 짓누르는 교각살...",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005186727?sid=101,,한국경제,"오세훈, 정부 대출 규제에 ""신혼부부 꿈까지 짓눌렀다"" 비판","장기전세주택까지 묶어 신혼부부 부담
""국토부에 개선 요구해도 요지부동""
오세훈 서울시장. 사진=최혁 기자
오세훈 서울시장이 정부의 대출 규제가 장기전세주택 대출까지 제한하면서 신혼부부의 부담을 키우고 주거 안정을 해친다며 정부를 비판했다.
오 시장은 18일 페이스북에 '신혼부부의 꿈을 막는 정책, 바로잡아야 하지 않겠습니까'란 제목의 글을 올리고 ""정부의 대출규제가 '미리내집' 취지를 무색하게 만들고 있다""고 주장했다.
그는 ""미리내집은 신혼부부가 시세의 80% 이하 보증금으로 최대 20년 동안 안정적으로 거주할 수 있는 장기전세주택""이라며 ""올해 청약경쟁률이 최고 759.5:1에 달할 만큼 서울시민의 주거 안정을 위한 제도로 높은 지지를 받고 있다""고 설명했다.
이 제도가 정부의 대출 규제로 제 기능을 할 수 없게 됐다는 것이 오 시장의 지적이다. 오 시장은 ""정책대출인 버팀목대출은 보증금 4억원 이하 주택에만 적용되지만, 서울에서 이 조건을 충족하는 단지는 4분의 1에 불과하다""며 ""서울과 지방의 집값이 다른데도 똑같은 잣대를 들이대 생긴 문제""라고 짚었다.
이어 ""설상가상으로 지난 6·27 규제 이후에는 대출한도도 3억원에서 2억5000만원으로 줄었다""며 ""성북구 미리내집의 경우 과거에는 자기 자금 9000만원이면 입주할 수 있었지만 이제는 1억4000만원이 필요하다""고 강조했다.
오 시장은 ""집값 억제와 무관한 장기전세까지 묶어 신혼부부의 짐만 키운 셈""이라며 ""서울시가 제도 개선을 수차례 요청했지만 국토부는 요지부동""이라고 비판했다.
그러면서 ""'집값 잡기'와 무관한 '주거 안정'은 오히려 적극적으로 장려해야 하지 않겠나""라며 ""신혼부부의 꿈까지 짓누르는 규제는 교각살우(矯角殺牛)""라고 목소리를 높였다.",대출규제
뉴시스,"오세훈 ""신혼부부 꿈까지 짓누르는 규제는 교각살우""…정부대출 규제...",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013489982?sid=100,,뉴시스,"오세훈, 李정부 부동산 대출 규제에 ""신혼부부 꿈까지 짓누르는 교각살우""","""대출 규제가 미리내집 취지 무색하게 만들어""
""서울과 지방 집값 다른데 똑같은 잣대 들이대""
[서울=뉴시스] 조성우 기자 = 오세훈 서울시장이 지난 17일 오후 서울 중구 서울시청에서 열린 서울시-수도방위사령부가 함께하는 안보포럼에서 환영사를 하고 있다. 2025.09.17. xconfind@newsis.com
[서울=뉴시스] 이재은 기자 = 오세훈 서울시장은 18일 이재명 정부의 부동산 대출 규제에 대해 ""신혼부부의 꿈까지 짓누르는 규제는 교각살우""라고 지적했다.
오 시장은 페이스북에 '신혼부부의 꿈을 막는 정책, 바로잡아야 하지 않겠습니까'라는 제목의 글을 올렸다.
그는 ""'미리내집'은 신혼부부가 시세 80% 이하 보증금으로 최대 20년 동안 안정적으로 거주할 수 있는 장기전세주택""이라며 ""청약경쟁률이 최고 759.5:1에 달할 만큼, 서울시민의 주거안정을 위한 제도로 높은 지지를 받고 있다""고 말했다.
이어 ""그러나 정부의 대출 규제가 이 제도의 취지를 무색하게 만들고 있다. 정책대출인 버팀목대출은 보증금 4억원 이하 주택에만 적용되지만 서울에서 이 조건을 충족하는 단지는 4분의 1에 불과하다""며 ""서울과 지방의 집값이 다른데도 똑같은 잣대를 들이대 생긴 문제""라고 비판했다.
오 시장은 ""설상가상으로 지난 6.27 규제 이후에는 대출한도도 3억원에서 2억5000만원으로 줄었다""며 ""성북구 미리내집의 경우, 과거에는 자기 자금 9000만원이면 입주할 수 있었지만 이제는 1억4000만원이 필요하다""고 했다.
그러면서 ""집값 억제와 무관한 장기전세까지 묶어 신혼부부의 짐만 키운 셈""이라며 ""서울시가 제도 개선을 수차례 요청했지만 국토부는 요지부동이다. '집값 잡기'와 무관한 '주거 안정'은 오히려 적극적으로 장려해야 하지 않겠나""고 반문했다．",대출규제
서울경제,"오세훈, 李정부대출 규제에 ""신혼부부 꿈까지 짓눌러""",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004534685?sid=101,,서울경제,"오세훈 ""신혼부부 꿈까지 짓누르는 규제는 교각살우""…정부 대출 규제 비판[집슐랭]","18일 페이스북 계정에 글 올려
""대출 규제로 미리내집 취지 무색""
오세훈(가운데) 서울시장이 8월 13일 오세훈 서울시장이 송파구 문정동의 '미리내집'을 방문해 주거 환경을 살펴보고 있다. 사진 제공=서울시
[서울경제]
오세훈 서울시장이 “신혼부부의 꿈까지 짓누르는 규제는 교각살우(矯角殺牛)”라며 정부의 대출 규제 정책을 비판했다. 교각살우는 소의 뿔을 바로잡으려다 소를 죽인다는 의미다. 서울을 중심으로 한 집값 상승을 막기 위한 대출 규제가 부작용으로 이어지고 있다는 주장으로 해석된다.
오 시장은 18일 자신의 페이스북 계정에 글을 올려 정부의 대출 규제가 서울시의 신혼부부 대상 공공 임대 주택인 ‘미리내집’의 취지를 무색하게 만들고 있다고 지적했다. 미리내집은 신혼부부가 시세의 80% 이하 보증금으로 최대 20년 간 거주할 수 있는 장기 전세 주택이다.
오 시장은 “정책 대출인 버팀목 대출은 보증금 4억 원 이하 주택에만 적용되지만 서울에서 이 조건을 충족하는 단지는 4분의 1에 불과하다”며 “서울과 지방의 집값이 다른데도 똑같은 잣대를 들이대 생긴 문제”라고 설명했다. 이어 “설상가상으로 지난 6·27 규제 이후에는 대출 한도도 3억 원에서 2억 5000만 원으로 줄었다”며 “성북구 미리내집의 경우 과거에는 자기 자금 9000만 원이면 입주할 수 있었지만 이제는 1억 4000만 원이 필요하다”고 했다. 그러면서 “집값 억제와 무관한 장기 전세까지 묶어 신혼부부의 짐만 키운 셈”이라고 지적했다.
오 시장은 “서울시가 제도 개선을 수차례 요청했지만 국토부는 요지부동”이라며 “‘집값 잡기’와 무관한 ‘주거 안정’은 오히려 적극적으로 장려해야 하지 않겠냐”고 제도 개선을 재차 촉구했다.
오세훈 ""신혼부부 꿈까지 짓누르는 규제는 교각살우""… 정부 대출 규제 비판",대출규제
데일리안,"오세훈, 정부대출규제에 ""신혼부부 꿈 막는 정책, 바로잡아야""",네이버뉴스,https://n.news.naver.com/mnews/article/119/0003004804?sid=102,,데일리안,"오세훈, 李정부 대출 규제에 ""신혼부부 꿈까지 짓눌러""","""이재명 정부 6·27 규제, 집값 억제와 무관한 장기전세까지 묶어""
""서울시, 수차례 제도 개선 요청했으나 국토부 요지부동""
오세훈 서울시장.ⓒ연합뉴스
[데일리안 = 허찬영 기자] 오세훈 서울시장은 이재명 정부의 부동산 대출 규제를 두고 ""신혼부부의 꿈까지 짓누르는 규제는 교각살우(矯角殺牛)""라고 지적했다.
오 시장은 18일 페이스북에 '신혼부부의 꿈을 막는 정책, 바로잡아야 하지 않겠습니까'란 제목의 글을 올렸다.
그는 ""'미리내집'은 신혼부부가 시세 80% 이하 보증금으로 최대 20년 동안 안정적으로 거주할 수 있는 장기전세주택""이라며 ""청약경쟁률이 최고 759.5:1에 달할 만큼, 서울시민의 주거안정을 위한 제도로 높은 지지를 받고 있다""고 말했다.
그러면서 ""그러나 정부의 대출 규제가 이 제도의 취지를 무색하게 만들고 있다""며 ""정책대출인 버팀목대출은 보증금 4억원 이하 주택에만 적용되지만, 서울에서 이 조건을 충족하는 단지는 4분의 1에 불과하다. 서울과 지방의 집값이 다른데도 똑같은 잣대를 들이대 생긴 문제""라고 꼬집었다.
이어 ""설상가상으로 지난 6·27 규제 이후에는 대출한도도 3억원에서 2억5000만원으로 줄었다""며 ""성북구 미리내집의 경우 과거에는 자기 자금 9000만원이면 입주할 수 있었지만 이제는 1억4000만원이 필요하다""고 말했다.
오 시장은 ""집값 억제와 무관한 장기전세까지 묶어 신혼부부의 짐만 키운 셈""이라며 ""서울시가 제도 개선을 수차례 요청했지만 국토부는 요지부동이다. '집값 잡기'와 무관한 '주거 안정'은 오히려 적극적으로 장려해야 하지 않겠나""라고 했다.",대출규제
내일신문,은행규제풀어 기업대출확대,,,,,,,대출규제
