press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
SBS Biz,신뢰 잃은 美국채…'안전자산대표' 지위 회복은 언제?,네이버뉴스,https://n.news.naver.com/mnews/article/374/0000444323?sid=104,,SBS Biz,신뢰 잃은 美국채…'안전자산 대표' 지위 회복은 언제?,"[앵커]
미국 국채금리가 좀처럼 떨어지지 않고 있습니다.
금리가 오른다는 건, 그만큼 채권의 인기가 시들해지면서 가격이 낮아진다는 뜻인데요.
위험자산 시장이 불안한 흐름을 이어가는데도 대표적인 안전자산으로 인식되는 미 국채로 자금이 몰리지 않고, 다른 곳으로 간다는 거죠.
언제까지 이런 상황이 이어질까요?
김성훈 기자와 분석해 보겠습니다.
미국 채권시장이 좀처럼 안정되지 않고 있죠?
[기자]
시중금리의 벤치마크 역할을 하는 미 10년 만기 국채금리는 현재 4.35% 수준에서 움직이고 있는데요.
지난달 19일 무디스의 미국 국가신용등급 강등 여파에 장중 심리적 저항선인 4.5%를 돌파한 바 있는데요.
이후에도 4.5% 부근에서 급등락 하며 높은 금리 수준을 이어가고 있는 겁니다.
[앵커]
가장 큰 영향을 미치는 건 미국의 재정적자 문제죠?
[기자]
그렇습니다.
무엇보다 트럼프 대통령의 강력한 감세안 추진 의지가 국채 시장 불안감을 키우고 있습니다.
트럼프 대통령은 최근 개인 소셜미디어에 ""모든 공화당 의원들이 감세 법안을 7월 4일 이전에 내 책상 위로 가져오기 위해 가능한 한 신속히 일할 것을 촉구한다""고 밝혔는데요.
하지만 트럼프 대통령이 '크고 아름다운 법안'이라고도 표현하는 이 감세안은 재정적자 상황을 더 악화시킬 것으로 전망됩니다.
이미 미국의 재정적자 규모는 GDP의 1.2배에 달하는 36조 2천200억 달러, 우리 돈으로 5 경원에 육박하는데요.
미 의회 예산국은 관련 법안이 시행되면, 10년 간 2조 4천억 달러, 우리 돈 3천270조 원이 더 늘어날 것으로 추산하고 있습니다.
미 정부가 주로 국가 부채를 미 국채로 틀어막고 있는 상황에서 재정적자 확대는 미 국채에 대한 신뢰를 악화시켜 국채 가격은 떨어뜨리고 금리는 밀어 올리게 됩니다.
[앵커]
실제로 최근 미국 국채에 대한 투자자들의 신뢰가 많이 떨어졌어요?
[기자]
그렇습니다.
최근 미 국채 가격과 달러 움직임이 시장 공식에서 벗어난 흐름을 보이면서, 두 자산이 안전자산으로서 신뢰가 크게 훼손된 것 아니냐는 해석도 나오고 있습니다.
보통 미 국채 금리와 달러 가치는 같은 방향으로 움직인다는 인식이 있는데요.
채권의 수익률이기도 한 금리가 오르면 투자자들은 이를 매력적인 투자처로 인식해 미국 자산에 수요가 늘면서 강달러 흐름을 보이는데요.
하지만 파이낸셜타임즈는 지난 4월 2일 트럼프 대통령의 상호관세 발표 이후 미 국채 금리는 상승 흐름을 보였지만, 달러 가치는 하락했다고 지적했습니다.
그러면서 두 지표 간 상관관계가 최근 3년 사이 최저 수준으로 떨어졌다고 설명했습니다.
투자자들이 국채 금리 상승을 미 재정 악화와 정책 불확실성 등 비정상적인 요인에 따른 것으로 판단하고 있다고 분석했는데요.
이에 금이나 유로화 등 다른 자산으로 이동하면서 달러 약세가 나타나고 있다는 겁니다.
이를 두고 파이낸셜타임즈는 ""미국 경제에 신뢰의 위기라는 경고등이 켜졌다""고 평가했습니다.
블룸버그는 해외 보험사와 연금펀드 같은 기관 투자자들이 미 국채 대신에 높은 국가 신용등급을 유지하고 있는 호주와 싱가포르 등의 국채로 투자 포트폴리오를 조정하고 있다고 전했습니다.
[앵커]
월가에서는 경고음이 계속해서 나오고 있어요?
[기자]
그렇습니다.
JP모건의 제이미 다이먼 CEO는 채권시장의 균열이 곧 발생할 것이라고 경고했습니다.
다이먼 CEO는 ""6개월 뒤일지 6년 뒤일지는 모르지만 곧 균열이 일어날 것""이라고 말했습니다.
그러면서 ""주 정부와 시 당국 등의 관리 부실 또한 엄청나다""며, ""국가 부채가 미 경제를 파멸시킬 수 있다""고 우려했습니다.
또한 정부 정책에 문제가 있다고 판단해 국채를 대량 매도하면서 시장을 뒤흔드는 일명 '채권 자경단'이 활동하고 있다고도 생각한다고 말했습니다.
[앵커]
위기감이 커지니까, 트럼프 행정부의 불 끄기 발언도 계속 나오고 있죠?
[기자]
스콧 베센트 미 재무장관은 ""미국은 결코 디폴트를 하지 않을 것이며, 그런 일은 일어나지 않을 것""이라고 반박했습니다.
다이먼 CEO의 발언에 대해서도 ""그는 내내 그런 예측을 해왔고, 다행히도 그중 어느 것도 실현되지 않았다""고 꼬집었습니다.
오히려 트럼프 행정부는 감세안 추진의 정당성을 강조하고 있는데요.
케빈 해셋 백악관 국가경제위원회 위원장은 ""적자를 더 악화시킨다는 주장은 타당하지 않다""며, ""만약 법안이 통과되지 않고 세금 인상이 현실화되면 그건 곧 경기침체를 뜻한다""며 오히려 공세를 폈습니다.
[앵커]
미국 정부가 따로 믿는 구석이라도 있는 건가요?
[기자]
시장에선 베센트 재무장관이 일명 '4D 체스' 전략을 통해 부채 증가 속도를 줄이는 식으로 국채 금리 상승은 낮추고 시장 안정화를 꾀할 것이란 분석이 나옵니다.
4D 체스는 '현재로선 상상할 수 없는 고차원의 묘수'를 뜻하는 표현인데요.
그러니까 지금은 어리석어 보이는 수로 보이지만, 나중을 위한 엄청난 전략이라는 겁니다.
구체적으로 관세정책을 통한 세수 확보로 재정 적자분을 일부 메우고요.
또 감세안을 통해 경제를 부양한다는 구상인데요.
베센트 장관은 ""부채가 증가하는 것보다 빠른 속도로 GDP를 늘리면 GDP 대비 부채비율이 안정될 것""이라고 말한 바 있습니다.
여기에 웰스파고나 골드만삭스 같은 대형 은행들의 보완적 레버리지 비율, SLR 같은 자본규제를 완화하는 방안도 추진 중인 것으로 알려졌는데요.
뱅크런 같은 예기치 못한 사고에 대비해 일정한 자기 자본을 쌓도록 한 규제인데, 이를 완화해 대형 은행들이 국채 매입에 나설 수 있도록 여력을 키워준다는 겁니다.
또 최근 트럼프 대통령이 파월 연준의장과 회동한 가운데, 연준이 국채 매입을 늘리도록 압박할 가능성도 있습니다.
최근 신뢰도 하락 속에 20년 만기 국채 경매가 흥행 부진을 겪은 가운데, 국채 매입 수요를 늘려 가격을 올리고 금리는 낮추는 겁니다.
다만 도이체방크는 이 같은 조치가 ""인플레이션 기대를 끌어올려 역효과를 낼 수 있다""고 지적했습니다.
그러면서 ""국채 수익률을 안정화시킬 수 있는 건 연준이 아니라 미 의회뿐""이라며, 재정적자를 감축하려는 노력이 중요하다고 주장했습니다.
[앵커]
결과적으로 지금이 중요한 시점이라는 얘긴데, 당분간은 채권시장의 불안한 모습이 이어질 수밖에 없겠군요?
[기자]
일단 시장에선 관세정책의 불확실성이 커진 측면을 추가 악재로 보고 있는데요.
상호관세를 둘러싼 법정 공방 이후 트럼프 대통령이 다시 관세 압박 수위를 높이고 있기 때문입니다.
UBS의 전문가는 ""새로운 관세 관련 뉴스에 시장 변동성이 지속될 것""이라면서 ""재정 문제에 대한 우려가 여전하고 지정학적 긴장이 고조되고 있다""고 지적했습니다.
이 때문에 단기적으로는 트럼프 대통령과 시진핑 중국 국가 주석의 통화를 주시하는 분위기인데요.
경제분석업체 캐피탈 이코노믹스는 무역전쟁이 진전될 경우를 전제로 국채 금리 상승세가 완화될 것으로 내다봤습니다.
그러면서 ""높은 시장 변동성에도 불구하고 연말에는 현재의 금리 수준을 유지하거나 하락할 가능성이 높다""고 전망했습니다.
[앵커]
김성훈 기자, 잘 들었습니다.
당신의 제보가 뉴스로 만들어집니다.
SBS Biz는 여러분의 제보를 기다리고 있습니다.
홈페이지 = https://url.kr/9pghjn",안전자산
뉴스핌,[새 정부에 바란다] 은행에 '가상자산보관해야'안전···은행법 개정...,,,,,,,안전자산
연합인포맥스,안전자산스위스 프랑 랠리에 자국은 '디플레' 진입,,,,,,,안전자산
아주경제,"한풀 꺾인 '金' 인기…국제 금값 떨어지고, 대선에 안정 찾아",,,,,,,안전자산
매일경제,"‘이 고기’ 주민에 나눔…아프리카, 폭증한 코끼리 개체 수 조절한다는...",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005504262?sid=104,,매일경제,"‘이 고기’ 주민에 나눔…아프리카, 폭증한 코끼리 개체 수 조절한다는데","짐바브웨 국립공원에서 한 무리의 코끼리들이 걷고 있다. [사진 = 로이터]
아프리카 짐바브웨 정부가 급증한 코끼리 개체 수를 조절하기 위해 수십 마리를 도살하고, 이들의 고기를 지역 주민들에게 배분할 계획이라고 발표했다.
5일 (현지시간) 미국 ABC뉴스에 따르면, 짐바브웨 공원·야생동물관리청(ZimParks)은 전날 자국 남동부에 위치한 대형 사유 보호구역인 ‘세이브 밸리 보호구역(Save Valley Conservancy)’에 코끼리 도살 허가를 발급했다고 밝혔다.
관리청은 “이번 조치는 해당 지역의 지속적인 코끼리 개체 수 증가에 대응하기 위한 것으로, 1차적으로 약 50마리를 대상으로 한다”고 설명했다.
이어 “2024년 항공 조사 결과에 따르면 세이브 밸리 보호구역의 코끼리 수는 2550마리로, 생태적 수용 능력인 800마리를 크게 초과하고 있다”고 덧붙였다.
짐바브웨는 지난 5년간 같은 보호구역 내 코끼리 200마리를 다른 지역으로 옮겼다. 하지만 이러한 조치만으로는 서식지 및 식량 부족 등의 문제를 해결할 수 없었다.
관리청은 “도살된 코끼리에서 나온 고기는 지역 공동체에 배분하고, 상아는 국가 자산으로 안전하게 보관될 예정”이라고 밝혔다. 다만 전 세계적으로 상아 무역이 금지되어 있어 상아는 판매할 수 없다.
ZimParks 대변인 티나셰 파라워(Tinashe Farawo)는 ABC뉴스와의 인터뷰에서 이번 조치를 “코끼리 떼 전체를 제거하는 ‘도태(culling)’는 아니며, 관리 목적의 조치”라고 강조했다. 그러나 도살 시기나 총 개체 수에 관한 질문에는 답변을 피했다.
세이브 밸리 보호구역 측은 “1단계 조치는 올해 시작되며, 생태적·물리적·재정적 제약 조건을 파악하는 것이 핵심”이라며, “장기적으로 이러한 관리 조치가 반복될 가능성도 있다”고 밝혔다.
이어 “가급적 다른 적합한 서식지를 찾아 이주시키는 것이 최선이지만, 현재로선 코끼리가 없는 적정 서식지를 주변에서 찾기 어려운 상황”이라며 “이번 1차 조치는 약 50마리 수준으로 제한하며, 도살된 코끼리 사체를 최대한 낭비 없이 존중하는 방식으로 처리할 것”이라고 설명했다.",안전자산
지디넷코리아,"ST, STM32WL33 장거리 무선 MCU 지원 통합 매칭 필터 출시",네이버뉴스,https://n.news.naver.com/mnews/article/092/0002377068?sid=105,,지디넷코리아,"ST, STM32WL33 장거리 무선 MCU 지원 통합 매칭 필터 출시","글로벌 반도체 기업 ST마이크로일렉트로닉스(이하 ST)는 STM32WL33 무선 마이크로컨트롤러(MCU)를 지원하는 안테나 매칭 컴패니언 칩 세트를 출시했다고 5일 밝혔다.
이 세트는 새로운 MLPF-WL-01D3/02D3/04D3 IC는 ST의 독보적인 IPD(Integrated Passive Device) 기술을 활용하며, 임피던스 매칭과 고조파 필터링을 단일 유리 기판에 통합함으로써 메인 무선 회로의 RF 성능을 최적화한다.
이 고집적 디바이스는 정밀하게 설계되고 초소형 패키지에 탑재되어 초기 설계를 완벽하게 보장하는 동시에 개발 시간, 부품원가(BOM), 보드 공간을 절약해준다.
ST 독점 기술 기반의 칩 스케일 IC로 초소형 초저전력 IoT 디바이스의 초기 RF 통합 간소화 실현.(사진=ST마이크로일렉트로닉스)
이 제품은 안테나 보호 기능을 통합해 MCU와 RF 연결을 대폭 간소화한다. 최적의 성능을 보장할 뿐만 아니라 여러 개별 부품 결합이 필요하지 않기 때문에 통합 매칭 및 필터링 기능으로 신뢰성을 높이고 전체 비용을 절감한다. IoT, 스마트 계량기, 원격 모니터링 애플리케이션 개발도 간소화하는 셈이다.
총 7종의 버전으로 제공되기 때문에 설계자는 고대역(826MHz~958MHz) 또는 저대역(413MHz~479MHz), 고출력(16dBm/20dBm) 또는 저출력(10dBm) 무선 동작을 비롯해 4레이어 또는 2레이어 PCB 설계에 따라 최적화할 수 있다. 비전도성 유리 기판은 온도 변화에 따른 드리프트를 최소화하면서 우수한 성능을 보장하며, 칩 스케일 패키지는 초소형으로 제공되며, 리플로우 후 그 크기는 1.47mm x 1.87mm, 높이는 630µm에 불과하다.
ST의 STM32WL33 무선 MCU의 장거리 서브 GHz 무선 기능은 현지 규정이 허용할 경우 최대 20dBm의 출력 파워로 동작이 가능하다. 비 면허 대역에서는 413MHz~479MHz 또는 826MHz~958MHz에서 동작할 수 있다.
이 무선 MCU는 Arm® Cortex®-M0+ 코어와 선별된 주변장치를 칩에 통합하고 있으며, 스마트 시티, 스마트 농업, 스마트 산업 분야의 원격 모니터링 장비 설계를 간소화한다. 해당 애플리케이션으로는 스마트 계량기, 안전 시스템, 자산 추적기, 근접 감지 등이 있다. STM32WL33 MCU에 최적화되고 사전 인증을 획득한 레퍼런스 디자인(STDES-WL3xxxx)도 이용할 수 있다.
MLPF-WL-0xD3 안테나 매칭 디바이스는 5범프 CSPG 칩스케일 패키지로 생산에 돌입했으며, 가격은 1천개 구매 시 15센트부터 시작한다.",안전자산
지디넷코리아,"ST, STM32WL33 장거리 무선 MCU 지원하는 통합 매칭 필터 출시",네이버뉴스,https://n.news.naver.com/mnews/article/092/0002377068?sid=105,,지디넷코리아,"ST, STM32WL33 장거리 무선 MCU 지원 통합 매칭 필터 출시","글로벌 반도체 기업 ST마이크로일렉트로닉스(이하 ST)는 STM32WL33 무선 마이크로컨트롤러(MCU)를 지원하는 안테나 매칭 컴패니언 칩 세트를 출시했다고 5일 밝혔다.
이 세트는 새로운 MLPF-WL-01D3/02D3/04D3 IC는 ST의 독보적인 IPD(Integrated Passive Device) 기술을 활용하며, 임피던스 매칭과 고조파 필터링을 단일 유리 기판에 통합함으로써 메인 무선 회로의 RF 성능을 최적화한다.
이 고집적 디바이스는 정밀하게 설계되고 초소형 패키지에 탑재되어 초기 설계를 완벽하게 보장하는 동시에 개발 시간, 부품원가(BOM), 보드 공간을 절약해준다.
ST 독점 기술 기반의 칩 스케일 IC로 초소형 초저전력 IoT 디바이스의 초기 RF 통합 간소화 실현.(사진=ST마이크로일렉트로닉스)
이 제품은 안테나 보호 기능을 통합해 MCU와 RF 연결을 대폭 간소화한다. 최적의 성능을 보장할 뿐만 아니라 여러 개별 부품 결합이 필요하지 않기 때문에 통합 매칭 및 필터링 기능으로 신뢰성을 높이고 전체 비용을 절감한다. IoT, 스마트 계량기, 원격 모니터링 애플리케이션 개발도 간소화하는 셈이다.
총 7종의 버전으로 제공되기 때문에 설계자는 고대역(826MHz~958MHz) 또는 저대역(413MHz~479MHz), 고출력(16dBm/20dBm) 또는 저출력(10dBm) 무선 동작을 비롯해 4레이어 또는 2레이어 PCB 설계에 따라 최적화할 수 있다. 비전도성 유리 기판은 온도 변화에 따른 드리프트를 최소화하면서 우수한 성능을 보장하며, 칩 스케일 패키지는 초소형으로 제공되며, 리플로우 후 그 크기는 1.47mm x 1.87mm, 높이는 630µm에 불과하다.
ST의 STM32WL33 무선 MCU의 장거리 서브 GHz 무선 기능은 현지 규정이 허용할 경우 최대 20dBm의 출력 파워로 동작이 가능하다. 비 면허 대역에서는 413MHz~479MHz 또는 826MHz~958MHz에서 동작할 수 있다.
이 무선 MCU는 Arm® Cortex®-M0+ 코어와 선별된 주변장치를 칩에 통합하고 있으며, 스마트 시티, 스마트 농업, 스마트 산업 분야의 원격 모니터링 장비 설계를 간소화한다. 해당 애플리케이션으로는 스마트 계량기, 안전 시스템, 자산 추적기, 근접 감지 등이 있다. STM32WL33 MCU에 최적화되고 사전 인증을 획득한 레퍼런스 디자인(STDES-WL3xxxx)도 이용할 수 있다.
MLPF-WL-0xD3 안테나 매칭 디바이스는 5범프 CSPG 칩스케일 패키지로 생산에 돌입했으며, 가격은 1천개 구매 시 15센트부터 시작한다.",안전자산
아시아경제,"[뉴욕증시]고용 쇼크·서비스업 경기 둔화…다우, 5거래일 만에 하락",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005603183?sid=101,,아시아경제,"[뉴욕증시]고용 쇼크·서비스업 경기 둔화…다우, 5거래일 만에 하락","보합권서 혼조세 마감…S&P·나스닥 ↑
ADP 5월 민간고용 3.7만건 ↑…2년만 최저
트럼프 ""파월, 당장 금리 내려라""
5월 서비스업 PMI 49.9…약 1년 만에 위축
연내 2회 이상 금리인하 전망에 국채 금리 급락
미국 뉴욕 증시의 3대 지수가 4일(현지시간) 보합권에서 혼조세로 마감했다. 지난달 민간 고용 증가세가 급격히 둔화하고 서비스업 경기도 약 1년 만에 위축 국면에 진입하면서, 다우존스30산업평균지수(다우지수)는 5거래일 만에 하락세로 전환했다. 관세 정책 불확실성이 미 경제에 부담을 주고 있다는 우려가 지속되고 있다. 미 연방준비제도(Fed)가 경기 침체를 막기 위해 올해 2회 이상 금리를 인하할 것이란 전망에 국채 금리는 급락세다.
로이터연합뉴스
이날 뉴욕 주식시장에서 블루칩 중심의 다우지수는 전 거래일보다 91.9포인트(0.22%) 하락한 4만2427.74에 장을 마감했다. 대형주 중심의 S&P500지수는 0.44포인트(0.01%) 오른 5970.81, 기술주 중심의 나스닥지수는 61.53포인트(0.32%) 상승한 1만9460.49에 거래를 마쳤다.
지난달 미국의 민간 고용 증가폭은 2년 만에 최저 수준을 기록했다. 이날 민간 노동시장 조사업체 ADP가 발표한 미 고용보고서에 따르면 5월 민간 부문 신규 일자리 고용은 3만7000건 증가했다. 이는 지난 2023년 5월 이후 2년 만에 가장 적은 수준이다. 시장 예상치인 11만1000건을 크게 밑도는 동시에, 민간 신규 고용이 6만건 늘어난 4월과 비교해도 증가폭이 크게 감소했다.
도널드 트럼프 미 대통령은 ADP 민간 고용 지표가 나오자마자 제롬 파월 Fed 의장에게 금리 인하를 재차 촉구했다. 그는 자신이 만든 사회관계망서비스(SNS) 트루스소셜에 ""ADP 수치가 나왔다""며 ""너무 늦는(Too Late) 파월은 지금 당장 금리를 낮춰야만 한다""고 말했다. 이어 ""그는 정말 믿을 수 없을 정도""라며 ""유럽은 9번이나 내렸다""고 덧붙였다.
민간 고용 '쇼크' 이후 오는 6일 미 노동부가 공개할 5월 고용 보고서에 대한 경계감 또한 커지고 있다. 전문가들은 지난달 비농업 신규 고용이 12만5000건 증가해 4월(17만7000건) 수치를 다소 밑돌 것으로 보고 있다. 노동 수요는 여전히 양호한 상태를 이어가겠으나 둔화됐을 전망이다. 노동부의 비농업 고용 지표는 민간과 공공 부문 전체 취업자 수를 포함한 지표로, 민간 부문만 포함하는 ADP 보고서와 비교해 보다 전반적인 노동 시장 상황을 보여준다. 실업률은 4.2%로 전월과 같은 수준을 유지했을 것으로 예상된다.
호라이즌 인베스트먼트의 마이크 딕슨 리서치·퀀트 전략 수석은 ""ADP 보고서는 과거에 꽤 변동성이 컸던 만큼 노동시장과 관련해 금요일 (미 노동부 보고서) 상황을 좀 더 지켜봐야 한다""며 ""상황은 우려하는 것보다 나을 가능성이 높다""고 전망했다. 다만 다음 달 증시 상승 촉매제 여부와 관련해 ""우리는 약간의 소강 상태에 접어들고 있다""고 덧붙였다.
여기에 미국의 서비스업 경기도 약 1년 만에 위축 국면에 진입했다. 이날 미 공급관리협회(ISM)가 발표한 5월 서비스업 구매관리자지수(PMI)는 49.9로 전월(51.6)보다 1.7포인트 하락했다. 이 수치가 기준선인 50을 넘으면 경기 확장, 50 미만이면 경기 위축 국면이다. 미국의 서비스업 PMI가 50 밑으로 내려간 건 약 1년 만이다.
일각에서는 최근 무역 정책 불확실성과 관련해 시장의 '내성'이 생겼다는 분석이 제기된다. 트럼프 대통령이 관세 정책을 번복하면서 백악관이 관세 위협을 협상 카드로 활용하고 있다는 견해다. 투자자들은 이번 주 예정된 트럼프 대통령과 시진핑 중국 국가주석과의 통화를 대기하며 교착 상태인 미·중 무역 협상에 진전이 있을지 주목하고 있다.
LPL 파이낸셜의 제프 로치 수석 이코노미스트는 ""무역 불확실성이 헬스케어, 기술, 건설 등 일부 부문을 짓누르고 있지만 모든 것이 어둡거나 암울한 건 아니다""라며 ""소매업체와 금융 서비스 기업은 관세 변동성에도 불구하고 성장 가능성이 있다는 신호를 보냈다""고 분석했다. 그러면서 ""부문별 전망이 크게 엇갈리는 만큼 투자자들의 현명한 자산 배분이 필요하다""고 조언했다.
미 경기 둔화 우려로 금리 인하에 대한 기대감이 높아지고, 안전자산 선호 현상이 확산되면서 미 국채 금리는 급락세다. 글로벌 채권 금리 벤치마크인 10년 만기 미 국채 금리는 전일 보다 11bp(1bp=0.01%포인트) 하락한 4.35%, 통화정책에 민감한 2년 만기 미 국채 금리는 전일 대비 9bp 내린 3.86%를 기록 중이다.
종목별로는 달러 트리가 8.37% 급락했다. 관세 비용 처리로 2분기 이익이 전년 동기 대비 최대 50%나 줄어들 수 있다고 밝히며 매도세가 짙어졌다. 엔비디아는 0.5% 올랐고, 마이크로소프트(MS)는 0.19% 상승했다. 테슬라는 3.55% 약세를 나타냈다.",안전자산
아시아경제,"뉴욕증시, 경제지표 부진 등 영향 보합권 호조세⋯테슬라 3%대 하락-메타...",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005603183?sid=101,,아시아경제,"[뉴욕증시]고용 쇼크·서비스업 경기 둔화…다우, 5거래일 만에 하락","보합권서 혼조세 마감…S&P·나스닥 ↑
ADP 5월 민간고용 3.7만건 ↑…2년만 최저
트럼프 ""파월, 당장 금리 내려라""
5월 서비스업 PMI 49.9…약 1년 만에 위축
연내 2회 이상 금리인하 전망에 국채 금리 급락
미국 뉴욕 증시의 3대 지수가 4일(현지시간) 보합권에서 혼조세로 마감했다. 지난달 민간 고용 증가세가 급격히 둔화하고 서비스업 경기도 약 1년 만에 위축 국면에 진입하면서, 다우존스30산업평균지수(다우지수)는 5거래일 만에 하락세로 전환했다. 관세 정책 불확실성이 미 경제에 부담을 주고 있다는 우려가 지속되고 있다. 미 연방준비제도(Fed)가 경기 침체를 막기 위해 올해 2회 이상 금리를 인하할 것이란 전망에 국채 금리는 급락세다.
로이터연합뉴스
이날 뉴욕 주식시장에서 블루칩 중심의 다우지수는 전 거래일보다 91.9포인트(0.22%) 하락한 4만2427.74에 장을 마감했다. 대형주 중심의 S&P500지수는 0.44포인트(0.01%) 오른 5970.81, 기술주 중심의 나스닥지수는 61.53포인트(0.32%) 상승한 1만9460.49에 거래를 마쳤다.
지난달 미국의 민간 고용 증가폭은 2년 만에 최저 수준을 기록했다. 이날 민간 노동시장 조사업체 ADP가 발표한 미 고용보고서에 따르면 5월 민간 부문 신규 일자리 고용은 3만7000건 증가했다. 이는 지난 2023년 5월 이후 2년 만에 가장 적은 수준이다. 시장 예상치인 11만1000건을 크게 밑도는 동시에, 민간 신규 고용이 6만건 늘어난 4월과 비교해도 증가폭이 크게 감소했다.
도널드 트럼프 미 대통령은 ADP 민간 고용 지표가 나오자마자 제롬 파월 Fed 의장에게 금리 인하를 재차 촉구했다. 그는 자신이 만든 사회관계망서비스(SNS) 트루스소셜에 ""ADP 수치가 나왔다""며 ""너무 늦는(Too Late) 파월은 지금 당장 금리를 낮춰야만 한다""고 말했다. 이어 ""그는 정말 믿을 수 없을 정도""라며 ""유럽은 9번이나 내렸다""고 덧붙였다.
민간 고용 '쇼크' 이후 오는 6일 미 노동부가 공개할 5월 고용 보고서에 대한 경계감 또한 커지고 있다. 전문가들은 지난달 비농업 신규 고용이 12만5000건 증가해 4월(17만7000건) 수치를 다소 밑돌 것으로 보고 있다. 노동 수요는 여전히 양호한 상태를 이어가겠으나 둔화됐을 전망이다. 노동부의 비농업 고용 지표는 민간과 공공 부문 전체 취업자 수를 포함한 지표로, 민간 부문만 포함하는 ADP 보고서와 비교해 보다 전반적인 노동 시장 상황을 보여준다. 실업률은 4.2%로 전월과 같은 수준을 유지했을 것으로 예상된다.
호라이즌 인베스트먼트의 마이크 딕슨 리서치·퀀트 전략 수석은 ""ADP 보고서는 과거에 꽤 변동성이 컸던 만큼 노동시장과 관련해 금요일 (미 노동부 보고서) 상황을 좀 더 지켜봐야 한다""며 ""상황은 우려하는 것보다 나을 가능성이 높다""고 전망했다. 다만 다음 달 증시 상승 촉매제 여부와 관련해 ""우리는 약간의 소강 상태에 접어들고 있다""고 덧붙였다.
여기에 미국의 서비스업 경기도 약 1년 만에 위축 국면에 진입했다. 이날 미 공급관리협회(ISM)가 발표한 5월 서비스업 구매관리자지수(PMI)는 49.9로 전월(51.6)보다 1.7포인트 하락했다. 이 수치가 기준선인 50을 넘으면 경기 확장, 50 미만이면 경기 위축 국면이다. 미국의 서비스업 PMI가 50 밑으로 내려간 건 약 1년 만이다.
일각에서는 최근 무역 정책 불확실성과 관련해 시장의 '내성'이 생겼다는 분석이 제기된다. 트럼프 대통령이 관세 정책을 번복하면서 백악관이 관세 위협을 협상 카드로 활용하고 있다는 견해다. 투자자들은 이번 주 예정된 트럼프 대통령과 시진핑 중국 국가주석과의 통화를 대기하며 교착 상태인 미·중 무역 협상에 진전이 있을지 주목하고 있다.
LPL 파이낸셜의 제프 로치 수석 이코노미스트는 ""무역 불확실성이 헬스케어, 기술, 건설 등 일부 부문을 짓누르고 있지만 모든 것이 어둡거나 암울한 건 아니다""라며 ""소매업체와 금융 서비스 기업은 관세 변동성에도 불구하고 성장 가능성이 있다는 신호를 보냈다""고 분석했다. 그러면서 ""부문별 전망이 크게 엇갈리는 만큼 투자자들의 현명한 자산 배분이 필요하다""고 조언했다.
미 경기 둔화 우려로 금리 인하에 대한 기대감이 높아지고, 안전자산 선호 현상이 확산되면서 미 국채 금리는 급락세다. 글로벌 채권 금리 벤치마크인 10년 만기 미 국채 금리는 전일 보다 11bp(1bp=0.01%포인트) 하락한 4.35%, 통화정책에 민감한 2년 만기 미 국채 금리는 전일 대비 9bp 내린 3.86%를 기록 중이다.
종목별로는 달러 트리가 8.37% 급락했다. 관세 비용 처리로 2분기 이익이 전년 동기 대비 최대 50%나 줄어들 수 있다고 밝히며 매도세가 짙어졌다. 엔비디아는 0.5% 올랐고, 마이크로소프트(MS)는 0.19% 상승했다. 테슬라는 3.55% 약세를 나타냈다.",안전자산
이코노뉴스,"뉴욕증시, 장 초반 강보합…5월 민간고용 쇼크에 상승폭 제한",,,,,,,안전자산
