press,title,naver_news_text,naver_news_url,body
뉴스1,"""업토버가 실종됐다""…얼어붙은 가상자산시장, 연말 '산타랠리' 올까",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008572678?sid=101,
한국경제,'안전자산킹' 美 국채의 귀환 가능성,네이버뉴스,https://n.news.naver.com/mnews/article/015/0005204738?sid=101,
매일경제,"[100세시대 생애설계]자산포트폴리오 다양화, 금(金)의 진짜 가치!",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005581748?sid=101,
토큰포스트,"비트코인 ETF로 8억 달러 유입…금 ETF선 41억 달러 이탈,안전자산판도...",,,
치과신문,"2025년 10월, 반감기 사이클과 비트코인자산배분의 전환점",,,
서울신문,“지금 ‘이것’ 모르면 바보”…금 대신 뜨더니 ‘수익률 1위’ 이유 ...,네이버뉴스,https://n.news.naver.com/mnews/article/081/0003586757?sid=101,
서울신문,"""금 대신 사둘걸"" 후회…최고점 찍더니 수익률 '대박'",네이버뉴스,https://n.news.naver.com/mnews/article/081/0003586757?sid=101,
한국경제,“지금 안사면 1년 뒤 후회할 것”…‘이것’ 뭐길래?,네이버뉴스,https://n.news.naver.com/mnews/article/015/0005204888?sid=101,
한국경제,"""금값 계속 오르길래 풀매수했는데 야단났다""…신기루 '눈물'",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005204338?sid=103,
한국경제,"""금값 오르길래 풀매수했는데…"" 신기루, 금값 급락에 '눈물'",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005204338?sid=103,
파이낸셜뉴스,하나운용 '1Q 미국S&P500미국채혼합50액티브' 순자산1000억 돌파,네이버뉴스,https://n.news.naver.com/mnews/article/014/0005426775?sid=101,
파이낸셜뉴스,"하나운용, '1Q 미국S&P500미국채혼합50액티브' 순자산1000억 돌파",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005426775?sid=101,
서울경제,"1Q 미국S&P500미국채혼합50액티브, 순자산1천억 돌파",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004549597?sid=101,
아시아경제,하나운용 1Q 미국S&P500미국채혼합50액티브 순자산1000억 돌파,네이버뉴스,https://n.news.naver.com/mnews/article/277/0005671727?sid=101,
이투데이,"하나운용, '1Q 미국S&P500미국채혼합50액티브' 순자산1000억 돌파…상장...",,,
KBS,"강원도민, 올해 서울 집 1,000채 매입…43% 급증",네이버뉴스,https://n.news.naver.com/mnews/article/056/0012057143?sid=101,
KBS,"강원도민, 올해 서울 집 1,000채 매입…43% 급증",네이버뉴스,https://n.news.naver.com/mnews/article/056/0012057143?sid=101,
SBS,"""외환보유액 투자 수익으로 대미 투자""…환율 상승 우려",네이버뉴스,https://n.news.naver.com/mnews/article/055/0001304203?sid=101,
