press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
국민일보,"李 공약 통신비세액공제, 유사 법안 보니 “효과 떨어져” 지적",네이버뉴스,https://n.news.naver.com/mnews/article/005/0001785452?sid=102,,국민일보,"李 공약 통신비 세액공제, 유사 법안 보니 “효과 떨어져” 지적","“조세 지원보다 재정 지원이 효과적일 수 있어”
비슷한 법안으로 연 평균 세수감 4223억원 추계
이재명정부가 통신비 세액공제 신설을 공약한 가운데 최근 과학기술정보통신부가 국정기획위원회에서 통신비를 세액 공제 대상에 추가하는 내용을 보고했다. 하지만 지난해 비슷한 내용으로 발의된 법안을 분석한 보고서에서 해당 법안이 시행될 경우 효과가 크지 않고 세수만 감소할 수 있다는 지적이 나왔다. 조세 지원보다는 차라리 재정 지원이 효과가 크다는 분석도 나왔다.
24일 국회 의안정보시스템에 따르면 이원택 더불어민주당 의원은 지난해 11월 소득신고자에 대해 이동통신요금 지출금액의 6%에 해당하는 금액을 세액공제해 주고, 20세 이하 자녀가 있는 경우 세액공제율을 10%로 올리는 특례를 적용하는 내용의 소득세법 일부개정법률안을 발의했다. 정부는 전기통신사업법상 장애인·기초생활수급자 등 취약계층을 대상으로 통신서비스 요금을 감면해 주고 있지만, 취약계층이 아닌 국민에게 통신비 요금을 세액공제해 준 적은 없다.
이 대통령도 공약집에 근로자 본인과 자녀, 65세 이상 노부모를 대상으로 통신비 세액공제를 신설한다는 내용을 담았다. 65세 이상 노부모 등 이 의원 법안보다 대상이 확대됐다.
대부분 국민이 휴대전화를 사용하는 만큼 이 같은 법이 통과될 경우 세 부담은 완화되는 것으로 분석됐다. 정지은 기획재정위원회 전문위원은 해당 법안에 대한 검토보고서에서 “이동통신서비스 요금 지출에 따른 가계부담을 완화하고 근로자의 가처분소득을 증가시킬 수 있을 것으로 보인다”고 밝혔다.
하지만 우려도 같이 제기했다. 정 위원은 “과기정통부에서 취약계층에 대한 통신요금 감면제도를 운영하고 있다”고 짚었다. 관련 조세 체계가 복잡해질 수 있고, 한정된 재정 상황에서 경제적 효율성이 떨어질 수 있다는 것이다. 추가 세액공제 요구가 생길 수 있다고도 지적했다. 정 위원은 “이동통신서비스 요금에 대해서만 별도 세액공제를 해줄 경우 인터넷 이용료, 전기요금 등 성격이 비슷한 일상 경비에 대한 공제 요구를 유발할 우려가 있다”고 밝혔다.
이 같은 내용의 통신비 세액공제가 시행될 경우 재정수입도 연평균 4223억원 감소할 것으로 추계됐다. 이 대통령 공약은 대상이 더 넓다는 점을 감안하면 실제 세수 감소분은 더 클 것으로 보인다. 정 위원은 “한정된 재정 여건을 고려하면 개정안에서 정한 조세 지원보다는 재정 지원이 효과적일 수 있다”고 언급하기도 했다.
세법을 담당하는 기획재정부는 더 검토가 필요하다는 입장이다. 기재부 관계자는 “공약에 포함된 사항이니 다양한 방안을 검토하는 중”이라며 “아직 정해진 바는 없다”고 말했다.",세액공제
국민일보,"""통신비도 생계비""…이해민 의원,세액공제법 발의",네이버뉴스,https://n.news.naver.com/mnews/article/005/0001785452?sid=102,,국민일보,"李 공약 통신비 세액공제, 유사 법안 보니 “효과 떨어져” 지적","“조세 지원보다 재정 지원이 효과적일 수 있어”
비슷한 법안으로 연 평균 세수감 4223억원 추계
이재명정부가 통신비 세액공제 신설을 공약한 가운데 최근 과학기술정보통신부가 국정기획위원회에서 통신비를 세액 공제 대상에 추가하는 내용을 보고했다. 하지만 지난해 비슷한 내용으로 발의된 법안을 분석한 보고서에서 해당 법안이 시행될 경우 효과가 크지 않고 세수만 감소할 수 있다는 지적이 나왔다. 조세 지원보다는 차라리 재정 지원이 효과가 크다는 분석도 나왔다.
24일 국회 의안정보시스템에 따르면 이원택 더불어민주당 의원은 지난해 11월 소득신고자에 대해 이동통신요금 지출금액의 6%에 해당하는 금액을 세액공제해 주고, 20세 이하 자녀가 있는 경우 세액공제율을 10%로 올리는 특례를 적용하는 내용의 소득세법 일부개정법률안을 발의했다. 정부는 전기통신사업법상 장애인·기초생활수급자 등 취약계층을 대상으로 통신서비스 요금을 감면해 주고 있지만, 취약계층이 아닌 국민에게 통신비 요금을 세액공제해 준 적은 없다.
이 대통령도 공약집에 근로자 본인과 자녀, 65세 이상 노부모를 대상으로 통신비 세액공제를 신설한다는 내용을 담았다. 65세 이상 노부모 등 이 의원 법안보다 대상이 확대됐다.
대부분 국민이 휴대전화를 사용하는 만큼 이 같은 법이 통과될 경우 세 부담은 완화되는 것으로 분석됐다. 정지은 기획재정위원회 전문위원은 해당 법안에 대한 검토보고서에서 “이동통신서비스 요금 지출에 따른 가계부담을 완화하고 근로자의 가처분소득을 증가시킬 수 있을 것으로 보인다”고 밝혔다.
하지만 우려도 같이 제기했다. 정 위원은 “과기정통부에서 취약계층에 대한 통신요금 감면제도를 운영하고 있다”고 짚었다. 관련 조세 체계가 복잡해질 수 있고, 한정된 재정 상황에서 경제적 효율성이 떨어질 수 있다는 것이다. 추가 세액공제 요구가 생길 수 있다고도 지적했다. 정 위원은 “이동통신서비스 요금에 대해서만 별도 세액공제를 해줄 경우 인터넷 이용료, 전기요금 등 성격이 비슷한 일상 경비에 대한 공제 요구를 유발할 우려가 있다”고 밝혔다.
이 같은 내용의 통신비 세액공제가 시행될 경우 재정수입도 연평균 4223억원 감소할 것으로 추계됐다. 이 대통령 공약은 대상이 더 넓다는 점을 감안하면 실제 세수 감소분은 더 클 것으로 보인다. 정 위원은 “한정된 재정 여건을 고려하면 개정안에서 정한 조세 지원보다는 재정 지원이 효과적일 수 있다”고 언급하기도 했다.
세법을 담당하는 기획재정부는 더 검토가 필요하다는 입장이다. 기재부 관계자는 “공약에 포함된 사항이니 다양한 방안을 검토하는 중”이라며 “아직 정해진 바는 없다”고 말했다.",세액공제
아시아경제,"국민 가계통신비 낮춘다⋯이해민 의원, '통신비세액공제법' 발의",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005613239?sid=105,,아시아경제,"""통신비도 생계비""…이해민 의원, 세액공제법 발의","'디지털 생계비'에 제도적 지원…최대 20만원 공제
저소득·장애인 가구는 공제율 25%까지
이해민 조국혁신당 의원. 김현민 기자
이해민 조국혁신당 의원이 전 국민 통신비 부담을 덜기 위한 '통신비 세액공제법'(소득세법 일부개정법률안)을 25일 대표 발의했다. 인터넷과 모바일이 일상생활의 필수 인프라로 자리잡은 만큼, 통신비 역시 의료비·교육비처럼 공제 대상에 포함해야 한다는 취지다.
이번 법안은 근로·사업·연금소득 등 종합소득이 있는 국민이 본인과 부양가족을 위해 지출한 연간 통신비의 일부를 소득세에서 공제받을 수 있도록 했다. 구체적으로는 일반 가구의 경우 연간 지출 통신비의 15%, 장애인 등 디지털 취약계층은 25%를 세액공제 받을 수 있도록 규정했다. 연간 공제 최대한도는 20만원이다.
이 의원은 ""전 국민의 99.7%가 인터넷을 이용하고 있고, 모바일만 봐도 93.8%가 사용 중""이라며 ""그럼에도 현행 세법은 통신서비스를 '선택적 소비'로 보고 있어 시대 변화에 맞지 않는다""고 지적했다. 이어 ""지금은 인터넷 등 통신 수단 없이 일상을 영위할 수 없는 시대""라고 강조했다.
법안이 통과될 경우, 디지털 복지 실현을 위한 제도적 기반이 될 수 있다. 특히 디지털 교육, 문화·여가활동 등 모든 분야가 플랫폼 중심으로 재편되는 상황에서, 정보 접근 비용을 개인에게만 부담시키는 구조를 개선하는 계기가 될 것으로 기대된다.
이 의원은 ""세금은 국민 삶을 돕기 위한 도구여야 한다""며 ""이번 개정안이 조세정의 회복과 디지털 전환기 소외 방지라는 두 목표를 함께 달성하길 바란다""고 밝혔다.",세액공제
아이뉴스24,이해민 의원 '통신비세액공제법' 발의…공제율 최대 25%,네이버뉴스,https://n.news.naver.com/mnews/article/031/0000943326?sid=105,,아이뉴스24,"국민 가계통신비 낮춘다⋯이해민 의원, '통신비 세액공제법' 발의","개정안, 본인·부양가족 위해 지출한 통신비→일정 비율 소득세 공제 규정
국회 과학기술정보방송통신위원회(과방위) 소속 이해민 조국혁신당 의원은 전 국민 통신비 부담 완화를 위한 '소득세법 일부개정법률안'(이하 통신비세액공제법)을 대표발의했다고 25일 밝혔다.
이해민 조국혁신당 의원이 오전 국회에서 열린 과학기술정보방송통신위원회의 국정감사에서 질의를 하고 있다. [사진=곽영래 기자]
의료비, 교육비 등 필수생활비 항목에 대해선 세액공제가 적용되고 있다. 하지만 통신비는 공제 대상에 포함되지 않아  디지털 생계비에 대한 제도적 지원이 미비하다는 지적이 이어져 왔다.
이해민 의원은 ""전 국민 99.7%가 인터넷을 이용하고 있고, 모바일 인터넷만 보아도 93.8%가 이용하고 있다""며 ""현행 세법은 통신서비스를 선택적 소비 항목으로 보고 있지만, 지금은 인터넷 등 통신 수단 없이 일상을 영위할 수 없는 시대""라고 발의 배경을 밝혔다.
개정안은 근로, 이자, 배당, 사업, 근로, 연금 등 종합소득이 있는 국민이 본인과 부양가족을 위해 지출한 통신비 중 일정 비율을 소득세에서 공제받을 수 있도록 규정했다. 일반 가구는 연간 지출 통신비의 15%를 받을 수 있다. 장애인 등 디지털 취약계층은 25% 우대 공제율을 적용받는다. 연간 최대한도는 20만 원으로 설정했다.
이 의원은 ""세금은 국민 삶을 돕기 위한 도구여야 한다. 이 개정안이 현실에 맞는 조세 정의를 회복하고, 디지털 전환 흐름 속에서 국민 단 한 명도 소외되지 않도록 하는 제도적 장치가 되길 바란다""고 말했다.",세액공제
전자신문,"가계통신비 부담 던다…이해민 의원, `통신비세액공제법` 발의",네이버뉴스,https://n.news.naver.com/mnews/article/030/0003325363?sid=105,,전자신문,이해민 의원 '통신비 세액공제법' 발의…공제율 최대 25%,"이해민 조국혁신당 의원
국회 과학기술정보방송통신위원회 소속 이해민 조국혁신당 의원이 통신비 부담 완화를 위한 소득세법 개정안(통신비 세액공제법)을 대표 발의했다.
이 법안은 통신서비스에 대해 실질적 세제 지원을 도입하려는 취지에서 마련됐다. 의료비, 교육비 등 필수생활비 항목에 대해선 세액공제가 적용되지만 통신비는 공제 대상에 포함되지 않아 디지털 생계비에 대한 제도적 지원이 미비하다는 지적을 반영했다.
이해민 의원은 “전국민 99.7%가 인터넷을 이용 중이며 모바일로도 93.8%가 사용하고 있다”며 “현행 세법은 통신서비스를 선택적 소비 항목으로 보고 있지만 지금은 인터넷 등 통신 수단 없이 일상을 영위할 수 없는 시대”라고 밝혔다.
개정안은 근로, 이자, 배당, 사업, 근로, 연금 등 종합소득이 있는 국민이 본인과 부양가족을 위해 지출한 통신비 중 일정 비율을 소득세에서 공제받을 수 있도록 규정했다. 일반가구는 연간 지출 통신비의 15%를 받을 수 있다. 장애인 등 디지털 취약계층은 25% 우대 공제율을 적용받는다. 연간 최대한도는 20만원으로 설정했다.
이 의원은 “이번 개정안이 현실에 맞는 조세 정의를 회복하고 디지털 전환 흐름 속에서 국민 단 한 명도 소외되지 않도록 하는 제도적 장치가 되길 바란다”고 말했다.",세액공제
매일경제,美태양광세액공제폐지 법안 수정되나…관련주 급등,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005514675?sid=101,,매일경제,美태양광 세액공제 폐지 법안 수정되나…관련주 급등,"상원의원 “법안 수정 논의 중” 발언에
선런·솔라엣지·인페이즈에너지 10%대 상승
미국에서 태양광 발전 세액공제의 조기 종료와 관련한 법안 수정 가능성이 제기되면서 태양광 관련 기업들의 주가가 일제히 상승세를 보였다.
24일(현지시간) 뉴욕증시에서 주거용 태양광 시스템을 판매하는 선런은 전 거래일 대비 15.38% 오른 7.20달러에 마감했다. 태양광 인버터 제조업체인 솔라엣지와 인페이즈에너지는 각각 17.87%, 11.05% 급등했다. 미국 1위 태양광 모듈업체 퍼스트솔라는 4.50% 올랐다.
이날 케빈 크레이머 공화당 상원의원이 태양광 세액공제와 관련한 수정 논의를 진행 중이라고 밝히면서 태양광주 주가가 상승한 것으로 풀이된다.
크레이머 의원은 “주택용 태양광에 대한 논의가 진행 중”이라며 “상원안이 하원안보다 더 관대한 방향으로 조정될 수 있다”고 설명했다.
앞서 미국 상원이 공개한 세법 개정안에는 인플레이션감축법(IRA)에 근거한 재생에너지 세액공제를 대폭 축소하는 내용이 담겼다. 특히 주택용 태양광 세제혜택은 법안 발효 후 180일 내 즉시 종료되는 내용이 포함돼 업계의 우려를 샀다.
미 하원은 지난달 자가 설치 태양광 패널에 대해 제공하는 30% 세액공제를 올해 말까지 제공하고 완전히 폐지하는 내용의 세금 개정 법안을 이미 통과시켰다.
이날 하루 동안의 강세에도 미국 태양 기업들의 연초 대비 주가는 전반적으로 부진한 흐름을 보이고 있다.
인페이즈에너지는 올해 들어 44.12% 급락했으며, 선런은 22.16% 하락했다. 퍼스트솔라는 같은 기간 14.22% 내렸다. 도널드 트럼프 미 행정부 출범 이후 재생에너지 정책에 대한 불확실성이 지속되고 있기 때문으로 해석된다.",세액공제
매일경제,"미 상원, 주택용 태양광세액공제복원 추진",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005514675?sid=101,,매일경제,美태양광 세액공제 폐지 법안 수정되나…관련주 급등,"상원의원 “법안 수정 논의 중” 발언에
선런·솔라엣지·인페이즈에너지 10%대 상승
미국에서 태양광 발전 세액공제의 조기 종료와 관련한 법안 수정 가능성이 제기되면서 태양광 관련 기업들의 주가가 일제히 상승세를 보였다.
24일(현지시간) 뉴욕증시에서 주거용 태양광 시스템을 판매하는 선런은 전 거래일 대비 15.38% 오른 7.20달러에 마감했다. 태양광 인버터 제조업체인 솔라엣지와 인페이즈에너지는 각각 17.87%, 11.05% 급등했다. 미국 1위 태양광 모듈업체 퍼스트솔라는 4.50% 올랐다.
이날 케빈 크레이머 공화당 상원의원이 태양광 세액공제와 관련한 수정 논의를 진행 중이라고 밝히면서 태양광주 주가가 상승한 것으로 풀이된다.
크레이머 의원은 “주택용 태양광에 대한 논의가 진행 중”이라며 “상원안이 하원안보다 더 관대한 방향으로 조정될 수 있다”고 설명했다.
앞서 미국 상원이 공개한 세법 개정안에는 인플레이션감축법(IRA)에 근거한 재생에너지 세액공제를 대폭 축소하는 내용이 담겼다. 특히 주택용 태양광 세제혜택은 법안 발효 후 180일 내 즉시 종료되는 내용이 포함돼 업계의 우려를 샀다.
미 하원은 지난달 자가 설치 태양광 패널에 대해 제공하는 30% 세액공제를 올해 말까지 제공하고 완전히 폐지하는 내용의 세금 개정 법안을 이미 통과시켰다.
이날 하루 동안의 강세에도 미국 태양 기업들의 연초 대비 주가는 전반적으로 부진한 흐름을 보이고 있다.
인페이즈에너지는 올해 들어 44.12% 급락했으며, 선런은 22.16% 하락했다. 퍼스트솔라는 같은 기간 14.22% 내렸다. 도널드 트럼프 미 행정부 출범 이후 재생에너지 정책에 대한 불확실성이 지속되고 있기 때문으로 해석된다.",세액공제
임팩트온,미국 태양광 시장…“기회 여전히 열려있다”,,,,,,,세액공제
미디어펜,美법안 수정 가능성에 태양광주 반등,,,,,,,세액공제
퍼블릭뉴스통신(public news-network for TTL),"경실련 ""부동산, '자산 증식 구조' 해체해야…보유세 강화·세액공제재...",,,,,,,세액공제
