press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
서울경제,미국 CEO 10명중 8명 “1년 뒤경기 침체온다”,네이버뉴스,https://n.news.naver.com/mnews/article/011/0004491526?sid=104,,서울경제,미국 CEO 10명중 8명 “1년 뒤 경기 침체 온다”,"컨퍼런스보드 2분기 CEO 신뢰지수 조사
침체 전망 1분기 30%서 83%로 급증
신뢰지수 60→34···49년만에 최대 낙폭
미국 캘리포니아주 산페드로의 로스엔젤레스항에 걸린 성조기 뒤편으로 컨테이너 화물선이 정박해있다.로이터연합뉴스
[서울경제]
미국과 중국의 무역 긴장이 완화됐음에도 불구하고 미국 기업 최고경영자(CEO) 들의 83%는 경기 침체가 올 것으로 전망하는 것으로 나타났다.
민간 비영리 싱크탱크인 컨퍼런스보드가 비즈니스카운슬과 공동조사해 29일(현지 시간) 발표한 2분기 CEO 신뢰지수 조사에서 83%의 CEO는 앞으로 12~16개월 뒤에 경기 침체가 올 것이라고 응답했다. 이는 연방준비제도(Fed·연준)의 급격한 기준 금리 인상으로 침체 우려가 치솟던 2022년 말과 2023년 초의 전망과 비슷한 수준이다.
특히 이번 조사는 5월 5일에서 19일 사이에 이뤄져 12일 미·중 무역합의 이후 기간도 7일 가량 포함됐지만 침체 전망치는 치솟았다. 컨퍼런스보드의 이코노미스트인 스테파니 기샤드는 “무역 합의 이전 응답자와 이후 응답자는 모두 현재 상황에 대해 부정적으로 보고 있었다”며 “미래 전망에 대해서는 미중 무역 합의 이후 응답자들이 깊은 침체에 대해서는 다소 덜 부정적인 경향을 보였다”고 말했다.
전체 CEO 신뢰지수는 지난 1분기 60에서 2분기 34로 26포인트 급감했다. 50 이하는 부정적인 응답이 긍정 응답보다 많았다는 의미다. 2분기 지수는 2022년 4분기 이후 가장 낮은 수치이며 이번 하락폭은 1976년 조사가 시작된 이후 가장 큰 폭이다.
82%의 CEO가 현재 경제 상황이 6개월 전보다 악화됐다고 답했다. 이는 1분기의 11%에서 크게 증가한 수치다. 경제 여건이 더 나아졌다는 응답은 같은 기간 44%에서 2%로 급감했다. 자신이 종사하고 있는 산업군에 대한 평가도 69%의 CEO가 6개월 전보다 상황이 나빠졌다고 답했으며 이는 1분기의 22%에서 급증한 결과다.
향후 전망과 관련 64%의 CEO는 앞으로 6개월 동안 경제 상황이 더욱 악화될 것이라고 답했다. 1분기 15%에서 크게 늘었다. 개선될 것이란 응답은 1분기 56%에서 2분기 18%로 급감했다.
CEO들이 꼽은 경제의 최대 리스크는 지정학적 불안정(59%)으로 지난 분기(55%)보다 늘었다. 미중 무역 갈등의 여파로 풀이된다. 이어 무역과 관세를 리스크로 꼽은 응답도 58%에 이르렀다. 특히 1분기만 해도 관세를 리스크로 꼽은 응답은 ‘제로’였지만 4월 2일 상호관세 발표 이후 우려가 급등했다.",경기침체
서울경제,"미국 CEO 83% ""12∼18개월 내경기침체예상""",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004491526?sid=104,,서울경제,미국 CEO 10명중 8명 “1년 뒤 경기 침체 온다”,"컨퍼런스보드 2분기 CEO 신뢰지수 조사
침체 전망 1분기 30%서 83%로 급증
신뢰지수 60→34···49년만에 최대 낙폭
미국 캘리포니아주 산페드로의 로스엔젤레스항에 걸린 성조기 뒤편으로 컨테이너 화물선이 정박해있다.로이터연합뉴스
[서울경제]
미국과 중국의 무역 긴장이 완화됐음에도 불구하고 미국 기업 최고경영자(CEO) 들의 83%는 경기 침체가 올 것으로 전망하는 것으로 나타났다.
민간 비영리 싱크탱크인 컨퍼런스보드가 비즈니스카운슬과 공동조사해 29일(현지 시간) 발표한 2분기 CEO 신뢰지수 조사에서 83%의 CEO는 앞으로 12~16개월 뒤에 경기 침체가 올 것이라고 응답했다. 이는 연방준비제도(Fed·연준)의 급격한 기준 금리 인상으로 침체 우려가 치솟던 2022년 말과 2023년 초의 전망과 비슷한 수준이다.
특히 이번 조사는 5월 5일에서 19일 사이에 이뤄져 12일 미·중 무역합의 이후 기간도 7일 가량 포함됐지만 침체 전망치는 치솟았다. 컨퍼런스보드의 이코노미스트인 스테파니 기샤드는 “무역 합의 이전 응답자와 이후 응답자는 모두 현재 상황에 대해 부정적으로 보고 있었다”며 “미래 전망에 대해서는 미중 무역 합의 이후 응답자들이 깊은 침체에 대해서는 다소 덜 부정적인 경향을 보였다”고 말했다.
전체 CEO 신뢰지수는 지난 1분기 60에서 2분기 34로 26포인트 급감했다. 50 이하는 부정적인 응답이 긍정 응답보다 많았다는 의미다. 2분기 지수는 2022년 4분기 이후 가장 낮은 수치이며 이번 하락폭은 1976년 조사가 시작된 이후 가장 큰 폭이다.
82%의 CEO가 현재 경제 상황이 6개월 전보다 악화됐다고 답했다. 이는 1분기의 11%에서 크게 증가한 수치다. 경제 여건이 더 나아졌다는 응답은 같은 기간 44%에서 2%로 급감했다. 자신이 종사하고 있는 산업군에 대한 평가도 69%의 CEO가 6개월 전보다 상황이 나빠졌다고 답했으며 이는 1분기의 22%에서 급증한 결과다.
향후 전망과 관련 64%의 CEO는 앞으로 6개월 동안 경제 상황이 더욱 악화될 것이라고 답했다. 1분기 15%에서 크게 늘었다. 개선될 것이란 응답은 1분기 56%에서 2분기 18%로 급감했다.
CEO들이 꼽은 경제의 최대 리스크는 지정학적 불안정(59%)으로 지난 분기(55%)보다 늘었다. 미중 무역 갈등의 여파로 풀이된다. 이어 무역과 관세를 리스크로 꼽은 응답도 58%에 이르렀다. 특히 1분기만 해도 관세를 리스크로 꼽은 응답은 ‘제로’였지만 4월 2일 상호관세 발표 이후 우려가 급등했다.",경기침체
연합뉴스,"""12∼18개월 내경기침체온다""…우려 '확산'",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015422729?sid=101,,연합뉴스,"미국 CEO 83% ""12∼18개월 내 경기침체 예상""","콘퍼런스보드 CEO 신뢰지수, 1976년 이후 최대 낙폭
미국의 한 무역항
[게티이미지 연합뉴스 자료사진]
(서울=연합뉴스) 차병섭 기자 = 미국의 관세 정책 불확실성과 재정 적자 우려 속에 미국 기업 최고경영자(CEO) 10명 가운데 8명가량은 향후 12∼18개월 사이 경기 침체가 올 것으로 예상한다는 조사 결과가 나왔다.
미국 싱크탱크 콘퍼런스보드는 지난 5∼19일 재계 포럼인 비즈니스카운실과 함께 CEO 133명을 조사한 결과 12∼18개월 안에 '짧고 가벼운 침체'(71%)나 '심각한 침체'(12%)를 예상한 응답 비율이 83%에 달했다고 29일(현지시간) 밝혔다.
이 같은 침체 응답 비율은 지난해 3분기 조사 결과(30%)의 두 배를 넘는다. 고금리가 장기화할 것이라는 우려가 있었던 2023년 3분기 조사 결과(84%)와 비슷한 수준이다.
CEO들에게 현재와 미래 경제 상황에 대한 견해를 묻는 'CEO 신뢰 지수'는 이번 조사에서 34를 기록했다. 2022년 4분기 이후 최저치다. 직전 조사 대비 하락폭은 26포인트로, 조사를 시작한 1976년 이래 최대였다.
6개월 전보다 현재 경제 상황이 나빠졌다는 응답은 1분기 때 11%에 불과했지만, 이번에는 82%로 뛰어올랐다. 반면 경제 상황이 나아졌다는 응답은 1분기 44%에서 2%로 급감했다.
6개월 뒤 경제 상황이 나빠질 것이라는 응답은 1분기 15%에서 64%로 올라왔다.
자신이 속한 특정 업황이 6개월 전보다 나빠졌다는 응답은 1분기 22%에서 69%로 상승했고, 6개월 뒤 나빠질 것이라는 응답은 14%에서 51%로 높아졌다.
조사 기간인 지난 12일 미국과 중국이 서로에게 부과했던 세자릿수 관세를 90일간 대폭 낮추는 '휴전'에 합의했는데, 12일 이후 응답한 CEO들은 향후 전망에서 다소 덜 비관적이었지만 우려가 완전히 사라지지는 않았다고 콘퍼런스보드는 설명했다.
산업에 영향을 미치는 최대 위험 요인으로는 지정학적 불안정(59%)이 지목됐다. 무역 및 관세를 꼽은 응답자는 1분기 0%에서 이번에 58%로 급증했다.
bscha@yna.co.kr",경기침체
한국경제TV,"미국 CEO 83% ""12∼18개월 내경기 침체예상""",네이버뉴스,https://n.news.naver.com/mnews/article/215/0001211118?sid=101,,한국경제TV,"""12∼18개월 내 경기침체 온다""…우려 '확산'","미국 기업 최고경영자(CEO) 10명 가운데 8명은 향후 12∼18개월 사이 경기 침체가 올 것으로 예상한다는 조사 결과가 나왔다.
29일(현지시간) 미국 싱크탱크 콘퍼런스보드가 지난 5∼19일 재계 포럼인 비즈니스카운실과 함께 CEO 133명을 조사해 발표한 결과에 따르면 12∼18개월 안에 '짧고 가벼운 침체'(71%)나 '심각한 침체'(12%)를 예상한 응답 비율이 83%에 달했다.
6개월 전보다 현재 경제 상황이 나빠졌다는 응답은 1분기 때 11%에 불과했지만, 이번에는 82%로 뛰어올랐다.
반면 경제 상황이 나아졌다는 응답은 1분기 44%에서 2%로 급감했다.
6개월 뒤 경제 상황이 나빠질 것이라는 응답은 1분기 15%에서 64%로 올라왔다.
자신이 속한 특정 업황이 6개월 전보다 나빠졌다는 응답은 1분기 22%에서 69%로 상승했고, 6개월 뒤 나빠질 것이라는 응답은 14%에서 51%로 높아졌다.
콘퍼런스보드는 조사 기간인 지난 12일 미국과 중국이 서로에게 부과했던 세자릿수 관세를 90일간 대폭 낮추는 데 합의했는데, 12일 이후 응답한 CEO들은 향후 전망에서 다소 덜 비관적이었지만 우려가 완전히 사라지지는 않았다고  설명했다.
산업에 영향을 미치는 최대 위험 요인으로는 지정학적 불안정(59%)이 지목됐다.
무역 및 관세를 꼽은 응답자는 1분기 0%에서 이번에 58%로 급증했다.
(사진=연합뉴스)",경기침체
SBS,"미국 CEO 83% ""12∼18개월 내경기침체예상""",네이버뉴스,https://n.news.naver.com/mnews/article/055/0001262586?sid=104,,SBS,"미국 CEO 83% ""12∼18개월 내 경기 침체 예상""","미국의 관세 정책 불확실성과 재정 적자 우려 속에 미국 기업 최고경영자 10명 가운데 8명가량은 향후 12개월에서 18개월 사이 경기 침체가 올 것으로 예상한다는 조사 결과가 나왔습니다.
미국 싱크탱크 콘퍼런스보드는 지난 5일에서 19일 사이에 재계 포럼인 비즈니스카운실과 함께 CEO 133명을 조사한 결과, 12개월에서 18개월 안에 '짧고 가벼운 침체'를 예상한 경우가 71%, '심각한 침체' 예상이 12%로 응답자 83%가 경기침체를 전망한 것으로 나타났습니다.
이러한 침체 응답 비율은 지난해 3분기 조사 결과의 두 배를 넘는 것으로, 고금리가 장기화할 것이라는 우려가 있었던 2023년 3분기 조사 결과와 비슷한 수준입니다.
CEO들에게 현재와 미래 경제 상황에 대한 견해를 묻는 'CEO 신뢰 지수'는 이번 조사에서 34를 기록해 2022년 4분기 이후 최저치를 나타냈습니다.
직전 조사 대비 하락폭은 26포인트로, 조사를 시작한 1976년 이래 최대였습니다.
6개월 전보다 현재 경제 상황이 나빠졌다는 응답은 1분기 때 11%에 불과했지만, 이번에는 82%로 뛰어올랐습니다.
반면 경제 상황이 나아졌다는 응답은 1분기 44%에서 2%로 급감했습니다.
6개월 뒤 경제 상황이 나빠질 것이라는 응답은 1분기 15%에서 64%로 급등했습니다.
자신이 속한 특정 업황이 6개월 전보다 나빠졌다는 응답은 1분기 22%에서 69%로 상승했고, 6개월 뒤 나빠질 것이라는 응답은 14%에서 51%로 높아졌습니다.
조사 기간인 지난 12일 미국과 중국이 서로에게 부과했던 세 자릿수 관세를 90일간 대폭 낮추는 '휴전'에 합의했는데, 12일 이후 응답한 CEO들은 향후 전망에서 다소 덜 비관적이었지만 우려가 완전히 사라지지는 않았다고 콘퍼런스보드는 설명했습니다.
산업에 영향을 미치는 최대 위험 요인으로는 지정학적 불안정이 59%로 가장 높게 나타났습니다.
무역 및 관세를 꼽은 응답자는 1분기 0%에서 이번에 58%로 급증했습니다.",경기침체
뉴데일리,생산·소비·투자 '트리플 마이너스' …침체늪 허우적 여전 '먼경기회...,,,,,,,경기침체
뉴데일리,"트럼프 관세 직격탄… 자동차 생산 4.2% ‘뚝’, 반도체도 2.9% 꺾여",,,,,,,경기침체
매일경제,MZ도 시니어도 모두 1등만 찾아 …경기침체가 낳은 극한 쏠림,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005501629?sid=103,,매일경제,MZ도 시니어도 모두 1등만 찾아 … 경기침체가 낳은 극한 쏠림,"올리브영·다이소·쿠팡
K유통 '절대 1강' 체제
'올다쿠' 3개앱 방문자 급증
月4180만명 …'국민앱' 수준
다른 업체들 역성장과 대조
가성비·검증된 후기 강점
배송·멤버십 서비스 압도적
치열한 경쟁서 1등만 생존
1020 젊은층 쏠림 더 심해
◆ K유통 생존경쟁 ◆
서울 중구에서 자영업을 하는 장 모씨(38)는 최근 대형마트 앱을 모두 삭제했다. 쿠팡과 여러 전자상거래(이커머스)를 비교하며 사용하던 장씨는 ""하나만 멤버십에 가입하면 다른 곳은 볼 것도 없이 최저가로 쇼핑이 가능해 더 돈을 들일 필요가 없더라""며 ""설령 다른 곳에서 조금 더 저렴하게 구입할 수 있다고 해도 여러 개 유료 멤버십에 가입할 바에는 소비를 줄이고 하나만 쓰는 게 마음이 편하다""고 말했다.
경기 침체가 길어지면서 유통 업계가 분야별 '절대 1강 체제'로 재편되고 있다. 이른바 '올다쿠(올리브영·다이소·쿠팡)'로 불리는 각 분야 절대강자들의 매장엔 남녀노소 가리지 않고 전 세대의 발길이 끊이지 않는 반면, 나머지 업체들은 혹독한 구조조정에 돌입한 모양새다.
30일 데이터 분석 업체 아이지에이웍스 모바일인덱스에 따르면 올리브영·다이소몰·쿠팡 앱의 월간 활성 이용자 수(MAU)는 올해 4월 4180만명(중복 포함)에 달했다. 이는 2023년 4월 3525만명 대비 2년 만에 18.6% 성장한 수치다.
올다쿠 쏠림 현상은 모든 연령층에서 확인된다. 2023년 4월 대비 올해 4월 기준 쿠팡 이용자는 모든 연령대에서 5만(60대 이상)~56만명(40대) 늘었다. 올리브영과 다이소몰도 60대 이상(1만명)을 비롯한 전 연령층에서 이용자가 증가했다. 다이소몰은 생활용품 수요가 많은 30대(44만명)에서, 올리브영은 기존 주력 구매층인 20대(61만명)에서 가장 크게 늘었다.
트렌드에 민감하면서 소비 여력이 비교적 낮은 10·20대 젊은 층에서 '1등 업체' 편중이 확연했다. 이는 올리브영과 다이소에서 두드러진다. 다이소몰은 10대와 20대 이용자가 2년 새 8배, 3.5배씩 늘었다. 올리브영도 기존 주력 소비층인 2030 외에 10대 이용자가 2배 증가했다.
업계 관계자는 ""경기 침체가 길어지면서 이커머스에 익숙한 3040 주력 이용층은 물론 소비 여력에 더 큰 충격을 받는 젊은 층과 고령층에서도 일제히 쿠팡·올리브영·다이소 등 각 분야별로 소비 채널을 단일화하는 경향이 뚜렷해지고 있다""고 했다.
또 다른 관계자는 ""일반적으로는 연령대별로 주로 사용하는 소비 채널이 다르기 때문에 특정 채널로의 쏠림은 매우 이례적인 현상""이라며 ""최악의 경기 침체가 길어지다 보니 1등 업체만 독주하는 상황이 빚어진 것""이라고 설명했다.
올다쿠의 대표적인 공통점은 '가성비'다. 배송 등 서비스 품질이 검증된 1등 업체라는 점도 공통분모다. 멤버십과 포인트 제도로 차별화 서비스를 제공하면서 비용 부담이 크지 않다는 점도 올다쿠 독주에 한몫했다.
가성비 측면에서는 1000~5000원 균일가로 상품을 파는 다이소 상황이 대표적이다. 몇 년 전부터 불황형 소비의 전형으로 주목받았지만 최근 성장세가 더 가팔라졌다. 다이소 관계자는 ""균일가 품목을 기존 생활용품에서 뷰티·건강기능식품으로 늘리면서 매출에 탄력을 받았다""고 설명했다.
올리브영은 국내 최대 규모 뷰티 전문 플랫폼으로 자리 잡은 뒤 업계 1위 위상을 공고히 하고 있다. 작년 말 기준 전국 1371개(2024년 말 기준) 매장을 운영하면서 매출의 약 30%는 온라인에서 거두고 있다. 온라인 회원만 1500만명이 쌓아놓은 수천, 수만 개의 후기는 화장품 구매 전 필수적으로 확인하는 지표가 됐다. 특히 차별화된 배송 서비스가 결정적이었다. 올리브영은 뷰티 시장에서 퀵커머스 개념이 생소하던 2018년에 업계 최초로 당일 배송 서비스 '오늘드림'을 선보였다. 코로나19를 거치며 급성장해 지난해 배송 건수가 1500만건을 넘어섰다. 전체 배송에서 오늘드림을 이용하는 비중도 2022년 34%에서 2024년 47%까지 증가했다.
쿠팡은 압도적인 사용자 수를 멤버십을 통해 묶어놓음으로써 사실상 '국민 앱'으로 자리 잡았다. 저렴한 상품 가격과 어마어마한 상품 구색은 기본이고, 강력한 멤버십 혜택을 통해 쿠팡이츠·쿠팡플레이·파페치 등으로 일종의 '쿠팡 생태계'를 넓힌 점이 결정적이었다. 스포츠 중계 등 영상 콘텐츠에 관심이 큰 10·20대 젊은 층부터 명품 쇼핑을 하는 중장년층까지 충성 고객층으로 확보했다.
[박홍주 기자 / 김효혜 기자]",경기침체
매일경제,쓰던 것만 쓰고 가던 곳만 간다...‘끝판대장’만 살아남는 유통업계,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005501629?sid=103,,매일경제,MZ도 시니어도 모두 1등만 찾아 … 경기침체가 낳은 극한 쏠림,"올리브영·다이소·쿠팡
K유통 '절대 1강' 체제
'올다쿠' 3개앱 방문자 급증
月4180만명 …'국민앱' 수준
다른 업체들 역성장과 대조
가성비·검증된 후기 강점
배송·멤버십 서비스 압도적
치열한 경쟁서 1등만 생존
1020 젊은층 쏠림 더 심해
◆ K유통 생존경쟁 ◆
서울 중구에서 자영업을 하는 장 모씨(38)는 최근 대형마트 앱을 모두 삭제했다. 쿠팡과 여러 전자상거래(이커머스)를 비교하며 사용하던 장씨는 ""하나만 멤버십에 가입하면 다른 곳은 볼 것도 없이 최저가로 쇼핑이 가능해 더 돈을 들일 필요가 없더라""며 ""설령 다른 곳에서 조금 더 저렴하게 구입할 수 있다고 해도 여러 개 유료 멤버십에 가입할 바에는 소비를 줄이고 하나만 쓰는 게 마음이 편하다""고 말했다.
경기 침체가 길어지면서 유통 업계가 분야별 '절대 1강 체제'로 재편되고 있다. 이른바 '올다쿠(올리브영·다이소·쿠팡)'로 불리는 각 분야 절대강자들의 매장엔 남녀노소 가리지 않고 전 세대의 발길이 끊이지 않는 반면, 나머지 업체들은 혹독한 구조조정에 돌입한 모양새다.
30일 데이터 분석 업체 아이지에이웍스 모바일인덱스에 따르면 올리브영·다이소몰·쿠팡 앱의 월간 활성 이용자 수(MAU)는 올해 4월 4180만명(중복 포함)에 달했다. 이는 2023년 4월 3525만명 대비 2년 만에 18.6% 성장한 수치다.
올다쿠 쏠림 현상은 모든 연령층에서 확인된다. 2023년 4월 대비 올해 4월 기준 쿠팡 이용자는 모든 연령대에서 5만(60대 이상)~56만명(40대) 늘었다. 올리브영과 다이소몰도 60대 이상(1만명)을 비롯한 전 연령층에서 이용자가 증가했다. 다이소몰은 생활용품 수요가 많은 30대(44만명)에서, 올리브영은 기존 주력 구매층인 20대(61만명)에서 가장 크게 늘었다.
트렌드에 민감하면서 소비 여력이 비교적 낮은 10·20대 젊은 층에서 '1등 업체' 편중이 확연했다. 이는 올리브영과 다이소에서 두드러진다. 다이소몰은 10대와 20대 이용자가 2년 새 8배, 3.5배씩 늘었다. 올리브영도 기존 주력 소비층인 2030 외에 10대 이용자가 2배 증가했다.
업계 관계자는 ""경기 침체가 길어지면서 이커머스에 익숙한 3040 주력 이용층은 물론 소비 여력에 더 큰 충격을 받는 젊은 층과 고령층에서도 일제히 쿠팡·올리브영·다이소 등 각 분야별로 소비 채널을 단일화하는 경향이 뚜렷해지고 있다""고 했다.
또 다른 관계자는 ""일반적으로는 연령대별로 주로 사용하는 소비 채널이 다르기 때문에 특정 채널로의 쏠림은 매우 이례적인 현상""이라며 ""최악의 경기 침체가 길어지다 보니 1등 업체만 독주하는 상황이 빚어진 것""이라고 설명했다.
올다쿠의 대표적인 공통점은 '가성비'다. 배송 등 서비스 품질이 검증된 1등 업체라는 점도 공통분모다. 멤버십과 포인트 제도로 차별화 서비스를 제공하면서 비용 부담이 크지 않다는 점도 올다쿠 독주에 한몫했다.
가성비 측면에서는 1000~5000원 균일가로 상품을 파는 다이소 상황이 대표적이다. 몇 년 전부터 불황형 소비의 전형으로 주목받았지만 최근 성장세가 더 가팔라졌다. 다이소 관계자는 ""균일가 품목을 기존 생활용품에서 뷰티·건강기능식품으로 늘리면서 매출에 탄력을 받았다""고 설명했다.
올리브영은 국내 최대 규모 뷰티 전문 플랫폼으로 자리 잡은 뒤 업계 1위 위상을 공고히 하고 있다. 작년 말 기준 전국 1371개(2024년 말 기준) 매장을 운영하면서 매출의 약 30%는 온라인에서 거두고 있다. 온라인 회원만 1500만명이 쌓아놓은 수천, 수만 개의 후기는 화장품 구매 전 필수적으로 확인하는 지표가 됐다. 특히 차별화된 배송 서비스가 결정적이었다. 올리브영은 뷰티 시장에서 퀵커머스 개념이 생소하던 2018년에 업계 최초로 당일 배송 서비스 '오늘드림'을 선보였다. 코로나19를 거치며 급성장해 지난해 배송 건수가 1500만건을 넘어섰다. 전체 배송에서 오늘드림을 이용하는 비중도 2022년 34%에서 2024년 47%까지 증가했다.
쿠팡은 압도적인 사용자 수를 멤버십을 통해 묶어놓음으로써 사실상 '국민 앱'으로 자리 잡았다. 저렴한 상품 가격과 어마어마한 상품 구색은 기본이고, 강력한 멤버십 혜택을 통해 쿠팡이츠·쿠팡플레이·파페치 등으로 일종의 '쿠팡 생태계'를 넓힌 점이 결정적이었다. 스포츠 중계 등 영상 콘텐츠에 관심이 큰 10·20대 젊은 층부터 명품 쇼핑을 하는 중장년층까지 충성 고객층으로 확보했다.
[박홍주 기자 / 김효혜 기자]",경기침체
MBC,'경기 침체'에 금리 또 인하‥가계대출 우려도,네이버뉴스,https://n.news.naver.com/mnews/article/214/0001427289?sid=101,,MBC,'경기 침체'에 금리 또 인하‥가계대출 우려도,"[뉴스투데이]
◀ 앵커 ▶
올해 우리 경제성장률이 0.8%에 불과하단 전망이 나왔습니다.
한국은행이 석 달 만에, 경제성장률 예상을 절반으로 낮춘 건데, 기준금리도 2.5%로 내렸습니다.
정혜인 기자입니다.
◀ 리포트 ▶
시장의 예상대로였습니다.
한국은행은 석 달 만에 기준금리를 연 2.5%로 내렸습니다.
금융통화위원들의 만장일치 의견이었습니다.
그만큼 경기 침체 우려가 컸습니다.
건설과 소비 등 내수 회복이 더디고, 미국의 관세 부과에 따라 수출마저 위축돼 1분기에는 역성장까지 했습니다.
금리를 낮춰서라도 소비와 투자를 살려야 한다는 절박함이 컸습니다.
[이창용/한국은행 총재]
""성장률이 크게 낮아질 것으로 전망되는 만큼 기준금리를 추가 인하하여 경기 하방압력을 완화하는 것이 적절하다고…""
결정적인 건 향후 전망이 어둡기 때문입니다.
한국은행은 올해 성장률 전망치를 종전 1.5%에서 0.8%로 절반 수준으로 낮췄습니다.
1990년대 이후 1% 미만 성장률은 1998년 IMF, 2009년 금융위기, 2020년 코로나19 이후 처음입니다.
한국은행은 미국의 관세가 내리더라도 우리 성장률이 0.1%포인트 오르는 데 그칠 거라고 전망했습니다.
하반기 큰 폭의 금리 인하 가능성도 열어뒀습니다.
[이창용/한국은행 총재]
""당초 예상보다 성장세가 크게 약화되었기 때문에 향후 금리 인하 폭이 좀 더 커질 가능성이 있다고 보고 있습니다.""
다만 금리 인하가 집값과 가계 대출을 부추길 수 있다는 점은 조심스럽습니다.
또 통화 정책만으로 경기를 부양하는 건 한계가 있다는 지적도 있습니다.
[주 원/현대경제연구원 경제연구실장]
""추경과 그다음에 금리 인하는 같이 해야지 경기 진작에 대한시너지 효과가 있거든요. 그래서 추경까지 신속하게 집행이 되면…""
결국 미국 법원의 트럼프의 상호관세 제동 등 통상 환경 변화와 다음 주 출범하는 새 정부의 재정정책 기조 등이 금리 결정에 주요 변수가 될 걸로 보입니다.
MBC뉴스 정혜인입니다.
MBC 뉴스는 24시간 여러분의 제보를 기다립니다.
▷ 전화 02-784-4000
▷ 이메일 mbcjebo@mbc.co.kr
▷ 카카오톡 @mbc제보",경기침체
