press,title,naver_news_text,naver_news_url,body
중앙일보,"범여, 3+3+3년 '전세개갱신법' 발의…시장선 ""나라 말아 먹을 법""",네이버뉴스,https://n.news.naver.com/mnews/article/025/0003475328?sid=101,
중앙일보,[분석]범여권 '최대 9년'전세법+李정부 '서울 전역 토허구역'...매물부...,네이버뉴스,https://n.news.naver.com/mnews/article/025/0003475328?sid=101,
뉴시스,'768억 대출' 새마을금고전세사기첫 재판…임직원들 혐의 부인,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013536667?sid=102,
뉴시스,"대전전세사기자금줄, 불법대출 새마을금고 첫 재판…혐의 부인",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013536667?sid=102,
연합뉴스,'768억 부정대출' 새마을금고전세사기첫 재판…임직원 대부분 혐의 부...,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015680411?sid=102,
대전일보,"'전세사기연루' 새마을금고 전현직 임직원들, 법정서 혐의 부인",네이버뉴스,https://n.news.naver.com/mnews/article/656/0000151429?sid=102,
뉴스1,‘대전전세사기’ 불법대출 새마을금고 첫 재판…“혐의 부인”,네이버뉴스,https://n.news.naver.com/mnews/article/421/0008540591?sid=102,
서울경제,서울 전역 투기과열·토지허가구역 지정…전세대출에 DSR 첫 적용,네이버뉴스,https://n.news.naver.com/mnews/article/011/0004543423?sid=101,
한국경제,"'최대 9년'전세갱신법 발의한 범여…""말이 되냐"" 공분",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005196985?sid=101,
한국경제,이 와중에 “전세갱신청구권 최대 9년으로” 개정안 발의한 국회의원들,네이버뉴스,https://n.news.naver.com/mnews/article/015/0005196985?sid=101,
조선비즈,"범여권, '전세최대 9년' 갱신법 발의…도입 시 임대차시장 대변혁",네이버뉴스,https://n.news.naver.com/mnews/article/366/0001114543?sid=101,
이투데이,"""전세이제 3년으로…갱신청구권 최대 9년"" 임대차 개정안 발의",,,
뉴스퀘스트,‘3+3+3’ 세입자 9년 거주권 보장 법안 국회 발의,,,
경향신문,[속보] 수도권 15억 넘는 아파트 대출 4억 제한 내일 시행…전세대출도...,네이버뉴스,https://n.news.naver.com/mnews/article/032/0003402066?sid=101,
부산MBC,LH 매입 주택..관리는전세 사기피해자가?,,,
KBS,“계약 앞당기고·전세낀 매물 팔고”…시장 혼란,네이버뉴스,https://n.news.naver.com/mnews/article/056/0012047423?sid=101,
KBS,“계약 앞당기고·전세낀 매물 팔고”…시장 혼란,네이버뉴스,https://n.news.naver.com/mnews/article/056/0012047423?sid=101,
경기신문,전세사기피해 1조 원 돌파…보증금 회수는 절반도 못 미쳐,,,
서울와이어,HUG 보증 막히고 대출 규제까지…전세시장 얼어붙나,,,
서울경제,"프롭테크 대표이자 'MZ 중개사'…""전세사기막고 청년 주거안정 돕겠다...",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004543692?sid=101,
