press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,"국토부장관,전세사기피해자와 간담회 ""피해회복·전세사기예방"" 약속",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013546340?sid=102,,뉴시스,"국토부장관, 전세사기 피해자와 간담회 ""피해회복·전세사기 예방"" 약속","“공동담보 피해자 경매차익 일부 지급""
""'전세사기 특별법' 개정안 국회와 협의""
[서울=뉴시스] 김윤덕 국토교통부 장관은 20일 오후  서울 정동 국토발전전시관에서 전세사기 피해자 단체와의 간담회를 갖고 피해 지원방안에 대해 논의하고 있다. 2025.10.20. (사진=국토교통부 제공) photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스] 홍찬선 기자 = 김윤덕 국토교통부 장관은 20일 오후 서울 정동 국토발전전시관에서 전세사기 피해자 단체와의 간담회를 갖고 피해 지원방안에 대해 논의했다.
이번 간담회는 지난달 30일 이상경 국토부 제1차관 및 실무진 주재 피해자 간담회에 이은 것으로, 전세사기 피해자의 어려움을 경청하고, 피해지원 방안을 함께 논의하기 위해 진행됐다.
간담회에 참석한 전세사기·깡통전세 피해자 전국대책위원회(안상미·이철빈 공동위원장)는 “전세사기 피해지원을 위해 피해자 인정기준 완화, 피해주택 관리 강화 및 신속매입, 피해자 간 형평성 확보를 위한 최소보장제도 도입 등 보다 실질적인 피해지원 방안 마련이 필요하다”는 의견을 정부에 밝혔다.
이에, 김 장관은 “정부는 전세사기를 사회적 재난으로 인식하고 있으며, 전세사기 예방 및 피해지원에 대한 정부의 의지는 확고하다”며 “공동담보 피해자의 경매차익 일부 우선 지급, 피해자 결정 심의 결과 상세 설명 등 국토부 차원에서 신속하게 추진할 수 있는 것부터 조속히 추진하겠다”고 말했다.
김 장관은 또 “공공임대 지원대상 확대, 위반건축물 신속 매입절차 신설, 피해주택 소방시설 관리 강화 등 기 발의된 '전세사기 특별법' 개정안이 신속히 통과될 수 있도록 국회와 적극 협의해 추가적인 법 개정과 예산이 수반되는 지원 등에 대해서도 면밀히 검토해 관계부처와 지속적으로 논의하겠다”고 덧붙였다．",전세사기
뉴시스,"김윤덕 국토장관 ""전세사기피해 지원에 정부 의지 확고""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013546340?sid=102,,뉴시스,"국토부장관, 전세사기 피해자와 간담회 ""피해회복·전세사기 예방"" 약속","“공동담보 피해자 경매차익 일부 지급""
""'전세사기 특별법' 개정안 국회와 협의""
[서울=뉴시스] 김윤덕 국토교통부 장관은 20일 오후  서울 정동 국토발전전시관에서 전세사기 피해자 단체와의 간담회를 갖고 피해 지원방안에 대해 논의하고 있다. 2025.10.20. (사진=국토교통부 제공) photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스] 홍찬선 기자 = 김윤덕 국토교통부 장관은 20일 오후 서울 정동 국토발전전시관에서 전세사기 피해자 단체와의 간담회를 갖고 피해 지원방안에 대해 논의했다.
이번 간담회는 지난달 30일 이상경 국토부 제1차관 및 실무진 주재 피해자 간담회에 이은 것으로, 전세사기 피해자의 어려움을 경청하고, 피해지원 방안을 함께 논의하기 위해 진행됐다.
간담회에 참석한 전세사기·깡통전세 피해자 전국대책위원회(안상미·이철빈 공동위원장)는 “전세사기 피해지원을 위해 피해자 인정기준 완화, 피해주택 관리 강화 및 신속매입, 피해자 간 형평성 확보를 위한 최소보장제도 도입 등 보다 실질적인 피해지원 방안 마련이 필요하다”는 의견을 정부에 밝혔다.
이에, 김 장관은 “정부는 전세사기를 사회적 재난으로 인식하고 있으며, 전세사기 예방 및 피해지원에 대한 정부의 의지는 확고하다”며 “공동담보 피해자의 경매차익 일부 우선 지급, 피해자 결정 심의 결과 상세 설명 등 국토부 차원에서 신속하게 추진할 수 있는 것부터 조속히 추진하겠다”고 말했다.
김 장관은 또 “공공임대 지원대상 확대, 위반건축물 신속 매입절차 신설, 피해주택 소방시설 관리 강화 등 기 발의된 '전세사기 특별법' 개정안이 신속히 통과될 수 있도록 국회와 적극 협의해 추가적인 법 개정과 예산이 수반되는 지원 등에 대해서도 면밀히 검토해 관계부처와 지속적으로 논의하겠다”고 덧붙였다．",전세사기
연합뉴스,"김윤덕 국토부 장관 ""정부,전세사기사회적 재난으로 인식""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015689854?sid=100,,연합뉴스,"김윤덕 국토장관 ""전세사기 피해 지원에 정부 의지 확고""","전세 사기 피해자 단체와 간담회
김윤덕 장관, 전세사기 피해자 단체와 간담회 개최
(서울=연합뉴스) 김윤덕 국토교통부 장관이 20일 서울 중구 국토발전전시관에서 열린 전세사기 피해자 단체와의 간담회에서 발언하고 있다. 2025.10.20 [국토교통부 제공. 재판매 및 DB 금지] photo@yna.co.kr
(서울=연합뉴스) 홍국기 기자 = 김윤덕 국토교통부 장관은 20일 ""전세사기 예방과 피해 지원에 대한 정부의 의지는 확고하다""고 말했다.
김 장관은 이날 서울 중구 정동 국토발전전시관에서 전세 사기 피해자 단체와 간담회를 갖고 ""정부는 전세 사기를 사회적 재난으로 인식하고 있다""면서 이같이 밝혔다.
간담회에 참석한 전세사기·깡통전세 피해자 전국대책위원회는 전세 사기 피해 지원을 위해 피해자 인정 기준 완화, 피해 주택 관리 강화 및 신속 매입, 피해자 간 형평성 확보를 위한 최소보장제 도입 등이 필요하다는 의견을 밝혔다.
이에 김 장관은 ""공동담보 피해자의 경매 차익 일부 우선 지급, 피해자 결정 심의 결과 상세 설명 등 국토부 차원에서 신속하게 추진할 수 있는 일부터 조속히 추진하겠다""고 했다.
현재는 공동담보가 설정된 경우 모든 물건의 배당이 끝나야 경매 차익이 확정되는 문제 탓에 피해자에게 차익 지급이 지연되고 있지만, 앞으로는 경매가 종료된 피해자부터 경매 차익의 일부를 우선 지급하도록 개선하겠다는 것이다.
또 전세 사기 피해자 결정 심의에서 부결될 경우 이의 신청이나 재신청에 보완이 어렵던 문제를 해결하기 위해 부결 사유를 결정문 통지 시 상세히 설명하겠다는 것이다.
김윤덕 장관, 전세사기 피해자 단체와 간담회 개최
(서울=연합뉴스) 김윤덕 국토교통부 장관(왼쪽 세 번째)이 20일 서울 중구 국토발전전시관에서 열린 전세사기 피해자 단체와의 간담회에서 발언하고 있다. 2025.10.20 [국토교통부 제공. 재판매 및 DB 금지] photo@yna.co.kr
아울러 김 장관은 ""발의된 전세사기특별법 개정안이 신속히 통과될 수 있도록 국회와 적극적으로 협의하겠다""며 ""추가적인 법 개정과 예산이 수반되는 지원 등에 대해서도 면밀히 검토해 관계 부처와 지속해 논의하겠다""고 강조했다.
현재 발의된 전세사기특별법 개정안은 공공임대 지원 대상 확대, 위반 건축물 신속 매입 절차 신설, 피해주택 소방시설 관리 강화에 중점을 두고 있다.
구체적으로 개정안은 한국토지주택공사(LH)에 주택 매입을 요청하지 않고 경·공매가 종료된 전세 사기 피해자도 10년간 공공임대 무상 거주를 지원받을 수 있고, LH가 위반 건축물을 먼저 매입한 뒤 지방자치단체 양성화 절차를 진행해 매입 기간이 약 7개월에서 3개월로 단축하는 내용을 담았다.
또 개정안에는 지자체가 전세사기 주택의 임대인 부재 시 해당 주택의 소방시설을 직접 관리할 수 있는 권한을 가지게 돼 안전을 강화하는 내용도 포함됐다.
redflag@yna.co.kr",전세사기
MBC,"전세사기'사회적 재난' 인식, 국토장관 ""피해 회복 의지 확고""",네이버뉴스,https://n.news.naver.com/mnews/article/214/0001456103?sid=101,,MBC,"김윤덕 국토부 장관 ""정부, 전세사기 사회적 재난으로 인식""","김윤덕 국토교통부 장관
김윤덕 국토교통부 장관이 ""정부는 전세 사기를 사회적 재난으로 인식하고 있다""며 피해 지원을 약속했습니다.
김 장관은 오늘 서울 중구 정동 국토발전전시관에서 전세 사기 피해자 단체와 간담회를 하고 ""전세사기 예방과 피해 지원에 대한 정부의 의지는 확고하다""고 했습니다.
간담회에 참석한 전세사기·깡통전세 피해자 전국대책위원회는 전세 사기 피해 지원을 위해 피해자 인정 기준 완화, 피해 주택 관리 강화 및 신속 매입, 피해자 간 형평성 확보를 위한 최소보장제 도입 등이 필요하다는 의견을 냈습니다.
이에 김 장관은 ""공동담보 피해자의 경매 차익 일부 우선 지급, 피해자 결정 심의 결과 상세 설명 등 국토부 차원에서 신속하게 추진할 수 있는 일부터 조속히 추진하겠다""고 답했습니다.
지금은 공동담보가 설정된 경우 모든 물건의 배당이 끝나야 경매 차익이 확정되는 탓에 피해자에게 차익 지급이 지연되고 있지만, 앞으로는 경매가 종료된 피해자부터 경매 차익의 일부를 우선 지급하도록 개선하겠다는 것입니다.
아울러 김 장관은 ""발의된 전세사기특별법 개정안이 신속히 통과될 수 있도록 국회와 적극적으로 협의하겠다""며 ""추가적인 법 개정과 예산이 수반되는 지원 등에 대해서도 면밀히 검토해 관계 부처와 지속해 논의하겠다""고 했습니다.
국회에 발의된 전세사기특별법 개정안에는 공공임대 지원 대상 확대, 위반 건축물 신속 매입 절차 신설, 피해주택 소방시설 관리 강화 등의 내용이 담겨 있습니다.",전세사기
뉴스1,김윤덕 국토장관 “전세사기피해는 사회적 재난…공동담보 경매차익 우...,네이버뉴스,https://n.news.naver.com/mnews/article/421/0008550462?sid=101,,뉴스1,"전세사기 '사회적 재난' 인식, 국토장관 ""피해 회복 의지 확고""","피해자 단체, 피해자 인정기준 완화 등 실질적 지원 촉구
전세사기 피해자 결정문 설명 강화 등 즉시 개선 착수
김윤덕 국토교통부 장관(국토교통부 제공).뉴스1 ⓒ News1
(세종=뉴스1) 조용훈 기자 = 김윤덕 국토교통부 장관이 전세사기 피해자 단체와 간담회를 열고, 피해 회복 방안을 논의했다.
20일 국토부에 따르면 이번 간담회는 서울 국토발전전시관에서 진행됐으며, 그동안 국토부 차관과 실무진이 진행한 논의를 이어 장관이 직접 피해자들의 어려움을 듣고 실질적 지원 방안을 모색하기 위해 마련됐다.
이 자리에서 전세사기·깡통전세 피해자 전국대책위원회(안상미·이철빈 공동위원장)는 피해자 인정기준 완화, 신속 매입 등 실질적인 지원과 최소보장제도 도입을 통한 형평성 확보를 정부에 촉구했다.
이에 김 장관은 ""전세사기를 사회적 재난으로 인식하고 피해 회복 의지가 확고하다""고 강조하며, 국토부 차원의 즉시 개선 과제부터 조속히 추진하겠다고 강조했다.
국토부는 공동담보 피해자에게 경매차익 일부를 우선 지급해 피해 회복 지연 문제를 해소할 예정이다. 또한 피해자 결정 심의 결과 부결 사유를 상세하게 설명해 이의신청 시 보완 기회를 확대하고 행정 절차의 투명성을 높일 방침이다.
김 장관은 이미 발의된 '전세사기 특별법' 개정안의 신속한 국회 통과를 위해 적극 협의하겠다고도 약속했다. 해당 법안은 한국토지주택공사(LH)의 매입 요청 없는 경·공매 종료 피해자에게도 공공임대 10년 무상 거주를 지원해 사각지대를 해소한다.
특히 위반 건축물 매입 절차를 간소화해 LH가 우선 매입한 후 양성화 절차를 진행, 매입 기간을 약 7개월에서 3개월로 대폭 단축한다.
김 장관은 ""법 개정과 예산이 필요한 추가 지원 방안 역시 관계부처와 지속적으로 논의하겠다""고 덧붙였다.",전세사기
부산일보,"부산 유명 사업가,전세보증금 200억 원 미반환 ‘피소’",네이버뉴스,https://n.news.naver.com/mnews/article/082/0001349662?sid=102,,부산일보,"부산 유명 사업가, 전세 보증금 200억 원 미반환 ‘피소’","‘회사 사정 어렵다’며 전세 보증금 안 돌려줘
피해자 대부분 사회 초년생… 100여 명 달해
20일 오전 부산 부산진경찰서 앞에서 A 그룹 오피스텔 전세 보증 사기 피해자들이 기자회견을 열어 보증금 반환을 촉구한 뒤, A 그룹 대표 B 씨에 대한 고소장을 경찰에 제출했다. 김동우 기자 friend@
부산의 유명 사업가가 계약 기간이 끝난 뒤에도 거액의 전세 보증금을 임차인들에게 돌려주지 않은 것으로 드러났다. 현재까지 드러난 피해자는 100여 명, 피해액은 200억 원에 달하는데 피해자들은 해당 사업가를 사기 혐의로 고소했다.
부산 A 그룹 전세 사기 피해자 대표단은 20일 부산진경찰서 앞에서 기자회견을 열고 신속한 전세 보증금 반환과 관계 당국의 엄정한 법적 처분을 촉구했다. 대표단은 기자회견을 마친 뒤 피해 임차인 23명 명의로 A 그룹 대표 B 씨를 사기 혐의로 고소하는 소장을 부산진경찰서에 제출했다.
대표단에 따르면 B 씨는 2023년 말부터 부산진구에 있는 본인이 운영하는 법인 소유 오피스텔 건물 4채로 임대 사업을 하며 맺은 임대차 계약 기간이 끝난 뒤에도 임차인에게 전세 보증금을 돌려주지 않고 있다. 현재까지 보증금을 돌려받지 못한 피해자는 100명이 넘고, 금액은 약 200억 원 규모다.
대표단은 “B 씨가 보증금 반환 요구에 ‘회사 사정이 어렵다’거나 ‘정부의 대출 규제로 매각이 안 된다’는 등의 이유를 들며 반환을 미루고 있다”며 “법적 대응에 나서려는 임차인들에게는 ‘법적 대응을 하면 시간도 오래 걸리고 보증금을 제대로 받지 못할 수도 있다’는 협박성 발언도 서슴지 않았다”고 주장했다.
피해자 상당수는 20~30대 사회 초년생이며, 피해 금액에는 자신이 모은 재산은 물론 은행 대출금까지 포함돼 있다. 하지만 현재까지 보증금을 돌려받지 못한 채 대출 이자 납부와 거액의 원금 반환 압박까지 받고 있다.
더구나 현재 피해자들이 임대차 계약을 맺은 상당수 호실은 경매에 넘어간 상태인데, 선순위 근저당이 설정된 탓에 매각되더라도 임차인이 돌려받을 수 있는 보증금은 거의 없는 것으로 알려졌다. 일부 피해자는 개인 회생을 준비하고 있다.
피해자들은 B 씨가 임차인들의 환심을 사기 위해 계약 과정에서 자신의 사회적 지위와 이력을 악용했다고 지적했다. B 씨는 부산 지역 유명 사업가로 한때 정치계에서도 활동했다. 2022년에는 주한 라오스 부산 명예영사로 위촉되기도 했다.
이날 발언에 나선 한 피해자는 “결혼 준비 자금마저 떼여 결혼도 미뤘다”며 “지난해부터 보증금 반환을 요구했지만 돌려받을 수 없었고, 은행 대출 상환 기한도 다가와 막막하다”고 말했다.
대표단은 부산경찰청과 부산시의회 앞에서도 집회를 이어갈 계획이다. 대표단 관계자는 “B 씨는 더 이상 궁색한 변명만 내놓지 말고 보증금을 당장 반환하라”며 “정부도 전세 사기와 관련된 법률적 보호를 강화하고 제도적 장치를 개선해 재발 방지에 적극 나서야 한다”고 말했다.
A 그룹 측은 보증금을 제때 돌려주지 못한 점을 인정하면서도 의도적으로 반환을 회피하는 것은 아니라고 밝혔다. A 그룹 관계자는 “대출이 막혀 보증금 반환을 위한 자금 마련도 어려운 상황”이라며 “조속히 부동산 매각으로 자금을 마련해 보증금을 반환하도록 노력하겠다”고 전했다.",전세사기
부산일보,"“200억전세 사기, 유명 사업가 고소”…20여명 우르르 반발, 무슨 일?",네이버뉴스,https://n.news.naver.com/mnews/article/082/0001349662?sid=102,,부산일보,"부산 유명 사업가, 전세 보증금 200억 원 미반환 ‘피소’","‘회사 사정 어렵다’며 전세 보증금 안 돌려줘
피해자 대부분 사회 초년생… 100여 명 달해
20일 오전 부산 부산진경찰서 앞에서 A 그룹 오피스텔 전세 보증 사기 피해자들이 기자회견을 열어 보증금 반환을 촉구한 뒤, A 그룹 대표 B 씨에 대한 고소장을 경찰에 제출했다. 김동우 기자 friend@
부산의 유명 사업가가 계약 기간이 끝난 뒤에도 거액의 전세 보증금을 임차인들에게 돌려주지 않은 것으로 드러났다. 현재까지 드러난 피해자는 100여 명, 피해액은 200억 원에 달하는데 피해자들은 해당 사업가를 사기 혐의로 고소했다.
부산 A 그룹 전세 사기 피해자 대표단은 20일 부산진경찰서 앞에서 기자회견을 열고 신속한 전세 보증금 반환과 관계 당국의 엄정한 법적 처분을 촉구했다. 대표단은 기자회견을 마친 뒤 피해 임차인 23명 명의로 A 그룹 대표 B 씨를 사기 혐의로 고소하는 소장을 부산진경찰서에 제출했다.
대표단에 따르면 B 씨는 2023년 말부터 부산진구에 있는 본인이 운영하는 법인 소유 오피스텔 건물 4채로 임대 사업을 하며 맺은 임대차 계약 기간이 끝난 뒤에도 임차인에게 전세 보증금을 돌려주지 않고 있다. 현재까지 보증금을 돌려받지 못한 피해자는 100명이 넘고, 금액은 약 200억 원 규모다.
대표단은 “B 씨가 보증금 반환 요구에 ‘회사 사정이 어렵다’거나 ‘정부의 대출 규제로 매각이 안 된다’는 등의 이유를 들며 반환을 미루고 있다”며 “법적 대응에 나서려는 임차인들에게는 ‘법적 대응을 하면 시간도 오래 걸리고 보증금을 제대로 받지 못할 수도 있다’는 협박성 발언도 서슴지 않았다”고 주장했다.
피해자 상당수는 20~30대 사회 초년생이며, 피해 금액에는 자신이 모은 재산은 물론 은행 대출금까지 포함돼 있다. 하지만 현재까지 보증금을 돌려받지 못한 채 대출 이자 납부와 거액의 원금 반환 압박까지 받고 있다.
더구나 현재 피해자들이 임대차 계약을 맺은 상당수 호실은 경매에 넘어간 상태인데, 선순위 근저당이 설정된 탓에 매각되더라도 임차인이 돌려받을 수 있는 보증금은 거의 없는 것으로 알려졌다. 일부 피해자는 개인 회생을 준비하고 있다.
피해자들은 B 씨가 임차인들의 환심을 사기 위해 계약 과정에서 자신의 사회적 지위와 이력을 악용했다고 지적했다. B 씨는 부산 지역 유명 사업가로 한때 정치계에서도 활동했다. 2022년에는 주한 라오스 부산 명예영사로 위촉되기도 했다.
이날 발언에 나선 한 피해자는 “결혼 준비 자금마저 떼여 결혼도 미뤘다”며 “지난해부터 보증금 반환을 요구했지만 돌려받을 수 없었고, 은행 대출 상환 기한도 다가와 막막하다”고 말했다.
대표단은 부산경찰청과 부산시의회 앞에서도 집회를 이어갈 계획이다. 대표단 관계자는 “B 씨는 더 이상 궁색한 변명만 내놓지 말고 보증금을 당장 반환하라”며 “정부도 전세 사기와 관련된 법률적 보호를 강화하고 제도적 장치를 개선해 재발 방지에 적극 나서야 한다”고 말했다.
A 그룹 측은 보증금을 제때 돌려주지 못한 점을 인정하면서도 의도적으로 반환을 회피하는 것은 아니라고 밝혔다. A 그룹 관계자는 “대출이 막혀 보증금 반환을 위한 자금 마련도 어려운 상황”이라며 “조속히 부동산 매각으로 자금을 마련해 보증금을 반환하도록 노력하겠다”고 전했다.",전세사기
헤럴드경제,부산 유명 사업가전세보증금 200억 미반환 혐의 피소,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002544594?sid=102,,헤럴드경제,"“200억 전세 사기, 유명 사업가 고소”…20여명 우르르 반발, 무슨 일?","부산진경찰서 앞에서 기자회견 연 피해자들. [A그룹 전세사기 피해자 제공·연합뉴스]
[헤럴드경제=장연주 기자] 부산의 한 유명 사업가가 임대차 계약기간이 끝난 뒤에도 200억원에 달하는 전세 보증금을 돌려주지 않아 임차인들이 반발하고 있다. 이 유명 사업가는 한때 정치권에서도 활동한 것으로 알려졌으며, 피해자들은 보증금을 돌려받지 못해 결혼을 미루거나 개인회생을 준비하는 등 생활고를 겪고 있는 것으로 드러났다.
부산에 있는 A그룹으로부터 전세사기 피해를 주장하는 20여명은 20일 사기 혐의로 A그룹의 대표 B씨를 부산진경찰서에 고소했다.
이들에 따르면, B씨는 2023년부터 본인이 운영하는 법인 소유의 오피스텔 건물 4채로 임대 사업을 했다. 하지만 해당 법인은 계약 기간이 끝난 뒤에도 임차인에게 전세 보증금을 돌려주지 않고 있다.
현재까지 파악된 피해자는 수십 명으로 피해액은 200억원에 이른다.
피해자들은 이날 부산진경찰서 앞에서 엄벌을 촉구하는 기자회견을 열었다.
피해자 상당수는 보증금을 돌려받지 못해 결혼을 미루거나 개인회생을 준비하는 등 생활고를 겪고 있다.
이들은 “B씨는 건물을 매각 중이라거나 청년임대주택으로 넘길 예정이라는 이유 등으로 보증금 반환을 미루고 있다”며 “일부 피해자는 보증금 반환 청구 소송에서 승소했지만, 여전히 보증금을 돌려받지 못한 상태”라고 말했다.
B씨는 부산 지역 유명 사업가로 한때 정치권에서도 활동했다.",전세사기
서울신문,"""200억원 전세금 못 돌려받아""…부산 유명 사업가전세사기의혹",네이버뉴스,https://n.news.naver.com/mnews/article/081/0003583658?sid=102,,서울신문,부산 유명 사업가 전세 보증금 200억 미반환 혐의 피소,"서울신문 DB.
부산 한 유명 사업가가 임차인에게 200억원에 달하는 전세 보증금을 돌려주지 않은 혐의로 피소됐다.
20일 부산 A그룹 전세 사기 피해자 대표단은 사기 혐의로 이 회사의 대표 B씨를 부산진경찰서에 고발했다. 고발장은 23명 명의로 제출했다.
이들에 따르면 B씨는 2023년부터 자신이 운영하는 법인 소유 오피스텔 4채를 이용해 임대 사업을 했는데, 이 법인이 전세 계약 기간이 끝난 임차인에게 보증금을 돌려주지 않고 있다.
대표단은 보증금을 돌려받지 못한 피해자가 100여명이며, 피해 금액이 200억원에 달한다고 주장한다.
대표단은 “B씨는 건물을 매각 중이라거나 청년 임대주택으로 넘길 예정이라는 이유를 대며 보증금 반환을 미루고 있다. 일부 피해자는 보증금 반환 청구 소송에서 승소했음에도 여전히 보증금을 돌려받지 못했다”고 말했다.
B씨는 부산 지역 유명 사업가이며, 한때 정치권에서도 활동했다. 피해자들은 앞으로 부산시청과 부산경찰청 앞 등지에서도 집회를 열 예정이다.",전세사기
연합뉴스,"세입자들 ""부산 유명 재력가, 200억전세사기…처벌 촉구""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015689812?sid=102,,연합뉴스,"""200억원 전세금 못 돌려받아""…부산 유명 사업가 전세사기 의혹","부산진경찰서 앞에서 기자회견 연 피해자들
A그룹 전세사기 피해자 제공. 재판매 및 DB 금지]
(부산=연합뉴스) 박성제 기자 = 부산의 한 유명 사업가가 임대차 계약 기간이 끝난 뒤에도 200억원에 달하는 전세 보증금을 돌려주지 않아 임차인들이 반발하고 있다.
부산에 있는 A그룹으로부터 전세사기 피해를 주장하는 20여명은 20일 사기 혐의로 A그룹의 대표 B씨를 부산진경찰서에 고소했다.
이들에 따르면 B씨는 2023년부터 본인이 운영하는 법인 소유의 오피스텔 건물 4채로 임대 사업을 했다.
그러나 해당 법인은 계약 기간이 끝난 뒤에도 임차인에게 전세 보증금을 돌려주지 않고 있다.
현재까지 파악된 피해자는 수십 명으로 피해액은 200억원에 이른다.
피해자들은 이날 부산진경찰서 앞에서 엄벌을 촉구하는 기자회견을 열었다.
피해자 상당수는 보증금을 돌려받지 못해 결혼을 미루거나 개인회생을 준비하는 등 생활고를 겪고 있다.
이들은 ""B씨는 건물을 매각 중이라거나 청년임대주택으로 넘길 예정이라는 이유 등으로 보증금 반환을 미루고 있다""며 ""일부 피해자는 보증금 반환 청구 소송에서 승소했지만, 여전히 보증금을 돌려받지 못한 상태""라고 말했다.
B씨는 부산 지역 유명 사업가로 한때 정치권에서도 활동했다.
피해자들은 앞으로 부산시청과 부산경찰청 등에서 집회를 이어 나갈 계획이다.
psj19@yna.co.kr",전세사기
