press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
세계일보,HUG 보증 年 100조로…주택공급‘속도’,네이버뉴스,https://n.news.naver.com/mnews/article/022/0004078759?sid=101,,세계일보,HUG 보증 年 100조로… 주택공급 ‘속도’,"국토부, 9·7 대책 후속 조치
정비사업 등 자금 조달 여건 개선
PF대출보증, 사업비의 70%로
“신축매입임대, 집값 더 부채질”
경실련, 제도 전면 재검토 촉구
주택 건설 관련 공적 보증 규모가 연간 100조원까지 확대된다. 이는 ‘9·7 부동산 대책’의 후속조치로, 정비사업 등의 자금조달 여건을 개선해 민간 주택공급 여건을 개선하겠다는 취지다.
국토교통부는 29일 주택사업자에 대한 주택도시보증공사(HUG)의 프로젝트파이낸싱(PF) 보증 한도 상향 등 자금지원 강화를 위한 제도 개선을 완료했다고 밝혔다.
이날 서울 남산에서 바라본 서울 일대의 모습. 뉴시스
정부는 내년 6월까지 PF 대출 보증 한도를 현행 총사업비의 50%에서 70%로 상향하고, 기존에 시공순위 700위 이내로 규정한 시공사 시공순위 제한을 폐지하는 등 보증요건 완화 특례를 1년 연장해 PF 시장 경색에 따른 주택사업자의 자금조달 문제를 해소할 방침이다.
분양률 저조, 공사비 인상 등으로 분양대금을 통한 공사비 조달에 어려움을 겪는 사업장에는 PF 대출보증을 통해 공사비를 추가 지원한다. PF 보증으로 대환할 수 있는 브리지론(미납이자 포함)의 범위는 현행 ‘원금+2년 치 이자’에서 ‘원금+5년 치 이자’로 확대해 주택사업자의 금융비용 경감을 지원한다.
정비사업 초기사업비 조달에 금융기관의 고금리 브리지론을 활용하는 사례가 늘어나는 등 시장 변화를 반영해 본 사업비 대출보증도 개선한다. 또 신축 매입임대주택 사업자에게 1금융권의 저리 대출을 지원하는 도심주택특약보증 한도도 높여 향후 2년간 7만가구 규모의 신축 매입임대 공급에 속도를 붙일 계획이다.
하지만 신축 매입임대주택 사업이 오히려 서울·경기 지역 집값 상승을 부추긴다는 지적이 나왔다. 경제정의실천시민연합(경실련)은 이날 한국토지주택공사(LH)·서울주택도시개발공사(SH)·경기주택도시공사(GH)의 2021∼2024년 매입임대주택 실태 분석결과를 발표하면서 이같이 주장했다. 분석결과 3사가 4년간 임대주택 매입에 사용한 금액은 총 16조7000억원으로, 이 중 서울과 경기 지역 신축매입 방식이 14조1000억여원(84.4%)에 달했다.
매입임대주택은 ‘기존 주택 매입’과 민간업자가 기존 주택을 사들인 후 그 자리에 비아파트 주택을 새로 지어 공기업에 공급하는 ‘신축매입’ 방식으로 나뉜다. 신축매입의 경우 업자들이 주택을 지어 공급하는 과정에서 토지매입 비용, 건축비 거품 등이 모두 가격에 반영되는 만큼 예산 낭비가 커지는 데다 주변 집값까지 올린단 게 경실련 측 주장이다.
경실련은 정부가 매입임대주택 제도 전면 재검토에 나서야 한다며 LH에는 신축매입 전면 중단을 촉구했다.",주택공급
세계일보,HUG 공적보증 강화로 정비사업 등주택공급확대 지원,네이버뉴스,https://n.news.naver.com/mnews/article/022/0004078759?sid=101,,세계일보,HUG 보증 年 100조로… 주택공급 ‘속도’,"국토부, 9·7 대책 후속 조치
정비사업 등 자금 조달 여건 개선
PF대출보증, 사업비의 70%로
“신축매입임대, 집값 더 부채질”
경실련, 제도 전면 재검토 촉구
주택 건설 관련 공적 보증 규모가 연간 100조원까지 확대된다. 이는 ‘9·7 부동산 대책’의 후속조치로, 정비사업 등의 자금조달 여건을 개선해 민간 주택공급 여건을 개선하겠다는 취지다.
국토교통부는 29일 주택사업자에 대한 주택도시보증공사(HUG)의 프로젝트파이낸싱(PF) 보증 한도 상향 등 자금지원 강화를 위한 제도 개선을 완료했다고 밝혔다.
이날 서울 남산에서 바라본 서울 일대의 모습. 뉴시스
정부는 내년 6월까지 PF 대출 보증 한도를 현행 총사업비의 50%에서 70%로 상향하고, 기존에 시공순위 700위 이내로 규정한 시공사 시공순위 제한을 폐지하는 등 보증요건 완화 특례를 1년 연장해 PF 시장 경색에 따른 주택사업자의 자금조달 문제를 해소할 방침이다.
분양률 저조, 공사비 인상 등으로 분양대금을 통한 공사비 조달에 어려움을 겪는 사업장에는 PF 대출보증을 통해 공사비를 추가 지원한다. PF 보증으로 대환할 수 있는 브리지론(미납이자 포함)의 범위는 현행 ‘원금+2년 치 이자’에서 ‘원금+5년 치 이자’로 확대해 주택사업자의 금융비용 경감을 지원한다.
정비사업 초기사업비 조달에 금융기관의 고금리 브리지론을 활용하는 사례가 늘어나는 등 시장 변화를 반영해 본 사업비 대출보증도 개선한다. 또 신축 매입임대주택 사업자에게 1금융권의 저리 대출을 지원하는 도심주택특약보증 한도도 높여 향후 2년간 7만가구 규모의 신축 매입임대 공급에 속도를 붙일 계획이다.
하지만 신축 매입임대주택 사업이 오히려 서울·경기 지역 집값 상승을 부추긴다는 지적이 나왔다. 경제정의실천시민연합(경실련)은 이날 한국토지주택공사(LH)·서울주택도시개발공사(SH)·경기주택도시공사(GH)의 2021∼2024년 매입임대주택 실태 분석결과를 발표하면서 이같이 주장했다. 분석결과 3사가 4년간 임대주택 매입에 사용한 금액은 총 16조7000억원으로, 이 중 서울과 경기 지역 신축매입 방식이 14조1000억여원(84.4%)에 달했다.
매입임대주택은 ‘기존 주택 매입’과 민간업자가 기존 주택을 사들인 후 그 자리에 비아파트 주택을 새로 지어 공기업에 공급하는 ‘신축매입’ 방식으로 나뉜다. 신축매입의 경우 업자들이 주택을 지어 공급하는 과정에서 토지매입 비용, 건축비 거품 등이 모두 가격에 반영되는 만큼 예산 낭비가 커지는 데다 주변 집값까지 올린단 게 경실련 측 주장이다.
경실련은 정부가 매입임대주택 제도 전면 재검토에 나서야 한다며 LH에는 신축매입 전면 중단을 촉구했다.",주택공급
경북매일신문,HUG 공적보증 확대…'주택공급마중물' vs '부채 폭증 우려',,,,,,,주택공급
조선비즈,서울주택 공급확대…중랑·도봉구 2148가구 도심 공공주택 복합지구 ...,네이버뉴스,https://n.news.naver.com/mnews/article/366/0001118622?sid=101,,조선비즈,서울 주택 공급 확대…중랑·도봉구 2148가구 도심 공공주택 복합지구 지정,"상봉역·용마산역·창2동 주민센터 인근 지정
국토부 “연말까지 4만8000가구 이상 복합지구 지정”
신규 도심 공공주택 복합지구로 지정된 서울시 중랑구 상봉역의 개발 조감도. /국토부 제공
정부가 서울 도심 내 주택 공급을 확대하기 위해 중랑·도봉구 등에 2148가구 규모의 도심 공공주택 복합지구를 지정한다.
국토교통부는 31일 서울 중랑구 상봉역 인근(781가구), 용마산역 인근(783가구), 도봉구 창2동 주민센터 인근(584가구) 등 총 3곳 2148가구를 도심 공공주택 복합지구로 지정했다.
도심 공공주택 복합사업은 선호도 높은 도심 내 주택공급을 확대하기 위해 민간 정비가 어려운 노후 도심을 대상으로 공공이 주도해 용적률 등 혜택을 부여하고 신속하게 주택을 공급하는 사업이다.
이번에 지정된 복합지구들은 예정지구 지정 이후 주민 3분의2 이상의 동의(토지면적의 2분의1 이상)를 확보하고 중앙도시계획위원회 및 중앙토지수용위원회 심의를 진행해 지구지정 절차를 완료했다. 향후 통합심의를 거쳐 2027년 복합사업계획을 승인받고 2030년 착공될 예정이다.
이번 복합지구 지정을 통해 총 49곳의 도심복합사업지 중 26곳, 총 4만1000가구 규모의 지구 지정이 완료됐다.
국토부는 9·7 주택공급 확대방안을 통해 발표한 도심복합사업 제도 개선을 위한 법령 개정 등 후속조치를 적극 추진하고 있다. 공공주택 특별법 개정을 통해 건축물 높이 제한 완화 등 특례를 추가하는 한편, 통합심의 범위에 환경영향평가, 소방성능설계를 추가해 속도를 높일 예정이다.
또한, 연내 시행령 개정을 통해 현재 준주거지역에서만 적용되던 용적률 법적상한의 1.4배 완화 특례를 주거지역 전체로 확대할 계획이다.
김배성 국토부 공공주택추진단장은 “주민들이 주택공급 성과를 조속히 체감하실 수 있도록 향후 주민 의견수렴을 강화하고 지자체·사업자와 적극 협조해 복합사업계획승인 절차를 지원하겠다”며 “2030년까지 5만가구 착공을 정상적으로 추진하기 위해 이번 지구 지정 외 추가 복합지구 지정을 통해 올해 말까지 총 4만8000가구 이상 규모의 복합지구 지정을 추진할 계획”이라고 말했다.",주택공급
조선비즈,도심 공공주택복합지구 3곳 지정…서울 도심 2천여 가구 추가공급,네이버뉴스,https://n.news.naver.com/mnews/article/366/0001118622?sid=101,,조선비즈,서울 주택 공급 확대…중랑·도봉구 2148가구 도심 공공주택 복합지구 지정,"상봉역·용마산역·창2동 주민센터 인근 지정
국토부 “연말까지 4만8000가구 이상 복합지구 지정”
신규 도심 공공주택 복합지구로 지정된 서울시 중랑구 상봉역의 개발 조감도. /국토부 제공
정부가 서울 도심 내 주택 공급을 확대하기 위해 중랑·도봉구 등에 2148가구 규모의 도심 공공주택 복합지구를 지정한다.
국토교통부는 31일 서울 중랑구 상봉역 인근(781가구), 용마산역 인근(783가구), 도봉구 창2동 주민센터 인근(584가구) 등 총 3곳 2148가구를 도심 공공주택 복합지구로 지정했다.
도심 공공주택 복합사업은 선호도 높은 도심 내 주택공급을 확대하기 위해 민간 정비가 어려운 노후 도심을 대상으로 공공이 주도해 용적률 등 혜택을 부여하고 신속하게 주택을 공급하는 사업이다.
이번에 지정된 복합지구들은 예정지구 지정 이후 주민 3분의2 이상의 동의(토지면적의 2분의1 이상)를 확보하고 중앙도시계획위원회 및 중앙토지수용위원회 심의를 진행해 지구지정 절차를 완료했다. 향후 통합심의를 거쳐 2027년 복합사업계획을 승인받고 2030년 착공될 예정이다.
이번 복합지구 지정을 통해 총 49곳의 도심복합사업지 중 26곳, 총 4만1000가구 규모의 지구 지정이 완료됐다.
국토부는 9·7 주택공급 확대방안을 통해 발표한 도심복합사업 제도 개선을 위한 법령 개정 등 후속조치를 적극 추진하고 있다. 공공주택 특별법 개정을 통해 건축물 높이 제한 완화 등 특례를 추가하는 한편, 통합심의 범위에 환경영향평가, 소방성능설계를 추가해 속도를 높일 예정이다.
또한, 연내 시행령 개정을 통해 현재 준주거지역에서만 적용되던 용적률 법적상한의 1.4배 완화 특례를 주거지역 전체로 확대할 계획이다.
김배성 국토부 공공주택추진단장은 “주민들이 주택공급 성과를 조속히 체감하실 수 있도록 향후 주민 의견수렴을 강화하고 지자체·사업자와 적극 협조해 복합사업계획승인 절차를 지원하겠다”며 “2030년까지 5만가구 착공을 정상적으로 추진하기 위해 이번 지구 지정 외 추가 복합지구 지정을 통해 올해 말까지 총 4만8000가구 이상 규모의 복합지구 지정을 추진할 계획”이라고 말했다.",주택공급
전자신문,서울 상봉역 등 '도심 공공주택복합지구' 지정… 총 3곳에 2100가구공급...,네이버뉴스,https://n.news.naver.com/mnews/article/030/0003364760?sid=101,,전자신문,도심 공공주택 복합지구 3곳 지정…서울 도심 2천여 가구 추가 공급,"신규 도심 공공주택 복합지구 상봉역 인근 위치도
국토교통부가 서울 도심 내 신규 주택 공급을 위해 상봉역, 용마산역, 창2동 주민센터 등 3곳을 도심 공공주택 복합지구로 지정했다고 30일 밝혔다. 이번 지정으로 2148가구가 새로 공급된다.
도심 공공주택 복합사업은 정비가 어려운 노후 도심을 대상으로 공공이 주도해 용적률 완화 등 인센티브를 부여하고 신속하게 주택을 공급하는 방식이다. 이번에 지정된 세 곳은 주민 3분의 2 이상 동의를 확보하고 중앙도시계획위원회·중앙토지수용위원회 심의를 거쳐 지구 지정 절차를 마쳤다.
신규 도심 공공주택 복합지구 용마산역 인근 위치도
상봉역 인근(781호)과 용마산역 인근(783호)은 역세권형, 창2동 주민센터 인근(584호)은 준공업지역형으로 추진된다. 국토부는 통합심의를 거쳐 2027년 복합사업계획 승인을 받고 2030년 착공을 목표로 하고 있다.
이번 지정으로 전체 도심복합사업 대상지 49곳 중 26곳, 총 4만1000 가구 규모의 지구 지정이 완료됐다.
신규 도심 공공주택 복합지구 창２동 주민센터 인근 위치도
국토부는 지난 9월 발표한 '주택공급 확대방안'에 따라 관련 법령 개정을 추진 중이다. 공공주택 특별법 개정을 통해 건축물 높이 제한 완화 등 특례를 추가하고 환경영향평가와 소방성능설계를 통합심의에 포함시켜 절차를 간소화할 계획이다. 또한 시행령을 개정해 용적률 완화 특례를 준주거지역 외 주거지역 전체로 확대할 예정이다.
김배성 국토교통부 공공주택추진단장은 “주민이 공급 성과를 조속히 체감할 수 있도록 지자체·사업자와 협력해 복합사업계획승인 절차를 지원하겠다”며 “올해 말까지 총 4만8천 호 이상 규모의 복합지구 지정을 마무리하고, 2030년까지 5만 호 착공을 차질 없이 추진하겠다”고 말했다.
신규 도심 공공주택 복합지구",주택공급
서울경제,서울 상봉역 인근 등 3곳 ‘도심 공공주택복합지구’… 2148가구공급,네이버뉴스,https://n.news.naver.com/mnews/article/011/0004549716?sid=101,,서울경제,서울 상봉역 등 '도심 공공주택 복합지구' 지정… 총 3곳에 2100가구 공급 [집슐랭],"용마산역, 창2동 주민센터 등서 주민 동의 확보해
지구지정 절차 완료··· 2030년께 착공에 돌입
정부세종청사 국토교통부. 연합뉴스
[서울경제]
서울 중랑구 상봉역과 용마산역 일대, 도봉구 창2동 주민센터가 신규 도심 공공주택 복합지구로 지정됐다. 정부는 3곳에 총 2148가구의 공공주택을 공급할 계획이다.
국토교통부는 서울 상봉역 등 3곳에 대한 도심 공공주택 복합지구 지정했다고 30일 밝혔다. 도심 공공주택 복합사업은 민간 정비가 어려운 노후 도심을 대상으로 공공이 주도해 용적률 혜택을 부여하고 신속하게 주택을 공급하는 사업이다. 이번에 지정한 복합지구는 예정지구 지정 이후 주민 3분의 2 이상 동의를 확보했고, 중앙토지수용위원회 심의를 진행해 지구지정 절차를 완료했다. 앞으로 통합심의를 거쳐 2027년께 복합사업계획을 승인받고 2030년 착공에 돌입할 예정이다. 이번 복합지구 지정을 통해 총 49곳의 도심복합사업지 중 26곳, 4만 1000가구 규모의 지구 지정이 완료됐다.
국토부는 또 도심복합사업 제도 개선을 위한 법령 개정 등 후속조치도 적극 추진할 계획이다. 공공주택 특별법 개정을 통하여 건축물 높이 제한 완화 등 특례를 추가하는 한편 통합심의 범위에 환경영향평가, 소방성능설계를 추가할 예정이다. 또 연내 시행령 개정을 통해 현재 준주거지역에서만 적용한 용적률 법적 상한의 1.4배 완화 특례를 주거지역 전체로 확대할 계획이다.
김배성 국토부 공공주택추진단장은 “주민들이 주택공급 성과를 체감하실 수 있도록 지자체, 사업자와 협조해 복합사업계획승인 절차를 지원하겠다”며 “연말까지 총 4만 8000가구 이상의 복합지구 지정을 추진할 계획”이라고 밝혔다.",주택공급
디지털타임스,상봉역·용마산역·창2동 '도심 공공주택복합지구' 지정…2148가구공급,네이버뉴스,https://n.news.naver.com/mnews/article/029/0002990387?sid=101,,디지털타임스,서울 상봉역 인근 등 3곳 ‘도심 공공주택 복합지구’… 2148가구 공급,"서울 중랑구 상봉역 인근 도심 공공주택 복합지구 조감도. [국토교통부 제공]
국토교통부는 서울 중랑구 상봉역(조감도) 인근, 중랑구 용마산역 인근, 도봉구 창2동 주민센터 인근 등 3곳을 도심 공공주택 복합지구로 지정하고 2148가구를 공급한다고 30일 밝혔다.
도심 공공주택 복합사업은 주거 선호가 높은 도심 주택 공급을 확대하고자 민간 정비가 어려운 노후 도심을 대상으로 공공이 주도해 용적률 혜택 등을 주고 공급 속도를 높이는 개발방식이다.
이번에 복합지구로 지정된 3곳은 예정지구 지정 이후 주민 3분의 2 이상의 동의를 확보하고, 중앙도시계획위원회와 중앙토지수용위원회 심의를 통해 지구지정 절차를 완료했다. 향후 통합심의를 거쳐 2027년 복합사업계획 승인을 받은 뒤 2030년 착공 예정이다.
지금까지 도심복합사업지 49곳 중 26곳(4만1000가구)이 지구 지정을 마쳤다.
국토부는 9·7 부동산 공급대책에 포함된 법령 개정 등 도심복합사업 제도 개선을 위한 후속 조치도 추진한다.
공공주택 특별법 개정으로 건축물 높이 제한 완화 등 특례를 추가하고, 통합심의 범위에 환경영향평가와 소방성능 설계를 추가해 절차 진행 속도를 높인다.
또 현재 준주거지역에만 적용되는 '용적률 법적 상한 1.4배 완화' 특례를 주거지역 전체로 확대하는 방향으로 시행령을 개정한다.
정부는 앞서 9·7 대책에서 이같은 특례와 절차 개선 등을 담은 '공공 도심복합사업 시즌2'를 통해 2030년까지 수도권에서 5만가구를 착공한다는 목표를 제시했다.",주택공급
뉴스1,"무주군, 신혼부부 특별공급임대주택28세대 확보…수푸름과 MOU",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008575079?sid=102,,뉴스1,"무주군, 신혼부부 특별공급 임대주택 28세대 확보…수푸름과 MOU","최대 5% 대출이자 지원
30일 전북 무주군이 주식회사 수푸름과 업무협약을 체결하고 신혼부부에게 제공할 특별공급 임대주택 28세대를 확보했다.(무주군 제공. 재판매 및 DB 금지)
(무주=뉴스1) 장수인 기자 = 전북 무주군이 신혼부부에게 제공할 보금자리 28곳을 확보했다.
무주군은 30일 ㈜수푸름과 업무협약을 체결했다고 밝혔다.
이번 업무협약에 따라 수푸름은 오는 2027년 공급 예정인 수푸름 2차 임대아파트 총 84세대 중 28세대를 신혼부부에게 특별공급한다. 나머지 56세대는 일반공급 임대주택으로 분양한다.
수푸름은 신혼부부 특별공급 임대 전형을 신설하고 11월 중 세부안이 마련되는 대로 모집부터 심사, 선정, 지원 등의 본격적인 절차를 진행할 예정이다.
군은 특별공급 임대주택에 입주하는 신혼부부가 제1·2금융권을 통해 임대보증금 한도 내에서 주택 전세자금 대출을 받을 경우 5년간 연 대출이자 최대 5%를 지원할 계획이다.
또 입주 후 출산한 가정에 대해서는 추가 2년을 더해 총 7년간 지원할 예정이다.
이와 관련해 일반 임대주택 모집은 수푸름이 12월 중 실시하며 모든 임대 계약 또한 임대인인 수푸름이 담당한다.
김성옥 무주군청 인구활력과장은 ""신혼부부 대상 특별공급 임대주택은 초기 주거비 부담을 줄이고 안정적인 생활 기반을 다지는 데 큰 도움이 될 것""이라며 ""맞춤형 지원이 청년들을 무주로 부르고 이들이 정착해 가정을 이루는데 든든한 버팀목이 되길 바란다""고 말했다.",주택공급
뉴스1,"무주군, 신혼부부 특별공급임대주택28세대 확보",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008575079?sid=102,,뉴스1,"무주군, 신혼부부 특별공급 임대주택 28세대 확보…수푸름과 MOU","최대 5% 대출이자 지원
30일 전북 무주군이 주식회사 수푸름과 업무협약을 체결하고 신혼부부에게 제공할 특별공급 임대주택 28세대를 확보했다.(무주군 제공. 재판매 및 DB 금지)
(무주=뉴스1) 장수인 기자 = 전북 무주군이 신혼부부에게 제공할 보금자리 28곳을 확보했다.
무주군은 30일 ㈜수푸름과 업무협약을 체결했다고 밝혔다.
이번 업무협약에 따라 수푸름은 오는 2027년 공급 예정인 수푸름 2차 임대아파트 총 84세대 중 28세대를 신혼부부에게 특별공급한다. 나머지 56세대는 일반공급 임대주택으로 분양한다.
수푸름은 신혼부부 특별공급 임대 전형을 신설하고 11월 중 세부안이 마련되는 대로 모집부터 심사, 선정, 지원 등의 본격적인 절차를 진행할 예정이다.
군은 특별공급 임대주택에 입주하는 신혼부부가 제1·2금융권을 통해 임대보증금 한도 내에서 주택 전세자금 대출을 받을 경우 5년간 연 대출이자 최대 5%를 지원할 계획이다.
또 입주 후 출산한 가정에 대해서는 추가 2년을 더해 총 7년간 지원할 예정이다.
이와 관련해 일반 임대주택 모집은 수푸름이 12월 중 실시하며 모든 임대 계약 또한 임대인인 수푸름이 담당한다.
김성옥 무주군청 인구활력과장은 ""신혼부부 대상 특별공급 임대주택은 초기 주거비 부담을 줄이고 안정적인 생활 기반을 다지는 데 큰 도움이 될 것""이라며 ""맞춤형 지원이 청년들을 무주로 부르고 이들이 정착해 가정을 이루는데 든든한 버팀목이 되길 바란다""고 말했다.",주택공급
