press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
연합뉴스TV,미 의회서 한국인 전문직 비자 법안 추가 발의,네이버뉴스,https://n.news.naver.com/mnews/article/422/0000783316?sid=104,,연합뉴스TV,미 의회서 한국인 전문직 비자 법안 추가 발의,"미국 이민 단속 당국 조지아주 배터리 공장 건설현장 단속 모습 공개 [이민세관단속국(ICE) 영상 캡처. 재판매 및 DB 금지]
미국 조지아주 현대차그룹-LG에너지솔루션 합작 배터리공장 건설 현장에서 한국인 300여명이 이민당국에 체포·구금됐다가 풀려난 사태와 관련해 한국인을 대상으로 한 전문직 취업비자를 신설하는 법안이 미국 의회에서 추가로 발의됐습니다.
톰 수오지(민주·뉴욕) 하원의원은 현지시간 19일 뉴욕시 퀸스 더글러스턴의 지역구 사무실에서 기자회견을 열고 'E-3' 전문직 비자 쿼터에 한국을 추가하는 내용의 법안을 재발의했다고 밝혔습니다.
새 법안은 호주 국적 전문직을 위해 마련된 E-3 비자에 한국 국적자를 추가하는 내용을 담았습니다.
호주는 지난 2004년 미국과 자유무역협정(FTA)을 체결하면서 별도 입법을 통해 매년 1만500개의 전문직 비자(E-3) 쿼터를 확보했지만, 해마다 비자 쿼터를 다 채우지 못하고 있습니다.
수오지 의원은 지난해에도 같은 내용을 담은 법안을 연방 하원에 발의했지만 법안 논의에 진전을 보이지 못한 채 폐기된 바 있습니다.
수오지 의원은 회견에서 ""우리 모두 얼마 전 조지아주에서 일어난 현대차-LG엔솔 공장에 대한 급습 소식을 들었다""며 ""이는 미국이 좋은 친구를 어떻게 대하는지를 시각적으로 매우 끔찍한 장면으로 보여줬다""라고 법안 재발의 배경을 설명했습니다.
톰 수오지 美 의원, 한국인 전문직 비자 법안 발의 기자회견 [김민선 미주한인이민사박물관장 제공. 재판매 및 DB 금지]
이날 회견에 참석한 김민선 미주한인이민사박물관장은 ""한국은 미국의 가장 강력한 동맹국이자 최대 투자국 중 하나""라며 ""이 법안의 해결책은 양국 최선의 이익에 부합한다""라고 말했습니다.
한편 수오지 의원은 ""나와 뜻을 같이하는 의원으로 캘리포니아 출신 한국계 미국인인 영 김 의원(공화·캘리포니아)이 있다""며 김 의원이 이날 발의된 법안의 공동 발의자로 참여했음을 알렸습니다.
현재 미 연방 하원에는 지난 7월 김 의원 발의로 연간 최대 1만5천개의 한국인 전문직 취업비자(E-4)를 발급하는 것을 골자로 하는 유사 법안이 계류된 상태입니다.
앞서 미 의회조사국(CRS)은 지난 12일 한미관계를 업데이트한 보고서에서 조지아주 공장 구금 사태가 한미관계에 악영향 요인으로 작용하고 있다고 분석하면서 하원에 계류된 김 의원의 법안에 대해 ""한국 국적자에 대한 고숙련 비자를 제공할 수 있다""고 평가한 바 있습니다.
#조지아주 #한인구금 #비자 #전문직
연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",한인구금
연합뉴스TV,"美, 한국인구금에 ""끔찍""…韓 전문직 취업비자 신설 법안 발의",네이버뉴스,https://n.news.naver.com/mnews/article/422/0000783316?sid=104,,연합뉴스TV,미 의회서 한국인 전문직 비자 법안 추가 발의,"미국 이민 단속 당국 조지아주 배터리 공장 건설현장 단속 모습 공개 [이민세관단속국(ICE) 영상 캡처. 재판매 및 DB 금지]
미국 조지아주 현대차그룹-LG에너지솔루션 합작 배터리공장 건설 현장에서 한국인 300여명이 이민당국에 체포·구금됐다가 풀려난 사태와 관련해 한국인을 대상으로 한 전문직 취업비자를 신설하는 법안이 미국 의회에서 추가로 발의됐습니다.
톰 수오지(민주·뉴욕) 하원의원은 현지시간 19일 뉴욕시 퀸스 더글러스턴의 지역구 사무실에서 기자회견을 열고 'E-3' 전문직 비자 쿼터에 한국을 추가하는 내용의 법안을 재발의했다고 밝혔습니다.
새 법안은 호주 국적 전문직을 위해 마련된 E-3 비자에 한국 국적자를 추가하는 내용을 담았습니다.
호주는 지난 2004년 미국과 자유무역협정(FTA)을 체결하면서 별도 입법을 통해 매년 1만500개의 전문직 비자(E-3) 쿼터를 확보했지만, 해마다 비자 쿼터를 다 채우지 못하고 있습니다.
수오지 의원은 지난해에도 같은 내용을 담은 법안을 연방 하원에 발의했지만 법안 논의에 진전을 보이지 못한 채 폐기된 바 있습니다.
수오지 의원은 회견에서 ""우리 모두 얼마 전 조지아주에서 일어난 현대차-LG엔솔 공장에 대한 급습 소식을 들었다""며 ""이는 미국이 좋은 친구를 어떻게 대하는지를 시각적으로 매우 끔찍한 장면으로 보여줬다""라고 법안 재발의 배경을 설명했습니다.
톰 수오지 美 의원, 한국인 전문직 비자 법안 발의 기자회견 [김민선 미주한인이민사박물관장 제공. 재판매 및 DB 금지]
이날 회견에 참석한 김민선 미주한인이민사박물관장은 ""한국은 미국의 가장 강력한 동맹국이자 최대 투자국 중 하나""라며 ""이 법안의 해결책은 양국 최선의 이익에 부합한다""라고 말했습니다.
한편 수오지 의원은 ""나와 뜻을 같이하는 의원으로 캘리포니아 출신 한국계 미국인인 영 김 의원(공화·캘리포니아)이 있다""며 김 의원이 이날 발의된 법안의 공동 발의자로 참여했음을 알렸습니다.
현재 미 연방 하원에는 지난 7월 김 의원 발의로 연간 최대 1만5천개의 한국인 전문직 취업비자(E-4)를 발급하는 것을 골자로 하는 유사 법안이 계류된 상태입니다.
앞서 미 의회조사국(CRS)은 지난 12일 한미관계를 업데이트한 보고서에서 조지아주 공장 구금 사태가 한미관계에 악영향 요인으로 작용하고 있다고 분석하면서 하원에 계류된 김 의원의 법안에 대해 ""한국 국적자에 대한 고숙련 비자를 제공할 수 있다""고 평가한 바 있습니다.
#조지아주 #한인구금 #비자 #전문직
연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",한인구금
한국경제,"미 의회, 한국인 전문직 취업비자 법안 발의한다…구금사태 여파",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005187632?sid=104,,한국경제,"美, 한국인 구금에 ""끔찍""…韓 전문직 취업비자 신설 법안 발의","수오지 의원, 관련 법안 추가 발의
지난 15일 서울 종로구 주한미국대사관에서 미국 비자를 발급받으려는 시민들이 줄을 서고 있다. 사진=연합뉴스
미국 의회에서 한국인을 대상으로 한 전문직 취업비자를 신설하는 법안이 추가로 발의됐다.
톰 수오지(민주·뉴욕) 하원의원은 19일(현지시간) 뉴욕시 퀸스 더글러스턴의 지역구 사무실에서 기자회견을 열어 'E-3' 전문직 비자 쿼터에 한국을 추가하는 내용의 법안을 재발의했다고 밝혔다.
새 법안은 호주 국적 전문직을 위해 마련된 E-3 비자에 한국 국적자를 추가하는 내용이 포함됐다.
호주는 2004년 미국과 자유무역협정(FTA)을 체결하면서 별도 입법을 통해 매년 1만500개의 전문직 비자(E-3) 쿼터를 확보했다. 하지만 매년 비자 쿼터를 채우지 못하고 있는 것으로 알려졌다.
수오지 의원은 지난해에도 같은 내용의 법안을 연방 하원에 발의했지만 진전을 이루지 못한 채 폐기됐다.
그는 기자회견에서 ""우리 모두 얼마 전 조지아주에서 일어난 현대차·LG엔솔 공장에 대한 급습 소식을 들었다""며 ""이는 미국이 좋은 친구를 어떻게 대하는지를 시각적으로 매우 끔찍한 장면으로 보여줬다""고 설명했다.
김민선 미주한인이민사박물관장은 이날 같은 자리에서 ""한국은 미국의 가장 강력한 동맹국이자 최대 투자국 중 하나""라며 ""이 법안의 해결책은 양국 최선의 이익에 부합한다""고 했다.
수오지 의원은 ""나와 뜻을 같이하는 의원으로 캘리포니아 출신 한국계 미국인인 영 김 의원(공화·캘리포니아)이 있다""며 김 의원이 법안의 공동 발의자로 참여했다고 전했다.
현재 미 연방 하원에는 지난 7월 김 의원 발의로 연간 최대 1만5000개의 한국인 전문직 취업비자(E-4)를 발급하는 것을 골자로 하는 유사 법안이 계류돼 있다.
미 의회조사국(CRS)은 지난 12일 한미관계 관련 보고서에서 조지아주 공장 구금 사태가 한미관계에 악영향 요인으로 작용하고 있다는 분석 결과를 내놨다. 그러면서 하원에 계류된 김 의원의 법안에 대해 ""한국 국적자에 대한 고숙련 비자를 제공할 수 있다""고 평가했다.",한인구금
MBN,"美, 한국인구금에 ""끔찍""…韓 전문직 취업비자 신설 법안 발의",네이버뉴스,https://n.news.naver.com/mnews/article/057/0001909492?sid=104,,MBN,"미 의회, 한국인 전문직 취업비자 법안 발의한다…구금 사태 여파","미국 비자 발급 위해 미대사관 찾은 시민들 / 사진=연합뉴스
미국 조지아주 합작 배터리공장 건설 현장에서 한국인 300여 명이 이민 당국에 체포·구금된 사태를 계기로 한국인을 위한 전문직 취업비자 신설 법안이 미국 의회에서 추가로 발의됐습니다.
톰 수오지(민주·뉴욕) 하원의원은 현지시간 19일 뉴욕시 퀸스 더글러스턴의 지역구 사무실에서 기자회견을 열고 'E-3' 전문직 비자 쿼터에 한국을 추가하는 내용의 법안을 재발의했다고 밝혔습니다.
새 법안은 호주 국적 전문직을 위해 마련된 E-3 비자에 한국 국적자를 추가하는 내용을 담고 있습니다.
호주는 2004년 미국과 자유무역협정(FTA)을 체결하면서 별도 입법을 통해 매년 1만 500개의 전문직 비자(E-3) 쿼터를 확보했지만, 해마다 비자 쿼터를 모두 채우지 못하는 상황입니다.
수오지 의원은 지난해에도 같은 내용을 담은 법안을 연방 하원에 발의했지만, 논의에 진전을 보이지 못한 채 폐기됐습니다.
그는 회견에서 ""우리 모두 얼마 전 조지아주에서 일어난 배터리 공장에 대한 급습 소식을 들었다""며 ""이는 미국이 좋은 친구를 어떻게 대하는지를 시각적으로 매우 끔찍한 장면으로 보여줬다""라고 비판했습니다.
이날 회견에 참석한 김민선 미주한인이민사박물관장은 ""한국은 미국의 가장 강력한 동맹국이자 최대 투자국 중 하나""라며 ""이 법안의 해결책은 양국 최선의 이익에 부합한다""라고 말했습니다.
한편, 수오지 의원은 캘리포니아 출신 한국계 미국인인 영 김 공화당 의원이 이날 발의한 법안의 공동 발의자로 참여했음을 알렸습니다.
현재 미 연방 하원에는 지난 7월 김 의원이 발의한 연간 최대 1만 5천 개의 한국인 전문직 취업비자(E-4) 발급을 골자로 하는 유사 법안이 계류된 상태입니다.
미 의회조사국(CRS)은 지난 12일 한미관계를 업데이트한 보고서에 조지아주 공장 구금 사태가 한미관계에 악영향 요인으로 작용하고 있다고 분석하면서 하원에 계류된 김 의원의 법안에 대해 ""한국 국적자에 대한 고숙련 비자를 제공할 수 있다""고 평가한 바 있습니다.",한인구금
매일신문,"美의원 ""한국인구금끔찍""…韓 전문직 취업비자 법안 발의",네이버뉴스,https://n.news.naver.com/mnews/article/088/0000971254?sid=104,,매일신문,"美, 한국인 구금에 ""끔찍""…韓 전문직 취업비자 신설 법안 발의","호주 전문직 전용비자에 韓 추가 방식
수오지 미 의원 ""美, 친구 대하는 법 끔찍한 장면으로 보여줘""
톰 수오지(민주·뉴욕) 하원의원은 19일(현지시간) 뉴욕시 퀸스 더글라스턴의 지역구 사무실에서 기자회견을 열고 'E-3' 전문직 비자 쿼터에 한국을 추가하는 내용의 법안을 재발의했다고 밝혔다. 회견 후 수오지 의원(오른쪽 네번째)과 한인단체 관계자들이 기념 촬영을 하고 있다. 연합뉴스
미국 조지아주 현대차그룹-LG에너지솔루션 합작 배터리공장 건설 현장에서 한국인 300여명이 이민당국에 체포·구금됐다가 풀려난 사태와 관련해 한국인을 대상으로 한 전문직 취업비자를 신설하는 법안이 미국 의회에서 추가로 발의됐다.
19일(현지시간) 톰 수오지(민주·뉴욕) 하원의원은 'E-3' 전문직 비자 쿼터에 한국을 추가하는 내용의 법안을 재발의했다고 밝혔다.
새 법안은 호주 국적 전문직을 위해 마련된 E-3 비자에 한국 국적자를 추가하는 내용을 담았다.
호주는 지난 2004년 미국과 자유무역협정(FTA)을 체결하면서 별도 입법을 통해 매년 1만500개의 전문직 비자(E-3) 쿼터를 확보했지만, 해마다 비자 쿼터를 다 채우지 못하고 있다.
수오지 의원은 지난해에도 같은 내용을 담은 법안을 연방 하원에 발의했지만 법안 논의에 진전을 보이지 못한 채 폐기됐다.
수오지 의원은 회견에서 ""우리 모두 얼마 전 조지아주에서 일어난 현대차-LG엔솔 공장에 대한 급습 소식을 들었다""며 ""이는 미국이 좋은 친구를 어떻게 대하는지를 시각적으로 매우 끔찍한 장면으로 보여줬다""라고 법안 재발의 배경을 설명했다.
이날 회견에 참석한 김민선 미주한인이민사박물관장은 ""한국은 미국의 가장 강력한 동맹국이자 최대 투자국 중 하나""라며 ""이 법안의 해결책은 양국 최선의 이익에 부합한다""라고 말했다.
한편 수오지 의원은 ""나와 뜻을 같이하는 의원으로 캘리포니아 출신 한국계 미국인인 영 김 의원(공화·캘리포니아)이 있다""며 김 의원이 이날 발의된 법안의 공동 발의자로 참여했음을 알렸다.
현재 미 연방 하원에는 지난 7월 김 의원 발의로 연간 최대 1만5천개의 한국인 전문직 취업비자(E-4)를 발급하는 것을 골자로 하는 유사 법안이 계류된 상태다.
앞서 미 의회조사국(CRS)은 지난 12일 한미관계를 업데이트한 보고서에서 조지아주 공장 구금 사태가 한미관계에 악영향 요인으로 작용하고 있다고 분석하면서 하원에 계류된 김 의원의 법안에 대해 ""한국 국적자에 대한 고숙련 비자를 제공할 수 있다""고 평가한 바 있다.",한인구금
문화일보,‘美구금됐던한인직원들 뭐하고 있었나 보니’…“배터리 생산 보정...,네이버뉴스,https://n.news.naver.com/mnews/article/021/0002737895?sid=104,,문화일보,‘美 구금됐던 한인 직원들 뭐하고 있었나 보니’…“배터리 생산 보정 및 테스트 작업 중”,"연합뉴스
미국 조지아주 엘러벨의 현대차그룹-LG에너지솔루션 배터리 합작공장 건설 현장에서 체포돼 구금됐었던 한국인 300여 명은 체포 당시 현지 공장 생산기술에 대한 최종 보정 작업을 진행하고 있었던 것으로 알려졌다.
호세 무뇨스 현대차 사장은 18일(현지시간) 미국 뉴욕에서 개최된 ‘최고경영자(CEO) 인베스터 데이’ 행사에서 “구금됐던 근로자들 중 다수가 현대차 운영을 지원하는 조지아 공장에서 첨단 배터리 생산기술의 최종 보정 및 테스트 작업을 담당하고 있었다”라고 말했다. 무뇨스 사장은 “협력업체 직원들이 억류된 것으로 인해 직원들과 가족들이 겪었을 스트레스와 어려움을 이해하며, 그들이 안전하게 한국으로 돌아간 것에 안도하고 있다”라며 “한·미가 단기출장, 특히 전문 기술 인력에 대한 상호 유익한 해결책을 도출하기를 희망한다”라고 밝혔다.
무뇨스 사장은 현대차가 미국에서 오랜 시간 함께 해 오고 있다고 강조했다. 무뇨스 사장은 “현대차는 지난 40년간 미국 사회의 일부였고, 조지아주에서는 15년 이상 사업을 운영해왔다”며 “특히, 조지아주 신규 공장은 조지아 주 역사상 최대 규모의 경제 개발 프로젝트로, 수천 가구에 장기적인 경제적 혜택을 제공하면서 지역 변화에 기여하고 있다”고 강조했다. 그러면서 무뇨스 사장은 “현대차그룹 메타플랜트 아메리카(HMGMA)가 앞으로도 현대차의 미래에서 중요한 역할을 할 것”이라고 말했다.",한인구금
이데일리,"김병기 ""조지아주구금사태, 무너진 공직기강이 초래한 인재""",네이버뉴스,https://n.news.naver.com/mnews/article/018/0006118573?sid=100,,이데일리,"김병기 ""조지아주 구금사태, 무너진 공직기강이 초래한 인재""","""재발방지책 확실하게 마련하겠다""
[이데일리 박종화 기자] 김병기 더불어민주당 원내대표가 미국 조지아주 한인 노동자 구금사태를 공직기강 해이 탓으로 돌리며 기강 확립을 강조했다.
김병기 더불어민주당 원내대표.(사진=연합뉴스)
김 원내대표는 18일 열린 당 정책조정회의에서 “조지아주 구금 사태는 무너진 공직기강과 무사안일의 행정이 초래한 인재(人災)”라며 “거듭된 호소와 문제 제기에도 불구하고 구하고 관련 부처들은 사실상 손을 놓고 있었다”고 비판했다. 그는 “비자문제 때문에 수백 명의 우리 근로자들이 체포 구금되는 사태가 벌어진 것이다. 이번 사태는 우리 기업들의 대미 투자 계획과 한미 관세 협상에도 영향을 주고 있다”며 “하루빨리 공직 기강부터 제도까지 모든 것을 바로잡아야 한다”고 말했다.
미국 이민 당국은 비자 조건 위반 등을 이유로 이달 초 현대차그룹-LG에너지솔루션 합작 배터리 공장 건설현장에서 일하던 한인 노동자 300여 명을 체포·구금했다. 정부는 미국 측과 협상을 통해 11일 구금됐던 한인 노동자들을 귀국시켰다.
김 원내대표는“민주당은 올해 국정감사에서 상임위원회를 중심으로 관련 부처들이 안일하게 대응한 책임을 묻겠다. 정권 교체 이후에도 같은 잘못이 반복되고 있는지 세밀하게 살펴보겠다”며 “기업과 현장의 목소리를 경청하고 재발 방지책을 확실하게 마련하도록 하겠다”고 했다.
한편 김 원내대표는 “특검 수사에서 국토교통부가 인수위원회 관심 사항이라며 용역사를 압박한 사실이 확인됐다”며 “국토부는 국민 세금이 투입되는 국책 사업을 윤석열·김건희의 눈치를 보며 제멋대로 변경한 것”이라고 했다. 그는 “공권력을 개인과 가족의 사익 추구에 악용한 것으로 명백한 국정 농단”이라며 “특검은 김건희 국정농단의 진상을 한 점 의혹 없이 철저하게 규명해야 한다. 국회와 국민을 우롱한 국토부의 국정농단 가담자들에게는 반드시 합당한 법적 책임을 물어야 한다”고 말했다.",한인구금
디지털타임스,與초선모임 “동맹 신뢰 훼손”…美에 ‘구금사태 사과’ 공식 요구,네이버뉴스,https://n.news.naver.com/mnews/article/029/0002982720?sid=100,,디지털타임스,與초선모임 “동맹 신뢰 훼손”…美에 ‘구금사태 사과’ 공식 요구,"“노동자, 범죄자처럼 끌려가 안전 보장 못 받아”
한미관세협상에도 목소리 “자유무역 원칙 역행”
불합리한 관세 부과 중단 요청
더불어민주당 초선 의원들이 17일 서울 여의도 국회 소통관에서 미국 근로자 구금 사태 및 관세 협상 관련 기자회견을 하고 있다. [연합뉴스]
더불어민주당 초선 의원 모임인 ‘더민초’가 미국을 향해 ‘조지아주 한인 구금사태’에 대한 공식 사과를 요구했다.
더민초는 17일 국회에서 기자회견을 열고 “(한인 구금사태 관련) 동맹국 국민을 모욕적이고 비인도적인 방식으로 대우한 건 단순한 법 집행 문제가 아니라 동맹에 대한 신뢰를 훼손할 수도 있는 심각한 외교적 사건”이라며 “결코 가볍게 넘길 문제가 아니다”라고 강조했다.
이어 “얼마 전 미국에서 합법적인 비자를 소지하고 입국한 한국 노동자들이 정당한 사유 없이 대규모로 체포되고 구금되는 사건이 발생했다”며 “이들은 범죄자처럼 수갑과 족쇄가 채워진 채 끌려갔고 열악한 구금 시설에서 기본적인 위생과 안전조차 보장받지 못했다”고 지적했다.
더민초는 미국에 △공식 사과와 책임 인정 △제도적 개선을 위한 약속 △재발방지 장치 마련 등을 요구했다. 미국 정부가 동맹국 국민이 겪은 모욕과 인권 침해를 사과해야 한다는 의견이다. 비자 제도와 법 집행 지침 역시 제도적으로 개선해야 한다고 전했다. 또 향후 유사사태가 발생하지 않도록 국민 보호를 제도적으로 보장해야 한다고 부연했다.
더민초는 한미관세협상에 대해서도 목소리를 냈다. 이들은 “미국은 자국 산업 보호라는 명분으로 한국산 자동차와 주요 제품들에 대한 관세 부과를 강화하려 한다”며 “이는 자유무역 원칙을 역행하고 한국 기업의 글로벌 경쟁력을 위협하는 조치”라고 말했다.
그러면서 “한미동맹의 절대적 가치에 주목하고 있다”며 “지금 필요한 건 동맹을 해치지 않고 국민 삶과 산업 경쟁력을 지킬 수 있는 국익 최우선 협상이다. 이는 이재명 대통령의 국익 우선 실용외교와 맥을 같이 하고 있다”고 했다.
더민초는 관세협상과 관련해선 미국에 △자동차·철강·농산품 등에 대한 불합리한 관세 부과 중단 △환경 규제 등 무역 장벽 제도 개선 △한국이 얻을 수 있는 이익 보장 등을 요구했다.",한인구금
디지털타임스,"與 초선들, 美정부에한인 구금사태 사과 요구",네이버뉴스,https://n.news.naver.com/mnews/article/029/0002982720?sid=100,,디지털타임스,與초선모임 “동맹 신뢰 훼손”…美에 ‘구금사태 사과’ 공식 요구,"“노동자, 범죄자처럼 끌려가 안전 보장 못 받아”
한미관세협상에도 목소리 “자유무역 원칙 역행”
불합리한 관세 부과 중단 요청
더불어민주당 초선 의원들이 17일 서울 여의도 국회 소통관에서 미국 근로자 구금 사태 및 관세 협상 관련 기자회견을 하고 있다. [연합뉴스]
더불어민주당 초선 의원 모임인 ‘더민초’가 미국을 향해 ‘조지아주 한인 구금사태’에 대한 공식 사과를 요구했다.
더민초는 17일 국회에서 기자회견을 열고 “(한인 구금사태 관련) 동맹국 국민을 모욕적이고 비인도적인 방식으로 대우한 건 단순한 법 집행 문제가 아니라 동맹에 대한 신뢰를 훼손할 수도 있는 심각한 외교적 사건”이라며 “결코 가볍게 넘길 문제가 아니다”라고 강조했다.
이어 “얼마 전 미국에서 합법적인 비자를 소지하고 입국한 한국 노동자들이 정당한 사유 없이 대규모로 체포되고 구금되는 사건이 발생했다”며 “이들은 범죄자처럼 수갑과 족쇄가 채워진 채 끌려갔고 열악한 구금 시설에서 기본적인 위생과 안전조차 보장받지 못했다”고 지적했다.
더민초는 미국에 △공식 사과와 책임 인정 △제도적 개선을 위한 약속 △재발방지 장치 마련 등을 요구했다. 미국 정부가 동맹국 국민이 겪은 모욕과 인권 침해를 사과해야 한다는 의견이다. 비자 제도와 법 집행 지침 역시 제도적으로 개선해야 한다고 전했다. 또 향후 유사사태가 발생하지 않도록 국민 보호를 제도적으로 보장해야 한다고 부연했다.
더민초는 한미관세협상에 대해서도 목소리를 냈다. 이들은 “미국은 자국 산업 보호라는 명분으로 한국산 자동차와 주요 제품들에 대한 관세 부과를 강화하려 한다”며 “이는 자유무역 원칙을 역행하고 한국 기업의 글로벌 경쟁력을 위협하는 조치”라고 말했다.
그러면서 “한미동맹의 절대적 가치에 주목하고 있다”며 “지금 필요한 건 동맹을 해치지 않고 국민 삶과 산업 경쟁력을 지킬 수 있는 국익 최우선 협상이다. 이는 이재명 대통령의 국익 우선 실용외교와 맥을 같이 하고 있다”고 했다.
더민초는 관세협상과 관련해선 미국에 △자동차·철강·농산품 등에 대한 불합리한 관세 부과 중단 △환경 규제 등 무역 장벽 제도 개선 △한국이 얻을 수 있는 이익 보장 등을 요구했다.",한인구금
뉴시스,"국회, 외교·통일·안보 분야 대정부 질문…'美구금사태'·관세 협상 ...",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013483612?sid=100,,뉴시스,"국회, 외교·통일·안보 분야 대정부 질문…'美 구금 사태'·관세 협상 등 쟁점","민주 ""내란 청산에 최선…軍 내 내란 종식 문제 물을 것""
국힘 ""한미관세 협상, 외교 참사…한인 구금 사태 등 질의""
[서울=뉴시스] 고승민 기자 = 박성준 더불어민주당 의원과 김민석 국무총리가 15일 서울 여의도 국회에서 열린 제429회 국회(정기회) 제5차 본회의 '정치에 관한 질문'에서 질답을 잇고 있다. 2025.09.15. kkssmm99@newsis.com
[서울=뉴시스] 남정현 기자 = 국회는 16일 외교·통일·안보 분야 대정부질문을 실시한다. 여야는 '내란 종식' '미 조지아주 한인 구금 사태', 한미 관세 협상 등을 놓고 공방을 벌일 것으로 예상된다.
민주당은 윤석열 정부 시절 드론 도발 등 외환죄 논란을 집중 부각하면서 내란 종식 프레임을 이어갈 전망이다.
이날 질의에 나서는 한 의원은 뉴시스와의 통화에서 ""군 내 내란종식의 문제, 신상필벌이 있어야 한다""며 ""앞으로 내란이라든지 쿠데타에 군이 참여할 수 없는 제도적 장치를 마련하는 데 방점을 둘 것""이라고 말했다.
한정애 민주당 정책위의장은 지난 14일 국회 기자간담회에서 ""내란 종식이 대한민국의 정상화""라며 ""우리 당은 내란 청산 그리고 끊임없는 개혁, 미래를 위한 성장 동력 확보 차원에서 최선을 다해 임하겠다""고 말했다.
국민의힘은 미국 조지아주 한인 구금 사태와 대미 외교 및 한미 관세 협상 등 현 정부 출범 이후 외교·안보 현안을 집중 지적할 것으로 보인다.
국민의힘 관계자는 뉴시스와의 통화에서 ""한미관세 협상을 사실상 '외교 참사'로 보고 있고 지금도 손을 놓고 있다""며 ""조지아주 구금 사태, 현 정부의 대북관, 군 내 무너지는 안보 관련 내용도 물을 예정""이라고 말했다.
최수진 국민의힘 원내수석대변인은 14일 국회에서 기자들과 만나 ""내란특별재판부 또는 사법부 해체 등 다양한 이슈들이 많다""며 ""관세 문제, 미국과의 외교 문제도 있다. 이런 것들에 대해 명명백백히 밝혀낼 생각""이라고 했다.
더불어민주당에서는 이인영, 민홍철, 김영배, 부승찬, 김병주, 박선원(질의순) 의원이 질의에 나설 예정이다. 국민의힘에서는 배준영, 김건, 김승수, 박충권(질의순) 의원이 질의에 참여한다. 윤종오 진보당 원내대표도 이날 질의에 나선다.
정부에서는 김민석 국무총리를 비롯해 조현 외교부 장관, 정동영 통일부 장관, 안규백 국방부 장관 등이 참석한다.
국회는 17일 경제, 18일 교육·사회·문화 분야에 대한 대정부질문을 각각 진행할 예정이다．",한인구금
