press,title,naver_news_text,naver_news_url,body
뉴시스,"3차관세협상 워싱턴, 환율은 G7서…미일 이번 주 '투트랙' 협의",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013253835?sid=104,
한국일보,트럼프관세폭탄 터졌다...자동차미국수출 20% 폭락,네이버뉴스,https://n.news.naver.com/mnews/article/469/0000865728?sid=101,
한국일보,트럼프관세충격 현실로...대미 자동차 수출액 20% 줄었다,네이버뉴스,https://n.news.naver.com/mnews/article/469/0000865728?sid=101,
한경비즈니스,'트럼프관세' 영향 본격화…4월 대미 자동차 수출 19.6% 감소,네이버뉴스,https://n.news.naver.com/mnews/article/050/0000091073?sid=101,
연합뉴스,'트럼프관세' 영향 본격화…4월 대미 차 수출 20% 급감,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015399456?sid=101,
SBS,'25%관세쇼크' 4월 대미 자동차 수출 20% 급감…타격 '본격화',네이버뉴스,https://n.news.naver.com/mnews/article/055/0001259465?sid=101,
한국경제,"캐즘·美관세'이중 방지턱'에…현대차, 아이오닉 5 생산 또 중단",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005134395?sid=101,
부산일보,'미관세' 영향 본격화…4월 대미 자동차 수출 19.6% 급감,네이버뉴스,https://n.news.naver.com/mnews/article/082/0001326592?sid=101,
부산일보,트럼프發 '관세충격'…4월 대미 자동차 수출 20% 급감,네이버뉴스,https://n.news.naver.com/mnews/article/082/0001326592?sid=101,
국제신문,'관세충격' 현실로...4월 대미 자동차 수출 급감,네이버뉴스,https://n.news.naver.com/mnews/article/658/0000107648?sid=101,
YTN,'관세충격' 현실로...4월 대미 자동차 수출 급감,네이버뉴스,https://n.news.naver.com/mnews/article/052/0002195723?sid=101,
YTN,'車관세쇼크' 현실화…자동차미국수출 '20%' 급감,네이버뉴스,https://n.news.naver.com/mnews/article/052/0002195659?sid=101,
뉴시스,전기차 캐즘에 25%관세까지 4월 대미 車 수출 20% '뚝',네이버뉴스,https://n.news.naver.com/mnews/article/003/0013253039?sid=101,
뉴시스,美관세조치에 4월 대미 자동차 수출 20%↓…생산량도 2.2% 감소,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013253039?sid=101,
서울경제,"美관세타깃 된 베트남, '트럼프 타워' 짓는 이유는[글로벌 왓]",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004487494?sid=104,
서울경제,"트럼프家, 대통령은관세협상·차남은 호치민에 ‘트럼프 타워’ 건설...",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004487494?sid=104,
SBS,트럼프발관세현실화하나…국내 차 업계 '가격 인상·수출 감소' 우려,네이버뉴스,https://n.news.naver.com/mnews/article/055/0001259597?sid=101,
한국경제,"다이먼의 경고…""시장이관세·지정학 위험 과소평가""",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005134332?sid=104,
이코노미스트,韓美 '25%관세·비관세장벽' 실무 협상 돌입…워싱턴서 국장급 협의,네이버뉴스,https://n.news.naver.com/mnews/article/243/0000078264?sid=101,
이코노미스트,대선 전 마지막 한미 대면협의…'미관세청구서' 주목,네이버뉴스,https://n.news.naver.com/mnews/article/243/0000078264?sid=101,
연합뉴스TV,"한미, 워싱턴서 20∼22일관세실무협의…韓 대표단 방미",네이버뉴스,https://n.news.naver.com/mnews/article/422/0000742262?sid=101,
중앙일보,"한미, 워싱턴서 20∼22일관세실무협의…韓 대표단 방미",네이버뉴스,https://n.news.naver.com/mnews/article/025/0003442154?sid=101,
이데일리,美관세여파 4월 車 대미수출 20% ‘뚝’…전체 수출·생산도 감소,네이버뉴스,https://n.news.naver.com/mnews/article/018/0006018897?sid=101,
