press,title,naver_news_text,naver_news_url,body
서울경제,"트럼프, 日 이어 유럽 자동차관세도 15% 확정…한국만 25%",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004537207?sid=104,
서울경제,"韓만 車관세25% 폭탄…美, 일본 이어 EU도 15%로 인하",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004537207?sid=104,
아시아경제,"美, 일본 이어 유럽車관세도 15%…한국은 계속 25%",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005657238?sid=104,
SBS Biz,일본 이어 유럽도미국자동차관세27.5→15%… 25% 한국 가격 경쟁력 ...,네이버뉴스,https://n.news.naver.com/mnews/article/374/0000465447?sid=104,
한국일보,"美, 日 이어 유럽車관세15% 확정... 한국만 ‘25% 고율관세’",네이버뉴스,https://n.news.naver.com/mnews/article/469/0000889134?sid=104,
조선일보,"美, 일본 이어 유럽車관세도 15%… 한국은 계속 25%",네이버뉴스,https://n.news.naver.com/mnews/article/023/0003931137?sid=104,
조선일보,"美, 유럽산 자동차관세15%로 확정…한국은 25% 유지",네이버뉴스,https://n.news.naver.com/mnews/article/023/0003931137?sid=104,
이데일리,"미국, EU산 자동차관세25→15%로 인하…한국은 25% 유지",네이버뉴스,https://n.news.naver.com/mnews/article/018/0006124397?sid=101,
이데일리,"미국, 일본 이어 EU에도 자동차관세15% 확정",네이버뉴스,https://n.news.naver.com/mnews/article/018/0006124397?sid=101,
중앙일보,"미, EU 무역합의 이행… 자동차·부품 15%관세8월1일 자로 소급 적용",네이버뉴스,https://n.news.naver.com/mnews/article/025/0003471787?sid=104,
머니S,"美, 日이어 EU 車관세15%로 인하…韓은 협정 교착 속 25% 유지",네이버뉴스,https://n.news.naver.com/mnews/article/417/0001103549?sid=104,
조세일보,"트럼프, EU 자동차·부품 15%관세공식 시행…8월 1일부터 소급적용",네이버뉴스,https://n.news.naver.com/mnews/article/123/0002368874?sid=104,
뉴시스,"부품사 파업에관세리스크까지…현대차, 부담 커진다",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013505455?sid=101,
뉴시스,美서 고립된 현대차·기아… 국내선 파업 민낯,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013505455?sid=101,
세계일보,美 2분기 GDP 성장률 확정치 3.8%…관세우려에도 지표 견조,네이버뉴스,https://n.news.naver.com/mnews/article/022/0004071257?sid=104,
한국경제,"美, 로봇·산업기계 안보영향 조사 착수…관세 부과가능성",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005189790?sid=104,
한국경제,"美, 로봇·산업기계 안보영향 조사 착수…관세부과가능성",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005189790?sid=104,
연합뉴스,"미국, 로봇·산업기계도 품목별관세 부과하나···상무부 “조사 착수...",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015647393?sid=104,
경향신문,산업기계·주사기·마스크도 美관세폭탄 사정권,네이버뉴스,https://n.news.naver.com/mnews/article/032/0003398841?sid=101,
서울경제,"美, 로봇·산업기계·의료 장비 국가안보 조사 착수…관세 부과가능성",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004537627?sid=101,
뉴스1,유럽車도 美관세15% 확정…'벤츠보다 비싼' 제네시스 현실화,네이버뉴스,https://n.news.naver.com/mnews/article/421/0008508815?sid=103,
조선비즈,"美, 日 이어 유럽車관세15% 확정... 한국만 ‘나 홀로 25% 고관세’",네이버뉴스,https://n.news.naver.com/mnews/article/366/0001110748?sid=104,
조선비즈,한국만 ‘25%’ 족쇄...日 이어 유럽車도 ‘15%’관세확정,네이버뉴스,https://n.news.naver.com/mnews/article/366/0001110748?sid=104,
매경이코노미,EU도 합의…한국만 남은 25% 車관세,네이버뉴스,https://n.news.naver.com/mnews/article/024/0000100152?sid=101,
노컷뉴스,"창원시-경남은행, 美관세정책 대응 수출기업 긴급 금융지원",네이버뉴스,https://n.news.naver.com/mnews/article/079/0004070286?sid=102,
노컷뉴스,"창원시, 美관세정책 대응 수출기업 긴급 지원",네이버뉴스,https://n.news.naver.com/mnews/article/079/0004070286?sid=102,
뉴시스,"창원시, 美관세정책 대응 긴급 금융 지원",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013506029?sid=102,
한스경제,"창원시, 대미관세피해 중소기업 긴급 금융지원 나선다",,,
한국경제TV,현대차만 25%관세…미 수출 선박 반토막,네이버뉴스,https://n.news.naver.com/mnews/article/215/0001225299?sid=101,
