press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,‘APECD-30일’…경주시민 3000명 성공개최 결의대회,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013516409?sid=102,,뉴시스,‘APEC D-30일’…경주시민 3000명 성공개최 결의대회,"‘APEC 성공개최' 경주 범시민실천결의대회
[경주=뉴시스] 이은희 기자 = 경북 경주시는 APEC 정상회의를 한 달 앞두고 범시민실천결의대회를 열었다고 30일 밝혔다.
이날 실내체육관에서 시민 3000명이 모인 가운데 10대 실천 과제를 공유하고 APEC의 주인으로서 손님맞이와 지속 가능한 경주발전에 힘을 모으기로 했다.
주낙영 시장과 김석기 국회의원, 이동협 경주시의회 의장, 최병준·배진석 경북도의회 부의장, 시도의원, APEC 범시도민지원협의회, 자원봉사자, 시민단체 등이 참석했다.
행사에서 범시도민지원협의회 공동회장이 실천 결의문을 낭독하고 APEC 유치 활동과 확정, 준비 과정까지 여정을 담은 영상을 상영했다.
또 성공개최를 염원하는 퍼포먼스를 펼치고 한목소리로 구호를 외치며 의지를 다졌다.
'APEC 정상회의 성공개최' 경주 범시민실천결의대회 퍼포먼스
시민들은 품격 있는 세계시민, 친절한 미소와 배려, 청결한 도시 환경, 안전한 도시, 정직한 서비스, 다양한 문화 존중 등을 실천하기로 했다.
주낙영 시장은 “이번 APEC은 경주와 대한민국의 미래가 세계와 만나는 무대로, 그 주인공이 바로 시민들”이라며, “남은 기간 한마음 한뜻으로 준비해 세계가 감동하는 K-APEC, 역대 가장 아름답고 성공적인 초격차 APEC이 되도록 하자”고 강조했다．",경주APEC
뉴시스,"경주시,APEC정상회의 성공개최 의지 다져",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013516409?sid=102,,뉴시스,‘APEC D-30일’…경주시민 3000명 성공개최 결의대회,"‘APEC 성공개최' 경주 범시민실천결의대회
[경주=뉴시스] 이은희 기자 = 경북 경주시는 APEC 정상회의를 한 달 앞두고 범시민실천결의대회를 열었다고 30일 밝혔다.
이날 실내체육관에서 시민 3000명이 모인 가운데 10대 실천 과제를 공유하고 APEC의 주인으로서 손님맞이와 지속 가능한 경주발전에 힘을 모으기로 했다.
주낙영 시장과 김석기 국회의원, 이동협 경주시의회 의장, 최병준·배진석 경북도의회 부의장, 시도의원, APEC 범시도민지원협의회, 자원봉사자, 시민단체 등이 참석했다.
행사에서 범시도민지원협의회 공동회장이 실천 결의문을 낭독하고 APEC 유치 활동과 확정, 준비 과정까지 여정을 담은 영상을 상영했다.
또 성공개최를 염원하는 퍼포먼스를 펼치고 한목소리로 구호를 외치며 의지를 다졌다.
'APEC 정상회의 성공개최' 경주 범시민실천결의대회 퍼포먼스
시민들은 품격 있는 세계시민, 친절한 미소와 배려, 청결한 도시 환경, 안전한 도시, 정직한 서비스, 다양한 문화 존중 등을 실천하기로 했다.
주낙영 시장은 “이번 APEC은 경주와 대한민국의 미래가 세계와 만나는 무대로, 그 주인공이 바로 시민들”이라며, “남은 기간 한마음 한뜻으로 준비해 세계가 감동하는 K-APEC, 역대 가장 아름답고 성공적인 초격차 APEC이 되도록 하자”고 강조했다．",경주APEC
스포츠동아,APEC정상회의 개최경주서 범시민결의대회…3000여명 참가,네이버뉴스,https://n.news.naver.com/mnews/article/382/0001227298?sid=102,,스포츠동아,"경주시, APEC 정상회의 성공개최 의지 다져","주낙영 경주시장이 ‘2025년 APEC 정상회의 성공개최 범시민실천결의대회’에서 인사말을 하고 있다. 사진제공 ㅣ 경주시
범시민실천결의대회 성황리에 개최
경주시가 2025년 APEC 정상회의 개막을 한 달 앞두고 성공 개최를 위한 범시민적 의지를 모았다.
시는 30일 경주실내체육관에서 ‘2025년 APEC 정상회의 성공개최 범시민실천결의대회’를 열고 시민과 함께 APEC의 의미를 되새겼다고 밝혔다. 이날 행사에는 APEC 범시도민지원협의회(공동회장 박몽룡·이상걸) 회원을 비롯해 유관기관, 시민단체, 자원봉사자 등 3천여 명의 시민이 참석해 열띤 분위기를 이뤘다.
주낙영 경주시장을 비롯해 김석기 국회 외교통일위원장, 이동협 경주시의회 의장, 최병준 경북도의회 부의장 등 시·도의원 전원이 참석해 손님맞이 실천을 다짐하며 성공 개최를 향한 열기를 북돋았다. 행사장에는 시민단체들이 자체 제작한 손님맞이 실천 현수막이 걸려 있어 시민 참여 의지를 생생히 보여주었다.
2025년 APEC 정상회의 성공개최 범시민실천결의대회 퍼포먼스가 펼쳐지고 있다. 사진제공 ㅣ 경주시
본행사에 앞서 참석자들은 ‘APEC 시민 10대 실천과제’를 함께 되새기며 성숙한 시민의식과 지속가능한 경주를 만들어가자는 공감대를 형성했다. 이어 APEC 유치 도전과 개최 준비 과정을 담은 영상과 시민 응원 메시지가 상영됐으며, 홀로그램과 미디어아트를 활용한 성공 퍼포먼스, 시민 구호 제창으로 분위기를 고조시켰다.
특히 범시도민지원협의회 회장단은 실천결의문을 낭독하며 “APEC 정상회의의 성공은 경주와 대한민국의 새로운 미래를 밝히는 역사적 순간임을 인식하고, 경주의 품격과 가치를 세계에 알리겠다”고 선언했다. 결의문에는 친절한 손님맞이, 청결한 도시 환경 조성, 기초질서 준수, 정직한 서비스 제공, 다양한 문화 존중 등 핵심 과제가 담겼다.
주낙영 경주시장은 “이번 APEC 정상회의는 경주와 대한민국의 미래가 세계와 만나는 무대”라며 “시민 모두가 한마음으로 준비해 세계가 감동하는 K-APEC, 가장 성공적인 초격차 APEC으로 기억될 수 있도록 힘을 모아 달라”고 강조했다.
경주 ㅣ나영조 스포츠동아 기자 localdk@donga.com",경주APEC
뉴스1,"경주시,APEC한 달 앞두고 3000명 시민 성공개최 열기 담았다",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008518633?sid=102,,뉴스1,APEC 정상회의 개최 경주서 범시민결의대회…3000여명 참가,"주낙영 시장 ""세계가 기억할 역대 최고 회의 만들 것""
APEC 정상회의장인 경북 경주시 화백컨밴션센터에서 회의장과 국제미디어센터 등의 마무리 공사가 한창이다.2025.9.24/뉴스1 ⓒ News1 최창호 기자
(경주=뉴스1) 최창호 기자 = APEC 정상회의 개막 한달을 앞두고 30일 경북 경주시 실내체육관에서 성공 개최를 다짐하는 범시민실천결의대회가 열렸다.
APEC 범시도민지원협의회와 기관·시민단체 회원, 자원봉사자, 시민 등 3000여명은 이날 ""역대 최고 행사를 만드는데 힘을 보태자""며 의지를 다졌다.
참가자들은 '시민 10대 실천 과제'를 되새기며 ""모든 시민이 APEC의 주인으로 행동할 때 시민의식과 지속가능한 경주를 만들 수 있다""는데 공감했다.
이들은 품격있는 세계 시민으로서의 자세, 친절한 미소와 배려가 담긴 손님맞이, 청결한 도시 환경 조성, 기초질서 준수로 안전한 도시 실현, 정직한 서비스로 신뢰받는 도시를 만드는 실천 결의문을 낭독하며 ""경주를 세계에 알리는데 앞장설 것""을 선언했다.
주낙영 경주시장은 ""APEC 정상회의는 경주와 대한민국의 미래가 세계와 만나는 무대이며, 주인공이 바로 경주 시민들""이라며 ""남은 한달 동안 시민 모두 한마음 한뜻으로 준비한다면 세계가 감동하는 K-APEC, 역대 가장 아름답고 성공적인 초격차 APEC으로 기억될 것""이라고 말했다.",경주APEC
한국경제,APEC한 달 앞으로…경주시 시민과 함께 성공 개최 다짐,네이버뉴스,https://n.news.naver.com/mnews/article/015/0005192203?sid=102,,한국경제,"경주시, APEC 한 달 앞두고 3000명 시민 성공개최 열기 담았다","경주시가 2025년 APEC 정상회의 개막을 한 달 앞두고 시민의 힘을 하나로 모아 성공개최 의지를 다졌다.
시는 30일 경주실내체육관에서 ‘2025년 APEC 정상회의 성공개최 범시민실천결의대회’를 성황리에 개최했다고 밝혔다.
이번 행사에는 APEC 범시도민지원협의회(공동회장 박몽룡·이상걸) 소속 회원을 비롯해 유관기관, 시민단체, 자원봉사자 등 경주시민 3000여 명이 참석해 시민과 함께하는 APEC의 진정한 의미를 되새겼다.
특히 주낙영 경주시장을 비롯해 김석기 국회 외교통일위원장, 이동협 경주시의장, 최병준 경북도의회 부의장을 비롯해 시·도의원 전원이 참석해 시민과 함께 손님맞이 실천 결의를 다지고 성공 개최를 향한 열기를 더했다.
행사장 내부에는 시민단체들이 자체 제작한 손님맞이 실천 결의 현수막이 곳곳에 걸려 있어, APEC 성공개최를 향한 시민들의 뜨거운 참여 의지를 생생하게 보여주었다.
본행사에 앞서 참석자들은 ‘APEC 시민 10대 실천과제’를 함께 되새기며, 모든 시민이 APEC의 주인으로서 행동할 때 성숙한 시민의식과 지속가능한 경주를 만들어 갈 수 있다는 공감대를 형성했다.
이어 APEC 유치 도전부터 개최 준비까지의 여정을 담은 추진 경과 영상과 각계각층 시민들의 응원 메시지 영상이 상영되며 분위기를 고조시켰다.
또한 홀로그램과 미디어아트를 활용한 성공개최 퍼포먼스, 시민 구호 제창으로 범시민 실천 결의의 의미를 한층 끌어올렸다.
행사의 하이라이트인 실천결의문 낭독에서는 범시도민지원협의회 회장단이 시민 대표로 나서 “APEC 정상회의의 성공이 경주와 대한민국의 새로운 미래를 밝히는 역사적 순간임을 깊이 인식하고, 시민과 함께 경주의 품격과 가치를 세계에 알리는 데 앞장설 것”을 선언했다.
실천결의문에는 △품격 있는 세계 시민으로서의 자세 △친절한 미소와 배려가 담긴 손님맞이 △청결한 도시 환경 조성 △기초질서 준수로 안전한 도시 실현 △정직한 서비스로 신뢰받는 도시 △다양한 문화를 존중하는 열린 도시 조성 등 APEC 성공개최를 위한 손님맞이 실천 핵심과제가 담겼다.
주낙영 경주시장은 “이번 APEC 정상회의는 경주와 대한민국의 미래가 세계와 만나는 무대로, 그 주인공이 바로 시민 여러분”이라며, “남은 한 달동안 시민 모두가 한마음 한뜻으로 준비한다면 세계가 감동하는 K-APEC, 역대 가장 아름답고 성공적인 초격차 APEC으로 세계에 기억 될 것”이라고 밝혔다.
오경묵 기자",경주APEC
세계일보,경주서APEC기념 K-POP 콘서트 개최,네이버뉴스,https://n.news.naver.com/mnews/article/022/0004072419?sid=102,,세계일보,경주서 APEC 기념 K-POP 콘서트 개최,"10월 10일 KBS Kpop 유튜브로 생중계
입장권 NOL인터파크 통해 무료 배포
'2025 경주 아시아태평양경제협력체(APEC·에이펙) 정상회의'를 불과 한달여 앞두고 한국의 문화적 저력을 실감할 수 있는 K-POP 콘서트가 성대히 열린다.
경북도와 경주시, KBSN은 내달 10일 오후 6시 경주시민운동장에서 '2025 APEC 뮤직 페스타'를 연다고 30일 밝혔다.
2025 APEC 뮤직 페스타 포스터.  KBS N 제공
이번 공연에는 빌리(Billlie), 엔시티 위시(NCT WISH), 온앤오프(ONF), 원어스(ONEUS), 위아이(WEi), 유스피어(USPEER), 이즈나(izna), 킥플립(KickFlip), 하이키(H1-KEY), 하츠투하츠(Hearts2Hearts), 최예나, 정대현, 하성운 등이 출연한다.
공연 주관방송사인 KBSN은 KBS Kpop 유튜브를 통해 실시간으로 생중계한다.
또 다음 달 21일 오후 11시 10분 KBS2를 시작으로 KBSN, KBS 월드 채널을 통해 방영한다.
현장 공연 입장권은 30일 오후 5시부터 NOL인터파크를 통해 무료로 배포된다.
또 이번 APEC 음악축제의 특별 프로그램으로 '우먼 온 뮤직(WOM)'이 다음 달 24일 오후 5시 경주 보문호수 수상무대에서 마련된다.
약 90분간 진행되는 이 공연에는 한국, 중국, 일본, 러시아, 베트남 등 5개국 대표 여성 아티스트들이 총출동한다.
KBSN은 APEC 음악축제의 세부 프로그램과 관람 안내, 교통 및 안전대책 등을 앞으로 공식 채널을 통해 순차적으로 공개한다.
경주시 관계자는 ""2025 APEC 뮤직페스타는 단순한 콘서트를 넘어, 한국의 문화적 저력을 전 세계에 보여주는 장이 될 것""이라고 밝혔다.",경주APEC
세계일보,"""한국의 문화적 저력을 만난다""경주서APEC기념 K-POP 콘서트",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004072419?sid=102,,세계일보,경주서 APEC 기념 K-POP 콘서트 개최,"10월 10일 KBS Kpop 유튜브로 생중계
입장권 NOL인터파크 통해 무료 배포
'2025 경주 아시아태평양경제협력체(APEC·에이펙) 정상회의'를 불과 한달여 앞두고 한국의 문화적 저력을 실감할 수 있는 K-POP 콘서트가 성대히 열린다.
경북도와 경주시, KBSN은 내달 10일 오후 6시 경주시민운동장에서 '2025 APEC 뮤직 페스타'를 연다고 30일 밝혔다.
2025 APEC 뮤직 페스타 포스터.  KBS N 제공
이번 공연에는 빌리(Billlie), 엔시티 위시(NCT WISH), 온앤오프(ONF), 원어스(ONEUS), 위아이(WEi), 유스피어(USPEER), 이즈나(izna), 킥플립(KickFlip), 하이키(H1-KEY), 하츠투하츠(Hearts2Hearts), 최예나, 정대현, 하성운 등이 출연한다.
공연 주관방송사인 KBSN은 KBS Kpop 유튜브를 통해 실시간으로 생중계한다.
또 다음 달 21일 오후 11시 10분 KBS2를 시작으로 KBSN, KBS 월드 채널을 통해 방영한다.
현장 공연 입장권은 30일 오후 5시부터 NOL인터파크를 통해 무료로 배포된다.
또 이번 APEC 음악축제의 특별 프로그램으로 '우먼 온 뮤직(WOM)'이 다음 달 24일 오후 5시 경주 보문호수 수상무대에서 마련된다.
약 90분간 진행되는 이 공연에는 한국, 중국, 일본, 러시아, 베트남 등 5개국 대표 여성 아티스트들이 총출동한다.
KBSN은 APEC 음악축제의 세부 프로그램과 관람 안내, 교통 및 안전대책 등을 앞으로 공식 채널을 통해 순차적으로 공개한다.
경주시 관계자는 ""2025 APEC 뮤직페스타는 단순한 콘서트를 넘어, 한국의 문화적 저력을 전 세계에 보여주는 장이 될 것""이라고 밝혔다.",경주APEC
연합뉴스,APEC뮤직 페스타 10월경주서 개최…K팝 스타 총출동,네이버뉴스,https://m.entertain.naver.com/article/001/0015658631,"내달 10일 KBS Kpop 유튜브로 생중계…입장권 놀인터파크 통해 무료 배포
(경주=연합뉴스) 손대성 기자 = '2025 경주 아시아태평양경제협력체(APEC) 정상회의'를 앞두고 한국의 문화적 저력을 실감할 수 있는 K-POP 콘서트가 열린다.
경북도와 경주시, KBSN은 다음 달 10일 오후 6시 경주시민운동장에서 '2025 APEC 뮤직 페스타'를 연다고 30일 밝혔다.
이번 공연에는 빌리(Billlie), 엔시티 위시(NCT WISH), 온앤오프(ONF), 원어스(ONEUS), 위아이(WEi), 유스피어(USPEER), 이즈나(izna), 킥플립(KickFlip), 하이키(H1-KEY), 하츠투하츠(Hearts2Hearts), 최예나, 정대현, 하성운 등이 출연한다.
공연 주관방송사인 KBSN은 KBS Kpop 유튜브를 통해 실시간으로 중계한다.
또 다음 달 21일 오후 11시 10분 KBS2를 시작으로 KBSN, KBS 월드 채널을 통해 방영한다.
현장 공연 입장권은 30일 오후 5시부터 NOL인터파크를 통해 무료로 배포된다.
또 이번 APEC 음악축제의 특별 프로그램으로 '우먼 온 뮤직(WOM)'이 다음 달 24일 오후 5시 경주 보문호수 수상무대에서 마련된다.
약 90분간 진행되는 이 공연에는 한국, 중국, 일본, 러시아, 베트남 등 5개국 대표 여성 아티스트들이 출연한다.
KBSN은 APEC 음악축제의 세부 프로그램과 관람 안내, 교통 및 안전대책 등을 앞으로 공식 채널을 통해 순차적으로 공개한다.
행사 관계자는 ""2025 APEC 뮤직페스타는 단순한 콘서트를 넘어, 한국의 문화적 저력을 전 세계에 보여주는 장이 될 것""이라고 소개했다.",,,,경주APEC
매일경제,﻿경주서 열리는APEC정상회의 기념 공식 문화행사 ‘APECMUSIC FESTA’,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005567312?sid=101,,매일경제,APEC 뮤직 페스타 10월 경주서 개최…K팝 스타 총출동,"2025년 APEC 정상회의를 기념하는 대규모 K-POP 콘서트, ‘2025 APEC MUSIC FESTA’가 오는 10월 10일 금요일 경주시민운동장에서 개최된다.
대한민국이 APEC 의장국으로서 세계 각국 정상들과 외신 관계자들을 맞이하는 자리에서, 한국 대중문화를 함께 소개하는 공식 문화 행사다. ‘2025 APEC MUSIC FESTA’는 경상북도와 경주시가 공동 주최하고, 주관방송사인 KBS KBSN가 지역사회와 함께 준비한다.
이번 무대에는 Billlie(빌리), NCT WISH(엔시티 위시), YENA(최예나), ONF(온앤오프), ONEUS(원어스), WEi(위아이)를 비롯해 USPEER(유스피어), izna(이즈나), JUNG DAE HYUN(정대현), KickFlip(킥플립), HA SUNG WOON(하성운), H1-KEY(하이키), Hearts2Hearts(하츠투하츠) 등 다채로운 아티스트들이 출연한다.
현장의 열기는 991만 명의 구독자를 보유한 KBS Kpop 유튜브를 통해 실시간으로 느낄 수 있을 뿐 아니라 시차를 두고 방송을 통해서도 만날 수 있다.
오는 10월 21일 밤 11시 10분 KBS2를 시작으로, KBSN, KBS World 채널을 통해서 ‘APEC MUSIC FESTA’가 전 세계에 방영된다.
또한 이번 APEC 뮤직페스타의 특별 프로그램으로 ‘Woman On Music(WOM)’이 10월 24일 금요일 오후 5시 보문호수 수상무대에서 개최된다. 약 90분간 진행되는 이 무대에는 한국·중국·러시아·베트남 등 4개국의 대표 여성 아티스트들이 출연하여 미래 세대를 위한 희망의 메시지를 전달하여 APEC 정상회의 기간 중 국제적인 문화교류의 상징적인 무대가 될 것으로 기대된다.
관계자는 “2025 APEC 뮤직페스타는 단순한 콘서트를 넘어, 한국의 문화적 저력을 전 세계에 보여주는 장이 될 것”이라며 “APEC 정상회의의 핵심 키워드인 ‘연결, 혁신, 번영’을 문화의 언어로 풀어내는 무대로 만들기 위해 중앙정부, 지자체, 민간이 긴밀히 협력하고 있다”라고 말했다.
‘2025 APEC MUSIC FESTA’의 세부 프로그램, 관람 안내, 교통 및 안전 대책 등은 향후 공식 채널을 통해 순차적으로 공개될 예정이다.
한편, 경주에서는 같은 날인 10월 10일부터 12일까지 신라문화제가 열린다. 경주의 전통과 역사를 현대적으로 재해석해 선보이는 대표적인 문화축제로, 월정교를 배경으로 펼치는 전통·현대 공연, 거리예술, 실크로드페스타 등 다채로운 프로그램이 이어질 예정이다. 이번 신라문화제와 APEC 뮤직페스타가 함께 열리면서, 경주는 역사와 대중문화가 공존하는 특별한 축제의 장이 될 전망이다.",경주APEC
조선비즈,"'2025APECMUSIC FESTA', 10월 10일경주서 열린다",네이버뉴스,https://n.news.naver.com/mnews/article/366/0001112029?sid=004,,조선비즈,﻿경주서 열리는 APEC 정상회의 기념 공식 문화행사 ‘APEC MUSIC FESTA’,"2025년 APEC 정상회의를 기념하는 대규모 K-POP 콘서트, ‘2025 APEC MUSIC FESTA’가 10월 10일 금요일 경주시민운동장에서 개최된다.
대한민국이 APEC 의장국으로서 세계 각국 정상들과 외신 관계자들을 맞이하는 자리에서, 한국 대중문화를 함께 소개하는 공식 문화 행사로서 의미를 갖는다. 아울러 국제회의와 문화 교류가 조화를 이루는 특별한 무대가 될 전망이다. ‘2025 APEC MUSIC FESTA’는 경상북도와 경주시가 공동 주최하고, 주관 방송사인 KBS와 KBSN이 지역사회와 함께 힘을 모아 안전하고 수준 높은 공연을 준비하고 있다.
이번 무대에는 Billlie(빌리), NCT WISH(엔시티 위시), YENA(최예나), ONF(온앤오프), ONEUS(원어스), WEi(위아이)를 비롯해 USPEER(유스피어), izna(이즈나), JUNG DAE HYUN(정대현), KickFlip(킥플립), HA SUNG WOON(하성운), H1-KEY(하이키), Hearts2Hearts(하츠투하츠) 등 다채로운 아티스트들이 출연한다. 세대와 스타일을 아우르는 라인업은 K-POP의 폭넓은 세계를 선보이는 핵심 무대가 될 것이다.
현장의 뜨거운 열기는 991만명의 구독자를 보유한 KBS Kpop 유튜브를 통해 실시간으로 느낄 수 있을 뿐 아니라, 시차를 두고 방송을 통해서도 만날 수 있다. 오는 10월 21일 밤 11시 10분 KBS2를 시작으로, KBSN, KBS World 채널을 통해서 ‘APEC MUSIC FESTA’가 전 세계에 방영된다. 특히 KBS World 유튜브 채널은 2030만 구독자를 보유하고 있어, 현장에 함께하지 못하는 국내외 시청자들은 다양한 방법을 통해 글로벌 축제의 감동을 공유할 수 있을 전망이다.
또한 이번 APEC 뮤직페스타의 특별 프로그램으로 ‘Woman On Music(WOM)’이 10월 24일 금요일 오후 5시 보문호수 수상 무대에서 개최된다. 약 90분간 진행되는 이 무대에는 한국·중국·러시아·베트남 등 4개국의 대표 여성 아티스트들이 출연하여 미래 세대를 위한 희망의 메시지를 전달하며, APEC 정상회의 기간 중 국제적인 문화 교류의 상징적인 무대가 될 것으로 기대된다.
이에 대해 행사 관계자는 “2025 APEC 뮤직페스타는 단순한 콘서트를 넘어, 한국의 문화적 저력을 전 세계에 보여주는 장이 될 것”이라며 “APEC 정상회의의 핵심 키워드인 ‘연결, 혁신, 번영’을 문화의 언어로 풀어내는 무대로 만들기 위해 중앙정부, 지자체, 민간이 긴밀히 협력하고 있다”고 말했다. ’2025 APEC MUSIC FESTA’의 세부 프로그램, 관람 안내, 교통 및 안전 대책 등은 향후 공식 채널을 통해 순차적으로 공개될 예정이다.
한편, 경주에서는 같은 날인 10월 10일부터 12일까지 신라문화제가 열린다. 경주의 전통과 역사를 현대적으로 재해석해 선보이는 대표적인 문화 축제로, 월정교를 배경으로 펼치는 전통·현대 공연, 거리 예술, 실크로드페스타 등 다채로운 프로그램이 이어질 예정이다. 이번 신라문화제와 APEC 뮤직페스타가 함께 열리면서, 경주는 역사와 대중문화가 공존하는 특별한 축제의 장이 될 전망이다.
공연과 축제가 동시에 펼쳐지는 경주는 정상회의 참가국 대표단은 물론 일반 시민과 전 세계 관광객에게 개방되며, 이를 통해 한국의 역동적인 대중문화와 경주의 풍부한 역사·관광 자원을 함께 알리고 지역 경제에도 활력을 불어넣을 것으로 기대된다.",경주APEC
