press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,"진옥동 신한금융 회장 ""생산적 금융, 미래에도 '금융의 본질'""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013454487?sid=101,,뉴시스,"진옥동 신한금융 회장 ""생산적 금융, 미래에도 '금융의 본질'""","""디지털 화폐 확산으로 은행 예금 기반 위협받을 수도""
[서울=뉴시스]진옥동 신한금융지주 회장은 1일 ""금융소비자 보호와 생산적 금융의 가치는 미래에도 '금융의 본질'이 될 것""이라고 밝혔다. (사진=신한금융 제공). 2025.09.01. photo@newsis.com
[서울=뉴시스] 조현아 기자 = 진옥동 신한금융지주 회장은 1일 ""금융소비자 보호와 생산적 금융의 가치는 미래에도 '금융의 본질'이 될 것""이라고 밝혔다.
진 회장은 이날 서울 중구 신한금융 본사에서 열린 '창립 24주년 기념행사'에서 이같이 밝혔다. 행사에서는 '신한이 그리는 2040 금융의 미래'라는 주제로 한 토크콘서트가 진행됐다.
진 회장은 ▲미래의 고객과 사회의 변화 ▲미래 경쟁환경 전망 ▲임직원들의 역량 강화 ▲혁신적인 사업 모델 등에 대한 직원들의 질문에 본인의 철학을 담아 답했다.
그는 금융의 본질에 대해 ""아무리 기술·환경이 변해도 본질은 생산적·이타적 금융""이라며 ""대출자는 부자가 되고, 예금자는 더 나은 수익을 얻어야 한다. 성장을 위한 자금을 주고받는 모두에게 이익이 됨으로써 우리 사회의 성장을 북돋는 이타적인 역할을 적극 수행하는 생산적 금융을 구현해야 한다""고 강조했다.
디지털화폐 대응과 관련해선 ""플랫폼 기업과 디지털 화폐 확산으로 은행 예금 기반이 위협받을 수 있다""며 ""스테이블코인 관련 생태계 기술 맵은 현재 부재한 상태로 기술의 내재화와 이해도 확산에 주목해야 한다""고 말했다.
특히 진 회장은 '미래에도 신한이 신뢰를 얻기 위한 방법'을 묻는 질문에 “신뢰는 한 순간이 아니라 과거, 현재, 미래로 이어지는 행적의 누적""이라며 ""AI(인공지능)시대에 개인·기업의 재산을 지켜주고 미래를 의지할 수 있는 역량을 키우는 것이 중요하다""고 말했다.
이를 위해 ""금융회사가 블록체인 등 미래 기술을 통한 차별적 안정성을 확보해 보이스피싱·불완전판매·금융사기 방지 등 소비자 보호를 위한 기술로 고도화할 때, 그 노력과 성과가 미래에도 신한이 신뢰를 얻을 수 있는 차별화의 기준이 될 것""이라고 강조했다.
신한금융은 지난 2023년부터 창립 기념행사를 간소화해 절감한 비용으로 기부 활동을 이어오고 있다． 올해는 임직원들의 자발적인 기부를 더해 자립준비 청년들을 위해 4000만원 상당의 태블릿PC 등 학습보조기기를 지원했다",스테이블코인
연합뉴스,"노벨상 학자 ""스테이블코인감독 부실 땐 수조원 구제금융 우려""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015598584?sid=101,,연합뉴스,"노벨상 학자 ""스테이블코인 감독 부실 땐 수조원 구제금융 우려""","프랑스 툴루즈대의 장 티롤 경제학 교수.
[EPA 연합뉴스 자료사진. 재판매 및 DB 금지]
(서울=연합뉴스) 정성호 기자 = 미국 달러화 같은 안전자산과 연동된 스테이블코인이 점점 인기를 끄는 가운데 이런 가상화폐에 대한 감독이 부실할 경우 수십억달러(수조원) 규모의 구제금융을 투입해야 하는 상황에 내몰릴 수 있다는 경고가 나왔다.
2014년 노벨 경제학상을 수상한 프랑스 툴루즈대의 장 티롤 교수는 1일자(현지시간) 파이낸셜타임스(FT)와 인터뷰에서 스테이블코인에 대한 감독의 부족, 그리고 스테이블코인에 연동된 준비자산에 대한 의구심이 현실화할 경우 예금자들의 뱅크런(대규모 예금 인출)이 벌어질 가능성이 매우 우려된다고 말했다.
스테이블코인은 미국 달러화나 유로화, 또는 미 국채 같은 실물 자산에 가치를 고정시켜 안정성을 높인 가상화폐로, 테더와 서클 등이 대표적이다.
특히 지난 7월 스테이블코인을 제도권으로 편입하는 지니어스 법이 제정되면서 인기가 더 커질 것으로 기대되고 있다.
지난 6월 미 뉴욕증권거래소에 상장된 스테이블코인 '서클'의 현수막.
[로이터 연합뉴스 자료사진. 재배부 및 DB 금지]
도널드 트럼프 미국 대통령이 이 스테이블코인을 주류 금융의 한 축으로 삼으려 하면서 전 세계적 유통 규모는 약 2천800억달러(약 390조원)로 커졌다.
하지만 티롤 교수는 미 국채로 스테이블코인의 가치를 담보하는 관행이 국채의 낮은 수익률(이자) 때문에 인기를 잃을 수 있다고 경고했다.
실제 팬데믹 시기의 확장적인 통화 정책으로 미 국채 금리는 몇 년간 마이너스(-)를 기록한 바 있고, 인플레이션까지 고려하면 실제 수익은 더 낮았다.
이렇게 되면 스테이블코인 발행사는 수익률이 높지만 리스크도 큰 자산에 투자하려는 유혹에 빠지고 이 경우 스테이블코인 준비자산의 가치가 하락해 코인 투자자들의 뱅크런을 유발할 가능성이 커진다는 게 티롤 교수의 논지다.
티롤 교수는 그런 시나리오에서는 스테이블코인의 페그(peg)가 붕괴되면서 가격이 하락할 수 있다고 경고했다.
그는 ""그 스테이블코인을 완전히 안전한 예금으로 여긴 개인투자자나 기관투자자가 보유했다면 정부는 이들 예금자가 돈을 잃지 않도록 구제하라는 큰 압력을 받게 될 것""이라고 말했다.
티롤 교수는 감독 당국이 충분한 인력을 보유하고 주의해야 할 유인이 있다면 이런 위험을 관리할 수 있을 것이라면서도 그럴 가능성은 극히 낮다고 우려했다.
그는 ""(미국) 행정부의 일부 핵심 인사들은 가상화폐에 사적인 재정적 이해를 갖고 있고, 사적 이해를 넘어 이념적 문제도 있다""고 말했다.
sisyphe@yna.co.kr",스테이블코인
연합뉴스,"노벨상 학자 ""스테이블코인감독 부실 땐 수조원 구제금융 우려""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015598584?sid=101,,연합뉴스,"노벨상 학자 ""스테이블코인 감독 부실 땐 수조원 구제금융 우려""","프랑스 툴루즈대의 장 티롤 경제학 교수.
[EPA 연합뉴스 자료사진. 재판매 및 DB 금지]
(서울=연합뉴스) 정성호 기자 = 미국 달러화 같은 안전자산과 연동된 스테이블코인이 점점 인기를 끄는 가운데 이런 가상화폐에 대한 감독이 부실할 경우 수십억달러(수조원) 규모의 구제금융을 투입해야 하는 상황에 내몰릴 수 있다는 경고가 나왔다.
2014년 노벨 경제학상을 수상한 프랑스 툴루즈대의 장 티롤 교수는 1일자(현지시간) 파이낸셜타임스(FT)와 인터뷰에서 스테이블코인에 대한 감독의 부족, 그리고 스테이블코인에 연동된 준비자산에 대한 의구심이 현실화할 경우 예금자들의 뱅크런(대규모 예금 인출)이 벌어질 가능성이 매우 우려된다고 말했다.
스테이블코인은 미국 달러화나 유로화, 또는 미 국채 같은 실물 자산에 가치를 고정시켜 안정성을 높인 가상화폐로, 테더와 서클 등이 대표적이다.
특히 지난 7월 스테이블코인을 제도권으로 편입하는 지니어스 법이 제정되면서 인기가 더 커질 것으로 기대되고 있다.
지난 6월 미 뉴욕증권거래소에 상장된 스테이블코인 '서클'의 현수막.
[로이터 연합뉴스 자료사진. 재배부 및 DB 금지]
도널드 트럼프 미국 대통령이 이 스테이블코인을 주류 금융의 한 축으로 삼으려 하면서 전 세계적 유통 규모는 약 2천800억달러(약 390조원)로 커졌다.
하지만 티롤 교수는 미 국채로 스테이블코인의 가치를 담보하는 관행이 국채의 낮은 수익률(이자) 때문에 인기를 잃을 수 있다고 경고했다.
실제 팬데믹 시기의 확장적인 통화 정책으로 미 국채 금리는 몇 년간 마이너스(-)를 기록한 바 있고, 인플레이션까지 고려하면 실제 수익은 더 낮았다.
이렇게 되면 스테이블코인 발행사는 수익률이 높지만 리스크도 큰 자산에 투자하려는 유혹에 빠지고 이 경우 스테이블코인 준비자산의 가치가 하락해 코인 투자자들의 뱅크런을 유발할 가능성이 커진다는 게 티롤 교수의 논지다.
티롤 교수는 그런 시나리오에서는 스테이블코인의 페그(peg)가 붕괴되면서 가격이 하락할 수 있다고 경고했다.
그는 ""그 스테이블코인을 완전히 안전한 예금으로 여긴 개인투자자나 기관투자자가 보유했다면 정부는 이들 예금자가 돈을 잃지 않도록 구제하라는 큰 압력을 받게 될 것""이라고 말했다.
티롤 교수는 감독 당국이 충분한 인력을 보유하고 주의해야 할 유인이 있다면 이런 위험을 관리할 수 있을 것이라면서도 그럴 가능성은 극히 낮다고 우려했다.
그는 ""(미국) 행정부의 일부 핵심 인사들은 가상화폐에 사적인 재정적 이해를 갖고 있고, 사적 이해를 넘어 이념적 문제도 있다""고 말했다.
sisyphe@yna.co.kr",스테이블코인
SBS,노벨 경제학자 “스테이블코인감독 부실 땐 뱅크런 일어날 것”,네이버뉴스,https://n.news.naver.com/mnews/article/055/0001288743?sid=104,,SBS,"노벨상 학자 ""스테이블코인 감독 부실 땐 수조원 구제금융 우려""","▲ 장 티롤 경제학 교수
미국 달러화 같은 안전자산과 연동된 스테이블코인이 점점 인기를 끄는 가운데 이런 가상화폐에 대한 감독이 부실할 경우 수십억 달러(수조 원) 규모의 구제금융을 투입해야 하는 상황에 내몰릴 수 있다는 경고가 나왔습니다.
2014년 노벨 경제학상을 수상한 프랑스 툴루즈대의 장 티롤 교수는 현지시간 1일 자 파이낸셜타임스와 인터뷰에서 스테이블코인에 대한 감독의 부족, 그리고 스테이블코인에 연동된 준비자산에 대한 의구심이 현실화할 경우 예금자들의 뱅크런(대규모 예금 인출)이 벌어질 가능성이 매우 우려된다고 말했습니다.
스테이블코인은 미국 달러화나 유로화, 또는 미 국채 같은 실물 자산에 가치를 고정시켜 안정성을 높인 가상화폐로, 테더와 서클 등이 대표적입니다.
특히 지난 7월 스테이블코인을 제도권으로 편입하는 지니어스 법이 미국에서 제정되면서 인기가 더 커질 것으로 기대되고 있습니다.
트럼프 미국 대통령이 이 스테이블코인을 주류 금융의 한 축으로 삼으려 하면서 전 세계적 유통 규모는 약 2천800억 달러(약 390조 원)로 커졌습니다.
하지만 티롤 교수는 미 국채로 스테이블코인의 가치를 담보하는 관행이 국채의 낮은 수익률 때문에 인기를 잃을 수 있다고 경고했습니다.
실제 팬데믹 시기의 확장적인 통화 정책으로 미 국채 금리는 몇 년간 마이너스(-)를 기록한 바 있고, 인플레이션까지 고려하면 실제 수익은 더 낮았습니다.
이렇게 되면 스테이블코인 발행사는 수익률이 높지만 리스크도 큰 자산에 투자하려는 유혹에 빠지고 이 경우 스테이블코인 준비자산의 가치가 하락해 코인 투자자들의 뱅크런을 유발할 가능성이 커진다는 게 티롤 교수의 논지입니다.
티롤 교수는 그런 시나리오에서는 스테이블코인의 페그(고정환율가치)가 붕괴되면서 가격이 하락할 수 있다고 경고했습니다.
이럴 경우 ""스테이블코인을 완전히 안전한 예금으로 여긴 개인투자자나 기관투자자가 보유했다면 정부는 이들 예금자가 돈을 잃지 않도록 구제하라는 큰 압력을 받게 될 것""이라고 티롤 교수는 말했습니다.
티롤 교수는 감독 당국이 충분한 인력을 보유하고 주의해야 할 유인이 있다면 이런 위험을 관리할 수 있을 것이라면서도 그럴 가능성은 극히 낮다고 우려했습니다.
티롤 교수는 ""미국 행정부의 일부 핵심 인사들은 가상화폐에 사적인 재정적 이해를 갖고 있고, 사적 이해를 넘어 이념적 문제도 있다""고 말했습니다.
(사진=게티이미지)",스테이블코인
KBS,"노벨상 경제학자 ""스테이블코인감독 부실 땐 수조 원 구제금융 우려""",네이버뉴스,https://n.news.naver.com/mnews/article/056/0012020178?sid=104,,KBS,노벨 경제학자 “스테이블코인 감독 부실 땐 뱅크런 일어날 것”,"미국 달러화 같은 안전자산과 연동된 스테이블코인의 인기 속에 이런 가상화폐에 대한 감독이 부실할 경우 수십억달러(수조원) 규모의 구제금융을 투입해야 하는 상황에 내몰릴 수 있다는 경고가 나왔습니다.
2014년 노벨 경제학상을 수상한 프랑스 툴루즈대의 장 티롤 교수는 영국 파이낸셜타임스(FT)와 인터뷰에서 스테이블코인에 대한 감독의 부족, 그리고 스테이블코인에 연동된 준비자산에 대한 의구심이 현실화할 경우 예금자들의 뱅크런(대규모 예금 인출)이 벌어질 가능성이 매우 우려된다고 말했습니다.
스테이블코인은 미국 달러화나 유로화, 또는 미 국채 같은 실물 자산에 가치를 고정시켜 안정성을 높인 가상화폐로, 테더와 서클 등이 대표적입니다.
미국에선 지난 7월 스테이블코인을 제도권으로 편입하는 지니어스 법이 제정되면서 인기가 더 커질 것으로 기대되고 있습니다.
트럼프 미국 대통령이 스테이블코인을 주류 금융의 한 축으로 삼으려 하면서 전 세계적 유통 규모는 약 2천800억달러(약 390조원)로 커졌습니다.
하지만 티롤 교수는 미 국채로 스테이블코인의 가치를 담보하는 관행이 국채의 낮은 수익률 때문에 인기를 잃을 수 있다고 경고했습니다.
실제 팬데믹 시기의 확장적인 통화 정책으로 미 국채 금리는 몇 년간 마이너스를 기록했고, 인플레이션까지 고려하면 실제 수익은 더 낮았습니다.
이렇게 되면 스테이블코인 발행사는 수익률이 높지만 리스크도 큰 자산에 투자하려는 유혹에 빠지고 이 경우 스테이블코인 준비자산의 가치가 하락해 코인 투자자들의 뱅크런을 유발할 가능성이 커진다는 게 티롤 교수의 논지입니다.
티롤 교수는 그런 시나리오에서는 스테이블코인의 페그(peg)가 붕괴되면서 가격이 하락할 수 있다고 경고했습니다.
그는 “그 스테이블코인을 완전히 안전한 예금으로 여긴 개인투자자나 기관투자자가 보유했다면 정부는 이들 예금자가 돈을 잃지 않도록 구제하라는 큰 압력을 받게 될 것”이라고 말했습니다.
티롤 교수는 감독 당국이 충분한 인력을 보유하고 주의해야 할 유인이 있다면 이런 위험을 관리할 수 있을 것이라면서도 그럴 가능성은 극히 낮다고 우려했습니다. 무엇보다 “(미국) 행정부의 일부 핵심 인사들은 가상화폐에 사적인 재정적 이해를 갖고 있고, 사적 이해를 넘어 이념적 문제도 있다”고 지적했습니다.
[사진 출처 : EPA=연합뉴스]
■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",스테이블코인
YTN,"노벨 경제학상 수상자 ""스테이블코인감독 부실 땐 수조 원 구제금융 우...",네이버뉴스,https://n.news.naver.com/mnews/article/052/0002240859?sid=104,,YTN,"노벨상 경제학자 ""스테이블코인 감독 부실 땐 수조 원 구제금융 우려""","미국 달러화 같은 안전 자산에 연동된 스테이블코인이 인기를 끄는 가운데 당국의 감독이 부실할 경우, 수십억 달러(수조 원) 규모의 구제금융을 투입해야 하는 상황이 일어날 수 있다는 경고가 나왔습니다.
2014년 노벨 경제학상을 수상한 프랑스 툴루즈대의 장 티롤 교수는 영국 파이낸셜타임스(FT)와의 인터뷰에서 스테이블코인에 대한 감독의 부족, 그리고 연동된 준비 자산에 대한 의구심이 현실화할 경우, 예금자들의 뱅크런(대규모 예금 인출)이 벌어질 가능성이 매우 우려된다고 지적했습니다.
스테이블코인은 미국 달러화나 유로화, 미 국채 같은 실물 자산에 가치를 고정해 안정성을 높인 가상화폐로, 테더와 서클 등이 대표적입니다.
트럼프 미국 대통령이 스테이블코인을 주류 금융의 한 축으로 삼으려 하면서 전 세계적 유통 규모는 약 2천8백억 달러(약 390조 원)로 커졌습니다.
하지만 티롤 교수는 미 국채로 스테이블코인의 가치를 담보하는 관행이 국채의 낮은 수익률(이자) 때문에 인기를 잃을 수 있다고 경고했습니다.
실제 팬데믹 시기의 확장적인 통화 정책으로 미 국채 금리는 몇 년간 마이너스(-)를 기록했고 인플레이션까지 고려하면 실제 수익은 더 낮았습니다.
이렇게 되면 스테이블코인 발행사는 리스크가 큰 자산에 투자하려는 유혹에 빠지고 이 경우 스테이블코인 준비 자산의 가치가 하락해 투자자들의 뱅크런을 유발할 가능성이 커진다는 게 티롤 교수의 논지입니다.
티롤 교수는 그런 시나리오에서는 스테이블코인의 페그(peg)가 붕괴되면서 가격이 하락할 수 있다고 지적했습니다.
또 ""정부는 이들 예금자가 돈을 잃지 않도록 구제하라는 큰 압력을 받게 될 것""이라고 말했습니다.
티롤 교수는 감독 당국이 충분한 인력을 보유하고 주의해야 할 유인이 있다면 이런 위험을 관리할 수 있을 것이라면서도 그럴 가능성은 극히 낮다고 우려했습니다.
특히 ""(미국) 행정부의 일부 핵심 인사들은 가상화폐에 사적인 재정적 이해를 갖고 있고, 사적 이해를 넘어 이념적 문제도 있다""고 말했습니다.
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr",스테이블코인
매일신문,"달러스테이블코인공습, 한국 통화주권이 흔들린다",네이버뉴스,https://n.news.naver.com/mnews/article/088/0000967543?sid=101,,매일신문,"달러 스테이블코인 공습, 한국 통화주권이 흔들린다","""대응 늦어지면 달러 의존 가속화…국내 유입 전에 법제화, 사수해야""
ChatGPT 생성 이미지
미국이 스테이블코인을 공식 금융 제도권에 편입하며 달러 패권 강화에 나서자 한국의 통화정책과 금융안정에도 직접적 파장이 우려되고 있다. 전문가들은 ""원화 스테이블코인 법제화는 선택이 아니라 불가피하다""며 대응이 늦어지면 달러라이제이션(달러화 의존)이 가속화될 것이라고 경고한다.
스테이블코인은 법정화폐와 가치가 1대1로 고정된 디지털 자산으로, 가격 변동성이 큰 비트코인이나 이더리움과 달리 결제·송금에 적합하다. 최근 트럼프 행정부가 가상자산을 '미국의 새로운 금융 인프라'로 선언하면서 시장은 급성장하고 있다. 미국 증권사 보고서에 따르면 글로벌 스테이블코인 발행 규모는 2천700억 달러에 달하며 이 가운데 98%가 달러 기반이다.
문제는 한국이다. 이정수 서울대 법학전문대학원 교수는 ""달러 스테이블코인이 국내 시장에서 확장되는 동안 아무런 대비를 하지 않으면 통화주권이 흔들릴 수밖에 없다""며 ""원화 스테이블코인 법제화는 더 이상 미룰 수 없는 과제""라고 강조했다.
특히 국제무역과 해외송금에서 달러 스테이블코인이 사용될 경우 충격은 현실화된다. 예컨대 미국 조선사가 한국 조선업체에 선박 대금을 달러 스테이블코인으로 지급하면 수수료 없이 수 분 만에 결제가 가능하다. 하지만 한국은 이를 외환거래법상 어떻게 처리할지 규정이 없어, 국내 유입 순간 통제 수단이 사라지게 된다.
국내에서도 스테이블코인의 잠재력이 현실화되고 있다. 음악 저작권 거래 플랫폼 뮤직카우는 원화 스테이블코인을 활용해 케이팝 음원 결제를 추진 중이다. 세계 최대 스테이블코인 발행사 '서클'의 히스 타버트 사장이 지난 8월 방한하는 등 한국 시장의 전략적 가치가 국제적으로도 주목받고 있다. 전문가들은 이를 두고 ""한국이 스테이블코인 활용 생태계를 선도할 수 있는 무한한 기회""라고 분석한다.
시장 구조 변화도 불가피하다. 원화 스테이블코인이 제도화되면 은행은 예금 기반 결제시장에서 경쟁 압박을 받을 수 있고, 핀테크 기업들의 '○○페이'는 스테이블코인 기반으로 빠르게 전환될 가능성이 크다. 가상자산 거래소는 디지털 자산과 원화 금융상품을 연결하는 새로운 결제 채널을 확보하게 된다.
결국 관건은 속도다. 이 교수는 ""스테이블코인 법 제정은 발의와 공포, 시행까지 최소 6개월~1년이 소요된다. 그 사이 미국은 GENIUS Act를 앞세워 글로벌 규제 표준을 선점하고 있다""며 ""통화정책은 시행착오가 허용되지 않는 영역이다. 한국이 늦는다면 달러 스테이블코인의 물결에 휩쓸릴 수밖에 없다""고 지적했다.",스테이블코인
매일신문,"IT·금융 기업, 원화스테이블코인시장 진출 러시…“실사용처 확보 중...",네이버뉴스,https://n.news.naver.com/mnews/article/088/0000967543?sid=101,,매일신문,"달러 스테이블코인 공습, 한국 통화주권이 흔들린다","""대응 늦어지면 달러 의존 가속화…국내 유입 전에 법제화, 사수해야""
ChatGPT 생성 이미지
미국이 스테이블코인을 공식 금융 제도권에 편입하며 달러 패권 강화에 나서자 한국의 통화정책과 금융안정에도 직접적 파장이 우려되고 있다. 전문가들은 ""원화 스테이블코인 법제화는 선택이 아니라 불가피하다""며 대응이 늦어지면 달러라이제이션(달러화 의존)이 가속화될 것이라고 경고한다.
스테이블코인은 법정화폐와 가치가 1대1로 고정된 디지털 자산으로, 가격 변동성이 큰 비트코인이나 이더리움과 달리 결제·송금에 적합하다. 최근 트럼프 행정부가 가상자산을 '미국의 새로운 금융 인프라'로 선언하면서 시장은 급성장하고 있다. 미국 증권사 보고서에 따르면 글로벌 스테이블코인 발행 규모는 2천700억 달러에 달하며 이 가운데 98%가 달러 기반이다.
문제는 한국이다. 이정수 서울대 법학전문대학원 교수는 ""달러 스테이블코인이 국내 시장에서 확장되는 동안 아무런 대비를 하지 않으면 통화주권이 흔들릴 수밖에 없다""며 ""원화 스테이블코인 법제화는 더 이상 미룰 수 없는 과제""라고 강조했다.
특히 국제무역과 해외송금에서 달러 스테이블코인이 사용될 경우 충격은 현실화된다. 예컨대 미국 조선사가 한국 조선업체에 선박 대금을 달러 스테이블코인으로 지급하면 수수료 없이 수 분 만에 결제가 가능하다. 하지만 한국은 이를 외환거래법상 어떻게 처리할지 규정이 없어, 국내 유입 순간 통제 수단이 사라지게 된다.
국내에서도 스테이블코인의 잠재력이 현실화되고 있다. 음악 저작권 거래 플랫폼 뮤직카우는 원화 스테이블코인을 활용해 케이팝 음원 결제를 추진 중이다. 세계 최대 스테이블코인 발행사 '서클'의 히스 타버트 사장이 지난 8월 방한하는 등 한국 시장의 전략적 가치가 국제적으로도 주목받고 있다. 전문가들은 이를 두고 ""한국이 스테이블코인 활용 생태계를 선도할 수 있는 무한한 기회""라고 분석한다.
시장 구조 변화도 불가피하다. 원화 스테이블코인이 제도화되면 은행은 예금 기반 결제시장에서 경쟁 압박을 받을 수 있고, 핀테크 기업들의 '○○페이'는 스테이블코인 기반으로 빠르게 전환될 가능성이 크다. 가상자산 거래소는 디지털 자산과 원화 금융상품을 연결하는 새로운 결제 채널을 확보하게 된다.
결국 관건은 속도다. 이 교수는 ""스테이블코인 법 제정은 발의와 공포, 시행까지 최소 6개월~1년이 소요된다. 그 사이 미국은 GENIUS Act를 앞세워 글로벌 규제 표준을 선점하고 있다""며 ""통화정책은 시행착오가 허용되지 않는 영역이다. 한국이 늦는다면 달러 스테이블코인의 물결에 휩쓸릴 수밖에 없다""고 지적했다.",스테이블코인
동아일보,“비트코인회복력·수익성 입증 …1년 내 30만 달러 간다”,네이버뉴스,https://n.news.naver.com/mnews/article/020/0003657850?sid=101,,동아일보,"IT·금융 기업, 원화 스테이블코인 시장 진출 러시…“실사용처 확보 중요”","원화 스테이블코인 사업에 IT 기업뿐 아니라 시중은행까지 뛰어들고 있다. 네이버페이, 업비트, 카카오, 토스 등 빅테크는 물론, KB, 신한, 우리, 하나 등 4대 시중은행도 관련 프로젝트에 관심을 보이며 시장 진출을 모색 중이다. 이에 따라 단순한 통화 주권 방어 기능을 넘어, 실제 활용 사례를 갖춘 글로벌 블록체인 금융 인프라로 성장할 수 있을지 귀추가 주목받고 있다.
통화 주권 수단에서 글로벌 금융 수단으로
그간 원화 스테이블코인은 미국의 달러 스테이블코인(USDT, USDC 등) 확산에 대응하는 수단으로 주목받아 왔다. 이들 달러 스테이블코인이 국내 실생활에도 사용될 가능성이 커지면서, 안정적인 통화 정책 운용을 위한 대항마로서 원화 스테이블코인의 필요성이 언급된 바 있다.
다만, 원화 스테이블코인이 유통돼 통화 주권 수단으로 기능하기 위해서는 실사용처 확보가 선행돼야 한다는 지적이 나온다. 블록체인 기반 금융은 국경을 넘는 데 유리한 구조를 가지는 만큼, 내수 중심이 아닌 글로벌 사용 환경을 고려해야 한다는 분석이다.
류혁선 카이스트 교수는 “단순 발행에 그치지 않고, 실수요 창출이 가능한 구조로 설계돼야 한다”며 “플랫폼, 콘텐츠, 경제력 등 한국의 강점을 살려 글로벌화를 추진할 필요가 있다”고 말했다.
해외송금·디지털 콘텐츠 결제 등 실사용 사례 주목
업계는 원화 스테이블코인의 실사용처 확대를 위해 해외 송금, 온라인 결제, 콘텐츠 구매 등 다양한 활용 가능성을 제시하고 있다.
예컨대 해외 노동자가 한국 기업에서 급여를 원화 스테이블코인으로 받거나, 케이팝 콘서트, 웹툰 등 콘텐츠에 원화 스테이블코인을 결제 수단으로 도입하면 팬덤 기반의 실사용도 유도할 수 있다는 것이다.
토스인사이트는 최근 보고서를 통해 “스테이블코인을 활용한 글로벌 급여 지급은 개발도상국 프리랜서들의 노동 시장 접근성 향상과 수수료 절감에 기여한다”며 “동시에 기업 차원의 자금 관리 효율성도 제고할 수 있다”고 언급하기도 했다.
이준호 하나증권 연구원은 “인스타그램과 유튜브 등이 수익을 달러로 지급하는데 이를 스테이블코인으로 지급한다면 미국 외 지역에서도 점차 익숙해질 것”이라며 “자연스럽게 전 세계 사용자에게 노출이 늘어나고 사용도 확대될 수 있다”고 분석했다.
제도 설계 시 다양한 주체 참여 필요
현재 원화 스테이블코인 관련 제도 마련 논의가 활발한 가운데, 업계는 발행 주체를 은행 등 전통 금융기관으로 한정하지 않고 기술 기업과 다양한 산업 주체에게도 열려 있어야 한다는 입장이다.
이병규 네이버페이 혁신성장지원실 이사는 “특정 업종 중심의 폐쇄적 구조가 아닌, 다양한 기술 기업이 참여할 수 있는 개방형 경쟁 환경이 조성돼야 한다”고 강조했다.
한편, 미국은 최근 스테이블코인 유통과 관련한 법안(GENIUS Act)을 도입하며 디지털 달러의 제도권 안착을 추진 중이다. 남미와 아프리카 일부 국가에서는 인플레이션 등 경제 불안정으로 인해 USDT 등 달러 기반 스테이블코인이 실물 화폐보다 더 신뢰받는 사례도 보고되고 있다. 전문가들은 이러한 흐름이 원화 스테이블코인에도 참고 사례가 될 수 있다고 보고 있다.",스테이블코인
한경머니,"[통화주권 사수] 세계가 뛰어든 '스테이블 코인'…시총 2,300억 달러",,,,,,,스테이블코인
