press,title,naver_news_text,naver_news_url,body
지디넷코리아,"금융위 ""스테이블코인, 국가 간 규제차익 방지위해 협력 필요""",네이버뉴스,https://n.news.naver.com/mnews/article/092/0002399270?sid=105,
지디넷코리아,"안창국 금융위 상임위원, FSB 총회 참석…스테이블코인등 중점 논의",네이버뉴스,https://n.news.naver.com/mnews/article/092/0002399270?sid=105,
뉴시스,"안창국 금융위 상임위원 ""스테이블코인외환·자금세탁 위험 우려""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013611888?sid=101,
뉴스1,"안창국 금융위 상임위원 ""스테이블코인, 외환·자금세탁 우려 확산""",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008615625?sid=101,
파이낸셜뉴스,"안창국 상임위원 ""스테이블코인국가간 규제차익 방지해야""",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005437411?sid=101,
연합뉴스,"이해진 의장, 사우디서스테이블코인·데이터센터 건립 논의",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015754471?sid=105,
연합뉴스,"이해진 네이버 의장, 사우디서스테이블코인·데이터센터 협력 논의",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015754471?sid=105,
조선비즈,"이해진 의장 직접 나섰다…네이버, 사우디와스테이블코인협력 강화",네이버뉴스,https://n.news.naver.com/mnews/article/366/0001124737?sid=105,
서울경제,사우디 찾은 이해진…스테이블코인등 협력 추진,네이버뉴스,https://n.news.naver.com/mnews/article/011/0004558229?sid=105,
파이낸셜뉴스,"이해진 의장, 사우디서스테이블코인·데이터센터 건립 논의",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005437722?sid=105,
아시아경제,"""선진국은스테이블코인활성화 중…韓도 빨리 관련법 마련해야""",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005681915?sid=101,
아시아경제,"스테이블코인잰걸음 중인 은행들, 정부만 바라보는데",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005681915?sid=101,
비즈워치,"[더벨]은행연합회, 맥킨지에스테이블코인용역 맡긴다",네이버뉴스,https://n.news.naver.com/mnews/article/648/0000041977?sid=101,
더벨,"캐나다 의회, '스테이블코인' 포함 예산안 통과",,,
헤럴드경제,비댁스 ‘서클(Circle) 파트너스테이블코인·스테이블FX’ 공식 참여,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002560368?sid=101,
헤럴드경제,"비댁스스테이블코인‘KRW1’, 서클 파트너 프로그램 공식 참여",네이버뉴스,https://n.news.naver.com/mnews/article/016/0002560368?sid=101,
이투데이,"원화스테이블코인'KRW1', 서클 온체인 FX 전면에 선다",,,
한스경제,"비댁스, 글로벌 온체인 FX 편입… 원화 실시간 결제 길 열려",,,
국민일보,"비댁스, Circle의 StableFX·파트너스테이블코인프로그램 합류",네이버뉴스,https://n.news.naver.com/mnews/article/005/0001815660?sid=101,
IT조선,"스테이블코인·디지털자산 보안 경고… ""금융권 수준 갖춰야""",,,
IT조선,"금융보안원 “스테이블코인, 혁신 잠재력과 함께 보안 위험도 크다”",,,
조선비즈,"원화스테이블코인발행은 누가… 금융위·한은, 논의 시작",네이버뉴스,https://n.news.naver.com/mnews/article/366/0001124493?sid=101,
에너지경제,스테이블코인시장에 ‘핀테크 공룡’ 나온다…네이버페이 ‘확장 국면...,,,
에너지경제,네이버·두나무 합병 '초읽기’⋯ 20조 핀테크 공룡 탄생,,,
브릿지경제,네이버-두나무 합병 속도…'차세대 거대 핀테크 플랫폼' 탄생 임박,,,
EBN,네이버·두나무 합병 임박…금융권 '메기' 출몰하나,,,
IT동아,"여야 의원 디콘 2025에서 한목소리 ""디지털자산 규제, 개선·보완해야""",,,
IT동아,“부동산은 멀고코인은 가깝다”...디지털자산에 몰리는 2030,,,
조세금융신문,"[현장] 두나무 D-CON 2025 ""한국 산업의 다음 성장 엔진은 디지털자산"" ...",,,
한국경제,"알트코인시즌, 잇딴 ETF 출시에도 '고전'…약세 언제까지",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005214206?sid=101,
디지털투데이,"HSBC,스테이블코인경쟁 속 미국·UAE에 토큰화 예금 도입",,,
디지털투데이,"HSBC, 토큰화 예금 본격 도입…스테이블코인아닌 자체 디지털 자산에 ...",,,
