press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,"세니젠, 박정웅 대표자사주추가매입…""주주가치 제고""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012921291?sid=101,,뉴시스,"세니젠, 박정웅 대표 자사주 추가 매입…""주주가치 제고""","[서울=뉴시스] 김경택 기자 = 식품안전 토탈솔루션 전문기업 세니젠이 주주가치를 높이기 위해 적극적인 행보를 이어가고 있다.
세니젠은 박정웅 대표이사가 1억원 규모의 자사주를 추가 매입을 했다고 25일 밝혔다. 이번에 매입한 자사주는 총 3만6000주다. 지난 15일부터 4차례에 걸쳐 장내 매수했다.
이는 세니젠이 상장한 지 1년 만에 박정웅 대표가 네번째로 단행한 자사주 매입이다. 박 대표는 지난해 11월 코스닥 상장 직후 1만5000주 첫 매입을 시작으로 같은 달에 2만1000주를 추가로 매입했으며, 올해 3월에도 2만5000주를 매입한 바 있다. 이번 매입을 포함하면 박 대표가 직접 매입한 자사주는 총 9만7000주에 이른다.
박정웅 대표의 연이은 자사주 매입은 책임 경영의 강력한 의지를 보여주는 동시에 회사와 주주 간 신뢰를 더욱 공공히 하기 위한 노력이다.
세니젠 관계자는 ""이번 자사주 매입은 세니젠의 성장 가능성에 대한 박정웅 대표의 확신과 더불어 주주가치를 극대화하기 위한 경영철학의 실천""이라며 ""회사를 책임감 있게 이끌어 가려는 리더십의 표현""이라고 설명했다．",자사주매입
뉴시스,"세니젠 대표, 상장 1년 만에 4번째자사주 매입",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012921291?sid=101,,뉴시스,"세니젠, 박정웅 대표 자사주 추가 매입…""주주가치 제고""","[서울=뉴시스] 김경택 기자 = 식품안전 토탈솔루션 전문기업 세니젠이 주주가치를 높이기 위해 적극적인 행보를 이어가고 있다.
세니젠은 박정웅 대표이사가 1억원 규모의 자사주를 추가 매입을 했다고 25일 밝혔다. 이번에 매입한 자사주는 총 3만6000주다. 지난 15일부터 4차례에 걸쳐 장내 매수했다.
이는 세니젠이 상장한 지 1년 만에 박정웅 대표가 네번째로 단행한 자사주 매입이다. 박 대표는 지난해 11월 코스닥 상장 직후 1만5000주 첫 매입을 시작으로 같은 달에 2만1000주를 추가로 매입했으며, 올해 3월에도 2만5000주를 매입한 바 있다. 이번 매입을 포함하면 박 대표가 직접 매입한 자사주는 총 9만7000주에 이른다.
박정웅 대표의 연이은 자사주 매입은 책임 경영의 강력한 의지를 보여주는 동시에 회사와 주주 간 신뢰를 더욱 공공히 하기 위한 노력이다.
세니젠 관계자는 ""이번 자사주 매입은 세니젠의 성장 가능성에 대한 박정웅 대표의 확신과 더불어 주주가치를 극대화하기 위한 경영철학의 실천""이라며 ""회사를 책임감 있게 이끌어 가려는 리더십의 표현""이라고 설명했다．",자사주매입
파이낸셜뉴스,"세니젠, 올해 두번째자사주 매입…""주주가치 제고""",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005272621?sid=101,,파이낸셜뉴스,"세니젠 대표, 상장 1년 만에 4번째 자사주 매입","총 9만7000주 사들여
세니젠 CI. 세니젠 제공.
[파이낸셜뉴스] 식품안전 토탈솔루션 전문기업 세니젠이 주주가치 제고를 목적으로 자사주 매입을 결정했다.
25일 금융감독원 전자공시시스템(DART)에 따르면 세니젠 박정웅 대표이사는 지난 22일 1억원 규모 자사주 추가 매입 사실을 공시했다. 총 3만6000주로, 지난 15일부터 장내 매수를 통해 이뤄졌다.
지난해 11월 세니젠 상장 후 박 대표가 네 번째로 단행한 자사주 매입이다. 박 대표는 코스닥 상장 직후 1만5000주를 사들였고 같은 달 2만1000주를 추가 매입했다. 지난 3월 2만5000주에 이번까지 합치면 총 9만7000주를 품었다.
세니젠 관계자는 “이번 자사주 매입은 회사 성장 가능성에 대한 대표의 확신과 더불어 주주가치를 극대화하기 위한 경영철학의 실천”이라고 설명했다.
박 대표는 “세니젠은 현재 식품 위생 안전 분야를 중심으로 한 주력 사업에서 더 나아가 독자적인 바이오마커 발굴 기술을 활용해 바이러스 진단 시장으로 사업 영역을 확대하고 있다”며 “지속적 성장과 혁신으로 기업 가치를 높이고, 주주가 신뢰할 수 있는 기업으로 자리매김할 것”이라고 말했다.",자사주매입
아시아경제,"세니젠, 올해 두번째자사주추가매입…""주주가치 제고""",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005505330?sid=101,,아시아경제,"세니젠, 올해 두번째 자사주 매입…""주주가치 제고""","식품안전 토탈솔루션 전문기업 세니젠이 주주가치를 높이기 위해 적극적인 행보를 이어가고 있다.
세니젠은 박정웅 대표이사가 1억 원 규모의 자사주 추가 매입을 했다고 22일 공시했다. 이번에 매입한 자사주는 총 3만6000주다. 이달 15일부터 장내 매수를 통해 이뤄졌다.
이는 세니젠이 상장한 지 1년 만에 박정웅 대표가 네 번째로 단행한 자사주 매입이다. 박 대표는 2023년 11월 코스닥 상장 직후 1만5000주 첫 매입을 시작으로 같은 달에 2만1000주를 추가로 매입했다. 올해 3월에도 2만5000주를 매입한 바 있다. 이번 매입을 포함하면 박 대표가 직접 매입한 자사주는 총 9만7000주에 이른다.
박정웅 대표의 연이은 자사주 매입은 책임 경영의 강력한 의지를 보여주는 동시에 회사와 주주 간 신뢰를 더욱 공공히 하기 위한 노력이다.
세니젠 관계자는 “이번 자사주 매입은 세니젠의 성장 가능성에 대한 박정웅 대표의 확신과 더불어 주주가치를 극대화하기 위한 경영철학의 실천”이라며 “회사를 책임감 있게 이끌어 가려는 리더십의 표현”이라고 언급했다.
박정웅 대표는 “세니젠은 현재 식품 위생 안전 분야를 중심으로 한 주력 사업에서 더 나아가 독자적인 바이오마커 발굴 기술을 활용해 바이러스 진단 시장으로 사업 영역을 확대하고 있다”며 “지속적인 성장과 혁신으로 기업 가치를 높이고, 주주가 신뢰할 수 있는 기업으로 자리매김할 것”이라고 포부를 밝혔다.
한편, 세니젠은 식품안전 토탈솔루션 분야의 독보적인 기술력을 기반으로 국내외 시장에서 빠르게 성장하고 있다. 최근에는 사업 다각화를 통해 글로벌 경쟁력을 더욱 강화하고 있다.",자사주매입
뉴스핌,세니젠 주가 강세 '올해 두번째자사주추가매입',,,,,,,자사주매입
머니투데이,"영풍, 행동주의 대상 됐다…머스트운용 ""자사주전량 소각"" 요구",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005118778?sid=101,,머니투데이,"영풍, 행동주의 대상 됐다…머스트운용 ""자사주 전량 소각"" 요구","(서울=뉴스1) 이승배 기자 = 강성두 영풍 사장이 27일 오전 서울 중구 프레스센터에서 고려아연 주식 공개매수에 대한 설명을 하고 있다. 2024.9.27/뉴스1  Copyright (C) 뉴스1. All rights reserved. 무단 전재 및 재배포,  AI학습 이용 금지. /사진=(서울=뉴스1) 이승배 기자
머스트자산운용이 영풍을 대상으로 주주 행동주의에 나선다고  25일 밝혔다. 머스트자산운용은 영풍의 지분율 2% 이상 보유한 주주다.
머스트자산운용은 ""강성두 영풍 사장은 지난 9월 기자간담회에서 고려아연의 자사주 정책을 강하게 비판하면서 '소각 목적이 아닌 자사주는 주주를 위하는 길이 아니기 때문에 취득하면 안 된다'고 발언했다""며 ""영풍이 10년 이상 소각하지 않고 보유 중인 6.62%를 전량 소각하고, 다가오는 주주총회에서 자사주를 보유하지 않고 소각하는 것에 대한 정관 조항을 추가해달라""고 요구했다.
무상증자 혹은 10분의1의 액면분할도 제안했다. 영풍의 유통주식 수가 많지 않고 거래량이 적다는 점에서다. 또한 영풍의 주당 순자산이 200만원을 초과, PBR(주가순자산비율) 0.5배로만 거래돼도 주당 100만원이 넘는다면서, 회사의 조치가 필요하다고 했다.
영풍이 보유한 고려아연 지분 풋옵션에 대한 설명도 요청했다. 머스트자산운용은 △옵션대상 주식의 수가 영풍 보유주식의 약 60%가 맞는지 △풋옵션 행사 가능일에 도달하면 즉시 풋옵션을 행사할 계획인지 △옵션주식 할당비율은 영풍과 장형진 고문 간 지분 비율대로 책정할지 등에 대해 물었다.
투자부동산에 대한 자산재평가, 고려아연 지분 풋옵션 행사를 통해 현재 시가총액의 2~3배에 달하는 현금이 유입될 경우 활용 계획 등도 설명해달라고 했다. 머스트자산운용은 ""유입되는 현금의 최소 30% 이상을 현금 배당, 자사주 매입 등 주주환원을 해 회사의 자산이 전체 주주를 위해 경영될 계획임을 발표해준다면 한국 자본시장의 좋은 밸류업 사례가 될 것""이라고 했다.
머스트자산운용은 영풍에 오는 29일까지 요구사항에 대한 답변을 달라고 했다. 그러면서 ""여러차례 비공개 레터와 미팅을 통해  소통을 드린 내용""이라며 ""형식적인 답변인 경우, 영풍의 현재 상황을 개선하기 위한 최선의 노력을 다할 예정""이라고 했다.",자사주매입
머니투데이,"머스트운용, 영풍에 공개서한…“자사주소각·무상증자 요청”[시그널...",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005118778?sid=101,,머니투데이,"영풍, 행동주의 대상 됐다…머스트운용 ""자사주 전량 소각"" 요구","(서울=뉴스1) 이승배 기자 = 강성두 영풍 사장이 27일 오전 서울 중구 프레스센터에서 고려아연 주식 공개매수에 대한 설명을 하고 있다. 2024.9.27/뉴스1  Copyright (C) 뉴스1. All rights reserved. 무단 전재 및 재배포,  AI학습 이용 금지. /사진=(서울=뉴스1) 이승배 기자
머스트자산운용이 영풍을 대상으로 주주 행동주의에 나선다고  25일 밝혔다. 머스트자산운용은 영풍의 지분율 2% 이상 보유한 주주다.
머스트자산운용은 ""강성두 영풍 사장은 지난 9월 기자간담회에서 고려아연의 자사주 정책을 강하게 비판하면서 '소각 목적이 아닌 자사주는 주주를 위하는 길이 아니기 때문에 취득하면 안 된다'고 발언했다""며 ""영풍이 10년 이상 소각하지 않고 보유 중인 6.62%를 전량 소각하고, 다가오는 주주총회에서 자사주를 보유하지 않고 소각하는 것에 대한 정관 조항을 추가해달라""고 요구했다.
무상증자 혹은 10분의1의 액면분할도 제안했다. 영풍의 유통주식 수가 많지 않고 거래량이 적다는 점에서다. 또한 영풍의 주당 순자산이 200만원을 초과, PBR(주가순자산비율) 0.5배로만 거래돼도 주당 100만원이 넘는다면서, 회사의 조치가 필요하다고 했다.
영풍이 보유한 고려아연 지분 풋옵션에 대한 설명도 요청했다. 머스트자산운용은 △옵션대상 주식의 수가 영풍 보유주식의 약 60%가 맞는지 △풋옵션 행사 가능일에 도달하면 즉시 풋옵션을 행사할 계획인지 △옵션주식 할당비율은 영풍과 장형진 고문 간 지분 비율대로 책정할지 등에 대해 물었다.
투자부동산에 대한 자산재평가, 고려아연 지분 풋옵션 행사를 통해 현재 시가총액의 2~3배에 달하는 현금이 유입될 경우 활용 계획 등도 설명해달라고 했다. 머스트자산운용은 ""유입되는 현금의 최소 30% 이상을 현금 배당, 자사주 매입 등 주주환원을 해 회사의 자산이 전체 주주를 위해 경영될 계획임을 발표해준다면 한국 자본시장의 좋은 밸류업 사례가 될 것""이라고 했다.
머스트자산운용은 영풍에 오는 29일까지 요구사항에 대한 답변을 달라고 했다. 그러면서 ""여러차례 비공개 레터와 미팅을 통해  소통을 드린 내용""이라며 ""형식적인 답변인 경우, 영풍의 현재 상황을 개선하기 위한 최선의 노력을 다할 예정""이라고 했다.",자사주매입
서울경제,"영풍, 행동주의 펀드에 지적받아…""자사주소각 요구""",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004419170?sid=101,,서울경제,"머스트운용, 영풍에 공개서한…“자사주 소각·무상증자 요청”[시그널]","MBK와 풋옵션 계약 공개 요구도
영풍 주가 8% 이상 뛰어
서울 강남구 소재 영풍빌딩 전경. 영풍 제공.
[서울경제]
머스트자산운용이
고려아연(010130)
과 경영권 분쟁을 겪고 있는
영풍(000670)
을 향해 ""현재 보유중인 자사주를 전량 소각하라""는 내용의 주주서한을 25일 시장에 공개했다. 이 서한에는 영풍이 최근 MBK파트너스와 맺은 고려아연 지분 매각 옵션 관련 계약을 공개해달라는 내용이 포함돼 있어 영풍 측의 대응이 주목된다.
머스트운용은 이날 언론사와 자사 홈페이지 등에 공개한 주주서한을 통해 ""영풍이 지난 10년 이상 소각하지 않고 지속 보유중인 6.62% 자사주를 보며 의아하지 않을 수 없다""고 밝혔다. 앞서 강성두 영풍 사장은 지난 9월 27일 기자간담회를 열고 고려아연의 자사주 정책을 비판한 바 있다. 머스트운용은 이를 꼬집으면서 ""다가오는 주주총회에서 자사주를 보유하지 않고 소각하는 것에 대한 정관 조항을 추가해달라""고 재차 요청했다.
영풍 주식을 무상증자하거나 액면분할 하는 것도 요청 내용에 담았다. 머스트운용은 이에 대해 ""영풍은 유통주식수가 많지 않고 거래량이 적어 소액주주 들의 거래에 불편함이 있다""면서 ""영풍의 주당 순자산(PBR)은 200만원을 초과하는데, PBR 0.5로만 거래돼도 시가가 주당 100만 원이 넘는다""고 설명했다. 이어 ""회사의 업무 효율성을 위해 상대적으로 절차가 간편한 이사회결의로 서 빠르게 시행할 수 있는 무상증자를 요청드린다""고 강조했다.
영풍이 MBK파트너스와 맺은 경영협력계약 중 일부를 공개해 달라고 요청한데 대해서는 ""영풍의 기업가치를 분석하기 위해 가장 중요한 부분""이라는 점을 들었다. 그러면서 ""영풍이 갖고 있는 풋옵션이 약 60%가 맞는지"", ""풋옵션 행사 가능일이 도달하면 즉시 행사할 계획인지"", ""풋옵션 계약은 영풍과 장형진 고문이 권리를 갖고 있는지, 그 권리를 얼마의 비율대로 할당할 것이지""에 대해 공개해 달라고 요청했다.
만약 영풍이 고려아연 지분 풋옵션 행사를 통해 사측에 대규모 현금이 유입될 시 활용 계획을 설명해줄 것도 요구했다. 머스트운용은 ""현금의 최소 30% 이상을 현금 배당, 자사주 매입 등 주주환원을 해서 회사의 자산이 전체 주주를 위해 경영될 계획임을 발표해달라""고 강조했다.
머스트운용은 이어 영풍이 서울 종로구와 강남구에 보유한 오피스 빌딩의 자산재평가를 요구하면서 ""그 실질가치가 장부가치로서 반영되어 있지 못하고 있고 시장 참여자와 주주들이 그 가치에 대한 정보를 파악하기 어려운 상황""이라고 설명했다.
머스트운용은 자사가 영풍 지분 2% 이상을 보유한 주주라고 소개하면서 오는 29일까지 위 요청에 대한 답변을 해달라고 영풍에 요청했다. 한편 머스트운용의 이날 공개 서한이 보도되면서 오전 10시 15분 기준 유가증권시장에서 영풍 주가는 전 거래일 대비 8.55% 오른 41만9000원에 거래되고 있다.",자사주매입
뷰어스,"머스트운용, 영풍에 행동주의..""자사주전량 소각""[fn마켓워치]",,,,,,,자사주매입
파이낸셜뉴스,행동주의 펀드 영풍 주가부양 요구,네이버뉴스,https://n.news.naver.com/mnews/article/014/0005272301?sid=101,,파이낸셜뉴스,"머스트운용, 영풍에 행동주의..""자사주 전량 소각""[fn마켓워치]","29일까지 답변 요구..""형식적이면 최선의 노력 다할 것""
머스트자산운용 제공
장형진 영풍 고문. 뉴스1 제공
[파이낸셜뉴스] 머스트자산운용이 영풍을 대상으로 행동주의에 나섰다. 영풍이 MBK파트너스와 손잡고 고려아연을 손에 넣으려고 하는 중 행보다.
머스트자산운용은 25일 영풍에 현재 보유중인 자사주 6.62%를 전량 소각하라고 요구했다. 머스트자산운용은 영풍의 지분을 2% 이상 보유한 비지배주주다.
머스트자산운용은 ""강성두 영풍 사장은 고려아연의 자사주 정책을 강하게 비판했다. '소각 목적이 아닌 자사주는 취득하면 안된다. 그게 주주를 위하는 길이 아니다""고 발언했다""며 ""영풍이 지난 10년 이상 소각하지 않고 지속적으로 보유중인 자사주를 전량 소각하고, 다가오는 주주총회에서 자사주를 보유하지 않고 소각하는 것에 대한 정관 조항을 추가해달라""고 요구했다.
영풍에 대한 이사회 결의로 빠르게 시행할 수 있는 무상증자에 무게를 두지만 10분 1의 액면분할도 요구했다. 영풍은 유통주식수가 많지 않고 거래량이 적어서다. 머스트자산운용은 영풍의 주당 순자산은 200만원을 초과해, 주가순자산비율(PBR) 0.5배로만 거래돼도 주당 100만원이 넘는다고 설명했다.
또 영풍이 가진 고려아연 지분 풋옵션에 대한 설명을 요구했다. 옵션대상 주식수가 영풍 보유주식의 약 60%, 풋옵션 행사 가능일이 도달하면 즉시 행사할지 여부, 영풍과 장형진 고문의 할당비율 결정 계획 등에 대한 설명이다.
머스트자산운용은 투자 부동산에 대한 자산재평가를 요구했다.
머스트자산운용은 ""영풍은 서울 중심부에 알짜 빌딩 두 곳을 비롯한 여러 부동산을 소유 중이고 그 시장가치의 합산은 현재 시가총액을 크게 초과하는 수준이다. 회사의 매우 중요한 자산""이라며 ""상당히 오랜기간 자산재평가를 하지 않고 있어 그 실질가치가 장부가치로서 반영되어 있지 못하고 있고 시장참여자와 주주들이 그 가치에 대한 정보를 파악하기 어려운 상황""이라고 설명했다.
고려아연 지분 풋옵션 행사를 통해 현재 시가총액의 2~3배에 달하는 현금이 유입되는 경우에 그 현금 자산에 대한 활용 계획도 요구했다.
머스트자산운용은 ""PBR 0.14에 거래되고 있는 현실을 고려할 때 유입되는 현금의 최소 30% 이상을 주주환원(현금 배당, 자사주 매입 등)을 하여 회사의 자산이 전체 주주를 위해 경영될 계획임을 발표하면 영풍이 한국 자본시장의 좋은 밸류업 사례가 될 것""이라며 ""형식적인 답변이 나오면 한국에서 가장 낮은 평가를 받는 영풍의 상황을 개선하기 위한 최선의 노력을 다할 것""이라고 말했다.
#고려아연 #영풍 #머스트자산운용",자사주매입
