press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,"친환경 시대, 경유차 대신 '전기차'…점유율10% 육박",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011685604?sid=101,,뉴시스,"친환경 시대, 경유차 대신 '전기차'…점유율 10% 육박","기사내용 요약
전기동력차 44만여대 팔려 시장 점유율 26.7%
33만여대 팔린 경유차 앞서 판매량 19.8%↓
수입차 부문 수성한 독일차, 미국·일본산 판매 감소
중국산 수입차, 전기차 판매 상승에 첫 1만대 돌파
[서울=뉴시스] 권창회 기자 = 국토교통부는 올해 3분기 국내 자동차 누적 등록 대수가 2535만6000대로 집계됐다고 밝혔다. 그 중 전기차는 34만7000대로 전분기 대비 16.3%(4만8762대)가 증가했다. 사진은 28일 오후 서울 강남구 코엑스 내 전기차 충전소에서 차량들이 충전하는 모습. 2022.10.28. kch0523@newsis.com
[서울=뉴시스]강주희 기자 = 완성차 업체들의 전동화 전략이 속도를 높이는 가운데 지난해 국내에서 전기차 판매량이 경유차를 처음 제친 것으로 나타났다. 전체 신규 등록차 중 순수 전기차는 16만대 이상 판매되면서 10% 가까운 점유율을 보였다.
10일 한국자동차산업협회가 발표한 '2022년 자동차 신규 등록 현황 분석' 보고서에 따르면 지난해 자동차 신규 등록 대수는 168만3657대로 전년(173만4581대)보다 2.9% 감소했다. 이는 2014년 이후 가장 적은 판매량으로 차량용 반도체 수급에 따른 출고 지연과 고금리에 따른 소비위축이 더해진 결과다.
국산차는 전년에 비해 3.7% 줄어든 137만대로 집계됐다. 2009년 이후 가장 저조한 기록이다. 다만 원자재 가격 인상에 따른 차량 가격 상승, 고부가가치 차량 판매 비중 증가 등에 힘입어 전체 판매 금액은 전년보다 5.7% 증가한 73조6140억원으로 집계됐다.
고가 차량이 많은 수입차의 경우 전년 대비 0.5% 증가한 31만1000대가 판매되며 시장 점유율도 역대 최대인 18.5%를 기록했다. 가격 기준 시장 점유율은 33.1%를 보이며 판매 대수와 함께 역대 최대치를 기록했다.
완성차업체들 전기차 판매 확대, 향후 점유율 늘어날 듯
지난해 국내 시장에서 가장 두드러진 특징은 전기차, 하이브리드 등 전기동력차의 성장이다. 전기동력차는 전년 대비 28.7% 증가한 44만8000대가 팔려 가파른 성장세를 보였다. 특히 전기차는 63.7% 증가한 16만4000대가 판매됐고 시장 점유율도 9.8%로 10%에 육박했다.
하이브리드차(플러그인 포함)의 경우 27만4000대가 팔리며 시장점유율 16.3%를 기록했다. 반면 경유차는 전년 대비 19.8% 감소한 33만3000대가 팔려 처음으로 전기동력와 판매량이 역전됐다. 경유차의 내수 점유율은 2018년 43.4%에서 지난해 19.8%로 쪼그라든 상태다.
[서울=뉴시스] 자동차 연료별 신규등록 비중 추이. (사진=한국자동차산업협회 제공) 2023.02.10.photo@newsis.com *재판매 및 DB 금지
이같은 흐름을 반영하듯 완성차 업체들은 전기차 판매량을 더 확대하겠다는 방침을 내놓는다. 정의선 현대자동차그룹 회장은 지난달 3일 남양연구소에서 열린 신년회에서 ""올해도 더욱 진화된 차량을 개발, 공급해 글로벌 전기차 리더십을 공고히 할 것""이라고 밝혔다.
이를 위해 현대차 울산공장과 기아 오토랜드화성에 각각 국내 최초 전기차 공장을 짓는 등 속도를 높인다. 2025년 완공을 앞둔 두 공장의 연간 최대 생산 규모는 각각 15만대다. 미국 조지아주에도 전기차 전용 공장을 짓을 예정이며 연간 생산 규모는 최대 30만대로 예상된다.
이외에도 쌍용자동차는 올 하반기 토레스의 전기차 버전인 U100을 출시할 예정이며, 한국GM은 GM 플랫폼 기반의 전기차를 수입하고 2025년까지 10종의 전기차를 국내 시장에 선보이겠다고 밝힌 바 있다.
전기차 중심으로 성장한 '메이드 인 차이나'
수입차 부문에서 독일차 선호도가 높은 것으로 나타났다.  메르세데스-벤츠, BMW, 아우디 등 독일 3사 자동차가 20만6863대 판매돼 전년 대비 7.7% 증가했다. 원산지별로도 독일산이 13만1029대로 42.1%의 점유율을 보였다.
테슬라, 포드 등 미국산 자동차는 전년 대비 19.1% 감소한 3만9000대 판매에 그쳤다. 도요타, 혼다 등 일본산 자동차 역시 전년보다 17% 하락한 20만6863대가 팔렸다. 원산지별로는 미국산이 7만9298대(25.5%), 일본산이 1만2930대(4.2%)를 각각 기록했다.
중국산 수입차는 전기차를 중심으로 판매량이 늘었다. 전기상용차와 유럽 브랜드의 전기차 모델 등 판매로 전년 대비 154.5% 증가하며 지난해 1만2727대가 팔렸다. 중국산 전기차가 1만대를 넘어선 것은 처음이다.",시장점유율
스타뉴스,"임영웅, 1월 써클지수점유율TOP400 톱2",네이버뉴스,https://m.entertain.naver.com/article/108/0003127953,"가수 임영웅이 1월 가수별 써클지수 점유율 톱2에 오르며 인기를 빛냈다.
임영웅은 1월 가수별 써클지수 점유율 TOP400에서 4.5%의 점유율을 기록, 2위에 올랐다.  임영웅은 400위권 내 총 14곡을 올려놓았다.
임영웅은 앞서 지난 12월까지 8개월 연속 음원 시장 점유율 1위 대기록을 세운 바 있다.
1위는 8.7%의 점유율을 기록한 뉴진스(6곡)였다. 2위 임영웅에 이어 윤하 2.8%(5곡), 아이브 2.8%(4곡), 르세라핌 2.7%(7곡), 아이유 2.7%(14곡), NCT드림 2.4%(8곡), 찰리 푸스 2.1%(8곡), 블랙핑크 2%(8곡), 이영지 1.9%(5곡) 순이었다.
한편 지난해 연말 시상식에서 수상 행진을 이어가며 대세 존재감을 빛낸 임영웅은 2월 11일~12일 미국 LA에서 첫 해외 콘서트에 나선다.",,,,시장점유율
스타뉴스,"임영웅, 역시 `차트의 제왕`…1월 써클지수점유율톱400 톱2",네이버뉴스,https://m.entertain.naver.com/article/108/0003127953,"가수 임영웅이 1월 가수별 써클지수 점유율 톱2에 오르며 인기를 빛냈다.
임영웅은 1월 가수별 써클지수 점유율 TOP400에서 4.5%의 점유율을 기록, 2위에 올랐다.  임영웅은 400위권 내 총 14곡을 올려놓았다.
임영웅은 앞서 지난 12월까지 8개월 연속 음원 시장 점유율 1위 대기록을 세운 바 있다.
1위는 8.7%의 점유율을 기록한 뉴진스(6곡)였다. 2위 임영웅에 이어 윤하 2.8%(5곡), 아이브 2.8%(4곡), 르세라핌 2.7%(7곡), 아이유 2.7%(14곡), NCT드림 2.4%(8곡), 찰리 푸스 2.1%(8곡), 블랙핑크 2%(8곡), 이영지 1.9%(5곡) 순이었다.
한편 지난해 연말 시상식에서 수상 행진을 이어가며 대세 존재감을 빛낸 임영웅은 2월 11일~12일 미국 LA에서 첫 해외 콘서트에 나선다.",,,,시장점유율
시사저널,[데이터뉴스] 지난해 K배터리시장 점유율23.7%,네이버뉴스,https://n.news.naver.com/mnews/article/586/0000052142?sid=101,,시사저널,[데이터뉴스] 지난해 K배터리 시장 점유율 23.7%,"지난해 글로벌 전기차 탑재 배터리 사용량에서 국내 3사의 시장 점유율이 전년보다 6%포인트 넘게 하락한 23.7%로 집계됐다. 에너지 전문 시장조사업체 SNE리서치에 따르면 국내 3사의 시장 점유율은 2021년 30.2%에서 2022년 23.7%로 6.5%포인트 낮아졌다.
2022년 LG에너지솔루션 배터리의 사용량은 59.4GWh에서 70.4GWh로 18.5% 늘어났지만, 시장 점유율은 19.7%에서 13.6%로 6.1%포인트 내려갔다. 연간 기준 점유율 2위는 유지했다. 5위 SK온과 6위 삼성SDI 사용량도 각각 61.1%, 68.5% 증가했다. 그러나 점유율은 SK온이 5.7%에서 5.4%로, 삼성SDI가 4.8%에서 4.7%로 소폭 하락했다.",시장점유율
글로벌이코노믹,"인텔, 글로벌CPU시장점유율70% 붕괴…AMD 30%이상 확대",,,,,,,시장점유율
데일리카,시장 점유율급락하는 LG엔솔..국산 배터리 3사 긴장!,,,,,,,시장점유율
데일리팜,5년새점유율'23→27%'...24년차 플라빅스의 역주행,,,,,,,시장점유율
한국경제TV,카카오에 하이브까지…에스엠 경영권 어디로?,네이버뉴스,https://n.news.naver.com/mnews/article/215/0001082374?sid=101,,한국경제TV,카카오에 하이브까지…에스엠 경영권 어디로?,"<앵커>
하이브가 에스엠 엔터테인먼트 대주주인 이수만 프로듀서의 지분을 인수하면서 단숨에 에스엠의 대주주가 됐습니다. 오늘 이슈는 IT바이오부 신동호 기자, 증권부 홍헌표 기자와 함께합니다. 먼저 홍 기자 간단히 정리해주시죠
<홍헌표 기자>
하이브가 오늘 오전 이수만 SM 대주주 겸 전 총괄 프로듀서가 보유한 지분 14.8%를 4,228억 원에 인수한다고 밝혔습니다.
이수만 프로듀서가 보유한 439만주 중 352만주를 한 주당 12만 원에 사는 겁니다.
지분율 15%가 넘으면 기업결합 심사를 위한 사전 승인이 필요하기 때문에 일단 14.8%를 먼저 매수하기로 결정한 것으로 보입니다.
또 다음달 1일까지 공개매수를 통해 지분 25% 포인트를 추가로 확보하겠다는 계획입니다.
이렇게 해서 에스엠의 지분율을 40%까지 늘리겠다는 목표입니다.
<앵커>
에스엠의 경영권 분쟁은 행동주의 펀드인 얼라인파트너스의 개입부터 시작했습니다. 최근 있었던 에스엠의 경영권 분쟁을 신동호 기자가 정리해봤습니다.
<신동호 기자>
이번 SM 엔터테인먼트 지분 인수 이슈의 시작은 이수만 전 총괄 프로듀서가 개인회사인 라이크 기획을 통해 매년 수백억원의 인세를 받아온것에 대한
행동주의 펀드 얼라인파트너스의 주주행동 압박에서였습니다.
얼라인은 SM과 라이크기획간의 계약이 SM의 주주가치를 훼손하고 있다며 주주행동을 벌여왔는데요.
지난해 8월엔 SM 측에 라이크기획 문제 개선을 촉구하며 공개 주주 서한을 보냈고 10월에는 SM에 라이크기획과의 거래뿐만 아니라 대주주 등에 지분을 투자한 관계기업과의 거래 관련 자료 등을 청구하기도 했습니다.
라이크기획 문제를 두고 얼라인의 압박이 거세지자 SM은 지난해 12월 31일 이사회 결의를 통해 라이크기획과의 계약을 조기 종료했고요.
결국 라이크기획과의 계약 종료는 이수만 전 총괄 프로듀서와 SM간 프로듀싱 계약 종료를 의미하기에 SM의 상징적 존재와도 같은 이수만 전 총괄 프로듀서의 입지 역시 흔들렸습니다.
이후 SM의 경영진 이성수, 탁영준 공동 대표이사가 지난 3일 이수만 독점 프로듀싱 체계에서 벗어나 5개의 제작센터와 내·외부 레이블이 독립적으로 음악을 생산하는 ‘멀티 프로듀싱’ 시스템을 도입하겠다고 전격 발표했습니다.
이때부터 분쟁이 본격화됐는데요.
이어 7일에는 긴급 이사회를 열어 카카오에 제3자 배정 유상증자 형태로 전환사채를 발행했습니다.
이수만 전 프로듀서의 SM 지분율은 18.46%로 1대 주주 지위를 유지하고 있었지만 카카오 유상증자 이후에는 지분율이 더 떨어져 대주주로서 영향력이 약화될 수도 있는 상황이었습니다.
이에 이수만 전 총괄 프로듀서는 신주 및 전환사채 발행금지 가처분 신청서를 제출하며 대응에 나서기도 했습니다.
결국 SM 현 경영진이 카카오를 2대 주주로 내세우며 이수만 전 총괄 프로듀서를 전방위적으로 압박하는 모양새가 되며 상황이 급박하게 돌아가자
조용히 SM과 물밑 공감대를 형성해 왔던 하이브는 지분 인수설을 공시한 지 단 하루만에 인수 사실을 공표하며 적극적으로 이수만의 ‘백기사’를 자처하게 된겁니다.
하이브와 이수만의 주식 거래가 끝나면 SM 경영권 분쟁은 표면적으로는 가라앉겠지만 경영진을 둘러싼 내분은 피할 수 없을 것으로 예상됩니다.
<앵커>
일단 오늘 주가는 에스엠이 큰 폭으로 올랐습니다. 시장에서는 일단 긍정적으로 보는 것 같은데? 에스엠 경영진의 반응이 궁금합니다.
<홍헌표 기자>
오늘 에스엠은 16% 상승, 하이브는 장중 10% 정도 올랐다가 막판에 하락 전환하면서 1.51% 하락 마감했습니다.
일단 이수만 프로듀서와 대립각을 세웠던 에스엠 경영진이 한 방 먹었다고 표현할 수 있겠습니다.
오늘 에스엠측은 ""하이브를 포함한 외부의 모든 적대적 M&A를 반대한다""는 입장을 내놨습니다.
에스엠 경영진은 이달 초 새 비전인 ‘SM 3.0’을 발표했고, 지난 7일에는 카카오와 신주 유상증자 및 전환사채를 통해 9.05% 지분을 넘기는 계약을 체결했습니다.
그러면서 발표했던 입장이 ""특정 주주나 세력에 의한 사유화에 반대하며, 건전하고 투명한 지배구조를 확립하고 주주 권리 보호를 위해 최선의 노력을 다할 것""이라는 것이었습니다.
즉, 이수만 프로듀서와의 결별을 선언한 것인데, 오히려 이 프로듀서가 하이브와 동맹을 맺고 여전히 에스엠에 영향을 끼칠 것으로 보입니다.
사흘만에 상황이 급반전됐습니다.
<앵커>
그렇다면 인수전에 뛰어든 하이브의 입장도 궁금합니다. 하이브는 왜 SM 인수에 뛰어든건가요.
<신동호 기자>
하이브는 방탄소년을 비롯해 최근 인기를 끌고 있는 뉴진스, 르세라핌, 투모로우바이투게더 등 인기 K팝 스타들이 다수 포함된 기획사입니다.
그렇지만 SM과 YG, JYP에 이어 국내 엔터업계의 후발주자죠.
하지만 방탄소년단이라는 세계적 그룹을 키워내며 기존 가요계의 지형도를 바꾼 주역이지만 역사가 부족했던 것이 사실입니다.
하이브 입장에선 K-팝의 시스템을 구축하고 혁신을 이끈 SM, YG, JYP 등 빅3가 가진 K-팝 유산이 하이브에는 부재하다는 점입니다.
결국 국내 엔터사의 기둥이었던 SM을 인수함으로 이를 보완한다는 전략입니다.
<앵커>
하이브의 SM엔터테인먼트 인수로 엔터업계의 커다란 지각변동이 생겨났습니다. 두 기업이 합쳐짐으로 국내 거대 기획사가 탄생하는거죠.
시장에선 하이브의 SM 인수. 어떻게 바라바고 있습니까
<신동호 기자>
그야 말로 우리나라 엔터엡계의 메가톤급 폭풍이 불어닥쳤습니다.
앞서 이야기했듯이 하이브의 스타들과 SM은 1세대 아이돌 그룹 동방신기와 슈퍼주니어, 샤이니, 엑소, NCT, 에스파 등 경쟁력 있는 IP(지식재산권)를 다수 보유하고 있죠.
하이브의 ‘SM 최대 주주’라는 지위는 단지 ‘거대 기획사’로의 확장만을 의미하지 않습니다.
그간 SM과 JYP, YG로 강력하게 구축된 K-팝 업계의 재편이기도 합니다.
이젠 하이브의 독주 체제가 예상ㄷ되며 그간 가요계 빅4 중 후발주자에 머물렀던 하이브는 명실상부 선두주자로 도약 대한민국 엔터테인먼트업계 1인자로 자리할 전망입니다.
<앵커>
이수만씨 측에서는 에스엠이 카카오에 신주 및 전환사채 발행을 한 것이 위법하다고 제동을 걸었습니다. 이 부분도 앞으로 지분율 확보를 두고 관심사가 될텐데 어떻게 결론이 날 것 같습니까?
<기자>
이수만 프로듀서는 에스엠과 카카오의 신주 및 전환사채 발행이 위법하다고 법원에 가처분 신청을 했습니다.
아직 인용이다 기각이다 판단할 수는 없습니다. 통상 결과가 나오는데 한 달 정도 걸리는데, 주주총회가 3월 6일이기 때문에 그 전에 결론이 날 가능성이 높습니다.
과거 사례들을 보면 경영권에 영향을 미치는 신주배정은 무효로 보는 경우가 많았습니다.
이를 의식했던 탓인지, 카카오는 에스엠 지분을 인수하면서 경영권 이야기는 하지 않고, ""지적재산권과 콘텐츠 분야에서 시너지를 내기 위한 투자다""라고 언급했습니다.
만약 가처분 신청이 받아들여지면 이수만 프로듀서와 하이브쪽에 상당히 유리합니다.
기각이 돼서 카카오가 지분 9%를 취득해도 카카오와 에스엠 경영진, 얼라인 입장에서는 만만치 않습니다.
지분대결을 해야하는데, 하이브와 이수만씨 측 지분이 18.46%(가처분 기각시 16.8%)이고, 카카오(9.05%)측으로 분류되는 KB자산운용(3.83%)과 얼라인파트너스(0.91%), 에스엠 경영진(0.66%)등을 합쳐도 지분이 모자랍니다.
국민연금이 9%, 컴투스가 4% 가량 보유하고 있는데, 컴투스를 이수만 프로듀서측의 우호지분으로 보는 시각이 많습니다.
또 하이브가 공개매수 의사를 밝혔기 때문에 결국 카카오가 어떻게 움직일 지가 관건입니다.
<앵커>
문제는 그룹 BTS 소속사 하이브가 대형K팝 기획사 SM엔터테인먼트를 인수해 초대형 1등 기업 등장으로 독과점이 우려된다는 말이 나옵니다.
이와 관련한 문제는 없나요?
<신동호 기자>
현 단계에서 하이브가 취득하기로 한지분은 14.8%인만큼 일단 기업결합 신고 대상에 해당하진 않습니다.
공정위에 따르면 자산 또는 매출액이 3000억 원 이상인 회사가 자산 또는 매출액이 300억 원 이상인 상장 회사 주식을 15% 이상 취득하는 경우 공정위에 기업결합을 신고해야 합니다.
그러나 공정위가 두 회사 간 기업결합이 엔터테인먼트 시장의 경쟁을 제한하는지 들여다볼 가능성은 열려있는데요.
하이브가 3월 1일까지 소액주주를 상대로 최대 25% 지분을 주당 12만 원에 공개매수하겠다고 밝혔기 때문입니다.
하이브가 SM 주식을 추가로 취득해 보유 지분이 15.0% 이상이 되면 해당 시점에 공정위에 기업결합을 신고해야 합니다.
기업결합 신고가 접수되면 공정위는 두 회사의 결합으로 시장에서의 경쟁이 제한되지 않는지, 시장 지배력을 획득해 남용할 우려가 없는지, 기업 결합으로 인한 효율성 증대 효과는 어느 정도인지 등을 따져봅니다.
그 결과 필요하다고 판단하면 주식 일부를 처분하게 하거나 결합 당사 회사들이 특정한 행위를 하지 못하게 하는 등 시정조치를 부과할 수 있습니다.
이와 별개로 하이브의 임직원이 SM 임원을 겸임하는 경우에도 지분이 15.0% 이상인지 여부와 무관하게 기업결합 신고 대상이 됩니다.
결론적으로 하이브와 SM엔터테인먼트의 합계 시장 점유율은 어디까지를 동일시장으로 볼지에 따라 달라질 수 있는데요.
엔터테인먼트 사업 분야가 워낙 다양한데다 하이브 등 초대형 기획사와 중소 기획사가 혼재한 상황이기 때문에 좀 더 지켜봐야 할 것 같습니다.
<앵커> 지금 이 상황을 보면 오스템임플란트 상황과 큰 틀에서는 비슷해 보입니다. 행동주의 펀드가 들어와서 대주주를 견제하고, 기업을 바꾸려는 시도를 했는데 대주주는 쉽게 물러나지 않는 상황이네요?
<홍헌표 기자>
네 그렇습니다.
강성부 펀드로 알려져있는 KCGI는 오스템임플란트의 지배구조와 내부통제에 대해 문제제기를 하면서 개혁을 요구했습니다. 특히 최대주주가 나가고 전문경영인이 들어와야한다고 목소리를 냈는데요,
최규옥 오스템임플란트 회장은 자신에게 우호적인 사모펀드에 자신의 지분을 매각하는 방법으로 사실상 경영권을 방어했습니다.
행동주의 펀드인 KCGI가 사모펀드의 공개매수에 응하면서 사실상 수익을 얻고 떠나는 것으로 상황이 마무리되는 분위깁니다.
지금 상황만 보면 최규옥 회장이 이수만 프로듀서, 사모펀드가 하이브인 것처럼 보입니다.
<앵커>
이 경영권 관련해서 문제제기를 한 얼라인파트너스가 난처해졌습니다. 입장이 궁금한데요?
<홍헌표 기자>
일단 얼라인은 오늘 하이브의 공개매수 가격 12만 원이 너무 낮다는 의견을 내놨습니다.
공개매수 가격 12만 원은 ""향후 에스엠의 매출과 영업이익 상승여력, 라이크기획 내부거래 정리 등 효율화 작업을 감안했을 때 너무 낮다""고 밝혔는데요,
얼라인 측은 ""공개매수 가격이 대폭 인상돼야 한다. 관련해 자세한 내용은 추후에 공개하겠다""고 설명했습니다.
취재를 해본 결과 얼라인은 내부적으로 에스엠의 가치를 따져 판단한 기대가격이 있는데, 다음 주 중 공개할 예정입니다.
늦어도 다음 주 화요일인 14일에는 입장이 나올 것으로 보입니다.
카카오는 경영권 프리미엄이 없다고 감안할 수는 있지만 일단 신주를 9만 원대에 받았습니다.
얼라인이 과연 여기서 강성부펀드와 비슷한 선택을 할 지, 아니면 정말 이수만 체제를 바꿔보기 위해 지속적으로 에스엠에 개입할 지 지켜봐야하는데요
이 부분에 대해서는 얼라인은 ""아직 엑시트(EXIT)하는 것을 논의할 단계는 아니다""라고 밝혔습니다. 경영권 확보를 위한 1,2대 주주간 경쟁이 붙은 만큼 기업가치는 더 올라갈테니 지켜보면서 실익을 챙기겠다는 의도가 깔린 것으로 보입니다.
<앵커>
갑작스런 하이브의 등장에 카카오의 입장도 곤란해졌습니다.
<신동호 기자>
맞습니다. 이수만 대주주 측이 제기한 제3자 신주 및 전환사채 발행을 금지하는 가처분 신청 결과에 따라 지분 인수 계획을 새로 짜거나 이번 분쟁에서 고배를 마셔야 할 수 있습니다.
물론 카카오가 발 빠르게 우호 세력을 규합하거나 추가로 에스엠 지분 매입에 나설 가능성도 있지만 역시 문제는 자금 여력과 가격입니다.
갑작스럽게 하이브가 등장을 하면서, 만일 하이브가 SM의 최대주주가 되는 것이 확실시 된다면 카카오의 셈법은 복잡해졌습니다.
일이 이렇게 되자 카카오가 SM을 인수못한다면 중소형 엔터테인먼트 회사에 대한 M&A에 나서지 않겠냐는 분석도 나오는데요.
실제로 카카오엔터테인먼트가 큐브엔터테인먼트와 지난해 12월 800억원 규모의 음반 및 콘텐츠 선급 유통계약을 체결했는데요.
시장에선 카카오가 SM 인수에 실패한다면 큐브엔터를 인수하지 않겠느냐는 이야기도 나옵니다.
<앵커>
이 사안이 에스엠, 카카오, 또 하이브까지 가세해서 주가가 출렁이고 있기 때문에 개인투자자들이 상당히 관심이 커졌는데, 증권가에서는 어떻게 보고 있습니까?
<홍헌표 기자>
일단 하이브가 공개매수를 12만원에 하겠다고 했기 때문에 에스엠의 주가는 당분간 비슷한 수준에서 움직일 가능성이 있습니다.
오스템임플란트의 경우 사모펀드가 19만 원에 공개매수하겠다고 밝힌 뒤로 주가가 10거래일 동안 18만 원 후반에서 움직이고 있습니다.
다만 공개매수가 끝나고, 카카오의 지분취득에 대한 가처분 신청의 결론이 나면 주가가 또 출렁일 수 있습니다.
또 1년 넘게 지속된 이 경영권 이벤트가 사라지게되면 추가적인 주가상승은 어렵다는 의견도 있습니다.
에스엠은 단기적으로 오를만큼 올랐다는 평가입니다.
하이브의 경우 공개 매수를 위해서는 추가로 7천억 원이 필요합니다.
증권가에서는 자금이 부족해 향후에 신주를 발행해 추가적인 자금조달이 필요하다는 분석을 내놨습니다.
그럼에도 하이브가 에스엠 경영권 확보에 성공한다면 장기적으로는 이득이 크다는 설명입니다.
<앵커>
3월 주주총회가 예정돼있죠. 주총 전까지 남은 과제 뭐가 있을까요
<신동호 기자>
앞에 이야기 한 것처럼 이수만 측이 SM과 카카오의 신주 및 전환사채 발행이 위법하다고 법원에 가처분 신청을 낸 것이 최대 변수입니다.
3월 주주총회 이전에 가처분 신청이 받아들여지면 이수만과 하이브쪽에 유리하고, 반대로 가처분 신청이 기각되면 주주들의 표심을 잡기 위해 양측이 사활을 걸고 경쟁할 것으로 보입니다.
그리고 하이브의 다음 수순은 소액주주의 지분도 사들여 경영권 행사에 안정적인 지분을 확보하는 것입니다.
하이브는 SM 소액 주주가 보유한 지분 공개매수에도 나선다고 밝혔죠.
하이브는 이수만 지분에 소액 주주 지분까지 사들여 최대 40%의 지분을 확보한다는 방침입니다.
관건은 다음달로 예정된 SM 주주총회입니다.
지분율 60%가 넘는 소액주주들이 어떤 반응을 보일지도 관심사인데요.
궁지에 몰린 SM 현 경영진이 얼라인 카카오와 손을 잡고 주주총회에서 소액 주주를 설득해 표 대결에 힘을 쏟을 것으로 관측되지만, 주주이익 실현이 목적인 소액주주 입장에선 업계 1위인 하이브가 SM을 인수하는 것을 마다할 이유가 없습니다.",시장점유율
조선일보,SM 지분 전쟁… 하이브가 15%이상 인수땐 독과점 심사 받는다,네이버뉴스,https://n.news.naver.com/mnews/article/023/0003745559?sid=101,,조선일보,SM 지분 전쟁… 하이브가 15%이상 인수땐 독과점 심사 받는다,"이수만 지분 14.8% 취득 계약
0.2% 이상 더 취득하면
공정위 기업결합심사 대상
방시혁 하이브 의장(왼쪽)과 이수만 전 SM 총괄 프로듀서/뉴스1·뉴시스
공정거래위원회가 그룹 방탄소년단(BTS)의 소속사 하이브가 SM 엔터테인먼트 지분을 15% 이상 인수할 시 기업결합 심사 대상이 된다고 밝혔다.
하이브는 10일 이수만 SM 대주주 겸 전 총괄 프로듀서가 보유한 지분 가운데 14.8%를 4228억원에 인수하는 계약을 체결했다고 공시했다. 이로써 하이브는 SM의 최대주주가 됐다. 공정위에 따르면 자산 또는 매출액이 3000억원 이상인 회사가 자산 또는 매출액이 300억원 이상인 상장 회사 주식을 15% 이상 취득하는 경우 공정위에 기업결합을 신고해야 한다.
현 단계에서 하이브가 취득하기로 한 지분은 14.8%인 만큼 일단은 기업결합 신고 대상에 해당하지 않는다. 하이브는 “추후 더 매입하겠다”고 밝혔는데 0.2% 이상 더 취득해 15%를 넘어설 경우 독과점 여부를 따지는 기업 결합 심사를 받게 된다.
다만 하이브가 예고와 달리 14.8%에서 멈출 경우 공정위가 경쟁제한적 기업결합으로 판단해 심사를 진행할 수는 있다. 필요하다고 판단하면 주식 일부를 처분하게 하거나 결합 당사 회사들이 특정한 행위를 하지 못하게 하는 등 시정조치를 부과할 수 있다.
하이브와 SM의 합계 시장 점유율은 어디까지를 관련 시장으로 볼지에 따라 달라질 수 있다. 제작, 유통, 콘텐츠 등 엔터테인먼트 산업 연관분야가 많아 범위를 어디까지로 하냐에 따라 시장지배력이 판가름 난다. 결합 불승인도 가능하지만 시정명령을 통해서 보완조치를 하면 조건부로 허용해 줄 수도 있다.
이와 별개로 하이브의 임직원이 SM 임원을 겸임하는 경우에도 지분이 15.0% 이상인지 여부와 무관하게 기업결합 신고 대상이 된다. 하이브가 자산 또는 매출 2조원 이상인 대규모 회사에 해당하기 때문이다.",시장점유율
조선일보,하이브·SM 독과점 우려?…지분 15%부턴 공정위 M&A 심사받아야,네이버뉴스,https://n.news.naver.com/mnews/article/023/0003745559?sid=101,,조선일보,SM 지분 전쟁… 하이브가 15%이상 인수땐 독과점 심사 받는다,"이수만 지분 14.8% 취득 계약
0.2% 이상 더 취득하면
공정위 기업결합심사 대상
방시혁 하이브 의장(왼쪽)과 이수만 전 SM 총괄 프로듀서/뉴스1·뉴시스
공정거래위원회가 그룹 방탄소년단(BTS)의 소속사 하이브가 SM 엔터테인먼트 지분을 15% 이상 인수할 시 기업결합 심사 대상이 된다고 밝혔다.
하이브는 10일 이수만 SM 대주주 겸 전 총괄 프로듀서가 보유한 지분 가운데 14.8%를 4228억원에 인수하는 계약을 체결했다고 공시했다. 이로써 하이브는 SM의 최대주주가 됐다. 공정위에 따르면 자산 또는 매출액이 3000억원 이상인 회사가 자산 또는 매출액이 300억원 이상인 상장 회사 주식을 15% 이상 취득하는 경우 공정위에 기업결합을 신고해야 한다.
현 단계에서 하이브가 취득하기로 한 지분은 14.8%인 만큼 일단은 기업결합 신고 대상에 해당하지 않는다. 하이브는 “추후 더 매입하겠다”고 밝혔는데 0.2% 이상 더 취득해 15%를 넘어설 경우 독과점 여부를 따지는 기업 결합 심사를 받게 된다.
다만 하이브가 예고와 달리 14.8%에서 멈출 경우 공정위가 경쟁제한적 기업결합으로 판단해 심사를 진행할 수는 있다. 필요하다고 판단하면 주식 일부를 처분하게 하거나 결합 당사 회사들이 특정한 행위를 하지 못하게 하는 등 시정조치를 부과할 수 있다.
하이브와 SM의 합계 시장 점유율은 어디까지를 관련 시장으로 볼지에 따라 달라질 수 있다. 제작, 유통, 콘텐츠 등 엔터테인먼트 산업 연관분야가 많아 범위를 어디까지로 하냐에 따라 시장지배력이 판가름 난다. 결합 불승인도 가능하지만 시정명령을 통해서 보완조치를 하면 조건부로 허용해 줄 수도 있다.
이와 별개로 하이브의 임직원이 SM 임원을 겸임하는 경우에도 지분이 15.0% 이상인지 여부와 무관하게 기업결합 신고 대상이 된다. 하이브가 자산 또는 매출 2조원 이상인 대규모 회사에 해당하기 때문이다.",시장점유율
