press,title,naver_news_text,naver_news_url,body
한경비즈니스,"‘노태북 효과’ 삼성, 노트북시장점유율50% 돌파",네이버뉴스,https://n.news.naver.com/mnews/article/050/0000065662?sid=101,
조선일보,"세계서 20조원 몰려왔다, 日 반도체의 재부상",네이버뉴스,https://n.news.naver.com/mnews/article/023/0003764844?sid=105,
조선일보,대만 반도체 의존 낮추는 美… 그 틈 파고든 日,네이버뉴스,https://n.news.naver.com/mnews/article/023/0003764844?sid=105,
뉴시스,"美대륙 울린 '농심 신라면'…해외 매출, 국내 넘어서[글로벌 K라면 열풍...",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011869960?sid=101,
SBS,"[스프] 미 · 중이 싸울 때, 우리가 이득 볼 방법은 없을까?",네이버뉴스,https://n.news.naver.com/mnews/article/055/0001059354?sid=101,
머니S,無에서 有로… 바이오시밀러 글로벌 강자 '셀트리온',네이버뉴스,https://n.news.naver.com/mnews/article/417/0000922279?sid=101,
노컷뉴스,"삼성 vs TSMC, 美日서 파운드리 전쟁 본격화",네이버뉴스,https://n.news.naver.com/mnews/article/079/0003771994?sid=101,
매일경제,도요타·혼다 고객 다 갈아탄다...테슬라 주가도 잘 나갈까?[강인선의 자...,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005132907?sid=101,
이데일리,"“中 전기차 판매, 30% 넘게 급증”…주가 차별화 주목",네이버뉴스,https://n.news.naver.com/mnews/article/018/0005490406?sid=101,
서울경제,‘삼성 독주체제’ 노트북시장…외산 반격에 과열 조짐,네이버뉴스,https://n.news.naver.com/mnews/article/011/0004192735?sid=105,
헤럴드경제,“이 색상이 그렇게 예쁜가?” 삼성 잡겠다고 또 ‘핫핑크’ 입혔다,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002145964?sid=105,
