press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴스1,"4분기 수출 전망 '부진'…""세계 경기 둔화·원자재가격 상승""",네이버뉴스,https://n.news.naver.com/mnews/article/421/0007061775?sid=101,,뉴스1,"4분기 수출 전망 '부진'…""세계 경기 둔화·원자재 가격 상승""","수출산업경기전망지수 90.2…100 밑으로 떨어져
15개 품목 중 10개 품목에서 수출 경기 악화 예상
2023년 4분기 수출산업경기전망지수(EBSI)
(서울=뉴스1) 신건웅 기자 = 세계 경기 둔화와 원자재 가격 상승으로 올해 4분기 수출 경기도 부진할 것이라는 전망이 나왔다.
한국무역협회(KITA) 국제무역통상연구원은 20일 이 같은 내용의 '2023년 4분기 수출산업경기전망지수(EBSI)'를 발표했다.
4분기 EBSI는 기준선인 100을 밑도는 90.2로 집계됐다. 다음 분기 수출 경기에 대한 기업 전망을 나타내는 EBSI는 100을 기준으로, 개선될 것으로 보면 상승한다. 반대로 악화될 가능성이 크면 내려간다.
중국 부동산 금융위기와 국제유가 상승, 글로벌 수요 둔화 지속에 따른 경기부진 장기화 우려가 반영되면서 EBSI가 다시 기준선인 100 아래로 하락했다. 전 분기 EBSI는 108.7이다.
모든 항목의 악화가 예상되는 가운데 제조원가(75.2)와 채산성(84.3)이 가장 부정적 요인으로 꼽혔다.
품목별로는 플라스틱·고무·가죽제품(69.5), 섬유·의복제품(75.5), 자동차·자동차부품(77.4) 품목이 4분기 수출 환경을 가장 부정적으로 전망했다.
자동차와 자동차부품도 차량용 반도체 수급난 해소로 인해 이연 수요(대기 수요)가 해소되고 미국 등에서의 경쟁이 확대돼 수출 호조세가 약화될 것으로 봤다.
그나마 무선통신기기·부품은 프리미엄 스마트폰 성장이 지속되는 가운데, 국내기업의 완제품 판매와 해외기업에 대한 스마트폰 부품 공급이 늘어나면서 수출 여건이 개선될 것으로 기대된다.
수출애로는 원자재 가격 상승, 수출국 경기 부진, 바이어의 가격인하 요구 순으로 응답이 많았다. 국제유가는 6월 4주 반등해 현재까지 상승세를 지속 중이다.
김나율 한국무역협회 연구원은 ""수출 기업이 수요 부진, 원가 상승, 단가 인하 압력 등 3중고에 시달리고 있다""면서 ""수입 원자재 할당 관세 적용을 연장·확대하고, 수출 기업에 무역 금융, 수출 바우처 등 실효성 있는 안전망을 제공해야 한다""고 강조했다.",가격상승
뉴스1,"세계경기 둔화, 원유 등 원자재가격 상승으로 4분기 수출 부진 전망",네이버뉴스,https://n.news.naver.com/mnews/article/421/0007061775?sid=101,,뉴스1,"4분기 수출 전망 '부진'…""세계 경기 둔화·원자재 가격 상승""","수출산업경기전망지수 90.2…100 밑으로 떨어져
15개 품목 중 10개 품목에서 수출 경기 악화 예상
2023년 4분기 수출산업경기전망지수(EBSI)
(서울=뉴스1) 신건웅 기자 = 세계 경기 둔화와 원자재 가격 상승으로 올해 4분기 수출 경기도 부진할 것이라는 전망이 나왔다.
한국무역협회(KITA) 국제무역통상연구원은 20일 이 같은 내용의 '2023년 4분기 수출산업경기전망지수(EBSI)'를 발표했다.
4분기 EBSI는 기준선인 100을 밑도는 90.2로 집계됐다. 다음 분기 수출 경기에 대한 기업 전망을 나타내는 EBSI는 100을 기준으로, 개선될 것으로 보면 상승한다. 반대로 악화될 가능성이 크면 내려간다.
중국 부동산 금융위기와 국제유가 상승, 글로벌 수요 둔화 지속에 따른 경기부진 장기화 우려가 반영되면서 EBSI가 다시 기준선인 100 아래로 하락했다. 전 분기 EBSI는 108.7이다.
모든 항목의 악화가 예상되는 가운데 제조원가(75.2)와 채산성(84.3)이 가장 부정적 요인으로 꼽혔다.
품목별로는 플라스틱·고무·가죽제품(69.5), 섬유·의복제품(75.5), 자동차·자동차부품(77.4) 품목이 4분기 수출 환경을 가장 부정적으로 전망했다.
자동차와 자동차부품도 차량용 반도체 수급난 해소로 인해 이연 수요(대기 수요)가 해소되고 미국 등에서의 경쟁이 확대돼 수출 호조세가 약화될 것으로 봤다.
그나마 무선통신기기·부품은 프리미엄 스마트폰 성장이 지속되는 가운데, 국내기업의 완제품 판매와 해외기업에 대한 스마트폰 부품 공급이 늘어나면서 수출 여건이 개선될 것으로 기대된다.
수출애로는 원자재 가격 상승, 수출국 경기 부진, 바이어의 가격인하 요구 순으로 응답이 많았다. 국제유가는 6월 4주 반등해 현재까지 상승세를 지속 중이다.
김나율 한국무역협회 연구원은 ""수출 기업이 수요 부진, 원가 상승, 단가 인하 압력 등 3중고에 시달리고 있다""면서 ""수입 원자재 할당 관세 적용을 연장·확대하고, 수출 기업에 무역 금융, 수출 바우처 등 실효성 있는 안전망을 제공해야 한다""고 강조했다.",가격상승
서울신문,"4분기 수출 전망도 `부진`…""세계 경기 둔화·원자재가격 상승영향""",네이버뉴스,https://n.news.naver.com/mnews/article/081/0003394718?sid=101,,서울신문,"세계경기 둔화, 원유 등 원자재 가격 상승으로 4분기 수출 부진 전망","무역협회 제공
원유 가격의 고공행진과 세계 경기가 둔화 조짐을 보이면서 4분기 수출이 부진할 것이라는 전망이 나왔다.
한국무역협회는 20일 ‘2023년 4분기 수출산업경기전망지수(EBSI)’가 90.2로 국내 기업은 수출 경기가 전분기 대비 악화될 것으로 예상한다고 밝혔다.
EBSI는 다음 분기 수출 경기에 대한 기업의 전망을 나타내는 지표로 100을 기준으로 전 분기보다 개선(악화)될 것으로 예상하면 100보다 큰(작은) 값을 갖는다. 2023년 분기별 EBSI는 1분기 81.8에서 2분기 90.9, 3분기 108.7로 상승세였지만 4분기에는 90.2로 다시 주저앉은 것이다.
무협은 무섭게 치솟고 있는 유가 상승이 수요 부진과 원가상승, 경기둔화를 초래해 수출 여건을 악화시키는 것으로 분석했다.
실제로 국가유가는 러시아와 사우디아라비아의 원유 감산 연장에 따른 공급 우려로 연일 연중최고치 기록을 갈아치우고 있다. WTI 가격은 지난 14일 배럴당 90달러를 돌파하며 4거래일 연속 상승세를 지속해 지난해 11월 이후 10개월 만에 최고치를 기록했다. 마이크 워스 셰브런 최고경영자(CEO)는 유가가 배럴당 100달러에 이를 것으로 예측했다.
유가의 고공흐름이 이어지면서 플라스틱·고무·가죽제품(69.5), 섬유·의복제품(75.5), 자동차·자동차부품(77.4) 품목이 4분기 수출 환경을 가장 부정적으로 전망한다고 무협은 밝혔다.
항목별로도 상담·계약, 수출 대상국 경기 등 모든 항목의 지수가 100을 하회해 전 분기 대비 악화될 것으로 전망했다. 특히 제조원가(75.2)와 채산성(84.3)에 대한 우려가 가장 큰 것으로 나타났다.
수출애로는 원자재 가격 상승, 수출국 경기 부진, 바이어의 가격인하 요구 순으로 응답이 많았다. 원자재 가격 상승(20.0%)은 지난 분기에 이어 4분기에도 최대 애로사항으로 지목됐으며 수출 대상국의 경기부진(18.3%) 애로를 호소하는 수출 기업이 3분기 대비 가장 큰 폭으로 증가(+2.8%p)한 것을 나타났다.
반면 선박(145.8), 무선통신기기·부품(120.7), 의료·정밀·광학기기(119.4), 생활용품(116.4) 등은 100을 넘어 수출 환경이 좋아질 것으로 전망됐다.
한국무역협회 김나율 연구원은 “수출 기업이 수요 부진, 원가 상승, 단가 인하 압력 등 3중고에 시달리고 있다”면서 “수입 원자재 할당 관세 적용을 연장·확대하고 수출 기업에 무역 금융, 수출 바우처 등 실효성 있는 안전망을 제공해야 한다”고 말했다.",가격상승
디지털타임스,경기 둔화·원자재가격 상승…4분기 수출 경기 악화 전망,네이버뉴스,https://n.news.naver.com/mnews/article/029/0002826449?sid=101,,디지털타임스,"4분기 수출 전망도 `부진`…""세계 경기 둔화·원자재 가격 상승 영향""","한국무역협회 국제무역통상연구원 제공
국내 수출 기업들이 수요 부진, 원가 상승, 단가 인하 압력 등 3중고에 시달리면서 4분기에도 부진할 것이라는 전망을 내놓았다.
한국무역협회 국제무역통상연구원은 4분기 수출산업경기전망지수(EBSI)가 기준선 100을 하회하는 90.2를 기록했다고 20일 밝혔다.
EBSI는 다음 분기 수출 경기에 대한 기업들의 전망을 나타내는 지표다. 100을 기준으로 전 분기보다 개선될 것으로 예상하면 100보다 큰 값을, 악화 전망은 반대 값을 가진다.
지난 1분기 81.8까지 떨어졌다가 2분기 90.9에서 3분기 108.7까지 반등세를 보였으나 다시 90선으로 하락했다. 무협은 유가상승이 수요 부진, 원가 상승, 경기둔화를 초래해 수출 여건을 악화시키는 것으로 분석했다.
업종별로 보면 플라스틱·고무·가죽제품(69.5), 섬유·의복제품(75.5), 자동차·자동차부품(77.4) 업체들이 4분기 수출 환경을 가장 부정적으로 전망했다. 자동차·자동차부품은 차량용 반도체 수급난 해소로 인해 대기 수요가 해소되고, 미국 등에서의 경쟁이 확대돼 수출 호조세가 약화될 것으로 보인다.
항목별로는 상담·계약, 수출 대상국 경기 등 모든 항목의 지수가 100을 하회해 전 분기 대비 악화될 것으로 전망했다. 특히 제조원가(75.2)와 채산성(84.3)에 대한 우려가 가장 큰 것으로 나타났다.
수출애로는 원자재 가격 상승(20.0%), 수출국 경기 부진(18.3%), 바이어의 가격인하 요구(12.0%) 순으로 응답이 많았다. 원자재 가격 상승은 지난 분기에도 최대 애로사항으로 지목된 바 있다. 수출 대상국의 경기부진 애로를 호소하는 수출 기업은 3분기 대비 가장 큰 폭(2.8%포인트)으로 증가했다.
김나율 무협 연구원은 ""수입 원자재 할당 관세 적용을 연장·확대하고 수출 기업에 무역 금융, 수출 바우처 등 실효성 있는 안전망을 제공해야 한다""고 말했다.
한국무역협회 국제무역통상연구원 제공",가격상승
브릿지경제,"""4분기 수출 부진 전망...경기 둔화·원자재가격 상승원인""",,,,,,,가격상승
OBS,인천 주택 매매가격3개월 연속상승,,,,,,,가격상승
OBS,인천 주택매매가격3개월 연속상승세…전·월세도상승전환,,,,,,,가격상승
프레시안,[아유경제_부동산] 인천 주택 매매가격3개월 연속상승,네이버뉴스,https://n.news.naver.com/mnews/article/002/0002301370?sid=102,,프레시안,인천 주택매매가격 3개월 연속 상승세…전·월세도 상승 전환,"인천시 주택 매매가격이 3개월 연속 상승세를 이어가고, 전월세 가격도 전월 대비 상승으로 전환한 것으로 나타났다.
인천시는 한국부동산원에서 발표하는 부동산 통계 및 정보를 기반으로 '8월 부동산시장 동향보고서'를 작성해 홈페이지에 공개했다고 20일 밝혔다.
▲인천시 2023년 8월 부동산시장 동향 ⓒ한국부동산원
부동산 통계에 따르면 전국 주택종합 매매가격지수 변동률은 0.16%로 전월(0.03%) 대비 상승폭이 확대됐으며, 인천시는 0.22%로 3개월 연속(6월 0.06%, 7월 0.14%, 8월 0.22%) 상승세가 지속되고 있다.
지역별로는 중구(0.90%)·연수구(0.72%)·남동구(0.45%)·서구(0.16%)·부평구(0.15%)는 상승했고, 동구(-0.13%)·계양구(-0.11%)·미추홀구(-0.21%)는 하락했다.
또한, 8월 주택 전세가격은 전국 평균 전월 –0.04%에서 0.15%로, 인천은 –0.11%에서 0.21%로 상승 전환했고, 월세가격은 전국 평균 전월 –0.05%에서 0.04%로, 인천은 –0.15%에서 0.06%로 상승 전환했다.",가격상승
비즈니스포스트,"8월 생산자물가 16개월 만에 최대 폭상승, 자연재해로 농산물가격급...",,,,,,,가격상승
비즈니스포스트,"8월 생산자물가 0.9%↑, 16개월만에 최대…농산물값-국제유가 급등 영향",,,,,,,가격상승
