press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
서울경제,"SKT,라스베이거스에서 '그린 ICT'를 외치다 [CES 2023]",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004141670?sid=105,,서울경제,"SKT, 라스베이거스에서 '그린 ICT'를 외치다 [CES 2023]","CES 2023 계열사 공동 참여해
넷제로 그린 ICT와 UAM 선보여
[서울경제]
SK텔레콤이 5일(현지 시간)부터 8일까지 미국 라스베이거스에서 열리는 세계 최대 IT·가전 전시회 CES 2023에서 넷제로(Net Zero, 탄소 순배출량 0) 달성을 위한 그린 정보통신기술(ICT)을 선보인다고 밝혔다.
사진제공=SK텔레콤
SK텔레콤은 CES 2023 행사장인 라스베이거스 컨벤션 센터 내 센트럴 홀에 약 1200㎡ 규모 전시관을 SK계열사들과 공동 운영한다. 2030 넷제로를 위한 행동을 주제로 도심항공교통(UAM), AI반도체 사피온(SAPEON), 신재생 에너지 가상 발전소를 전시한다.
SK텔레콤은 전시관에 실물 크기 UAM 가상 체험 시뮬레이터를 선보인다. 또 사피온 반도체가 UAM 기체 운항을 도와주고 가상 발전소가 기체와 이착륙장인 버티포트에 전력을 공급하는 등의 기술을 소개한다.
SK텔레콤 관계자는 “친환경 기술을 글로벌 무대에서 알려 전 세계가 넷제로 달성에 동참할 수 있도록 하겠다”고 말했다.",미국라스베이거스
서울경제,"SKT, CES서 넷제로 달성 위한 '그린 ICT' 선보인다",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004141670?sid=105,,서울경제,"SKT, 라스베이거스에서 '그린 ICT'를 외치다 [CES 2023]","CES 2023 계열사 공동 참여해
넷제로 그린 ICT와 UAM 선보여
[서울경제]
SK텔레콤이 5일(현지 시간)부터 8일까지 미국 라스베이거스에서 열리는 세계 최대 IT·가전 전시회 CES 2023에서 넷제로(Net Zero, 탄소 순배출량 0) 달성을 위한 그린 정보통신기술(ICT)을 선보인다고 밝혔다.
사진제공=SK텔레콤
SK텔레콤은 CES 2023 행사장인 라스베이거스 컨벤션 센터 내 센트럴 홀에 약 1200㎡ 규모 전시관을 SK계열사들과 공동 운영한다. 2030 넷제로를 위한 행동을 주제로 도심항공교통(UAM), AI반도체 사피온(SAPEON), 신재생 에너지 가상 발전소를 전시한다.
SK텔레콤은 전시관에 실물 크기 UAM 가상 체험 시뮬레이터를 선보인다. 또 사피온 반도체가 UAM 기체 운항을 도와주고 가상 발전소가 기체와 이착륙장인 버티포트에 전력을 공급하는 등의 기술을 소개한다.
SK텔레콤 관계자는 “친환경 기술을 글로벌 무대에서 알려 전 세계가 넷제로 달성에 동참할 수 있도록 하겠다”고 말했다.",미국라스베이거스
머니투데이,"SKT, 'CES 2023'에서 그린 ICT 공개",네이버뉴스,https://n.news.naver.com/mnews/article/008/0004836859?sid=105,,머니투데이,"SKT, CES서 넷제로 달성 위한 '그린 ICT' 선보인다","[CES 2023]
SK텔레콤 모델들이 SK전시관에서 사피온 반도체가 기체 운항을 지원하고, 신재생 에너지 가상 발전소가 전력을 공급하는 UAM 기술을 소개하고 있다. /사진=SK텔레콤
SK텔레콤이 5일(현지시간)부터 나흘간 미국 라스베이거스에서 열리는 'CES 2023'에서 넷제로(탄소중립) 달성을 위한 그린 ICT(정보통신기술)를 선보인다.
SK텔레콤은 행사장 내 센트럴 홀에 1200㎡ 규모의 전시관을 SK계열사들과 공동 운영한다. '2030 넷제로를 위한 행동'을 주제로 UAM(도심항공교통), AI(인공지능)반도체 '사피온', 신재생 에너지 가상 발전소 등을 전시한다.
SK텔레콤은 전시관에 실물 크기의 UAM 가상 체험 시뮬레이터를 만들어 사피온 반도체가 UAM 기체 운항을 도와주고 가상 발전소가 기체와 이착륙장인 버티포트에 전력을 공급하는 기술을 소개한다.
SK텔레콤 관계자는 ""SK텔레콤의 친환경 기술을 글로벌 무대에서 알려 전 세계가 넷제로 달성에 동참하고 실천할 수 있도록 하겠다""라고 말했다.",미국라스베이거스
연합뉴스,라스베이거스에서 개최되는 국제전자제품박람회에 참가한 한국수자원공...,네이버뉴스,https://n.news.naver.com/mnews/article/001/0013684061?sid=101,,연합뉴스,라스베이거스에서 개최되는 국제전자제품박람회에 참가한 한국수자원공사 전시관,"(대전=연합뉴스) 한국수자원공사가 미국 라스베이거스에서 개최되는 세계 최대 규모의 가전·정보기술 박람회인 '국제전자제품박람회(CES)'에 14개의 국내 물기업과 함께 참가한다. 한국수자원공사 전시관은 스타트업 기업 등을 중심으로 혁신형 신기술과 신제품을 전시하는 유레카 파크관에 위치한다. 한국수자원공사의 전시관은 '물-에너지-도시, 넥서스'를 테마로 하여 구성되었으며, 수질 및 실내 공기질 IoT 모니터링 솔루션부터 디지털 트윈 기반 스마트시티 서비스 3D 플랫폼 등 다양한 혁신 기술을 선보일 예정이다. 2023.1.5 [한국수자원공사 제공. 재판매 및 DB 금지]
swan@yna.co.kr",미국라스베이거스
연합뉴스,"한국수자원공사,라스베이거스서 국내 물 산업 우수성 알린다.",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013684061?sid=101,,연합뉴스,라스베이거스에서 개최되는 국제전자제품박람회에 참가한 한국수자원공사 전시관,"(대전=연합뉴스) 한국수자원공사가 미국 라스베이거스에서 개최되는 세계 최대 규모의 가전·정보기술 박람회인 '국제전자제품박람회(CES)'에 14개의 국내 물기업과 함께 참가한다. 한국수자원공사 전시관은 스타트업 기업 등을 중심으로 혁신형 신기술과 신제품을 전시하는 유레카 파크관에 위치한다. 한국수자원공사의 전시관은 '물-에너지-도시, 넥서스'를 테마로 하여 구성되었으며, 수질 및 실내 공기질 IoT 모니터링 솔루션부터 디지털 트윈 기반 스마트시티 서비스 3D 플랫폼 등 다양한 혁신 기술을 선보일 예정이다. 2023.1.5 [한국수자원공사 제공. 재판매 및 DB 금지]
swan@yna.co.kr",미국라스베이거스
아시아투데이,"한국수자원공사,라스베이거스서 국내 물산업 우수성 알린다",,,,,,,미국라스베이거스
충청일보,"KAIST,라스베이거스CES 2023 자율주행 레이싱서 최고 속도 겨뤄",,,,,,,미국라스베이거스
충청일보,"카이스트 심현철 교수팀, CES 2023에서미국·유럽 대학과 자율주행차 최...",,,,,,,미국라스베이거스
뉴스프리존,300㎞/h로 달리는 레이싱카…운전자가 없다?,,,,,,,미국라스베이거스
파이낸셜뉴스,"김진용 인천경제청장, 4~11일미국투자유치 출장",네이버뉴스,https://n.news.naver.com/mnews/article/014/0004951811?sid=102,,파이낸셜뉴스,"김진용 인천경제청장, 4~11일 미국 투자유치 출장","라스베이거스 등 방문, 엔터테인먼트·미디어 콘텐츠 기업 유치 협의
김진용 인천경제청장이 신규 투자기업 유치를 위해 미국을 방문해 세일즈 외교에 나선다.
【파이낸셜뉴스 인천=한갑수 기자】 김진용 인천경제청장이 신규 투자기업 유치를 위해 미국을 방문해 세일즈 외교에 나선다.
5일 인천경제자유구역청에 따르면 김진용 인천경제청장이 4∼11일 K-콘텐츠 월드 조성 및 신규 투자기업 발굴 등을 위해 미국 라스베이거스와 로스앤젤레스를 방문한다.
김 청장은 인천경제자유구역(IFEZ) 내 다양한 문화·관광·레저 콘텐츠 유치 및 조성 등과 관련해 현지 여러 유수기업·기관들을 만나 투자유치 협의를 진행할 예정이다.
또 가전제품, 정보통신기술(ICT), 콘텐츠 및 엔터테인먼트 분야 최대 규모의 전시회인 ‘소비자 가전 전시회(CES)’에 참석, 포스트 코로나 시대 트렌드에 걸맞은 콘텐츠 투자유치를 위한 기업 발굴과 네트워크 확대에 나선다. .
인천경제청은 이번 해외 투자유치 출장 기간 초일류도시 인천의 K-콘텐츠 월드 조성을 위한 세계적인 기업들과의 네트워크를 구축하고 앞으로 트렌드에 적합한 콘텐츠를 발굴해 IFEZ 도약의 계기로 삼을 계획이다.
김진용 청장은 “IFEZ의 문화·관광 콘텐츠를 한 단계 발전시키고 초석을 마련하는데 최선을 다하겠다”고 말했다.
#인천경제청 #김진용 #미국출장 #K콘텐츠월드 #소비자가전전시회(CES)",미국라스베이거스
