press,title,naver_news_text,naver_news_url,body
연합뉴스,"""美실리콘밸리은행 파산하게 한 뱅크런 촉발 주범은 트위터""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013900273?sid=104,
연합뉴스,"“美실리콘밸리은행뱅크런, 트위터가 촉발” 연구 결과 나왔다",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013900273?sid=104,
조선비즈,"""미실리콘밸리은행 파산하게 한 뱅크런 촉발 주범은 트위터""",네이버뉴스,https://n.news.naver.com/mnews/article/366/0000896526?sid=104,
SBS,"""美실리콘밸리은행 파산하게 한 뱅크런 촉발 주범은 트위터""",네이버뉴스,https://n.news.naver.com/mnews/article/055/0001052950?sid=104,
MBC,"""트윗 때문에 美실리콘밸리은행 파산했다고?""",네이버뉴스,https://n.news.naver.com/mnews/article/214/0001268509?sid=104,
문화일보,SVB파산여파… 미 퍼스트리퍼블릭 1분기 예금 40% 빠져,네이버뉴스,https://n.news.naver.com/mnews/article/021/0002568435?sid=101,
매일경제,"“한국인도 많이 샀는데”...하루만에 36% 폭락한 이 기업, 결국파산[...",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005121224?sid=101,
이데일리,"日, 3월파산기업 809곳…8년 만에 최다",네이버뉴스,https://n.news.naver.com/mnews/article/018/0005471999?sid=101,
글로벌이코노믹,퍼스트리퍼블릭은행1분기 예금 40.8% 감소…주가 금년 중 90% 급락,,,
글로벌이코노믹,130조 뱅크런에 직원 25% 감원 ‘쇼크’…은행위기 불끄나했는데,,,
매일경제,퍼스트리퍼블릭 예금 134조 '뚝'…美은행권 우려 재점화,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005121673?sid=101,
서울경제,"퍼스트리퍼블릭 예금 133조 빠졌다…""산송장 상태""",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004183095?sid=104,
한국경제TV,"'위기설' 퍼스트리퍼블릭 예금 41% 줄어…""산송장 상태""",네이버뉴스,https://n.news.naver.com/mnews/article/215/0001097582?sid=104,
중기이코노미,“중소기업대출 전문은행으로 벤처투자 선순환”,,,
머니투데이,"""내년 비트코인 1억원 간다""…은행서 이런 보고서 나온 이유",네이버뉴스,https://n.news.naver.com/mnews/article/008/0004879266?sid=104,
머니투데이,"SC ""비트코인, 내년 말 10만 달러 간다""",네이버뉴스,https://n.news.naver.com/mnews/article/008/0004879266?sid=104,
SBS Biz,2만7442달러까지 떨어진 비트코인 내년 10만 달러 가나?,네이버뉴스,https://n.news.naver.com/mnews/article/374/0000332968?sid=101,
문화일보,"스탠다드차타드 ""비트코인, 내년 말 10만 달러 간다""",네이버뉴스,https://n.news.naver.com/mnews/article/021/0002568345?sid=101,
연합뉴스,"""비트코인 10만 달러"" 전망 또 나왔다…SVB발 위기가 호재",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013900311?sid=104,
조세일보,美 지역은행또 '위기'…퍼스트리퍼블릭 예금 40% 급감,네이버뉴스,https://n.news.naver.com/mnews/article/123/0002303509?sid=104,
조세일보,'위기설' 퍼스트리퍼블릭 133조 예금 빠졌다…주가 22% 폭락,네이버뉴스,https://n.news.naver.com/mnews/article/123/0002303509?sid=104,
한국경제,"퍼스트 리퍼블릭, 1분기 예금 40% 급감…""1000억 달러 이탈""",네이버뉴스,https://n.news.naver.com/mnews/article/015/0004836725?sid=101,
아시아경제,"퍼스트리퍼블릭, 1분기 1000억달러 이상 '뱅크런'",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005250066?sid=101,
한국경제,"美퍼스트리퍼블릭, 고객예금 136조 원 빠져…주가 22% 폭락",네이버뉴스,https://n.news.naver.com/mnews/article/015/0004837105?sid=101,
한경머니,美은행위기가 남긴 5가지 교훈은,,,
한국경제,"글로벌 헤지펀드, 산탄데르은행과 ING 집중 공매도",네이버뉴스,https://n.news.naver.com/mnews/article/015/0004837158?sid=101,
