press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,한·미 관세 협상 타결에…원·달러 환율1420원대 출발,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013568325?sid=101,,뉴시스,한·미 관세 협상 타결에…원·달러 환율 1420원대 출발,"한·미 협상에 원화가치 상승 작용
[경주=뉴시스] 고범준 기자 = 이재명 대통령이 29일 경북 경주박물관에 도착한 도널드 트럼프 미국 대통령을 만나 악수를 하고 있다. (사진=대통령실 제공) 2025.10.29. photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스]권안나 기자 = 한·미 관세 협상 타결과 미국 연방공개시장위원회(FOMC) 결과로 인해 원·달러 환율이 1420원대에서 출발했다.
30일 서울외환시장에 따르면 원·달러 환율은 전 거래일 종가 대비 6.7원 내린 1425원에 거래를 시작했다. 시가 기준으로 6거래일 만에 1420원대로 내려갔다.
전날 발표된 한·미 관세 협상 소식이 원화가치 주요 상승 요인으로 작용한 것으로 풀이된다. 전일 원·달러 오후 종가는 전거래일 대비 6.0원 내린 1431.7원에 거래를 마쳤다. 하지만 한·미 협상 결과가 발표된 이후 야간 거래 장중 1410원 후반대까지 떨어졌다.
대통령실에 따르면 우리나라와 미국이 관세 협상 세부 내용에 합의하면서 대미투자 규모 3500억달러가 확정됐다. 투자펀드 총 3500억 달러 가운데 2000억 달러는 현금 투자로, 1500억 달러는 조선업 협력 방식으로 구성하기로 했다. 현금 투자분의 연간 투자 상한액은 200억 달러로 설정했다.
연간 투자 200억 달러는 한국은행에서 추정하는 외환보유액 감소 없이 조달 가능한 규모다. 이창용 한은 총재는 관세 협상과 관련 ""굉장히 잘 된 협상""이라고 평가했다.
이후 이날 새벽 미국에서 열린 FOMC 결과도 환율에 영향을 미쳤다. FOMC는 기준금리를 0.25%포인트 인하해 3.75~4.00%로 조정했다. 9월에 이은 2차례 연속 인하다.
이 같은 금리 결정은 시장의 예상 수준으로 평가됐지만, 다소 매파적인 파월 연준 의장의 발언이 달러화 강세를 이끌면서 환율 하방 압력으로 작용했다.
파월 의장은 기자회견에서 12월 추가 인하 여부에 대해 ""결정되지 않았다""며 금리 인하 속도 조절 가능성을 시사했다. 이에 주요 6개국 통화 대비 달러의 상대적 가치를 의미하는 달러지수는 전날 98선 중반대에서 이날 99선 초반대로 올라왔다.
이날 열리는 미·중 정상회담과 일본은행의 금리 결정 등에도 영향 받을 것으로 보인다. 미·중 회담의 우호적 분위기는 원화 강세 자극 요인이 될 전망이다.
민경원 우리은행 선임연구원은 ""한·미 관세 협상 타결 발표 이후 환율이 야간장에서 1410원대 후반대까지 빠졌으나 FOMC가 달러 강세로 귀결되면서 1420대로 다시 올라온 것""이라며 ""미·중 정상회담이 타결될 경우 추가 환율 하락 재료가 될 것으로 보인다""고 말했다．",원달러환율
뉴시스,한-미 관세협상 타결…원-달러 환율전망은?,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013568325?sid=101,,뉴시스,한·미 관세 협상 타결에…원·달러 환율 1420원대 출발,"한·미 협상에 원화가치 상승 작용
[경주=뉴시스] 고범준 기자 = 이재명 대통령이 29일 경북 경주박물관에 도착한 도널드 트럼프 미국 대통령을 만나 악수를 하고 있다. (사진=대통령실 제공) 2025.10.29. photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스]권안나 기자 = 한·미 관세 협상 타결과 미국 연방공개시장위원회(FOMC) 결과로 인해 원·달러 환율이 1420원대에서 출발했다.
30일 서울외환시장에 따르면 원·달러 환율은 전 거래일 종가 대비 6.7원 내린 1425원에 거래를 시작했다. 시가 기준으로 6거래일 만에 1420원대로 내려갔다.
전날 발표된 한·미 관세 협상 소식이 원화가치 주요 상승 요인으로 작용한 것으로 풀이된다. 전일 원·달러 오후 종가는 전거래일 대비 6.0원 내린 1431.7원에 거래를 마쳤다. 하지만 한·미 협상 결과가 발표된 이후 야간 거래 장중 1410원 후반대까지 떨어졌다.
대통령실에 따르면 우리나라와 미국이 관세 협상 세부 내용에 합의하면서 대미투자 규모 3500억달러가 확정됐다. 투자펀드 총 3500억 달러 가운데 2000억 달러는 현금 투자로, 1500억 달러는 조선업 협력 방식으로 구성하기로 했다. 현금 투자분의 연간 투자 상한액은 200억 달러로 설정했다.
연간 투자 200억 달러는 한국은행에서 추정하는 외환보유액 감소 없이 조달 가능한 규모다. 이창용 한은 총재는 관세 협상과 관련 ""굉장히 잘 된 협상""이라고 평가했다.
이후 이날 새벽 미국에서 열린 FOMC 결과도 환율에 영향을 미쳤다. FOMC는 기준금리를 0.25%포인트 인하해 3.75~4.00%로 조정했다. 9월에 이은 2차례 연속 인하다.
이 같은 금리 결정은 시장의 예상 수준으로 평가됐지만, 다소 매파적인 파월 연준 의장의 발언이 달러화 강세를 이끌면서 환율 하방 압력으로 작용했다.
파월 의장은 기자회견에서 12월 추가 인하 여부에 대해 ""결정되지 않았다""며 금리 인하 속도 조절 가능성을 시사했다. 이에 주요 6개국 통화 대비 달러의 상대적 가치를 의미하는 달러지수는 전날 98선 중반대에서 이날 99선 초반대로 올라왔다.
이날 열리는 미·중 정상회담과 일본은행의 금리 결정 등에도 영향 받을 것으로 보인다. 미·중 회담의 우호적 분위기는 원화 강세 자극 요인이 될 전망이다.
민경원 우리은행 선임연구원은 ""한·미 관세 협상 타결 발표 이후 환율이 야간장에서 1410원대 후반대까지 빠졌으나 FOMC가 달러 강세로 귀결되면서 1420대로 다시 올라온 것""이라며 ""미·중 정상회담이 타결될 경우 추가 환율 하락 재료가 될 것으로 보인다""고 말했다．",원달러환율
메트로신문,"한·미 협상 타결에 美 인하 '신중론'…""환율, 1420원대 개장 전망""",,,,,,,원달러환율
한국경제,'한미협상' 타결에 안도…달러-원환율일단 1420원대로 하락,네이버뉴스,https://n.news.naver.com/mnews/article/015/0005204142?sid=101,,한국경제,'한미협상' 타결에 안도…달러-원 환율 일단 1420원대로 하락,"""일부 불확실성 남아
추가 하락은 지켜봐야""
사진=뉴스1
달러-원 환율이 7거래일 만에 1420원대로 내려깄다. 한미 무역협정이 한국 외환시장에 부담을 덜 주는 방향으로 타결된 영향이다.
30일(한국시간) 새벽 2시 달러-원 환율은 전장 서울환시 종가 대비 16.70원 급락한 1421.00원에 거래를 마쳤다. 지난 20일(1420.80원) 이후 7거래일 만에 1420원대로 내려온 것이다.
달러-원 환율은 한국의 대미 현금 투자액이 연간 200억달러 한도로 묶였다는 소식에 런던장에서 장중 1419.60원까지 떨어지기도 했다. 한국 정부는 외화보유액 운용에 따른 수익으로 대미 현금 투자액을 조달할 계획이다.
다만 달러-원 환율이 횡보를 유지하다가 더 낮아지지 않은 데 대해서는 몇몇 우려가 작용한 것으로 풀이된다. 한 은행의 외환딜러는 ""투자 면면을 보면 앞으로 국내 수출 대기업은 달러를 원화로 바꿀 유인이 부족해질 것""이라며 ""특히 조선업체 입장에서는 앞으로 선물환 매도를 줄일 가능성이 크다""고 설명했다.
다른 은행의 딜러는 ""갑작스럽지만, 예상했던 것보다 좋은 소식""이라면서도 ""기업 투자 측면에서 달러 수요를 자극할 만한 내용도 있고, 당국 대응력 측면에서도 고민할 부분이 있어 앞으로 수급이 어떻게 될지 따져봐야 할 듯하다""고 설명했다.",원달러환율
한국경제,'한미 무역협상 타결' 소식에…달러·원환율1420원대로 하락 출발,네이버뉴스,https://n.news.naver.com/mnews/article/015/0005204142?sid=101,,한국경제,'한미협상' 타결에 안도…달러-원 환율 일단 1420원대로 하락,"""일부 불확실성 남아
추가 하락은 지켜봐야""
사진=뉴스1
달러-원 환율이 7거래일 만에 1420원대로 내려깄다. 한미 무역협정이 한국 외환시장에 부담을 덜 주는 방향으로 타결된 영향이다.
30일(한국시간) 새벽 2시 달러-원 환율은 전장 서울환시 종가 대비 16.70원 급락한 1421.00원에 거래를 마쳤다. 지난 20일(1420.80원) 이후 7거래일 만에 1420원대로 내려온 것이다.
달러-원 환율은 한국의 대미 현금 투자액이 연간 200억달러 한도로 묶였다는 소식에 런던장에서 장중 1419.60원까지 떨어지기도 했다. 한국 정부는 외화보유액 운용에 따른 수익으로 대미 현금 투자액을 조달할 계획이다.
다만 달러-원 환율이 횡보를 유지하다가 더 낮아지지 않은 데 대해서는 몇몇 우려가 작용한 것으로 풀이된다. 한 은행의 외환딜러는 ""투자 면면을 보면 앞으로 국내 수출 대기업은 달러를 원화로 바꿀 유인이 부족해질 것""이라며 ""특히 조선업체 입장에서는 앞으로 선물환 매도를 줄일 가능성이 크다""고 설명했다.
다른 은행의 딜러는 ""갑작스럽지만, 예상했던 것보다 좋은 소식""이라면서도 ""기업 투자 측면에서 달러 수요를 자극할 만한 내용도 있고, 당국 대응력 측면에서도 고민할 부분이 있어 앞으로 수급이 어떻게 될지 따져봐야 할 듯하다""고 설명했다.",원달러환율
뉴스1,"달러-원, 1420원대로 '뚝'…한미 무역협상 타결 영향",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008572993?sid=101,,뉴스1,'한미 무역협상 타결' 소식에…달러·원 환율 1420원대로 하락 출발,"전 거래일 종가 대비 6.7원 내린 1425.0원 출발
이재명 대통령과 도널드 트럼프 미국 대통령이 29일 경북 경주박물관에서 열린 한미 정상회담에 앞서 악수하고 있다. (대통령실 제공. 재판매 및 DB 금지) 2025.10.29/뉴스1 ⓒ News1 허경 기자
(서울=뉴스1) 정지윤 기자 = 한미 무역협상 타결 소식에 달러·원 환율이 약 열흘 만에 1420원대로 출발했다.
30일 서울 외환시장에 따르면 달러·원 환율은 전 거래일 종가 대비 6.7원 내린 1425.0원에 출발했다. 오전 9시 26분 기준 환율은 1421.5원을 기록하고 있다.
달러·원 환율이 1420원대로 시작한 건 지난 21일 이후 약 열흘만이다. 최근 환율은 한미 무역협상 등 불확실한 대내외 환경에 1440원대까지 치솟은 바 있다.
정부는 전날인 29일 2000억 달러의 현금 투자를 연간 200억 달러 한도로 제한하고, 10년에 걸쳐 분할납부하는 방식의 대미 투자 패키지를 미국과 합의했다.
주요 수출 품목인 자동차 관세는 25%에서 15%로 낮추고, 반도체와 의약품 등 주요 수출 품목에 대한 차별관세를 방지하는 등 일본과 동등한 수준의 대우를 끌어냈다.
이정욱 KB증권 연구원은 ""한은 총재는 해외 자산에서 발생하는 이자 및 배당을 통해 투자할 경우 환율 시장의 영향력은 크지 않으며 그 규모는 150억~200억 달러라고 언급한 바 있다""며 ""협상이 타결됐다는 소식에 환율은 장중 1420원까지 하락하면서 환율에 대한 부담은 완화됐다""고 분석했다.
민경원 우리은행 연구원은 ""한미 무역협상이 전격 타결되면서 그동안 외환시장에 불안감을 드리웠던 수급 불확실성이 완화됐다""며 ""자동차 관세 역시 15%로 인하되며 수출에 긍정적이며 원화 약세 요인이 일부 해소됐다""고 평가했다.",원달러환율
SBS Biz,한미 투자합의에환율도 '훈풍'…달러·원1420원대로 하락,네이버뉴스,https://n.news.naver.com/mnews/article/374/0000471585?sid=101,,SBS Biz,"달러-원, 1420원대로 '뚝'…한미 무역협상 타결 영향","달러-원 환율이 7거래일 만에 다시 1420원대로 내렸습니다.
한미 무역협정 타결 소식이 우리 외환시장에 부담을 더는 쪽으로 작용했습니다.
오늘(30일) 오전 2시 서울 외환시장에서 달러-원 환율은 전장 서울환시 종가 대비 16.70원 급락한 1,421.00원에 거래를 마쳤습니다.
지난 20일(1,420.80원) 이후 7거래일 만에 1420원대로 내려온 겁니다.
이번 장 주간 거래 종가 1,431.70원 대비로는 10.70원 하락했습니다.
달러-원 환율은 한국의 대미 현금 투자액이 연간 200억달러 한도로 묶였다는 소식에 런던장에서 일중 저점인 1419.60원까지 내리기도 했습니다.
우리 정부는 외화보유액 운용에 따른 수익으로 대미 현금 투자액을 조달할 계획입니다.
야간거래서도 이와 같은 영향이 이어지면서 달러-원 환율은 1420원대 초반 수준에서 횡보했습니다.
달러-원 환율이 야간 거래에서 더 낮아지지 않은 데 대해서는 몇몇 우려가 작용한 것으로 풀이됩니다.
한 은행의 외환딜러는 ""투자 면면을 보면 앞으로 국내 수출 대기업은 달러를 원화로 바꿀 유인이 부족해질 것""이라며 ""특히 조선업체 입장에서는 앞으로 선물환 매도를 줄일 가능성이 크다""고 설명했습니다.
다른 은행의 딜러는 ""갑작스럽지만, 예상했던 것보다 좋은 소식""이라면서도 ""기업 투자 측면에서 달러 수요를 자극할 만한 내용도 있고, 당국 대응력 측면에서도 고민할 부분이 있어 앞으로 수급이 어떻게 될지 따져봐야 할 듯하다""고 설명했습니다.
당신의 제보가 뉴스로 만들어집니다.
SBS Biz는 여러분의 제보를 기다리고 있습니다.
홈페이지 = https://url.kr/9pghjn",원달러환율
연합뉴스,"환율, 한미 관세협상 타결에 5.2원↓…1,426.5원",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015713006?sid=101,,연합뉴스,"환율, 한미 관세협상 타결에 5.2원↓…1,426.5원","달러 강세에 환율 하락 폭 제한
코스피 상승, 환율 하락 출발
(서울=연합뉴스) 이재희 기자 = 30일 서울 중구 하나은행 본점 딜링룸에서 직원이 업무를 보고 있다. 이날 코스피는 전장보다 24.80포인트(0.61%) 오른 4,105.95로, 원/달러 환율은 6.7원 내린 1,425.0원 시작했다. 2025.10.30 scape@yna.co.kr
(서울=연합뉴스) 한지훈 기자 = 원/달러 환율은 30일 한미 관세협상 타결 등의 영향으로 하락했다.
이날 서울 외환시장에서 미국 달러화 대비 원화 환율의 주간거래 종가(오후 3시30분 기준)는 전날보다 5.2원 내린 1,426.5원으로 집계됐다.
환율은 6.7원 내린 1,425.0원으로 출발한 뒤 오후 12시 2분께 1,419.1원까지 떨어졌다가 낙폭을 줄었다.
이재명 대통령과 도널드 트럼프 미국 대통령은 전날 한미정상회담을 통해 3천500억달러 대미 투자를 포함한 관세 협상을 마무리 지었다.
한국은 3천500억달러 중 2천억달러를 미국에 현금 투자하되 연간 한도를 200억달러로 제한하기로 했다. 상호 관세 세율은 15%로 유지하기로 했다.
이에 환율은 이날 새벽 2시 야간 거래를 1,421.0원에 마감하는 등 하락세를 나타냈다.
트럼프 대통령과 시진핑 중국 국가주석은 이날 부산 김해국제공항에서 6년 만에 미중정상회담을 했다.
회담 결과, 미국은 대중국 관세를 10%포인트(p) 인하하고, 중국은 희토류 수출통제를 유예하기로 했다.
이와 별도로 달러 강세는 환율 하락 폭을 제한했다.
간밤 미국 연방공개시장위원회(FOMC)는 기준금리를 연 3.75∼4.00%로 0.25%포인트 인하했다. 시장 전망에 부합하는 금리 인하였다.
다만, 제롬 파월 미국 연방준비제도(Fed) 의장은 기자회견에서 ""12월 추가 인하는 기정사실이 아니다""고 밝혀 '매파적(통화긴축 선호) 인하'라는 평가가 나왔다.
주요 6개국 통화 대비 달러 가치를 나타내는 달러인덱스는 99.049 수준이다. 전날 장중 98대를 맴돌다 99선 위로 상승했다.
같은 시각 원/엔 재정환율은 100엔당 932.16원으로, 전날 오후 3시30분 기준가인 940.15원보다 7.99원 하락했다.
엔/달러 환율은 0.79엔 오른 153.45엔이다.
일본 중앙은행인 일본은행은 이날 금융정책결정회의에서 기준금리를 '연 0.5% 정도'로 동결했다.
hanjh@yna.co.kr",원달러환율
연합뉴스,"'한미 관세협상' 타결에 원화 강세...원·달러 환율, 5.2원 내린 1426.5원...",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015713006?sid=101,,연합뉴스,"환율, 한미 관세협상 타결에 5.2원↓…1,426.5원","달러 강세에 환율 하락 폭 제한
코스피 상승, 환율 하락 출발
(서울=연합뉴스) 이재희 기자 = 30일 서울 중구 하나은행 본점 딜링룸에서 직원이 업무를 보고 있다. 이날 코스피는 전장보다 24.80포인트(0.61%) 오른 4,105.95로, 원/달러 환율은 6.7원 내린 1,425.0원 시작했다. 2025.10.30 scape@yna.co.kr
(서울=연합뉴스) 한지훈 기자 = 원/달러 환율은 30일 한미 관세협상 타결 등의 영향으로 하락했다.
이날 서울 외환시장에서 미국 달러화 대비 원화 환율의 주간거래 종가(오후 3시30분 기준)는 전날보다 5.2원 내린 1,426.5원으로 집계됐다.
환율은 6.7원 내린 1,425.0원으로 출발한 뒤 오후 12시 2분께 1,419.1원까지 떨어졌다가 낙폭을 줄었다.
이재명 대통령과 도널드 트럼프 미국 대통령은 전날 한미정상회담을 통해 3천500억달러 대미 투자를 포함한 관세 협상을 마무리 지었다.
한국은 3천500억달러 중 2천억달러를 미국에 현금 투자하되 연간 한도를 200억달러로 제한하기로 했다. 상호 관세 세율은 15%로 유지하기로 했다.
이에 환율은 이날 새벽 2시 야간 거래를 1,421.0원에 마감하는 등 하락세를 나타냈다.
트럼프 대통령과 시진핑 중국 국가주석은 이날 부산 김해국제공항에서 6년 만에 미중정상회담을 했다.
회담 결과, 미국은 대중국 관세를 10%포인트(p) 인하하고, 중국은 희토류 수출통제를 유예하기로 했다.
이와 별도로 달러 강세는 환율 하락 폭을 제한했다.
간밤 미국 연방공개시장위원회(FOMC)는 기준금리를 연 3.75∼4.00%로 0.25%포인트 인하했다. 시장 전망에 부합하는 금리 인하였다.
다만, 제롬 파월 미국 연방준비제도(Fed) 의장은 기자회견에서 ""12월 추가 인하는 기정사실이 아니다""고 밝혀 '매파적(통화긴축 선호) 인하'라는 평가가 나왔다.
주요 6개국 통화 대비 달러 가치를 나타내는 달러인덱스는 99.049 수준이다. 전날 장중 98대를 맴돌다 99선 위로 상승했다.
같은 시각 원/엔 재정환율은 100엔당 932.16원으로, 전날 오후 3시30분 기준가인 940.15원보다 7.99원 하락했다.
엔/달러 환율은 0.79엔 오른 153.45엔이다.
일본 중앙은행인 일본은행은 이날 금융정책결정회의에서 기준금리를 '연 0.5% 정도'로 동결했다.
hanjh@yna.co.kr",원달러환율
베타뉴스,"환율, 한미 관세협상 타결에 5.2원↓…1,426.5원",,,,,,,원달러환율
