press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
연합뉴스,"고성산불 피해보상 소송서 이재민 일부 승소…""한전, 87억 배상""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013893076?sid=102,,연합뉴스,"고성산불 피해보상 소송서 이재민 일부 승소…""한전, 87억 배상""","감정평가액 중 60% 인정…고성특별심의위 의결과 같은 비율
재판부 ""고의중과실 아니고 자연요인도 있어…만족한 결과 아니라 안타깝다""
고성산불 4주기…이재민 집회
[연합뉴스 자료사진
(속초=연합뉴스) 이종건 박영서 기자 = 2019년 4월 축구장 면적(0.714㏊) 1천700배가 넘는 산림 1천260㏊(1천260만㎡)를 잿더미로 만든 강원 고성산불의 피해보상을 두고 긴 법정 다툼 끝에 이재민들이 1심에서 일부 승소했다.
춘천지법 속초지원 민사부(김현곤 지원장)는 20일 이재민 등 산불 피해자 64명이 산불 원인자인 한국전력공사를 상대로 낸 260억원 규모의 손해배상 청구 소송에서 원고 일부 승소로 판결했다.
재판부는 법원이 지정한 주택과 임야 등 분야별 전문감정평가사의 감정 결과를 토대로 감정액의 60%인 87억원을 한전이 이재민들에게 지급하라고 명령했다.
한전에 배상 촉구하는 강원 고성산불 이재민들
(속초=연합뉴스) 이종건 기자 = 2019년 4월 축구장 면적(0.714㏊) 1천700배가 넘는 산림 1천260㏊(1천260만㎡)를 잿더미로 만든 강원 고성산불의 피해를 보상하라며 한전을 상대로 손해배상 청구 소송을 제기한 이재민들이 20일 오후 춘천지법 속초지원에서의 1심 판결 선고를 앞두고 법원 앞에서 한전의 배상을 촉구하고 있다. 2023.4.20 momo@yna.co.kr
이는 인정된 비율로만 따지면 2019년 말 한전의 최종 피해 보상 지급금을 한국손해사정사회가 산출한 손해사정금액의 60%로 하도록 한 고성지역특별심의위원회 의결과 같은 비율이다.
이재민들은 총 265억여원을 청구했으나 재판부는 이 중 87억원만을 인용했다.
이 점을 의식한 탓인지 재판부에서도 이례적으로 주문을 낭독한 뒤 ""산불 사건 관련해서 만족할 만한 결과를 드리지 못하게 된 점을 안타깝게 생각한다""고 밝혔다.
재판부는 ""인정된 손해액에서 피고의 책임을 60%로 제한했다""며 ""피고가 고의 중과실로 화재를 발생시킨 게 아니고 당시 강풍 등 자연적인 요인 때문에 피해가 확산한 점도 있기 때문""이라고 설명했다.
이어 재차 ""재판부도 마음이 무겁다. 다시 한번 산불 피해를 입으신 분들께 안타까운 마음은 전한다""고 했다.
고성산불 잔해물 철거작업
[연합뉴스 자료사진]
이 소송은 산불 피해자 21명이 2020년 1월 한전을 상대로 제기하면서 시작됐다.
한전을 상대로 가장 먼저 제기된 민사소송으로, 이후 추가 소송이 잇따르면서 원고 수와 청구 금액 규모가 늘었다.
이들은 ""한전의 최종 피해 보상 지급금을 한국손해사정사회가 산출한 손해사정금액의 60%(임야·분묘 40%)로 하도록 한 고성지역특별심의위원회 의결을 받아들일 수 없다""며 법정 다툼을 선택했다.
재판은 법원이 지정한 주택과 임야 등 분야별 전문감정평가사의 피해조사 절차를 거치며 시일이 소요됐다.
재판부는 지난해 11월 화해 권고 결정을 내리기도 했으나 양측 모두 이의를 제기하면서 결렬됐고, 변론이 재개돼 선고되기에 이르렀다.
conanys@yna.co.kr",산불피해
연합뉴스,"강원 고성산불 피해보상 이재민 일부 승소...""한전, 87억 배상""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013893076?sid=102,,연합뉴스,"고성산불 피해보상 소송서 이재민 일부 승소…""한전, 87억 배상""","감정평가액 중 60% 인정…고성특별심의위 의결과 같은 비율
재판부 ""고의중과실 아니고 자연요인도 있어…만족한 결과 아니라 안타깝다""
고성산불 4주기…이재민 집회
[연합뉴스 자료사진
(속초=연합뉴스) 이종건 박영서 기자 = 2019년 4월 축구장 면적(0.714㏊) 1천700배가 넘는 산림 1천260㏊(1천260만㎡)를 잿더미로 만든 강원 고성산불의 피해보상을 두고 긴 법정 다툼 끝에 이재민들이 1심에서 일부 승소했다.
춘천지법 속초지원 민사부(김현곤 지원장)는 20일 이재민 등 산불 피해자 64명이 산불 원인자인 한국전력공사를 상대로 낸 260억원 규모의 손해배상 청구 소송에서 원고 일부 승소로 판결했다.
재판부는 법원이 지정한 주택과 임야 등 분야별 전문감정평가사의 감정 결과를 토대로 감정액의 60%인 87억원을 한전이 이재민들에게 지급하라고 명령했다.
한전에 배상 촉구하는 강원 고성산불 이재민들
(속초=연합뉴스) 이종건 기자 = 2019년 4월 축구장 면적(0.714㏊) 1천700배가 넘는 산림 1천260㏊(1천260만㎡)를 잿더미로 만든 강원 고성산불의 피해를 보상하라며 한전을 상대로 손해배상 청구 소송을 제기한 이재민들이 20일 오후 춘천지법 속초지원에서의 1심 판결 선고를 앞두고 법원 앞에서 한전의 배상을 촉구하고 있다. 2023.4.20 momo@yna.co.kr
이는 인정된 비율로만 따지면 2019년 말 한전의 최종 피해 보상 지급금을 한국손해사정사회가 산출한 손해사정금액의 60%로 하도록 한 고성지역특별심의위원회 의결과 같은 비율이다.
이재민들은 총 265억여원을 청구했으나 재판부는 이 중 87억원만을 인용했다.
이 점을 의식한 탓인지 재판부에서도 이례적으로 주문을 낭독한 뒤 ""산불 사건 관련해서 만족할 만한 결과를 드리지 못하게 된 점을 안타깝게 생각한다""고 밝혔다.
재판부는 ""인정된 손해액에서 피고의 책임을 60%로 제한했다""며 ""피고가 고의 중과실로 화재를 발생시킨 게 아니고 당시 강풍 등 자연적인 요인 때문에 피해가 확산한 점도 있기 때문""이라고 설명했다.
이어 재차 ""재판부도 마음이 무겁다. 다시 한번 산불 피해를 입으신 분들께 안타까운 마음은 전한다""고 했다.
고성산불 잔해물 철거작업
[연합뉴스 자료사진]
이 소송은 산불 피해자 21명이 2020년 1월 한전을 상대로 제기하면서 시작됐다.
한전을 상대로 가장 먼저 제기된 민사소송으로, 이후 추가 소송이 잇따르면서 원고 수와 청구 금액 규모가 늘었다.
이들은 ""한전의 최종 피해 보상 지급금을 한국손해사정사회가 산출한 손해사정금액의 60%(임야·분묘 40%)로 하도록 한 고성지역특별심의위원회 의결을 받아들일 수 없다""며 법정 다툼을 선택했다.
재판은 법원이 지정한 주택과 임야 등 분야별 전문감정평가사의 피해조사 절차를 거치며 시일이 소요됐다.
재판부는 지난해 11월 화해 권고 결정을 내리기도 했으나 양측 모두 이의를 제기하면서 결렬됐고, 변론이 재개돼 선고되기에 이르렀다.
conanys@yna.co.kr",산불피해
MBN,"고성산불이재민 ""우리 책임이 40%라니""…87억 판결에 반발",네이버뉴스,https://n.news.naver.com/mnews/article/057/0001737096?sid=102,,MBN,"강원 고성 산불 피해보상 이재민 일부 승소...""한전, 87억 배상""","재판부, 특별심의위 의결과 같은 60%만 인정
비대위 ,""왜 우리가 40% 책임져야 하나"" 강력 반발
강원 고성 산불 이재민들이 20일 오후 춘천지법 속초지원에서 1심 판결 선고를 앞두고 한전의 배상을 촉구하고 있다.(사진=연합뉴스)
지난 2019년 4월 4일 강원 고성과 속초 일대 산림 1천260ha를 잿더미로 만든 고성산불 피해보상을 놓고 이재민들과 한국전력 간 법정 다툼에서 이재민들이 일부 승소했습니다.
춘천지법 속초지원 민사부는 오늘(20일) 이재민 등 산불 피해자 64명이 산불 원인자인 한국전력공사를 상대로 낸 260억 원 규모의 손해배상 청구 소송에서 원고 일부 승소로 판결했습니다.
재판부는 법원이 지정한 주택과 임야 등 분야별 전문감정평사가의 감정결과를 토대로 감정액의 60%인 87억 원을 한전이 이재민들에게 지급하라고 명령했습니다. 이는 지난 2019년 고성지역특별심의위원회가 의결한 비율과 같은 비율입니다.
재판부는 “피고가 고의 중과실로 화재를 발생시킨 게 아니고 당시 강풍 등 자연적인 요인 때문에 피해가 확산한 점도 있어 피고의 책임을 60%로 제한했다”고 설명했습니다. 재판부는 이례적으로 주문을 낭독한 뒤 “산불 사건 관련해서 만족할 만한 결과를 드리지 못하게 된 점을 안타깝게 생각한다”는 입장을 밝혔습니다.
이재민들은 판결 결과에 대해 “왜 우리가 40% 책임져야하는지 설명해 달라” 며 판결을 받아들일 수 없다며 강하게 반발했습니다.
한편, 고성 산불 이재민과 한국전력 간 피해 보상 민사 소송의 1심 판결이 나기까지 산불이 발생한 날부터 4년 16일이 걸렸습니다.",산불피해
TV조선,"""한전, 87억 배상""…고성산불이재민 ""4년 싸움 헛수고""",네이버뉴스,https://n.news.naver.com/mnews/article/448/0000405725?sid=102,,TV조선,"""한전, 87억 배상""…고성산불 이재민 ""4년 싸움 헛수고""","[앵커]
4년 전  강원도 고성에서 큰 산불이 일었죠. 피해액이  260억 원으로 추산됐는데, 법원이 이 가운데 60%에 해당하는  87억 원을  배상하라고 판결했습니다.   주민들은  100% 보상을  요구하며, 항소의사를  밝혔습니다.
이승훈 기자입니다.
[리포트]
도로 옆 전신주에서 불꽃이 튀더니, 강풍을 탄 불꽃이 흩날리며 순식간에 산불로 번집니다.
4년 전 발생한 고성산불은 전신주 개폐기에서 시작됐습니다.
주택 401채 등 재산피해만 1291억 원에 이릅니다.
이재민 등이 한전을 상대로 잇따라 손해보상 소송을 제기했고, 산불 4년 만에 오늘 첫 1심 재판 결과가 나왔습니다.
재판부는 원고 일부 승소 판결을 내리고, 한전이 260억 원 가운데  87억 원을 배상할 것을 결정했습니다.
법원이 지정한 분야별 감정평가사들의  전체 감정액 가운데 60% 수준입니다.
재판부는  강풍 등 자연적인 요인으로 피해가 확산된 점을 고려했다고 설명했습니다.
한전의 100% 보상을 요구하는 이재민들은 4년 싸움을 헛되이 만들었다며 분통을 터트립니다.
김경혁 / 산불 비대위원장
""60% 판결을 내린다면 우리 이재민들은 어디서 복구를 하겠습니까. 우리 이재민들 다 죽음으로 몰아가...""
고성산불 이재민들은 즉각 항소 방침을 밝히고, 최근 전신주 관련 산불이 발생한 강릉산불 이재민과도 연대해 대응 수위를 높일 방침입니다.
TV조선 이승훈입니다.",산불피해
TV조선,"[속보] 法 ""한전, 고성산불이재민에 감정평가액 60%, 87억 배상""",네이버뉴스,https://n.news.naver.com/mnews/article/448/0000405725?sid=102,,TV조선,"""한전, 87억 배상""…고성산불 이재민 ""4년 싸움 헛수고""","[앵커]
4년 전  강원도 고성에서 큰 산불이 일었죠. 피해액이  260억 원으로 추산됐는데, 법원이 이 가운데 60%에 해당하는  87억 원을  배상하라고 판결했습니다.   주민들은  100% 보상을  요구하며, 항소의사를  밝혔습니다.
이승훈 기자입니다.
[리포트]
도로 옆 전신주에서 불꽃이 튀더니, 강풍을 탄 불꽃이 흩날리며 순식간에 산불로 번집니다.
4년 전 발생한 고성산불은 전신주 개폐기에서 시작됐습니다.
주택 401채 등 재산피해만 1291억 원에 이릅니다.
이재민 등이 한전을 상대로 잇따라 손해보상 소송을 제기했고, 산불 4년 만에 오늘 첫 1심 재판 결과가 나왔습니다.
재판부는 원고 일부 승소 판결을 내리고, 한전이 260억 원 가운데  87억 원을 배상할 것을 결정했습니다.
법원이 지정한 분야별 감정평가사들의  전체 감정액 가운데 60% 수준입니다.
재판부는  강풍 등 자연적인 요인으로 피해가 확산된 점을 고려했다고 설명했습니다.
한전의 100% 보상을 요구하는 이재민들은 4년 싸움을 헛되이 만들었다며 분통을 터트립니다.
김경혁 / 산불 비대위원장
""60% 판결을 내린다면 우리 이재민들은 어디서 복구를 하겠습니까. 우리 이재민들 다 죽음으로 몰아가...""
고성산불 이재민들은 즉각 항소 방침을 밝히고, 최근 전신주 관련 산불이 발생한 강릉산불 이재민과도 연대해 대응 수위를 높일 방침입니다.
TV조선 이승훈입니다.",산불피해
중앙일보,"법원 ""한전, 고성산불이재민에 87억 보상하라""…이재민 일부 승소",네이버뉴스,https://n.news.naver.com/mnews/article/025/0003274529?sid=102,,중앙일보,"[속보] 法 ""한전, 고성산불 이재민에 감정평가액 60%, 87억 배상""","2019년 4월 발생한 고성산불 4주기를 맞은 지난 4일 산불 피해 이재민들이 한국전력공사 속초지사 앞에서 집회를 열고 있다. 연합뉴스
법원이 지난 2019년 4월에 발생한 '고성 산불' 피해 보상과 관련해 이재민이 청구한 265억원 중 감정평가액 60%인 87억을 배상하라고 원고 일부 승소 판결을 내렸다.
서울고법 춘천재판부 형사1부(부장 황승태)는 이재민 등 산불 피해자 64명이 한국전력공사를 상대로 낸 260억원 규모 손해배상 청구 소송에서 원고 일부 승소로 판결했다. 고성산불 감정평가액의 60% 수준인 총 87억원이다. 재판부는 ""피고가 고의 중과실로 화재를 발생시킨 게 아니고 당시 강풍 등 자연적인 요인 때문에 피해가 확산한 점도 있기 때문""이라고 판시했다.
이번 소송은 고성 산불 피해주민 21명이 2020년 1월 한전을 상대로 민사소송을 제기하면서 시작됐다. 이후 추가 소송이 잇따라 원고 수와 청구금액 규모가 늘었다.
재판은 법원이 지정한 주택과 임야 등 분야별 전문감정평가사의 피해조사 절차를 거치며 시일이 소요됐다.
피해 주민들은 2019년 4월 발생한 대형 산불과 관련, '고성지역 특별심의위원회'가 산불 발생의 원인자인 한국전력공사 측의 최종 보상 지급금을 손해사정 금액의 60%로 결정하자 이에 반발해 소송을 선택했다. 이들은 “한전 최종 피해 보상 지급금을 한국손해사정사회가 산출한 손해사정금액의 60%(임야ㆍ분묘 40%)로 하도록 한 고성지역특별심의위원회 의결을 받아들일 수 없다”고 반발했다.
김경혁 4ㆍ4산불 비상대책위원장은 “이재민이 더 큰 상처를 받은 이유는 한전이 과실 책임을 인정하지 않고, 진정성 있는 사과를 통해 용서를 구하지 않았기 때문”이라며 “한전에 책임이 있다는 것이 명백하게 밝혀졌는데 피해를 본 사람들이 모든 걸 감내해야 한다. 아직도 산불 피해자 중엔 컨테이너, 임대 주택, 월세 생활하는 분이 많다”고 맞섰다.
재판부는 지난해 11월 화해 권고 결정을 내리기도 했으나 양측 모두 이의를 제기하면서 결렬됐고, 변론이 재개돼 선고되기에 이르렀다.
'고성 산불'은 지난 2019년 4월 4일 축구장 면적(0.714㏊) 1700배에 달하는 산림 1260㏊를 잿더미로 만든 사건이다. 재산 피해액은 총 1291억원에 달했고, 이재민 658가구 1524명이 발생했다. 고성산불은 강풍에 전선이 끊어지면서 시작돼 전신주 관리를 소홀히 한 혐의로 전ㆍ현직 한전 직원 7명이 재판에 넘겨졌지만, 1ㆍ2심 모두 무죄가 선고됐다.",산불피해
뉴시스,"매일유업, 강릉산불 피해주민에 셀렉스 음료 지원",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011813921?sid=101,,뉴시스,"매일유업, 강릉 산불 피해 주민에 셀렉스 음료 지원","[서울=뉴시스]매일유업은 강원도 강릉 산불로 피해를 입은 지역 주민들을 위해 구호 물품을 지원했다.(사진=매일유업 제공)
[서울=뉴시스] 김동현 기자 = 매일유업은 강원도 강릉 산불로 피해를 입은 지역 주민들을 위해 구호 물품을 지원했다고 20일 밝혔다.
매일유업은 대한적십자사 강원도지사를 통해 고단백 영양 음료 셀렉스 프로틴 오리지널 1만5000개를 지원했다. 구호 음료는 20일 이재민 임시대피소가 마련된 강릉 아레나체육관으로 배송된다.
매일유업 관계자는 ""지역 주민들이 하루 빨리 건강하게 일상적인 삶으로 돌아갈 수 있길 바란다""며 ""조속한 피해 복구와 일상 복귀에 도움이 되길 바라는 마음에 자사에서 생산하는 건강 영양 음료를 지원했다""고 말했다.",산불피해
뉴시스,"매일유업, 강릉산불 피해지역 주민에 '셀렉스' 지원",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011813921?sid=101,,뉴시스,"매일유업, 강릉 산불 피해 주민에 셀렉스 음료 지원","[서울=뉴시스]매일유업은 강원도 강릉 산불로 피해를 입은 지역 주민들을 위해 구호 물품을 지원했다.(사진=매일유업 제공)
[서울=뉴시스] 김동현 기자 = 매일유업은 강원도 강릉 산불로 피해를 입은 지역 주민들을 위해 구호 물품을 지원했다고 20일 밝혔다.
매일유업은 대한적십자사 강원도지사를 통해 고단백 영양 음료 셀렉스 프로틴 오리지널 1만5000개를 지원했다. 구호 음료는 20일 이재민 임시대피소가 마련된 강릉 아레나체육관으로 배송된다.
매일유업 관계자는 ""지역 주민들이 하루 빨리 건강하게 일상적인 삶으로 돌아갈 수 있길 바란다""며 ""조속한 피해 복구와 일상 복귀에 도움이 되길 바라는 마음에 자사에서 생산하는 건강 영양 음료를 지원했다""고 말했다.",산불피해
뉴스1,"매일유업, 강릉산불 피해주민에 셀렉스 지원",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006758948?sid=101,,뉴스1,"매일유업, 강릉 산불 피해 지역 주민에 '셀렉스' 지원","이재민 임시 대피소에 구호 물품 1만5000개 전달
매일유업 로고.(매일유업 제공)
(서울=뉴스1) 신민경 기자 = 매일유업(267980)은 강원도 강릉 산불로 피해를 입은 지역 주민들을 위해 구호 물품을 지원다고 20일 밝혔다.
매일유업은 대한적십자사 강원도지사를 통해 고단백 영양 음료 셀렉스 프로틴 오리지널 1만5000개를 지원했다. 구호 음료는 20일 이재민 임시대피소가 마련된 강릉 아레나체육관으로 배송된다.
매일유업 관계자는 ""지역 주민들이 하루 빨리 건강하게 일상적인 삶으로 돌아갈 수 있길 바란다""며 ""조속한 피해 복구와 일상 복귀에 도움이 되길 바라는 마음에 자사에서 생산하는 건강 영양 음료를 지원했다""고 말했다.
한편 매일유업과 매일유업 진암사회복지재단은 지난 2019년 강원도 고성과 속초에, 지난해 경북 울진 산불 피해 당시에도 긴급 구호 음료와 급식 활동을 지원했다.",산불피해
한국경제,"[속보] 고성산불 피해보상 소송 이재민 일부 승소…""한전 60% 배상""",네이버뉴스,https://n.news.naver.com/mnews/article/015/0004835222?sid=102,,한국경제,"[속보] 고성산불 피해보상 소송 이재민 일부 승소…""한전 60% 배상""","사진=연합뉴스
2019년 4월 발생한 강원 고성산불 피해보상을 두고 이재민들이 1심에서 일부 승소했다.
춘천지법 속초지원 민사부(김현곤 지원장)는 20일 이재민 등 64명이 산불 원인자인 한국전력공사를 상대로 낸 260억원 규모의 손해배상 청구 소송에서 원고 일부 승소 판결했다.
당시 산불로 축구장 면적(0.714ha) 1700배가 넘는 산림 1260ha(1260만㎡)가 잿더미로 변했다.
이재민들은 총 267억여원을 청구했으나 재판부는 이 중 87억원만을 인용했다. 재판부는 법원이 지정한 주택과 임야 등 분야별 전문감정평가사의 감정 결과를 토대로 감정액의 60%인 87억원을 한전이 이재민들에게 지급하라고 명령했다.
재판부는 ""피고가 고의 중과실로 화재를 발생시킨 게 아니고 당시 강풍 등 자연적인 요인 때문에 피해가 확산한 점도 있기 때문""이라며 ""재판부도 마음이 무겁다. 다시 한번 산불 피해를 입으신 분들께 안타까운 마음은 전한다""고 말했다.",산불피해
