press,title,naver_news_text,naver_news_url,body
스카이데일리,SH공사“무량판 구조 27개 단지 안전 OK”,,,
스카이데일리,"SH, 무량판 구조 27개 단지 점검 결과 공개... “부실시공 없다”",,,
민중의소리,"SH공사, 무량판 구조 27개 단지 안전점검부실시공 '제로'",,,
세이프타임즈,"서울주택도시공사, 무량판 구조 27개 단지 안전점검...부실시공 '제로'",,,
여성소비자신문,"SH공사, 무량판 구조아파트27개 단지 안전점검 ""이상 없음""",,,
더스쿠프,LH에서만 '순살아파트' 쏟아지는 까닭,네이버뉴스,https://n.news.naver.com/mnews/article/665/0000001844?sid=101,
시사위크,검단아파트보상안 '국감서 공개될까',,,
하우징헤럴드,영등포 남성아파트재건축 시공자 선정 목전...사업 탄력,,,
뉴스워치,[똑똑 키워드]아파트붕괴 원인 '불량 골재' 법적 규제 구멍 '숭숭',,,
뉴데일리,[박정환의 이건이래] 은마도 4수만에 딴 '안전진단D' 얼마나 어렵길래,,,
더팩트,"'사면초가' GS건설, 오너家 허윤홍 긴급 수혈…책임경영 앞장설까",네이버뉴스,https://n.news.naver.com/mnews/article/629/0000245427?sid=101,
더팩트,"[데스크칼럼] 오너4세 허윤홍 GS건설 신임 CEO, 실적으로 인정받아야",네이버뉴스,https://n.news.naver.com/mnews/article/629/0000245427?sid=101,
국제신문,"LH, 조직 통합 후 처음으로 본부장급 임원 외부에서 충원",네이버뉴스,https://n.news.naver.com/mnews/article/658/0000056227?sid=101,
SBS,LH 직접 발주 금지…취업 제한은 3급 이하까지 확대,네이버뉴스,https://n.news.naver.com/mnews/article/055/0001100154?sid=101,
SBS,"LH, 개혁안 통해 '직접 발주' 없어지나…설계·시공·감리 선정 권한 떼...",네이버뉴스,https://n.news.naver.com/mnews/article/055/0001100154?sid=101,
데일리한국,'GS건설 vs 현대엔지니어링' 가락프라자 재건축 시공권 향방은?,,,
