press,title,naver_news_text,naver_news_url,body
매일경제,"[단독] 삼성전자, 삼성페이수수료 재논의 통보...유료화 될까",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005128396?sid=101,
매일경제,삼성페이도 수수료 받나…유료화 전환 '촉각',네이버뉴스,https://n.news.naver.com/mnews/article/009/0005128396?sid=101,
한국경제TV,삼성페이수수료 받을까…카드사와 기존 계약 연장 안해,네이버뉴스,https://n.news.naver.com/mnews/article/215/0001100626?sid=101,
서울신문,"삼성페이, 카드사에 결제 수수료 물리나…재협상 할 듯",네이버뉴스,https://n.news.naver.com/mnews/article/081/0003360238?sid=101,
파이낸셜뉴스,"삼성전자, 삼성페이카드사에 ""계약 연장 안해"" 통보",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005010306?sid=101,
뉴시스,"모두투어,애플페이간편 결제 서비스 도입",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011849666?sid=101,
뉴시스,"[게시판] 모두투어, 국내 여행사 최초로애플페이도입",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011849666?sid=101,
연합뉴스,"모두투어,애플페이간편 결제 서비스 도입",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013931738?sid=103,
아시아경제,"모두투어, 국내 여행사 최초로애플페이도입",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005256919?sid=103,
파이낸셜뉴스,"여행업계도애플페이시대 열었다…모두투어, 서비스 개시 선언",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005010052?sid=103,
뉴스1,"이마트24, 애플 액세서리 할인…애플페이결제시 혜택",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006796738?sid=101,
뉴스1,"이마트24,애플페이로 결제시 에어팟 10% 할인",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006796738?sid=101,
이데일리,이마트24에서 '애플페이' 쓰면 에어팟 10% 할인,네이버뉴스,https://n.news.naver.com/mnews/article/018/0005482066?sid=101,
머니투데이,"이마트24 ""애플페이로 사면 애플 액세서리 10% 싸게""",네이버뉴스,https://n.news.naver.com/mnews/article/008/0004885261?sid=101,
뉴시스,"“편의점서 에어팟 사면 저렴해”…이마트24,애플페이이벤트",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011849556?sid=101,
일간스포츠,애플페이가 쏘아올린 '컨택리스' 결제…카드사로 확대될까,네이버뉴스,https://n.news.naver.com/mnews/article/241/0003274536?sid=101,
일간스포츠,"애플페이도입 주역 현대카드, 콘택트리스 카드 발급 100% 임박",네이버뉴스,https://n.news.naver.com/mnews/article/241/0003274536?sid=101,
머니투데이,흥행 가도 달리는애플페이…'연 4.15%' 애플통장 상륙 가능할까?,네이버뉴스,https://n.news.naver.com/mnews/article/008/0004885142?sid=101,
경인방송,"'인천e음' 혜택 대폭 확대…‘삼성페이' 도입, ‘상생가맹점 최대 17%’",,,
경인방송,인천사랑상품권 6월부터 최대 17% 캐시백 지급,,,
로이슈,"[IT이슈] 코나아이, ‘경주페이’ 운영대행사 우선협상대상자 재선정 外",,,
굿모닝경제,애플페이흥행 속 카드사 '오픈페이' 연합전선 안갯속,,,
굿모닝경제,"카드업계 오픈페이, 출시 다섯달 다 돼가는데···참여도 여전히 '지지...",,,
위클리오늘,"[유통가] 이마트24,애플페이로 결제시 에어팟 10% 할인 외",,,
위키리크스한국,동의 안한 개인정보 멋대로 넘긴 현대카드…애플페이고객정보는 '안녕...,,,
