press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
MBC,"'우군' 분류됐던 한투증권,고려아연지분 전량 매각",네이버뉴스,https://n.news.naver.com/mnews/article/214/0001385477?sid=101,,MBC,"'우군' 분류됐던 한투증권, 고려아연 지분 전량 매각","고려아연과 영풍·MBK파트너스 간 경영권 분쟁에서 고려아연 측 '우군'으로 분류됐던 한국투자증권이 고려아연 지분을 모두 매각한 것으로 확인됐습니다.
한국투자증권은 고려아연 지분 0.8%, 15만 8천861주를 보유하고 있었는데, 고려아연 자사주 공개 매수 시점에 모두 처분한 것으로 알려졌습니다.
그동안 한국투자증권은 김남구 한국투자금융지주 회장과 최윤범 고려아연 회장의 친분에 따라 경영권 분쟁에서 고려아연 측 우군으로 분류돼 왔습니다.
고려아연 공개 매수 이후 최 회장 측 우호 지분은 35%, 영풍·MBK파트너스 지분은 38%였으나, 이번 매각으로 양측의 지분 격차는 더 벌어졌습니다.",고려아연
MBC,"우군 잃었나…한투증권,고려아연지분 전량 매각",네이버뉴스,https://n.news.naver.com/mnews/article/214/0001385477?sid=101,,MBC,"'우군' 분류됐던 한투증권, 고려아연 지분 전량 매각","고려아연과 영풍·MBK파트너스 간 경영권 분쟁에서 고려아연 측 '우군'으로 분류됐던 한국투자증권이 고려아연 지분을 모두 매각한 것으로 확인됐습니다.
한국투자증권은 고려아연 지분 0.8%, 15만 8천861주를 보유하고 있었는데, 고려아연 자사주 공개 매수 시점에 모두 처분한 것으로 알려졌습니다.
그동안 한국투자증권은 김남구 한국투자금융지주 회장과 최윤범 고려아연 회장의 친분에 따라 경영권 분쟁에서 고려아연 측 우군으로 분류돼 왔습니다.
고려아연 공개 매수 이후 최 회장 측 우호 지분은 35%, 영풍·MBK파트너스 지분은 38%였으나, 이번 매각으로 양측의 지분 격차는 더 벌어졌습니다.",고려아연
한국경제TV,"'우군' 분류됐던 한투증권,고려아연지분 전량 매각",네이버뉴스,https://n.news.naver.com/mnews/article/215/0001187132?sid=101,,한국경제TV,"우군 잃었나…한투증권, 고려아연 지분 전량 매각","고려아연과 영풍·MBK파트너스 간 경영권 분쟁에서 고려아연 측 '우군'으로 꼽히던 한국투자증권이 보유하고 있던 지분 전량을 매각한 것으로 확인됐다.
9일 금융투자업계에 따르면 한국투자증권은 최근 보유 중이던 고려아연 지분 0.8%(15만8천861주)를 모두 처분했다.
매각한 시기는 고려아연의 자사주 공개 매수와 그 이후인 것으로 알려졌다.
김남구 한국투자금융지주 회장과 최윤범 고려아연 회장의 친분 때문에 이번 경영권 분쟁에서 한국투자증권은 고려아연 측 우군으로 분류돼 왔다.
이번 지분 매각은 경영권 분쟁으로 주가가 급등한 와중에도 차익을 거두지 않으면 배임 우려가 있다는 점을 의식한 결과라고 일각에서는 해석하고 있다.
고려아연의 공개 매수 이후 최 회장 측 우호 지분은 약 35%, 영풍·MBK파트너스 지분은 약 38%였으나, 한투증권의 매각으로 양측 지분은 격차를 더 벌이게 됐다.
(사진=연합뉴스)",고려아연
연합뉴스,고려아연지분 전량 매각한 '한투증권',네이버뉴스,https://n.news.naver.com/mnews/article/001/0015035261?sid=101,,연합뉴스,"'우군' 분류됐던 한투증권, 고려아연 지분 전량 매각","고려아연 CI·영풍 CI
[고려아연·영풍 홈페이지 캡처. 재판매 및 DB 금지]
(서울=연합뉴스) 임은진 기자 = 고려아연과 영풍·MBK파트너스 간 경영권 분쟁에서 고려아연 측 '우군'으로 분류됐던 한국투자증권이 지분 전량을 매각한 것으로 확인됐다.
9일 금융투자업계에 따르면 한국투자증권은 최근 보유 중이던 고려아연 지분 0.8%(15만8천861주)를 모두 처분했다.
매각 시기는 고려아연의 자사주 공개 매수와 그 이후인 것으로 알려졌다.
그간 한국투자증권은 김남구 한국투자금융지주 회장과 최윤범 고려아연 회장의 친분에 이번 경영권 분쟁에서 고려아연 측 우군으로 분류돼 왔다.
고려아연의 공개 매수 이후 최 회장 측 우호 지분은 약 35%, 영풍·MBK파트너스 지분은 약 38%였으나, 이번 한투증권의 지분 매각으로 양측 지분 격차는 더 벌어지게 됐다.
engine@yna.co.kr",고려아연
아시아경제,"최윤범 회장 ‘우군’ 한투증권,고려아연지분 전량 매각",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005497647?sid=101,,아시아경제,고려아연 지분 전량 매각한 '한투증권',"고려아연과 영풍·MBK파트너스 간 경영권 분쟁에서 고려아연 측 '우군'으로 분류됐던 한국투자증권이 지분 전량을 매각한 것으로 확인됐다.
9일 금융투자업계에 따르면 한국투자증권은 최근 보유 중이던 고려아연 지분 0.8%(15만8861주)를 모두 처분했다.
매각 시기는 고려아연의 자사주 공개 매수와 그 이후인 것으로 알려졌다. 그간 한국투자증권은 김남구 한국투자금융지주 회장과 최윤범 고려아연 회장의 친분에 이번 경영권 분쟁에서 고려아연 측 우군으로 분류돼 왔다.
고려아연의 공개 매수 이후 최 회장 측 우호 지분은 약 35%, 영풍·MBK파트너스 지분은 약 38%였다. 이번 한투증권의 지분 매각으로 양측 지분 격차는 더 벌어지게 됐다.",고려아연
전자신문,주말에도 의견청취…'유증 제동'고려아연의 선택은,네이버뉴스,https://n.news.naver.com/mnews/article/030/0003255903?sid=101,,전자신문,주말에도 의견청취…'유증 제동' 고려아연의 선택은,"최윤범 고려아연 회장이 지난달 2일 오후 서울 용산구 그랜드하얏트 호텔에서 열린 고려아연 기자회견에 참석해 발언하고 있다. 연합뉴스
금융당국이 고려아연의 일반공모 유상증자에 제동을 걸면서 고려아연은해 전문가와 주주들의 의견 청취 행보를 이어가고 있다. 고려아연은 이번 주 유상증자 강행 혹은 철회 결정을 내릴 것으로 보인다.
10일 관련업계에 따르면 이번 주말 고려아연은 사외이사 7인을 중심으로 유상증자 관련 논의를 진행한다. 이들은 시장전문가 및 주주들의 의견을 종합적으로 청취해 유상증자 철회 등을 이번주에 결정할 것으로 보인다.
고려아연은 지난달 30일 373만 2650주를 일반공모 방식으로 유상증자해 약 2조 5000억원을 조달하겠다고 밝힌 바 있다. 소유분산구조와 주주기반 확대 등을 통한 국민주로서 자리매김한다는 명분을 앞세웠다. 또 우리사주조합 20%의 물량을 배정하며 추가 의결권 확보 등의 효과를 노렸다.
하지만 금융감독원이 지난 6일 정정신고서 제출을 요구하면서 효력이 중단된 상황이다. 금감원은 “유상증자 추진 경위 및 의사결정 과정, 주관사의 기업실사 경과, 청약 한도 제한 배경, 공개매수신고서와의 차이점 등에 대한 기재가 미흡한 부분을 확인했다”며 “투자 판단을 위한 충분한 정보가 제공되도록 보완 요구를 했다”고 설명했다.
금감원의 제동과 더불어 최윤범 고려아연 회장의 우군이라고 평가받던 기업들이 고려아연 지분을 매각한 것으로 알려져 경영권 방어에 비상등이 켜진 상황이다. 관련업계에 따르면 한국투자증권은 최근 고려아연 지분 0.8%(15만8861주)를 모두 처분했다. 한국타이어앤테크놀로지 역시 보유하고 있던 고려아연 지분 0.7% 중 일부를 정리한 것으로 알려졌다.
고려아연의 공개 매수 이후 최 회장 측 우호 지분은 약 35%, 영풍·MBK파트너스 지분은 약 38%이었지만 우군의 고려아연 지분 정리로 양측의 지분 격차가 벌어지게 됐다.
MBK 파트너스, 영풍의 압박도 거세지고 있다. 이들은 임시 주주총회 소집 허가 신청서를 서울중앙지방법원에 제출했고 법원은 오는 27일을 심문기일로 결정했다.
한 재계 관계자는 “유상증자 관련해서 이사진 등이 이해관계자들을 만나서 의견을 청취하고 있다”며 “결론이 나기까지 시간이 필요할 것”이라고 밝혔다.",고려아연
전자신문,고려아연유상증자 제동에 대응 고심..투자자 의견 청취도 병행,네이버뉴스,https://n.news.naver.com/mnews/article/030/0003255903?sid=101,,전자신문,주말에도 의견청취…'유증 제동' 고려아연의 선택은,"최윤범 고려아연 회장이 지난달 2일 오후 서울 용산구 그랜드하얏트 호텔에서 열린 고려아연 기자회견에 참석해 발언하고 있다. 연합뉴스
금융당국이 고려아연의 일반공모 유상증자에 제동을 걸면서 고려아연은해 전문가와 주주들의 의견 청취 행보를 이어가고 있다. 고려아연은 이번 주 유상증자 강행 혹은 철회 결정을 내릴 것으로 보인다.
10일 관련업계에 따르면 이번 주말 고려아연은 사외이사 7인을 중심으로 유상증자 관련 논의를 진행한다. 이들은 시장전문가 및 주주들의 의견을 종합적으로 청취해 유상증자 철회 등을 이번주에 결정할 것으로 보인다.
고려아연은 지난달 30일 373만 2650주를 일반공모 방식으로 유상증자해 약 2조 5000억원을 조달하겠다고 밝힌 바 있다. 소유분산구조와 주주기반 확대 등을 통한 국민주로서 자리매김한다는 명분을 앞세웠다. 또 우리사주조합 20%의 물량을 배정하며 추가 의결권 확보 등의 효과를 노렸다.
하지만 금융감독원이 지난 6일 정정신고서 제출을 요구하면서 효력이 중단된 상황이다. 금감원은 “유상증자 추진 경위 및 의사결정 과정, 주관사의 기업실사 경과, 청약 한도 제한 배경, 공개매수신고서와의 차이점 등에 대한 기재가 미흡한 부분을 확인했다”며 “투자 판단을 위한 충분한 정보가 제공되도록 보완 요구를 했다”고 설명했다.
금감원의 제동과 더불어 최윤범 고려아연 회장의 우군이라고 평가받던 기업들이 고려아연 지분을 매각한 것으로 알려져 경영권 방어에 비상등이 켜진 상황이다. 관련업계에 따르면 한국투자증권은 최근 고려아연 지분 0.8%(15만8861주)를 모두 처분했다. 한국타이어앤테크놀로지 역시 보유하고 있던 고려아연 지분 0.7% 중 일부를 정리한 것으로 알려졌다.
고려아연의 공개 매수 이후 최 회장 측 우호 지분은 약 35%, 영풍·MBK파트너스 지분은 약 38%이었지만 우군의 고려아연 지분 정리로 양측의 지분 격차가 벌어지게 됐다.
MBK 파트너스, 영풍의 압박도 거세지고 있다. 이들은 임시 주주총회 소집 허가 신청서를 서울중앙지방법원에 제출했고 법원은 오는 27일을 심문기일로 결정했다.
한 재계 관계자는 “유상증자 관련해서 이사진 등이 이해관계자들을 만나서 의견을 청취하고 있다”며 “결론이 나기까지 시간이 필요할 것”이라고 밝혔다.",고려아연
부산일보,"고려아연, 유상증자 철회 검토‥임시주총은 연말",네이버뉴스,https://n.news.naver.com/mnews/article/082/0001296945?sid=101,,부산일보,고려아연 유상증자 제동에 대응 고심..투자자 의견 청취도 병행,"서울 종로구 그랑서울 고려아연 본사 로비 모습. 연합뉴스
고려아연이 추진하는 2조 5000억 원 규모의 일반공모 유상증자에 금융당국이 제동을 걸자 고려아연 이사회가 주주와 시장의 입장을 충분히 살펴 숙의를 통해 대응 방안을 찾기로 했다. 또 대형 증권사와 기관투자자를 비롯한 시장관계자들을 대상으로 의견 청취도 병행한다.
고려아연은 8일 서울 종로구 그랑서울 본사에서 정기이사회를 열고 유상증자 관련 금융감독원의 정정 요구 관련 등 안건을 논의했다고 밝혔다. 앞서 금융감독원은 지난 6일 공시를 통해 지난달 30일 제출된 고려아연의 유상증자 관련 증권신고서가 투자자에게 중대한 오해를 일으킬 수 있는 경우 등에 해당해 정정신고서 제출을 요구했다고 밝혔다.
당시 금감원은 유상증자 추진 경위 및 의사결정 과정, 주관사의 기업실사 경과, 청약 한도 제한 배경, 공개매수신고서와의 차이점 등에 대한 기재가 미흡한 부분을 확인했다고 설명했다.
이날 이사회에서는 사외이사들이 이사회 내에 사외이사들만 참여하는 별도의 모임을 만들어 이번 유상증자 추진 과정에서 주주·시장과 당국이 우려하는 지점에 대해 숙의하기로 했다. 이사회는 이날 금감원이 요구한 정정 신고에 대한 구체적인 대응 방향이나 조치는 결정하지 않았다.
이와 함께고려아연은 여의도에 있는 증권사들을 방문하고 기관투자자들을 만나 지난달 30일 발표한 일반공모 유상증자에 대한 의견을 들은 것으로 알려졌다.
한 시장 관계자는 “고려아연이 내세운 국민주를 통한 국민기업 도약이라는 명분이 적절하다고 하더라도 일반공모의 시기와 목적 등에 대해 많은 투자자가 고개를 갸웃거리는 상황”이라며 고려아연의 소통이 부족했음을 가장 먼저 지적했다.
고려아연은 지난달 30일 대규모 일반공모 유상증자를 전격 발표했다. 고려아연 측은 급감한 유통물량에 따른 급격한 주가 변동성을 해소하고 주주 구성을 다양화해 지금의 분쟁 구도를 벗어나 국민기업으로 도약하겠다는 취지라고 밝혔다.
하지만 일반공모로 인한 주식시장 충격과 신고서 기재 관련 문제점 등 여러 지적이 이어지면서 주주와 시장, 당국의 비판에 직면했다. 상황이 이렇자 고려아연은 시장관계자들로부터 구체적인 입장을 듣고 앞으로 방향에 대해 소통하기 위해 여의도를 찾은 것으로 풀이된다.
고려아연 관계자는 ""금감원 요구에 대해 아직 수정안이나 결정안이 나온 것은 없다""며 ""이사회가 주주·시장 등의 우려를 충분히 검토하고 숙의를 통해 의견을 모아 결정하게 될 것으로 안다""고 말했다.
한편 임시 주주총회가 연말 쯤 열릴 것으로 예상되는 가운데 최윤범 회장의 우군으로 분류되던 한국투자증권이 고려아연 주식 전량을 매각하면서 표 대결 셈법도 복잡해졌다. 금융투자업계에 따르면 한국투자증권은 최근 보유 중이던 고려아연 지분 0.8%(15만8천861주)를 모두 처분했다. 매각 시기는 고려아연의 자사주 공개 매수와 그 이후인 것으로 알려졌다.",고려아연
울산MBC,[고려아연사모펀드 사태] 유증 제동에 특단 대책 찾는고려아연…이번...,,,,,,,고려아연
아이뉴스24,"한국투자증권,고려아연지분 전량 매각…최윤범 우군 이탈?",네이버뉴스,https://n.news.naver.com/mnews/article/031/0000883623?sid=101,,아이뉴스24,"한국투자증권, 고려아연 지분 전량 매각…최윤범 우군 이탈?","자사주 공개매수 이후 매각한 것으로 알려져
최윤범 고려아연 회장의 우군으로 분류됐던 한국투자증권이 고려아연의 지분 전량을 매각했다.
10일 금융투자업계에 따르면 한국투자증권은 최근 보유하고 있던 고려아연 보통주 15만8861주를 전량 매각했다. 매각 시기는 고려아연의 자사주 공개매수가 끝난 10월 23일 이후인 것으로 알려졌다.
최윤범 고려아연 회장. [사진=연합뉴스]
그간 한국투자증권은 김남구 한국투자금융지주 회장과 최 회장의 친분에 이번 경영권 분쟁에서 고려아연 측 우군으로 분류돼 왔다.
고려아연의 공개 매수 이후 최 회장 측 우호 지분은 약 35%, 영풍·MBK파트너스 지분은 약 38%였으나 이번 한투증권의 지분 매각으로 양측 지분 격차는 더 벌어지게 됐다.",고려아연
