press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
연합뉴스,"행안부 ""새마을금고인수합병시 예·적금 100% 이전해 보호""(종합)",네이버뉴스,https://n.news.naver.com/mnews/article/001/0014047711?sid=101,,연합뉴스,"행안부 ""새마을금고 인수합병시 예·적금 100% 이전해 보호""(종합)","합병 앞둔 남양주동부에 인출 고객 줄이어…불안감 확산
""인수합병 추진해도 고객에게는 전혀 피해 없도록 할 것""
정부, 새마을금고 연체율 감축 위한 특별대책 발표
(서울=연합뉴스) 신현우 기자 = 새마을금고 연체율이 역대 최고치를 기록한 가운데 행정안전부가 4일 연체율이 10%를 웃도는 개별 새마을금고 30곳에 대해 합동 특별검사를 하고, 필요할 경우 지점 폐쇄나 통폐합을 추진한다고 밝혔다. 행안부에 따르면 지난 6월 29일 기준 새마을금고 대출금액은 총 196조8천억원(가계 85조2천억원·기업 111조6천억원)인데, 이중 연체액은 12조1천600억원(6.18%)으로 역대 가장 높은 수준이다.
사진은 이날 오후 서울 시내 새마을금고. 2023.7.4 nowwego@yna.co.kr
(서울=연합뉴스) 임수정 계승현 기자 = 정부가 부실한 새마을금고 지점에 대한 인수합병을 시사하면서 예금을 인출해야 하는 게 아니냐는 우려가 커지자 ""인수합병시 고객 예·적금을 100% 보호하겠다""라면서 불안감 진화에 나섰다.
행정안전부와 새마을금고중앙회는 5일 합동 보도자료를 내고 ""새마을금고는 2천300만 거래자가 안심하고 거래할 수 있도록 타 금융기관과 동일하게 새마을금고법에 따라 예금자보호기금이 설치돼 1인당 5천만원까지 예금자보호를 하고 있다""라고 밝혔다.
이어 ""일부 새마을금고에 문제가 있어도, 인근 금고와 인수합병을 통해 새마을금고를 우량화하는 한편, 고객에게는 전혀 피해가 없도록 조치하고 있다""라고 했다.
그러면서 ""인수합병이 되더라도 5천만원 초과 예·적금을 포함한 고객 예·적금은 원금과 이자 모두 100% 이전되므로 5천만원 초과 예금도 보호되는 등 피해가 발생하지 않는다""라고 말했다.
그러나 최근 대출 부실로 흡수합병이 결정된 남양주동부 새마을금고에 예·적금을 해지하려는 고객들이 몰리는 등 우려가 가라앉지 않고 있다.
남양주동부 새마을금고는 지난달 수백억원대의 대출채권 부실로 인근 화도새마을금고로의 흡수합병을 결의한 상태다.
경영이 어려운 금고가 인근 금고와 합병하는 일은 매년 2~3건씩 있는 일임에도, 최근 자산 건전성에 대한 우려가 고객들의 이탈세를 자극하는 모양새다.
새마을금고가 타 금융기관과 달리 금융 전문성이 부족한 행안부의 감독을 받아 부실 대출 등에 대한 관리가 제대로 안 되고 있다는 지적도 꾸준히 나오고 있다.
이를 의식한 듯 행안부와 새마을금고는 ""새마을금고는 새마을금고법, 은행과 저축은행 등은 예금자보호법, 농협은 농업협동조합 구조개선에 관한 법률, 신협은 신용협동조합법 등 금융기관별로 각각의 법률로 예금자보호를 하는 것일 뿐 국가가 제정한 법률로 보호하는 형태는 모두 동일하다""라고 강조했다.
또 ""새마을금고의 예금자보호제도는 타 금융기관보다 앞서 도입했다""라고 설명했다. 예금자보호제도 도입 시기는 새마을금고 1983년, 은행권 등 타 금융권 1997∼1998년이다.
아울러 행안부와 새마을금고는 ""예금자보호제도 외에도 고객의 예적금에 대한 지급보호를 위해 상환준비금제도를 운용 중""이라며 ""현재 상환준비금은 약 13조3천611억원이며, 더욱 안정적인 예금 지급 보장을 위해 상환준비금 의무 예치비율을 50%에서 80%로 상향하는 새마을금고법 개정이 추진 중""이라고 말했다.
이어 ""새마을금고는 고객 요구시 언제든지 예적금을 지급할 수 있도록 현재 금고 예적금 대비 30%인 약 77조3천억원의 현금성 자산도 보유하고 있어 지급 여력이 충분하다""고 거듭 강조했다.
추경호 부총리 겸 기획재정부 장관도 이날 국회 기획재정위원회 전체회의에서 ""새마을금고는 관리 가능하다""며 ""불안 심리로 예금을 인출할 필요가 없다""고 강조했다.
행안부는 지난 4일 새마을금고 연체율 감축 특별 대책을 발표하면서 연체율이 평균보다 높은 100곳을 집중관리 대상으로 정하고, 이중 연체율이 10%가 넘는 30곳에 대해서는 특별검사를 해 결과에 따라 경영개선, 합병요구 등을 하겠다고 밝힌 바 있다.
key@yna.co.kr",새마을금고
연합뉴스,"""안심하세요!"" ""그게 잘 안 돼""새마을금고문 열자 '우르르'",네이버뉴스,https://n.news.naver.com/mnews/article/001/0014047711?sid=101,,연합뉴스,"행안부 ""새마을금고 인수합병시 예·적금 100% 이전해 보호""(종합)","합병 앞둔 남양주동부에 인출 고객 줄이어…불안감 확산
""인수합병 추진해도 고객에게는 전혀 피해 없도록 할 것""
정부, 새마을금고 연체율 감축 위한 특별대책 발표
(서울=연합뉴스) 신현우 기자 = 새마을금고 연체율이 역대 최고치를 기록한 가운데 행정안전부가 4일 연체율이 10%를 웃도는 개별 새마을금고 30곳에 대해 합동 특별검사를 하고, 필요할 경우 지점 폐쇄나 통폐합을 추진한다고 밝혔다. 행안부에 따르면 지난 6월 29일 기준 새마을금고 대출금액은 총 196조8천억원(가계 85조2천억원·기업 111조6천억원)인데, 이중 연체액은 12조1천600억원(6.18%)으로 역대 가장 높은 수준이다.
사진은 이날 오후 서울 시내 새마을금고. 2023.7.4 nowwego@yna.co.kr
(서울=연합뉴스) 임수정 계승현 기자 = 정부가 부실한 새마을금고 지점에 대한 인수합병을 시사하면서 예금을 인출해야 하는 게 아니냐는 우려가 커지자 ""인수합병시 고객 예·적금을 100% 보호하겠다""라면서 불안감 진화에 나섰다.
행정안전부와 새마을금고중앙회는 5일 합동 보도자료를 내고 ""새마을금고는 2천300만 거래자가 안심하고 거래할 수 있도록 타 금융기관과 동일하게 새마을금고법에 따라 예금자보호기금이 설치돼 1인당 5천만원까지 예금자보호를 하고 있다""라고 밝혔다.
이어 ""일부 새마을금고에 문제가 있어도, 인근 금고와 인수합병을 통해 새마을금고를 우량화하는 한편, 고객에게는 전혀 피해가 없도록 조치하고 있다""라고 했다.
그러면서 ""인수합병이 되더라도 5천만원 초과 예·적금을 포함한 고객 예·적금은 원금과 이자 모두 100% 이전되므로 5천만원 초과 예금도 보호되는 등 피해가 발생하지 않는다""라고 말했다.
그러나 최근 대출 부실로 흡수합병이 결정된 남양주동부 새마을금고에 예·적금을 해지하려는 고객들이 몰리는 등 우려가 가라앉지 않고 있다.
남양주동부 새마을금고는 지난달 수백억원대의 대출채권 부실로 인근 화도새마을금고로의 흡수합병을 결의한 상태다.
경영이 어려운 금고가 인근 금고와 합병하는 일은 매년 2~3건씩 있는 일임에도, 최근 자산 건전성에 대한 우려가 고객들의 이탈세를 자극하는 모양새다.
새마을금고가 타 금융기관과 달리 금융 전문성이 부족한 행안부의 감독을 받아 부실 대출 등에 대한 관리가 제대로 안 되고 있다는 지적도 꾸준히 나오고 있다.
이를 의식한 듯 행안부와 새마을금고는 ""새마을금고는 새마을금고법, 은행과 저축은행 등은 예금자보호법, 농협은 농업협동조합 구조개선에 관한 법률, 신협은 신용협동조합법 등 금융기관별로 각각의 법률로 예금자보호를 하는 것일 뿐 국가가 제정한 법률로 보호하는 형태는 모두 동일하다""라고 강조했다.
또 ""새마을금고의 예금자보호제도는 타 금융기관보다 앞서 도입했다""라고 설명했다. 예금자보호제도 도입 시기는 새마을금고 1983년, 은행권 등 타 금융권 1997∼1998년이다.
아울러 행안부와 새마을금고는 ""예금자보호제도 외에도 고객의 예적금에 대한 지급보호를 위해 상환준비금제도를 운용 중""이라며 ""현재 상환준비금은 약 13조3천611억원이며, 더욱 안정적인 예금 지급 보장을 위해 상환준비금 의무 예치비율을 50%에서 80%로 상향하는 새마을금고법 개정이 추진 중""이라고 말했다.
이어 ""새마을금고는 고객 요구시 언제든지 예적금을 지급할 수 있도록 현재 금고 예적금 대비 30%인 약 77조3천억원의 현금성 자산도 보유하고 있어 지급 여력이 충분하다""고 거듭 강조했다.
추경호 부총리 겸 기획재정부 장관도 이날 국회 기획재정위원회 전체회의에서 ""새마을금고는 관리 가능하다""며 ""불안 심리로 예금을 인출할 필요가 없다""고 강조했다.
행안부는 지난 4일 새마을금고 연체율 감축 특별 대책을 발표하면서 연체율이 평균보다 높은 100곳을 집중관리 대상으로 정하고, 이중 연체율이 10%가 넘는 30곳에 대해서는 특별검사를 해 결과에 따라 경영개선, 합병요구 등을 하겠다고 밝힌 바 있다.
key@yna.co.kr",새마을금고
MBC,'연체율 비상'새마을금고…불안한 고객들 예금 인출 행렬,네이버뉴스,https://n.news.naver.com/mnews/article/214/0001283766?sid=004,,MBC,"""안심하세요!"" ""그게 잘 안 돼"" 새마을금고 문 열자 '우르르'","새마을금고의 연체율이 역대 최고치를 기록하는 등 위기 조짐이 보이자 일부 지점에 상품을 해지하려는 고객들이 몰려드는 현상이 나타나고 있습니다.
조선비즈 보도에 따르면 어제 오전 경기 남양주의 한 새마을금고에는 예금주들이 몰려들어 길게 줄을 섰고, 돈을 인출하는 모습이 포착됐습니다.
해당 새마을금고는 최근 부동산 프로젝트파이낸싱 대출 부실로 600억 원 규모의 대출 채권에 문제가 있다는 사실이 감사 결과 드러난 곳입니다.
결국, 회수가 어려운 악성 채권 130억 원가량은 새마을금고 중앙회가 인수했으며, 이 금고는 같은 지역의 다른 새마을금고와 합병을 앞둔 상태입니다.
이런 소식이 알려지자 수십 명의 고객들이 지점으로 몰린 건데, 예금 대량 인출, '뱅크런'으로 이어지는 것 아니냐는 우려가 나왔습니다.
이 같은 상황은 비단 남양주의 한 지점에서만 일어나는 건 아닙니다.
새마을금고는 지난달 29일 기준으로 전체 대출금액 가운데 연체 비율이 6.18%, 금액으로는 12조 1천6백억 원으로 역대 가장 높은 수치를 기록했습니다.
농협이나 신협 등 상호금융권 전체의 연체율 2.4%의 2배를 훌쩍 넘는 수준입니다.
대부분 연체액은 기업 대출 때문으로 나타났는데, 부동산과 건설업 침체로 기업 대출 연체가 9.63%까지 치솟자 전체 연체율까지 올라간 겁니다.
앞서 행정안전부는 연체율이 10%를 웃도는 새마을금고 30곳에 대해 합동 특별검사를 하고, 필요할 경우 지점 폐쇄나 통폐합을 추진하기로 했습니다.
행안부는 다만 예수금과 연체율 상황이 좋지 않긴 하지만, 관리가 가능한 수준이라고 거듭 강조하고 있습니다.
행안부는 ""금고가 파산하거나 통폐합돼도 예금자보호법상 1명당 5천만 원까지는 보호받을 수 있다""고 설명했습니다.",새마을금고
뉴시스,"추경호 ""새마을금고유동성 양호해…연체율 등 밀착 점검""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011955789?sid=101,,뉴시스,"추경호 ""새마을금고 유동성 양호해…연체율 등 밀착 점검""","국회 기획재정위원회 전체회의서 답변
""중앙기관의 합병 등 통해 거래안전성 담보""
[서울=뉴시스] 최진석 기자 = 서울 도심 전광판에 새마을금고 관련 광고가 보이고 있다. 2023.07.04. myjs@newsis.com
[세종=뉴시스]임하은 기자 = 추경호 경제부총리 겸 기획재정부 장관이 5일 새마을금고 부실 사태와 관련해 ""연체율 등 우려사항을 밀착 점검하고 있다. 과도한 불안심리가 확산하지 않도록 대응하겠다""고 말했다.
추 부총리는 이날 국회에서 열린 기획재정위원회 전체 회의에서 홍성국 더불어민주당 의원의 질의에 이같이 답했다.
최근 경기 남양주시 내 동부새마을금고가 부동산 프로젝트파이낸싱(PF) 대출 부실로 폐업 절차를 밟고 있다는 소식이 알려졌다. 이에 따라 고객의 예금 인출이 급증하고, 연체율이 빠르게 치솟는 등 직격탄을 맞았다.
홍 의원은 새마을금고 문제와 관련해 ""제1금융권 중심 정책으로 서민금융기관들이 계속 부실해지고 있다. 부동산 PF가 잘 안 줄어들고 있는데, 안일하게 대응하고 있는 것 아니냐""고 질의했다.
이에 추 부총리는 ""새마을금고를 포함한 제2금융권에 관해 밀착 점검을 하고 있다. 큰 틀에서 새마을금고의 건전성, 유동성은 대체로 다 양호하다""며 ""다만 부동산 PF와 관련해 일부 문제가 제기될 수 있기 때문에 연체율 등에 관해 밀착해서 잘 보고 있다. 상호금융정책협의회를 통해 예금보험공사와 금융감독원이 함께 그 사항을 지금까지 점검해 오고 있다""고 설명했다.
그러면서 ""늘 중앙의 큰 기관들이 여러 합병 등을 통해 충분히 거래 안전성을 담보할 수 있다. 자칫 (국민들 사이에) 과도하게 불안심리가 확산하지 않도록 대응할 거고 국회에서도 함께 힘을 모아주시면 좋겠다""고 덧붙였다．",새마을금고
뉴시스,"추경호 ""새마을금고건전성·유동성 양호…작은 금고서 문제""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011955789?sid=101,,뉴시스,"추경호 ""새마을금고 유동성 양호해…연체율 등 밀착 점검""","국회 기획재정위원회 전체회의서 답변
""중앙기관의 합병 등 통해 거래안전성 담보""
[서울=뉴시스] 최진석 기자 = 서울 도심 전광판에 새마을금고 관련 광고가 보이고 있다. 2023.07.04. myjs@newsis.com
[세종=뉴시스]임하은 기자 = 추경호 경제부총리 겸 기획재정부 장관이 5일 새마을금고 부실 사태와 관련해 ""연체율 등 우려사항을 밀착 점검하고 있다. 과도한 불안심리가 확산하지 않도록 대응하겠다""고 말했다.
추 부총리는 이날 국회에서 열린 기획재정위원회 전체 회의에서 홍성국 더불어민주당 의원의 질의에 이같이 답했다.
최근 경기 남양주시 내 동부새마을금고가 부동산 프로젝트파이낸싱(PF) 대출 부실로 폐업 절차를 밟고 있다는 소식이 알려졌다. 이에 따라 고객의 예금 인출이 급증하고, 연체율이 빠르게 치솟는 등 직격탄을 맞았다.
홍 의원은 새마을금고 문제와 관련해 ""제1금융권 중심 정책으로 서민금융기관들이 계속 부실해지고 있다. 부동산 PF가 잘 안 줄어들고 있는데, 안일하게 대응하고 있는 것 아니냐""고 질의했다.
이에 추 부총리는 ""새마을금고를 포함한 제2금융권에 관해 밀착 점검을 하고 있다. 큰 틀에서 새마을금고의 건전성, 유동성은 대체로 다 양호하다""며 ""다만 부동산 PF와 관련해 일부 문제가 제기될 수 있기 때문에 연체율 등에 관해 밀착해서 잘 보고 있다. 상호금융정책협의회를 통해 예금보험공사와 금융감독원이 함께 그 사항을 지금까지 점검해 오고 있다""고 설명했다.
그러면서 ""늘 중앙의 큰 기관들이 여러 합병 등을 통해 충분히 거래 안전성을 담보할 수 있다. 자칫 (국민들 사이에) 과도하게 불안심리가 확산하지 않도록 대응할 거고 국회에서도 함께 힘을 모아주시면 좋겠다""고 덧붙였다．",새마을금고
시사저널,"추경호 ""새마을금고관리 가능…예적금 인출 안 해도 돼""",네이버뉴스,https://n.news.naver.com/mnews/article/586/0000060623?sid=101,,시사저널,"추경호 ""새마을금고 건전성·유동성 양호…작은 금고서 문제""","""합병 등 방식으로 거래 안정성 담보할 수 있어""
서울 시내에 위치한 새마을금고 점포 ⓒ연합뉴스
추경호 부총리 겸 기획재정부 장관은 ""개별 새마을금고에 문제가 있을 수 있지만 건전성·유동성은 대체로 양호하다""고 말했다.
추 부총리는 5일 국회 기획재정위원회 전체회의에서 홍성국 더불어민주당 의원의 질의에 이같이 답변했다.
추 부총리는 ""큰 틀에서 새마을금고의 건전성과 유동성은 대체적으로 다 양호하다""면서도 ""다만 일부 새마을금고에서 부동산 프로젝트파이낸싱(PF) 등 문제가 제기될 수 있어 예금보험공사와 금융감독원이 금융정책협의회를 통해 그 상황을 함께 점검하고 있다""고 말했다.
그러면서 ""새마을금고에 대해 일부 우려 사항이 없지 않으나 어떻게 보면 작은 새마을금고에서는 있을 수 있는 상황""이라면서 ""중앙의 큰 기관들이 합병 등 방식으로 충분히 거래 안정성을 담보할 수 있으므로 일반 국민들이 과도한 불안심리를 갖지 않았으면 좋겠다""고 말했다.
새마을금고는 올해 들어 연체율이 치솟으면서 부실 우려가 커지고 있다. 지난해 말 3.58%였던 연체율은 지난달 29일 기준 6.18%에 달했다. 새마을금고중앙회가 올해 1분기 경영 실적을 기준으로 지난 4월부터 이달 초까지 공시한 경영실태평가 결과를 보면, 자본적정성과 자산건전성이 감독 기준 밑인 4등급 아래로 떨어져 경영개선권고를 받은 금고는 30곳에 이른다.
이에 행정안전부는 금융감독원 및 예금보험공사 등과 함께 오는 10일부터 5주간 연체율이 가장 높은 100개 금고를 대상으로 합동 점검에 나선다. 연체율이 10%를 웃돌고 부실 위험이 큰 30개는 특별검사를, 연체율이 평균보다 높은 70개는 특별점검을 실시한다는 계획이다.",새마을금고
JTBC,"행안부 ""새마을금고인수합병 시 예·적금 100% 보호할 것""",네이버뉴스,https://n.news.naver.com/mnews/article/437/0000350073?sid=102,,JTBC,"행안부 ""새마을금고 인수합병 시 예·적금 100% 보호할 것""","〈사진=연합뉴스〉
새마을금고의 대출 연체율이 역대 최고치를 기록하며 시민들의 불안이 커지는 가운데, 정부가 ""인수합병 시 고객의 예·적금을 100% 보호하겠다""고 밝혔습니다. 새마을금고가 인수 합병되는 경우 1인당 예금자 보호 한도 5000만원을 넘는 모든 예적금을 보장하겠다는 것입니다.
오늘(5일) 행정안전부는 ""새마을금고는 2300만 거래자가 안심하고 거래할 수 있도록 타 금융기관과 동일하게 새마을금고법에 따라 예금자 보호 기금이 설치돼 1인당 5000만원까지 예금자 보호를 하고 있다""고 말했습니다.
이어 ""일부 새마을금고에 문제가 있어도 인근 금고와 인수합병을 통해 새마을금고를 우량화하는 한편, 고객에게는 전혀 피해가 없도록 조치하고 있다""면서 ""인수합병 되더라도 5000만원 초과 예·적금을 포함한 고객 예·적금은 원금과 이자 모두 100% 이전되므로 5000만원 초과 예금도 보호되는 등 피해가 발생하지 않는다""고 설명했습니다.
또한 예금자보호제도 외에도 고객의 예·적금에 대한 지급 보호를 위해 상환준비금제도를 운용하고 있으며, 현재 금고 예·적금 대비 30%인 약 77조3000억원의 현금성 자산을 보유하고 있어 고객 요구 시 언제든 지급할 수 있는 여력이 충분하다고도 강조했습니다.
최근 새마을금고에는 부실 우려가 커지고 있다는 소식을 들은 고객들이 맡긴 돈을 찾기 위해 몰리고 있습니다. 지난달 경기도의 한 새마을금고는 인근 지점과 합병되기도 했습니다.
정부는 부동산 시장의 침체로 기업 연체율이 올라간 것을 원인으로 보고, 관리 가능한 수준이라며 진화에 나섰습니다. 그러면서 전국 새마을금고 중 연체액이 높은 금고 100개를 점검하겠다고 했습니다.",새마을금고
JTBC,"행안부 ""새마을금고인수합병 시 예·적금 100% 보호""",네이버뉴스,https://n.news.naver.com/mnews/article/437/0000350073?sid=102,,JTBC,"행안부 ""새마을금고 인수합병 시 예·적금 100% 보호할 것""","〈사진=연합뉴스〉
새마을금고의 대출 연체율이 역대 최고치를 기록하며 시민들의 불안이 커지는 가운데, 정부가 ""인수합병 시 고객의 예·적금을 100% 보호하겠다""고 밝혔습니다. 새마을금고가 인수 합병되는 경우 1인당 예금자 보호 한도 5000만원을 넘는 모든 예적금을 보장하겠다는 것입니다.
오늘(5일) 행정안전부는 ""새마을금고는 2300만 거래자가 안심하고 거래할 수 있도록 타 금융기관과 동일하게 새마을금고법에 따라 예금자 보호 기금이 설치돼 1인당 5000만원까지 예금자 보호를 하고 있다""고 말했습니다.
이어 ""일부 새마을금고에 문제가 있어도 인근 금고와 인수합병을 통해 새마을금고를 우량화하는 한편, 고객에게는 전혀 피해가 없도록 조치하고 있다""면서 ""인수합병 되더라도 5000만원 초과 예·적금을 포함한 고객 예·적금은 원금과 이자 모두 100% 이전되므로 5000만원 초과 예금도 보호되는 등 피해가 발생하지 않는다""고 설명했습니다.
또한 예금자보호제도 외에도 고객의 예·적금에 대한 지급 보호를 위해 상환준비금제도를 운용하고 있으며, 현재 금고 예·적금 대비 30%인 약 77조3000억원의 현금성 자산을 보유하고 있어 고객 요구 시 언제든 지급할 수 있는 여력이 충분하다고도 강조했습니다.
최근 새마을금고에는 부실 우려가 커지고 있다는 소식을 들은 고객들이 맡긴 돈을 찾기 위해 몰리고 있습니다. 지난달 경기도의 한 새마을금고는 인근 지점과 합병되기도 했습니다.
정부는 부동산 시장의 침체로 기업 연체율이 올라간 것을 원인으로 보고, 관리 가능한 수준이라며 진화에 나섰습니다. 그러면서 전국 새마을금고 중 연체액이 높은 금고 100개를 점검하겠다고 했습니다.",새마을금고
YTN,"정부 ""새마을금고예·적금 피해 없다…인수합병 시 100% 보호""",네이버뉴스,https://n.news.naver.com/mnews/article/052/0001906040?sid=102,,YTN,"행안부 ""새마을금고 인수합병 시 예·적금 100% 보호""","정부가 부실한 새마을금고 지점이 인수합병 되더라도 고객 예금·적금은 100% 보호하겠다며 불안감 잠재우기에 나섰습니다.
행정안전부와 새마을금고중앙회는 오늘(5일) 합동 보도자료를 내고 '새마을금고는 다른 금융기관처럼 1인당 5천만 원까지 예금자보호를 하고 있다'고 밝혔습니다.
이어 인수합병이 되더라도 고객의 예금과 적금은 원금과 이자 모두 100% 이전되기 때문에 5천만 원 초과 예금도 보호되는 등 피해가 발생하지 않는다고 설명했습니다.
새마을금고가 타 금융기관과 달리 금융 전문성이 부족한 행안부 감독을 받아 부실 대출 등 관리가 안 되고 있다는 일각의 지적도 나오는데, 이를 의식한 듯 행안부와 새마을금고는 '국가가 제정한 법률로 금융기관을 보호하는 형태는 모두 같다'고 강조했습니다.
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr",새마을금고
YTN,"""문제없다"" 진화했지만...새마을금고달려간 고객들 [Y녹취록]",네이버뉴스,https://n.news.naver.com/mnews/article/052/0001906018?sid=101,,YTN,"""문제없다"" 진화했지만...새마을금고 달려간 고객들 [Y녹취록]","■ 진행 : 함형건 앵커
■ 출연 : 김광석 한양대 겸임교수
* 아래 텍스트는 실제 방송 내용과 차이가 있을 수 있으니 보다 정확한 내용은 방송으로 확인하시기 바랍니다. 인용 시 [YTN YTN24] 명시해주시기 바랍니다.
◇앵커> 새마을금고 얘기도 해보죠. 요즘 사실 금융권의 은행들의 연체율도 상당히 급등했다, 이런 얘기가 있었는데. 서민 금융기관이라는 새마을금고는 특히 연체율이 높은 것 같습니다. 그래서 새마을금고 위기설도 지금 대두되고 있는데 어떤 배경입니까?
◆김광석> 일단 미분양주택이 많이 쌓이지 않았습니까? 그러니까 부동산경기가 많이 침체되면서 22년 또 23년까지도 미분양주택이 많이 쌓였습니다. 많이 쌓였을 때 그 정점이 7만 5000호까지 기록을 했었습니다.
그런데 미분양주택의 의미가 뭐냐. 바로 건설사들이 분양을 하고 나면 돈 갚을게 하면서 빌리는 돈이 부동산 PF 아니겠습니까? 그런데 미분양이 쌓인다는 얘기는 부동산 PF 대출을 받아놓고 갚지 못하는 환경이 되었다라고 해석할 수 있지 않겠습니까?
그중에서도 새마을금고의 대출이 많이 법인에게 제공됐었고 그 법인의 연체율이 9.99%니까 굉장히 많습니다. 제가 여러분들께 이런 말씀을 꼭 전해 드리고 싶어요. 이게 새마을금고의 부동산 PF 사업 부문, 그 부문의 부실은 맞습니다. 굉장히 부실하고요.
그러나 이게 새마을금고의 부실이라고까지 너무 과대하게 공포감을 가지실 필요는 없으시겠다 이런 말씀도 드리고 싶습니다. 새마을금고가 2022년에 역대급, 역대급 수익을 누렸습니다. 순이익이 4700억 정도 됩니다.
그러니까 새마을금고 역사상 가장 많이 돈을 번 그 순간이 바로 지금입니다. 그렇다고 해서 모든 사업 부문이 다 돈을 버는 것은 아니고 그중에서 부동산 PF 부문만큼은 상당히 안 좋은 상황이고 부실인 건 맞습니다. 그러나 그것이 새마을금고 전체의 부실로까지 오해하실 필요는 없겠다 이 말씀 좀 드리고 싶고요.
가장 쉽게 비유를 한다면 이렇습니다. 예를 들어서 전자회사가 있다고 해 볼게요. 반도체도 만들고 스마트폰도 만들고 냉장고, 세탁기 다 만듭니다. 그런데 만약에 세탁기 사업 부문이 부실이면 이 전자회사가 다 무너지는 게 아니고 세탁기 사업 부문이 정리되는 것이다.
이렇게 생각하실 수 있겠죠. 그런 식으로 이해하시면 물론 엄중하고 경고등이 켜진 건 사실이고요. 그 부문의 심각성은 맞습니다마는 그게 전체의 문제라고 생각하실 필요까지는 없지 않을까 이런 생각을 해 봅니다.
◇앵커> 다시 정리해 보면 전체 새마을금고의 평균 연체율이 6%대가 넘는다고 하고 어떤 경우에는 10%대 넘는 그런 새마을금고도 있고. 일부 새마을금고에는 지금 고객들이 몰려서 예금을 인출하려고 하는 곳도 생겨나고 있다고는 하는데요.
그럼에도 불구하고 전체적으로 봤을 때는 아직은 경고등이 켜진 상태는 아니다. 전체를 걱정할 정도는 아니다, 이렇게 보시는 거군요.
◆김광석> 그 부분을 강조해 드리면 실제 여신 규모, 새마을금고의 여신 규모가 198조 원입니다. 그중에서 부동산 PF가 있고 공공대출 부문이 문제가 있습니다. 이 규모를 해석해 보면 약 21조 원입니다. 그러니까 결국은 이 부분의 연체율도 높은 거고요.
전체 여신사업 자체가 부실하다기보다는 21조에 해당되는 이 부문이 부실하다, 이렇게 생각해 볼 수 있겠고요. 또 걱정하시는 것 중에 하나가 새마을금고는 1금융이 아니니까 예금자보호도 못 받지 않느냐, 이런 생각을 하시는데. 그 부분 정확히 말씀드리면 새마을금고법이 있습니다. 여기에 예금자보호기금이 설치되어 있고요.
1인당 5000만 원까지 예금자보호를 받으실 수 있습니다. 이런 법도 있기 때문에. 그러니까 우리가 문제의 심각성 있고요. 우리가 주의해야 됩니다. 그리고 이 문제를 빨리 풀어나가야 됩니다. 그러나 이것 때문에 과도한 불안감을 가지실 필요는 없으시다는 말씀을 드리고 싶습니다.
◇앵커> 그럼에도 불구하고 부실심사했었던 부분은 있는 것 같으니까 정부가 특별점검에 나선다고 하니까요. 어느 정도의 구조조정은 불가피한 상황이라고 봐야겠군요.
◆김광석> 그렇습니다. 행정안전부의 관리감독을 받고 있고요. 그리고 금융위와 금감원의 협의체에서도 감시를 받고 있습니다. 그런데 행정안전부가 내일 협의를 합니다. 협의하면서 아마도 가장 부실한 지역 새마을금고. 부실이 가장 심각한 금고는 사라져야 될 것이고 또는 M&A 인수를 통해서 건전화시켜 나갈 거라고 생각이 되고요.
그런 조치를 거치면 그래도 관리 가능한 수준이라고 이야기하는 만큼 관리가 가능한 범주 내에 오지 않을까 하는 기대도 어느 정도는 갖고 있습니다.
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr",새마을금고
