press,title,naver_news_text,naver_news_url,body
국민일보,"354% 폭등, 아직 없어요?…에코프로3형제, 살까 말까",네이버뉴스,https://n.news.naver.com/mnews/article/005/0001598791?sid=101,
국민일보,'주가 이상과열' 평가에도…에코프로또 신고가,네이버뉴스,https://n.news.naver.com/mnews/article/005/0001598791?sid=101,
서울경제,"삼성증권,에코프로투자의견 '중립' 하향…""현저한 고평가""",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004175686?sid=101,
연합뉴스,에코프로'이상 과열' 찍혀도 무풍지대,네이버뉴스,https://n.news.naver.com/mnews/article/001/0013860377?sid=101,
서울경제,"""이상한 상황"" 쓴소리에도에코프로, 8%대 급등…50만원대 재돌파",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004175391?sid=101,
한국경제,"2차전지 ETF인데, 수익률 2배差…에코프로가 갈랐다",네이버뉴스,https://n.news.naver.com/mnews/article/015/0004829127?sid=101,
한국경제,에코프로날개 달고…배터리 리사이클링 ETF 수익률 1위,네이버뉴스,https://n.news.naver.com/mnews/article/015/0004829127?sid=101,
매일경제,올 1분기 ETF 결산해보니…‘엔비디아·에코프로’에 갈렸다 [투자360],네이버뉴스,https://n.news.naver.com/mnews/article/009/0005111988?sid=101,
헤럴드경제,1분기 ETF 수익률 승자는 ‘반도체·배터리·코스닥’,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002126044?sid=101,
헤럴드경제,올해 1분기 ETF 휩쓴 '2차전지'…2분기도 약진 이어가나,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002126281?sid=101,
연합뉴스,"""에코프로, 美 IRA 세부지침 발표 후 포항 공장 증설 검토""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013862260?sid=101,
연합뉴스,"에코프로, 2조원 투자해 한국내 생산 규모 확대",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013862260?sid=101,
글로벌이코노믹,"해외언론 “에코프로그룹 2조 넣어 한국 내 증설 검토, 전구체 생산 예...",,,
비즈니스포스트,"""에코프로포항공장 증설…2조원 투자""",,,
뉴스웨이,"에코프로, 포항공장 증설 검토… 65만㎡에 2조원 투입",,,
이데일리,"""5월 MSCI 리뷰,에코프로·KT 등 5개 종목 편입 예상""",네이버뉴스,https://n.news.naver.com/mnews/article/018/0005456408?sid=101,
이데일리,"“에코프로등 5종목, MSCI 5월 리뷰서 신규 편입 예상”",네이버뉴스,https://n.news.naver.com/mnews/article/018/0005456408?sid=101,
스카이데일리,"“5월 MSCI 정기 리뷰,에코프로·코스모신소재 등 5개 편입 가능성 높아...",,,
이투데이,"""5월 MSCI 리뷰서 한화에어로·에코프로등 4개 종목 편입 전망""<유진투...",,,
국제뉴스,에코프로주가 또 상승 '미국 IRA 세부법안 수혜 기대감',,,
서울경제,[데이터로 보는 증시]에코프로비엠·에코프로기관·외국인 코스닥 순매...,네이버뉴스,https://n.news.naver.com/mnews/article/011/0004175600?sid=101,
EBN,"[특징주]에코프로, 투자의견 하향 조정에도 급등",,,
초이스경제,에코프로'장중 주가 급등'...삼성증권 진단은?,,,
핀포인트뉴스,삼성전자 SK하이닉스 LG화학 '훨훨'...에코프로비엠에코프로엘앤에프...,,,
아시아타임즈,"[마감]에코프로, 급등 ""IRA 세부지침 발표 후 포항 공장 증설 검토""",,,
