press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
파이낸셜뉴스,"[특징주]에코프로, 70만원 돌파",네이버뉴스,https://n.news.naver.com/mnews/article/014/0004994489?sid=101,,파이낸셜뉴스,"[특징주] 에코프로, 70만원 돌파","에코프로/사진=뉴시스
[파이낸셜뉴스] 에코프로 주가가 70만원을 돌파했다.
10일 오후 3시 7분 기준 에코프로는 전 거래일보다 23.01% 오른 71만8000원에 거래되고 있다. 에코프로비엠 역시 13.98% 오른 29만3500원에 거래 중이다.
이날 59만1000원으로 거래를 시작한 에코프로는 동력이 강하게 이어지면서 70만원을 돌파했다. 최근 주가가 과열 구간에 진입했다는 우려가 잇따르고 있지만, 에코프로 형제는 상승세를 이어가고 있다.",에코프로
파이낸셜뉴스,"연일 최고가 '에코프로' 70만원 뚫었다…두달 만에 7배, 무슨일",네이버뉴스,https://n.news.naver.com/mnews/article/014/0004994489?sid=101,,파이낸셜뉴스,"[특징주] 에코프로, 70만원 돌파","에코프로/사진=뉴시스
[파이낸셜뉴스] 에코프로 주가가 70만원을 돌파했다.
10일 오후 3시 7분 기준 에코프로는 전 거래일보다 23.01% 오른 71만8000원에 거래되고 있다. 에코프로비엠 역시 13.98% 오른 29만3500원에 거래 중이다.
이날 59만1000원으로 거래를 시작한 에코프로는 동력이 강하게 이어지면서 70만원을 돌파했다. 최근 주가가 과열 구간에 진입했다는 우려가 잇따르고 있지만, 에코프로 형제는 상승세를 이어가고 있다.",에코프로
중앙일보,'게 섰거라'에코프로…증권가 이상과열 지적,네이버뉴스,https://n.news.naver.com/mnews/article/025/0003272095?sid=101,,중앙일보,"연일 최고가 '에코프로' 70만원 뚫었다…두달 만에 7배, 무슨일","2차전지 양극재 업체 에코프로가 거침없이 급등하고 있다. 에코프로는 24%나 급등하며 단숨에 70만원대도 돌파했다. 연일 사상 최고가를 경신하고 있다. 에코프로비엠도 동반상승했다.
에코프로비엠 부스. 사진 에코프로
10일 에코프로는 전날보다 14만3000원(24.7%) 급등한 72만2000원에 거래를 마쳤다. 지난 5일 50만원대 주가에 진입한 뒤 불과 3거래일만에 70만원대 주가에 진입했다.
최근 4거래일 동안 계속 상승하며 무려 52%나 껑충 뛰었다. 지난 1월말까지11만원대에 불과했던 주가가 불과 2개월 여 만에 7배 가까이 폭등했다.
이날 상승은 개인이 이끌었다. 개인은 1125억원어치를 사들였다. 외국인은 423억원, 기관은 665억원어치를 팔았다.
자회사 에코프로비엠도 이날 큰 폭의 상승을 기록했다. 에코프로비엠은 전거래일보다 3만5000원(13.59%) 오른 29만2500원으로 30만원대 진입을 눈앞에 뒀다.
사진 에코프로
에코프로비엠은 개인이 880억원, 외국인이 117억원어치를 샀다. 기관은 977억원을 팔았다.
에코프로는 자회사로 코스닥 시가총액 1위인 에코프로비엠을 두고 있는 지주회사다. 통상 지주사들은 할인율을 받아 평가되는데, 올해 주가가 급등하면서 자회사와 나란히 코스닥 시총 1, 2위를 기록하고 있다.
증권가에서는 에코프로주들이 고평가돼있다는 점, 최근 주가가 지나치게 급등했다는 점 등을 이유로 투자에 유의해야 한다고 말한다.
장정훈 삼성증권 연구원은 지난 5일 관련 보고서를 내고 에코프로의 주가가 현저한 고평가 영역에 있다며 투자 의견을 ‘매수’에서 ‘중립’으로 하향했다.
한병화 유진투자증권 연구원도 에코프로비엠에 대해 지난달 말 발간한 보고서에서 “미래 전망은 여전히 긍정적이나 주가가 지나치게 빠른 속도로 미래 이익을 반영해 당분간 이를 검증할 기간이 필요하다”며 투자 의견을 ‘중립’으로 한 단계 낮췄다.",에코프로
한국경제TV,"진격의에코프로, 기어코 70만원 돌파… 연일 신고가 행진",네이버뉴스,https://n.news.naver.com/mnews/article/215/0001094419?sid=101,,한국경제TV,'게 섰거라' 에코프로…증권가 이상과열 지적,"최근 주가가 급등하며 고평가 논란에 휩싸인 에코프로가 10일 25% 가까이 급등하며 70만원대에 안착했다. 최근 주가가 과열 구간에 진입했다는 우려가 잇따랐지만, 장중 28.5% 오른 74만4천원까지 상승하며 이날도 다시 한번 상장 이후 최고가를 경신했다.
이날 코스닥시장에서 에코프로는 전 거래일보다 24.70% 오른 72만2천원에 거래를 마쳤다. 주가 상승으로 에코프로 시총은 18조36833억원으로 SK이노베이션(18조2804억원)을 넘었고, 에코프로 자회사들 시총을 합산한 그룹주 시총으로는 삼성SDI와 LG화학 못지 않은 규모로 올라섰다.
코스닥시장 시가총액 1위 종목 에코프로비엠도 13.59% 급등한 29만2천500원에, 에코프로에이치엔은 2.28% 오른 8만700원에 장을 마감했다.
에코프로는 최근 2차전지의 핵심소재인 양극재를 만드는 에코프로비엠, 에코프로에이치엔 등 자회사들과 함께 코스닥시장 2차전지 테마를 이끌고 있다.
다만 단기간에 지나친 급등세를 보여 증권가 일각에선 이상 과열 현상이라는 지적도 제기되고 있다.
장정훈 삼성증권 연구원은 지난 5일 관련 보고서를 내고 에코프로의 주가가 현저한 고평가 영역에 있다며 투자 의견을 '매수'에서 '중립'으로 하향했다.
한병화 유진투자증권 연구원도 에코프로비엠에 대해 지난달 말 발간한 보고서에서 ""미래 전망은 여전히 긍정적이나 주가가 지나치게 빠른 속도로 미래 이익을 반영해 당분간 이를 검증할 기간이 필요하다""며 투자 의견을 '중립'으로 한 단계 낮췄다.
(사진=연합뉴스)",에코프로
SBS Biz,"에코프로, 70만원 돌파…고평가 논란에도 또 '신고가 경신'",네이버뉴스,https://n.news.naver.com/mnews/article/374/0000330959?sid=101,,SBS Biz,"진격의 에코프로, 기어코 70만원 돌파… 연일 신고가 행진","고평가 논란 속 최고가 경신… 증권가 '이상 과열' 지적
[에코프로 로고(CI). (에코프로 제공=연합뉴스)]
2차전지의 핵심 소재인 양극재를 만드는 에코프로비엠의 지주사 에코프로가 고평가 논란을 딛고 70만원대에 안착하며 고공 행진을 이어가고 있습니다.
10일 한국거래소에 따르면 에코프로 주가는 이날 24.7% 급등한 72만2천원에 거래를 마감했습니다.
최근 주가가 과열 구간에 진입했다는 우려의 목소리가 꾸준히 나오고 있지만, 이날도 장중 28.5% 오른 74만4천원까지 상승하는 등 상장 이후 최고가를 다시 한번 경신했습니다.
코스닥시장 시가총액 1위 종목인 에코프로비엠도 이날 13.59% 급등한 29만2천500원에 장을 마쳤고, 에코프로의 환경사업 부문이 인적분할된 에코프로에이치엔도 2.28% 오른 8만700원에 거래를 마감했습니다.
증권가에서는 에코프로를 포함한 에코프로 3형제 주가가 단기간에 지나친 급등세를 보여 과열 구간에 진입했다는 우려가 잇달아 제기되고 있습니다.
삼성증권은 지난 4일 에코프로에 대해 주가가 현저한 고평가 구간에 진입했다며 투자의견을 중립(HOLD)로 하향 조정하기도 했습니다.
이에 앞서 한병화 유진투자증권 연구원도 ""에코프로비엠에 대해 투자의견을 매수(BUY)에서 중립(HOLD)으로 하향한다""며 ""미래 전망은 긍정적이나, 주가가 지나치게 빠른 속도로 미래 이익을 반영 해서 당분간 이를 검증할 기간이 필요하기 때문""이라고 말했습니다.
모건스탠리, 맥쿼리증권, JP모건, HSBC 등 외국계 증권사들도 에코프로비엠의 최근 주가가 과도하게 높다며 목표주가를 현재 가격의 절반 수준인 12만~13만원선을 제시했습니다.
그러나 에코프로 그룹주의 급등세를 두고 단순히 2차전지 관련 테마주가 아니라 실적으로 기업 가치를 증명했다는 점에 개인 투자자들이 주목하면서 기업 가치를 재평가받고 있는 상황이라는 평가도 적지 않습니다.
다만, 고속 질주를 이어가는 주가 흐름과 달리 부정적인 투자 전망이 이어지면서 에코프로 그룹주를 둘러싼 고평가 논란은 주각 의미있는 조정 흐름을 보이기 전까지 당분간 계속될 것으로 전망됩니다.
당신의 제보가 뉴스로 만들어집니다.
SBS Biz는 여러분의 제보를 기다리고 있습니다.
홈페이지 = https://url.kr/9pghjn",에코프로
매일경제,"2차전지주 상승 랠리...에코프로69만원 돌파, 신고가 경신",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005113999?sid=101,,매일경제,"2차전지주 상승 랠리...에코프로 69만원 돌파, 신고가 경신","장초반 주가 19% 급등
에코프로비엠도 7% 상승
사진=연합뉴스
2차전지 양극재 종목인 에코프로와 에코프로비엠 주가가 연일 나란히 오르며 신고가를 기록하고 있다.
10일 한국거래소에 따르면 에코프로는 오전 10시 20분 기준 69만2000원으로 전 거래일 대비 19.52% 오르고 있다.
에코프로의 자회사인 에코프로비엠도 전 거래일 대비 7.18% 상승한 27만6000원에 거래되고 있다.
두 종목 모두 52주 신고가를 경신하며 2차전지주 상승 랠리를 이끌고 있다. 에코프로와 에코프로비엠은 각각 연초 대비 약 500%, 192% 폭등했다.
2차전지주는 전기차 수요 증가와 미국의 인플레이션 감축법(IRA)에 따른 수혜에 대한 기대감으로 급등세를 이어가고 있다.
에코프로는 에코프로비엠을 비롯한 자회사를 둔 지주회사다. 증권가에선 지주사의 주가 상승이 과열 신호를 보이고 있단 경고도 나온다. 장정훈 삼성증권 연구원은 4일 “에코프로는 자회사 관리와 투자사업 부문을 영위하는 지주회사인데, 시장에서 지주사가 할인돼 평가받는 것과 다르게 에코프로는 3월 말 기준 20% 더 높게 평가받고 있는 상황”이라고 분석했다.",에코프로
매일경제,에코프로4형제 기대감에 또 질주…52주 신고가 경신,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005113999?sid=101,,매일경제,"2차전지주 상승 랠리...에코프로 69만원 돌파, 신고가 경신","장초반 주가 19% 급등
에코프로비엠도 7% 상승
사진=연합뉴스
2차전지 양극재 종목인 에코프로와 에코프로비엠 주가가 연일 나란히 오르며 신고가를 기록하고 있다.
10일 한국거래소에 따르면 에코프로는 오전 10시 20분 기준 69만2000원으로 전 거래일 대비 19.52% 오르고 있다.
에코프로의 자회사인 에코프로비엠도 전 거래일 대비 7.18% 상승한 27만6000원에 거래되고 있다.
두 종목 모두 52주 신고가를 경신하며 2차전지주 상승 랠리를 이끌고 있다. 에코프로와 에코프로비엠은 각각 연초 대비 약 500%, 192% 폭등했다.
2차전지주는 전기차 수요 증가와 미국의 인플레이션 감축법(IRA)에 따른 수혜에 대한 기대감으로 급등세를 이어가고 있다.
에코프로는 에코프로비엠을 비롯한 자회사를 둔 지주회사다. 증권가에선 지주사의 주가 상승이 과열 신호를 보이고 있단 경고도 나온다. 장정훈 삼성증권 연구원은 4일 “에코프로는 자회사 관리와 투자사업 부문을 영위하는 지주회사인데, 시장에서 지주사가 할인돼 평가받는 것과 다르게 에코프로는 3월 말 기준 20% 더 높게 평가받고 있는 상황”이라고 분석했다.",에코프로
서울경제,"""에코프로그룹주, 과연 계속 오를까?"" 투자자 고심 증폭",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004177088?sid=101,,서울경제,에코프로 4형제 기대감에 또 질주…52주 신고가 경신,"[서울경제]
에코프로(086520)
그룹주가 고평가 논란에도 불구하고 질주를 계속하고 있다. 2차전지 제조업체들이 미국 인플레이션감축법(IRA) 호재를 실적에 반영하면서 핵심 소재 공급업체인 에코프로 그룹도 상승 탄력을 받는 것으로 풀이된다. 여기에 몸값이 3조원에 달하는 에코프로머티리얼즈가 코스피 기업공개(IPO) 채비를 하면서 힘을 더하고 있다는 분석이다.
10일 오전 10시 7분 에코프로는 전 거래일보다 18.65% 급등한 68만7000원에 거래를 이어가고 있다. 52주 신고가(68만3000원)를 경신했다.
에코프로비엠(247540)
은 6.80% 오르며 27만5000원에 거래되고 있고,
에코프로에이치엔(383310)
도 2.66% 상승했다.
에코프로그룹주는 최근 주가가 과열 구간에 진입했다는 우려에도 상승세가 멈추지 않고 있다. 미국 재무부가 전기차와 배터리 등에 대한 인플레이션감축법(IRA) 세부지침을 발표하면서 긍정적인 전망이 이어졌기 때문이다. 특히 개인 투자자들이 올해들어 1조원 이상을 순매수하며 이들의 성장성에 베팅하는 모습이다.
그룹의 지주사격인 에코프로는 자회사 에코프로머티리얼즈의 IPO 기대감도 받는다. 업계에 따르면 에코프로머티리얼즈는 이달 말 한국거래소 코스피시장본부에 상장 예비 심사 청구서를 제출하기 위한 마무리 작업이 한창이다. 통상 거래소의 예비심사와 증권신고서 제출, 수요예측 및 일반 청약을 거쳐 최종 상장까지 약 4개월 걸리는 만큼 이르면 올 3분기 코스피 입성이 관측된다. 지난해 말 기준 최대주주는 지주사인 에코프로(지분 52.78%)이고 LG그룹 맏사위인 윤관 씨가 대표로 있는 BRV캐피탈매니지먼트의 운용 펀드 2개가 각각 18.96%, 10.15%의 지분을 가지고 있다. 에코프로머티리얼즈가 상장에 성공하면 에코프로그룹의 상장사는 네 곳으로 늘어난다.
긍정적인 주가 흐름과는 별개로 증권가의 과열 우려는 지속되고 있다. 삼성증권은 지난 4일 현 주가가 현저한 고평가 영역이라며 에코프로에 대한 투자의견을 홀드(HOLD)로 하향 조정했다. 목표주가는 38만 원으로 현 주가의 절반 수준이다. 장정훈 삼성증권 연구원은 ""시장에서 기대하고 있는 비상장회사(에코프로머티리얼즈, 에코프로이노베이션)의 가치는 에코프로의 상장 자회사 에코프로비엠 양극재 제조 원료에 들어가는 상황""이라며 ""계열사 내부매출이 주력인 비상장사의 자산가치나 수익가치에 근거해 시장 가치를 부여하겠다는 시도는 부담이다""고 말했다.",에코프로
더팩트,올해 600% 급등한 2차전지 '에코프로'에 무슨 일이,네이버뉴스,https://n.news.naver.com/mnews/article/629/0000210886?sid=101,,더팩트,"""에코프로 그룹주, 과연 계속 오를까?"" 투자자 고심 증폭","10일 에코프로 24.70% 상승 마감…70만 원 '단숨'
국내 최대 양극재 기업 에코프로는 10일 전 거래일(57만9000원) 대비 24.70%(14만3000원) 오른 72만2000원에 거래를 마쳤다. 에코프로비엠도 전 거래일(25만7500원)보다 13.59%(3만5000원) 상승한 29만2500원으로 장을 종료했다. 사진은 에코프로비엠 본사 전경. /에코프로비엠
에코프로 그룹주가 고평가 논란에도 고공행진을 지속하고 있다. 투자자들은 추가 상승 여력이 있을지, 현 시점 매수에 나서도 될지 고민에 여념이 없다.
10일 한국거래소에 따르면, 배터리 이날 코스닥 시장에서 양극재 대장주인 에코프로는 전 거래일(57만9000원) 대비 24.70%(14만3000원) 오른 72만2000원에 거래를 마쳤다. 이날 59만1000원으로 문을 연 에코프로는 개장 이후 즉각 거침없는 상승세를 탔다. 장중에는 74만4000원까지도 뛰며 52주 신고가를 다시 썼다. 에코프로는 4거래일 연속 오름세를 유지했다. 지난주 마지막 거래일인 7일에는 10.92%, 6일에는 1.36%, 5일에는 8.42%나 오르며 거래를 마쳤다.
이날 양극재 소재 탄산리튬을 생산하는 에코프로비엠 또한 전 거래일(25만7500원) 대비 13.59%(3만5000원) 상승한 29만2500원으로 장을 마쳤다. 장중에는 31만5500원까지도 오르며 마찬가지로 52주 신고가를 경신했다. 에코프로의 환경사업 부문이 인적분할된 에코프로에이치엔은 전 거래일(7만8900원)보다 2.28%(1800원) 오른 8만700원으로 거래를 종료했다. 선두 2형제보다는 상승 폭이 적다.
에코프로 그룹주는 2차전지 시장의 성장세와 더불어 중국을 견제하기 위한 미국의 인플레이션감축법(IRA)으로 한국 기업이 수혜를 입을 수 있다는 전망이 나오면서 최근 주가 급등세를 타고 있다.
에코프로의 주가는 올해 들어 556.36%나 치솟았다. 같은 기간 에코프로비엠과 에코프로에이치에의 주가도 각각 213.17%, 79.33% 상승했다.
에코프로 형제가 이날 두드러지는 상승세를 나타낸 것은 지난주 에코프로의 포항시 양극재 생산공장 투자 소식이 전해진 영향으로 풀이된다. 에코프로는 오는 2027년까지 경북 포항 블루밸리국가산업단지에 2조 원 이상을 투자해 '에코 프로 블루밸리 캠퍼스'(가칭)를 조성할 계획이다.
아울러 하루 앞둔 에코프로그룹의 1분기 잠정실적 공개에 대한 시장의 기대감도 반영된 것으로 보인다.
앞서 증권사들은 질주하는 에코프로 그룹주에 대한 목표주가를 낮추는 등 다소 소극적인 자세를 취했지만 에코프로 3형주 주가는 계속 상승했다.
삼성증권은 최근 ""에코프로의 주가가 현저한 고평가 영역에 있다""며 투자 의견을 '매수'에서 '중립'으로 하향 조정했다. 유진투자증권은 투자의견을 '매수'에서 '중립'으로 내렸다. 한병화 유진투자증권 연구원은 에코프로비엠을 두고 ""주가가 지나치게 빠른 속도로 미래 이익을 반영해 당분간 이를 검증할 기간이 필요하다""고 풀이했다.
물론 증권사에서 내놓는 긍정 전망도 있다. 장기적 관점에서 추가 상승 여력이 있다는 해석이다. 유안타증권은 에코프로비엠의 1분기 매출이 전년 대비 180% 이상 오를 것으로 예측했다. 이안나 유안타증권 연구원은 최근 보고서에서 ""빠른 주가 상승으로 단기 주가 조정 가능성은 있으나, 대표적인 성장 산업이고 코스피·코스닥 상위 시가총액 섹터이기 때문에 조정 기간 길지 않을 것""이라고 전망했다.
정원석 하이투자증권 연구원은 ""2차 전지 양극재 업체들의 1분기 실적이 대체로 부진할 것으로 예상된다. 에코프로와 에코프로비엠의 밸류에이션이 크게 높아진 만큼 실적 발표를 전후로 단기 주가 조정 가능성이 있다""면서도 ""전기차 전환이 가속화하면서 양극재 수요는 지속해서 증가할 것이다. 장기적으로는 주가가 우상향할 것""이라고 진단했다.
투자자들은 증권가에서도 종잡지 못하는 에코프로의 주가 전망을 두고 고심이 커지는 분위기다. 현재 온라인 증권 커뮤니티 등에는 ""100만 원 황제주 가는 건가요?"", ""이제 떡락 시기 온 건가"", ""당최 감을 잡을 수 없다. 실적 발표 이후 급등세를 이어갈지, 급락할지 고수들의 고견 바란다""는 식의 글이 즐비하다.
한편, 에코프로의 전구체 사업 자회사인 에코프로머티리얼즈는 현재 코스피 상장을 추진 중이다. 에코프로머티리얼즈는 이달 말 한국거래소 코스피시장본부에 상장예비심사를 청구할 것으로 알려져 있다. 에코프로그룹 주가에는 새로운 상승 호재가 될 지 투자자들의 이목이 집중되고 있다.
발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.
▶카카오톡: '더팩트제보' 검색
▶이메일: jebo@tf.co.kr
▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",에코프로
한국일보,천장 뚫고나서 또 질주…60만 원 목전에코프로'과열 주의보',네이버뉴스,https://n.news.naver.com/mnews/article/469/0000733310?sid=101,,한국일보,올해 600% 급등한 2차전지 '에코프로'에 무슨 일이,"에코프로·에코프로비엠 과열 우려
'주가 하락 기대' 공매도 잔고 2, 3배↑
에코프로비엠이 2019년 10월 22일 경북 포항시 북구 흥해읍 죽천리 영일만1일반산업단지 내 1공장 준공식을 개최하고 있다. 포항시 제공
코스닥 시가총액(시총) 1, 2위 에코프로비엠, 에코프로의 급등이 심상찮다.  올 들어 양극재(배터리의 용량과 출력을 결정하는 2차전지 핵심 소재) 관련주가 동반 상승 중이나 '에코프로 형제주'의 상승은 과열됐다는 평가다.
10일 에코프로는 전장보다 24.7% 오른 72만2,000원에 장을 마쳤다. 앞서 3거래일 연속 50만 원대를 기록했는데, 이날 곧장 70만 원을 넘어섰다. 자회사 에코프로비엠도 31만5,500원으로 신고가를 다시 썼다. 마감가는 13.6% 오른 29만2,500원이다.
에코프로 형제주는 다른 2차전지주들과 함께 연초부터 수직상승했다. 2차전지주들은 1월 포스코케미칼(현 포스코퓨처엠)이 10년간 40조 원 규모의 양극재 공급을 계약하면서 새삼 주목받기 시작했다. 특히 에코프로비엠에 관해 ""포스코케미칼의 몇 배에 해당하는 수주를 받을 것""이라는 기대가 나왔다. 미국 인플레이션감축법(IRA)의 수혜주라는 점, 다른 마땅한 투자처가 없다는 점도 2차전지의 호재로 작용했다.
그럼에도 에코프로 형제주엔 과도한 '쏠림'이 발생했다는 의견이 있다. 이날 종가 기준 에코프로의 올해 상승률은 601%, 에코프로비엠은 218%다. 그 결과 두 회사 시총의 합(47조3,000억 원)은 발주처인 삼성SDI(52조 원)와 맞먹는 수준까지 올라섰다.
한병화 유진투자증권 연구원은 지난달 30일 보고서에서 ""난공불락인 국내 양극재 업체의 위상을 고려하면 시장의 에코프로비엠 가치평가에 동의한다""면서도 ""주가가 지나치게 빠른 속도로 미래 이익을 반영해 이를 검증할 시간이 필요하다""고 평가했다. 그는 투자의견을 '보류'로 하향하고 적정가격을 20만 원으로 제시했다.
지주사인 에코프로의 급등도 '난센스'라는 시선이 있다. 장정훈 삼성증권 연구원은 ""자회사의 배당금이 주 수입원인 지주사는 통상 자회사 대비 30~50% 가치 절하되는데, 에코프로는 지난달부터 20% 더 높게 평가받는 혼돈스러운 상황""이라며 투자의견을 '보류'로 내리고 적정가격을 38만 원으로 썼다.
통상 주가의 상승 속도가 지나치게 빠른 경우 가격 조정기를 거치기 때문에 '추격 매수(추가 상승을 기대하고 주식을 사는 것)'에 유의해야 한다. 에코프로의 공매도 잔액은 지난달 2일 664억 원에서 5일 1,958억 원으로 3배 가까이 늘었다. 공매도는 빌린 주식을 시장에 판 뒤 주가가 원하는 만큼 떨어지면 사들이는 기법으로, 공매도 잔고가 늘었다는 것은 주가 하락을 기대하는 참가자들이 그만큼 많다는 뜻이다. 에코프로비엠도 같은 기간 공매도 잔고가 4,606억 원에서 8,139억 원으로 2배 가까이 증가했다.",에코프로
