press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
경기일보,인천 ‘미니 신도시’ 구월2공공주택지구 지정 본궤도,네이버뉴스,https://n.news.naver.com/mnews/article/666/0000018828?sid=100,,경기일보,인천 ‘미니 신도시’ 구월2공공주택 지구 지정 본궤도,"市, 국토부에 9월 지정 심의
거래허가 유지… 투기 차단
“연말부터 보상협의체 가동”
인천도시공사(iH)가 사업시행자로 나서는 구월2공공주택지구의 전경. iH 제공
인천시가 ‘미니 신도시’ 규모의 구월2공공주택 개발 사업을 위한 지구 지정 절차를 본격화한다. 시는 투기세력 유입을 막기 위한 토지거래허가구역 재지정에도 나선다.
15일 시와 인천도시공사(iH)에 따르면 시는 다음달 국토교통부에 구월2지구 지구 지정 심의를 받을 예정이다. 시는 올해 안에 국토교통부 중앙도시계획심의위원회의를 거쳐 구월2지구 지구 지정을 하고, 내년부터 지구단위계획과 보상계획 등을 확정하겠다는 구상이다.
앞서 시는 지난 6월 인천시의회로부터 iH를 공동시행자로 하는 ‘구월2지구 조성사업’의 동의를 받았다. 구월2지구 조성사업은 남동구 구월동·남촌동·수산동, 연수구 선학동, 미추홀구 관교동·문학동 일대의 약 220만㎡(67만평)에 1만8천가구를 만드는 사업이다.
시는 구월2지구 개발에 따른 투기세력을 막기 위해 이곳 일대를 내년 9월20일까지 토지거래허가구역으로 유지한다. 토지거래허가구역은 투기 방지를 위해 일정 규모 면적을 초과하는 토지를 거래할 때 구청장의 허가를 받도록 하는 제도이다. 또 토지용도에 따른 이용 의무 기간이 정해져 있다.
iH도 현재 원주민과의 토지보상가 협의를 위한 협의체를 만들고, 원주민 이주 대책을 위한 용역을 추진한다. 여기에 iH는 ‘인천구월2 공공주택지구 광역교통개선대책 수립 및 교통영향평가’ 용역을 하고있다. 이를 통해 iH는 국토부가 내놓은 제2경인고속도로 남동나들목(IC) 개선,수도권광역급행철도(GTX) B노선 환승센터 구축 계획 등과 추가 대책을 살펴본다.
다만, 시와 iH가 구월2지구를 성공적으로 조성하기 위해서는 지구지정 이후, 토지보상가 협의와 원주민 이주 대책 마련 등의 과제를 해결해야 한다.
구월2지구에는 토지보상을 위한 원주민·세입자 협의체가 무려 8개가 만들어지면서 토지 보상을 둘러싼 갈등 양상을 보이고 있다. iH는 토지보상 문제 협의를 위한 공통의 협의체를 마련, 지구지정을 마치는 대로 협의에 들어갈 예정이다.
iH 관계자는 “올해 지구지정을 마무리하고, 연말부터 토지보상 협의체를 가동할 것”이라며 “이에 앞서 광역교통대책과 원주민이주대책 등 필요한 용역을 우선적으로 추진하고 있다”고 했다. 이어 “대책위의 창구를 1개로 모아서 일관성 있는 협의가 이뤄질 수 있도록 할 것”이라고 덧붙였다.",공공주택
경기일보,구월2지구공공주택지구토지거래허가구역 재지정,네이버뉴스,https://n.news.naver.com/mnews/article/666/0000018828?sid=100,,경기일보,인천 ‘미니 신도시’ 구월2공공주택 지구 지정 본궤도,"市, 국토부에 9월 지정 심의
거래허가 유지… 투기 차단
“연말부터 보상협의체 가동”
인천도시공사(iH)가 사업시행자로 나서는 구월2공공주택지구의 전경. iH 제공
인천시가 ‘미니 신도시’ 규모의 구월2공공주택 개발 사업을 위한 지구 지정 절차를 본격화한다. 시는 투기세력 유입을 막기 위한 토지거래허가구역 재지정에도 나선다.
15일 시와 인천도시공사(iH)에 따르면 시는 다음달 국토교통부에 구월2지구 지구 지정 심의를 받을 예정이다. 시는 올해 안에 국토교통부 중앙도시계획심의위원회의를 거쳐 구월2지구 지구 지정을 하고, 내년부터 지구단위계획과 보상계획 등을 확정하겠다는 구상이다.
앞서 시는 지난 6월 인천시의회로부터 iH를 공동시행자로 하는 ‘구월2지구 조성사업’의 동의를 받았다. 구월2지구 조성사업은 남동구 구월동·남촌동·수산동, 연수구 선학동, 미추홀구 관교동·문학동 일대의 약 220만㎡(67만평)에 1만8천가구를 만드는 사업이다.
시는 구월2지구 개발에 따른 투기세력을 막기 위해 이곳 일대를 내년 9월20일까지 토지거래허가구역으로 유지한다. 토지거래허가구역은 투기 방지를 위해 일정 규모 면적을 초과하는 토지를 거래할 때 구청장의 허가를 받도록 하는 제도이다. 또 토지용도에 따른 이용 의무 기간이 정해져 있다.
iH도 현재 원주민과의 토지보상가 협의를 위한 협의체를 만들고, 원주민 이주 대책을 위한 용역을 추진한다. 여기에 iH는 ‘인천구월2 공공주택지구 광역교통개선대책 수립 및 교통영향평가’ 용역을 하고있다. 이를 통해 iH는 국토부가 내놓은 제2경인고속도로 남동나들목(IC) 개선,수도권광역급행철도(GTX) B노선 환승센터 구축 계획 등과 추가 대책을 살펴본다.
다만, 시와 iH가 구월2지구를 성공적으로 조성하기 위해서는 지구지정 이후, 토지보상가 협의와 원주민 이주 대책 마련 등의 과제를 해결해야 한다.
구월2지구에는 토지보상을 위한 원주민·세입자 협의체가 무려 8개가 만들어지면서 토지 보상을 둘러싼 갈등 양상을 보이고 있다. iH는 토지보상 문제 협의를 위한 공통의 협의체를 마련, 지구지정을 마치는 대로 협의에 들어갈 예정이다.
iH 관계자는 “올해 지구지정을 마무리하고, 연말부터 토지보상 협의체를 가동할 것”이라며 “이에 앞서 광역교통대책과 원주민이주대책 등 필요한 용역을 우선적으로 추진하고 있다”고 했다. 이어 “대책위의 창구를 1개로 모아서 일관성 있는 협의가 이뤄질 수 있도록 할 것”이라고 덧붙였다.",공공주택
전북도민일보,"익산시, 신혼부부공공임대주택보증금무이자 추가모집",,,,,,,공공주택
전북도민일보,"익산시, 신혼부부공공임대주택보증금무이자 추가모집",,,,,,,공공주택
땅집고,손 놓은 정부? 상반기 착공 73% ↓…공공주택기다리던 청년층 '허탈',,,,,,,공공주택
땅집고,'공공주택100만호 공급' 시작부터 난관…상반기 착공 5000호도 안 돼,,,,,,,공공주택
전민일보,"익산시, 신혼부부공공임대주택보증금무이자 추가모집",,,,,,,공공주택
전민일보,"익산시, 신혼부부공공임대주택보증금무이자 추가모집",,,,,,,공공주택
경향신문,상반기 착공 73% 급감···이 상태론 윤 정부 ‘공공주택50만호’ 불가...,네이버뉴스,https://n.news.naver.com/mnews/article/032/0003242316?sid=101,,경향신문,상반기 착공 73% 급감···이 상태론 윤 정부 ‘공공주택 50만호’ 불가능,"LH 임원 면직 처리 등 대대적 조직개편
가뜩이나 줄어든 아파트 공급…3기 신도시 사업도 차질 빚나
이한준 LH 사장(오른쪽)과 원희룡 국토교통부 장관이 7월 31일 정부서울청사에서 열린 LH 무량판 구조 조사 결과 브리핑에서 발언하는 모습| 성동훈 기자
최근 철근누락 아파트 단지 축소 발표 여파로 한국주택토지공사(LH)에 대한 대대적 구조조정이 예고되면서 공공주택 공급 계획에 차질이 빚어질 수 있다는 우려가 나오고 있다. 가뜩이나 올 상반기 공공분양 주택 착공 실적이 전년 동기 대비 73% 급감한 상황에서 무주택 서민들의 피해가 커질 수 있다는 우려가 나온다.
13일 업계에 따르면 최근 LH는 무량판 구조 아파트 단지를 축소 발표한 책임자에 대한 내부 감사에 착수했다. 이한준 LH사장은 사직서를 제출한 임원 7명 중 4명은 면직 처리했고 본인의 거취도 임명권자에게 맡겼다. 이 사장은 지난 11일 인적쇄신과 더불어 지역본부 내근 조직과 본사 조직을 모두 대폭 축소하겠다는 혁신 방침을 내놓으면서 올 하반기 예정된 8조2000억원 규모 LH 발주 사업 등은 차질없이 이행하겠다고 밝혔다.
하지만 건설업계에서는 이 사장의 공언에도 불구하고 현재 조성 공사가 진행 중인 3기 신도시 사업 등이 새로운 악재를 만났다고 보고있다. 이 사업은 지난 2021년 LH직원 땅 투기 사태로 전면 백지화 요구를 받아 부침을 겪다가 지난해 11월 인천 계양지구를 시작으로 순차적인 조성 공사에 돌입한 상태다. 계획대로라면 이르면 3년 뒤인 2026년 3기 신도시 아파트 입주가 시작된다.
하지만 3기 신도시 입주는 지연될 가능성이 커졌다. 최근 ‘철근 누락’ 사태 여파로 현장 감독 비용이 더 늘어날 가능성이 높아졌는데 이 문제가 공사 일정에 걸림돌이 될 수 있기 때문이다. 만약 총 공사비용이 그대로인 상태로 감독비만 늘어나면 수익이 줄게되는 시공사들은 공공사업 참여에 소극적이 될 수 있다. 이미 경기불황과 원자재값 인상 등으로 공공주택사업에 대한 민간 참여가 저조한 상황이다. 올초  의왕초평 A-4블록 LH 발주 아파트 입찰참가자격 사전심사는 수익성이 낮다는 이유로 건설사들이 입찰을 꺼리면서 유찰됐다.
이은형 대한건설정책연구원 연구위원은 “구조 개혁으로 늘어날 관리 감독 비용을 공사비에 적절하게 반영해야만 제대로 된 설계와 그에 충실한 시공이란 건설 사업의 원칙을 준수할 수 있다”고 말했다.
공공주택 공급 차질은 고스란히 서민 피해로 돌아온다. 이미 공공분양 공급은 위축 신호를 보이고 있다. 국가통계포털(KOSIS)에 따르면 올 상반기 공공분양 주택 착공 실적은 1713가구로 전년 동기 대비 73% 급감했다. LH 발주 기준으로는 지난해 2587가구에서 올 상반기 0가구로 줄었다. LH는 지난 달 688가구 규모 화성 태안3지구를 분양했고 올 하반기 4257가구 규모 9개 단지를 분양하기로 했다.
윤석열 정부가 공약으로 내세운 ‘공공분양 주택 50만호 공급’을 위해선 연평균 10만 가구가 공급되어야 하지만 현재 실적으론 사실상 불가능한 셈이다. 여기에 민간주택 시장도 고금리와 원자잿값 상승, 안전비용 증가 여파로 공급이 대폭 줄어들고 있어 수년 내 전세가 상승이 우려된다.
국토부에 따르면 상반기 전체 주택사업 누적 인허가는 18만9213가구로 2020년 이후 최저치를 기록했다. 착공 실적 역시 9만2490가구로 지난해 절반 이하(49.1%)로 축소됐다. 사업인허가와 착공이 이렇게 더디면 빠르면 3년 내 입주 물량이 크게 줄어들 수 있다. 부동산 빅데이터업체 아실은 오는 2025년 입주 물량은 2024년보다 46% 줄어든 19만 353가구에 그치고 2026년 4만 3594가구로 뚝 떨어지는 공급 가뭄이 본격화될 것이라고 경고했다.",공공주택
KBS,"삼척시, ‘강원도형공공임대주택’ 건립 추진",네이버뉴스,https://n.news.naver.com/mnews/article/056/0011545019?sid=101,,KBS,"삼척시, ‘강원도형 공공임대주택’ 건립 추진","[KBS 강릉]삼척시가 신혼부부와 대학생 등 청년층이 살 수 있는 '강원도형 공공임대주택' 건립을 추진합니다.
삼척시는 사업비 300억여 원을 들여 시유지인 도계부업단지와 대한석탄공사 테니스장 8,600여제곱미터에 지상 15층, 120세대 규모의 임대주택을 지을 계획입니다.
삼척시는 올해 안에 국토교통부에 공공임대주택 후보지 선정을 신청해, 2027년 말까지 임대주택을 건립할 계획입니다.",공공주택
FPN,"경남고성소방서,공공실버주택방문 안전컨설팅",,,,,,,공공주택
뉴시스,"LH 익산 평화공공주택'철근 누락'…""보강 완료·안전 문제 없어""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012027207?sid=102,,뉴시스,"LH 익산 평화 공공주택 '철근 누락'…""보강 완료·안전 문제 없어""","[전주=뉴시스]윤난슬 기자 = 익산 평화주택 전시관 사이버 홈페이지 캡처.
[익산=뉴시스] 윤난슬 기자 = 최근 불거진 '순살아파트'에 대한 시민 우려가 높은 가운데 준공 중인 전북 익산 평화 공공주택 아파트에서도 철근 누락이 확인돼 보강 작업이 이뤄진 것으로 파악됐다.
한국토지주택공사(LH) 전북지사는 11일 ""익산 평화 공공주택 아파트에 대한 구조 검토 결과에 따라 전단보강근 4곳에 대한 보강 조치를 완료했다""면서 ""안전에는 문제 없다""고 밝혔다.
앞서 LH 전북지사는 지난 5월 말부터 6월 초까지 익산 평화 공공주택 지하주차장에 설치된 기둥 1755개에 대한 전수 조사를 진행했다.
조사는 ▲설계도면과 구조계산서 분석 ▲초음파 활용 비파괴 검사 ▲콘크리트 강도 조사 등으로 이뤄졌다.
조사 결과 주기둥을 받치는 전단보강근(보강 철근) 3개가 누락 된 사실이 확인돼 추가 설치에 나섰으며, 또 다른 전단보강근은 하중 계산이 잘못돼 보강했다.
LH 전북지사 관계자는 ""한국콘크리트학회 자문에 따른 철근콘크리트 보완 작업으로 전단보강근 4곳에 대한 보강을 모두 완료한 상태""라면서 ""앞으로 입주 예정자들과 협의해 안전 점검 기관과 방식 등을 결정하고, 추가 안전점검 결과를 공유하는 등 지속해서 소통하겠다""고 말했다.
한편 1380여 가구 규모의 해당 아파트는 오는 2025년 준공 예정으로, 현재 공정률 29%(지하주차장 상부타설 85%)를 보이고 있다.",공공주택
