press,title,naver_news_text,naver_news_url,body
뉴스1,어느새 2%까지 빠진 정기예금…6%선 대출금리도 '뚝' 떨어진다,네이버뉴스,https://n.news.naver.com/mnews/article/421/0006630864?sid=101,
뉴스1,5%예금실종에 코픽스 더 떨어진다… 주담대 이자 줄어들까,네이버뉴스,https://n.news.naver.com/mnews/article/421/0006630864?sid=101,
머니S,연 2%대까지 추락한예금 금리... 코픽스 두 달 연속 하락,네이버뉴스,https://n.news.naver.com/mnews/article/417/0000895647?sid=101,
한국일보,코픽스 3%대로 하락…16일 주담대 변동금리내린다,네이버뉴스,https://n.news.naver.com/mnews/article/469/0000723655?sid=101,
아시아경제,"코픽스, 3%대로 하락…주담대 변동금리내린다",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005218559?sid=101,
머니S,"""예금금리떨어지니 다시 주식투자?"" 시중통화량 9개월만에 감소",네이버뉴스,https://n.news.naver.com/mnews/article/417/0000895656?sid=101,
머니S,금전신탁·수시입출식예금감소…시중 통화량 9개월 만에 감소 전환,네이버뉴스,https://n.news.naver.com/mnews/article/417/0000895656?sid=101,
아시아타임즈,예금금리의 폭락…한숨 돌린 주담대 차주,,,
아시아타임즈,코픽스 3%대로 하락… 주담대도 3%대 진입하나,,,
서울신문,코픽스 두 달 연속 '하락'...대출 변동금리도 내려간다,네이버뉴스,https://n.news.naver.com/mnews/article/081/0003339633?sid=101,
YTN,코픽스 두 달 연속 '하락'...대출 변동금리도 내려간다,네이버뉴스,https://n.news.naver.com/mnews/article/052/0001850210?sid=101,
YTN,신규 코픽스 4% 아래로 '뚝'…주담대 변동금리내린다(종합),네이버뉴스,https://n.news.naver.com/mnews/article/052/0001850135?sid=101,
경향신문,"예금유지할까, 빚부터 갚을까",네이버뉴스,https://n.news.naver.com/mnews/article/032/0003205069?sid=101,
조선일보,“예금통장 깼다” 개미들 45조 들고 떠난 곳은…,네이버뉴스,https://n.news.naver.com/mnews/article/023/0003746274?sid=101,
세계일보,뚝뚝 떨어지는예금 금리… 채권·주식으로 ‘머니무브’,네이버뉴스,https://n.news.naver.com/mnews/article/022/0003783877?sid=101,
뉴데일리,"예금금리＜ 기준금리… 은행 뭉칫돈 6兆, 주식으로",,,
뉴데일리,은행예금 금리'뚝'…고심 깊은 차주들,,,
컨슈머타임스,금리하락에 은행 탈출…저원가성 핵심예금감소로 NIM 방어 비상,,,
파이낸셜투데이,"예금금리는 뚝 뚝, 대출금리는 쑥 쑥...시중은행, 대통령 지적에 예대금...",,,
매일일보,예금금리내린 저축銀 대출금리 올리네,,,
SBS Biz,"정부의 계속되는 금리인하 압박…은행들,예금 금리'줄 인하'",네이버뉴스,https://n.news.naver.com/mnews/article/374/0000322979?sid=101,
뉴시스,변동금리기준 코픽스 3.82%…2개월 연속 하락,네이버뉴스,https://n.news.naver.com/mnews/article/003/0011694010?sid=101,
뉴시스,대출금리내림세…1월 코픽스 3.82%,네이버뉴스,https://n.news.naver.com/mnews/article/003/0011694010?sid=101,
머니투데이방송,코픽스 2개월 연속 하락…주담대 변동금리내린다(종합),,,
