press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
세계일보,"서대문구,자율주행버스 ‘서대문A01’ 운행 시작",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004079367?sid=102,,세계일보,"서대문구, 자율주행버스 ‘서대문A01’ 운행 시작","서울 서대문구(구청장 이성헌)는 서대문 일대를 순환하는 자율주행 버스 ‘서대문A01’의 운행을 시작했다.
1일 구에 따르면 15일부터 운행을 시작한 서대문A01은 문화체육회관을 출발해 서대문구청 앞 정류소로 돌아오는 5.9km노선을 다닌다. 버스는 문화체육회관과 홍연2교 두산아파트 앞, 홍남교 백련시장입구, 서대문종합사회복지관, 모래내삼거리, 가좌역 3번출구, 서대문종합사회복지관, 연가교, 연희지하차도, 서대문구청 10개 정류소에 정차한다.
서대문구 자율주행버스  ‘서대문A01’. 서울 서대문구 제공
서대문A01 오전 9시20분부터 오후 5시30분까지 하루 14회, 30분 간격으로 운행한다. 다만 점심시간(낮12시10분∼1시40분)에는 배차 간격이 80분이다. 승차가 가능한 잔여 좌석 수는 차량 외부에 부착된 LED 표시기에서 확인할 수 있다.
이용요금은 무료다. 그러나 승하차 수 통계를 내거나 환승을 하기 위해선 교통카드를 버스 내에 설치된 단말기에 태그해야 한다. 내년 하반기에는 유료로 전환될 예정이다.
버스 도착 정보는 가좌역 3번 출구를 제외한 나머지 9개 정류소에서 확인이 가능하다. 네이버, 다음 등의 포털과 카카오버스 등의 앱에서도 ‘서대문A01’ 노선을 검색할 수 있다.
‘서대문A01 노선 정류장. 서울 서대문구 제공
입석은 제한된다. 특히 6세 미만 영유아는 안전상 사유로 승차할 수 없고, 6세 이상 14세 미만 아동은 보호자와 함께 동승해야 한다.
이성헌 구청장은 “자율주행 버스 운영을 통해 미래 모빌리티 실현 자치구로 도약함은 물론 서대문구의 교통복지를 200% 증진하겠다”고 말했다.",자율주행
세계일보,"서대문구, 서북권 자치구 최초자율주행버스 운영 시작",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004079367?sid=102,,세계일보,"서대문구, 자율주행버스 ‘서대문A01’ 운행 시작","서울 서대문구(구청장 이성헌)는 서대문 일대를 순환하는 자율주행 버스 ‘서대문A01’의 운행을 시작했다.
1일 구에 따르면 15일부터 운행을 시작한 서대문A01은 문화체육회관을 출발해 서대문구청 앞 정류소로 돌아오는 5.9km노선을 다닌다. 버스는 문화체육회관과 홍연2교 두산아파트 앞, 홍남교 백련시장입구, 서대문종합사회복지관, 모래내삼거리, 가좌역 3번출구, 서대문종합사회복지관, 연가교, 연희지하차도, 서대문구청 10개 정류소에 정차한다.
서대문구 자율주행버스  ‘서대문A01’. 서울 서대문구 제공
서대문A01 오전 9시20분부터 오후 5시30분까지 하루 14회, 30분 간격으로 운행한다. 다만 점심시간(낮12시10분∼1시40분)에는 배차 간격이 80분이다. 승차가 가능한 잔여 좌석 수는 차량 외부에 부착된 LED 표시기에서 확인할 수 있다.
이용요금은 무료다. 그러나 승하차 수 통계를 내거나 환승을 하기 위해선 교통카드를 버스 내에 설치된 단말기에 태그해야 한다. 내년 하반기에는 유료로 전환될 예정이다.
버스 도착 정보는 가좌역 3번 출구를 제외한 나머지 9개 정류소에서 확인이 가능하다. 네이버, 다음 등의 포털과 카카오버스 등의 앱에서도 ‘서대문A01’ 노선을 검색할 수 있다.
‘서대문A01 노선 정류장. 서울 서대문구 제공
입석은 제한된다. 특히 6세 미만 영유아는 안전상 사유로 승차할 수 없고, 6세 이상 14세 미만 아동은 보호자와 함께 동승해야 한다.
이성헌 구청장은 “자율주행 버스 운영을 통해 미래 모빌리티 실현 자치구로 도약함은 물론 서대문구의 교통복지를 200% 증진하겠다”고 말했다.",자율주행
뉴스1,"자율주행소프트웨어 업데이트, 테슬라 3.74% 급등",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008578733?sid=104,,뉴스1,"자율주행 소프트웨어 업데이트, 테슬라 3.74% 급등","테슬라 일일 주가추이 - 야후 파이낸스 갈무리
(서울=뉴스1) 박형기 기자 = 아마존 랠리로 기술주가 상승하고, 자율주행(로보택시) 소프트웨어를 업데이트했다는 소속으로 테슬라 주가가 4% 가까이 급등했다.
지난달 31일(현지 시각) 뉴욕증시에서 테슬라는 3.74% 급등한 456.56달러를 기록했다. 이로써 시총도 1조5180억달러로 늘었다.
이날 테슬라는 로보택시 소프트웨어에 대한 의미 있는 업데이트를 실시했다고 밝혔다.
이뿐 아니라 전일 깜짝 실적을 발표한 아마존이 랠리하자 기술주가 상승 모멘텀을 받은 것도 테슬라 랠리에 일조했다.
이날 상승으로 테슬라는 지난 5거래일간 5%, 올 들어서는 13% 각각 상승했다.",자율주행
게임톡,"현대차, 엔디비아 '5만 개 블랙웰 GPU' AI팩토리 장착자율주행씽씽",,,,,,,자율주행
게임톡,"현대차그룹, 엔비디아와 블랙웰 GPU 5만 장으로 통합 AI 모델 개발 추진...",,,,,,,자율주행
리버티코리아포스트,"현대차그룹, 엔비디아 손잡고 '피지컬 AI' 혁신 시동",,,,,,,자율주행
한국일보,이재용·정의선·젠슨황 'AI 깐부' 결성… 한국 산업지도 다시 쓴다,네이버뉴스,https://n.news.naver.com/mnews/article/469/0000895129?sid=101,,한국일보,"현대차그룹, 엔비디아 손잡고 '피지컬 AI' 혁신 시동","엔비디아와 '피지컬AI 고도화 MOU'
엔비디아 최신형 GPU 5만 장 공급
정부 피지컬AI 클러스터 4조 원 투자
젠슨 황 엔비디아 CEO가 지난달 30일 서울 코엑스에서 열린 '지포스' 출시 25주년 행사에서 정의선 현대차그룹 회장과 단상에 올라 발언하고 있다. 연합뉴스
현대차그룹이 엔비디아와 손잡고 피지컬 인공지능(AI) 기술 혁신에 시동을 건다. 자율주행차·스마트팩토리·로보틱스 분야 협력도 강화한다.
현대차그룹과 엔비디아는 31일 경북 경주시에서 열린 2025 아시아태평양경제협력체(APEC) 최고경영자(CEO) 서밋에서 과학기술정보통신부, 엔비디아와 '국내 피지컬 AI 역량 고도화를 위한 업무협약(MOU)'을 체결했다고 밝혔다.  현대차그룹은 ""엔비디아와의 기존 파트너십을 기반으로 한 첨단 소프트웨어 플랫폼 및 인프라의 전략적 도입을 넘어 핵심 피지컬 AI 기술의 혁신이라는 새로운 협력 단계로 나아갈 예정""이라고 했다.
피지컬 AI는 센서 등으로 물리적 환경 데이터를 수집해 자율적으로 의사를 결정하고 행동하는 AI 기술을
말한다. 자율주행, 스마트 팩토리, 로보틱스 등에 광범위하게 적용될 수 있는 기술로 주목받고 있다. 현대차그룹은 정부의 피지컬 AI 클러스터 구축을 돕기 위해 약 30억 달러(약 4조2,843억 원) 규모의 투자를 진행한다. 두 회사는 이와 관련해 △엔비디아 AI 기술 센터 △현대차그룹 피지컬 AI 애플리케이션 센터 △피지컬 AI 데이터센터 등을 구축할 예정이다.
이와 관련해
현대차그룹은  엔비디아의 최신형 그래픽처리장치(GPU) 5만 장을 활용해 통합 AI 모델 개발, 검증, 실증을 추진할 계획
이다. 현대차그룹은 엔비디아의 GPU를 기반으로 AI 팩토리를 도입하고 차량 내 AI, 자율주행, 생산 효율화, 로보틱스를 단일 생태계로 통합할 예정이다.
피지컬 AI와 로보틱스 혁신을 위해 엔비디아의 세 가지 AI 플랫폼도 활용한다. '엔비디아 DGX'를 통해선 대규모 AI 모델 학습과 소프트웨어 개발을 지원한다. '엔비디아 옴니버스'로는 제조 공정 최적화와 자율주행차 소프트웨어 검증을 돕는다. '엔비디아 드라이브 AGX 토르'는 차량과 로봇의 실시간 지능을 구현한다.
현대차그룹은 지역별 주행 환경을 AI로 학습해 자율주행 기술을 고도화할 예정이기도 하다. 엔비디아 네모 소프트웨어를 이용한 무선 업데이트(OTA) 방식으로 차량 기능을 지속적으로 개선한다는 계획이다. 정의선 현대차그룹 회장은 ""AI 기반 모빌리티·스마트팩토리 시대를 선도하고 대한민국 AI 생태계를 함께 구축하겠다""고 강조했다.",자율주행
굿모닝경제,"'되는 집안' 현대차그룹, 관세 확정 대신 엔비디아 AI 얻었다",,,,,,,자율주행
IT조선,AI가 車산업의 엔진이 되다… 스마트팩토리·자율주행혁신 이끌어 [미...,,,,,,,자율주행
이코노믹리뷰,"롯데이노베이트, 2025 재팬 모빌리티 쇼 참가…홈그라운드서자율주행...",,,,,,,자율주행
헬로티,[헬로DX] SMATOF 2025 | ‘묻고 답하면서’ 공장과 소통하는 시대...제조...,,,,,,,자율주행
더구루,"'엔비디아 지원' 와비,자율주행최적화 '볼보 VNL 오토노머스' 공개",,,,,,,자율주행
