press,title,naver_news_text,naver_news_url,body
동아일보,"‘가을 폭염’ 닥친 9월,전기요금걱정되네",네이버뉴스,https://n.news.naver.com/mnews/article/020/0003591357?sid=101,
동아일보,역대 9월 전력 최대 수요 '경신'…전기요금부담↑,네이버뉴스,https://n.news.naver.com/mnews/article/020/0003591357?sid=101,
YTN사이언스,할인없는 가을폭염 청구서 다음주 온다,,,
SBS Biz,늦더위에 9월 최대 전력수요 사상 역대치…전기료 부담 커진다,네이버뉴스,https://n.news.naver.com/mnews/article/374/0000405147?sid=101,
뉴시스,[모닝] ‘가을 폭염’ 계속된 9월… 전력 수요 7월에 육박,네이버뉴스,https://n.news.naver.com/mnews/article/003/0012829519?sid=101,
머니투데이,LNG 발전도 경쟁입찰 도입…전기요금낮추는데 도움,네이버뉴스,https://n.news.naver.com/mnews/article/008/0005098924?sid=101,
뉴시스,지역별전기요금제 내년 도입…소비자 반발 등 과제 산적,네이버뉴스,https://n.news.naver.com/mnews/article/003/0012829313?sid=101,
뉴시스,"“지역별 차등전기요금제, 국가 균형발전 연결될 것”",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012829313?sid=101,
농민신문,[2024 국감] “도축장전기요금할인특례 연장해야”,네이버뉴스,https://n.news.naver.com/mnews/article/662/0000053668?sid=101,
농민신문,"""도축장전기요금할인 특례 연장"" 강조",네이버뉴스,https://n.news.naver.com/mnews/article/662/0000053668?sid=101,
농축유통신문,"""도축장전기요금할인특례 연장…부처간 협의 해야""",,,
KBS,"영남권미래발전협의회, “전기요금차등제 협력”",네이버뉴스,https://n.news.naver.com/mnews/article/056/0011815741?sid=101,
뉴스1,"전기차, 서울 공영 3곳서 충전 후 주차요금자동감면 도입 추진",네이버뉴스,https://n.news.naver.com/mnews/article/421/0007833681?sid=102,
충청투데이,농사용전기요금인상 카드에 농가 부담 '우려',,,
시사매거진,정부 연내전기요금인상 논의 본격화 되나,,,
KNN,3개 권역으로 나눠전기요금차등제? 그 진실은?,,,
뉴스후플러스,여름철 할인 끝나자전기요금'급등'...9월 늦더위에 부담 '껑충',,,
뉴스후플러스,"할인은 8월로 끝났다…9월에 못 끈 에어컨, 가을전기료 공포",,,
