press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
연합뉴스,베트남 '반값요금'전기차 택시 확산에요금인하 경쟁,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015015684?sid=104,,연합뉴스,베트남 '반값요금' 전기차 택시 확산에 요금 인하 경쟁,"전기차 충전비, 기존 택시 연료비의 5분의 1 수준
베트남 전기차 택시회사 GSM
[GSM 홈페이지 캡처. 재판매 및 DB 금지]
(하노이=연합뉴스) 박진형 특파원 = 베트남에서 연료비가 기존 택시보다 훨씬 저렴한 전기차 택시가 보급되면서 택시 요금 인하 경쟁이 벌어지고 있다.
30일(현지시간) 현지 매체 뚜오이쩨에 따르면 최근 택시회사 '마이린'은 베트남 북부 랑선성에서, '택시 123'은 북부 박닌성에서 각각 베트남 전기차회사 빈패스트의 경차 'VF 3' 모델을 이용한 전기차 택시 서비스를 시작했다.
이들 택시는 기본요금 9천 동(약 490원)에 ㎞당 평균 6천 동(약 330원)의 파격적인 요금을 제시하고 있다.
기존 내연기관차 택시 요금이 기본요금 1만2천∼1만5천 동(약 660∼820원)에 ㎞당 평균 7천∼1만2천 동(약 380∼660원) 수준인 데 비하면 최대 절반까지 낮은 셈이다.
호찌민시 주민 민 투 씨는 전기차가 편리하고 요금이 부담 없는 데다가 매연이 나오지 않아 자기 가족들은 이제 장거리를 이동할 때 전기차 택시를 고른다고 밝혔다.
이에 따라 기존의 택시 사업자와 차량호출 서비스들은 기존 요금 모델을 재고하게 됐다고 이 매체는 설명했다.
이처럼 전기차 택시 요금이 낮은 것은 전기차 충전 비용이 가솔린 등 내연기관차 연료비보다 매우 저렴하기 때문이다.
VF 3의 경우 ㎞당 충전 비용이 약 300∼400동(약 16∼22원)으로 내연기관차 택시의 ㎞당 연료비 약 2천 동(약 109원)의 5분의 1 수준이다.
VF 3이 일반 내연기관차 택시보다 작은 경차임을 고려해도 큰 차이다.
다만 충전 시간이 기름을 넣는 시간보다 좀 더 걸린다는 점은 부정적 요인이지만, 이런 큰 폭의 비용 절감 덕분에 전기차 택시가 수익성을 유지하면서 경쟁력 있는 가격을 제공할 수 있다고 뚜오이쩨는 평가했다.
베트남에 전기차 택시를 도입한 것은 지난해 4월 서비스를 시작한 전기차 택시회사 '그린 앤드 스마트 모빌리티'(Green SM·GSM)다.
빈패스트 창업자인 팜 녓 브엉 빈그룹 회장이 운영하는 GSM은 판매가 부진한 빈패스트 전기차 재고를 대신 떠맡는다는 논란에 휩싸였다.
하지만 상대적으로 저렴한 요금과 공격적인 수익 분배 전략 등을 통해 현재 전국 45개 성에서 3만 대 이상 차량을 운영하는 등 사업을 확장하고 있다.
반면 대표적 택시회사인 비나선(Vinasun)의 경우 전기차 택시와의 경쟁 심화 등으로 인해 3분기 매출이 21%, 순이익이 36% 각각 감소하는 등 기존 택시회사들은 어려움을 겪고 있다.
이에 따라 비나선은 연료비를 최대 50%까지 절감하기 위해 하이브리드차 택시 700∼1천 대를 도입할 계획이다.
jhpark@yna.co.kr",전기요금
아시아경제,신수정 광주시 의장 “철도산업전기요금제 개선을”,네이버뉴스,https://n.news.naver.com/mnews/article/277/0005492142?sid=102,,아시아경제,신수정 광주시 의장 “철도산업 전기요금제 개선을”,"시·도의장협, 건의안 가결…정부·국회 전달
신수정 광주시의회 의장
신수정 광주시의회 의장이 제출한 ‘전기철도 전기요금 제도 개선에 관한 건의안’이 대한민국시도의회의장협의회 제6차 임시회에서 가결됐다. 협의회는 지난 29일 충남 보령에서 개최됐다.
건의안은 철도산업의 공익적 성격을 고려한 전기요금 종별 신설 필요성과 최대 수요전력 산정 방식 개선을 촉구하는 내용을 담고 있다.
신 의장은 “한국전력공사가 원가 연동형 요금제를 도입한 이후 수차례 전기요금을 인상하면서 철도를 운영하는 기관들이 재정적으로 큰 어려움을 겪고 있다”고 지적했다.
신 의장은 또 “전기철도사업은 대중교통으로서 시민 편의를 위한 공공사업을 수행하고 있는 만큼 공익목적 교육용 요금제와 비슷한 수준으로 요금 종별 신설이 필요하다”며 “철도 특성을 반영해 최대 수요전력의 산정 방식도 개선돼야 한다”고 강조했다.
한편, 이날 임시회에서는 전국 시·도의회에서 11건의 건의안이 제출됐으며, 가결된 건의안은 정부와 국회에 공식 전달될 예정이다.",전기요금
아시아경제,"대한민국시도의회의장협,전기철도요금제도 개선안 가결",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005492142?sid=102,,아시아경제,신수정 광주시 의장 “철도산업 전기요금제 개선을”,"시·도의장협, 건의안 가결…정부·국회 전달
신수정 광주시의회 의장
신수정 광주시의회 의장이 제출한 ‘전기철도 전기요금 제도 개선에 관한 건의안’이 대한민국시도의회의장협의회 제6차 임시회에서 가결됐다. 협의회는 지난 29일 충남 보령에서 개최됐다.
건의안은 철도산업의 공익적 성격을 고려한 전기요금 종별 신설 필요성과 최대 수요전력 산정 방식 개선을 촉구하는 내용을 담고 있다.
신 의장은 “한국전력공사가 원가 연동형 요금제를 도입한 이후 수차례 전기요금을 인상하면서 철도를 운영하는 기관들이 재정적으로 큰 어려움을 겪고 있다”고 지적했다.
신 의장은 또 “전기철도사업은 대중교통으로서 시민 편의를 위한 공공사업을 수행하고 있는 만큼 공익목적 교육용 요금제와 비슷한 수준으로 요금 종별 신설이 필요하다”며 “철도 특성을 반영해 최대 수요전력의 산정 방식도 개선돼야 한다”고 강조했다.
한편, 이날 임시회에서는 전국 시·도의회에서 11건의 건의안이 제출됐으며, 가결된 건의안은 정부와 국회에 공식 전달될 예정이다.",전기요금
남도일보,"시도의회, 전기철도전기요금인하 촉구... ""철도산업 공익성 고려해야...",,,,,,,전기요금
핀포인트뉴스,신수정 광주광역시의회 의장 '전기철도전기요금제도 개선에 관한 건의...,,,,,,,전기요금
뉴스1,역대급 폭염에 요금 인상…교육용전기요금3년새 1264억 늘어,네이버뉴스,https://n.news.naver.com/mnews/article/421/0007876195?sid=102,,뉴스1,역대급 폭염에 요금 인상…교육용 전기요금 3년새 1264억 늘어,"6~8월 교육기관 전기료 3499억…2021년보다 57% ↑
백승아 민주당 의원 ""농업용 수준으로 단가 낮춰야""
한 고등학교 수업 모습. (사진은 기사 내용과 무관함) / 뉴스1 ⓒ News1 김기태 기자
(서울=뉴스1) 권형진 기자 = 역대급 무더위와 전기요금 인상이 겹치면서 올 여름 교육기관의 전기요금 부담이 3년 전보다 57%나 급증한 것으로 나타났다.
30일 국회 교육위원회 소속 백승아 더불어민주당 의원실이 한국전력공사로부터 받은 '2021~2024년 6~8월 교육용 전력 판매 현황'에 따르면 올 여름 교육기관 전기요금은 총 3499억 원에 달했다.
3년 전인 2021년과 비교하면 2235억 원에서 1264억 원(56.6%)이나 늘었다. 한전의 교육용 전기 요금 적용 대상은 유치원과 초·중·고교, 대학, 도서관, 박물관, 과학관 등이다.
올해는 특히 '역대급 폭염'이 기승을 부리면서 교육기관의 전기요금 부담이 커진 것으로 풀이된다. 여기에 판매단가도 8월 기준 ㎾h당 2021년 120.3원에서 올해 159.0원으로 32.2%(38.8원/㎾h) 올랐다.
역시 '역대급 무더위'로 기록됐던 2022년과 비교해도 올 여름철 교육기관의 전기요금 부담은 2700억 원에서 29.6%(799억 원) 늘었다.
8월만 봐도 933억 원에서 1260억 원으로 35.0%(327억 원) 증가했다. 8월 기준 전기요금은 133.6원/㎾h에서 19.0%(25.4원/㎾h) 인상됐다.
사정이 이렇다 보니 교육용 전기요금을 농사용 수준으로 낮춰야 한다는 목소리가 교육계에서 나온다. 대학 또한 10년 넘게 등록금이 동결되면서 재정 여건이 악화하고 있다. 교육용 전기요금은 일반용보다는 저렴하지만, 농사용보다는 2배가량 비싸다.
백승아 의원은 ""지속되는 폭염에 교육용 전기요금을 사용하는 교육기관의 부담이 가중되고 있다""며 교육의 특수성과 공공성을 반영해 교육용 전기요금을 농사용 수준으로 인하할 필요가 있다""고 강조했다.
이어 ""윤석열 정부는 교육계가 꾸준히 제기해 온 요구를 무시하지 말고 교육용 전기요금 인하를 위한 실질적인 대책 마련에 나서야 한다""고 촉구했다.",전기요금
아시아투데이,한전도 적자인데…별도전기 요금신설 원하는 철도社,,,,,,,전기요금
아시아투데이,"""철도는 공공재… 산업용전기세 부과 부적절"" 공기업 아우성",,,,,,,전기요금
전기신문,PPA로 아낀전기요금실시간 확인...위제이 'zurigo' 모니터링 서비스 고...,,,,,,,전기요금
축산경제신문,"전기 요금할인특례 종료시, 축산농에 비용 전가 우려",,,,,,,전기요금
