press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
연합뉴스,"제주항공, 일본 노선시장점유율1위…""중단거리 경쟁력 회복""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013941330?sid=101,,연합뉴스,"제주항공, 일본 노선 시장점유율 1위…""중단거리 경쟁력 회복""","동남아 노선은 2위…1분기 평균 탑승률 94% 역대 최고
제주항공
[연합뉴스TV 제공]
(서울=연합뉴스) 이승연 기자 = 제주항공은 핵심 중·단거리 노선인 일본 노선에서 국내 점유율 1위를 차지했다고 15일 밝혔다.
제주항공은 올해 1분기에만 국적항공사의 전체 일본 노선 수송객 386만명 중 84만8천명(22%)을 수송해 국적항공사 시장점유율 1위를 차지했다.
제주항공은 동남아 노선에서도 시장점유율 상위권을 기록했다. 올 1분기 태국 21만9천명, 필리핀 30만명을 수송해 시장점유율 24%, 30%를 기록하며 두 국가 모두 국적사 중 2위를 차지했다.
이에 힘입어 제주항공은 올해 1분기 국제선 1만25편, 국내선 6천968편을 운항했다. 2019년 대비 각각 77%, 110% 수준이다.
1분기 평균 탑승률은 94%로, 2019년 1분기 91%를 상회하며 역대 최고치를 기록했다.
제주항공은 ""올해 초 중국 노선 회복 지연으로 항공업계 실적에 대한 우려가 있었으나 제주항공은 오히려 핵심경쟁력인 국내선과 일본, 동남아 노선의 탄력적인 공급 확대로 2분기 연속 흑자를 달성할 수 있었다""고 설명했다.
제주항공의 중국 노선 매출은 2019년 1분기 기준 전체 매출액의 약 15% 수준이었으나, 올해는 중국시장의 불확실성을 고려해 매출 목표를 하향 조정했다.
제주항공은 하반기에 기단 확대 및 현대화에 집중할 계획이다. 현재 운용 중인 기종보다 연료 효율성이 개선된 보잉737-8 기종을 직접 구매해 비용을 줄이고 지속가능한 수익 구조를 갖추겠다는 전략이다.
제주항공 관계자는 ""신규 목적지 발굴 등 이용객 편의를 높이기 위한 새로운 도전을 계속해 시장 선도 항공사로서 시장 지위를 더 강화해 나가겠다""고 강조했다.
winkite@yna.co.kr",시장점유율
연합뉴스,"제주항공, 일본 노선점유율1위…동남아 노선은 2위",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013941330?sid=101,,연합뉴스,"제주항공, 일본 노선 시장점유율 1위…""중단거리 경쟁력 회복""","동남아 노선은 2위…1분기 평균 탑승률 94% 역대 최고
제주항공
[연합뉴스TV 제공]
(서울=연합뉴스) 이승연 기자 = 제주항공은 핵심 중·단거리 노선인 일본 노선에서 국내 점유율 1위를 차지했다고 15일 밝혔다.
제주항공은 올해 1분기에만 국적항공사의 전체 일본 노선 수송객 386만명 중 84만8천명(22%)을 수송해 국적항공사 시장점유율 1위를 차지했다.
제주항공은 동남아 노선에서도 시장점유율 상위권을 기록했다. 올 1분기 태국 21만9천명, 필리핀 30만명을 수송해 시장점유율 24%, 30%를 기록하며 두 국가 모두 국적사 중 2위를 차지했다.
이에 힘입어 제주항공은 올해 1분기 국제선 1만25편, 국내선 6천968편을 운항했다. 2019년 대비 각각 77%, 110% 수준이다.
1분기 평균 탑승률은 94%로, 2019년 1분기 91%를 상회하며 역대 최고치를 기록했다.
제주항공은 ""올해 초 중국 노선 회복 지연으로 항공업계 실적에 대한 우려가 있었으나 제주항공은 오히려 핵심경쟁력인 국내선과 일본, 동남아 노선의 탄력적인 공급 확대로 2분기 연속 흑자를 달성할 수 있었다""고 설명했다.
제주항공의 중국 노선 매출은 2019년 1분기 기준 전체 매출액의 약 15% 수준이었으나, 올해는 중국시장의 불확실성을 고려해 매출 목표를 하향 조정했다.
제주항공은 하반기에 기단 확대 및 현대화에 집중할 계획이다. 현재 운용 중인 기종보다 연료 효율성이 개선된 보잉737-8 기종을 직접 구매해 비용을 줄이고 지속가능한 수익 구조를 갖추겠다는 전략이다.
제주항공 관계자는 ""신규 목적지 발굴 등 이용객 편의를 높이기 위한 새로운 도전을 계속해 시장 선도 항공사로서 시장 지위를 더 강화해 나가겠다""고 강조했다.
winkite@yna.co.kr",시장점유율
노컷뉴스,"제주항공, 일본 노선점유율1위...태국·필리핀 2위",네이버뉴스,https://n.news.naver.com/mnews/article/079/0003769695?sid=101,,노컷뉴스,"제주항공, 일본 노선 점유율 1위…동남아 노선은 2위","1분기 평균 탑승률 94% 역대 최고…""중단거리 경쟁력 회복""
제주항공 제공
제주항공은 핵심 중·단거리 노선인 일본 노선에서 국내 점유율 1위를 차지했다고 15일 밝혔다.
제주항공은 올해 1분기에만 국적항공사의 전체 일본 노선 수송객 386만명 중 84만8천명(22%)을 수송해 국적항공사 시장점유율 1위를 차지했다.
제주항공은 동남아 노선에서도 시장점유율 상위권을 기록했다. 올 1분기 태국 21만9천명, 필리핀 30만명을 수송해 시장점유율 24%, 30%를 기록하며 두 국가 모두 국적사 중 2위를 차지했다.
이에 힘입어 제주항공은 올해 1분기 국제선 1만25편, 국내선 6968편을 운항했다. 2019년 대비 각각 77%, 110% 수준이다. 1분기 평균 탑승률은 94%로, 2019년 1분기 91%를 상회하며 역대 최고치를 기록했다.
제주항공은 ""올해 초 중국 노선 회복 지연으로 항공업계 실적에 대한 우려가 있었으나 제주항공은 오히려 핵심경쟁력인 국내선과 일본, 동남아 노선의 탄력적인 공급 확대로 2분기 연속 흑자를 달성할 수 있었다""고 밝혔다.
제주항공 제공
제주항공의 중국 노선 매출은 2019년 1분기 기준 전체 매출액의 약 15% 수준이었으나, 올해는 중국시장의 불확실성을 고려해 매출 목표를 하향 조정했다.
제주항공은 하반기에 기단 확대 및 현대화에 집중할 예정이다. 현재 운용 중인 기종보다 연료 효율성이 개선된 보잉737-8 기종을 직접 구매해 비용을 줄이고 지속가능한 수익 구조를 갖추겠다는 계획이다.
제주항공 관계자는 ""신규 목적지 발굴 등 이용객 편의를 높이기 위한 새로운 도전을 계속해 시장 선도 항공사로서 시장 지위를 더 강화해 나가겠다""고 밝혔다.
※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.
이메일 :
jebo@cbs.co.kr
카카오톡 :
@노컷뉴스
사이트 :
https://url.kr/b71afn",시장점유율
머니S,"현대차·기아, 세계 3위 인도시장 점유율20% 돌파... '현지화' 전략 통...",네이버뉴스,https://n.news.naver.com/mnews/article/417/0000920967?sid=103,,머니S,"현대차·기아, 세계 3위 인도시장 점유율 20% 돌파... '현지화' 전략 통했다","현대차 인도 첸나이 생산공장 /사진제공=현대차
현대차와 기아가 세계 3위 자동차 시장으로 올라선 인도에서 승승장구중이다.
15일 인도자동차공업협회(SIAM)에 따르면 올해 1~4월 현대차와 기아의 인도 현지 판매량은 전년 동기 대비 15.5% 증가한 29만5359대로 집계됐다.
인도 자동차시장은 연간 476만대가 팔리며 일본을 제치고 중국(2680만대)과 미국(1370만대)에 이어 세계 3위에 올랐다.
현대차와 기아의 인도 시장 점유율은 4월 기준 21.7%로 인도와 일본의 합작법인 마루티 스즈키에 이어 2위다. 브랜드별 판매는 현대차가 전년 대비 11.7% 늘어난 19만7408대, 기아는 23.9% 증가한 9만7951대를 기록했다.
이 같은 실적은 현지 전략 차종 덕분이라는 분석이다. 현대차 크레타는 5만3670대, 베뉴 4만1101대, 기아 쏘넷 3만7518대 등이 인기를 이어가고 있다.
올해 인도시장 판매목표는 현대차 59만5000대, 기아 28만3000대다.
앞서 현대차 인도법인은 11일 최신생산시설 도입과 전기차 배터리 패키지 공장 등의 건립을 위해 3조2000억원 규모의 투자를 밝혔다. 현재 GM의 인도공장 인수도 추진하고 있다.",시장점유율
머니S,현대차·기아 인도점유율2위... 최다 판매량 전망까지,네이버뉴스,https://n.news.naver.com/mnews/article/417/0000920967?sid=103,,머니S,"현대차·기아, 세계 3위 인도시장 점유율 20% 돌파... '현지화' 전략 통했다","현대차 인도 첸나이 생산공장 /사진제공=현대차
현대차와 기아가 세계 3위 자동차 시장으로 올라선 인도에서 승승장구중이다.
15일 인도자동차공업협회(SIAM)에 따르면 올해 1~4월 현대차와 기아의 인도 현지 판매량은 전년 동기 대비 15.5% 증가한 29만5359대로 집계됐다.
인도 자동차시장은 연간 476만대가 팔리며 일본을 제치고 중국(2680만대)과 미국(1370만대)에 이어 세계 3위에 올랐다.
현대차와 기아의 인도 시장 점유율은 4월 기준 21.7%로 인도와 일본의 합작법인 마루티 스즈키에 이어 2위다. 브랜드별 판매는 현대차가 전년 대비 11.7% 늘어난 19만7408대, 기아는 23.9% 증가한 9만7951대를 기록했다.
이 같은 실적은 현지 전략 차종 덕분이라는 분석이다. 현대차 크레타는 5만3670대, 베뉴 4만1101대, 기아 쏘넷 3만7518대 등이 인기를 이어가고 있다.
올해 인도시장 판매목표는 현대차 59만5000대, 기아 28만3000대다.
앞서 현대차 인도법인은 11일 최신생산시설 도입과 전기차 배터리 패키지 공장 등의 건립을 위해 3조2000억원 규모의 투자를 밝혔다. 현재 GM의 인도공장 인수도 추진하고 있다.",시장점유율
더드라이브,"""국내선 못 사요""…인도서 대박 난 현대차 뭐길래",,,,,,,시장점유율
국민일보,삼성전자 에어컨 1분기시장 점유율48.6%,네이버뉴스,https://n.news.naver.com/mnews/article/005/0001608415?sid=101,,국민일보,삼성전자 에어컨 1분기 시장 점유율 48.6%,"“에너지 효율 높은 제품 선호 뚜렷”
삼성전자 모델이 서울 대치동에 위치한 삼성스토어 대치점에서 무풍에어컨을 소개하고 있다. 삼성전자 제공
삼성전자는 시장조사기관 GfK 자료를 인용해 올해 1분기 국내 에어컨 시장에서 점유율(수량 기준) 48.6%를 기록했다고 14일 밝혔다. 특히 삼성전자 무풍에어컨의 1분기 판매 비중은 전년 대비 배로 상승했다. 삼성전자는 “경기침체 영향으로 가전제품 구매 수요가 전반적으로 위축된 상황에서도 고객들이 에너지 소비효율이 높은 모델을 선호하는 현상이 뚜렷하게 나타난 결과”라고 설명했다.
무풍에어컨은 무풍 냉방으로 사용하면 최대 냉방 대비 90%까지 소비전력을 절약할 수 있다. 2023년형 비스포크 무풍에어컨 갤러리는 전 모델이 에너지 소비효율 1~2등급 제품이다. 가정용 무풍 시스템에어컨은 전 모델이 에너지 소비효율 1등급을 받았다. 지난달에는 창문형 에어컨 최초로 무풍 냉방기능을 도입한 ‘비스포크 무풍에어컨 윈도우핏’을 출시하며 전체 에어컨 라인업을 무풍으로 완성했다.
같은 기간 LG전자의 국내 에어컨 시장 점유율은 32.5%로 나타났다. 다만 LG전자 관계자는 “LG전자는 GfK에 공식적으로 제품 판매량을 공개한 적이 전혀 없다. GfK 데이터에는 LG베스트샵 판매량이 정확하게 반영되지 않아 실제 점유율과 차이가 있을 수밖에 없다”고 말했다.",시장점유율
국민일보,"삼성전자, 무풍에어컨 인기 힘입어 국내점유율48.6%",네이버뉴스,https://n.news.naver.com/mnews/article/005/0001608415?sid=101,,국민일보,삼성전자 에어컨 1분기 시장 점유율 48.6%,"“에너지 효율 높은 제품 선호 뚜렷”
삼성전자 모델이 서울 대치동에 위치한 삼성스토어 대치점에서 무풍에어컨을 소개하고 있다. 삼성전자 제공
삼성전자는 시장조사기관 GfK 자료를 인용해 올해 1분기 국내 에어컨 시장에서 점유율(수량 기준) 48.6%를 기록했다고 14일 밝혔다. 특히 삼성전자 무풍에어컨의 1분기 판매 비중은 전년 대비 배로 상승했다. 삼성전자는 “경기침체 영향으로 가전제품 구매 수요가 전반적으로 위축된 상황에서도 고객들이 에너지 소비효율이 높은 모델을 선호하는 현상이 뚜렷하게 나타난 결과”라고 설명했다.
무풍에어컨은 무풍 냉방으로 사용하면 최대 냉방 대비 90%까지 소비전력을 절약할 수 있다. 2023년형 비스포크 무풍에어컨 갤러리는 전 모델이 에너지 소비효율 1~2등급 제품이다. 가정용 무풍 시스템에어컨은 전 모델이 에너지 소비효율 1등급을 받았다. 지난달에는 창문형 에어컨 최초로 무풍 냉방기능을 도입한 ‘비스포크 무풍에어컨 윈도우핏’을 출시하며 전체 에어컨 라인업을 무풍으로 완성했다.
같은 기간 LG전자의 국내 에어컨 시장 점유율은 32.5%로 나타났다. 다만 LG전자 관계자는 “LG전자는 GfK에 공식적으로 제품 판매량을 공개한 적이 전혀 없다. GfK 데이터에는 LG베스트샵 판매량이 정확하게 반영되지 않아 실제 점유율과 차이가 있을 수밖에 없다”고 말했다.",시장점유율
동아일보,"삼성전자 무풍에어컨, 1분기 국내점유율48.6%",네이버뉴스,https://n.news.naver.com/mnews/article/020/0003497314?sid=101,,동아일보,"삼성전자, 무풍에어컨 인기 힘입어 국내 점유율 48.6%","높은 에너지소비효율로 어필
작년 年점유율보다 7.6%P 확대
삼성전자가 높은 에너지효율을 내세운 무풍에어컨의 인기에 힘입어 국내 에어컨 시장에서 50%에 가까운 점유율을 달성했다.
14일 시장조사기관 GfK에 따르면 올해 1분기(1∼3월) 국내 에어컨시장에서 삼성전자가 수량 기준 48.6%의 점유율을 기록했다. 지난해 41.0%(연간 기준)보다 7.6%포인트 확대됐다.
삼성전자는 올해 들어 자사 무풍에어컨 판매 수요가 크게 늘어난 덕분이라고 설명했다. 특히 1분기 동안 에너지소비효율 1등급 제품의 판매 비중이 전년 동기 대비 두 배로 늘었다. 무풍 냉방은 일반 냉방으로 최대 가동했을 때보다 90%까지 소비전력을 절약할 수 있다는 설명이다. 삼성전자 관계자는 “소비자들 사이에서 에너지소비효율이 높은 모델에 대한 선호가 뚜렷해진 결과”라고 말했다.
올해 새로 선보인 ‘2023년형 비스포크 무풍에어컨 갤러리’는 모든 모델이 에너지소비효율 1∼2등급이다. 에너지소비효율 1등급 최저 기준보다 냉방효율이 10% 높은 에너지 특화 모델도 있다.
지난해 제조사별 에어컨 화재 발생 건수는 삼성전자가 56건으로 전체 사고 건수의 20.5%를 차지했다. 시장에서의 제품 점유율 대비 사고 비중은 훨씬 낮다는 게 회사 측의 설명이다.",시장점유율
동아일보,“EU서 韓-中 배터리점유율격차 좁혀져… 대응책 시급”,네이버뉴스,https://n.news.naver.com/mnews/article/020/0003497240?sid=101,,동아일보,“EU서 韓-中 배터리 점유율 격차 좁혀져… 대응책 시급”,"무역협 “中, 가격경쟁력 무기로 공략
정부, 투자 세액 공제등 지원나서야”
유럽 2차전지 시장에서 중국 기업의 시장 점유율이 빠르게 상승하고 있는 만큼 한국 기업을 위한 대응책 마련이 시급하다는 지적이 나왔다.
14일 한국무역협회 국제무역통상연구원이 내놓은 ‘글로벌 배터리의 최대 격전지, EU(유럽연합) 배터리 시장 동향과 시사점’에 따르면 중국의 EU 배터리 시장 점유율은 2020년 14.9%에서 지난해 34.0%로 19.1%포인트 올랐다. 같은 기간 한국의 점유율은 68.2%에서 63.5%로 4.7%포인트 하락했다.
중국은 EU의 적극적인 투자 유치와 함께 중국 정부의 지원, 배터리 및 제조 장비의 가격 경쟁력을 무기로 유럽 시장을 공략하고 있다. 보고서는 미국이 인플레이션감축법(IRA)을 통해 중국산 배터리를 배제하고 있는 반면 EU는 아직 중국 기업에 개방적이라고 진단했다. 당장은 점유율이 16.8%에서 2.6%로 대폭 줄어든 일본이 직격탄을 맞았지만, 한국 역시 영향권에 있다는 것이다.
보고서는 2030년 EU가 전 세계 리튬이온 배터리 수요의 약 4분의 1, 공급의 약 5분의 1을 차지할 것으로 예상되는 만큼 대응을 서둘러야 한다고 지적했다.
특히 보고서는 한국 기업 대부분이 투자금이 부족한 데다 미국 시장에 초점을 맞추고 있어, 유럽에서 단기 자금 조달 능력이 부족해 수주에 실패할 수 있다고 우려했다. 무역협회는 “1, 2년 내 수주 경쟁의 결과가 5, 6년 이후의 시장 점유율을 좌우하게 된다”며 “한국 기업이 EU 시장에서 중국과 동등하게 경쟁할 수 있도록 투자 세액 공제의 실효성 강화 등 지원책을 마련해야 한다”고 밝혔다.",시장점유율
