press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
서울경제,"김영훈 ""새벽배송금지하자는 것 아냐…근로자 건강권 보장할 가이드라...",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004561808?sid=102,,서울경제,"김영훈 ""새벽배송 금지하자는 것 아냐…근로자 건강권 보장할 가이드라인 마련""","[서경이 만난 사람 - 김영훈 고용노동부 장관]
■대담=윤홍우 사회부장
근로시간 줄면 인력 필요···부담방식 논의
고용형태 관계없이 정당한 대우 받도록
임기 내 '일하는 사람 권리기본법' 제정
김영훈 고용노동부 장관이 26일 서울 중구 서울지방고용노동청에서 서울경제신문과 인터뷰를 하고 있다. 오승현 기자
[서울경제]
“새벽배송은 우리 사회의 트렌드이고 새벽배송 소비자가 존재하는 만큼 별론으로 다뤄져야 합니다. 새벽배송의 필요성이 아니라 반복된 심야 노동 제한에 대한 공론화가 필요한 시점입니다.”
김영훈 고용노동부 장관은 서울경제신문과의 인터뷰에서 새벽배송 제한 논란과 관련해 “심야 노동은 반복되면 뇌심혈관계질환으로 이어질 수 있다”며 심야 노동에 대한 추가적 가이드라인 마련이 필요하다고 주장했다.
새벽배송 논란은 택배 사회적 대화 기구 3차 회의에서 새벽배송 제한 의견이 제시된 것으로 알려진 후 촉발됐다. 민주노총 산하 전국택배노동조합은 새벽배송이 아니라 심야 노동 제한 취지에서 제시한 의견이라고 해명했지만 이후 새벽배송 금지 논란으로 확대돼 소비자 선택권 침해 및 노동권 보장 등 이슈가 갈수록 격해지고 있다.
김 장관은 앞서 국회나 기자간담회에서 “새벽배송 금지를 주장한 것이 아니다”라고 밝혔지만 김 장관의 친노조 성향 때문에 새벽배송 금지를 찬성하는 입장으로 해석하는 이들이 많다. 이에 대해 그는 “국제적으로 심야 노동 제한 방식은 시간과 돈인데 대부분의 국가는 시간으로 제한한다”며 “우리는 심야 노동 제한이 가산수당 50%를 더 얹어 주는 방식밖에 없다”고 말했다.
정부는 기업에 심야 노동 인건비 부담을 높이는 방식을 제도화했지만 이 인건비를 감당하는 기업들이 늘어나면서 심야 노동 근로자의 건강 문제는 그다지 중요하지 않게 다뤄졌다. 이와 관련해 이재명 정부는 휴게 시간과 휴일을 확대하거나 연속 근무 일수를 제한하는 방식을 통해 노동자의 건강권을 보장한다는 계획이다. 김 장관은 “노동시간을 줄이면 그만큼 인력이 더 필요한 문제가 발생한다”며 “이 부담을 우리 사회가 어떻게 부담할지도 생각해봐야 한다”고 말했다.
김 장관은 올해 산재 사망자가 늘어난 상황에 대해서는 “주무장관으로서 면목이 없다”며 고개를 숙였다. 정부는 산재와의 전쟁을 선포하며 강력한 산재 근절 의지를 밝혔지만 올 1~9월 산재 사망자는 457명으로 전년 동기 대비 3.2% 늘었다. 영세 사업장과 고령자 산재 사망이 이 같은 증가세를 주도했다. 김 장관은 “공사 규모 50억 원 이상이나 근로자 50인 이상 사업장의 사망 산재 증가세는 꺾였다”며 “정부 손이 닿지 않는 곳까지 찾아가 사고를 막도록 노력하겠다”고 강조했다. 노동부는 소규모 건설 현장, 근로자 5인 미만 사업장 등 안전 관리 역량이 부족한 사업장에 대한 사고 예방과 점검 대책을 강화할 방침이다.
김 장관은 임기 내 목표로 ‘일하는 사람의 권리 기본법’ 또한 서둘러 제정하겠다고 밝혔다. 해당 법은 일하는 모든 사람이 차별받지 않고 정당한 임금을 받고 일할 수 있다는 권리를 명문화하는 것을 골자로 한다. 이를 통해 근로기준법 밖에 있는 근로자를 보호할 수 있는 ‘근거법’이 마련될 것으로 전망된다. 김 장관은 “일하는 사람 기본법은 ‘일터 민주주의법’이라고 부를 수 있다”며 “일하는 사람은 고용 형태를 불문하고 일터에서 정당한 대우를 받을 권리가 있다”고 강조했다.
김영훈 ""반복된 심야노동 시간 규제 검토""",새벽배송
전자신문,택배 사회적 대화 3차 회의도 '맹탕'…새벽배송논란에 공회전 지속,네이버뉴스,https://n.news.naver.com/mnews/article/030/0003375479?sid=101,,전자신문,택배 사회적 대화 3차 회의도 '맹탕'…새벽배송 논란에 공회전 지속,"새벽배송 금지 의제 던져놓고  2021년 합의 내용 점검만
12월 19일 4차회의도 소모전만 하는 빈수레될까
새벽배송 금지 반대 여론만 더 커져
대화 마련한 여당이 적극적인 중재 나서야
〈AI 생성 이미지〉
새벽배송 금지 논란을 불러일으킨 택배 사회적 대화가 세번째 회의마저 맹탕으로 끝나면서 한 달째 공회전만 하고 있다. 새벽배송 시스템을 바꾸라는 전국민주노동조합총연맹(민주노총)과 수용할 수 없다는 쿠팡(CLS) 간 줄다리기가 지속되는 양상이다. 새벽배송 금지 반대 여론이 확산하면서 중재자인 여당도 신중한 태도를 견지하는 가운데 사회적 대화는 해를 넘긴 장기전으로 번질 전망이다.
30일 업계에 따르면 더불어민주당은 지난 28일 국회에서 택배 사회적 대화 기구 3차 회의를 개최했다. 이전 1·2차 회의와 동일하게 국토교통부, 택배업계, 노동계가 그대로 참여했다.
약 2시간 남짓 이어진 3차 회의는 지난 2021년 제정한 택배 사회적 합의에 대한 각 사 이행 점검 시간이 주를 이뤘다. CJ대한통운, 한진 등이 지속적인 검토가 필요하다는 평가를 받았고 4년 전 합의 기구에 불참했던 쿠팡은 이행 계획을 새롭게 제출하기로 했다.
논란을 일으킨 새벽배송 의제는 3차 회의에서 거의 다뤄지지 않았다. 고용노동부가 의뢰한 '심야시간대 연속 근무가 건강에 미치는 영향' 연구 용역 결과가 아직 도출되지 않았다는 것이 표면적인 이유다. 해당 용역은 내달 말 중간 결과를 발표할 것으로 알려졌다.
결국 3차 회의는 '맹탕'에 그쳤다. 한 달전 1차 회의에서 민주노총이 '0~5시 심야시간대 배송 금지'를 제안한 이후 한 발자국도 나아가지 못한 모양새다.
업계에서는 반대 여론을 의식한 숨고르기라는 시선이 나온다. 출범 당시만 해도 사회적 대화를 출범시킨 여당이 노동계 의견을 보다 비중있게 반영할 것으로 관측됐다. 다만 새벽배송 금지에 대한 반발 여론이 빠르게 확산하면서 여당 내부에서도 신중론이 점화되기 시작했다는 분석이다.
실제로 새벽배송 금지 반대 여론은 거센 상황이다. 국회 국민동의 청원 게시판에 오른 '새벽배송 금지 및 제한 반대에 관한 청원'은 동의 수가 2만5000명을 넘어섰다. 소상공인 단체와 소비자 단체 등도 줄줄이 반대 입장을 표명했으며 쿠팡 직고용 배송 기사 노조 '쿠팡노조' 등 현장 종사자마저 반대하고 있다.
새벽배송 금지가 산업 흐름에 역행한다는 학계 지적도 나왔다. 한국경영자총협회가 한국SCM학회에 의뢰한 '해외 e커머스 사업 및 규제 동향 분석' 연구용역 결과에 따르면 글로벌 e커머스 기업들은 당일배송 또는 야간·새벽 배송 등의 초고속 배송 경쟁에 본격 돌입한 것으로 나타났다.
민주노총은 여전히 '새벽배송 금지'를, 쿠팡은 '배송 시스템 변화 불가' 입장을 그대로 고수하고 있다. 주 7일 배송, 택배 수수료 등 산적한 의제들은 아직 논의를 시작조차 못한 상황이다. 약 7개월이 소요됐던 2021년 사회적 합의에 준하는 장기전 양상이 예상된다.
4차 회의는 12월 19일에 열린다. 고용노동부 연구 용역 중간 보고가 내달 말에 예정된 점을 감안하면 4차 회의 또한 아무런 진전 없는 '빈 수레'가 될 가능성이 높다. 소모적인 갈등이 지속되는 가운데 테이블을 차린 여당이 적극적으로 중재에 나서야 한다는 지적이 나온다.
사회적 대화에 참여하는 한 관계자는 “단순 사용자-노동자 대치 구도가 아니라 택배업계와 노동계 내부에서도 각각 입장이 엇갈리는 상황“이라며 “논의 주체마다 입장이 첨예하게 엇갈리는 만큼 장기전이 불가피할 것”이라고 내다봤다.",새벽배송
아시아타임즈,[요즈음] 너무 익숙해진 '새벽배송'…그 뒤 노동자들의 '땀 눈물',,,,,,,새벽배송
아시아타임즈,"경총 ""새벽배송, 규제보다 자율성 보장해야""",,,,,,,새벽배송
대구신문,"아마존, 1시간 내 배송 경쟁…한국새벽 배송금지와 대조",,,,,,,새벽배송
전자신문,"[人사이트] 조용근 카페24 물류혁신 총괄 “D2C 쇼핑몰, 빠른배송은 필...",네이버뉴스,https://n.news.naver.com/mnews/article/030/0003375490?sid=101,,전자신문,"[人사이트] 조용근 카페24 물류혁신 총괄 “D2C 쇼핑몰, 빠른배송은 필수”","“D2C(소비자 대상 직접 판매) 쇼핑몰 운영자들이 본질에 집중할 수 있는 환경을 만드는 게 '매일배송'의 경쟁력입니다.”
조용근 카페24 물류혁신 총괄은 최근 카페24가 D2C 쇼핑몰 업계의 물류 혁신을 주도하고 있다고 자신했다. '매일배송'으로 대형 이커머스 플랫폼과 맞먹는 365일 출고·배송을 실현하면서 중소형 D2C 쇼핑몰들의 주목을 받기 시작했기 때문이다.
조용근 카페24 물류혁신 총괄
카페24는 최근 D2C 쇼핑몰 운영자들의 자사몰 경쟁력을 강화하기 위해 매일배송을 출시했다. 제휴 물류사에 빠른 배송을 원하는 상품을 미리 입고하면, 주문 발생 시 365일 쉬는 날 없이 물류센터에서 상품을 출고한다. D2C 쇼핑몰도 대형 이커머스 채널처럼 '매일·당일·새벽배송' 등 차별화된 배송 경험을 제공할 수 있게 된 셈이다.
또, 판매하는 상품 전체 또는 일부 상품군 지정 등 원하는 방식을 설정할 수 있다. 결제부터 배송 완료 리드타임, 취소·반품률, 상품 생애주기(PLC), CS 문의 등을 실시간 모니터링해 D2C 쇼핑몰에 최적화한 물류 서비스를 도출하는 것도 강점이다.
조 총괄은 “금요일에 상품을 주문한 구매자는 토요일에 도착하기를 기대하기 마련”이라면서 “D2C 쇼핑몰의 물류 경쟁력도 이에 맞춰 끌어올려야 한다”고 강조했다.
성과는 뚜렷하다. 매일배송 도입 후 일부 쇼핑몰에서 주문량이 2배 이상 증가한 사례가 나왔다. 평균 20~30% 매출 상승률을 보인다는 후문이다. 배송 지연에 대한 문의도 줄었고, 출고 소요 시간은 60%나 단축됐다. 특히 주말 주문도 당일 출고로 리드타임을 획기적으로 줄여 구매자 만족도가 높아졌다.
조 총괄은 매일배송의 핵심 경쟁력으로 차별화된 서비스 구조를 꼽았다. CJ대한통운을 비롯한 5개 물류사와 제휴하고 있는 매일배송은 D2C 쇼핑몰에는 빠른 물류 서비스를, 물류사에는 새로운 수익구조를 제공하는 윈윈 구조를 구축했다. 카페24는 물류 제휴사를 지속 확대할 계획이다.
조 총괄은 “매일배송은 쇼핑몰 운영자가 직접 물류 서비스 형태를 설정할 수 있다”면서 “다른 정책에 얽매이지 않고 자사 브랜드 정체성을 유지하면서 물류만 맡길 수 있는 것”이라고 차별화를 부각했다.
현재 몇백개에 달하는 D2C 쇼핑몰이 매일배송을 이용하고 있다. 서비스 이탈률은 0%다. 조 총괄은 새해 매일배송을 선택하는 D2C 쇼핑몰 규모를 수천개 규모로 확대하는 데 힘을 쏟을 계획이다. 중개 수수료 '무료' 기조도 그대로 이어간다.
조 총괄은 “현재 주7일·24시간 출고가 기준으로 자리 잡은 이커머스 배송 경쟁은 4시간, 1시간 등 시간 단위 퀵배송으로 진화할 수 있다”면서 “D2C 쇼핑몰들의 '빠른 배송' 필요성은 명확하다”고 강조했다. 이어서 “D2C 운영자들을 흥하게 하는 카페24가 되겠다”고 포부를 밝혔다.",새벽배송
한국경제,"""공동현관 비번도 노출됐다고?""…쿠팡 개인정보 3000만건 유출 파장",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005217900?sid=101,,한국경제,"""공동현관 비번도 노출됐다고?""…쿠팡 개인정보 3000만건 유출 파장","국내 이커머스(전자상거래) 시장 1위 업체인 쿠팡에서 3천만건이 넘는 대규모 정보 유출 사고가 발생했다. 사진=한경DB
국내 이커머스(전자상거래) 시장 1위 업체인 쿠팡에서 사실상 회원 전체 정보가 유출된 사고가 발생하면서 소비자들이 불안해하고 있다.
30일 경찰 등에 따르면 서울경찰청 사이버수사대는 지난 25일 쿠팡 측으로부터 이번 개인정보 유출 사고와 관련한 고소장을 접수해 수사를 진행하고 있다. 쿠팡이 제출한 고소장에는 피고소인이 특정되지 않아 '성명불상자'로 기재된 것으로 파악됐다.
쿠팡은 전날 ""지난 18일 약 4500개 계정의 개인정보가 무단으로 노출된 사실을 인지하고, 즉시 경찰청과 한국인터넷진흥원(KISA)·개인정보보호위원회에 신고했다""고 했다. 하지만 이어 ""후속 조사에서 고객 계정 약 3370만개가 무단으로 노출된 것을 확인했다""고 했다.
유출된 정보에는 고객 이름과 이메일 주소, 배송지 주소록, 일부 주문 정보가 포함됐다. 다만 쿠팡 측은 결제 정보나 신용카드 번호, 로그인 정보는 포함되지 않았다고 설명했다.
이번 유출 사태는 중국 국적의 전 쿠팡 직원 소행으로 의심받고 있다.경찰은 모든 가능성을 열어두고 수사한다는 방침이다.
쿠팡은 이날 오전까지 고객들에게 '쿠팡 개인정보 노출 통지' 문자를 보내 관련 상황을 알렸다.
쿠팡은 이 통지에서 ""심려를 끼쳐 드린 점에 대해 사과의 말씀을 드리며 쿠팡의 모든 임직원은 고객 불편과 심려를 신속하게 해소할 수 있도록 최선의 노력을 다하겠다""고 밝혔다.
문제는 지난 6월부터 해커가 고객 계정 정보에 접근한 것으로 추정된다는 점이다. 쿠팡을 사실상 5개월 동안 아무런 대응이 없었던 셈이다.
서울에 사는 30대 직장인 김모씨는 ""새벽 배송 등 아주 유용하게 잘 사용하고 있었는데 이런 일이 벌어져 안타깝다""며 ""신용카드 번호 등은 유출되지 않았다고 하지만 불안해 바로 탈퇴를 했다""고 말했다.
또 다른 쿠팡 이용자인 40대 직장인 방모씨는 ""주소부터 시작해 공동현관 비밀번호도 다 적혀있는데 이게 다 노출된 것이지 않으냐""며 ""1위 업체가 정보 관리를 이렇게 소홀히 하는 게 맞는지 모르겠다""고 했다.
한편 쿠팡의 이번 고객 정보 유출 규모는 2011년 약 3500만명이 정보 유출 사태를 겪은 싸이월드·네이트 사례와 맞먹는다. 이 사고는 해킹으로 인한 것이었다.
경찰 수사와 별개로 정부는 민간과 합동조사단을 꾸려 사고 원인 분석에 나섰다. 과학기술정보통신부는 쿠팡 침해사고 및 개인정보 대규모 유출 사고와 관련해 민관합동조사단을 꾸려 사고 원인 분석 및 재발 방지 대책을 마련할 계획이다.",새벽배송
한겨레,"참여연대 “온갖 사회적 논란 일으킨 쿠팡, 개인정보 유출로 정점 찍어...",네이버뉴스,https://n.news.naver.com/mnews/article/028/0002779040?sid=102,,한겨레,"참여연대 “온갖 사회적 논란 일으킨 쿠팡, 개인정보 유출로 정점 찍어”","연합뉴스
쿠팡의 3천만명 고객정보 유출을 두고 시민사회에서 비판의 목소리가 나온다. 기업의 반복되는 개인정보 유출사태를 더는 방치해선 안 된다는 지적도 잇따른다.
참여연대는 30일 논평을 내어 “기업들의 허술한 개인정보 관리와 반복되는 대규모 유출사태에 대해 강력히 규탄한다”며 “쿠팡은 피해를 입은 국민에게 충분한 정보를 제공하고 납득할 만한 보상대책을 내놓아야 한다”고 밝혔다.
이어 “자회사 밀어주기와 고객을 기만하는 임직원을 동원한 알고리즘 조작, 클렌징(할당된 배송량을 채우지 못할 경우 배송구역을 회수하는 조처)과 새벽배송 정책으로 인한 노동자 과로사, 퇴직금 미지급 사건 불기소 외압으로 인한 상설특검 등 온갖 사회적 논란을 일으키고 있는 쿠팡이 결국 전국민 3분의 2에 달하는 개인정보 유출사태로 정점을 찍은 것”이라며 “쿠팡 경영진은 본인들이 일으킨 갖은 사회적 논란에 대해 전국민 앞에 고개 숙여 사죄하고, 전면적인 정책변화와 구조개혁을 약속해야 한다”고 촉구했다.
퇴사한 중국 국적의 내부 직원이 고객정보를 유출했다는 의혹에 대해서도 참여연대는 “쿠팡 쪽의 책임을 축소하기 위한 시도가 아닐지 매우 의심된다”고 했다. 이들은 “해당 직원이 어떤 역할을 담당했는지, 해당 직원의 역할과 보안등급이 전국민의 3분의 2에 해당하는 개인정보를 유출할 수 있는 수준이었는지, 최소 5개월 동안 유출사실을 파악하지 못한 이유가 무엇이었는지, 개인정보 보호체계를 어떻게 운영하고 있는지 철저히 밝혀야 할 것”이라고 꼬집었다.
정부와 국회가 기업의 고객정보 유출 사태에 보다 엄정히 대응해야 한다는 점도 강조했다. 참여연대는 “미국증시에 상장된 쿠팡이 미국에서 이러한 대규모 개인정보 유출사고를 일으켰다면 집단소송제도 등으로 인해 최소한 수천억원대의 고객 피해보상을 이행해야 했을 것”이라며 “왜 우리 국민은 제도의 미비로 역차별을 당해야 하나. 정부와 국회는 하루 빨리 집단소송법을 제정하라”고 했다. 이동통신 3사의 대규모 개인정보 유출 뒤, 본회의 통과를 앞두고 있는 ‘정보통신망법’, ‘전기통신사업법’에 대해서는 “해당 개정안에 담긴 과징금이나 과태료 상한은 기업의 광범위한 정보보안 투자나 해킹방지 노력을 이끌어내기에는 턱없이 부족하다”며 “최소한의 노력만 있어도 과징금 책임을 면할 수 있는 ‘면죄부’로 작용할 가능성이 크다”고 짚었다.",새벽배송
한겨레,"참여연대 “쿠팡 정보 유출, 중국 출신 직원 의혹은 쿠팡 책임 축소용?...",네이버뉴스,https://n.news.naver.com/mnews/article/028/0002779040?sid=102,,한겨레,"참여연대 “온갖 사회적 논란 일으킨 쿠팡, 개인정보 유출로 정점 찍어”","연합뉴스
쿠팡의 3천만명 고객정보 유출을 두고 시민사회에서 비판의 목소리가 나온다. 기업의 반복되는 개인정보 유출사태를 더는 방치해선 안 된다는 지적도 잇따른다.
참여연대는 30일 논평을 내어 “기업들의 허술한 개인정보 관리와 반복되는 대규모 유출사태에 대해 강력히 규탄한다”며 “쿠팡은 피해를 입은 국민에게 충분한 정보를 제공하고 납득할 만한 보상대책을 내놓아야 한다”고 밝혔다.
이어 “자회사 밀어주기와 고객을 기만하는 임직원을 동원한 알고리즘 조작, 클렌징(할당된 배송량을 채우지 못할 경우 배송구역을 회수하는 조처)과 새벽배송 정책으로 인한 노동자 과로사, 퇴직금 미지급 사건 불기소 외압으로 인한 상설특검 등 온갖 사회적 논란을 일으키고 있는 쿠팡이 결국 전국민 3분의 2에 달하는 개인정보 유출사태로 정점을 찍은 것”이라며 “쿠팡 경영진은 본인들이 일으킨 갖은 사회적 논란에 대해 전국민 앞에 고개 숙여 사죄하고, 전면적인 정책변화와 구조개혁을 약속해야 한다”고 촉구했다.
퇴사한 중국 국적의 내부 직원이 고객정보를 유출했다는 의혹에 대해서도 참여연대는 “쿠팡 쪽의 책임을 축소하기 위한 시도가 아닐지 매우 의심된다”고 했다. 이들은 “해당 직원이 어떤 역할을 담당했는지, 해당 직원의 역할과 보안등급이 전국민의 3분의 2에 해당하는 개인정보를 유출할 수 있는 수준이었는지, 최소 5개월 동안 유출사실을 파악하지 못한 이유가 무엇이었는지, 개인정보 보호체계를 어떻게 운영하고 있는지 철저히 밝혀야 할 것”이라고 꼬집었다.
정부와 국회가 기업의 고객정보 유출 사태에 보다 엄정히 대응해야 한다는 점도 강조했다. 참여연대는 “미국증시에 상장된 쿠팡이 미국에서 이러한 대규모 개인정보 유출사고를 일으켰다면 집단소송제도 등으로 인해 최소한 수천억원대의 고객 피해보상을 이행해야 했을 것”이라며 “왜 우리 국민은 제도의 미비로 역차별을 당해야 하나. 정부와 국회는 하루 빨리 집단소송법을 제정하라”고 했다. 이동통신 3사의 대규모 개인정보 유출 뒤, 본회의 통과를 앞두고 있는 ‘정보통신망법’, ‘전기통신사업법’에 대해서는 “해당 개정안에 담긴 과징금이나 과태료 상한은 기업의 광범위한 정보보안 투자나 해킹방지 노력을 이끌어내기에는 턱없이 부족하다”며 “최소한의 노력만 있어도 과징금 책임을 면할 수 있는 ‘면죄부’로 작용할 가능성이 크다”고 짚었다.",새벽배송
MBC,이커머스 1위 쿠팡의 배신‥불매·집단소송으로 확산,네이버뉴스,https://n.news.naver.com/mnews/article/214/0001465040?sid=102,,MBC,이커머스 1위 쿠팡의 배신‥불매·집단소송으로 확산,"[뉴스데스크]
◀ 앵커 ▶
새벽배송과 당일배송을 앞세운 쿠팡은 우리에겐 거의 일상이 됐죠.
평소 일상을 함께하듯 쿠팡을 애용해 온 소비자들은 불안감을 넘어 배신감까지 토로하고 있습니다.
유출된 정보를 이용한 2차 피해 우려도 커지고 있는데요.
피해자들을 중심으로 집단 소송 움직임도 일고 있습니다.
제은효 기자가 보도합니다.
◀ 리포트 ▶
생필품과 식료품은 물론, 아이 준비물까지 한 번에 해결할 수 있는 쿠팡.
[차수정]
""세제, 문제집하고 치실… 거의 매일 (장을) 보는 거 같아요.""
자주 이용한 만큼 소비자들의 배신감은 더 큽니다.
[김지현]
""와우(유료) 회원은 일단 해지를 할까 지금 고민 중이기는 했어요.""
[이채원]
""쿠팡 같은 대형 플랫폼이 그렇게 됐다고 하니까 믿을 곳이 없구나…""
쿠팡이 공지한 유출 정보는 고객 이름과 전화번호, 주소록, 이메일 주소와 주문내역.
소비자들은 불안할 수밖에 없습니다.
[이윤서]
""집 주소가 털린 게 제일 두렵고. 공동 현관 출입문 비밀번호 다 등록돼 있었고…""
특히 이미 오래 전 탈퇴한 이용자들까지 유출 문자를 받으면서 인터넷 댓글에는 ""정보를 계속 갖고 있었다는 거냐""는 비판과 함께 ""이윤만 남기지 말고 보안에 투자해라"", ""불매운동 해야 한다""는 분노 섞인 반응이 이어지고 있습니다.
그런데도 쿠팡은 '카드정보와 비밀번호는 유출되지 않았다'며 사태를 축소하는 듯한 설명을 내놨습니다.
[윤용헌]
""그냥 먹고 떨어져식 문자. '나 이렇게 했어' 통보식?… 소비자 기만일 수도 있고요.""
최근 개인정보 유출 문제는 끊이지 않고 있습니다.
지난 9월, 롯데카드에서는 297만 명의 고객 정보가 유출됐고, 비슷한 시기 KT는 '가짜 기지국'에 통신망이 뚫리며 360여 명의 고객들이 소액 결제 피해를 입었습니다.
이번 쿠팡 사태의 더 큰 문제는 2차, 3차 피해로 이어질 수 있다는 겁니다.
[염흥열/순천향대 정보보호학과 명예교수]
""(메일 주소로) 메일을 보내서 해당 PC에 이 악성 코드를 감염시키는… 전화번호하고 주소를 결합하면 (집에) 찾아가서 물리적인 해코지를 할 수 있는 그런 가능성까지 (있습니다.)""
현재 인터텟에는 쿠팡 개인정보 유출 피해자들이 하나둘 모인 카페가 개설돼 집단 소송을 준비하고 있습니다.
MBC뉴스 제은효입니다.
영상취재: 한재훈 / 영상편집: 김민상
MBC 뉴스는 24시간 여러분의 제보를 기다립니다.
▷ 전화 02-784-4000
▷ 이메일 mbcjebo@mbc.co.kr
▷ 카카오톡 @mbc제보",새벽배송
