press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
MBC,"[단독] '순살아파트' 감리업계 담합 포착‥""심사위원 질문에 '모른다'""",네이버뉴스,https://n.news.naver.com/mnews/article/214/0001296686?sid=102,,MBC,"[단독] '순살아파트' 감리업계 담합 포착‥""심사위원 질문에 '모른다'""","[뉴스데스크]
◀ 앵커 ▶
일부 신축 아파트의 공사 과정에서 철근이 누락됐다는 논란이 불거지면서 큰 충격을 줬었죠?
이런 부실 설계와 시공을 감리 단계에서 제대로 걸러내지 못했던 배경에, 감리 업계의 고질적인 담합이 있었다는 진술을 확보해서 검찰이 전격적으로 압수수색에 나섰습니다.
차례로 순번을 정해서 서로를 밀어주기 위해 부실한 입찰 서류를 냈고, 심사위원의 질문에 ""모른다""고 답변하며 일부러 탈락했다는 건데요.
손구민 기자가 단독 취재했습니다.
◀ 리포트 ▶
지난 4월 말 인천 검단신도시의 신축 아파트 지하 주차장이 무너졌습니다.
LH공사가 발주해 GS건설이 지은 아파트.
당초 설계도 부실했고, 시공업체는 부실한 설계보다도 철근을 더 빼먹었고, 감리업체는 이를 전혀 거르지 못했습니다.
이른바 '순살 아파트' 논란 넉 달 만에, 검찰이 감리업체들을 전격 압수수색했습니다.
매출액 1천억 원이 넘는 희림과 케이디 등, LH 아파트를 감리한 11곳이 포함됐습니다.
MBC 취재 결과, 지난 4월 검단 지하주차장 붕괴 직전, 감리업체 중 한 곳이 검찰에 담합 사실을 자진 신고한 것으로 확인됐습니다.
감리업체들이 용역을 따내기 위해 여러 컨소시엄을 만든 뒤, 순번을 정해 한 곳씩 차례로 밀어줬다는 겁니다.
기술 제안서를 부실하게 내는 건 물론, 20분씩 주어진 발표 시간조차 채우지 않았고, 심사위원이 구체적인 계획을 물으면 ""준비를 못 해 잘 모른다""고 답변하며, 일부러 탈락했는 게 신고 내용이었습니다.
LH의 용역 심사는 입찰 가격이 20% 반영되고, 기술 능력 등 주관적인 정성평가가 80%인데, 여기서 사실상 낙제해 버린 셈입니다.
검찰은 감리업계가 지난 2019년부터 작년까지, 수천억 원대 담합을 벌였다고 보고 있습니다.
철근이 누락된 부실시공 아파트 15곳 중 일부 아파트의 감리업체도 압수수색 대상에 포함된 것으로 파악됐습니다.
검찰은 담합을 통해 큰 이익을 얻은 감리업체를 추려, 주요 책임자들에 대한 신병 확보에 나설 것으로 전망됩니다.
MBC뉴스 손구민입니다.
영상취재 : 정인학 / 영상편집 : 박정호
MBC 뉴스는 24시간 여러분의 제보를 기다립니다.
▷ 전화 02-784-4000
▷ 이메일 mbcjebo@mbc.co.kr
▷ 카카오톡 @mbc제보",아파트부실공사
MBC,"검찰, ‘LH아파트감리 입찰담합’ 11곳 압수수색",네이버뉴스,https://n.news.naver.com/mnews/article/214/0001296686?sid=102,,MBC,"[단독] '순살아파트' 감리업계 담합 포착‥""심사위원 질문에 '모른다'""","[뉴스데스크]
◀ 앵커 ▶
일부 신축 아파트의 공사 과정에서 철근이 누락됐다는 논란이 불거지면서 큰 충격을 줬었죠?
이런 부실 설계와 시공을 감리 단계에서 제대로 걸러내지 못했던 배경에, 감리 업계의 고질적인 담합이 있었다는 진술을 확보해서 검찰이 전격적으로 압수수색에 나섰습니다.
차례로 순번을 정해서 서로를 밀어주기 위해 부실한 입찰 서류를 냈고, 심사위원의 질문에 ""모른다""고 답변하며 일부러 탈락했다는 건데요.
손구민 기자가 단독 취재했습니다.
◀ 리포트 ▶
지난 4월 말 인천 검단신도시의 신축 아파트 지하 주차장이 무너졌습니다.
LH공사가 발주해 GS건설이 지은 아파트.
당초 설계도 부실했고, 시공업체는 부실한 설계보다도 철근을 더 빼먹었고, 감리업체는 이를 전혀 거르지 못했습니다.
이른바 '순살 아파트' 논란 넉 달 만에, 검찰이 감리업체들을 전격 압수수색했습니다.
매출액 1천억 원이 넘는 희림과 케이디 등, LH 아파트를 감리한 11곳이 포함됐습니다.
MBC 취재 결과, 지난 4월 검단 지하주차장 붕괴 직전, 감리업체 중 한 곳이 검찰에 담합 사실을 자진 신고한 것으로 확인됐습니다.
감리업체들이 용역을 따내기 위해 여러 컨소시엄을 만든 뒤, 순번을 정해 한 곳씩 차례로 밀어줬다는 겁니다.
기술 제안서를 부실하게 내는 건 물론, 20분씩 주어진 발표 시간조차 채우지 않았고, 심사위원이 구체적인 계획을 물으면 ""준비를 못 해 잘 모른다""고 답변하며, 일부러 탈락했는 게 신고 내용이었습니다.
LH의 용역 심사는 입찰 가격이 20% 반영되고, 기술 능력 등 주관적인 정성평가가 80%인데, 여기서 사실상 낙제해 버린 셈입니다.
검찰은 감리업계가 지난 2019년부터 작년까지, 수천억 원대 담합을 벌였다고 보고 있습니다.
철근이 누락된 부실시공 아파트 15곳 중 일부 아파트의 감리업체도 압수수색 대상에 포함된 것으로 파악됐습니다.
검찰은 담합을 통해 큰 이익을 얻은 감리업체를 추려, 주요 책임자들에 대한 신병 확보에 나설 것으로 전망됩니다.
MBC뉴스 손구민입니다.
영상취재 : 정인학 / 영상편집 : 박정호
MBC 뉴스는 24시간 여러분의 제보를 기다립니다.
▷ 전화 02-784-4000
▷ 이메일 mbcjebo@mbc.co.kr
▷ 카카오톡 @mbc제보",아파트부실공사
세계일보,'아파트감리' 입찰담합 의혹…동시다발 압수수색,네이버뉴스,https://n.news.naver.com/mnews/article/022/0003850516?sid=102,,세계일보,"검찰, ‘LH 아파트 감리 입찰담합’ 11곳 압수수색","사전에 순번·낙찰자 합의한 혐의
2019년부터 총 수천억원 짬짜미
검찰이 한국토지주택공사(LH)가 발주한 건설사업관리(감리) 용역 입찰 과정에서 수천억원대 담합이 이뤄진 정황을 포착하고 강제수사에 나섰다.
서울중앙지검 공정거래조사부(부장검사 이정섭)는 30일 희림종합건축사무소, KD 등 11개 건축사사무소 사무실과 임직원 주거지 등 10여곳에 검찰과 수사관을 보내 압수수색을 진행했다.
지난 29일 압수수색이 진행중인 경기도 성남시 분당구 LH 경기남부지역본부 모습. 뉴시스
이들 업체는 2019년부터 지난해까지 LH와 조달청이 발주한 아파트 건설공사 감리 용역 입찰에서 사전에 순번과 낙찰자 등을 합의한 혐의(공정거래법 위반)를 받고 있다.
검찰은 이 같은 방식으로 해당 업체들이 한건당 수십억원씩, 총 수천억원대에 달하는 규모의 감리 용역을 낙찰받은 것으로 보고 있다. 업체 간 짬짜미를 통해 감리 업체가 선정되면서 실제 감리 또한 부실하게 이뤄졌고, 이는 결국 ‘철근 누락’ 사태 등 부실 공사로 이어졌다는 것이 검찰 판단이다. 압수수색을 받은 업체 중에는 LH 출신의 전관 직원이 근무하고 있는 곳도 상당수인 것으로 알려졌다.
검찰 관계자는 “담합 업체들이 순번을 정해서 용역을 낙찰받기 시작하면 아파트 가격은 올라가는 반면 품질은 떨어지는 부실 감리 문제가 발생할 수 있다”며 “LH나 조달청에서 발주하는 용역은 모두 국가 세금으로 하는 것인 만큼 사안이 중하다”고 밝혔다. 검찰은 지난 4월 담합 업체 중 한 곳으로부터 자진 신고를 받고 수사에 착수했다.
경찰은 이와 별개로 LH가 발주한 아파트의 철근 누락사태를 수사 중이다. 공정위는 LH가 발주한 15개 아파트 단지의 설계·건축 과정에서 철근을 누락한 시공사 13곳을 상대로 하도급법 위반 혐의, 감리입찰 담합 여부 등을 조사하고 있다.",아파트부실공사
연합뉴스,"""철근만부실한 게 아냐""…LH아파트하자 최근 5년간 25만건",네이버뉴스,https://n.news.naver.com/mnews/article/001/0014159543?sid=101,,연합뉴스,"""철근만 부실한 게 아냐""…LH 아파트 하자 최근 5년간 25만건","2021∼2022년 연간 하자 12만건 안팎…대형사 시공 아파트서도 속출
잭 서포트 설치된 공주 철근누락 아파트 지하주차장
(공주=연합뉴스) 강수환 기자 = 28일 오후 충남 공주시 한국토지주택공사(LH) 공주월송 A4 아파트 지하주차장 무량판 기둥 사이에 보강공사를 위한 잭 서포트가 설치돼 있다. LH는 전날 이 아파트 지하주차장 기둥 345개 중 154개(45％)에서 전단 보강 철근이 누락된 것을 확인했다고 발표했다. 2023.8.28 swan@yna.co.kr
(서울=연합뉴스) 권혜진 기자 = ""8월 초 폭우가 발생하자 어김없이 작은방과 거실의 천장과 외벽에 누수가 발생했습니다. 작은방은 네번째, 거실은 두번째입니다. LH 임대주택에 월세를 내고 살아온 5년간 총 8차례 하자 보수를 받았지만 지금도 생활이 어려운 상황입니다.""(지난해 10월 등록된 국민동의 청원 내용 중)
한국토지주택공사(LH)의 무량판 구조 지하주차장에서 잇달아 철근 누락이 발생하면서 LH 아파트 입주자들의 부실시공 우려가 커지는 가운데 최근 5년간 LH 아파트에서 발생한 하자가 25만건에 이르는 것으로 나타났다.
30일 국회 국토교통위원회 소속 더불어민주당 허영 의원이 LH로부터 받은 자료에 따르면 2018∼2022년 LH아파트에서 발생한 하자는 모두 25만199건이다.
연도별로 보면 2018년 2천561건, 2019년 1천748건, 2020년 2천337건으로 2020년까지는 수천건 수준이었으나, 2021년 11만5천392건, 지난해 12만8천161건으로 최근 2년 새 급증했다.
이처럼 하자 건수가 급증한 것은 2021년 주택법 개정 사항을 반영해 중대 하자뿐 아니라 상대적으로 하자 정도가 적은 일반 하자까지 집계 시 포함했기 때문이다.
건축물이나 배관 문제로 천정이나 벽체 누수 같은 생활에 심각한 지장을 초래하는 하자는 '중대 하자'로, 이를 제외한 나머지는 '일반 하자'로 분류된다. 창호 틈새 과다나 마루 들뜸, 싱크대 문짝 개폐 시 소음 등이 대표적이다.
특히 하자 발생 건수를 시공사별로 들여다보면 현대건설, 한화건설, DL건설 등 시공능력평가 상위권에 속한 건설사들이 하자발생률 상위권에 포함된 것으로 나타났다.
계속되는 보강 작업
(오산=연합뉴스) 홍기원 기자 = 3일 지하 주차장 무량판 구조 기둥 일부에 철근이 빠진 것으로 확인된 경기도 오산시의 한 LH 아파트에서 보강 작업이 진행되고 있다. 2023.8.3 xanadu@yna.co.kr
현대건설의 경우 충북 충주 소재 639세대 아파트에서 총 4천888건의 하자가 발생했다. 한 집에서 7.65건씩의 하자가 있었다는 의미다.
올해 시공능력평가 12위를 차지한 한화건설은 세대당 11.62건의 하자가 발생해 하자발생비율이 가장 높은 시공사로 지목됐다. 두산건설이 11.12건으로 그 뒤를 이었다.
허영 의원은 LH의 관리 감독 책임도 지적했다.
허 의원은 ""LH가 건설하는 아파트에서 이처럼 하자가 지속적으로 발생한다는 것은 국민 주거 안전을 위협하는 일""이라며 ""인천 검단 아파트 지하주차장 붕괴 사고의 근본 원인도 LH에 있다는 지적을 뒷받침하는 근거가 속속 밝혀지는 만큼 주무 부처인 국토교통부와 LH는 대대적인 개혁안을 마련해야 할 것""이라고 강조했다.
[그래픽] LH 아파트 하자 발생 시공사
(서울=연합뉴스) 김민지 기자 = minfo@yna.co.kr
트위터 @yonhap_graphics  페이스북 tuney.kr/LeYN1
[표] 2018∼2022년 LH 아파트 하자 발생 시공사 순위
lucid@yna.co.kr",아파트부실공사
연합뉴스,"""철근만부실한 게 아냐""…LH아파트하자 최근 5년간 25만 건",네이버뉴스,https://n.news.naver.com/mnews/article/001/0014159543?sid=101,,연합뉴스,"""철근만 부실한 게 아냐""…LH 아파트 하자 최근 5년간 25만건","2021∼2022년 연간 하자 12만건 안팎…대형사 시공 아파트서도 속출
잭 서포트 설치된 공주 철근누락 아파트 지하주차장
(공주=연합뉴스) 강수환 기자 = 28일 오후 충남 공주시 한국토지주택공사(LH) 공주월송 A4 아파트 지하주차장 무량판 기둥 사이에 보강공사를 위한 잭 서포트가 설치돼 있다. LH는 전날 이 아파트 지하주차장 기둥 345개 중 154개(45％)에서 전단 보강 철근이 누락된 것을 확인했다고 발표했다. 2023.8.28 swan@yna.co.kr
(서울=연합뉴스) 권혜진 기자 = ""8월 초 폭우가 발생하자 어김없이 작은방과 거실의 천장과 외벽에 누수가 발생했습니다. 작은방은 네번째, 거실은 두번째입니다. LH 임대주택에 월세를 내고 살아온 5년간 총 8차례 하자 보수를 받았지만 지금도 생활이 어려운 상황입니다.""(지난해 10월 등록된 국민동의 청원 내용 중)
한국토지주택공사(LH)의 무량판 구조 지하주차장에서 잇달아 철근 누락이 발생하면서 LH 아파트 입주자들의 부실시공 우려가 커지는 가운데 최근 5년간 LH 아파트에서 발생한 하자가 25만건에 이르는 것으로 나타났다.
30일 국회 국토교통위원회 소속 더불어민주당 허영 의원이 LH로부터 받은 자료에 따르면 2018∼2022년 LH아파트에서 발생한 하자는 모두 25만199건이다.
연도별로 보면 2018년 2천561건, 2019년 1천748건, 2020년 2천337건으로 2020년까지는 수천건 수준이었으나, 2021년 11만5천392건, 지난해 12만8천161건으로 최근 2년 새 급증했다.
이처럼 하자 건수가 급증한 것은 2021년 주택법 개정 사항을 반영해 중대 하자뿐 아니라 상대적으로 하자 정도가 적은 일반 하자까지 집계 시 포함했기 때문이다.
건축물이나 배관 문제로 천정이나 벽체 누수 같은 생활에 심각한 지장을 초래하는 하자는 '중대 하자'로, 이를 제외한 나머지는 '일반 하자'로 분류된다. 창호 틈새 과다나 마루 들뜸, 싱크대 문짝 개폐 시 소음 등이 대표적이다.
특히 하자 발생 건수를 시공사별로 들여다보면 현대건설, 한화건설, DL건설 등 시공능력평가 상위권에 속한 건설사들이 하자발생률 상위권에 포함된 것으로 나타났다.
계속되는 보강 작업
(오산=연합뉴스) 홍기원 기자 = 3일 지하 주차장 무량판 구조 기둥 일부에 철근이 빠진 것으로 확인된 경기도 오산시의 한 LH 아파트에서 보강 작업이 진행되고 있다. 2023.8.3 xanadu@yna.co.kr
현대건설의 경우 충북 충주 소재 639세대 아파트에서 총 4천888건의 하자가 발생했다. 한 집에서 7.65건씩의 하자가 있었다는 의미다.
올해 시공능력평가 12위를 차지한 한화건설은 세대당 11.62건의 하자가 발생해 하자발생비율이 가장 높은 시공사로 지목됐다. 두산건설이 11.12건으로 그 뒤를 이었다.
허영 의원은 LH의 관리 감독 책임도 지적했다.
허 의원은 ""LH가 건설하는 아파트에서 이처럼 하자가 지속적으로 발생한다는 것은 국민 주거 안전을 위협하는 일""이라며 ""인천 검단 아파트 지하주차장 붕괴 사고의 근본 원인도 LH에 있다는 지적을 뒷받침하는 근거가 속속 밝혀지는 만큼 주무 부처인 국토교통부와 LH는 대대적인 개혁안을 마련해야 할 것""이라고 강조했다.
[그래픽] LH 아파트 하자 발생 시공사
(서울=연합뉴스) 김민지 기자 = minfo@yna.co.kr
트위터 @yonhap_graphics  페이스북 tuney.kr/LeYN1
[표] 2018∼2022년 LH 아파트 하자 발생 시공사 순위
lucid@yna.co.kr",아파트부실공사
SBS,“철근만부실한 게 아냐”…LH아파트하자 최근 5년간 25만건,네이버뉴스,https://n.news.naver.com/mnews/article/055/0001085635?sid=102,,SBS,"""철근만 부실한 게 아냐""…LH 아파트 하자 최근 5년간 25만 건","▲ 철근이 누락된 경기도 오산시 LH 아파트 현장에 보강 공사가 진행된 모습
""8월 초 폭우가 발생하자 어김없이 작은방과 거실의 천장과 외벽에 누수가 발생했습니다. 작은방은 네 번째, 거실은 두 번째입니다. LH 임대주택에 월세를 내고 살아온 5년간 총 8차례 하자 보수를 받았지만 지금도 생활이 어려운 상황입니다."" (지난해 10월 등록된 국민동의 청원 내용 중)
한국토지주택공사(LH)의 무량판 구조 지하주차장에서 잇달아 철근 누락이 발생하면서 LH 아파트 입주자들의 부실시공 우려가 커지는 가운데 최근 5년간 LH 아파트에서 발생한 하자가 25만 건에 이르는 것으로 나타났습니다.
오늘(30일) 국회 국토교통위원회 소속 더불어민주당 허영 의원이 LH로부터 받은 자료에 따르면 2018∼2022년 LH아파트에서 발생한 하자는 모두 25만199건입니다.
연도별로 보면 2018년 2천561건, 2019년 1천748건, 2020년 2천337건으로 2020년까지는 수천 건 수준이었으나, 2021년 11만5천392건, 지난해 12만8천161건으로 최근 2년 새 급증했습니다.
이처럼 하자 건수가 급증한 것은 2021년 주택법 개정 사항을 반영해 중대 하자뿐 아니라 상대적으로 하자 정도가 적은 일반 하자까지 집계 시 포함했기 때문입니다.
건축물이나 배관 문제로 천정이나 벽체 누수 같은 생활에 심각한 지장을 초래하는 하자는 '중대 하자'로, 이를 제외한 나머지는 '일반 하자'로 분류됩니다.
창호 틈새 과다나 마루 들뜸, 싱크대 문짝 개폐 시 소음 등이 대표적입니다.
특히 하자 발생 건수를 시공사별로 들여다보면 현대건설, 한화건설, DL건설 등 시공능력평가 상위권에 속한 건설사들이 하자발생률 상위권에 포함된 것으로 나타났습니다.
현대건설의 경우 충북 충주 소재 639세대 아파트에서 총 4천888건의 하자가 발생했습니다.
한 집에서 7.65건씩의 하자가 있었다는 의미입니다.
올해 시공능력평가 12위를 차지한 한화건설은 세대당 11.62건의 하자가 발생해 하자발생비율이 가장 높은 시공사로 지목됐습니다.
두산건설이 11.12건으로 그 뒤를 이었습니다.
허 의원은 ""LH가 건설하는 아파트에서 이처럼 하자가 지속적으로 발생한다는 것은 국민 주거 안전을 위협하는 일""이라며 ""인천 검단 아파트 지하주차장 붕괴 사고의 근본 원인도 LH에 있다는 지적을 뒷받침하는 근거가 속속 밝혀지는 만큼 주무 부처인 국토교통부와 LH는 대대적인 개혁안을 마련해야 할 것""이라고 강조했습니다.
(사진=연합뉴스)",아파트부실공사
조선비즈,“철근만부실한 게 아냐” LH아파트하자 5년간 25만건,네이버뉴스,https://n.news.naver.com/mnews/article/366/0000927894?sid=101,,조선비즈,“철근만 부실한 게 아냐” LH 아파트 하자 5년간 25만건,"현대·한화·DL건설 하자발생률 상위권
한국토지주택공사(LH) 공공아파트의 무량판 구조 지하주차장에서 잇달아 철근 누락이 발생하면서 부실시공 우려가 커지는 가운데 최근 5년간 LH 아파트에서 발생한 하자가 25만건에 이르는 것으로 나타났다.
30일 국회 국토교통위원회 소속 허영 더불어민주당 의원이 LH로부터 받은 자료에 따르면 2018∼2022년 LH아파트에서 발생한 하자는 모두 25만199건이다. 연도별로는 2018년 2561건, 2019년 1748건, 2020년 2337건으로 2020년까지는 수 천 건 수준이었으나, 2021년 11만5392건, 지난해 12만8161건으로 최근 2년 새 급증했다.
지난 28일 오후 충남 공주시 한국토지주택공사(LH) 공주월송 A4 아파트 지하주차장에서 보강 공사가 진행되고 있다./연합뉴스
하자 건수가 급증한 것은 2021년 주택법 개정 사항을 반영해 중대 하자뿐 아니라 상대적으로 하자 정도가 적은 일반 하자까지 집계 시 포함했기 때문이다. 건축물이나 배관 문제로 천정이나 벽체 누수 같은 생활에 심각한 지장을 초래하는 하자는 ‘중대 하자’로, 이를 제외한 나머지는 ‘일반 하자’로 분류된다. 창호 틈새 과다나 마루 들뜸, 싱크대 문짝 개폐 시 소음 등이 대표적이다.
특히 하자 발생 건수를 시공사별로 들여다보면 현대건설, 한화건설, DL건설 등 시공능력평가 상위권에 속한 건설사들이 하자발생률 상위권에 포함된 것으로 나타났다. 현대건설의 경우 충북 충주 소재 639가구 아파트에서 총 4888건의 하자가 발생했다. 한 집에서 7.65건씩의 하자가 있었다는 의미다. 올해 시공능력평가 12위를 차지한 한화건설은 가구당 11.62건의 하자가 발생해 하자발생비율이 가장 높은 시공사로 지목됐다. 두산건설이 11.12건으로 그 뒤를 이었다.
허영 의원은 “LH가 건설하는 아파트에서 이처럼 하자가 지속적으로 발생한다는 것은 국민 주거 안전을 위협하는 일”이라면서 “인천 검단 아파트 지하주차장 붕괴 사고의 근본 원인도 LH에 있다는 지적을 뒷받침하는 근거가 속속 밝혀지는 만큼 주무 부처인 국토교통부와 LH는 대대적인 개혁안을 마련해야 할 것”이라고 했다.",아파트부실공사
조선비즈,“철근만 누락한 게 아니네” LH아파트하자 5년간 25만건,네이버뉴스,https://n.news.naver.com/mnews/article/366/0000927894?sid=101,,조선비즈,“철근만 부실한 게 아냐” LH 아파트 하자 5년간 25만건,"현대·한화·DL건설 하자발생률 상위권
한국토지주택공사(LH) 공공아파트의 무량판 구조 지하주차장에서 잇달아 철근 누락이 발생하면서 부실시공 우려가 커지는 가운데 최근 5년간 LH 아파트에서 발생한 하자가 25만건에 이르는 것으로 나타났다.
30일 국회 국토교통위원회 소속 허영 더불어민주당 의원이 LH로부터 받은 자료에 따르면 2018∼2022년 LH아파트에서 발생한 하자는 모두 25만199건이다. 연도별로는 2018년 2561건, 2019년 1748건, 2020년 2337건으로 2020년까지는 수 천 건 수준이었으나, 2021년 11만5392건, 지난해 12만8161건으로 최근 2년 새 급증했다.
지난 28일 오후 충남 공주시 한국토지주택공사(LH) 공주월송 A4 아파트 지하주차장에서 보강 공사가 진행되고 있다./연합뉴스
하자 건수가 급증한 것은 2021년 주택법 개정 사항을 반영해 중대 하자뿐 아니라 상대적으로 하자 정도가 적은 일반 하자까지 집계 시 포함했기 때문이다. 건축물이나 배관 문제로 천정이나 벽체 누수 같은 생활에 심각한 지장을 초래하는 하자는 ‘중대 하자’로, 이를 제외한 나머지는 ‘일반 하자’로 분류된다. 창호 틈새 과다나 마루 들뜸, 싱크대 문짝 개폐 시 소음 등이 대표적이다.
특히 하자 발생 건수를 시공사별로 들여다보면 현대건설, 한화건설, DL건설 등 시공능력평가 상위권에 속한 건설사들이 하자발생률 상위권에 포함된 것으로 나타났다. 현대건설의 경우 충북 충주 소재 639가구 아파트에서 총 4888건의 하자가 발생했다. 한 집에서 7.65건씩의 하자가 있었다는 의미다. 올해 시공능력평가 12위를 차지한 한화건설은 가구당 11.62건의 하자가 발생해 하자발생비율이 가장 높은 시공사로 지목됐다. 두산건설이 11.12건으로 그 뒤를 이었다.
허영 의원은 “LH가 건설하는 아파트에서 이처럼 하자가 지속적으로 발생한다는 것은 국민 주거 안전을 위협하는 일”이라면서 “인천 검단 아파트 지하주차장 붕괴 사고의 근본 원인도 LH에 있다는 지적을 뒷받침하는 근거가 속속 밝혀지는 만큼 주무 부처인 국토교통부와 LH는 대대적인 개혁안을 마련해야 할 것”이라고 했다.",아파트부실공사
조선일보,"""철근만 빠진 게 아니었다""… LH아파트하자 최근 5년간 25만건",네이버뉴스,https://n.news.naver.com/mnews/article/023/0003784689?sid=101,,조선일보,“철근만 누락한 게 아니네” LH 아파트 하자 5년간 25만건,"경찰이 한국토지주택공사(LH)가 발주한 아파트의 철근 누락 의혹 수사와 관련해 29일 경남 진주시 LH 본사 및 경기도 성남시 LH 경기남부지역본부를 비롯한 지역본부·사업소 등에 대해 동시 압수수색 영장을 집행했다. 사진은 이날 압수수색이 진행중인 경기도 성남시 분당구 LH 경기남부지역본부 모습. /뉴시스
한국토지주택공사(LH) 아파트에서 최근 5년간 발생한 하자가 25만건에 이르는 것으로 집계됐다. 무량판 구조 지하주차장에서 철근 누락이 발생해 부실 시공 우려가 커지는 가운데 다른 하자 역시 급증한 것이다.
그래픽=조선디자인랩 권혜인
30일 국회 국토교통위원회 소속 더불어민주당 허영 의원이 LH로부터 받은 자료에 따르면, 2018~2022년 LH아파트에서 발생한 하자는 모두 25만199건으로 집계됐다. 2018년 2561건, 2019년 1748건, 2020년 2337건으로 2020년까지는 수천건 수준이었으나, 2021년 11만5392건, 지난해 12만8161건으로 최근 2년 새 급증했다.
이처럼 하자 건수가 급증한 것은 2021년 주택법 개정 사항을 반영해 중대 하자뿐 아니라 상대적으로 하자 정도가 적은 일반 하자까지 집계 시 포함했기 때문으로 풀이된다. 건축물이나 배관 문제로 천정이나 벽체 누수 같은 생활에 심각한 지장을 초래하는 하자는 ‘중대 하자’로, 이를 제외한 나머지는 ‘일반 하자’로 분류된다. 창호 틈새 과다나 마루 들뜸, 싱크대 문짝 개폐 시 소음 등이 대표적이다.
하자 발생 건수를 시공사별로 보면 한화건설이 세대당 11.62건의 하자가 발생해 하자발생비율이 가장 높은 시공사로 나타났다. 두산건설(11.12건), 신동아건설(9.24건), 한진중공업 건설부문(9.13건), 쌍용건설(8.84건) 등이 뒤를 이었다.",아파트부실공사
노컷뉴스,"'LH부실공사' 감리업체, 안전평가서도 문제점 수두룩",네이버뉴스,https://n.news.naver.com/mnews/article/079/0003807218?sid=101,,노컷뉴스,"'LH부실공사' 감리업체, 안전평가서도 문제점 수두룩","'안전관리 수준평가 참여' LH부실공사 단지 7개 감리업체 중 3곳은 미흡·매우 미흡
""공공건설 공사업체 평가제도, 인센티브 있지만 미흡업체 규제사항 없어""
연합뉴스
LH 부실공사로 지적된 단지의 감리업체들이 안전관리 평가에서도 다수의 문제점이 발견된 것으로 나타났다. 인센티브는 있지만 규제사항은 없는 공공건설 공사업체 평가제도를 손봐야 한다는 지적이 나온다.
30일 국회 국토교통위원회 소속 국민의힘 유경준 의원이 국토안전관리원로부터 제출 받은 2022년 안전관리 수준평가 세부평가표를 분석한 결과 LH 부실공사로 지적된 단지의 감리업체들이 국토부 '안전관리 수준평가' 에서도 다수의 문제점이 발견됐다.
2022년 안전관리 수준평가에 참여한 LH 부실공사 단지 7개 감리업체 중 3곳은 '미흡', '매우 미흡' 등급을 받았고, '보통' 등급을 받은 3곳도 세부 평가내용에 미흡한 부분이 다수 발견됐다.
'안전관리 수준평가'는 총공사비 200 억원 이상의 공공 건설공사 참여자를 대상으로 평가를 벌인다. 발주청과 리 (건설사업관리용역사업자), 시공사를 대상으로 평가해 △매우 우수 △우수 △보통 △미흡 △매우 미흡으로 등급을 부여한다. 이번 LH 부실공사에 참여한 일부 감리업체와 시공사도 대상이 돼 평가를 받은 바 있다.
국민의힘 유경준 의원실 제공
최근 지하주차장 붕괴사고가 난 LH 검단 아파트 공사에 참여한 감리업체를 포함해 총 7개 감리업체가 2022년 안전관리 수준평가 대상으로 평가를 받았는데 평가 결과를 보면 '우수' 등급을 받은 업체는 단 1 곳에 불과했다. 1개 업체는 미흡, 2개 업체는 매우 미흡 등급 을 받았고, 나머지 3개 업체는 보통 등급을 받았지만, 세부 평가내용을 보면 미흡한 부분이 다수 발견 됐다 .
구체적으로 감리업무를 제대로 하지 않아 지하주차장 붕괴사고가 발생한 것으로 알려진 LH 검단 아파트 공사에 참여한 C감리업체는 '지정된 안전 담당자의 안전자격 보유 여부', '시공자가 실시하는 정기·정밀안전점검 확인여부', '취약공종에 대한 기술지원 여부' 등 다수의 평가 항목에서 0점을 받았다 .
보통 등급을 받은 나머지 2개 업체들도 '지정된 안전담당자의 안전자격 보유 여부', '자발적인 안전관리 활동 지원실적 여부' 등의 평가 항목 에서 최하점을 받은 것으로 나타났다 .
안전관리 수준평가에서 낮은 평가를 받은 부실 업체들이 이후에도 LH 아파트 건설공사에 참여할 수 있었던 이유는 안전관리 수준평가 제도가 자발적인 안전관리 활동 강화 노력을 유도하는데 목적이 있어 우수업체들에 대한 인센티브만 있을 뿐 미흡 업체들에 대한 규제 사항이 없기 때문이다.
유경준 의원은 ""안전관리 수준평가가 LH 업체 선정 시 반영됐다면 이런 부실 업체들이 감리업체로 선정되진 않았을 것""이라며 ""공공 건설공사의 신뢰성 회복을 위해 안전관리 수준평가를 더욱 전문화하고, 이를 향후 공공 건설 입찰 심사에 반영하는 제도 개선이 필요하다""고 강조했다.
※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.
이메일 :
jebo@cbs.co.kr
카카오톡 :
@노컷뉴스
사이트 :
https://url.kr/b71afn",아파트부실공사
