press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
한국경제TV,"""왜예금만"" 불만에…은행 대출금리더 떨어진다",네이버뉴스,https://n.news.naver.com/mnews/article/215/0001077406?sid=101,,한국경제TV,"""왜 예금만"" 불만에…은행 대출금리 더 떨어진다","한국은행이 기준금리를 0.25%포인트(p) 올렸지만 이번 주 은행권 대출금리는 반대로 더 떨어질 전망이다.
15일 금융권에 따르면 지난 13일 기준 4대 시중은행(KB국민·신한·하나·우리)의 주택담보대출 변동금리(신규 취급액 코픽스 연동)는 연 4.780∼7.410% 수준이다. 이번 주에는 여기에서 0.1%포인트 이상 떨어질 것이 확실시된다.
변동금리는 주로 코픽스(COFIX·자금조달비용지수)를 따르는데, 다음주 초 발표될 예정인 작년 12월 기준 코픽스가 지난달 예금 금리 하락을 반영해 낮아질 가능성이 크기 때문이다. 기준금리, 시장금리 상승으로 지난해 11월 5%를 넘어섰던 예금 금리는 최근 4%대로 내려왔고, 일부 은행 상품의 경우 3%대 후반까지 하락한 상태다.
주택담보대출 혼합형(고정) 금리(은행채 5년물 기준. 13일 4.630∼6.960%)와 신용대출 금리(은행채 1년물 기준. 13일 5.492∼6.660%)도 0.3%포인트 안팎 인하될 전망이다.
금융투자협회 채권정보센터에 따르면 주담대 혼합형과 신용대출의 지표 금리인 은행채 5년물과 1년물의 금리가 최근 1주일새 각 0.394%포인트(6일 4.527%→13일 3.918%), 0.186%포인트(4.104%→3.918%) 내렸기 때문이다.
잇단 자진 금리 인하의 공식 명분은 취약계층 이자 부담 완화지만, ""예대 금리 차이가 크다""는 여론·금융당국·정치권의 지적도 영향을 미친 것으로 해석된다. 시장 금리 하락에 이런 눈치 보기가 겹쳐 최근 불과 1주일(6∼13일) 사이 4대 은행의 주택담보대출 변동금리 상단은 0.7%포인트(8.110→7.410%)나 급락했다.
1주일새 은행채 1년물 금리가 0.4%포인트 가까이 떨어졌다면 예금 금리도 비슷한 폭으로 낮춰야 하지만, 오히려 현재 상당수 은행은 조만간 예금 금리를 올리는 방안을 검토하고 있다.
시장 금리를 거슬러 예금 금리 인상을 논의하는 자체도 ""대출 금리만 오르고 예금 금리는 떨어진다""는 외부 비난과 무관하지 않다는 게 은행권의 설명이다.
정부는 앞서 지난해 7월부터 월별 예대금리차 공시까지 도입하면서 은행의 예금금리 인상을 독려해왔다. 여기에 11월 채권시장을 중심으로 자금 경색 사태가 심각해지자 회사채 발행 위축을 우려한 당국은 은행채 발행을 사실상 막았고, 은행은 유일한 자금 조달원으로서 예금의 금리를 더 높일 수밖에 없었다.
결국 은행권의 정기예금 금리가 5%를 넘어섰고, 상승분이 그대로 코픽스에 반영되면서 12월부터 적용된 코픽스(4.34%)는 한 달 새 0.36%포인트나 뛰어 사상 최고 수준에 이르렀다. 코픽스 구성 요소 가운데 코픽스 변동에 영향을 미치는 비중을 따지면 예·적금이 70∼80%에 이른다.
그러자 당국은 ""금융권의 과도한 자금확보 경쟁은 금융시장 안정에 교란 요인""이라며 예금 금리 인상을 자제하라고 당부하고 나섰다.
한 시중은행 관계자는 ""기준금리와 시장금리, 은행 예금·대출 금리가 자연스럽게 연쇄적으로 영향을 미치도록 놔뒀더라면 오히려 예대금리차가 지금보다 줄었을 수도 있다""며 ""자금경색 사태와 당국 개입으로 금리 체계가 꼬인 느낌""이라고 말했다.
최근 변동금리가 고정금리를 웃도는 것도 같은 맥락에서 이례적 현상이다. 일반적으로는 미래 불확실성 탓에 채권 장기물 금리가 단기물보다 높아 고정금리가 우위지만, 자금경색으로 작년 말 장·단기 금리가 역전된데다 예금 금리 급등의 여파로 변동금리의 기준인 코픽스가 치솟은 결과다.
(사진=연합뉴스)",예금금리
한국경제TV,[따로노는금리정책] 정기예금등돌리는 `금리노마드족`,네이버뉴스,https://n.news.naver.com/mnews/article/215/0001077406?sid=101,,한국경제TV,"""왜 예금만"" 불만에…은행 대출금리 더 떨어진다","한국은행이 기준금리를 0.25%포인트(p) 올렸지만 이번 주 은행권 대출금리는 반대로 더 떨어질 전망이다.
15일 금융권에 따르면 지난 13일 기준 4대 시중은행(KB국민·신한·하나·우리)의 주택담보대출 변동금리(신규 취급액 코픽스 연동)는 연 4.780∼7.410% 수준이다. 이번 주에는 여기에서 0.1%포인트 이상 떨어질 것이 확실시된다.
변동금리는 주로 코픽스(COFIX·자금조달비용지수)를 따르는데, 다음주 초 발표될 예정인 작년 12월 기준 코픽스가 지난달 예금 금리 하락을 반영해 낮아질 가능성이 크기 때문이다. 기준금리, 시장금리 상승으로 지난해 11월 5%를 넘어섰던 예금 금리는 최근 4%대로 내려왔고, 일부 은행 상품의 경우 3%대 후반까지 하락한 상태다.
주택담보대출 혼합형(고정) 금리(은행채 5년물 기준. 13일 4.630∼6.960%)와 신용대출 금리(은행채 1년물 기준. 13일 5.492∼6.660%)도 0.3%포인트 안팎 인하될 전망이다.
금융투자협회 채권정보센터에 따르면 주담대 혼합형과 신용대출의 지표 금리인 은행채 5년물과 1년물의 금리가 최근 1주일새 각 0.394%포인트(6일 4.527%→13일 3.918%), 0.186%포인트(4.104%→3.918%) 내렸기 때문이다.
잇단 자진 금리 인하의 공식 명분은 취약계층 이자 부담 완화지만, ""예대 금리 차이가 크다""는 여론·금융당국·정치권의 지적도 영향을 미친 것으로 해석된다. 시장 금리 하락에 이런 눈치 보기가 겹쳐 최근 불과 1주일(6∼13일) 사이 4대 은행의 주택담보대출 변동금리 상단은 0.7%포인트(8.110→7.410%)나 급락했다.
1주일새 은행채 1년물 금리가 0.4%포인트 가까이 떨어졌다면 예금 금리도 비슷한 폭으로 낮춰야 하지만, 오히려 현재 상당수 은행은 조만간 예금 금리를 올리는 방안을 검토하고 있다.
시장 금리를 거슬러 예금 금리 인상을 논의하는 자체도 ""대출 금리만 오르고 예금 금리는 떨어진다""는 외부 비난과 무관하지 않다는 게 은행권의 설명이다.
정부는 앞서 지난해 7월부터 월별 예대금리차 공시까지 도입하면서 은행의 예금금리 인상을 독려해왔다. 여기에 11월 채권시장을 중심으로 자금 경색 사태가 심각해지자 회사채 발행 위축을 우려한 당국은 은행채 발행을 사실상 막았고, 은행은 유일한 자금 조달원으로서 예금의 금리를 더 높일 수밖에 없었다.
결국 은행권의 정기예금 금리가 5%를 넘어섰고, 상승분이 그대로 코픽스에 반영되면서 12월부터 적용된 코픽스(4.34%)는 한 달 새 0.36%포인트나 뛰어 사상 최고 수준에 이르렀다. 코픽스 구성 요소 가운데 코픽스 변동에 영향을 미치는 비중을 따지면 예·적금이 70∼80%에 이른다.
그러자 당국은 ""금융권의 과도한 자금확보 경쟁은 금융시장 안정에 교란 요인""이라며 예금 금리 인상을 자제하라고 당부하고 나섰다.
한 시중은행 관계자는 ""기준금리와 시장금리, 은행 예금·대출 금리가 자연스럽게 연쇄적으로 영향을 미치도록 놔뒀더라면 오히려 예대금리차가 지금보다 줄었을 수도 있다""며 ""자금경색 사태와 당국 개입으로 금리 체계가 꼬인 느낌""이라고 말했다.
최근 변동금리가 고정금리를 웃도는 것도 같은 맥락에서 이례적 현상이다. 일반적으로는 미래 불확실성 탓에 채권 장기물 금리가 단기물보다 높아 고정금리가 우위지만, 자금경색으로 작년 말 장·단기 금리가 역전된데다 예금 금리 급등의 여파로 변동금리의 기준인 코픽스가 치솟은 결과다.
(사진=연합뉴스)",예금금리
디지털타임스,기준금리 인상에도 은행 대출금리 0.3%p 더 떨어진다…예금금리는 ↑,네이버뉴스,https://n.news.naver.com/mnews/article/029/0002778728?sid=101,,디지털타임스,[따로노는 금리정책] 정기예금 등돌리는 `금리 노마드족`,"당국 압박에 5%대 예금상품 실종
지난달 정기예금 잔액 15조 감소
주요 은행 예금 금리가 3%대로 하락해 저축은행 파킹통장으로 자금이 몰리고 있다. 연합뉴스
한국은행 기준금리 인상에도 은행권이 예·적금 금리를 올리지 않자 이른바 '금리 노마드족'이 정기예금을 떠나고 있다.
15일 금융권에 따르면 13일 기준 KB국민·신한·하나·우리·NH농협은행 등 5대 은행의 대표 예금 상품(1년 만기) 최고 금리는 연 3.81~4.1%에 불과하다. 지난해 말 5%대에 달했던 주요 은행 예금 금리는 대출 금리 상승을 우려한 당국 압박에 4%대로 떨어졌고, 최근 은행채 금리 하향세까지 더해져 3%대 후반까지 내려앉았다. 지난 12일 기준 금융채 1년물(무보증·AAA) 금리는 3.953%로, 일주일 전인 5일(4.104%p) 대비 0.151%포인트 낮아졌다. 채권금리가 정점이었던 지난해 10월21일(4.826%)와 비교하면 1%포인트 가까이 하락한 것이다.
이에 따라 은행들이 예·적금을 통해 대출 여력을 확보할 필요가 없어지면서 예금 금리 하락을 부추기고 있는 것이다. 금융권 관계자는 ""금융채 금리는 최근 기준금리가 고점에 다다랐다는 시장 기대감을 반영해 추가 하락세가 예상된다""고 했다.
지난해 3월 이후 처음으로 줄어든 정기예금 잔액도 감소세가 이어질 것으로 보인다. 지난해 12월 말 기준 5대 은행 정기예금 잔액은 818조4366억원으로 전달 말 대비 8조8620억원 줄었다. 월말 기준 정기예금 잔액 감소는 지난해 3월말 이후 9개월 만이다.
반면 인터넷 전문은행과 저축은행 파킹통장은 인기를 끌고 있다. 이날 기준 저축은행 12개월 예금 상품의 평균 금리는 연 5.17%로, 평균 금리가 가장 높았던 지난해 11월 말(연 5.53%)과 비교하면 약 0.36%포인트 내렸다. 3개월 전만 해도 저축은행 업계는 최고 연 6.5%에 육박하는 금리의 예금 상품을 출시하며 자금을 끌어모았다. 그러나 최근 시중은행이 예금 금리를 내리면서 점차 예금 금리를 낮추고 있다. 현재 저축은행의 12개월 예금 최고 금리는 5.5%대에 형성돼 있다. 대신 저축은행들은 4.0~5.5% 금리대 파킹통장을 선보이고 있다. 예금보다 금리 부담이 적으면서도 고객 확보가 가능하기 때문이다. 예·적금은 상품 가입 기간에 따라 약정된 이자를 지급해야 하지만,  파킹통장의 금리는 시중금리의 추이에 따라 수시로 바꿀 수 있다는 특징이 있다. 다른 저축은행 관계자는 ""파킹통장은 수시로 입출금이 가능하기 때문에 자금 운용에는 어려움이 있다""며 ""시중은행보다 높은 금리로 고객 수를 확보하는 차원""이라고 설명했다. 문",예금금리
뉴스1,"예금금리고점왔나…""만기 긴, 고금리 특판 노려라""",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006576743?sid=101,,뉴스1,"예금금리 고점왔나…""만기 긴, 고금리 특판 노려라""","기준금리 인상에도 은행들 수신금리 인상 결정 유보
자금 수급상황 따라 특판 위주로 고금리 상품 출시할 듯
ⓒ News1 DB
(서울=뉴스1) 한유주 기자 = 금융통화위원회의 기준금리 인상에도 은행들이 수신금리를 곧장 올리지 않으면서 소비자들의 고민이 깊어지고 있다. 자금조달에 여유가 생긴 은행들이 공격적인 수신금리 인상을 자제할 것으로 전망돼, 예적금 투자 전략에도 변화가 필요할 것으로 보인다.
15일 금융권에 따르면 지난 13일 한국은행의 기준금리 인상에도 주요 시중은행들은 예적금 금리를 즉각 올리지 않고 있다. 이른 시일 안에 금리 인상 여부를 정하겠다는 곳도 있지만, 현재로선 수신금리를 올릴 유인이 크지 않다는 의견이 지배적이다.
지난해 한은이 기준금리를 올릴 때마다 은행들은 수신금리를 경쟁적으로 인상했다. 하지만 직전 금통위가 있었던 지난해 11월을 계기로 분위기가 반전됐다. 금융당국이 자금시장과 대출금리 안정을 위해 사실상 수신금리 인상 자제령을 내렸기 때문이다.
해가 바뀌고 자금시장이 안정을 찾아가며 은행들이 금리를 올릴 유인은 더 떨어졌다. 은행채 발행이 재개됐고, 시장금리가 하락하면서 자금 확보에 여력이 생겼다. 반면 부동산 시장 침체와 고금리의 영향으로 가계대출 수요는 줄고 있다. 그 결과 지난해 하반기 5%를 돌파했던 시중은행 정기예금 금리는 3~4%대로 주저앉았다.
앞으로 예적금 가입을 원하는 소비자들은 어떤 전략을 취해야 할까. 우선 산발적으로 출시될 가능성이 높은 고금리 특판 상품을 예의주시할 필요가 있다. 은행의 자금수급 상황은 가변적이라 고객 이탈을 막기 위해 특판 형태로 고금리 상품을 내놓을 수 있기 때문이다.
금리 인상세가 정점을 향해 가는 만큼 만기가 긴 상품으로 눈을 돌리는 전략도 조금씩 고려해볼 만하다. 금리 급등기에는 금리 인상분을 그때그때 반영하기 위한 전략으로 초단기·단기 상품이 유리했을지 몰라도, 앞으로는 하락세에 대비해 만기가 긴 상품에도 관심을 가질 필요가 있다.
은행권 관계자는 ""고객 유출 가능성과 시장 변동성 등 여러 변수가 있기 때문에 현재의 수신금리 기조가 언제까지 이어질지는 장담할 수 없다""면서도 ""지금처럼 수신금리를 굳이 올릴 필요가 없는 상황이 계속된다면 은행들이 앞다퉈 수신금리를 올리는 일은 거의 없을 것이고, 금리를 올리더라도 특판이나 적금 상품 위주로 올릴 가능성이 높다""고 전망했다.",예금금리
뉴스1,"기준금리 올랐지만, 은행들은예금금리인상에 '머뭇'",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006576743?sid=101,,뉴스1,"예금금리 고점왔나…""만기 긴, 고금리 특판 노려라""","기준금리 인상에도 은행들 수신금리 인상 결정 유보
자금 수급상황 따라 특판 위주로 고금리 상품 출시할 듯
ⓒ News1 DB
(서울=뉴스1) 한유주 기자 = 금융통화위원회의 기준금리 인상에도 은행들이 수신금리를 곧장 올리지 않으면서 소비자들의 고민이 깊어지고 있다. 자금조달에 여유가 생긴 은행들이 공격적인 수신금리 인상을 자제할 것으로 전망돼, 예적금 투자 전략에도 변화가 필요할 것으로 보인다.
15일 금융권에 따르면 지난 13일 한국은행의 기준금리 인상에도 주요 시중은행들은 예적금 금리를 즉각 올리지 않고 있다. 이른 시일 안에 금리 인상 여부를 정하겠다는 곳도 있지만, 현재로선 수신금리를 올릴 유인이 크지 않다는 의견이 지배적이다.
지난해 한은이 기준금리를 올릴 때마다 은행들은 수신금리를 경쟁적으로 인상했다. 하지만 직전 금통위가 있었던 지난해 11월을 계기로 분위기가 반전됐다. 금융당국이 자금시장과 대출금리 안정을 위해 사실상 수신금리 인상 자제령을 내렸기 때문이다.
해가 바뀌고 자금시장이 안정을 찾아가며 은행들이 금리를 올릴 유인은 더 떨어졌다. 은행채 발행이 재개됐고, 시장금리가 하락하면서 자금 확보에 여력이 생겼다. 반면 부동산 시장 침체와 고금리의 영향으로 가계대출 수요는 줄고 있다. 그 결과 지난해 하반기 5%를 돌파했던 시중은행 정기예금 금리는 3~4%대로 주저앉았다.
앞으로 예적금 가입을 원하는 소비자들은 어떤 전략을 취해야 할까. 우선 산발적으로 출시될 가능성이 높은 고금리 특판 상품을 예의주시할 필요가 있다. 은행의 자금수급 상황은 가변적이라 고객 이탈을 막기 위해 특판 형태로 고금리 상품을 내놓을 수 있기 때문이다.
금리 인상세가 정점을 향해 가는 만큼 만기가 긴 상품으로 눈을 돌리는 전략도 조금씩 고려해볼 만하다. 금리 급등기에는 금리 인상분을 그때그때 반영하기 위한 전략으로 초단기·단기 상품이 유리했을지 몰라도, 앞으로는 하락세에 대비해 만기가 긴 상품에도 관심을 가질 필요가 있다.
은행권 관계자는 ""고객 유출 가능성과 시장 변동성 등 여러 변수가 있기 때문에 현재의 수신금리 기조가 언제까지 이어질지는 장담할 수 없다""면서도 ""지금처럼 수신금리를 굳이 올릴 필요가 없는 상황이 계속된다면 은행들이 앞다퉈 수신금리를 올리는 일은 거의 없을 것이고, 금리를 올리더라도 특판이나 적금 상품 위주로 올릴 가능성이 높다""고 전망했다.",예금금리
중앙일보,기준금리 올려도 은행예금금리'요지부동'… 인상 망설이는 이유는,네이버뉴스,https://n.news.naver.com/mnews/article/025/0003253390?sid=101,,중앙일보,"기준금리 올랐지만, 은행들은 예금금리 인상에 '머뭇'","한국은행 금융통화위원회가 지난 13일 기준금리를 0.25%포인트 올렸지만, 시중은행은 예금금리 인상에 뜸을 들이고 있다.
15일 은행권에 따르면 은행권의 예금금리 인상 여부는 이르면 이번 주 중반쯤에나 결정될 전망이다. KB국민ㆍ신한ㆍ하나ㆍ우리ㆍNH농협 등 5대 시중은행은 “한은의 기준금리 인상분과 시장 상황 등을 종합적으로 고려해 수신상품 금리의 인상 시기와 폭을 빠른 시일 내에 결정할 예정”이라며 “당장 수신 금리를 인상할 계획은 없다”고 입을 모았다.
그래픽=김현서 kim.hyeonseo12@joongang.co.kr
지난해 한은이 기준금리를 올릴 때마다 빠르면 당일 정기예금과 적금 등 수신 금리 인상 소식을 알린 것과 비교하면 다른 모습이다. 지난해 10월 기준금리가 0.5%포인트 인상됐을 때만 해도 시중은행은 즉시 최대 1%에 이르는 수신금리 인상을 발표한 바 있다.
이는 우선 자금시장이 안정을 찾아가며 은행들이 금리를 올릴 유인이 떨어졌기 때문으로 해석된다. 은행채 발행이 재개됐고, 시장금리가 하락하면서 자금 확보에 여력이 생겼다. 반면 부동산 시장 침체와 고금리의 영향으로 가계대출 수요는 줄고 있다.
여기에 금융당국의 금리 인상 자제령도 한몫하고 있다. 금융당국은 주택담보대출(주담대) 금리 급등의 원인이 은행권의 수신금리 인상 경쟁이라고 보고 인상 자제를 요구하고 있다. 이에 따라 당분간 은행권의 예금 금리는 큰 폭의 변화가 없을 가능성이 크다.
한 시중은행 고위 관계자는 “지금 같은 상황이 이어진다면 은행이 예금금리를 올리더라도 이자비용 부담이 적은 특판이나 적금 상품 위주로 올릴 것”이라며 “다만 고객 이탈 가능성과 시장 변동성 등의 변수가 있기 때문에 상황은 언제든지 달라질 수 있다”라고 말했다.",예금금리
한국경제,"연 5% 주는 정기예금, 저축은행엔 남아있네",네이버뉴스,https://n.news.naver.com/mnews/article/015/0004799568?sid=101,,한국경제,"연 5% 주는 정기예금, 저축은행엔 남아있네","짠테크 & 핀테크
한화저축銀 'e뱅킹 예금'
금리 年 5.5% 적용
부산은행 예금도 5%대
예금금리, 정점 후 하락세
빨리 가입하는 게 유리
Getty Images Bank
한동안 고공행진하던 금융권 정기예금 금리가 빠르게 떨어지고 있다. 지난해 11월까지만 해도 많던 최고금리 연 6%대 상품은 거의 자취를 감춘 상황이다. 예금 금리가 계속 하락하는 추세지만 지금도 특별한 우대금리 조건 없이 연 5%대 금리를 적용하는 정기예금 상품이 있다.
저축은행들의 1년 만기 정기예금 평균 금리는 연 5.25%로 작년 11월과 비교해 0.28%포인트 내려갔다. 웰컴저축은행은 지난 10일 ‘e-정기예금’ 금리를 연 5.2%에서 0.2%포인트 낮췄다. 같은날 JT저축은행도 연 5.5%이던 회전식정기예금 금리를 연 5.3%로 인하했다. 하나저축은행 역시 ‘세바퀴 정기예금’ 금리를 연 5.3%로 이전보다 0.2%포인트 내리며 금리 인하 행렬에 동참했다.
현재 저축은행 정기예금 중에선 금리 연 5.5%의 한화저축은행 ‘e뱅킹 정기예금(단리식)’을 제외하고는 금리가 연 5.5%를 넘는 상품을 찾기 어렵다. 1년 만기 상품은 아니지만 1년이 지난 후 해지하면 중도해지이율이 아닌 기본금리가 보장되는 상품을 노려보는 것도 나쁘지 않다. 상상인저축은행의 ‘뱅뱅뱅 회전정기예금’은 2년 이상 가입 조건이지만 1년 단위인 회전주기가 돌아온 뒤 해지하면 연 5.4%의 기본금리가 적용된다.
대다수 시중은행이 정기예금 금리를 연 3%대까지 낮췄지만 여전히 1금융권에서도 연 5% 안팎 금리를 주는 예금 상품이 있다. 부산은행의 특판 상품인 ‘올해는예금(시즌3)’도 연 5% 금리를 적용한다. 1년 만기 기준 기본금리는 연 3.1%지만 1년 만기로 가입하면 자동으로 1.6%포인트의 우대금리가 추가되고 신규 고객은 0.2%포인트, 오픈뱅킹에 가입한 뒤 만기까지 유지하면 0.1%포인트가 추가된다.
인터넷전문은행 케이뱅크의 대표 정기예금 상품인 ‘코드K정기예금’은 금리가 연 4.7%다. 우대금리 조건도 따로 없어 1년 만기로 가입하면 연 4.7% 기본금리를 보장받을 수 있다. 안정성이 높다고 평가받는 특수은행들도 시중은행에 비해 높은 금리를 제공한다. 산업은행의 ‘KDB Hi 정기예금’은 기본 연 4.9%, SC제일은행의 ‘e 그린세이브예금’은 우대금리 0.2%포인트를 포함해 최고 연 4.9%를 적용한다. 저축은행과 비교해서도 금리 차이가 크지 않다는 점에서 매력적이란 평가다.
정기예금 금리는 정점을 찍고 앞으로도 하향곡선을 그릴 가능성이 크다는 점에서 빨리 가입하는 게 유리할 수 있다. 금융권 예금 금리는 지난해 10~11월 정점을 찍었다. 은행을 향한 금융당국의 예금 금리 인상 경쟁 자제령에 조금씩 떨어지고 있다. 지난 13일 한국은행 금융통화위원회가 기준금리를 0.25%포인트 올린 가운데 기준금리가 추가로 인상되면 예금 금리가 반등할 가능성은 있다.",예금금리
한국경제,[1월 3주] 저축은행 정기예금(12개월) 최고 연 5.5%…평균금리0.12%p 하...,네이버뉴스,https://n.news.naver.com/mnews/article/015/0004799568?sid=101,,한국경제,"연 5% 주는 정기예금, 저축은행엔 남아있네","짠테크 & 핀테크
한화저축銀 'e뱅킹 예금'
금리 年 5.5% 적용
부산은행 예금도 5%대
예금금리, 정점 후 하락세
빨리 가입하는 게 유리
Getty Images Bank
한동안 고공행진하던 금융권 정기예금 금리가 빠르게 떨어지고 있다. 지난해 11월까지만 해도 많던 최고금리 연 6%대 상품은 거의 자취를 감춘 상황이다. 예금 금리가 계속 하락하는 추세지만 지금도 특별한 우대금리 조건 없이 연 5%대 금리를 적용하는 정기예금 상품이 있다.
저축은행들의 1년 만기 정기예금 평균 금리는 연 5.25%로 작년 11월과 비교해 0.28%포인트 내려갔다. 웰컴저축은행은 지난 10일 ‘e-정기예금’ 금리를 연 5.2%에서 0.2%포인트 낮췄다. 같은날 JT저축은행도 연 5.5%이던 회전식정기예금 금리를 연 5.3%로 인하했다. 하나저축은행 역시 ‘세바퀴 정기예금’ 금리를 연 5.3%로 이전보다 0.2%포인트 내리며 금리 인하 행렬에 동참했다.
현재 저축은행 정기예금 중에선 금리 연 5.5%의 한화저축은행 ‘e뱅킹 정기예금(단리식)’을 제외하고는 금리가 연 5.5%를 넘는 상품을 찾기 어렵다. 1년 만기 상품은 아니지만 1년이 지난 후 해지하면 중도해지이율이 아닌 기본금리가 보장되는 상품을 노려보는 것도 나쁘지 않다. 상상인저축은행의 ‘뱅뱅뱅 회전정기예금’은 2년 이상 가입 조건이지만 1년 단위인 회전주기가 돌아온 뒤 해지하면 연 5.4%의 기본금리가 적용된다.
대다수 시중은행이 정기예금 금리를 연 3%대까지 낮췄지만 여전히 1금융권에서도 연 5% 안팎 금리를 주는 예금 상품이 있다. 부산은행의 특판 상품인 ‘올해는예금(시즌3)’도 연 5% 금리를 적용한다. 1년 만기 기준 기본금리는 연 3.1%지만 1년 만기로 가입하면 자동으로 1.6%포인트의 우대금리가 추가되고 신규 고객은 0.2%포인트, 오픈뱅킹에 가입한 뒤 만기까지 유지하면 0.1%포인트가 추가된다.
인터넷전문은행 케이뱅크의 대표 정기예금 상품인 ‘코드K정기예금’은 금리가 연 4.7%다. 우대금리 조건도 따로 없어 1년 만기로 가입하면 연 4.7% 기본금리를 보장받을 수 있다. 안정성이 높다고 평가받는 특수은행들도 시중은행에 비해 높은 금리를 제공한다. 산업은행의 ‘KDB Hi 정기예금’은 기본 연 4.9%, SC제일은행의 ‘e 그린세이브예금’은 우대금리 0.2%포인트를 포함해 최고 연 4.9%를 적용한다. 저축은행과 비교해서도 금리 차이가 크지 않다는 점에서 매력적이란 평가다.
정기예금 금리는 정점을 찍고 앞으로도 하향곡선을 그릴 가능성이 크다는 점에서 빨리 가입하는 게 유리할 수 있다. 금융권 예금 금리는 지난해 10~11월 정점을 찍었다. 은행을 향한 금융당국의 예금 금리 인상 경쟁 자제령에 조금씩 떨어지고 있다. 지난 13일 한국은행 금융통화위원회가 기준금리를 0.25%포인트 올린 가운데 기준금리가 추가로 인상되면 예금 금리가 반등할 가능성은 있다.",예금금리
한국금융신문,수신경쟁 자제령에 '5% 정기예금' 실종,,,,,,,예금금리
연합뉴스,"금융당국, 기준금리인상에도 ""대출금리올릴 요인 적다""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013700562?sid=101,,연합뉴스,"금융당국, 기준금리 인상에도 ""대출금리 올릴 요인 적다""","과도한 성과급·배당 지급엔 리스크 지표 등 반영해 합리화 유도
은행 대출 창구
[연합뉴스 자료사진]
(서울=연합뉴스) 심재훈 이지헌 임수정 기자 = 한국은행이 최근 기준금리를 0.25%포인트 추가 인상했지만 금융당국은 은행이 대출금리를 올릴 요인은 여전히 적다며 대출금리 인상 자제를 유도하고 나섰다.
이는 정치권에서 최근 예대금리차 문제를 강력히 비판하고 나선데다 금융당국 또한 현재 은행의 대출 금리가 기준 금리 인상 등을 선반영하고 있는 것으로 보기 때문이다.
15일 금융권 등에 따르면 금융위원회와 금융감독원 등 금융당국은 한은 금융통화위원회가 연 3.25%인 기준 금리를 3.50%로 올리자 은행들의 대출 금리 추가 인상 여부를 밀착 모니터링하면서 별다른 대출금리 인상 요인이 없다는 점을 강조하고 있다.
금융당국은 오는 16일 발표될 예정인 신규 취급액 기준 코픽스(COFIX·자금조달비용지수)가 소폭 하락할 것으로 예상하면서 은행들의 과도한 대출 금리 인상을 억제하고 있다.
금융당국 관계자는 ""예금이든 대출금리든 기준이 되는 게 시장금리인데 시장금리가 하락하고 있다""면서 ""이번에 기준금리가 0.25% 포인트 올라도 별로 달라진 건 없으며 이미 시장에 대부분 선반영됐다고 본다""고 밝혔다.
아울러 무소속 양정숙 의원 등이 은행의 예대금리차와 이로 인한 수익을 공시·보고하도록 하는 내용의 은행법 개정안을 발의한 것과 관련해 금융당국은 예대금리차 공시의 법률화는 동의하면서도 수익 보고는 쉽지 않다는 입장이다.
이 개정안은 은행이 예대금리차를 연 2회 이상 공시토록 하고, 예대금리차와 그에 따른 수익을 분기마다 금융위원회에 보고하도록 해 은행의 예대금리차를 금융당국이 더 면밀히 감독할 수 있도록 법적 근거를 마련하는 내용을 담고 있다.
은행 현금인출기
[연합뉴스 자료사진]
한편, 코로나19 사태 등으로 서민의 경제적 고통이 커지는 가운데 은행이 이자 수익 등으로 막대한 실적을 거두면서 기본급 300~400%대의 '성과급 잔치'를 벌이자 금융당국은 국민 정서를 강조하면서 성과 보수 체계에 리스크 관리나 건전 지표 등을 반영하는 방안을 검토하고 있다.
금융당국 관계자는 ""성과급 수준 자체를 뭐라고 할 순 없지만 성과 보수 체계가 너무 수익성 지표 위주로 돼 있어 리스크 관리라든가 건전성 지표 등도 반영하는 방향을 검토하고 있다""면서 ""각 은행에 성과 보수 체계를 점검해 연중에 보고를 해달라고 했다""고 말했다.
금융당국은 배당 성향 또한 손실 흡수 능력 범위 내에서 은행들이 정하도록 유도할 방침이다. 아직 정해지지는 않았지만 금융지주나 은행의 배당 성향은 20%대에서 정해질 것으로 예상된다.
president21@yna.co.kr pan@yna.co.kr sj9974@yna.co.kr",예금금리
