press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
한겨레,여름철전기요금걱정? ‘냉방비 절감 지원 전담반’에 문의하세요,네이버뉴스,https://n.news.naver.com/mnews/article/028/0002641812?sid=102,,한겨레,여름철 전기요금 걱정? ‘냉방비 절감 지원 전담반’에 문의하세요,"산업부, 소상공인·복지시설 냉방비 절감 컨설팅 6월1일부터 4개월간 운영
서울 시내의 한 건물의 전자식전력량계 모습. 연합뉴스
정부가 소상공인·사회복지시설을 대상으로 냉방비 절감 컨설팅을 시행한다.
30일 산업통상자원부는 이날 오후 서울 영등포구 한국에너지공단 서울지역본부에서 ‘냉방비 절감 지원 전담반(TF)’을 발족하고, 이를 6월1일부터 9월30일까지 운영할 계획이라고 밝혔다.
이번 티에프는 최근 전기·가스 요금 인상과 여름철 냉방 수요 증가로 국민의 냉방비 걱정이 커지는 상황에서 비용부담 완화를 지원하기 위해 민관합동으로 설치됐다. 이날 발족식에 공공에서는 한국전력공사, 한국에너지공단, 전력거래소, 한국에너지재단, 민간에서는 한국냉동공조산업협회, 에스코(ESCO) 협회, 주요 가전사 등이 참석한다.
티에프는 소상공인‧사회복지시설 대상으로 온‧오프라인 냉방비 절감 컨설팅을 할 예정이다. 온라인 컨설팅의 경우 신청자가 한국에너지공단 누리집(www.energy.or.kr) 내 별도 온라인 상담 페이지에 본인의 상가·시설의 일반 현황과 에너지 관련 정보를 입력하면, 맞춤형 전력 소비패턴 분석, 개선방안, 냉방비 절감요령, 지원사업 등을 무료로 안내받을 수 있다. 또한 별도 현장 컨설팅을 희망하는 소상공인·복지시설은 지역별로 구성된 현장 점검팀을 통해 간이 진단 등을 직접 받을 수 있다.
아울러 티에프는 신규로 가전을 설치하거나 사후 서비스(A/S)를 받는 소상공인·복지시설·가구 등을 대상으로 가전사의 협조를 통해 누구나 쉽게 따라 할 수 있는 냉방비 절감 요령을 홍보물과 알림 톡 형태로 안내할 계획이다.
또한 한전은 6∼9월분 전기요금에 대해 요금 분할납부 제도를 한시적으로 확대 시행한다. 신청 가능 대상을 일부 주거용 주택용에서 비주거용 주택용, 일반용, 산업용(소상공인 및 뿌리기업 포함)까지 확대했다. 다음 달 1일부터 한전 온라인 서비스 누리집 또는 모바일 앱인 ‘한전:ON’으로 신청하는 것이 원칙이나 부득이한 경우 한전 지사 방문, 전화로도 신청이 가능하다.",전기요금
한겨레,"냉방비 폭탄 우려에…산업부, 소상공인 등 맞춤형 지원 나서",네이버뉴스,https://n.news.naver.com/mnews/article/028/0002641812?sid=102,,한겨레,여름철 전기요금 걱정? ‘냉방비 절감 지원 전담반’에 문의하세요,"산업부, 소상공인·복지시설 냉방비 절감 컨설팅 6월1일부터 4개월간 운영
서울 시내의 한 건물의 전자식전력량계 모습. 연합뉴스
정부가 소상공인·사회복지시설을 대상으로 냉방비 절감 컨설팅을 시행한다.
30일 산업통상자원부는 이날 오후 서울 영등포구 한국에너지공단 서울지역본부에서 ‘냉방비 절감 지원 전담반(TF)’을 발족하고, 이를 6월1일부터 9월30일까지 운영할 계획이라고 밝혔다.
이번 티에프는 최근 전기·가스 요금 인상과 여름철 냉방 수요 증가로 국민의 냉방비 걱정이 커지는 상황에서 비용부담 완화를 지원하기 위해 민관합동으로 설치됐다. 이날 발족식에 공공에서는 한국전력공사, 한국에너지공단, 전력거래소, 한국에너지재단, 민간에서는 한국냉동공조산업협회, 에스코(ESCO) 협회, 주요 가전사 등이 참석한다.
티에프는 소상공인‧사회복지시설 대상으로 온‧오프라인 냉방비 절감 컨설팅을 할 예정이다. 온라인 컨설팅의 경우 신청자가 한국에너지공단 누리집(www.energy.or.kr) 내 별도 온라인 상담 페이지에 본인의 상가·시설의 일반 현황과 에너지 관련 정보를 입력하면, 맞춤형 전력 소비패턴 분석, 개선방안, 냉방비 절감요령, 지원사업 등을 무료로 안내받을 수 있다. 또한 별도 현장 컨설팅을 희망하는 소상공인·복지시설은 지역별로 구성된 현장 점검팀을 통해 간이 진단 등을 직접 받을 수 있다.
아울러 티에프는 신규로 가전을 설치하거나 사후 서비스(A/S)를 받는 소상공인·복지시설·가구 등을 대상으로 가전사의 협조를 통해 누구나 쉽게 따라 할 수 있는 냉방비 절감 요령을 홍보물과 알림 톡 형태로 안내할 계획이다.
또한 한전은 6∼9월분 전기요금에 대해 요금 분할납부 제도를 한시적으로 확대 시행한다. 신청 가능 대상을 일부 주거용 주택용에서 비주거용 주택용, 일반용, 산업용(소상공인 및 뿌리기업 포함)까지 확대했다. 다음 달 1일부터 한전 온라인 서비스 누리집 또는 모바일 앱인 ‘한전:ON’으로 신청하는 것이 원칙이나 부득이한 경우 한전 지사 방문, 전화로도 신청이 가능하다.",전기요금
뉴시스,"""소상공인, 냉방비 절감 컨설팅 받으세요""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011885905?sid=101,,뉴시스,"냉방비 폭탄 우려에…산업부, 소상공인 등 맞춤형 지원 나서","'냉방비 절감 지원 전담반 TF' 발족
[세종=뉴시스]이승주 기자 = 여름철을 앞두고 최근 전기·가스요금 인상에 냉방비 부담이 커질 것을 우려한 에너지 취약층을 위한 맞춤형 상담이 추진된다.
산업통상자원부는 30일 오후 한국에너지공단 서울지역본부에서 '냉방비 절감 지원 전담반 태스크포스(TF)'를 발족했다고 밝혔다.
산업부 관계자는 ""여름철을 앞두고 에너지 취약층의 비용 부담을 완화하기 위한 방안을 선제적으로 마련하기 위해 민관 합동으로 꾸렸다""고 말했다. 이는 오는 1일부터 9월30일까지 4개월 간 운영된다.
앞으로 소상공인과 사회복지시설을 대상으로 온·오프라인 냉방비 절감 컨설팅을 진행할 예정이다. 온라인 컨설팅은 신청자가 상담 전용 홈페이지에 본인의 상가시설의 일반 현황과 에너지 관련 정보를 입력하면 이용할 수 있다. 자신의 맞춤형 전력 소비패턴을 기반으로 개선방안과 냉방비 절감요령, 지원사업 등을 무료로 안내받을 수 있다.
별도의 현장 컨설팅을 희망하거나 전기 사용량이 과도하게 나와 점검이 필요한 경우, 지역별로 구성된 현장 점검팀에서 간이 진단과 함께 현장 컨설팅을 받을 수 있다. 새롭게 가전을 설치하거나 사후 서비스를 받는 가구를 대상으로, 누구나 쉽게 따라할 수 있는 절감 요령 홍보물과 알림톡도 서비스된다.
천영길 에너지정책실장은 ""이번 전담반 활동이 소상공인 등 에너지 취약층의 냉방비 고민에 조금이나마 도움이 되길 바란다""며 ""앞으로 현장의 목소리를 바탕으로 다각적인 지원 방안을 마련하겠다""고 말했다．",전기요금
더팩트,"박광온 ""전기요금1년간 40% 인상, 추경 당장 논의하자"" [TF사진관]",네이버뉴스,https://n.news.naver.com/mnews/article/629/0000219331?sid=100,,더팩트,"박광온 ""전기요금 1년간 40% 인상, 추경 당장 논의하자"" [TF사진관]","박광온 더불어민주당 원내대표가 30일 오전 서울 여의도 국회에서 열린 원내대책회의에서 발언을 하고 있다. /국회=남용희 기자
발언하는 박 원내대표(가운데).
박광온 더불어민주당 원내대표가 30일 오전 서울 여의도 국회에서 열린 원내대책회의에서 발언을 하고 있다.
이날 박 원내대표는 ""전기요금이 1년간 40% 가까이 올랐는데 올해는 역대급 폭염이 예고되고 있다""며 ""취약 계층을 위한 에너지 추경(추가경정예산안)을 편성하는 것을 비롯해 할 수 있는 모든 정책 수단을 동원해야 한다""고 말했다.
또 ""간호법을 계기로 공공의료 시스템을 더욱 보강해서 국민들이 받아야 할 혜택까지 생각한다면 간호법은 통과되는 것이 맞다""고 강조했다.
사진영상기획부
발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.
▶카카오톡: '더팩트제보' 검색
▶이메일: jebo@tf.co.kr
▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",전기요금
더팩트,박광온 “전기요금1년간 40% 올라…당장 추경 논의하자”,네이버뉴스,https://n.news.naver.com/mnews/article/629/0000219331?sid=100,,더팩트,"박광온 ""전기요금 1년간 40% 인상, 추경 당장 논의하자"" [TF사진관]","박광온 더불어민주당 원내대표가 30일 오전 서울 여의도 국회에서 열린 원내대책회의에서 발언을 하고 있다. /국회=남용희 기자
발언하는 박 원내대표(가운데).
박광온 더불어민주당 원내대표가 30일 오전 서울 여의도 국회에서 열린 원내대책회의에서 발언을 하고 있다.
이날 박 원내대표는 ""전기요금이 1년간 40% 가까이 올랐는데 올해는 역대급 폭염이 예고되고 있다""며 ""취약 계층을 위한 에너지 추경(추가경정예산안)을 편성하는 것을 비롯해 할 수 있는 모든 정책 수단을 동원해야 한다""고 말했다.
또 ""간호법을 계기로 공공의료 시스템을 더욱 보강해서 국민들이 받아야 할 혜택까지 생각한다면 간호법은 통과되는 것이 맞다""고 강조했다.
사진영상기획부
발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.
▶카카오톡: '더팩트제보' 검색
▶이메일: jebo@tf.co.kr
▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",전기요금
국민일보,박광온 “당장 추경 논의해야”,네이버뉴스,https://n.news.naver.com/mnews/article/005/0001612196?sid=100,,국민일보,박광온 “전기요금 1년간 40% 올라…당장 추경 논의하자”,"박광온 더불어민주당 원내대표가 30일 국회 당 사무실에서 열린 원내대책회의에 참석하고 있다. 연합뉴스
박광온 더불어민주당 원내대표는 30일 “취약 계층을 위한 에너지 추경(추가경정예산)을 편성하는 것을 비롯해 할 수 있는 모든 정책 수단을 당장 동원해야 한다”고 밝혔다.
박 원내대표는 이날 국회에서 열린 원내대책회의에서 “전기요금이 1년간 40% 가까이 올랐는데 올해는 역대급 폭염이 예고되고 있다”며 이같이 말했다.
박 원내대표는 “초부자 감세, 긴축 재정, 고물가, 경기 침체로 경제적 약자들의 고통이 더 커지고 있다”며 “더 걱정스러운 것은 정부가 이런 상황에서도 특별하게 노력하는 모습을 보이지 않는다는 것”이라고 지적했다.
그러면서 “경기 침체 상황에서 구두쇠 재정을 고집하면 어려운 사람은 더욱 어려워지고 우리 경제를 더 주름지게 만들 것”이라며 “경제정책은 실질적 효과를 얻기까지 몇 달의 시차가 있다. 당장 추경을 논의하자”고 제안했다.
박 원내대표는 이날 국회 본회의에서 재투표가 예정된 간호법 제정안과 관련해서는 “간호법을 계기로 공공의료 시스템을 더욱 보강해서 국민들이 받아야 할 혜택까지를 생각한다면 간호법은 통과되는 것이 맞다”고 강조했다.
이어 “(간호법 재투표 결과는) 윤석열 대통령이 거부권 정치를 끝내고 야당과의 정치 복원, 나아가 민생 회복의 길을 열겠다는 의지와 진정성을 갖고 있느냐를 보여줄 것”이라며 “(국민의힘이) 국민의 편에서 재투표에 임할 것을 다시 한 번 간곡하게 호소한다”고 말했다.",전기요금
한국경제,한국은요금인상하는데…전기남아돈다는 이 나라 [글로벌 핫이슈],네이버뉴스,https://n.news.naver.com/mnews/article/015/0004850089?sid=104,,한국경제,한국은 요금 인상하는데…전기 남아돈다는 이 나라 [글로벌 핫이슈],"핀란드, 29일 전력 현물 가격 0유로 찍어
원자력 발전 확대하며 공급이 수요 역전
전기요금 급락 우려에 발전량 감축 결정
에너지 위기 겪은 탓에 핀란드 국민 60% ""원전 확대 찬성""
테올리수덴보이마(TVO) 직원들이 원자력발전소 올킬루오토 2 안전 진단을 하고 있다. TVO 제공
핀란드의 전력 판매 가격이 생산 비용을 밑돈 것으로 나타났다. 빙하 유출수가 불어나며 수력발전량이 급격히 증가해서다. 유럽 최대 원자력발전소인 올킬루오토 3(OL3)을 가동하며 총 공급량이 증가했다는 평가도 나온다.
전력 가격 '0' 유로 찍어
29일(현지시간) 핀란드 현지 매체 일탈레흐티에 따르면 핀란드 전력거래소 노드 풀(Nord-Pool)에서 전날 전기 현물가격이 0유로를 찍었다. 28일 오후 8시께 수요가 늘어나며 전기 현물가격은 KWh(킬로와트시) 당 1.2유로로 상승했다.
핀란드 국영 송전업체 핀 그리드의 최고경영자(CEO)인 유카 류수넨은 ""가격 변동이 이례적인 상황에 부닥쳤다""라며 ""핀란드 내 전력이 과잉 생산되고 있다""고 설명했다. 그러면서 ""이제 전력 공급자가 전기를 생산할 때 비용을 내야 할 판이다""라고 덧붙였다.
핀란드 전력 현물가격이 0유로 밑으로 떨어진 건 지난 24일에 이어 두 번째다. 당시에도 전력 생산량이 수요를 초과하며 전력 현물가격이 큰 폭으로 내려갔다. 이날 전력 현물 최고가는 kWh당 0.3유로에 불과했다.
핀란드 전기 공급량이 급격히 증가한 배경엔 봄 홍수가 있다. 기온이 따뜻해지며 스칸디나비아반도 빙하가 녹아 빙하 유출수가 급격히 불어났다. 수위가 높아지자 수력 발전량도 큰 폭으로 증가했다. 발전량을 통제하기 어려운 수력발전 특성 때문에 공급 과잉 현상이 나타났다는 분석이다.
지난 4월 가동을 시작한 신규 원자력발전소 올킬루오토 3 때문에 전기 공급량이 크게 늘었다는 관측이다. 전기 요금이 급격히 떨어질 위기에 처하자 올킬루오토 3 운영사인 테올리수덴보이마(TVO)는 긴급회의를 열고 전력 생산량을 단기간 감축하기로 결정했다.
얀 카우피 핀란드 에너지산업 협회 고문은 ""전력 가격이 내려가 원전 발전량을 줄인 건 굉장히 이례적이다""라며 ""핀란드 전력 가격이 음수(-)값을 기록할 수도 있다""고 설명했다.
원전 신축으로 발전량 급증
핀란드의 다섯 번째 원자력발전소인 올킬루오토 3(OL3)은 지난달 15일 가동을 시작했다. 시간당 발전량이 1600메가와트(MW)에 달하는 초대형 원자로다. 유럽에서 가장 큰 원자력발전소이자 세계 3위 규모다. 핀란드 전체 전력의 14%가량을 담당한다.
유럽 최대 원자력발전소 올킬루오토3 전경. 사진=TVO제공
올킬루오토 3은 착공부터 가동까지 총 18년이 걸렸다. 2005년 착공했지만 건설 단계에서 기술적 결함이 발견돼 4년여간 공사가 중단됐다.
공사가 지연되면서 초기 투자 비용이 불어나기 시작했다. 일정상 차질이 발생하자 초과 비용을 누가 부담할 것이냐를 두고 법적 분쟁이 벌어졌다. 원전 건설에 참여한 독일 지멘스와 아레바 컨소시엄은 TVO를 상대로 소송을 걸었다. 지연에 대한 보상금으로 35억유로를 지급하라는 주장이었다.
소송이 장기화하면서 출혈 경쟁이 벌어지자 양측은 국제상공회의소(ICC)의 중재에 따라 2018년 극적으로 합의했다. TVO가 지멘스 컨소시엄에 4억 5000만유로 보상금을 지불하는 조건이 붙었다.
공사가 재개됐지만 오랜 기간 중단된 탓에 기술적 결함이 잇따르며 시운전 일정이 미뤄졌다. 코로나19까지 창궐하며 연료 적재 및 터빈 검사가 연기됐다. 10번 이상 일정이 변경됐지만, 설비 테스트를 마무리한 끝에 2023년 3월 시운전에 성공했다.
TVO는 성명서를 통해 ""OL3로 인해 러시아로부터의 에너지 수입 의존도를 낮출 수 있을 것으로 기대한다""며 ""앞으로 60년간 핀란드의 에너지 발전을 책임질 것""이라고 발표했다.
원전 지지율 65%
핀란드의 원자력발전 규모가 급증한 배경에는 원전에 친화적인 여론이 있다. 독일을 중심으로 탈(脫)원전 기조가 유럽을 휩쓰는 가운데 핀란드에선 원자력 발전을 확대하는 데 국민 60%이상이 찬성했다. 에너지 안보를 지키기 위해 원자력발전이 필수라는 판단에서다.
핀란드의 1인당 연간 전력 소비량은 세계 5위권 안에 드는 에너지 과소비 국가다. 핀란드의 2020년 1인당 전력 소비량은 1만 5804kWh로 세계 3위를 차지했다. 겨울이 다른 지역에 비해 긴 탓에 난방 수요가 큰 탓이다. 국내총생산(GDP)에서 중공업 비중(31% 수준)도 커서 에너지 수요가 컸다.
2019년 유럽 국가별 러시아 에너지 의존도. 자료=KDB미래전략연구소
에너지 수요를 맞추기 위해 전적으로 러시아에 의존했다. 매년 천연가스 소비량의 84%가량을 러시아에서 수입했다. 원유와 석탄도 대부분 러시아산이었다. 2019년 핀란드 에너지 소비량에서 러시아가 차지하는 비중은 30%에 육박했다.
하지만 지난해 러시아가 천연가스를 무기화하자 에너지 위기에 대한 우려가 증폭됐다. 지난해 5월 칸타퍼블릭이 핀란드에서 실시한 여론조사에 따르면 원자력 발전을 늘리는 데 찬성하는 응답률은 65%에 달했다. 원자력발전을 줄여야 한다는 답변은 10% 안팎이었다. 러시아 의존도를 줄이기 위해 원전을 지어 자급자족해야 한다는 것이다.
지난 4월 총선에서도 원자력발전을 미래 에너지원으로 삼아야 한다고 촉구해 온 중도우파 성향의 국민연합당(NCP)이 원내 1당으로 등극했다.
녹색당도 인정한 신재생에너지
탄소 배출량을 감축하기 위한 혁신적인 시도라는 평가도 나온다. 2016년 핀란드 1인당 이산화탄소 배출량은 연간 8.6t에 육박했다. 유엔이 1인당 2t까지 제한할 것을 핀란드 정부에 권고하기까지 했다.
재생 에너지를 고려했지만 마땅한 대안이 없었다. 화석연료를 대체하기 위해 태양광·풍력 발전소를 급격히 늘릴 수 없는 환경이라서다. 풍력발전소를 택하기엔 바람이 부족하고, 자연을 파괴하면서 댐을 건설할 수 없다는 반대 여론이 거셌다. 남은 대안은 원자력발전뿐이었다.
2017년 탈(脫)원전을 당정으로 내세웠던 핀란드 녹색당도 성명서를 통해 원전 확대에 동의하는 입장을 표명했다. 탄소 배출을 감축하는 게 더 시급하다는 이유에서다. 화석연료 사용을 줄이기 위해선 원전을 더 지을 수밖에 없다는 것을 인정한 셈이다.
적극적으로 원자력발전소를 늘리면서 전력량에서 차지하는 비중이 크게 늘었다. 2021년 핀란드는 전력 발전에서 원자력발전이 차지하는 비중을 33%까지 끌어올렸다. 화석연료가 차지하는 비중은 36%까지 낮췄다. 국제에너지기구(IEA) 회원국 평균인 70%를 크게 밑돈다.
핀란드 정부는 원자력 발전 비중을 2025년까지 40% 이상 확대할 계획이다. 올킬루오토 1,2호 사용 연한을 연장을 추진하고 있다. 원자력 발전소 인근에는 대규모 고준위 방폐장도 건설하고 있다. 2025년 완공이 목표다. 가동에 성공하게 되면 세계 최초로 사용후핵연료 영구 처분시설을 구축하게 된다.
IEA는 ""핀란드는 GDP 대비 에너지 R&D 예산 비율이 회원국 중 4위에 달할 정도로 에너지 전환에 주력했다""며 ""원자력발전 부문에서 핀란드가 글로벌 리더로 부상하고 있다""고 평가했다.",전기요금
매일일보,"하나카드, '전기·가스요금' 할인 특화카드 출시",,,,,,,전기요금
매일일보,"하나카드, '전기·가스요금' 할인 특화카드 출시",,,,,,,전기요금
Korea IT Times,"하나카드, ‘에너지 더블’ 카드 출시…전기·가스요금할인",,,,,,,전기요금
