press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,중랑구 상봉13구역 주택정비형 재개발사업수정 가결,네이버뉴스,https://n.news.naver.com/mnews/article/003/0012987899?sid=101,,뉴시스,중랑구 상봉13구역 주택정비형 재개발사업 수정 가결,"공원·생활체육시설 포함…주거환경 개선 기대
[서울=뉴시스] 중랑구 상봉13구역 주택정비형 재개발사업 정비계획 결정 및 정비구역 지정(안) 수정가결. 2024.12.30. (자료=중랑구 제공) *재판매 및 DB 금지
[서울=뉴시스] 박대로 기자 = 서울 중랑구(구청장 류경기)는 '상봉13구역(망우본동461 일대) 주택정비형 재개발사업' 정비계획 결정 및 정비구역 지정안이 지난 24일 서울시에서 수정 가결됐다고 30일 밝혔다.
상봉13구역은 노후화된 단독 주택과 다세대 주택이 밀집한 노후 주거지다. 보행 환경과 생활 기반 시설이 열악해 2022년 12월 민간재개발(신속통합기획) 후보지로 선정됐다.
이후 지난 1월 신속통합기획안이 수립됐다. 구는 주민 설명회와 주민 공람 공고 등 정비 계획 입안 절차를 거쳐 지난달 서울시에 정비계획 수립 및 정비구역 지정을 요청했다.
정비 계획에 따르면 기존 제2종(7층이하)·제2종 일반주거지역은 제3종 일반주거지역으로, 제3종 일반주거지역은 준주거지역으로 상향 조정된다.
용적률은 평균 345.41%(준주거 399.97%, 제3종 297.60%)로 적용된다. 임대 주택 270세대를 포함해 최고 37층 규모로 1249세대가 들어설 예정이다.
이와 함께 봉우재로와 봉우재로69길 교차 지점에는 공원과 생활 체육 시설 등 주민 편의와 지역 활성화를 위한 공공시설이 조성될 계획이다.
류경기 중랑구청장은 ""상봉13구역이 상봉터미널, 인근 개발과 함께 시너지 효과를 일으키는 주거 단지로 탈바꿈돼 망우 역세권 지역이 획기적으로 바뀔 것으로 기대된다""며 ""사업이 최대한 신속하게 추진될 수 있도록 지속적인 행정 지원을 아끼지 않겠다""고 밝혔다．",정비사업
뉴스1,"경기도, 중동·산본정비기본계획 승인…1기 신도시 새단장 본격화",네이버뉴스,https://n.news.naver.com/mnews/article/421/0007994899?sid=102,,뉴스1,"경기도, 중동·산본 정비기본계획 승인…1기 신도시 새단장 본격화","경기도청 전경.(경기도 제공)
(경기=뉴스1) 최대호 기자 = 경기도는 30일 경기도 도시계획위원회를 열어 1기 신도시인 부천 중동과 군포 산본의 노후계획도시 정비기본계획을 승인했다고 밝혔다.
'노후계획도시 특별법'이 시행된 4월로부터 8개월 만으로, 통상 정비기본계획 수립과 승인까지 2년이 걸리는데 비하면 빠른 진행속도라는 평가다.
현행 재건축 등 정비사업 추진의 경우 시군 단위의 기본계획 수립-정비계획수립-추진위원회-조합인가-사업시행계획인가-관리처분계획인가-착공-준공 등의 절차를 거쳐야 한다.
각 시는 노후계획도시 특별법 발효 전부터 기본계획용역 예산 편성 및 절차를 진행했으며 도는 지자체, 주민, 전문가들이 함께 사전 협의와 준비 절차를 진행했다.
도는 특히 기본계획 수립 초기 단계부터 경기도 도시계획위원회 사전자문 및 도시계획위원으로 구성된 노후계획도시 연구회를 통해 심의 가이드라인을 마련하고 정비기본계획의 적정성과 완성도를 사전 검토해 심의 소요 기간을 크게 단축했다.
사전 검토 내용은 △기반시설 용량 검토 △증가 세대수에 따른 교통계획 △경기 RE100 확산 등 탄소중립 도시로의 전환 △계속거주 도시 비전 반영 △자족기능 강화 방안 △안전 도시 등이다.
도는 최근 경기주택도시공사(GH), 경기연구원, 경기교통공사, 경기도사회서비스원, 경기환경에너지진흥원, 경기도경제과학진흥원 등 6개 기관을 '지방 노후계획도시 정비지원기구'로 지정했다.
이날 경기도 도시계획위원회에서 함께 논의된 성남 분당은 시(市) 노후계획도시 조례 미비 등으로 인해 '조건부 의결' 됐으며 조건 이행 후 승인할 예정이다. 고양 일산과 안양 평촌은 시(市) 도시계획위원회 등의 절차를 마친 뒤 승인 신청할 계획이다. 도는 해당 시에서 준비·신청되는 대로 최대한 신속하게 심의·승인 처리할 방침이다.
김동연 경기도지사는 ""경기도와 지자체, 전문가, 주민들이 한마음으로 협력해 정비기본계획 승인의 속도와 완성도를 모두 잡을 수 있었다""며 ""1기 신도시 정비사업이 단순한 아파트 재건축이 아니라 주민들 삶을 담는 도시 재건축이 되도록, 국제적인 모범사례로 자리 잡을 수 있도록 지속적으로 노력하겠다""고 말했다.",정비사업
뉴스1,"경기도, 1기 신도시 중동·산본정비기본계획 승인",네이버뉴스,https://n.news.naver.com/mnews/article/421/0007994899?sid=102,,뉴스1,"경기도, 중동·산본 정비기본계획 승인…1기 신도시 새단장 본격화","경기도청 전경.(경기도 제공)
(경기=뉴스1) 최대호 기자 = 경기도는 30일 경기도 도시계획위원회를 열어 1기 신도시인 부천 중동과 군포 산본의 노후계획도시 정비기본계획을 승인했다고 밝혔다.
'노후계획도시 특별법'이 시행된 4월로부터 8개월 만으로, 통상 정비기본계획 수립과 승인까지 2년이 걸리는데 비하면 빠른 진행속도라는 평가다.
현행 재건축 등 정비사업 추진의 경우 시군 단위의 기본계획 수립-정비계획수립-추진위원회-조합인가-사업시행계획인가-관리처분계획인가-착공-준공 등의 절차를 거쳐야 한다.
각 시는 노후계획도시 특별법 발효 전부터 기본계획용역 예산 편성 및 절차를 진행했으며 도는 지자체, 주민, 전문가들이 함께 사전 협의와 준비 절차를 진행했다.
도는 특히 기본계획 수립 초기 단계부터 경기도 도시계획위원회 사전자문 및 도시계획위원으로 구성된 노후계획도시 연구회를 통해 심의 가이드라인을 마련하고 정비기본계획의 적정성과 완성도를 사전 검토해 심의 소요 기간을 크게 단축했다.
사전 검토 내용은 △기반시설 용량 검토 △증가 세대수에 따른 교통계획 △경기 RE100 확산 등 탄소중립 도시로의 전환 △계속거주 도시 비전 반영 △자족기능 강화 방안 △안전 도시 등이다.
도는 최근 경기주택도시공사(GH), 경기연구원, 경기교통공사, 경기도사회서비스원, 경기환경에너지진흥원, 경기도경제과학진흥원 등 6개 기관을 '지방 노후계획도시 정비지원기구'로 지정했다.
이날 경기도 도시계획위원회에서 함께 논의된 성남 분당은 시(市) 노후계획도시 조례 미비 등으로 인해 '조건부 의결' 됐으며 조건 이행 후 승인할 예정이다. 고양 일산과 안양 평촌은 시(市) 도시계획위원회 등의 절차를 마친 뒤 승인 신청할 계획이다. 도는 해당 시에서 준비·신청되는 대로 최대한 신속하게 심의·승인 처리할 방침이다.
김동연 경기도지사는 ""경기도와 지자체, 전문가, 주민들이 한마음으로 협력해 정비기본계획 승인의 속도와 완성도를 모두 잡을 수 있었다""며 ""1기 신도시 정비사업이 단순한 아파트 재건축이 아니라 주민들 삶을 담는 도시 재건축이 되도록, 국제적인 모범사례로 자리 잡을 수 있도록 지속적으로 노력하겠다""고 말했다.",정비사업
뉴시스,"경기도, 중동·산본정비기본계획 승인…1기 신도시사업본격화",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012988993?sid=102,,뉴시스,"경기도, 1기 신도시 중동·산본 정비기본계획 승인","특별법 시행 이후 8개월만에
[수원=뉴시스] 경기도청 전경. (사진=경기도 제공) *재판매 및 DB 금지
[수원=뉴시스] 박상욱 기자 = 경기도는 도시계획위원회 심의를 거쳐 1기 신도시인 부천 중동과 군포 산본의 노후계획도시 정비기본계획을 승인했다고 30일 밝혔다.
'노후계획도시 특별법'이 시행된 지난 4월 이후 8개월 만으로, 통상 정비기본계획 수립과 승인까지 2년이 걸리는데 비하면 빠른 속도라는 평가다.
현행 재건축 등 정비사업 추진의 경우 시군 단위의 기본계획 수립-정비계획수립-추진위원회-조합인가-사업시행계획인가-관리처분계획인가-착공-준공 등의 절차를 거쳐야 한다.
앞서 '노후계획도시 특별법' 발효 전부터 각 시는 기본계획용역 예산 편성 및 절차를 진행했으며 경기도는 지자체, 주민, 전문가들이 함께 사전 협의와 준비 절차를 진행했다.
특히 도는 기본계획 수립 초기 단계부터 경기도 도시계획위원회 사전자문 및 도시계획위원으로 구성된 노후계획도시 연구회를 통해 심의 가이드라인을 마련하고 정비기본계획의 적정성과 완성도를 사전 검토해 심의 소요 기간을 크게 단축했다.
김동연 지사는 ""경기도와 지자체, 전문가, 주민들이 한마음으로 협력해 정비기본계획 승인의 속도와 완성도를 모두 잡을 수 있었다""며 ""1기 신도시 정비사업이 단순한 아파트 재건축이 아니라 주민들 삶을 담는 도시 재건축이 되도록, 국제적인 모범사례로 자리 잡을 수 있도록 지속적으로 노력하겠다""고 말했다.
도시계획위원회에서 함께 논의된 성남 분당은 시(市) 노후계획도시 조례 미비 등을 이유로 '조건부의결' 됐다. 도는 조건 이행 후 승인할 예정이다.
아울러 고양 일산과 안양 평촌은 시 도시계획위원회 등의 절차를 마친 뒤 승인 신청할 계획으로, 도는 해당 시에서 준비·신청되는 대로 최대한 신속하게 처리할 방침이다.",정비사업
더팩트,"롯데건설, 용산 산호아파트 주택재건축정비사업수주",네이버뉴스,https://n.news.naver.com/mnews/article/629/0000352041?sid=101,,더팩트,"롯데건설, 용산 산호아파트 주택재건축정비사업 수주","하이엔드 브랜드 '용산 르엘' 제안
롯데건설이 지난 28일 '용산 산호아파트 주택재건축정비사업 시공자 선정 총회'에서 시공사로 선정됐다. /더팩트 DB
롯데건설은 지난 28일 서울 용산구 선인중앙교회에서 열린 '용산 산호아파트 주택재건축정비사업 시공자 선정 총회'에서 시공사로 선정됐다고 30일 밝혔다.
지난 3월 사업시행인가를 받은 용산 산호아파트는 서울 용산구 원효로 4가 118-16 일원에 지하 3층~지상 35층, 7개 동, 647가구(임대 73가구 포함) ·부대복리시설을 새롭게 조성하는 사업이다. 공사비는 약 3135억원 규모다.
롯데건설은 기존 사업시행인가 설계안을 토대로 정비 계획의 경미한 설계변경 범위 내에서 단지 쾌적성을 개선한 대안 설계로 입찰을 제안했다. 향후 신속한 사업 추진을 위해 조합의 입찰 지침에 따른 특화 설계도 추가로 제시했다.
롯데건설이 추가로 제시한 특화 설계는 일률적인 층수 규제를 삭제한 '2040 서울도시기본계획'을 반영해 최고 48층 높이의 4개동으로 배치했다. 특히 한강변에 위치한 단지의 매력을 극대화할 수 있도록 개방감과 공간 활용도를 높인 필로티 특화를 적용해 전 세대 한강 조망을 가능하게 했다. 한강과 마주해 낭만과 여유를 즐길 수 있는 스카이 라운지와 전망형 엘리베이터도 선보일 방침이다.
롯데건설 관계자는 ""'용산 르엘'을 신속하게 완성하기 위해 자사의 기술력과 노하우를 아낌없이 쏟을 것""이라고 말했다.
한편, 롯데건설은 올해 안양 종합운동장 북측 재개발, 신반포12차 재건축, 천호우성 재건축, 전농제8구역 재개발에 이어 이번 용산 산호아파트 재건축까지 시공사로 선정돼 도시정비사업에서 총 1조9571억원을 수주했다.
발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.
▶카카오톡: '더팩트제보' 검색
▶이메일: jebo@tf.co.kr
▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",정비사업
더팩트,"롯데건설, 용산 산호아파트 주택재건축정비사업수주",네이버뉴스,https://n.news.naver.com/mnews/article/629/0000352041?sid=101,,더팩트,"롯데건설, 용산 산호아파트 주택재건축정비사업 수주","하이엔드 브랜드 '용산 르엘' 제안
롯데건설이 지난 28일 '용산 산호아파트 주택재건축정비사업 시공자 선정 총회'에서 시공사로 선정됐다. /더팩트 DB
롯데건설은 지난 28일 서울 용산구 선인중앙교회에서 열린 '용산 산호아파트 주택재건축정비사업 시공자 선정 총회'에서 시공사로 선정됐다고 30일 밝혔다.
지난 3월 사업시행인가를 받은 용산 산호아파트는 서울 용산구 원효로 4가 118-16 일원에 지하 3층~지상 35층, 7개 동, 647가구(임대 73가구 포함) ·부대복리시설을 새롭게 조성하는 사업이다. 공사비는 약 3135억원 규모다.
롯데건설은 기존 사업시행인가 설계안을 토대로 정비 계획의 경미한 설계변경 범위 내에서 단지 쾌적성을 개선한 대안 설계로 입찰을 제안했다. 향후 신속한 사업 추진을 위해 조합의 입찰 지침에 따른 특화 설계도 추가로 제시했다.
롯데건설이 추가로 제시한 특화 설계는 일률적인 층수 규제를 삭제한 '2040 서울도시기본계획'을 반영해 최고 48층 높이의 4개동으로 배치했다. 특히 한강변에 위치한 단지의 매력을 극대화할 수 있도록 개방감과 공간 활용도를 높인 필로티 특화를 적용해 전 세대 한강 조망을 가능하게 했다. 한강과 마주해 낭만과 여유를 즐길 수 있는 스카이 라운지와 전망형 엘리베이터도 선보일 방침이다.
롯데건설 관계자는 ""'용산 르엘'을 신속하게 완성하기 위해 자사의 기술력과 노하우를 아낌없이 쏟을 것""이라고 말했다.
한편, 롯데건설은 올해 안양 종합운동장 북측 재개발, 신반포12차 재건축, 천호우성 재건축, 전농제8구역 재개발에 이어 이번 용산 산호아파트 재건축까지 시공사로 선정돼 도시정비사업에서 총 1조9571억원을 수주했다.
발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.
▶카카오톡: '더팩트제보' 검색
▶이메일: jebo@tf.co.kr
▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",정비사업
마켓뉴스,"롯데건설, 용산 산호아파트 주택재건축정비사업수주",,,,,,,정비사업
매일경제,"롯데건설, 용산 산호아파트 주택재건축정비사업수주",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005421501?sid=101,,매일경제,"롯데건설, 용산 산호아파트 주택재건축정비사업 수주","[사진 출처 = 롯데건설]
롯데건설은 지난 28일 오후 2시 용산구 선인중앙교회에서 열린 ‘용산 산호아파트 주택재건축정비사업 시공자 선정 총회’에서 시공사로 선정됐다고 30일 밝혔다.
올해 3월 사업시행인가를 받은 용산 산호아파트는 서울 용산구 원효로 4가 118-16 일원에 지하 3층~지상 35층, 7개 동, 647가구(임대 73가구 포함) 및 부대복리시설을 새롭게 조성하는 사업이다. 공사비는 약 3135억원 규모다.
단지는 한강변에 위치해 영구적 한강 조망이 가능하며, 원효대교와 마포대교, 강변북로가 인접해 교통망이 뛰어나 서울 도심지 이동이 용이하다.
인근에 원효초와 성심여중·여고 등 학교가 있어 교육 인프라가 잘 갖춰져 있으며, 단지 인근에 위치한 용산 국제업무지구 개발 호재도 예정돼 있다.
롯데건설은 기존 사업시행인가 설계안을 토대로 정비 계획의 경미한 설계변경 범위 내에서 단지 쾌적성을 개선한 대안 설계로 입찰을 제안했다.
향후 신속한 사업 추진을 위해 조합의 입찰 지침에 따른 특화 설계도 추가로 제시했다.
롯데건설이 추가로 제시한 특화 설계는 일률적인 층수 규제를 삭제한 ’2040 서울도시기본계획‘을 적극 반영해 최고 48층 높이의 4개동으로 배치했다.
특히 한강변에 위치한 단지의 매력을 극대화할 수 있도록 개방감과 공간 활용도를 높인 필로티 특화를 적용해 ‘전 세대 한강 조망’을 가능하게 했으며, 한강과 마주해 낭만과 여유를 즐길 수 있는 ‘스카이 라운지’와 전망형 엘리베이터도 선보일 예정이다.",정비사업
매일경제,"롯데건설, ‘용산 산호아파트 주택재건축정비사업’ 수주",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005421501?sid=101,,매일경제,"롯데건설, 용산 산호아파트 주택재건축정비사업 수주","[사진 출처 = 롯데건설]
롯데건설은 지난 28일 오후 2시 용산구 선인중앙교회에서 열린 ‘용산 산호아파트 주택재건축정비사업 시공자 선정 총회’에서 시공사로 선정됐다고 30일 밝혔다.
올해 3월 사업시행인가를 받은 용산 산호아파트는 서울 용산구 원효로 4가 118-16 일원에 지하 3층~지상 35층, 7개 동, 647가구(임대 73가구 포함) 및 부대복리시설을 새롭게 조성하는 사업이다. 공사비는 약 3135억원 규모다.
단지는 한강변에 위치해 영구적 한강 조망이 가능하며, 원효대교와 마포대교, 강변북로가 인접해 교통망이 뛰어나 서울 도심지 이동이 용이하다.
인근에 원효초와 성심여중·여고 등 학교가 있어 교육 인프라가 잘 갖춰져 있으며, 단지 인근에 위치한 용산 국제업무지구 개발 호재도 예정돼 있다.
롯데건설은 기존 사업시행인가 설계안을 토대로 정비 계획의 경미한 설계변경 범위 내에서 단지 쾌적성을 개선한 대안 설계로 입찰을 제안했다.
향후 신속한 사업 추진을 위해 조합의 입찰 지침에 따른 특화 설계도 추가로 제시했다.
롯데건설이 추가로 제시한 특화 설계는 일률적인 층수 규제를 삭제한 ’2040 서울도시기본계획‘을 적극 반영해 최고 48층 높이의 4개동으로 배치했다.
특히 한강변에 위치한 단지의 매력을 극대화할 수 있도록 개방감과 공간 활용도를 높인 필로티 특화를 적용해 ‘전 세대 한강 조망’을 가능하게 했으며, 한강과 마주해 낭만과 여유를 즐길 수 있는 ‘스카이 라운지’와 전망형 엘리베이터도 선보일 예정이다.",정비사업
조선비즈,"롯데건설, 올해 도시정비사업수주액 1조9571억원 기록",네이버뉴스,https://n.news.naver.com/mnews/article/366/0001043606?sid=101,,조선비즈,"롯데건설, ‘용산 산호아파트 주택재건축정비사업’ 수주","하이엔드 브랜드 ‘용산르엘’ 제안… 총 647가구 규모
롯데건설이 지난 28일 용산구 선인중앙교회에서 열린 ‘용산 산호아파트 주택재건축정비사업 시공자 선정 총회’에서 시공사로 선정됐다고 30일 밝혔다.
용산 산호아파트 주택재건축정비사업 특화 설계 조감도. /롯데건설 제공
지난 3월 사업시행인가를 받은 용산 산호아파트 재건축사업은 서울 용산구 원효로 4가 118-16 일원에 지하 3층~지상 35층, 7개 동, 647가구(임대 73가구 포함) 및 부대복리시설을 새롭게 조성하는 사업이며, 공사비는 약 3135억 원 규모다.
해당 단지는 한강변에 위치해 한강 조망이 가능하며, 원효대교와 마포대교, 강변북로가 인접해 교통망이 뛰어나 서울 도심지 이동이 용이하다. 또한 원효초와 성심여중·여고 등 학교가 있어 교육 인프라가 잘 갖춰져 있으며, 단지 인근에 위치한 용산 국제업무지구 개발 호재도 예정돼 있다.
롯데건설은 기존 사업시행인가 설계안을 토대로 정비 계획의 경미한 설계변경 범위 내에서 단지 쾌적성을 개선한 대안 설계로 입찰을 제안했으며, 향후 신속한 사업 추진을 위해 조합의 입찰 지침에 따른 특화 설계도 추가로 제시했다고 밝혔다.
롯데건설이 제시한 특화 설계는 일률적인 층수 규제를 삭제한 ‘2040 서울도시기본계획’을 적극 반영해 최고 48층 높이의 4개동으로 배치했다. 특히 개방감과 공간 활용도를 높인 필로티 특화를 적용해 ‘전 가구 한강 조망’을 가능하게 했고, 한강과 마주한 ‘스카이 라운지’와 전망형 엘리베이터도 선보일 예정이다.
롯데건설 관계자는 “조합원의 염원이었던 ‘한강 조망 100%’ 특화 설계와 단지 특성에 맞는 다양한 사업 조건을 제안했다”며 “용산을 넘어 한강변을 대표하는 랜드마크로서 ‘용산 르엘’을 신속하게 완성하기 위해 롯데건설의 기술력과 노하우를 아낌없이 쏟을 것”이라고 밝혔다.",정비사업
