press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
연합뉴스,MICE 산업지속가능한 미래 모색…서울시 ESG 비전 포럼,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015096048?sid=102,,연합뉴스,MICE 산업 지속가능한 미래 모색…서울시 ESG 비전 포럼,"서울 마이스 ESG 비전 포럼
(서울=연합뉴스) 서울시는 지난 9일 강남구 역삼동 한국과학기술회관에서 '서울 마이스 ESG 비전 포럼'을 열었다고 10일 밝혔다. 2024.12.10 [서울시 제공. 재판매 및 DB 금지]
(서울=연합뉴스) 김기훈 기자 = 서울시는 지난 9일 강남구 역삼동 한국과학기술회관에서 '서울 마이스 ESG 비전 포럼'을 열었다고 10일 밝혔다.
이번 포럼은 마이스(MICE, 기업회의·포상관광·컨벤션·전시) 업계 관계자들과 ESG(환경·사회적 책무·기업지배구조) 운영 확산을 위한 비전을 공유하기 위해 마련됐다.
시는 올해를 서울형 마이스 ESG 실천의 원년으로 삼고 '탄소제로 마이스 도시'로 도약하기 위한 정책을 추진하고 있다.
이번 포럼에서 시는 한국전시산업진흥회, 한국MICE협회, 한국PCO협회, 서울관광재단과 '서울 마이스 ESG 실천 확산을 위한 업무협약(MOU)'을 맺었다.
또 세계 ESG 협회 회장인 이재혁 고려대 교수는 '지속 가능한 마이스를 위한 ESG 실천 전략'을 주제로 강연을 펼쳤다.
이승윤 건국대 교수는 '디지털 전환 시대의 ESG 전략'을 주제로 기조강연을 했다.
김영환 서울시 관광체육국장은 ""앞으로도 '서울형 ESG 가이드라인'을 중심으로 적극적인 ESG 활동을 추진해 전 세계 마이스 산업 시장에서 모범적인 마이스 도시 서울을 선보이겠다""고 말했다.
kihun@yna.co.kr",지속가능
연합뉴스,"'서울 마이스 ESG 비전 포럼' 개최…""지속가능한 산업 구축""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015096048?sid=102,,연합뉴스,MICE 산업 지속가능한 미래 모색…서울시 ESG 비전 포럼,"서울 마이스 ESG 비전 포럼
(서울=연합뉴스) 서울시는 지난 9일 강남구 역삼동 한국과학기술회관에서 '서울 마이스 ESG 비전 포럼'을 열었다고 10일 밝혔다. 2024.12.10 [서울시 제공. 재판매 및 DB 금지]
(서울=연합뉴스) 김기훈 기자 = 서울시는 지난 9일 강남구 역삼동 한국과학기술회관에서 '서울 마이스 ESG 비전 포럼'을 열었다고 10일 밝혔다.
이번 포럼은 마이스(MICE, 기업회의·포상관광·컨벤션·전시) 업계 관계자들과 ESG(환경·사회적 책무·기업지배구조) 운영 확산을 위한 비전을 공유하기 위해 마련됐다.
시는 올해를 서울형 마이스 ESG 실천의 원년으로 삼고 '탄소제로 마이스 도시'로 도약하기 위한 정책을 추진하고 있다.
이번 포럼에서 시는 한국전시산업진흥회, 한국MICE협회, 한국PCO협회, 서울관광재단과 '서울 마이스 ESG 실천 확산을 위한 업무협약(MOU)'을 맺었다.
또 세계 ESG 협회 회장인 이재혁 고려대 교수는 '지속 가능한 마이스를 위한 ESG 실천 전략'을 주제로 강연을 펼쳤다.
이승윤 건국대 교수는 '디지털 전환 시대의 ESG 전략'을 주제로 기조강연을 했다.
김영환 서울시 관광체육국장은 ""앞으로도 '서울형 ESG 가이드라인'을 중심으로 적극적인 ESG 활동을 추진해 전 세계 마이스 산업 시장에서 모범적인 마이스 도시 서울을 선보이겠다""고 말했다.
kihun@yna.co.kr",지속가능
뉴시스,"서울시, MICE 산업지속 가능한 미래비전 제시",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012952637?sid=102,,뉴시스,"'서울 마이스 ESG 비전 포럼' 개최…""지속가능한 산업 구축""","마이스 관련 5개 관계기관과 ESG 실천 다짐 협약
[서울=뉴시스]
[서울=뉴시스] 이재은 기자 = 서울시는 지난 9일 한국과학기술회관에서 '서울 마이스 ESG 비전 포럼'을 개최해 마이스 산업의 ESG 운영 확산을 위한 비전을 공유했다고 10일 밝혔다.
포럼에서는 국내외 마이스 관계자 100여명이 참석한 가운데 업무협약 체결, 기조 강연, ESG 운영 실천 사례발표, ESG 공급업체 전시, 네트워킹 등이 진행됐다.
시는 올해를 서울형 마이스 ESG 실천의 원년으로 삼고 '탄소제로 마이스 도시'로 도약하기 위한 정책을 추진하고 있다. 지난 4월에는 서울 마이스 ESG 가이드라인을 마이스 관계 기관에 배포했으며, 전시회와 국제회의를 대상으로는 ESG 운영 컨설팅을 진행하고 있다.
이번 포럼에서 서울시는 마이스 관계 기관인 한국전시산업진흥회, 한국MICE협회, 한국PCO협회, 서울관광재단과 서울 마이스 ESG 실천 확산을 위한 업무협약을 체결해 지속 가능한 마이스 산업 생태계를 선도적으로 구축할 것을 다짐했다.
아울러 서울이 국제 마이스 산업 시장에서 지속 가능한 마이스 도시로서 입지를 다질 수 있도록 실제 주요 마이스 행사의 ESG 활동 사례를 공유했다.
시는 내년까지 ▲마이스 ESG 실천 컨설팅 강화 ▲홍보 누리집 개설 ▲ESG 캠페인 전개 등 정책을 추진할 계획이다.
김영환 서울시 관광체육국장은 ""최근 기후환경의 변화에 관한 관심이 높아지면서 지속 가능한 산업 생태계 구축을 위한 마이스 ESG 실천은 선택이 아니라 필수""라며 ""앞으로도 서울형 ESG 가이드라인을 중심으로 적극적인 ESG 활동을 추진해 전세계 마이스 산업 시장에서 모범적인 마이스 도시로서 서울을 선보이겠다""고 말했다.",지속가능
이투데이,'LG생활건강·국민연금공단'지속가능경영 대통령 표창 영예,,,,,,,지속가능
이투데이,LG생건·국민연금 `지속가능경영 유공` 대통령 표창,,,,,,,지속가능
디지털타임스,"LG생건·국민연금, '지속가능경영 유공' 대통령상",네이버뉴스,https://n.news.naver.com/mnews/article/029/0002921642?sid=101,,디지털타임스,LG생건·국민연금 `지속가능경영 유공` 대통령 표창,"산업부 '지속가능경영 유공' 시상식 열어
국무총리상에 SK이노베이션·에이치엘비
<산업통상자원부 제공>
LG생활건강, 국민연금공단이 지속가능경영 유공 대통령 표창을 받았다.
산업통상자원부는 대한상공회의소 국제회의장에서 '2024년 지속가능경영유공 시상식'을 열었다고 10일 밝혔다.
이날 시상식에는 지속가능경영 유공 기업 및 기관 21곳에 대통령 표창을 비롯한 정부포상이 진행됐다.
SK이노베이션과 에이치엘비는 국무총리 표창을 받았다. 이외 유공 기업·기관 17곳에는 산업부장관 및 중소벤처기업부 장관 표창이 수여됐다.
산업부는 기업이 자발적으로 활용 가능한 'K-ESG 가이드라인'을 2021년에 마련한 바 있다. 2022년에는 공급망 대응용 가이드라인도 구축했다.
작년과 올해를 걸쳐서는 자동차, 철강, 석유화학, 반도체, 바이오·제약, 디스플레이 등 총 6개의 업종별 가이드라인을 마련해 배포했다.
강감찬 산업정책관은 ""매년 500개 기업에 대해 컨설팅 사업을 추진하고 맞춤형 교육을 실시하는 등 기업의 ESG 경영 문화 확산을 위해 계속 노력할 것""이라고 말했다.
세종=이민우기자 mw38@dt.co.kr",지속가능
더팩트,"현대홈쇼핑,지속가능경영유공 장관상…ESG 경영 성과",네이버뉴스,https://n.news.naver.com/mnews/article/629/0000346336?sid=101,,더팩트,"현대홈쇼핑, 지속가능경영유공 장관상…ESG 경영 성과","자원순환 캠페인, 사회공헌활동, ESG경영위원회 등 운영
현대홈쇼핑이 '2024 지속가능경영유공' 시상식에서 종합 ESG부문 산업자원통상부 장관 표창을 받았다. /우지수 기자
현대홈쇼핑은 '2024 지속가능경영유공' 정부포상 시상식에서 종합 ESG부문 산업통상사원부 장관 표창을 받았다고 10일 밝혔다.
지속가능경영유공은 산업통상자원부가 주최하고 한국생산성본부가 주관하는 시상식으로 지속가능경영의 확산과 선도에 기여하고 모범 경영활동을 펼친 기업을 선정해 수상한다.
현대홈쇼핑은 자원순환 캠페인 전개, 소외계층 및 사회적 약자를 위한 사회공헌 프로그램 운영, ESG경영위원회 중심의 체계적인 거버넌스 구축 등 공로를 인정받았다.
현대홈쇼핑은 기후변화 대응을 위해 탄소중립 로드맵을 수립하고 온실가스 배출량 측정 범위와 관리 대상을 꾸준히 확대해 왔으며 아이스팩·의류 수거 및 재사용, 전자폐기물 자원순환 캠페인 등 고객과 함께하는 환경 경영을 실천하고 있다.
구체적으로 협력사 동반성장을 위한 자금과 연구개발(R&D) 지원을 비롯해 장애인 가정 장학사업, 학교 방송실 리모델링 사업, 다큐멘터리 제작 지원 사업 등 다양한 사회공헌 프로그램을 운영했다.
또 주주가치 제고를 위해 투자자가 배당액을 먼저 확인하고 투자를 결정할 수 있도록 지난 3월 정관을 개정했으며, 배당 안정성과 예측 가능성을 제공하기 위해 올해부터 오는 2026년까지 3개년 중장기 배당정책을 공시하는 등 기업의 사회적 책임을 이행하고 있다.
현대홈쇼핑 관계자는 ""앞으로도 지속가능경영 문화 확산과 더불어 다양한 시각으로 미래를 구상하며 새로운 사회적 가치를 창출하는 기업이 되도록 ESG 경영을 성실히 이행해 나갈 것""이라고 말했다.
발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.
▶카카오톡: '더팩트제보' 검색
▶이메일: jebo@tf.co.kr
▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",지속가능
더팩트,"현대홈쇼핑, ‘지속가능경영유공’ ESG부문 산업부 장관 표창",네이버뉴스,https://n.news.naver.com/mnews/article/629/0000346336?sid=101,,더팩트,"현대홈쇼핑, 지속가능경영유공 장관상…ESG 경영 성과","자원순환 캠페인, 사회공헌활동, ESG경영위원회 등 운영
현대홈쇼핑이 '2024 지속가능경영유공' 시상식에서 종합 ESG부문 산업자원통상부 장관 표창을 받았다. /우지수 기자
현대홈쇼핑은 '2024 지속가능경영유공' 정부포상 시상식에서 종합 ESG부문 산업통상사원부 장관 표창을 받았다고 10일 밝혔다.
지속가능경영유공은 산업통상자원부가 주최하고 한국생산성본부가 주관하는 시상식으로 지속가능경영의 확산과 선도에 기여하고 모범 경영활동을 펼친 기업을 선정해 수상한다.
현대홈쇼핑은 자원순환 캠페인 전개, 소외계층 및 사회적 약자를 위한 사회공헌 프로그램 운영, ESG경영위원회 중심의 체계적인 거버넌스 구축 등 공로를 인정받았다.
현대홈쇼핑은 기후변화 대응을 위해 탄소중립 로드맵을 수립하고 온실가스 배출량 측정 범위와 관리 대상을 꾸준히 확대해 왔으며 아이스팩·의류 수거 및 재사용, 전자폐기물 자원순환 캠페인 등 고객과 함께하는 환경 경영을 실천하고 있다.
구체적으로 협력사 동반성장을 위한 자금과 연구개발(R&D) 지원을 비롯해 장애인 가정 장학사업, 학교 방송실 리모델링 사업, 다큐멘터리 제작 지원 사업 등 다양한 사회공헌 프로그램을 운영했다.
또 주주가치 제고를 위해 투자자가 배당액을 먼저 확인하고 투자를 결정할 수 있도록 지난 3월 정관을 개정했으며, 배당 안정성과 예측 가능성을 제공하기 위해 올해부터 오는 2026년까지 3개년 중장기 배당정책을 공시하는 등 기업의 사회적 책임을 이행하고 있다.
현대홈쇼핑 관계자는 ""앞으로도 지속가능경영 문화 확산과 더불어 다양한 시각으로 미래를 구상하며 새로운 사회적 가치를 창출하는 기업이 되도록 ESG 경영을 성실히 이행해 나갈 것""이라고 말했다.
발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.
▶카카오톡: '더팩트제보' 검색
▶이메일: jebo@tf.co.kr
▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",지속가능
헤럴드경제,"현대홈쇼핑, '지속가능경영유공' 종합 ESG부문 산업부 장관 표창 수상",네이버뉴스,https://n.news.naver.com/mnews/article/016/0002400136?sid=101,,헤럴드경제,"현대홈쇼핑, ‘지속가능경영유공’ ESG부문 산업부 장관 표창","[현대홈쇼핑 제공]
[헤럴드경제=신현주 기자] 현대홈쇼핑은 산업통상자원부가 주최하고 한국생산성본부 주관으로 열린 ‘2024 지속가능경영유공’ 정부포상 시상식에서 종합 ESG(환경・사회・지배구조)부문 산업통상사원부 장관 표창을 받았다고 10일 밝혔다.
지속가능경영유공은 지속가능경영의 확산과 선도에 기여하고 모범적인 경영활동을 펼친 기업에 수여하는 정부 포상이다. 현대홈쇼핑은 자원순환 캠페인, 소외계층과 사회적 약자를 위한 사회공헌 프로그램, ESG경영위원회 중심의 체계적인 거버넌스 구축 등 공로를 인정받았다.
현대홈쇼핑은 기후변화 대응을 위해 탄소중립 로드맵을 수립했다. 이후 온실가스 배출량 측정 범위와 관리 대상을 확대해 왔다. 아이스팩・의류 수거 및 재사용, 전자폐기물 자원순환 캠페인 등 고객과 함께하는 환경 경영을 실천하고 있다.
협력사 동반성장을 위한 자금과 연구개발(R&D) 지원을 비롯해 장애인 가정 장학사업, 학교 방송실 리모델링 사업, 다큐멘터리 제작 지원 등 다양한 사회공헌 프로그램도 운영하고 있다.
또 투자자가 배당액을 먼저 확인하고 투자를 결정하도록 지난 3월 정관을 개정했다. 배당 안정성과 예측 가능성을 제공하기 위해 2024년부터 2026년까지 3개년 중장기 배당정책을 공시하고 있다.
현대홈쇼핑 관계자는 “앞으로도 지속가능경영 문화와 함께 다양한 시각으로 미래를 구상해 새로운 사회적 가치를 창출하는 기업이 되도록 ESG 경영을 이행할 것”이라고 말했다.",지속가능
아시아경제,지속가능한 미래 위해 기후행동 동참 선언…학교 환경교육 내실화,네이버뉴스,https://n.news.naver.com/mnews/article/277/0005514350?sid=102,,아시아경제,지속가능한 미래 위해 기후행동 동참 선언…학교 환경교육 내실화,"‘2024 유네스코 교육의 미래 국제포럼’서 경기탄소중립교육 소개
2022개정 교육과정 ‘학교자율시간’ 활용 환경수업 모듈형 자료 개발
경기도교육청(교육감 임태희)은 ‘2024 유네스코 교육의 미래 국제포럼’에서 지속 가능한 미래를 위해 환경교육을 통한 기후행동 동참을 선언하고 첫 단추인 학교 환경교육을 내실화한다고 10일 밝혔다.
경기도교육청이 ‘2024 유네스코 교육의 미래 국제포럼’에서 지속 가능한 미래를 위해 환경교육을 통한 기후행동 동참을 선언하고 첫 단추인 학교 환경교육을 내실화한다. 경기도교육청 제공
‘2024 유네스코 교육의 미래 국제포럼’은 지난 2일부터 4일까지 도교육청, 유네스코, 교육부, 유네스코한국위원회 공동 주최로 수원컨벤션센터에서 열렸다.
도교육청은 국제포럼 특별 세션에서 일상의 기후행동 실천에 대해 공동실천을 선언하고, 지속가능한 교육을 위해 경기 탄소중립교육 전시?체험부스를 운영했다.
더 나아가 환경수업 자료를 개발해 현장에 보급하고, 기후위기에 대응하는 지역 기반의 실천중심 탄소중립교육을 강화하고자 한다.
2023년 환경교육법 개정에 따라 초?중학교에서는 환경교육이 의무화되고 도교육청은 연간 2차시 이상 편성?운영을 권장하고 있다.
기존의 학교 환경교육 정책은 ▲(초등학교) 교육과정 재구성의 어려움 ▲(중학교) 교양교과군에 속하는 ‘환경교과’ 미편성교의 수업 전문성 부족 ▲환경수업 교육자료가 부족하다는 현장의 어려움이 있다.
이를 해결하고자 도교육청은 2022개정 교육과정 ‘학교자율시간’에 활용할 수 있는 환경수업 모듈형 자료를 개발했다. 이 자료는 학교 상황에 따라 2차시 단위를 기준으로 원하는 주제를 원하는 차시, 형태로 수업이 가능하다.
이번 자료는 학생 주도의 지역 기반 체험형 환경수업 실천을 위해 학생 발달단계에 맞게 유?초등용, 중등용 2종으로 구성했다.
유·초등용 자료집은 ‘따로 또 같이 만드는 환경수업 - 계기교육부터 프로젝트까지’로 유아용과 초등용으로 구성됐다.
유아용 3개 주제(12차시)는 ▲지구 밥상 튼튼 밥상 대작전 ▲나무와 벗하고(GO)! 자연과 벗하고(GO)! ▲플라스틱 보물탐험대로 이어지며 지구에 대한 사랑과 생태감수성을 키워준다.
초등용 14개 주제(85차시)는 ▲저학년군(1~2학년) 우리 학교 속 환경 이야기 ▲중학년군(3~4학년) 우리의 내일을 위한 탄소중립 마을 ▲고학년군(5~6학년) ‘지속가능한 지구공동체는 나로부터!’로 학생 발달단계에 따른 환경교육의 확장을 다룬다.
중등용은 ‘지역과 함께하는 탄소중립 생태환경수업-모듈자료를 중심으로’를 주제로 4개 영역 11단원으로 구성했다. 각 단원은 3~4차시 수업으로 설계하여 총 35차시를 개발했다.
▲탄소 문명과 생태 전환 ▲생물다양성과 자원순환 ▲지역환경문제 쟁점 탐구 ▲생태 전환을 위한 참여와 실천으로 구성되어 환경교육의 지평을 넓히고 학생 발달단계에 맞는 교육을 지원하고 있다.
특히 이번 자료집은 웹진, 학습지, PPT를 제공해 교사들의 환경교육 수업을 지원한다. 교사들은 학교, 교실 상황에 맞게 학습지와 PPT를 수정해 학생 맞춤형 환경교육을 진행할 수 있다.
자료집은 교육청 통합자료실 융합교육정책과에서 내려받을 수 있다.
현계명 도교육청 융합교육정책과장은 “유네스코 교육의 미래 국제포럼에서 지속가능한 아이들의 미래를 위해 환경교육의 중요성을 더욱 느낄 수 있었다”며 “현장에서 교육과정과 수업에 필요한 자료를 개발해 환경교육 실천의 내면화를 돕겠다”고 말했다.",지속가능
