press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,청년도약계좌나흘만에 신청자 32만명 돌파(종합),네이버뉴스,https://n.news.naver.com/mnews/article/003/0011925046?sid=101,,뉴시스,청년도약계좌 나흘만에 신청자 32만명 돌파(종합),"[서울=뉴시스] 황준선 기자 = 윤석열 대통령의 공약 중 하나인 '청년도약계좌'가 출시된 15일 오후 서울 시내 한 은행창구에 청년도약계좌 홍보물이 게시돼 있다. 청년도약계좌는 청년들이 5년간 매월 70만원씩 납입하면 원리금과 정부 기여금을 포함해 최대 5000만원을 모을 수 있는 상품이다. 2023.06.15. hwang@newsis.com
[서울=뉴시스] 최홍 기자 = 5년간 매월 70만원씩 납입하면 최대 5000만원까지 모을 수 있는 청년도약계좌 가입 신청자가 나흘 만에 32만명을 넘어섰다.
20일 금융위원회에 따르면 청년도약계좌 출시 4일차인 이날 가입 신청자는 오후 6시30분 마감 기준 약 8만8000명으로 집계됐다.
지난 15일 출시한 청년도약계좌는 첫날 7만7000명이 신청했으며 이틀째인 16일에는 약 8만4000명의 신청자가 몰린 바 있다. 전날에는 7만9000명이 가입을 신청했으며 현재까지 누적 가입 신청자는 약 32만8000명을 기록 중이다.
청년도약계좌는 초반 가입자 분산을 위해 첫 5영업일 동안은 출생연도 끝자리에 따른 5부제로 가입을 받는다. 신청접수 개시 사흘째인 이날은 출생연도 끝자리가 1 또는 6인 청년들의 가입 신청을 받고 있다．
금융위는 청년도약계좌의 예상 가입자를 약 300만명 규모로 추산한 바 있다．",청년도약계좌
뉴시스,청년도약계좌나흘 만에 가입 신청자 30만명 돌파(종합),네이버뉴스,https://n.news.naver.com/mnews/article/003/0011925046?sid=101,,뉴시스,청년도약계좌 나흘만에 신청자 32만명 돌파(종합),"[서울=뉴시스] 황준선 기자 = 윤석열 대통령의 공약 중 하나인 '청년도약계좌'가 출시된 15일 오후 서울 시내 한 은행창구에 청년도약계좌 홍보물이 게시돼 있다. 청년도약계좌는 청년들이 5년간 매월 70만원씩 납입하면 원리금과 정부 기여금을 포함해 최대 5000만원을 모을 수 있는 상품이다. 2023.06.15. hwang@newsis.com
[서울=뉴시스] 최홍 기자 = 5년간 매월 70만원씩 납입하면 최대 5000만원까지 모을 수 있는 청년도약계좌 가입 신청자가 나흘 만에 32만명을 넘어섰다.
20일 금융위원회에 따르면 청년도약계좌 출시 4일차인 이날 가입 신청자는 오후 6시30분 마감 기준 약 8만8000명으로 집계됐다.
지난 15일 출시한 청년도약계좌는 첫날 7만7000명이 신청했으며 이틀째인 16일에는 약 8만4000명의 신청자가 몰린 바 있다. 전날에는 7만9000명이 가입을 신청했으며 현재까지 누적 가입 신청자는 약 32만8000명을 기록 중이다.
청년도약계좌는 초반 가입자 분산을 위해 첫 5영업일 동안은 출생연도 끝자리에 따른 5부제로 가입을 받는다. 신청접수 개시 사흘째인 이날은 출생연도 끝자리가 1 또는 6인 청년들의 가입 신청을 받고 있다．
금융위는 청년도약계좌의 예상 가입자를 약 300만명 규모로 추산한 바 있다．",청년도약계좌
연합뉴스,'청년도약계좌' 4일째 32.8만명 가입 신청…인기 몰이 계속(종합),네이버뉴스,https://n.news.naver.com/mnews/article/001/0014014542?sid=101,,연합뉴스,청년도약계좌 나흘 만에 가입 신청자 30만명 돌파(종합),"(서울=연합뉴스) 오지은 기자 = 매월 70만원씩 5년간 적금하면 최대 5천만원 목돈을 마련할 수 있는 청년도약계좌 가입 신청자가 출시 나흘 만에 30만명을 넘겼다.
은행권, 청년도약계좌 최고금리 6.0%
[연합뉴스 자료사진]
금융위원회는 20일 오후 6시 30분까지 청년도약계좌 누적 가입 신청자수가 32만8천명(중복 제외)으로 집계됐다고 밝혔다.
이날 8만8천명이 신청했고 15∼19일 누적 가입 신청자수는 24만명이었다.
청년도약계좌는 21일까지 출생 연도를 기준으로 5부제 신청을 받고 22∼23일은 출생 연도와 관계없이 신청받는다.
7월부터는 매달 2주간 가입 신청을 받는다.
가입을 원하는 청년은 은행별 앱으로 오전 9시∼오후 6시 30분에 신청하면 된다.
built@yna.co.kr",청년도약계좌
세계일보,“생활비도 빠듯한데”…청년도약계좌에 ‘박탈감’ 느끼는 청년들,네이버뉴스,https://n.news.naver.com/mnews/article/022/0003825041?sid=102,,세계일보,“생활비도 빠듯한데”… 청년도약계좌에 ‘박탈감’ 느끼는 청년들,"청년도약계좌 잇단 실효성 지적
청년 1인가구 평균 월급 238만원
식비·월세 등 빼면 77만원 남아
5년간 매월 70만원 저축 힘들어
“이사·결혼 등 중도해지 뻔해 포기”
‘증여세 면제’ 꼼수 전락 지적도
직장인 김모(30)씨는 최근 어머니로부터 “청년도약계좌에 가입하는 게 어떻겠냐”는 제안을 들었다. 지인들이 청년도약계좌에 가입한 자녀에게 월 70만원씩 쥐여 주면 사실상 비과세로 돈을 증여할 수 있는 데다 고금리 이자 혜택도 받을 수 있다고 얘기해 줬다는 것이다.
김씨는 “엄마가 매달 70만원씩 넣어줄 수는 없고 35만원씩 반반 내자고 했는데 지금 상황에 월 35만원씩, 그것도 5년간 저축하는 건 무리라서 마음을 접었다”고 말했다. 이어 “경제적 형편이 되는 가정들이 자녀의 결혼자금을 마련해 줄 증여 수단으로 청년도약계좌를 이용하는 것 같다”며 씁쓸해했다.
윤석열 대통령의 공약 중 하나인 '청년도약계좌'가 출시된 지난 15일 서울 시내 한 은행창구에 청년도약계좌 홍보물이 게시돼 있다. 청년도약계좌는 청년들이 5년간 매월 70만원씩 납입하면 원리금과 정부 기여금을 포함해 최대 5000만원을 모을 수 있는 상품이다. 뉴시스
5년 만에 5000만원을 모을 수 있는 ‘청년도약계좌’가 출시 4일 만에 가입자 30만명을 돌파하는 등 흥행하고 있지만 정작 청년들 사이에서는 ‘부모찬스계좌’라는 자조 섞인 목소리가 나오고 있다. 부모의 경제적 도움을 받을 수 있는 청년들의 자산만 부풀려 줄 수 있다는 지적이다.
20일 금융위원회에 따르면 청년도약계좌는 출시 4일 차인 이날 오후 2시까지 총 30만7000명의 가입자를 끌어모았다. 청년도약계좌는 6000만원 이하·가구 중위소득 180% 이하 조건을 충족하는 만 19∼34세 대상으로 최고 6.0%의 금리를 제공하는 정책금융상품이다. 금융위에 따르면 이자율은 소득에 따라 상이한데, 연간 급여 2400만원 이하인 청년이 매달 70만원씩 납입하면 납입액(4200만원)에 은행 이자(우대금리에 따라 534만∼640만원)와 정부 기여금·관련 이자(160만원)까지 더해져 만기 시 총 4894만∼5000만원을 수령할 수 있다는 계산이 나온다.
고금리와 비과세혜택을 누리기 위해 신청자가 몰렸지만 이 같은 흥행은 오히려 청년들의 상대적 박탈감을 부르고 있다. 사회초년생 월급에서 한 달 70만원을 저축하는 것부터 어렵고, 청년 세대에게 5년의 시간은 너무 길다는 것이다. 결혼을 생각 중인 청년들 사이에서는 “결혼하려면 목돈이 필요할 텐데 5년간 돈을 묶어 둘 수 있을지 의문”이라는 반응도 나온다.
직장인 주모(28)씨는 “다른 적금을 정리하고 생활비를 아껴서라도 청년도약계좌에 가입할까 고민했다”며 “근데 이사도 가야 하고 결혼도 해야 해서 만기 5년을 채우기 전에 중도 해지하게 될 게 뻔해 포기했다”고 말했다. 직장인 최모(30)씨도 “만기가 2년인 청년희망적금도 가입했다가 급하게 돈이 필요해져서 중도 해지했는데, 5년 만기를 버틸 수 있을지 모르겠다”고 전했다.
청년도약계좌가 꼼수 증여 수단으로 전락했다는 지적도 있다. 사회관계망서비스(SNS)에서는 “(청년도약계좌는) 사실상 부모 돈 받고 살아서 월 70만원을 꼬박꼬박 낼 수 있는 청년에게 5000만원어치 증여세를 면제해 준다”는 글이 7700회 이상 공유되며 공감을 얻었다.
국무조정실이 지난 3월 발표한 ‘2022년 청년 삶 실태조사’를 보면 청년 1인 가구는 월평균 238만원(세전, 연평균 2856만원)의 소득을 벌어들인다. 이 중 식비, 월세, 세금 등 생활비로 지출하는 금액은 월평균 161만원이다. 평균치만 놓고 봐도 월 70만원 저축이 빠듯한데, 평균치보다 소득이 적거나 대출을 갚고 있다면 가용할 자금은 더 줄어든다. 정부가 홍보하는 ‘5년 안에 5000만원’을 받기 위해서는 소득이 연 2400만원 이하에 한도 70만원을 넣어야 한다는 점을 감안하면 부모의 도움 없이 실현하기는 어렵다는 평가가 나온다.",청년도약계좌
세계일보,청년도약계좌가입 안된다면…이런 적금 어때요?,네이버뉴스,https://n.news.naver.com/mnews/article/022/0003825041?sid=102,,세계일보,“생활비도 빠듯한데”… 청년도약계좌에 ‘박탈감’ 느끼는 청년들,"청년도약계좌 잇단 실효성 지적
청년 1인가구 평균 월급 238만원
식비·월세 등 빼면 77만원 남아
5년간 매월 70만원 저축 힘들어
“이사·결혼 등 중도해지 뻔해 포기”
‘증여세 면제’ 꼼수 전락 지적도
직장인 김모(30)씨는 최근 어머니로부터 “청년도약계좌에 가입하는 게 어떻겠냐”는 제안을 들었다. 지인들이 청년도약계좌에 가입한 자녀에게 월 70만원씩 쥐여 주면 사실상 비과세로 돈을 증여할 수 있는 데다 고금리 이자 혜택도 받을 수 있다고 얘기해 줬다는 것이다.
김씨는 “엄마가 매달 70만원씩 넣어줄 수는 없고 35만원씩 반반 내자고 했는데 지금 상황에 월 35만원씩, 그것도 5년간 저축하는 건 무리라서 마음을 접었다”고 말했다. 이어 “경제적 형편이 되는 가정들이 자녀의 결혼자금을 마련해 줄 증여 수단으로 청년도약계좌를 이용하는 것 같다”며 씁쓸해했다.
윤석열 대통령의 공약 중 하나인 '청년도약계좌'가 출시된 지난 15일 서울 시내 한 은행창구에 청년도약계좌 홍보물이 게시돼 있다. 청년도약계좌는 청년들이 5년간 매월 70만원씩 납입하면 원리금과 정부 기여금을 포함해 최대 5000만원을 모을 수 있는 상품이다. 뉴시스
5년 만에 5000만원을 모을 수 있는 ‘청년도약계좌’가 출시 4일 만에 가입자 30만명을 돌파하는 등 흥행하고 있지만 정작 청년들 사이에서는 ‘부모찬스계좌’라는 자조 섞인 목소리가 나오고 있다. 부모의 경제적 도움을 받을 수 있는 청년들의 자산만 부풀려 줄 수 있다는 지적이다.
20일 금융위원회에 따르면 청년도약계좌는 출시 4일 차인 이날 오후 2시까지 총 30만7000명의 가입자를 끌어모았다. 청년도약계좌는 6000만원 이하·가구 중위소득 180% 이하 조건을 충족하는 만 19∼34세 대상으로 최고 6.0%의 금리를 제공하는 정책금융상품이다. 금융위에 따르면 이자율은 소득에 따라 상이한데, 연간 급여 2400만원 이하인 청년이 매달 70만원씩 납입하면 납입액(4200만원)에 은행 이자(우대금리에 따라 534만∼640만원)와 정부 기여금·관련 이자(160만원)까지 더해져 만기 시 총 4894만∼5000만원을 수령할 수 있다는 계산이 나온다.
고금리와 비과세혜택을 누리기 위해 신청자가 몰렸지만 이 같은 흥행은 오히려 청년들의 상대적 박탈감을 부르고 있다. 사회초년생 월급에서 한 달 70만원을 저축하는 것부터 어렵고, 청년 세대에게 5년의 시간은 너무 길다는 것이다. 결혼을 생각 중인 청년들 사이에서는 “결혼하려면 목돈이 필요할 텐데 5년간 돈을 묶어 둘 수 있을지 의문”이라는 반응도 나온다.
직장인 주모(28)씨는 “다른 적금을 정리하고 생활비를 아껴서라도 청년도약계좌에 가입할까 고민했다”며 “근데 이사도 가야 하고 결혼도 해야 해서 만기 5년을 채우기 전에 중도 해지하게 될 게 뻔해 포기했다”고 말했다. 직장인 최모(30)씨도 “만기가 2년인 청년희망적금도 가입했다가 급하게 돈이 필요해져서 중도 해지했는데, 5년 만기를 버틸 수 있을지 모르겠다”고 전했다.
청년도약계좌가 꼼수 증여 수단으로 전락했다는 지적도 있다. 사회관계망서비스(SNS)에서는 “(청년도약계좌는) 사실상 부모 돈 받고 살아서 월 70만원을 꼬박꼬박 낼 수 있는 청년에게 5000만원어치 증여세를 면제해 준다”는 글이 7700회 이상 공유되며 공감을 얻었다.
국무조정실이 지난 3월 발표한 ‘2022년 청년 삶 실태조사’를 보면 청년 1인 가구는 월평균 238만원(세전, 연평균 2856만원)의 소득을 벌어들인다. 이 중 식비, 월세, 세금 등 생활비로 지출하는 금액은 월평균 161만원이다. 평균치만 놓고 봐도 월 70만원 저축이 빠듯한데, 평균치보다 소득이 적거나 대출을 갚고 있다면 가용할 자금은 더 줄어든다. 정부가 홍보하는 ‘5년 안에 5000만원’을 받기 위해서는 소득이 연 2400만원 이하에 한도 70만원을 넣어야 한다는 점을 감안하면 부모의 도움 없이 실현하기는 어렵다는 평가가 나온다.",청년도약계좌
비즈워치,'청년도약계좌' 가입 못하는 청년 위한 적금에 관심 후끈,네이버뉴스,https://n.news.naver.com/mnews/article/648/0000017209?sid=101,,비즈워치,청년도약계좌 가입 안된다면…이런 적금 어때요?,"청년도약계좌 실효성 논란…일부 소비자들 불만
기본금리만 놓고 보면 연 4.5%…금융권 적금 상품과 비슷
#경기도 안양시에 거주 중인 A씨는 최근 청년도약계좌를 들기 위해 소득조건을 알아보던중 중위소득 180%에 걸려 청년도약계좌 가입이 불가능하다는 사실을 알았다. A씨는 ""개인소득 기준은 충족해 가입이 가능할 줄 알았는데, 가족 모두가 일을 하다 보니 중위소득 180%를 넘게 됐다""라며 ""개인소득이 높지 않은데 가구 중위소득 기준으로 청년도약계좌에 가입하지 못해 아쉽다""고 토로했다
5년간 가입하면 최대 5000만원을 모을 수 있는 청년도약계좌가 지난 15일 출시됐다. 하지만 일부 청년층 사이에서는 실효성 논란이 커지고 있다. 가구 중위소득 조건이 맞지 않는 등의 가입 조건이 충족되지 않아 혜택을 받을 수 없기 때문이다.
또 만 34세를 넘어 지원 대상이 되지 못하는 연령층에서도 역차별이라는 볼멘소리가 나온다. 삶이 팍팍해진 소비자들 사이에서 불만이 터져 나오고 있는 것이다. 이에 청년도약계좌에 준하는 금리의 적금 상품들이 대안으로 제시되고 있다.
까다로운 조건 맞추기 힘든 청년도약계좌
20일 금융위원회에 따르면 청년도약계좌 가입 대상은 총급여 7500만원 이하의 개인소득 요건과 중위소득 180% 이하 가구소득 요건을 충족하는 만 19~34세 청년이다. 이중 청년도약계좌 가입을 위한 마지막 요건은 가구 중위소득이다.
가구 소득 기준으로 중위소득 180% 이하라는 조건을 만족해야 하는데, 보건복지부에 따르면 4인 가구 기준으로 중위소득 180%라면 월 소득이 972만1735원을 넘어야 한다. 4인 가구 구성원이 모두 소득이 있다는 가정하에 일인 소득이 평균 243만원이 넘을 경우 개인 소득 요건이 맞아도 가입이 어려울 수 있다는 것이다.
청년들이 모든 우대금리 요건을 만족한 6% 금리로 70만원씩 부어야 5년 뒤 5000만원을 턱걸이로 넘어설 수 있는 것이다. 다시 말해 △개인소득 및 중위소득 요건 충족 △연간 소득 2400만원 이하 △매월 70만원씩 납입 △은행별 우대금리 조건 충족을 모두 만족해야 5000만원을 받을 수 있다.
또 청년도약계좌에 가입할 수 없는 만 34세가 넘은 청년들과 중장년층은 청년도약계좌가 역차별이라며 문제를 제기했다.
이에 김소영 금융위 부위원장도 지난 3월 청년도약계좌 운영 방향 발표 당시 ""청년층 말고도 어려운 분들이 많고, 지원해야 할 분이 많지만, 특히 청년들은 자산 가격 상승으로 자산 형성이 상대적으로 어려워졌다""며 ""청년들의 자산 형성을 도와주자는 측면에서 이번 청년도약계좌를 내놓게 됐다""고 해명하기도 했다.
이런 상품은 어때?
금융권에서는 청년도약계좌 가입이 어려운 청년들은 일반 적금 상품도 고려해 볼 만하다고 추천한다. 한 시중은행 관계자는 ""청년도약계좌의 경우 비과세 혜택이 있기는 하지만 그것은 만기까지 유지했을 때 이야기인데, 그럴만한 청년들이 많이 있을지 의문""이라며 ""5년으로 만기가 긴 청년도약계좌와 달리 만기를 6개월부터 3년까지 선택할 수 있는 것이 일반 적금의 장점""이라고 강조했다.
우선 18세 이상 39세 이하 금융소비자들을 위한 신한은행의 '신한 청년저축왕 적금'이 있다. 매달 30만원 이내로 자유롭게 납입할 수 있고 가입 기간은 1~3년 내에서 연 단위로 선택 가능하다. 금리는 가입 기간이 길수록 높으며 우대금리를 포함한 최고 적용 금리는 연 5.85%에 달한다. 기본 금리만 보더라도 4.35%로 청년도약계좌와 비슷한 수준이다.
제주은행의 청년층을 위한 'MZ플랜적금'도 기본금리가 3.80%다. 만 39세까지 가입이 가능하고 우대금리까지 더하면 연 최고 5.7%다. 토스뱅크가 선보인 소액 자유적립식 적금인 '굴비적금'도 있다. 최대 30만원 한도 내에서 매일 납입 횟수 제한 없이 자유롭게 적립할 수 있다. 금리는 최대 연 5%며, 별다른 조건 없이 6개월 만기까지 유지할 경우 자동으로 우대금리가 적용된다.
또 기본금리가 연 5%가 넘는 저축은행 적금 상품들도 눈여겨볼 만하다. 이날 기준 저축은행 79개사중 청년도약계좌 기본금리와 같은 연 4.5% 금리를 제공하는 상품이 24개나 있다. 각사별로 보면 오투저축은행, 청주저축은행 등은 12개월 정기적금 최고 우대금리 5%를 제공하고 있다. 그 뒤를 이어 동양저축은행 정기적금 상품의 경우 연 4.8%, KB저축은행 'KB착한누리적금' 4.60% 등이 있다.
까다로운 우대금리 조건이 없다는 것도 저축은행 적금의 장점 중 하나다. 저축은행 관계자는 ""시중은행의 경우 카드 등을 이용해야 우대금리를 적용하는 상품들이 많지만 저축은행은 우대금리 조건이 까다롭지 않다""며 ""저축은행 적금상품의 경우 따로 우대조건없이 기본금리가 우대금리와 동일한 상품이 대다수""라고 설명했다.",청년도약계좌
매일노동뉴스,"""청년도약계좌, 역대급 '관치금융' '포퓰리즘'""",,,,,,,청년도약계좌
매일노동뉴스,외국인 은행주 '매도'에 노조도 '비판'...청년도약계좌흥행 속 우려 점...,,,,,,,청년도약계좌
청년일보,"금융노조 “청년도약계좌, 많이 팔수록 손해… 포퓰리즘 상품”",,,,,,,청년도약계좌
이뉴스투데이,"""청년혜택, 이번엔 과하다""‧‧‧세대갈등 경계론 고개 들다",,,,,,,청년도약계좌
