press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
이데일리,시중은행 규제에 ‘U턴’…보금자리론3배 급증,네이버뉴스,https://n.news.naver.com/mnews/article/018/0006180634?sid=101,,이데일리,시중은행 규제에 ‘U턴’…보금자리론 3배 급증,"대출 규제 강화 후 실수요자 정책대출로 이동
시중은행 6%대·보금자리론 3%대 금리 격차
연말까지 쏠림 지속…정부도 모니터링
[이데일리 최정훈 기자] 시중은행의 대출 문턱이 급격히 높아지면서 실수요자들의 발걸음이 정책모기지 상품인 ‘보금자리론’으로 몰리는 풍선효과가 나타나고 있다. 특히 정부의 6·27 부동산 대책 이후 시중은행 주택담보대출 규제가 강화되자, 상대적으로 금리·만기 조건이 유리한 보금자리론이 대체 수단으로 떠오른 모습이다.
[이데일리 이미나 기자]
9일 한국주택금융공사(HF) 금융통계에 따르면 지난 10월 보금자리론 공급액은 1조8397억원으로 집계됐다. 지난해 같은 달(6515억원)과 비교하면 3배 가까이 늘어난 규모다. 보금자리론 공급액은 지난 9월 처음으로 2조원을 넘긴 데 이어 10월에도 1조8000억원대를 유지하며 높은 수요를 이어가고 있다. 지난해 하반기 월평균 공급액이 3000억~6000억원 수준에 머물렀던 것과 비교하면 수요 증가세가 뚜렷해진 것이다.
보금자리론은 연 소득 7000만원 이하 가구가 6억원 이하 주택을 구입할 때 이용할 수 있는 대표적 정책대출이다. 기본 한도는 3억6000만원이며, 다자녀 가구나 생애최초 구입자 등은 최대 4억~4억2000만원까지 확대 적용받는다. 지난해 ‘특례보금자리론’ 종료 이후 재출시된 상품이지만, 당시에는 시중은행과의 금리 차이가 크지 않아 인기는 제한적이었다.
수요가 본격적으로 늘어난 시점은 시중은행의 가계대출 규제가 강화된 지난해 하반기부터다. 은행들은 총량 관리를 이유로 금리를 잇달아 인상했고, 6·27 대책 이후 주담대 만기가 규제지역에서 최대 30년으로 제한되면서 대출 가능 금액이 눈에 띄게 줄었다. 반면 보금자리론은 여전히 최장 50년 만기가 유지돼 대출 한도 확보에 유리하다. 만기가 길어질수록 월 상환액이 줄어 총부채원리금상환비율(DSR) 부담이 낮아지기 때문이다.
금리 경쟁력도 뚜렷하다. 은행연합회 공시에 따르면 5대 시중은행의 30년 만기 고정금리는 연 3.78~6.47% 수준이지만, 보금자리론(일반형)은 3.75~4.05%에 형성돼 있다. ‘아낌e-보금자리론’은 이보다 더 낮은 3.65~3.95%로 제공돼, 저소득 청년·신혼가구 등이 우대 요건을 충족하면 2%대 후반 금리도 가능하다. 시중은행 금리 상단이 6%대 중반까지 오른 상황에서는 보금자리론의 매력도가 높아질 수밖에 없다.
은행권에서는 이러한 쏠림 현상이 연말까지 이어질 것으로 보고 있다. 연간 가계대출 총량 관리를 위해 주요 은행들이 비대면 창구 운영을 축소하거나 주택담보대출 신규 접수를 제한하고 있는 만큼, ‘대출 절벽’에 내몰린 실수요자들이 정책금융으로 몰리는 흐름이 지속될 것이란 전망이다.
다만 정부는 정책대출이 주택 매수 수요를 자극해 시장 과열로 이어질 가능성도 예의주시하고 있다. 보금자리론은 이번 6·27 대책에서 규제 대상에서 제외됐으나, 시장 유입이 과도해질 경우 추가 조치도 배제하지 않겠다는 입장을 꾸준히 내비쳐 왔다. 금융당국 관계자는 “정책금융이 시장을 과열시키는 방향으로 작동해서는 안 된다”며 “수급 상황과 대출 흐름을 점검해 필요 시 보완 방안을 검토할 수 있다”고 말했다.
정책대출의 활약이 실수요자를 보호하는 안전판 역할을 하고 있지만, 동시에 시중은행 규제의 빈틈이 정책금융으로 집중되는 ‘풍선효과’라는 비판도 제기된다. 금융권 관계자는 “대출 규제의 부담이 민간 금융 대신 정부 재원으로 옮겨지는 구조적 문제도 남아 있어, 향후 주택시장 상황과 정책방향에 따라 보금자리론의 입지는 다시 조정될 가능성이 크다”고 분석했다.",특례보금자리론
매일경제,"[단독] 빚 내서 집 사라더니…특례보금자리론, 25조 부채 폭탄만 남겼다",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005579539?sid=101,,매일경제,"[단독] 빚 내서 집 사라더니…특례보금자리론, 25조 부채 폭탄만 남겼다","9억 이하 주택에 6.5조 묶여
정책 실패 야기 담당자들
되레 요직으로 영전하기도
질의하는 허영 의원
가계부채 폭증의 주요 원인 중 하나로 꼽힌 특례보금자리론 미상환잔액이 25조에 달하는 것으로 나타났다.
27일 허영 더불어민주당 의원이 한국주택금융공사로부터 제출받은 자료에 따르면, 2023년초부터 1년간 판매된 특례보금자리론 최종 공급액 41조8356억원 중 24조 9642억원(올해 8월 말 기준)이 아직 상환되지 않은 상태로 부동산 시장에 남아있는 것으로 확인됐다.
잔액의 60.5%에 해당하는 15조 1057억원은 3억~6억원대 주택 구입자금이었으며, 6억~9억원대 주택에 투입된 6조 4972억원도 남아 있었다.
특례보금자리론은 윤석열 정부가 소득제한을 없애고 9억원 이하 주택에 최대 5억원, 최장 50년 만기로 대출을 허용한 상품이다.
출시 직후 ‘대출규제 완화 신호’로 해석됐으며, 시중은행들이 경쟁적으로 초장기 주택담보대출을 내놓는 촉매 역할을 했다.
하지만 가계부채 폭증의 주범으로 지목되며 숱한 논란 끝에 1년 만에 판매가 종료됐다. 허영 의원은 “특례보금자리론은 서민의 주거 사다리가 되겠다는 정책금융의 취지를 벗어난 고소득층 중심의 집값 부양책”이라며 “가계부채 폭증의 대가는 국민이 치렀고 지금도 그 여파가 이어지고 있다”고 지적했다.
허 의원은 정책 실패를 책임져야 할 담당자들이 오히려 요직으로 영전한 사실도 꼬집었다. 그는 “당시 특례보금자리론을 총괄했던 정책모기지부장은 현재 주택금융공사 기획조정실장, 팀장은 싱가포르사무소 소장으로 발령받은 것으로 확인됐다”고 밝혔다.
그러면서 “정책 실패를 성과처럼 포장하는 것은 국민 신뢰를 저버리는 일”이라며 “주택금융공사는 뼈아픈 성찰과 함께 서민 중심의 금융정책으로 방향을 바로잡아야 한다”고 강조했다.
주택금융공사는 2024년 2월부터 소득요건과 주택가액 기준을 강화한 ‘보금자리론’을 새로 판매 중이다. 올해 10월 기준 누적 공급액은 16조 3129억원으로, 이 중 83%(13조 4854억원)가 6억원 이하 주택 구입자금으로 쓰였다. 6억 원 초과 주택에는 300억원도 미치지 않았다.
허 의원은 “뒤늦게나마 정책 방향을 바로잡은 점은 평가할 만하지만, 특례보금자리론 같은 ‘부채 부양형 정책’은 다시는 반복되어선 안 된다”고 덧붙였다.",특례보금자리론
매일경제,"특례보금자리론, 미상환 25조 육박…정책 실패에도 담당자 요직 승진",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005579539?sid=101,,매일경제,"[단독] 빚 내서 집 사라더니…특례보금자리론, 25조 부채 폭탄만 남겼다","9억 이하 주택에 6.5조 묶여
정책 실패 야기 담당자들
되레 요직으로 영전하기도
질의하는 허영 의원
가계부채 폭증의 주요 원인 중 하나로 꼽힌 특례보금자리론 미상환잔액이 25조에 달하는 것으로 나타났다.
27일 허영 더불어민주당 의원이 한국주택금융공사로부터 제출받은 자료에 따르면, 2023년초부터 1년간 판매된 특례보금자리론 최종 공급액 41조8356억원 중 24조 9642억원(올해 8월 말 기준)이 아직 상환되지 않은 상태로 부동산 시장에 남아있는 것으로 확인됐다.
잔액의 60.5%에 해당하는 15조 1057억원은 3억~6억원대 주택 구입자금이었으며, 6억~9억원대 주택에 투입된 6조 4972억원도 남아 있었다.
특례보금자리론은 윤석열 정부가 소득제한을 없애고 9억원 이하 주택에 최대 5억원, 최장 50년 만기로 대출을 허용한 상품이다.
출시 직후 ‘대출규제 완화 신호’로 해석됐으며, 시중은행들이 경쟁적으로 초장기 주택담보대출을 내놓는 촉매 역할을 했다.
하지만 가계부채 폭증의 주범으로 지목되며 숱한 논란 끝에 1년 만에 판매가 종료됐다. 허영 의원은 “특례보금자리론은 서민의 주거 사다리가 되겠다는 정책금융의 취지를 벗어난 고소득층 중심의 집값 부양책”이라며 “가계부채 폭증의 대가는 국민이 치렀고 지금도 그 여파가 이어지고 있다”고 지적했다.
허 의원은 정책 실패를 책임져야 할 담당자들이 오히려 요직으로 영전한 사실도 꼬집었다. 그는 “당시 특례보금자리론을 총괄했던 정책모기지부장은 현재 주택금융공사 기획조정실장, 팀장은 싱가포르사무소 소장으로 발령받은 것으로 확인됐다”고 밝혔다.
그러면서 “정책 실패를 성과처럼 포장하는 것은 국민 신뢰를 저버리는 일”이라며 “주택금융공사는 뼈아픈 성찰과 함께 서민 중심의 금융정책으로 방향을 바로잡아야 한다”고 강조했다.
주택금융공사는 2024년 2월부터 소득요건과 주택가액 기준을 강화한 ‘보금자리론’을 새로 판매 중이다. 올해 10월 기준 누적 공급액은 16조 3129억원으로, 이 중 83%(13조 4854억원)가 6억원 이하 주택 구입자금으로 쓰였다. 6억 원 초과 주택에는 300억원도 미치지 않았다.
허 의원은 “뒤늦게나마 정책 방향을 바로잡은 점은 평가할 만하지만, 특례보금자리론 같은 ‘부채 부양형 정책’은 다시는 반복되어선 안 된다”고 덧붙였다.",특례보금자리론
이데일리,"특례보금자리론, 미상환 25조…2023년 한시 시행 때 ‘가계빚 폭증’",네이버뉴스,https://n.news.naver.com/mnews/article/018/0006148285?sid=101,,이데일리,"특례보금자리론, 미상환 25조 육박…정책 실패에도 담당자 요직 승진","[2025 국감]
9억 이하 주택에 6.5조 묶여…고소득층 중심 ‘집값 부양책’ 비판
허영 “실패 정책을 성과로 포장…주금공, 서민 중심 금융으로 바로잡아야”
[이데일리 최정훈 기자] 윤석열 정부 시절 출시된 특례보금자리론이 판매 종료 1년이 지난 현재까지 25조 원 가까이 상환되지 않은 것으로 나타났다. 가계부채 급증의 주요 원인으로 지목된 정책이었지만, 당시 사업을 주도한 담당자들은 오히려 주택금융공사(주금공) 내 요직으로 승진해 논란이 일고 있다.
26일 서울 대치 은마아파트 일대.(사진=연합뉴스)
27일 더불어민주당 허영 의원이 주금공으로부터 제출받은 자료에 따르면, 2023년 초부터 1년간 판매된 특례보금자리론의 총 공급액 41조8356억원 중 24조9642억원이 올해 8월 말 기준 여전히 미상환 상태로 남아 있는 것으로 확인됐다. 잔액의 60.5%인 15조1057억원은 3억~6억 원대 주택 구입자금이었고, 6억~9억원대 주택에 투입된 6조4972억 원도 회수되지 않았다.
특례보금자리론은 9억원 이하 주택에 최대 5억원, 최장 50년 만기 대출을 허용한 초장기 정책상품으로, 소득 제한을 폐지하며 사실상 고소득층도 대거 포함시켰다. 출시 직후 ‘대출규제 완화’ 신호로 해석돼 시중은행들이 경쟁적으로 초장기 주담대를 내놓는 계기가 됐으나, 가계부채 급등을 유발했다는 비판 속에 1년 만에 판매가 종료됐다.
허영 의원은 “특례보금자리론은 서민의 주거 사다리를 위한 정책금융이 아니라 고소득층 중심의 집값 부양책이었다”며 “가계부채 폭증의 대가는 국민이 치렀고 지금도 그 여파가 이어지고 있다”고 지적했다.
그는 또 “정책 실패를 성과처럼 포장해 담당자들이 오히려 요직으로 영전한 것은 국민 신뢰를 저버리는 일”이라며 “주택금융공사는 뼈아픈 성찰과 함께 서민 중심의 금융정책으로 방향을 바로잡아야 한다”고 강조했다. 실제로 당시 특례보금자리론을 총괄한 정책모기지부장은 현재 주금공 기획조정실장으로, 팀장은 싱가포르사무소 소장으로 승진한 것으로 알려졌다.
한편, 주금공은 올해 2월부터 소득요건과 주택가액 기준을 강화한 새로운 보금자리론을 판매 중이다. 10월 기준 누적 공급액은 16조3129억 원이며, 이 중 83%(13조4854억 원)가 6억 원 이하 주택 구입자금으로 사용됐다. 6억 원을 초과한 대출은 300억 원에도 미치지 않았다.
허 의원은 “뒤늦게라도 정책 방향을 바로잡은 점은 평가할 만하지만, 특례보금자리론 같은 ‘부채 부양형 정책’은 다시는 반복되어선 안 된다”고 말했다.",특례보금자리론
뉴스1,"은행 대출한파에…10월보금자리론판매액 1.8조, 전년比 3배 '쑥'",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008632797?sid=101,,뉴스1,"은행 대출한파에…10월 보금자리론 판매액 1.8조, 전년比 3배 '쑥'","은행권 대출 한파에 보금자리론 인기 계속…9월엔 2조원 돌파
대출 금리 3.65~3.95% 수준…우대 적용시 2%까지 '뚝'
뉴스1 ⓒ News1 이승배 기자
(서울=뉴스1) 김근욱 기자 = 정책 금융상품인 보금자리론의 판매 실적이 1조 8000억 원을 넘어섰다. 전년 동기(6000억 원대)와 비교하면 약 3배 늘어난 수준이다.
연말이 가까워질수록 가계대출 총량 규제에 따른 시중은행의 금리 인상과 대출 취급 제한이 이어지면서, 정책대출로의 쏠림 현상이 심화될 전망이다.
30일 금융권에 따르면, 지난 10월 보금자리론 판매 금액은 1조 8397억 원으로 집계됐다. 지난 9월 2조 원대를 돌파한 것보다는 소폭 줄었지만, 전년 동기 6515억 원과 비교하면 약 3배 급증했다.
보금자리론은 한국주택금융공사(HF)에서 제공하는 주택담보대출로, 연 소득 7000만 원 이하인 가구가 6억원 이하의 주택을 구입할 때 받는 정책 대출이다.
보금자리론은 지난해 2월 선풍적인 인기를 끌었던 '특례보금자리론'이 종료된 후 재출시된 상품이다. 다만 시중은행 상품과 비교해 금리 차이가 크지 않아 초반 반응은 미미했고, 실제 지난해 3~9월엔 매달 3000억 원대 공급에 그쳤다.
그러나 은행권이 지난해 하반기부터 가계대출 관리를 이유로 금리를 인상하면서 보금자리론의 경쟁력이 부각됐다. 이에 따라 지난해 11월부터 매달 1조 원대 공급으로 올라선 후 지난 9월엔 2조 원대를 돌파한 상황이다.
금융권은 보금자리론 수요가 연말까지 집중될 것으로 본다. 최근 은행권이 가계대출 총량 한도를 지키기 위해 대출 창구를 닫고 있기 때문이다.
금리 경쟁력도 높은 수준이다. 12월 기준 '아낌e-보금자리론' 금리는 연 3.65~3.95% 수준이다. 저소득 청년, 신혼가구 등이 받을 수 있는 우대금리(최대 1.0%p)를 적용할 경우 최저 연 2.65~2.95%까지 내려간다.
일각에서는 정부가 가계대출 관리를 위해 보금자리론 한도 축소 등의 추가 조치에 나설 수 있다는 관측도 나온다. 지난 6·27 부동산 대책 발표 당시 정책성 대출인 디딤돌·버팀목 대출 한도는 축소됐지만 보금자리론은 규제 대상에서 제외됐다.",특례보금자리론
아시아에이,[가계부채의 그늘] ⑮ 윤석열 정부 '특례보금자리론'이 불러온 부채 재...,,,,,,,특례보금자리론
,특례보금자리론금리인하,,,,,,,특례보금자리론
네이버 블로그,특례보금자리론으로 내집마련 해도 될까?ㅣ미래를읽다 최진곤 S2.EP6 [후랭이TV],,,,,,,특례보금자리론
YouTube,"부동산 시장, 데이터로 보면 늦어요! 지금 현장 분위기 알고 싶다면 '이것' 하셔야 합니다",,,,,,,특례보금자리론
YouTube,부천신축빌라 나홀로아파트 소사역 도보 5분 자주식 주차 100% 생애최초주택담보대출특례보금자리가능 붙박이장 에어컨 기본옵션 이사비지원,,,,,,,특례보금자리론
