press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,국산 소주·위스키 가격 인하 요인 생긴다…'기준판매비율' 도입,네이버뉴스,https://n.news.naver.com/mnews/article/003/0012242342?sid=101,,뉴시스,국산 소주·위스키 가격 인하 요인 생긴다…'기준판매비율' 도입,"기재부, '주세법 시행령' 개정안 등 입법예고
내년 1월1일 제조공장 출고분부터 적용 방침
기준판매비율에 따라 세부담 줄어 인하 요인
[서울=뉴시스] 김선웅 기자 = 서울 소재 유통매장에서 소주가 판매되고 있다. 2023.11.08. mangusta@newsis.com
[세종=뉴시스] 오종택 기자 = 정부가 내년 1월부터 출고되는 국산 소주와 위스키 등에 세금을 매길 때 '기준판매비율'을 적용한다. 기준판매비율을 도입하면 국산 증류주에 붙는 세금이 낮아질 수 있어 가격 인하 효과가 기대된다.
기획재정부는 1일 종가세 적용 대상인 국산 주류에 대한 과세표준에 기준판매비율을 도입하는 내용의 '주세법 시행령'과 '주세법 시행규칙' 개정안을 입법예고한다고 밝혔다.
기재부에 따르면 원가에 비례해 세금을 책정하는 종가세 대상인 국내 제조주류와 수입산 주류는 주세 과세시점이 달라 국내 주류의 세부담이 상대적으로 높은 역차별이 존재한다는 지적이 있었다.
국산 주류는 제조자의 판매관리비 등이 과세표준에 포함돼 주세가 과세되는 반면, 수입산 주류는 국내 수입통관 과정에서 과세가 이뤄져 수입업자의 판매관리비 등이 과세표준에 포함되지 않는다.
제조비용이 2만원인 국산 주류의 경우 세액이 2만6000원인데 반해 수입 주류는 수입 원가가 같아도 세액은 1만8000원이다. 국내 주류와 수입산 주류 간 형평성 논란이 제기되는 부분이다.
따라서 내년 1월1일부터 국내 제조장에서 출고하는 국산 주류에 대해 제조장 가격에서 기준판매비율 만큼을 차감한 과세표준을 기준으로 주세를 신고·납부하게 된다.
기준판매비율은 과세표준을 정할 때 적용하는 비율로, 제조 원가에서 기준판매비율분만큼 액수를 뺀 나머지가 과세표준이 된다. 기준판매비율이 커질수록 물리는 세금이 줄기 때문에 출고가 인하폭이 확대된다. 주류의 종류별로 국내 유통과 관련한 판매관리비 등에 상당하는 금액을 기준판매비율로 차감하는 것이다.
기준판매비율은 국산 주류의 주종별 원가, 유통구조 등을 고려해 국내 유통 관련 판매관리비 등이 차지하는 비율을 분석하고, 이를 바탕으로 국세청에 설치된 기준판매비율심의위원회 심의를 통해 결정할 예정이다.
정부 입법예고 기간을 거쳐 각계 의견을 수렴하고, 관계부처 협의와 국무회의 등을 거쳐 올해 안에 입법할 예정이다. 국세청도 연말까지 기준판매비율을 결정·고시해 내년 1월1일부터 시행할 예정이다.
기재부는 ""기준판매비율 제도 도입으로 국산 주류가 수입산 주류에 비해 세부담이 상대적으로 높았던 역차별이 해소돼 국산 주류의 세부담이 감소하면서 과세 형평성이 제고될 것으로 기대된다""고 설명했다.
[서울=뉴시스] 김선웅 기자 = 서울 소재 유통매장에서 소주가 판매되고 있다. 2023.11.08. mangusta@newsis.com",판매비율
뉴시스,"""소주 가격 떨어지나"" 기준판매비율도입 환영…식당 판매가는 ""글쎄""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012242342?sid=101,,뉴시스,국산 소주·위스키 가격 인하 요인 생긴다…'기준판매비율' 도입,"기재부, '주세법 시행령' 개정안 등 입법예고
내년 1월1일 제조공장 출고분부터 적용 방침
기준판매비율에 따라 세부담 줄어 인하 요인
[서울=뉴시스] 김선웅 기자 = 서울 소재 유통매장에서 소주가 판매되고 있다. 2023.11.08. mangusta@newsis.com
[세종=뉴시스] 오종택 기자 = 정부가 내년 1월부터 출고되는 국산 소주와 위스키 등에 세금을 매길 때 '기준판매비율'을 적용한다. 기준판매비율을 도입하면 국산 증류주에 붙는 세금이 낮아질 수 있어 가격 인하 효과가 기대된다.
기획재정부는 1일 종가세 적용 대상인 국산 주류에 대한 과세표준에 기준판매비율을 도입하는 내용의 '주세법 시행령'과 '주세법 시행규칙' 개정안을 입법예고한다고 밝혔다.
기재부에 따르면 원가에 비례해 세금을 책정하는 종가세 대상인 국내 제조주류와 수입산 주류는 주세 과세시점이 달라 국내 주류의 세부담이 상대적으로 높은 역차별이 존재한다는 지적이 있었다.
국산 주류는 제조자의 판매관리비 등이 과세표준에 포함돼 주세가 과세되는 반면, 수입산 주류는 국내 수입통관 과정에서 과세가 이뤄져 수입업자의 판매관리비 등이 과세표준에 포함되지 않는다.
제조비용이 2만원인 국산 주류의 경우 세액이 2만6000원인데 반해 수입 주류는 수입 원가가 같아도 세액은 1만8000원이다. 국내 주류와 수입산 주류 간 형평성 논란이 제기되는 부분이다.
따라서 내년 1월1일부터 국내 제조장에서 출고하는 국산 주류에 대해 제조장 가격에서 기준판매비율 만큼을 차감한 과세표준을 기준으로 주세를 신고·납부하게 된다.
기준판매비율은 과세표준을 정할 때 적용하는 비율로, 제조 원가에서 기준판매비율분만큼 액수를 뺀 나머지가 과세표준이 된다. 기준판매비율이 커질수록 물리는 세금이 줄기 때문에 출고가 인하폭이 확대된다. 주류의 종류별로 국내 유통과 관련한 판매관리비 등에 상당하는 금액을 기준판매비율로 차감하는 것이다.
기준판매비율은 국산 주류의 주종별 원가, 유통구조 등을 고려해 국내 유통 관련 판매관리비 등이 차지하는 비율을 분석하고, 이를 바탕으로 국세청에 설치된 기준판매비율심의위원회 심의를 통해 결정할 예정이다.
정부 입법예고 기간을 거쳐 각계 의견을 수렴하고, 관계부처 협의와 국무회의 등을 거쳐 올해 안에 입법할 예정이다. 국세청도 연말까지 기준판매비율을 결정·고시해 내년 1월1일부터 시행할 예정이다.
기재부는 ""기준판매비율 제도 도입으로 국산 주류가 수입산 주류에 비해 세부담이 상대적으로 높았던 역차별이 해소돼 국산 주류의 세부담이 감소하면서 과세 형평성이 제고될 것으로 기대된다""고 설명했다.
[서울=뉴시스] 김선웅 기자 = 서울 소재 유통매장에서 소주가 판매되고 있다. 2023.11.08. mangusta@newsis.com",판매비율
뉴스1,"소주 싸질까?.. 기준판매비율도입, 출고가 낮춘다",네이버뉴스,https://n.news.naver.com/mnews/article/421/0007211098?sid=101,,뉴스1,"""소주 가격 떨어지나"" 기준판매비율 도입 환영…식당 판매가는 ""글쎄""","소주 출고가 10여년 전 수준, 900원대 중반 낮아질 것 기대
강제성 없어 식당과 주점 판매가 낮출 수 있을지는 미지수
31일 서울 시내 한 대형마트에서 마트 관계자가 소주를 진열하고 있다.  2023.10.31/뉴스1 ⓒ News1 김성진 기자
(서울=뉴스1) 이주현 기자 = 정부가 내년 1월부터 출고되는 소주와 위스키 등 국산 증류주에 세금을 부과할 때 '기준판매비율'을 도입한다. 국산 증류주에 붙는 세금을 낮춰 가격을 안정 시키고 수입 주류와 역차별을 해소하기 위한 의도로 풀이된다.
기준판매비율이 도입되면 대표 서민 술 소주의 출고가가 약 10년 전 수준으로 낮아지는 만큼 소비자 부담을 덜 수 있을 것으로 예상된다. 다만 식당과 주점 판매가의 경우 강제사항이 아닌 만큼 기대만큼 효과를 거둘지는 미지수라는 평가다.
1일 기획재정부는 내년 1월 1일부터 출고되는 국산 주류의 제조장 가격에서 기준판매비율 만큼을 차감한 과세표준을 기준으로 주세를 부과할 계획이라고 밝혔다. 정부는 이날부터 기준판매비율 도입 내용이 담긴 주세법 시행령과 시행규칙 개정안을 입법예고한다.
그간 국내 제조주류와 수입산 주류는 주세 과세시점이 달라 국내 제조주류의 세 부담이 상대적으로 높다는 지적이 제기돼 왔다.
국내 제조주류의 경우 판매관리비, 이윤 등을 더한 금액이 과세표준으로 인정되는 반면 수입주류는 이같은 금액이 과세표준에 포함되지 않는단 이유에서다.
예컨대 이로 인해 소주 한 병에 대해 부과되는 주세가 맥주에 매기는 세금보다 지나치게 과도하단 의견도 잇따랐다.
소주와 달리 국내 맥주의 경우 지난 2020년부터 주류 양에 주종별 세율을 곱해 세금을 부과하는 종량세를 채택하고 있다.
기재부는 이에 내년부터 주세 산정 시 국내 제조주류의 경우 제조장 판매가격에서 일정 수준의 기준판매비율을 차감해 세율을 결정한다는 방침이다.
기준판매비율은 국내 제조주류의 주종별 원가, 유통구조 등을 고려해 국세청 내 기준판매비율심의위원회 심의를 통해 최종 결정된다.
정부는 이달 4일까지 입법예고 기간을 거치고, 관계부처 협의 및 국무회의 등을 거쳐 연내 입법한다는 방침이다.
서울 서초구 하나로마트 양재점에서 시민이 주류를 구입하고 있다.  2023.2.28/뉴스1 ⓒ News1 김민지 기자
정부의 이같은 행보에 주류업계는 ""무조건 환영한다""는 입장이다. 세 부담이 큰 주류 특성상 기준판매비율이 적용될 경우 출고가를 낮아지는 만큼 소비자 부담을 줄일 수 있을 것이라는 기대에서다.
기준판매비율이 40% 내외로 적용될 경우 소주의 출고가는 약 20% 낮춰질 것으로 기대된다. 1000원대 벽을 허물고 약 10년 전 수준인 900원대 중반으로 출고가가 낮아지는 것이다.
출고가가 낮아지는 만큼 대형마트와 편의점, 슈퍼 등도 판매가를 낮출 것으로 예상돼 소비자 체감물가를 상당 부분 떨어뜨릴 것으로 기대된다.
다만 식당과 주점에서 기대만큼의 효과를 볼 수 있을지는 의문점이 뒤따른다. 10년전과 비교해 물가가 오른만큼 임대료, 인건비, 원부자재값 등을 충당하고 수익을 보전하기 위한 수단으로 소주값을 동결할 수 있다는 우려에서다.
지난 십수년간 주점과 식당에서는 출고가가 수십원 오를때마다 판매가를 1000원씩 올렸지만 기준판매비율 적용으로 판매가를 낮춰야 되는 강제성 없는 만큼 제재할 수도 없다.
업계 관계자는 ""기준판매비율 도입으로 국내 주류업체들의 세부담이 감소해 소비자 부담을 덜 수 있을 것으로 기대된다""면서도 ""식당과 주점 등에서도 판매가를 낮출 수 있는 길을 함께 모색하는 것이 중요해 보인다""고 말했다.",판매비율
서울신문,내년에 소주 가격 내려갈까…주류에 ‘기준판매비율’ 도입,네이버뉴스,https://n.news.naver.com/mnews/article/081/0003413119?sid=101,,서울신문,내년에 소주 가격 내려갈까…주류에 ‘기준판매비율’ 도입,"유통 판매관리비, 이윤 상당 금액 차감
연내 입법 마쳐 내년 1월 1일부터 적용
서울 한 대형마트에 진열된 하이트진로의 소주 제품들. 2023.10.31. 연합뉴스
내년부터 소주 등 국산 증류주에도 유통 관련 판매관리비 등을 차감해 세금을 매긴다. 국내 제조 주류와 수입산 주류의 과세 형평성을 맞추기 위한 취지다.
기획재정부는 이런 내용이 담긴 ‘주세법 시행령’ 및 ‘주세법 시행규칙’ 개정안을 입법예고한다고 1일 밝혔다.
국내 증류주는 과세 대상의 원가에 비례해 세금을 책정하는 종가세 대상이다. 국내 증류주엔 제조자의 판매관리비와 이윤 등에도 주세가 과세되는 반면, 수입 주류에는 국내 수입통관 시에 과세가 이뤄져 수입업자의 판매관리비와 이윤 등이 과세 표준에 포함되지 않는다. 국내 제조 주류의 세 부담이 수입산 주류보다 높은 셈이다.
개정안에는 국내에서 제조한 주류의 제조장 판매가격에서 주류의 종류별로 유통 관련 판매관리비, 이윤 등에 상당하는 금액을 기준판매비율로 차감하는 내용이 담겼다.
국내 제조 주류의 과세기준액이 낮아지는 만큼 소주·위스키와 같은 증류주의 가격 인하가 기대된다. 국내 맥주와 탁주 등은 현행 주세법에 따라 주류 양에 주종별 세율을 곱해 세금을 책정하는 종량세를 부과하고 있다.
기준판매비율은 국내 제조 주류의 주종별 원가, 유통구조 등을 고려해 국내 유통 관련 판매관리비 등이 차지하는 비율을 분석하고, 이를 바탕으로 국세청에 설치된 기준판매비율심의위원회의 심의를 거쳐 결정된다.
이번 개정안은 연내 입법을 마쳐 내년 1월 1일 출고분부터 적용할 예정이다.
하이트진로의 소주와 맥주 가격 인상을 하루 앞둔 8일 오후 서울 시내 한 대형마트에 주류가 진열돼 있는 모습. 2023.11.8. 연합뉴스",판매비율
서울신문,2024년부터 소주 등에 기준판매 비율도입… 주류 가격 인하 유도,네이버뉴스,https://n.news.naver.com/mnews/article/081/0003413119?sid=101,,서울신문,내년에 소주 가격 내려갈까…주류에 ‘기준판매비율’ 도입,"유통 판매관리비, 이윤 상당 금액 차감
연내 입법 마쳐 내년 1월 1일부터 적용
서울 한 대형마트에 진열된 하이트진로의 소주 제품들. 2023.10.31. 연합뉴스
내년부터 소주 등 국산 증류주에도 유통 관련 판매관리비 등을 차감해 세금을 매긴다. 국내 제조 주류와 수입산 주류의 과세 형평성을 맞추기 위한 취지다.
기획재정부는 이런 내용이 담긴 ‘주세법 시행령’ 및 ‘주세법 시행규칙’ 개정안을 입법예고한다고 1일 밝혔다.
국내 증류주는 과세 대상의 원가에 비례해 세금을 책정하는 종가세 대상이다. 국내 증류주엔 제조자의 판매관리비와 이윤 등에도 주세가 과세되는 반면, 수입 주류에는 국내 수입통관 시에 과세가 이뤄져 수입업자의 판매관리비와 이윤 등이 과세 표준에 포함되지 않는다. 국내 제조 주류의 세 부담이 수입산 주류보다 높은 셈이다.
개정안에는 국내에서 제조한 주류의 제조장 판매가격에서 주류의 종류별로 유통 관련 판매관리비, 이윤 등에 상당하는 금액을 기준판매비율로 차감하는 내용이 담겼다.
국내 제조 주류의 과세기준액이 낮아지는 만큼 소주·위스키와 같은 증류주의 가격 인하가 기대된다. 국내 맥주와 탁주 등은 현행 주세법에 따라 주류 양에 주종별 세율을 곱해 세금을 책정하는 종량세를 부과하고 있다.
기준판매비율은 국내 제조 주류의 주종별 원가, 유통구조 등을 고려해 국내 유통 관련 판매관리비 등이 차지하는 비율을 분석하고, 이를 바탕으로 국세청에 설치된 기준판매비율심의위원회의 심의를 거쳐 결정된다.
이번 개정안은 연내 입법을 마쳐 내년 1월 1일 출고분부터 적용할 예정이다.
하이트진로의 소주와 맥주 가격 인상을 하루 앞둔 8일 오후 서울 시내 한 대형마트에 주류가 진열돼 있는 모습. 2023.11.8. 연합뉴스",판매비율
세계일보,"'소주 7000원 시대' 막는다…기재부, 주세 기준판매율 도입",네이버뉴스,https://n.news.naver.com/mnews/article/022/0003880795?sid=101,,세계일보,2024년부터 소주 등에 기준 판매 비율 도입… 주류 가격 인하 유도,"내년부터 소주 등 국산 주류의 세금이 줄어든다. 제조자의 국내 유통 판매관리비 등을 차감해 세금이 정해지기 때문이다. 국내 제조 주류의 세 부담이 수입산 주류보다 높은 역차별을 해소하고 국산 주류의 가격 인하를 유도하려는 취지다.
기획재정부는 국산 주류 과세 시 기준판매비율을 도입하는 내용의 ‘주세법 시행령’ 및 ‘주세법 시행규칙’ 개정안을 1일 입법예고한다고 밝혔다.
서울 시내 한 대형마트에 주류가 진열돼 있는 모습. 연합뉴스
개정안은 국내에서 제조한 주류의 주세액을 계산할 때 제조장 판매 가격에서 국내 유통과 관련한 판매관리비 등에 상당하는 금액을 기준판매비율로 차감하는 내용을 담았다. 대상은 소주 등 종가세(과세를 상품 금액에 두는 조세)가 부과되는 주류다.
현재 국내 제조 주류의 경우 제조자의 제조 관련 비용, 유통 단계의 비용, 판매 이윤 등을 포함해 과세표준이 매겨진다.
반면 수입주류는 국내로 통관될 때 과세하기 때문에 수입업자가 유통할 때 드는 비용 등이 과세표준에 포함되지 않는다. 이에 따라 국내 제조 주류의 세 부담이 수입산 주류보다 높아 ‘역차별’이라는 지적이 제기돼왔다.
국내 주류의 과세표준을 매길 때 기준판매비율만큼 차감함으로써 이러한 역차별을 해소하려는 것이 개정안의 목적이다. 고물가 상황이 지속되고 있는 상황 속 주류의 과세기준액 인하에 따른 주류 가격 인하도 기대되는 부분이다.
정부는 올해 안에 입법을 마쳐 내년 1월 1일 출고분부터 적용한다는 계획이다.",판매비율
뉴스토마토,"소주 가격 내리나…""국산 주류에 '기준판매비율' 도입""",,,,,,,판매비율
뉴스토마토,"김병환 기재부 차관 ""내년부터 기준판매비율제도로 주류가격 안정 유도...",,,,,,,판매비율
뉴스웍스,"기재차관 ""내년부터 국내 주류가격 안정 유도…연말 물가잡기 총력""",,,,,,,판매비율
일요서울,"한국주택금융공사, 60대 이상에 '50년만기주담대'판매'시끌'",,,,,,,판매비율
