press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
지디넷코리아,"NHN클라우드, 핀테크 기업에금융클라우드지원",네이버뉴스,https://n.news.naver.com/mnews/article/092/0002290006?sid=105,,지디넷코리아,"NHN클라우드, 핀테크 기업에 금융 클라우드 지원","NHN클라우드(대표 백도민, 김동훈)는 ‘2023년 금융 클라우드 지원사업’ 공급기업으로 3년 연속 선정돼 핀테크 분야 중소기업에 클라우드 서비스를 공급한다고 25일 밝혔다.
한국핀테크지원센터에서 진행하는 ‘금융 클라우드 지원 사업’은 핀테크 기업의 안전한 클라우드 활용을 위해 이용 보조금 및 컨설팅을 지원하는 사업이다. 핀테크 중소기업을 대상으로 평가를 통해 연간 최대 9천600만 원까지 클라우드 이용 바우처를 제공하고, 이관·구축 지원 및 보안 컨설팅, 모의해킹 및 취약점 분석 등 다양한 프로그램을 지원한다.
이 사업에서 NHN클라우드는 수요기업인 핀테크 분야 중소기업의 서비스 유형, 규모 등 핵심 요구사항을 고려해 클라우드 서비스를 제공한다. 수요기업은 이번 사업을 활용해 NHN클라우드의 금융 특화 클라우드 서비스를 더욱 합리적인 비용으로 이용할 수 있다.
NHN클라우드는 핀테크 중소기업 대상 금융 클라우드 지원사업에 참여한다.
NHN클라우드는 핀테크 중소기업이 성장하는 데 도움이 될 수 있도록 ▲클라우드 데모 환경 및 크레딧 지원 ▲NHN클라우드 마켓플레이스 상품 특별 할인 ▲금융 클라우드 구성을 위한 주요 아키텍처 제공 ▲금융 클라우드 수요기업 선정을 위한 무료 컨설팅 등 맞춤 서비스를 제공한다.
특히 NHN클라우드는 이번 사업에서 자사 서비스 이용 고객 중 희망 기업을 대상으로 클라우드 신규 구축, 기존 클라우드 이전 등 전환 유형에 특화된 이관·구축 서비스를 지원할 예정이다.
NHN클라우드는 오픈스택 기반 자체 기술력으로 완성한 통합 클라우드 서비스를 운영한다. 클라우드 네이티브 솔루션과 서비스를 도입하는데 필요한 기술 연계 및 호환성에 강점을 가졌다. 이를 바탕으로 NHN클라우드는 신한투자증권, 상상인저축은행 등 멀티 클라우드 전략 기반 금융권 고객을 연이어 확보했다.
지원사업 수혜를 원하는 핀테크 중소기업은 다음달 19일까지 한국핀테크지원센터 ‘핀테크 포털’에 접속해 신청할 수 있다. 상세 공고는 핀테크 포털 내 금융 클라우드 지원사업 소개 페이지에서 확인 가능하다.
NHN클라우드 허희도 신사업본부장은 “효과적인 클라우드 전환과 이용을 고민하는 핀테크 중소기업에 이번 프로그램이 유용한 기회가 될 것”이라며 “NHN클라우드의 오픈스택 기반 금융 클라우드 환경을 바탕으로 기업이 금융 분야 혁신 서비스를 개발하고 키워 나갈 수 있도록 지원할 것”이라고 강조했다.",금융지원
지디넷코리아,"NHN클라우드, 핀테크 중소기업에금융클라우드지원",네이버뉴스,https://n.news.naver.com/mnews/article/092/0002290006?sid=105,,지디넷코리아,"NHN클라우드, 핀테크 기업에 금융 클라우드 지원","NHN클라우드(대표 백도민, 김동훈)는 ‘2023년 금융 클라우드 지원사업’ 공급기업으로 3년 연속 선정돼 핀테크 분야 중소기업에 클라우드 서비스를 공급한다고 25일 밝혔다.
한국핀테크지원센터에서 진행하는 ‘금융 클라우드 지원 사업’은 핀테크 기업의 안전한 클라우드 활용을 위해 이용 보조금 및 컨설팅을 지원하는 사업이다. 핀테크 중소기업을 대상으로 평가를 통해 연간 최대 9천600만 원까지 클라우드 이용 바우처를 제공하고, 이관·구축 지원 및 보안 컨설팅, 모의해킹 및 취약점 분석 등 다양한 프로그램을 지원한다.
이 사업에서 NHN클라우드는 수요기업인 핀테크 분야 중소기업의 서비스 유형, 규모 등 핵심 요구사항을 고려해 클라우드 서비스를 제공한다. 수요기업은 이번 사업을 활용해 NHN클라우드의 금융 특화 클라우드 서비스를 더욱 합리적인 비용으로 이용할 수 있다.
NHN클라우드는 핀테크 중소기업 대상 금융 클라우드 지원사업에 참여한다.
NHN클라우드는 핀테크 중소기업이 성장하는 데 도움이 될 수 있도록 ▲클라우드 데모 환경 및 크레딧 지원 ▲NHN클라우드 마켓플레이스 상품 특별 할인 ▲금융 클라우드 구성을 위한 주요 아키텍처 제공 ▲금융 클라우드 수요기업 선정을 위한 무료 컨설팅 등 맞춤 서비스를 제공한다.
특히 NHN클라우드는 이번 사업에서 자사 서비스 이용 고객 중 희망 기업을 대상으로 클라우드 신규 구축, 기존 클라우드 이전 등 전환 유형에 특화된 이관·구축 서비스를 지원할 예정이다.
NHN클라우드는 오픈스택 기반 자체 기술력으로 완성한 통합 클라우드 서비스를 운영한다. 클라우드 네이티브 솔루션과 서비스를 도입하는데 필요한 기술 연계 및 호환성에 강점을 가졌다. 이를 바탕으로 NHN클라우드는 신한투자증권, 상상인저축은행 등 멀티 클라우드 전략 기반 금융권 고객을 연이어 확보했다.
지원사업 수혜를 원하는 핀테크 중소기업은 다음달 19일까지 한국핀테크지원센터 ‘핀테크 포털’에 접속해 신청할 수 있다. 상세 공고는 핀테크 포털 내 금융 클라우드 지원사업 소개 페이지에서 확인 가능하다.
NHN클라우드 허희도 신사업본부장은 “효과적인 클라우드 전환과 이용을 고민하는 핀테크 중소기업에 이번 프로그램이 유용한 기회가 될 것”이라며 “NHN클라우드의 오픈스택 기반 금융 클라우드 환경을 바탕으로 기업이 금융 분야 혁신 서비스를 개발하고 키워 나갈 수 있도록 지원할 것”이라고 강조했다.",금융지원
뉴시스,"NHN클라우드, 핀테크 중소기업 대상금융클라우드지원",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011821632?sid=105,,뉴시스,"NHN클라우드, 핀테크 중소기업에 금융 클라우드 지원","기사내용 요약
'2023년 금융 클라우드 지원사업' 3년 연속 공급기업
서비스 유형·규모·핵심 요구사항 등 맞춤형 서비스 제공
NHN클라우드가 '2023년 금융 클라우드 지원사업'공급기업으로 3년 연속 선정됐다(사진=NHN클라우드 제공) *재판매 및 DB 금지
【서울=뉴시스】송혜리 기자 = NHN클라우드가 '2023년 금융 클라우드 지원사업'공급기업으로 3년 연속 선정돼 핀테크 분야 중소기업에 클라우드 서비스를 공급한다고 25일 밝혔다.
한국핀테크지원센터가 진행하는 '금융 클라우드 지원 사업'은 핀테크 기업들이 보다 안전한 클라우드를 활용해 서비스를 개발, 운영할 수 있도록 이용 보조금 및 컨설팅을 지원하는 사업이다.
핀테크 중소기업을 대상으로 평가를 통해 연간 최대 9600만원까지 클라우드 이용 바우처를 제공하고, 이관·구축 지원 및 보안 컨설팅, 모의해킹 및 취약점 분석 등 다양한 프로그램을 지원한다.
이번 사업에서 NHN클라우드는 수요기업인 핀테크 분야 중소기업의 서비스 유형, 규모 등 핵심 요구사항을 고려해 클라우드 서비스를 제공한다. 수요기업은 이번 사업을 활용해 NHN클라우드의 금융 특화 클라우드 서비스를 더욱 합리적인 비용으로 이용할 수 있다.
NHN클라우드는 핀테크 중소기업이 성장하는 데 도움이 될 수 있도록 ▲클라우드 데모 환경 및 크레딧 지원 ▲NHN클라우드 마켓플레이스 상품 특별 할인 ▲금융 클라우드 구성을 위한 주요 아키텍처 제공 ▲금융 클라우드 수요기업 선정을 위한 무료 컨설팅 등 맞춤 서비스를 제공한다.
특히 NHN클라우드는 이번 사업에서 자사 서비스 이용 고객 중 희망 기업을 대상으로 클라우드 신규 구축, 기존 클라우드 이전 등 전환 유형에 특화된 이관·구축 서비스를 지원할 예정이다.
허희도 NHN클라우드 신사업본부장은 ""효과적인 클라우드 전환과 이용을 고민하는 핀테크 중소기업에 이번 프로그램이 유용한 기회가 될 것""이라며 ""NHN클라우드의 오픈스택 기반 금융 클라우드 환경을 바탕으로 기업이 금융 분야 혁신 서비스를 개발하고 키워 나갈 수 있도록 지원할 것""이라고 말했다.",금융지원
연합뉴스,'전세사기 피해' 경매 유예한금융사 직원 제재 안받는다(종합2보),네이버뉴스,https://n.news.naver.com/mnews/article/001/0013900728?sid=101,,연합뉴스,'전세사기 피해' 경매 유예한 금융사 직원 제재 안받는다(종합2보),"경매 유예 어려운 NPL 한정해 일부 주택 공공 매입도 검토
금감원장 ""모든 금융권과 경매 유예·금융 지원에 최선 다할것""
이복현 금감원장
[연합뉴스 자료사진] 2023.4.3 mtkht@yna.co.kr
(서울=연합뉴스) 심재훈 임수정 기자 = 금융당국이 전세 사기 피해자 보호를 위해 피해자 주택에 대한 경매를 유예한 금융사 직원에 대해 제재하지 않기로 했다.
25일 금융권 등에 따르면 금융감독원은 지난 19일 은행 등 금융기관의 자율적인 경매 및 매각 유예 조치가 신속히 이뤄질 수 있도록 금융업권에 이런 내용의 비조치 의견서를 발급한 것으로 확인됐다.
비조치 의견서는 금융당국이 현행 규정으로는 허용되지 않지만, 예외 상황에서 한시적으로 허용한다는 뜻이다.
금감원이 이처럼 이례적으로 비조치 의견서까지 발급한 것은 전세 사기 피해자 주택에 대한 신속한 경매·매각 유예를 통해 피해자들을 보호하자는 이복현 금감원장의 긴급 지시에 따른 것이다.
현행 규정에 따르면 은행 등 금융기관이 전세 사기 피해 임차인이 거주 중인 주택을 기한 내 경매 등 담보권 실행 조치를 하지 않거나, 유예 기간을 초과해 담보권 실행을 유예하는 경우 규정 위반으로 제재 대상이 된다.
이에 대해 금감원은 금융기관이 전세 사기 피해 부동산이라고 통보받은 담보물에 대해서는 전세 사기 피해자의 긴급한 주거 안정 및 피해 구제 목적으로 경매 절차 등 담보권 실행을 유예할 수 있다고 비조치 의견서를 통해 해석했다.
금감원은 금융기관 직원이 임차인의 전세 사기 피해 여부 등 사실 확인을 거쳐 내규에 정한 경매 절차를 일정 기간 유예하더라도 고의 또는 중과실로 사후 관리를 부실하게 하거나 금융 법규를 위반한 것으로 보기 어려워 제재 대상에 해당하지 않는다고 판단했다.
금감원은 최근 전세 사기 피해자가 많아 피해자의 긴급 주거 안정 및 피해자 구제를 최우선으로 할 필요가 있다는 정부 정책에 협조하기 위해 금융기관의 자율적인 판단에 따라 담보권 실행을 유예한 점을 고려했다고 비조치 의견서에 명기했다.
정부·은행업계, 전세사기 피해 주택 경매 유예
(인천=연합뉴스) 윤태현 기자 = 정부와 저축은행 업계가 전세사기 피해 주택에 대한 경매를 유예하기로 한 가운데 21일 오전 인천지방법원 입찰법정 앞에서 시민들이 입찰 게시판을 살펴보고 있다. 2023.4.21 tomatoyoon@yna.co.kr
이를 토대로 금감원은 각 금융권 협회를 통해 인천 미추홀구 전세 사기 피해자 거주 주택의 채권 매각·경매가 진행 중인 건에 대해 매각 유예 및 매각 기일 연기 신청을 요청한 바 있다.
지난 20∼21일 매각 기일이 도래한 인천 미추홀구의 59건은 경매 유예를 유도해 유찰된 4건을 제외하고 모두 유예됐다. 24일에는 경매 기일이 도래한 38건 모두 일정이 연기됐다.
아울러 금융위원회 등 금융당국은 부실채권(NPL) 매입 회사가 보유한 전세 사기 주택 채권 가운데 경매 유예가 어려운 건에 한정해 자산관리공사(캠코)가 일부를 매입하는 방향도 검토하고 있다.
이는 NPL 회사를 운영하는 영세 대부업체들이 금융당국이 요청한 경매 유예에 난색을 보이자 캠코가 일부를 공공 매입하는 방안을 검토하기 시작한 것이다.
금융당국 관계자는 ""모두를 일괄 매입하는 건 아니고 NPL 회사 중 경매유예가 어려운 건에 한정해 그중 일부를 매입하는 방향을 검토 중""이라고 말했다.
한편, 이복현 금감원장은 이날 임원 회의에서 모든 금융권과 함께 경매 유예, 금융 지원 등 피해자 지원을 위한 최선의 노력을 다하라고 지시했다.
이복현 원장은 금융권 협조로 경매·매각 유예가 차질 없이 진행되고 있다면서 일부 영세 NPL 매입기관이 어려움을 겪을 수 있으므로 이를 완화할 수 있는 방안을 고민해달라고 주문했다.
그는 ""은행, 카드사, 상호금융, 새마을금고 등 금융권이 발표한 자율 지원 방안이 피해자에게 신속히 적용될 수 있도록 금융권과 함께 노력해달라""고 덧붙였다.
president21@yna.co.kr sj9974@yna.co.kr",금융지원
연합뉴스,전세사기 피해 주택 '경매 유예'금융사 직원 제재 안받는다,네이버뉴스,https://n.news.naver.com/mnews/article/001/0013900728?sid=101,,연합뉴스,'전세사기 피해' 경매 유예한 금융사 직원 제재 안받는다(종합2보),"경매 유예 어려운 NPL 한정해 일부 주택 공공 매입도 검토
금감원장 ""모든 금융권과 경매 유예·금융 지원에 최선 다할것""
이복현 금감원장
[연합뉴스 자료사진] 2023.4.3 mtkht@yna.co.kr
(서울=연합뉴스) 심재훈 임수정 기자 = 금융당국이 전세 사기 피해자 보호를 위해 피해자 주택에 대한 경매를 유예한 금융사 직원에 대해 제재하지 않기로 했다.
25일 금융권 등에 따르면 금융감독원은 지난 19일 은행 등 금융기관의 자율적인 경매 및 매각 유예 조치가 신속히 이뤄질 수 있도록 금융업권에 이런 내용의 비조치 의견서를 발급한 것으로 확인됐다.
비조치 의견서는 금융당국이 현행 규정으로는 허용되지 않지만, 예외 상황에서 한시적으로 허용한다는 뜻이다.
금감원이 이처럼 이례적으로 비조치 의견서까지 발급한 것은 전세 사기 피해자 주택에 대한 신속한 경매·매각 유예를 통해 피해자들을 보호하자는 이복현 금감원장의 긴급 지시에 따른 것이다.
현행 규정에 따르면 은행 등 금융기관이 전세 사기 피해 임차인이 거주 중인 주택을 기한 내 경매 등 담보권 실행 조치를 하지 않거나, 유예 기간을 초과해 담보권 실행을 유예하는 경우 규정 위반으로 제재 대상이 된다.
이에 대해 금감원은 금융기관이 전세 사기 피해 부동산이라고 통보받은 담보물에 대해서는 전세 사기 피해자의 긴급한 주거 안정 및 피해 구제 목적으로 경매 절차 등 담보권 실행을 유예할 수 있다고 비조치 의견서를 통해 해석했다.
금감원은 금융기관 직원이 임차인의 전세 사기 피해 여부 등 사실 확인을 거쳐 내규에 정한 경매 절차를 일정 기간 유예하더라도 고의 또는 중과실로 사후 관리를 부실하게 하거나 금융 법규를 위반한 것으로 보기 어려워 제재 대상에 해당하지 않는다고 판단했다.
금감원은 최근 전세 사기 피해자가 많아 피해자의 긴급 주거 안정 및 피해자 구제를 최우선으로 할 필요가 있다는 정부 정책에 협조하기 위해 금융기관의 자율적인 판단에 따라 담보권 실행을 유예한 점을 고려했다고 비조치 의견서에 명기했다.
정부·은행업계, 전세사기 피해 주택 경매 유예
(인천=연합뉴스) 윤태현 기자 = 정부와 저축은행 업계가 전세사기 피해 주택에 대한 경매를 유예하기로 한 가운데 21일 오전 인천지방법원 입찰법정 앞에서 시민들이 입찰 게시판을 살펴보고 있다. 2023.4.21 tomatoyoon@yna.co.kr
이를 토대로 금감원은 각 금융권 협회를 통해 인천 미추홀구 전세 사기 피해자 거주 주택의 채권 매각·경매가 진행 중인 건에 대해 매각 유예 및 매각 기일 연기 신청을 요청한 바 있다.
지난 20∼21일 매각 기일이 도래한 인천 미추홀구의 59건은 경매 유예를 유도해 유찰된 4건을 제외하고 모두 유예됐다. 24일에는 경매 기일이 도래한 38건 모두 일정이 연기됐다.
아울러 금융위원회 등 금융당국은 부실채권(NPL) 매입 회사가 보유한 전세 사기 주택 채권 가운데 경매 유예가 어려운 건에 한정해 자산관리공사(캠코)가 일부를 매입하는 방향도 검토하고 있다.
이는 NPL 회사를 운영하는 영세 대부업체들이 금융당국이 요청한 경매 유예에 난색을 보이자 캠코가 일부를 공공 매입하는 방안을 검토하기 시작한 것이다.
금융당국 관계자는 ""모두를 일괄 매입하는 건 아니고 NPL 회사 중 경매유예가 어려운 건에 한정해 그중 일부를 매입하는 방향을 검토 중""이라고 말했다.
한편, 이복현 금감원장은 이날 임원 회의에서 모든 금융권과 함께 경매 유예, 금융 지원 등 피해자 지원을 위한 최선의 노력을 다하라고 지시했다.
이복현 원장은 금융권 협조로 경매·매각 유예가 차질 없이 진행되고 있다면서 일부 영세 NPL 매입기관이 어려움을 겪을 수 있으므로 이를 완화할 수 있는 방안을 고민해달라고 주문했다.
그는 ""은행, 카드사, 상호금융, 새마을금고 등 금융권이 발표한 자율 지원 방안이 피해자에게 신속히 적용될 수 있도록 금융권과 함께 노력해달라""고 덧붙였다.
president21@yna.co.kr sj9974@yna.co.kr",금융지원
부산일보,"'전세사기' 피해 주택 경매 유예한금융사 직원, 제재 안 받는다",네이버뉴스,https://n.news.naver.com/mnews/article/082/0001209118?sid=101,,부산일보,전세사기 피해 주택 '경매 유예' 금융사 직원 제재 안받는다,"금감원장 ""모든 금융권과 함께 지원할 것""
경매 유예 어려운 NPL 한정…공공 매입 검토
금융당국이 전세 사기 피해자 보호를 위해 피해자 주택에 대한 경매를 유예한 금융사 직원에 대해 제재하지 않기로 했다. 서울 여의도 금감원. 연합뉴스
금융당국이 전세 사기 피해자 보호를 위해 피해자 주택에 대한 경매를 유예한 금융사 직원에 대해 제재하지 않기로 했다.
25일 금융권 등에 따르면 금융감독원은 이달 19일 은행 등 금융기관의 자율적인 경매 및 매각 유예 조치가 신속히 이뤄질 수 있도록 금융업권에 이런 내용의 비조치 의견서를 발급한 것으로 확인됐다.
비조치 의견서는 금융당국이 현행 규정으로는 허용되지 않지만, 예외 상황에서 한시적으로 허용한다는 뜻이다. 이는 전세 사기 피해자 주택에 대한 신속한 경매·매각 유예를 통해 피해자들을 보호하자는 이복현 금감원장의 긴급 지시에 따른 것이다. 이 원장은 이날 임원 회의에서도 ""모든 금융권과 함께 경매 유예, 금융지원 등 피해자 지원을 위한 최선의 노력을 다할 것""이라고 강조했다.
현행 규정에 따르면 은행 등 금융기관이 전세 사기 피해 임차인이 거주 중인 주택을 기한 내 경매 등 담보권 실행 조치를 하지 않거나, 유예 기간을 초과해 담보권 실행을 유예하는 경우 규정 위반으로 제재 대상이 된다.
이에 대해 금감원은 금융기관이 전세 사기 피해 부동산이라고 통보받은 담보물에 대해서는 전세 사기 피해자의 긴급한 주거 안정 및 피해 구제 목적으로 경매 절차 등 담보권 실행을 유예할 수 있다고 비조치 의견서를 통해 해석했다.
금감원은 금융기관 직원이 임차인의 전세 사기 피해 여부 등 사실 확인을 거쳐 내규에 정한 경매 절차를 일정 기간 유예하더라도 고의 또는 중과실로 사후 관리를 부실하게 하거나 금융 법규를 위반한 것으로 보기 어려워 제재 대상에 해당하지 않는다고 판단했다.
이달 20∼21일 매각 기일이 도래한 인천 미추홀구의 59건은 경매 유예를 유도해 유찰된 4건을 제외하고 모두 유예됐다. 24일에는 경매 기일이 도래한 38건 모두 일정이 연기됐다.
한편 금융위원회 등 금융당국은 부실채권(NPL) 매입 회사가 보유한 전세 사기 주택 채권 가운데 경매 유예가 어려운 건에 한정해 자산관리공사(캠코)가 일부를 매입하는 방향도 검토하고 있다.
NPL 회사를 운영하는 영세 대부업체들이 금융당국이 요청한 경매 유예에 난색을 보이자 캠코가 일부를 공공 매입하는 방안을 검토하기 시작한 것이다. 금융당국 관계자는 ""모두를 일괄 매입하는 건 아니고 NPL 회사 중 경매유예가 어려운 건에 한정해 그중 일부를 매입하는 방향을 검토 중""이라고 말했다.",금융지원
뉴스1,"코스콤, 핀테크 기업에금융클라우드지원한다",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006768782?sid=101,,뉴스1,"코스콤, 핀테크 기업에 금융 클라우드 지원한다","5월19일까지 총 60개 기업 모집
(코스콤 제공)
(서울=뉴스1) 공준호 기자 = 코스콤은 금융 클라우드 지원사업에 참여할 기업을 모집한다고 25일 밝혔다.
금융 클라우드 지원 사업은 금융위원회의 '금융혁신 가속화를 위한 핀테크 스케일업 추진전략'의 하나다. 핀테크 기업이 클라우드를 활용해 서비스를 안전하게 개발할 수 있게 지원하는 프로그램이다.
이번 지원사업의 모집기간은 이달 21일부터 5월19일까지로, 총 60개 기업을 모집한다. 선정된 기업은 연간 최대 9600만원의 클라우드 이용 바우처와 기존 시스템 이관 지원 및 보안 분야 컨설팅 등을 받을 수 있다. 아울러 기업이 희망할 경우 모의해킹을 통한 보안 점검도 받을 수 있다.
코스콤은 참가기업 모집을 위해 오는 26일 오후 2시 공덕역 프런트원에서 '금융 클라우드 지원 사업 설명회'를 진행할 예정이다.
김성환 코스콤 디지털사업본부 상무는 ""이번 지원 사업을 통해 핀테크 기업은 연간 시스템 비용을 절감하고 안정적인 금융클라우드를 이용할 수 있는 좋은 기회가 될 것""이라고 말했다.
코스콤은 이달 한국핀테크지원센터로부터 '2023년 금융클라우드 지원 사업 운영자'로 선정되며 4년 연속 금융클라우드 지원사업을 이어가고 있다.",금융지원
뉴스1,"코스콤,금융클라우드지원사업 모집",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006768782?sid=101,,뉴스1,"코스콤, 핀테크 기업에 금융 클라우드 지원한다","5월19일까지 총 60개 기업 모집
(코스콤 제공)
(서울=뉴스1) 공준호 기자 = 코스콤은 금융 클라우드 지원사업에 참여할 기업을 모집한다고 25일 밝혔다.
금융 클라우드 지원 사업은 금융위원회의 '금융혁신 가속화를 위한 핀테크 스케일업 추진전략'의 하나다. 핀테크 기업이 클라우드를 활용해 서비스를 안전하게 개발할 수 있게 지원하는 프로그램이다.
이번 지원사업의 모집기간은 이달 21일부터 5월19일까지로, 총 60개 기업을 모집한다. 선정된 기업은 연간 최대 9600만원의 클라우드 이용 바우처와 기존 시스템 이관 지원 및 보안 분야 컨설팅 등을 받을 수 있다. 아울러 기업이 희망할 경우 모의해킹을 통한 보안 점검도 받을 수 있다.
코스콤은 참가기업 모집을 위해 오는 26일 오후 2시 공덕역 프런트원에서 '금융 클라우드 지원 사업 설명회'를 진행할 예정이다.
김성환 코스콤 디지털사업본부 상무는 ""이번 지원 사업을 통해 핀테크 기업은 연간 시스템 비용을 절감하고 안정적인 금융클라우드를 이용할 수 있는 좋은 기회가 될 것""이라고 말했다.
코스콤은 이달 한국핀테크지원센터로부터 '2023년 금융클라우드 지원 사업 운영자'로 선정되며 4년 연속 금융클라우드 지원사업을 이어가고 있다.",금융지원
파이낸셜뉴스,"코스콤,금융클라우드지원사업 참여 기업 모집",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005002235?sid=101,,파이낸셜뉴스,"코스콤, 금융 클라우드 지원사업  모집","[파이낸셜뉴스] 코스콤이 금융 클라우드 지원 사업에 참여할 기업을 모집한다.
25일 코스콤은 다음 달 19일까지 금융 클라우드 지원 사업에 참여할 기업을 모집한다며 총 60개 기업을 지원한다고 밝혔다.
금융 클라우드 지원 사업은 금융위원회의 ‘금융혁신 가속화를 위한 핀테크 스케일업 추진전략’의 일환으로 핀테크 기업이 클라우드를 활용해 서비스를 안전하게 개발할 수 있게 지원하는 프로그램이다.
프로그램에 선정된 기업은 연간 최대 9600만원의 클라우드 이용 바우처와 기존 시스템 이관 지원 및 보안 분야 컨설팅 등을 받을 수 있다. 또 기업이 희망할 경우 모의해킹을 통한 보안점검도 이루어질 계획이다.
참가 기업 모집을 위해 오는 26일에는 서울 공덕에 위치한 프런트원에서 ‘금융 클라우드 지원 사업 설명회’가 진행된다.
김성환 코스콤 디지털사업본부 상무는 “이번 지원 사업을 통해 핀테크 기업은 연간 시스템 비용을 절감할 수 있다”며 “안정적인 금융 클라우드를 이용할 수 있는 좋은 기회가 될 것”이라고 전했다.",금융지원
시사오늘,"IBK기업은행, 농어촌 학교에 탄소중립·금융교육지원[은행오늘]",,,,,,,금융지원
