press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
이데일리,"카카오페이,대환대출서비스에 시중 5대 은행 입점",네이버뉴스,https://n.news.naver.com/mnews/article/018/0005493769?sid=105,,이데일리,"카카오페이, 대환대출 서비스에 시중 5대 은행 입점","""가계 부담 경감 효과 기대""
[이데일리 임유경 기자] 카카오페이(377300) ‘대출 갈아타기’ 서비스에 시중 5대 은행인 KB국민은행·NH농협은행·신한은행·우리은행·하나은행이 모두 입점한다.
카카오페이는 시중 5대 은행과 대환대출 서비스를 제공하기로 했다고 25일 밝혔다.
금융당국은 금융소비자가 손쉽게 더 낮은 금리의 대출로 이동할 수 있는 대환대출 인프라를 구축해, 이달 말 가동할 예정이다. 대환대출 인프라에 참여하는 카카오페이는 서비스 내에서 양질의 대출 상품이 제공하기 위해 시중 5대 은행 모두와 협업해 ‘대출 갈아타기’ 서비스를 선보이게 됐다는 설명이다.
카카오페이 ‘대출 갈아타기’ 서비스에서 사용자들은 자신이 보유한 대출상품과 입점 금융사들의 대출상품 조건을 한눈에 비교할 수 있다. 내 대출 상품의 한도나 금리 조건이 다른 상품과 비교해 좋은지 나쁜지 손쉽게 파악할 수 있게 되는 것이다. 사용자의 신용정보와 조건에 맞는 다양한 양질의 상품을 확인하고 더 낮은 금리의 상품을 찾아 갈아탈 수도 있다.
카카오페이는 ‘대출 갈아타기’ 서비스를 통해 사용자가 지급해야하는 이자 비용이 줄어, 실질적인 가계 부담 경감 효과가 있을 것으로 기대하고 있다. ‘대출 갈아타기’ 서비스의 개념이 생소한 금융소비자들을 위해 다양한 홍보 방안을 준비 중이다.
카카오페이 ‘대출 갈아타기’는 사전 신청을 받고 있다. 카카오톡이나 카카오페이앱의 ‘대출’ 영역에서 ‘대출 갈아타기 사전 신청’을 통해 신청 가능하다.
카카오페이 관계자는 “대환대출 서비스 제공의 최우선 목적은 사용자의 이자절감 효과 등 편익 제고”라며, “앞으로도 카카오페이는 사용자 효익 확대 및 금융 혁신 차원에서 금융당국의 정책 및 지침에 발맞춰 대출 중개 사업을 진행할 것”이라고 전했다.",대환대출 
이데일리,"""대출러들 주목"" 카카오페이, 5대 은행과대환대출서비스 실시",네이버뉴스,https://n.news.naver.com/mnews/article/018/0005493769?sid=105,,이데일리,"카카오페이, 대환대출 서비스에 시중 5대 은행 입점","""가계 부담 경감 효과 기대""
[이데일리 임유경 기자] 카카오페이(377300) ‘대출 갈아타기’ 서비스에 시중 5대 은행인 KB국민은행·NH농협은행·신한은행·우리은행·하나은행이 모두 입점한다.
카카오페이는 시중 5대 은행과 대환대출 서비스를 제공하기로 했다고 25일 밝혔다.
금융당국은 금융소비자가 손쉽게 더 낮은 금리의 대출로 이동할 수 있는 대환대출 인프라를 구축해, 이달 말 가동할 예정이다. 대환대출 인프라에 참여하는 카카오페이는 서비스 내에서 양질의 대출 상품이 제공하기 위해 시중 5대 은행 모두와 협업해 ‘대출 갈아타기’ 서비스를 선보이게 됐다는 설명이다.
카카오페이 ‘대출 갈아타기’ 서비스에서 사용자들은 자신이 보유한 대출상품과 입점 금융사들의 대출상품 조건을 한눈에 비교할 수 있다. 내 대출 상품의 한도나 금리 조건이 다른 상품과 비교해 좋은지 나쁜지 손쉽게 파악할 수 있게 되는 것이다. 사용자의 신용정보와 조건에 맞는 다양한 양질의 상품을 확인하고 더 낮은 금리의 상품을 찾아 갈아탈 수도 있다.
카카오페이는 ‘대출 갈아타기’ 서비스를 통해 사용자가 지급해야하는 이자 비용이 줄어, 실질적인 가계 부담 경감 효과가 있을 것으로 기대하고 있다. ‘대출 갈아타기’ 서비스의 개념이 생소한 금융소비자들을 위해 다양한 홍보 방안을 준비 중이다.
카카오페이 ‘대출 갈아타기’는 사전 신청을 받고 있다. 카카오톡이나 카카오페이앱의 ‘대출’ 영역에서 ‘대출 갈아타기 사전 신청’을 통해 신청 가능하다.
카카오페이 관계자는 “대환대출 서비스 제공의 최우선 목적은 사용자의 이자절감 효과 등 편익 제고”라며, “앞으로도 카카오페이는 사용자 효익 확대 및 금융 혁신 차원에서 금융당국의 정책 및 지침에 발맞춰 대출 중개 사업을 진행할 것”이라고 전했다.",대환대출 
파이낸셜뉴스,"카카오페이, 시중 5대 은행 다 잡았다...대환대출中 유일",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005017784?sid=101,,파이낸셜뉴스,"""대출러들 주목"" 카카오페이, 5대 은행과 대환대출 서비스 실시","시중 5대 은행, 카카오페이 대환대출 서비스 '대출 갈아타기' 입점
카카오페이 서비스 내에서 '대출 갈아타기' 사전 신청 중
[카카오페이 제공]
[파이낸셜뉴스] 카카오페이가 시중 5대 은행과 손잡고 대환대출 서비스를 제공하며 금융소비자 이자부담 경감에 나선다고 25일 밝혔다.
카카오페이 '대출 갈아타기' 서비스에서 사용자들은 자신이 보유한 대출상품과 입점 금융사들의 대출상품 조건을 한눈에 비교할 수 있다. 자신의 대출 상품의 한도나 금리 조건이 다른 상품과 비교해 좋은지 나쁜지 손쉽게 파악할 수 있게 되는 것이다.
사용자의 신용정보와 조건에 맞는 다양한 양질의 상품을 확인하고 더 낮은 금리의 상품을 찾아 갈아탈 수도 있다. 카카오페이 측은 ""'대출 갈아타기' 서비스를 이용하면 사용자들이 대출 이자로 지급해야 하는 비용이 줄어들어 실질적인 가계 부담 경감 효과가 있을 것""이라고 기대했다.
KB국민은행·NH농협은행·신한은행·우리은행·하나은행이 모두 입점한 대환대출 서비스는 카카오페이의 '대출 갈아타기'가 유일하다.
현재 카카오페이 '대출 갈아타기' 서비스는 사전 신청을 받고 있다. 카카오톡이나 카카오페이앱의 '대출' 영역에서 '대출 갈아타기 사전 신청'을 통해 신청이 가능하다.
카카오페이는 ""대환대출 서비스 제공의 최우선 목적은 사용자의 이자절감 효과 등 편익 제고""라며 ""앞으로도 카카오페이는 사용자 효익 확대 및 금융 혁신 차원에서 금융당국의 정책 및 지침에 발맞춰 대출 중개 사업을 진행할 것""이라고 전했다.",대환대출 
아시아경제,"""금리 내려간다. 10분만에 갈아타자""…31일 원스톱대환대출시작",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005263937?sid=101,,아시아경제,"""금리 내려간다. 10분만에 갈아타자""…31일 원스톱 대환대출 시작","토스·핀다·네이버파이낸셜·카카오페이·뱅크샐러드
시중은행 중에선 신한은행이 서비스 시작
[이미지출처=연합뉴스]
""금리가 떨어지고 있다는데 이럴 때 더 싼 곳으로 갈아타야죠."" 직장인 이성희씨(37)는 10개월 전 금리 5.3%에 3000만원 신용대출을 받았다. ""중도상환수수료를 내야할 시기가 지난데다 요즘 금리가 내려간다길래 어떻게 해야할까 생각하던 참이었는데 이달 말 출시되는 대환대출 플랫폼을 써볼 생각""이라고 했다.
복잡한 대환, 앱에서 10분만에 가능
오는 31일부터 원스톱 대환대출서비스가 시작된다. 기존 대출금리비교 서비스를 제공하던 토스·핀다·네이버파이낸셜·카카오페이·뱅크샐러드와 시중은행 중 신한은행이 이 서비스를 제공한다.
핵심은 기존의 금리 비교에서 한단계 더 나아가 다른 은행의 저렴한 금리의 상품을 골라 그 자리에서 바로 갈아탈 수 있도록 해주는 것이다.
금융위 관계자는 ""지금까지 대환대출을 하려면 직접 금융소비자들이 은행에 가야 하고 서류도 복잡했는데 앞으로는 대환대출 플랫폼에서 금리 비교를 한 다음 10분만에 온라인으로
바로 대출 갈아타기 실행까지 가능하게 됐다""며 ""은행들 간 금리 경쟁도 치열해질 것""이라고 했다.
대출비교 플랫폼 이용자가 마이데이터 서비스에 동의하면 해당 플랫폼은 이용자의 기존 대출 목록을 보여준다. 이용자는 그중에서 금리 비교를 하고 싶은 대출 상품을 고르고, 직업·연소득·재산 등을 추가로 입력하면 이 플랫폼과 제휴한 금융사들이 이용자에게 새로운 대출한도와 금리를 제시하는 게 끝이었다.
앞으로는 이용자가 시중은행, 저축은행, 카드, 캐피털 등에서  제시한  새 대출상품 중 가장 조건이 좋은 것을 터치하면, 해당 금융사의 대출 앱으로 즉시 화면이 옮겨간다. 거기서 대출 승인을 받으면 바로 금융결제원을 통한 갈아타기가 실행되는 것이다.
예를 들어 홍길동이라는 사람이 원래 A저축은행에서 돈을 빌렸다가 금리가 좀 더 싼 B시중은행으로 갈아탄다고 가정해 보자. 홍길동으로부터 대환대출 신청을 받은 B시중은행은 금융결제원을 통해 A저축은행에 있던 홍길동의 대출을 대신 갚아준다. 그런 다음 B시중은행은 홍길동의 대출을 신규대출로 전환하게 되고 홍길동은 B은행에 돈을 갚으면 된다.
31일부터  네이버파이낸셜, 카카오페이, 토스, 핀다,뱅크샐러드는 등은 기존 앱을 업데이트해 대환대출서비스를 실시한다. 신한은행은 전용앱인 쏠에 대환대출 서비스 기능을 넣기로 했다.
전용상품 만드는 시중은행, 플랫폼에 제공하는 상품 수 제한적
저축은행은 대출금리 내릴 형편 안돼
한계점도 있다. 대환대출플랫폼에 참여하는 금융사들이 자사의 모든 금융상품을 포함시키는 것이 아니라 상품 다양성을 확보하기 힘들다는 점이다. 시중은행들은 대환대출 전용상품을 따로 만들고 있다. 시중은행 관계자는 ""대환대출서비스가 나오면 은행이 빅테크에 제품을 제공하는 존재 정도로 전락하고 종속될 것이란 우려가 있어 그간 반대해 왔었다""며 ""그래도 기존 고객을 넋놓고 뺏길수 없어서 기존 상품보다 금리가 0.2~3%포인트 낮은 전용상품을 내놓고 반응을 살펴볼 것""이라고 말했다.
저축은행의 경우 대출 영업을 적극적으로 못하는 형편이라는 것도 문제다. 저축은행들은 작년 말 예금금리를 지나치게 높인 바람에  1분기 적자를 냈다. 저축은행 관계자는 ""예금으로 대출재원을 조달하는데 예금금리는 높고, 대출금리를 낮추면 손해보는 구조라 지금은 대출금리를 내리면서까지 영업하는 게 불가능하다""며 ""대환대출플랫폼에서 당장 저축은행이 할 수 있는 역할은 제한적일 것""이라고 했다.
대출비교 플랫폼 관계자는 ""시중은행, 지방은행, 인터넷은행에 카드, 캐피털사까지 합치면 서비스에 참여하는 금융사는 수십개 수준이고  대환대출 제휴사의 상품수는 출시직전까지 조정될 것""이라며 ""누가 더 많은 제휴사와 상품수를 확보하느냐가 성패를 결정할 것""이라고 전했다. 금융위원회는 대환대출 플랫폼에 신용대출을 먼저 적용한후, 올해말에는 주택담보대출까지 서비스를 확대할 계획이다.",대환대출 
아시아경제,'앱으로대출갈아타기' D-7…51개 금융사·7개 플랫폼 먼저 출격,네이버뉴스,https://n.news.naver.com/mnews/article/277/0005263937?sid=101,,아시아경제,"""금리 내려간다. 10분만에 갈아타자""…31일 원스톱 대환대출 시작","토스·핀다·네이버파이낸셜·카카오페이·뱅크샐러드
시중은행 중에선 신한은행이 서비스 시작
[이미지출처=연합뉴스]
""금리가 떨어지고 있다는데 이럴 때 더 싼 곳으로 갈아타야죠."" 직장인 이성희씨(37)는 10개월 전 금리 5.3%에 3000만원 신용대출을 받았다. ""중도상환수수료를 내야할 시기가 지난데다 요즘 금리가 내려간다길래 어떻게 해야할까 생각하던 참이었는데 이달 말 출시되는 대환대출 플랫폼을 써볼 생각""이라고 했다.
복잡한 대환, 앱에서 10분만에 가능
오는 31일부터 원스톱 대환대출서비스가 시작된다. 기존 대출금리비교 서비스를 제공하던 토스·핀다·네이버파이낸셜·카카오페이·뱅크샐러드와 시중은행 중 신한은행이 이 서비스를 제공한다.
핵심은 기존의 금리 비교에서 한단계 더 나아가 다른 은행의 저렴한 금리의 상품을 골라 그 자리에서 바로 갈아탈 수 있도록 해주는 것이다.
금융위 관계자는 ""지금까지 대환대출을 하려면 직접 금융소비자들이 은행에 가야 하고 서류도 복잡했는데 앞으로는 대환대출 플랫폼에서 금리 비교를 한 다음 10분만에 온라인으로
바로 대출 갈아타기 실행까지 가능하게 됐다""며 ""은행들 간 금리 경쟁도 치열해질 것""이라고 했다.
대출비교 플랫폼 이용자가 마이데이터 서비스에 동의하면 해당 플랫폼은 이용자의 기존 대출 목록을 보여준다. 이용자는 그중에서 금리 비교를 하고 싶은 대출 상품을 고르고, 직업·연소득·재산 등을 추가로 입력하면 이 플랫폼과 제휴한 금융사들이 이용자에게 새로운 대출한도와 금리를 제시하는 게 끝이었다.
앞으로는 이용자가 시중은행, 저축은행, 카드, 캐피털 등에서  제시한  새 대출상품 중 가장 조건이 좋은 것을 터치하면, 해당 금융사의 대출 앱으로 즉시 화면이 옮겨간다. 거기서 대출 승인을 받으면 바로 금융결제원을 통한 갈아타기가 실행되는 것이다.
예를 들어 홍길동이라는 사람이 원래 A저축은행에서 돈을 빌렸다가 금리가 좀 더 싼 B시중은행으로 갈아탄다고 가정해 보자. 홍길동으로부터 대환대출 신청을 받은 B시중은행은 금융결제원을 통해 A저축은행에 있던 홍길동의 대출을 대신 갚아준다. 그런 다음 B시중은행은 홍길동의 대출을 신규대출로 전환하게 되고 홍길동은 B은행에 돈을 갚으면 된다.
31일부터  네이버파이낸셜, 카카오페이, 토스, 핀다,뱅크샐러드는 등은 기존 앱을 업데이트해 대환대출서비스를 실시한다. 신한은행은 전용앱인 쏠에 대환대출 서비스 기능을 넣기로 했다.
전용상품 만드는 시중은행, 플랫폼에 제공하는 상품 수 제한적
저축은행은 대출금리 내릴 형편 안돼
한계점도 있다. 대환대출플랫폼에 참여하는 금융사들이 자사의 모든 금융상품을 포함시키는 것이 아니라 상품 다양성을 확보하기 힘들다는 점이다. 시중은행들은 대환대출 전용상품을 따로 만들고 있다. 시중은행 관계자는 ""대환대출서비스가 나오면 은행이 빅테크에 제품을 제공하는 존재 정도로 전락하고 종속될 것이란 우려가 있어 그간 반대해 왔었다""며 ""그래도 기존 고객을 넋놓고 뺏길수 없어서 기존 상품보다 금리가 0.2~3%포인트 낮은 전용상품을 내놓고 반응을 살펴볼 것""이라고 말했다.
저축은행의 경우 대출 영업을 적극적으로 못하는 형편이라는 것도 문제다. 저축은행들은 작년 말 예금금리를 지나치게 높인 바람에  1분기 적자를 냈다. 저축은행 관계자는 ""예금으로 대출재원을 조달하는데 예금금리는 높고, 대출금리를 낮추면 손해보는 구조라 지금은 대출금리를 내리면서까지 영업하는 게 불가능하다""며 ""대환대출플랫폼에서 당장 저축은행이 할 수 있는 역할은 제한적일 것""이라고 했다.
대출비교 플랫폼 관계자는 ""시중은행, 지방은행, 인터넷은행에 카드, 캐피털사까지 합치면 서비스에 참여하는 금융사는 수십개 수준이고  대환대출 제휴사의 상품수는 출시직전까지 조정될 것""이라며 ""누가 더 많은 제휴사와 상품수를 확보하느냐가 성패를 결정할 것""이라고 전했다. 금융위원회는 대환대출 플랫폼에 신용대출을 먼저 적용한후, 올해말에는 주택담보대출까지 서비스를 확대할 계획이다.",대환대출 
뉴스1,[핫네임] 온라인·원스톱대환대출,네이버뉴스,https://n.news.naver.com/mnews/article/421/0006827970?sid=101,,뉴스1,'앱으로 대출 갈아타기' D-7…51개 금융사·7개 플랫폼 먼저 출격,"금융권·플랫폼 업계, 23일부터 대환대출 인프라 CBT 서비스…31일 출범 앞두고 최종 리허설
고객 유치 위한 마케팅 물밑 경쟁…국민·하나銀, 특화 상품 개발 나서
ⓒ News1 양혜림 디자이너
(서울=뉴스1) 서상혁 기자 = 비대면으로 자유롭게 대출을 갈아탈 수 있게 도와주는 '대환대출 인프라' 출범이 약 일주일 앞으로 다가온 가운데, 금융권과 플랫폼 업체가 막바지 작업에 착수했다. 이번 주부터 클로즈베타(CBT) 서비스를 통해 시스템을 점검하고 있는데, 51개 금융회사와 7개 금융회사부터 이달 31일부터 서비스를 시작하기로 잠정 결론이 났다.
서비스 출시를 앞두고 각 금융회사와 플랫폼도 마케팅 준비에 한창이다. 금융권은 더 많은 고객을 끌어오기 위해 대환대출 인프라 특화 상품을 개발하는 한편, 수수료 환급 등의 이벤트를 준비 중이다.
25일 관련 업계에 따르면 금융결제원을 중심으로 금융권과 핀테크 플랫폼 업체들은 지난 23일부터 대환대출 인프라 CBT 서비스를 시작했다. 금융회사 직원들이 직접 금융사 앱에서 대출을 갈아타 보고 그 과정에서 오류는 없는지 확인하고 있다. 핀테크 플랫폼을 통한 대출 조회·비교 서비스도 점검했다.
대환대출 인프라는 은행과 저축은행 등 금융권의 대출 상품을 모바일 애플리케이션(앱)을 통해 비교해 보고 갈아탈 수 있도록 하는 서비스를 말한다. 비대면으로 기존 대출금 상환·신규 대출 실행이 이뤄지도록 하는 금융결제원의 '대출 이동 시스템'과 각 금융회사의 대출 상품을 한데 모아 비교할 수 있도록 도와주는 '대출 중개 플랫폼'이 합쳐진 형태로 신용대출에 한해 이달 31일 공식 출범된다. 금융당국은 이자 부담 경감 등 금융소비자의 편익 확대를 위해 지난해부터 대환대출 인프라 설립에 드라이브를 걸고 있다. 온라인에서 대출을 비교해보고 갈아타기까지 가능한 서비스는 세계 최초의 사례다.
당초 금융결제원의 대출 이동 시스템엔 은행·저축은행·카드·캐피탈사 등 총 53개 금융회사가 참여하기로 했는데, 정식 출범일인 31일부터 서비스를 시작하는 금융회사는 51개사로 정해졌다. 저축은행 1개사와 캐피탈사 1개사 등 2개 금융회사는 아직 전산 개발을 마치지 못한 것으로 전해졌다.
플랫폼 중에선 총 7개사가 31일부터 서비스를 시작하기로 잠정 결론이 났다. 네이버파이낸셜·카카오페이·토스·핀다·뱅크샐러드·KB국민카드(KB페이)·웰컴저축은행이다. 신한은행을 비롯한 나머지 16개사는 전산 개발·금융회사 계약 등이 마무리되는 대로 합류할 전망이다.
대환대출 인프라가 가동되면 대출자들은 플랫폼을 통해 여러 금융회사의 대출을 비교해 보고 갈아탈 수 있다. 기존에는 대출 차주가 각 은행 영업점에서 금리를 조회한 후, 추가 서류 심사 과정을 거쳐야만 갈아탈 수 있었다. 앞으로는 플랫폼에서 금리 조회와 대출 신청은 물론이고, 절약할 수 있는 이자 비용까지 확인할 수 있다.
다만 당장 31일부터 7개 플랫폼을 통해 대출을 갈아탈 수 있는 금융회사는 많지 않을 전망이다. 아직 플랫폼과 상품 탑재를 위한 계약을 완료하지 못한 금융회사가 다수이기 때문이다. 상품을 탑재하기로 결정해도, 회선 등록 등 추가 작업이 필요하다. 현재 5대 은행(KB국민·신한·하나·우리·NH농협)은 플랫폼 입점을 확정했다. 플랫폼 업계는 앞으로 점차 많은 금융회사가 플랫폼에 상품을 탑재할 것으로 기대하고 있다.
플랫폼이 아니더라도 금융회사 앱을 통해서 대출을 갈아탈 수는 있다. 예컨대 A금융회사 앱에서 '갈아타기'에 접속하면 대출 차주가 보유한 대출과 A은행에서 갈아탈 수 있는 대출 상품이 표시된다. A은행의 B대출 상품으로 대환을 선택하면, 금융결제원의 대출 이동 인프라에서 기존 대출 상환·신규 실행이 이뤄진다. 금융권 관계자는 ""여러 금융회사의 대출 상품을 비교하지 못한다는 차이만 있을 뿐, 금융회사 앱을 통해서도 손쉽게 대출을 갈아탈 수 있을 것""이라고 설명했다.
새 고객을 유치하기 위한 금융권의 물밑 경쟁도 치열하다. 대환대출 인프라의 구조상, 더 경쟁력 있는 상품을 내놓지 않으면 다른 금융회사에 고객을 빼앗길 수밖에 없기 때문이다.
현재 KB국민은행은 대환대출 인프라에 탑재할 특화 상품을 개발하고 있다. 기존 비대면 신용대출 대비 더 낮은 금리를 책정하거나 더 많은 한도를 부여하는 등 금융소비자 편익을 확대해 경쟁력 있는 상품을 만드는 쪽으로 방향이 잡혔다. 하나은행도 특화 상품을 개발하고 있다.
우리은행은 자체 앱을 통해 신용대출을 갈아탈 경우 중도상환해약금과 인지세 등 1인당 소요되는 대출 거래비용을 최대 10만원까지 지원하기로 했다.
플랫폼 업체들의 경쟁도 치열하다. 토스는 지난 10일부터 대환대출 서비스 사전 신청을 받고 있는데 지난 24일 기준으로 약 30만명이 신청했다고 밝혔다. 네이버파이낸셜은 성실 상환자에 대한 일부 이자 지원 등을 준비 중인 것으로 전해졌다.
한편 금융당국은 이달 말 신용대출에 이어 연말에는 주택담보대출까지 대환대출 인프라의 범위를 넓히겠다는 계획이다. 은행권 아파트담보대출 상품 위주로 서비스가 시작될 전망이다.",대환대출 
연합뉴스,"카카오페이, 시중 5대 은행과 손잡고대환대출서비스",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013964411?sid=101,,연합뉴스,"카카오페이, 시중 5대 은행과 손잡고 대환대출 서비스","카카오페이
[카카오페이 제공]
(서울=연합뉴스) 홍국기 기자 = 카카오페이는 시중 5대 은행(KB국민·NH농협·신한·우리·하나은행)과 함께 대환대출 서비스를 제공한다고 25일 밝혔다.
이들 5대 은행에 모두 입점한 대환대출 서비스는 카카오페이의 '대출 갈아타기'가 유일하다고 회사는 강조했다.
카카오페이는 ""플랫폼 경쟁력·기술력·제휴력을 기반으로 1금융권을 비롯해 다양한 금융사들과 적극적으로 논의를 이어왔고, 그 결과 플랫폼 중 유일하게 시중 5대 은행과 협업해 서비스를 선보이게 됐다""고 설명했다.
정부가 내놓은 대환대출 인프라 사업은 금융 소비자 입장에서 유리한 조건을 손쉽게 확인하고 비대면으로 간편하게 대출상품을 상환·지급을 처리해 금리 인하 혜택을 체감할 수 있도록 하는 것이다.
카카오페이는 현재 서비스는 사전 신청을 받고 있다. 카카오톡이나 카카오페이 애플리케이션의 '대출'에서 '대출 갈아타기 사전 신청'을 통하면 된다.
redflag@yna.co.kr",대환대출 
연합뉴스,"카카오페이, 5대 은행과대환대출서비스",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013964411?sid=101,,연합뉴스,"카카오페이, 시중 5대 은행과 손잡고 대환대출 서비스","카카오페이
[카카오페이 제공]
(서울=연합뉴스) 홍국기 기자 = 카카오페이는 시중 5대 은행(KB국민·NH농협·신한·우리·하나은행)과 함께 대환대출 서비스를 제공한다고 25일 밝혔다.
이들 5대 은행에 모두 입점한 대환대출 서비스는 카카오페이의 '대출 갈아타기'가 유일하다고 회사는 강조했다.
카카오페이는 ""플랫폼 경쟁력·기술력·제휴력을 기반으로 1금융권을 비롯해 다양한 금융사들과 적극적으로 논의를 이어왔고, 그 결과 플랫폼 중 유일하게 시중 5대 은행과 협업해 서비스를 선보이게 됐다""고 설명했다.
정부가 내놓은 대환대출 인프라 사업은 금융 소비자 입장에서 유리한 조건을 손쉽게 확인하고 비대면으로 간편하게 대출상품을 상환·지급을 처리해 금리 인하 혜택을 체감할 수 있도록 하는 것이다.
카카오페이는 현재 서비스는 사전 신청을 받고 있다. 카카오톡이나 카카오페이 애플리케이션의 '대출'에서 '대출 갈아타기 사전 신청'을 통하면 된다.
redflag@yna.co.kr",대환대출 
디지털타임스,"카카오페이, 5대 은행과대환대출서비스 협업",네이버뉴스,https://n.news.naver.com/mnews/article/029/0002803056?sid=101,,디지털타임스,"카카오페이, 5대 은행과 대환대출서비스","카카오페이는 5대 시중은행(KB국민·신한·우리·하나은행·NH농협)과 대환대출 서비스를 제공하기로 했다고 25일 밝혔다.
금융당국은 금융소비자가 손쉽게 더 낮은 금리의 대출로 이동할 수 있는 대환대출 인프라를 구축해, 이달 말 가동할 예정이다.
카카오페이측은 5대 은행에 모두 입점한 대환대출 서비스는 카카오페이의 '대출 갈아타기'가 유일하다고 회사는 강조했다. 카카오페이는 ""플랫폼 경쟁력·기술력·제휴력을 기반으로 제1금융권을 비롯해 다양한 금융사들과 적극적으로 논의를 이어왔고, 그 결과 플랫폼 중 유일하게 시중 5대 은행과 협업해 서비스를 선보이게 됐다""고 설명했다.
정부가 내놓은 대환대출 인프라 사업은 금융 소비자 입장에서 유리한 조건을 손쉽게 확인하고 비대면으로 간편하게 대출상품을 상환·지급을 처리해 금리 인하 혜택을 체감할 수 있도록 하는 것이다. 카카오페이는 현재 서비스는 사전 신청을 받고 있다. 카카오톡이나 카카오페이 애플리케이션의 '대출'에서 '대출 갈아타기 사전 신청'을 통하면 된다.",대환대출 
뉴스1,"대출 걸어 잠근 저축은행, '대환대출플랫폼' 출시에…""우선 관망""",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006827993?sid=101,,뉴스1,"대출 걸어 잠근 저축은행, '대환대출 플랫폼' 출시에…""우선 관망""","""주요 플랫폼 위주로 입점 예정…공격적 영업은 '글쎄'""
""금리 경쟁력 통한 영업보단 수익성 관리가 우선""
ⓒ News1 DB
(서울=뉴스1) 한유주 기자 = 오는 31일 '대환대출 플랫폼' 시행으로 '금리노마드' 행렬이 본격화할 전망이지만 저축은행 업권은 우선 관망하는 분위기다. 주요 플랫폼을 중심으로 새로운 판로를 마련하곤 있지만 사실상의 '대출 휴업' 환경이 개선되지 않으면서 금리 경쟁 행렬에 동참하기엔 역부족이란 인식이다.
25일 저축은행 업권에 따르면 주요 저축은행들은 네이버·카카오·토스 등 주요 플랫폼사의 대환대출 서비스 진입을 준비하고 있다.
저축은행중앙회 차원에서 네이버파이낸셜과 제휴를 맺고 수수료 인하와 대출금리 인하를 맞바꿔 협력하기로 한 데 이어, 각사별로 플랫폼사의 입점을 준비 중이다. 주요 저축은행들은 연말까지 플랫폼 3곳 정도와 제휴하는 것을 목표하고 있다.
'대환대출플랫폼'은 은행과 저축은행 등 금융권의 대출을 모바일로 비교해보고 더 낮은 금리의 대출로 갈아탈 수 있게 돕는 서비스다. 이달 말인 31일부터 신용대출에 한해 시범 운영된다.
플랫폼이 흥행에 성공하면 더 낮은 금리를 찾아 이동하는 행렬이 잦아질 전망이다. 고객들을 뺏기지 않으려는 금융사들의 금리 경쟁도 격화할 것으로 보인다. 저신용 고객들이 다수인 저축은행 입장에선 대환대출이 가능한 고객들은 비교적 우량 고객이라, 이들을 타행이나 타업권으로 빼앗기면 타격이 클 수밖에 없다.
그럼에도 '새판'에 합류할 준비와는 대조적으로 금리 인하나 전용 상품 개발에는 미적지근한 분위기다. 한 저축은행 관계자는 ""대출 판로가 하나 더 늘어나는 상황에서 주요 플랫폼을 중심으로 입점은 하겠지만 금리를 낮추거나 공격적 영업을 할 상황은 아니다. 시간을 두고 지켜봐야 하는 때""라고 설명했다.
다른 저축은행 관계자도 ""업권 전체적인 상황이 열악하다 보니 31일에 맞춰 즉각 서버를 오픈하는 회사가 그리 많지는 않을 수 있다""고 내다봤다.
수익성이 크게 악화한 저축은행 업권은 ""일단 올해만 넘기자""는 분위기가 퍼져있다. 리스크 관리에 집중해야 하는 상황에서 신규 대출을 무리하게 끌어올 상황이 아니란 설명이다.
저축은행들은 지난 연말 조달비용이 급격히 커진 상황에서 무리하게 수신을 끌어모은 후폭풍에서 헤어나오지 못하고 있다. 연체율도 빠르게 오르고 있다. 1분기 저축은행 업권 잠정 연체율은 5.1%로 전년말(3.4%)대비 1.7%p 상승했다. 2016년말 이후 6년 만에 5%를 넘겼다.
저축은행 관계자는 ""플랫폼이 활성화되면 대환대출이 가능한 비교적 우량한 고객이 빠져나갈 우려가 있기 때문에 수수료를 낮추는 노력 등을 시작할 것 같다""면서도 ""아직까진 플랫폼이 활성화될지도 미지수고 업권 전반의 수익성이 나아져야 한다는 조건도 있어 일단 지켜보는 분위기""라고 말했다.",대환대출 
