press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
지디넷코리아,"LGU+, iF디자인 어워드서 3개 부문 수상",네이버뉴스,https://n.news.naver.com/mnews/article/092/0002323976?sid=105,,지디넷코리아,"LGU+, iF 디자인 어워드서 3개 부문 수상","UI∙서비스 디자인∙커뮤니케이션 부문 수상
LG유플러스가 차별적 이용자 가치를 제공한 사례를 인정받아 iF 디자인 어워드 2024 3개 부문에서 본상을 수상했다고 10일 밝혔다.
iF 디자인 어워드는 1953년 독일 인터내셔널 포럼 주관으로 시작된 디자인 분야 최고 권위의 상으로 독일 레드닷, 미국 IDEA와 함께 세계 3대 디자인 어워드로 꼽힌다. 올해는 72개 국가에서 약 1만여 작품이 출품됐으며, 디자인 차별성, 시각적 요소, 영향력 등 종합적 심사를 거쳐 총 3,767개의 수상작이 선정됐다.
LG유플러스는 이번 어워드에서 IPTV 서비스 U+tv 넥스트(Next)와 펫 커뮤니티 포동, 콘텐츠 전문 스튜디오 STUDIO X+U가 이용자 중심의 디자인으로 우수한 평가를 받아 각각 사용자인터페이스(UI) 부문, 서비스 디자인 부문, 커뮤니케이션 부문에서 본상을 수상했다.
(사진=LG유플러스)
먼저 UI 부문에서 디지털 미디어 환경으로 본상을 수상한 U+tv 넥스트는 VOD, OTT, 실시간 콘텐츠를 한 곳에서 편리하게 탐색하고 시청할 수 있는 것이 특징이다. 이용자 몰입도를 높이기 위해 깔끔한 블랙 테마 디자인은 물론 시청 환경에 최적화된 사운드를 제공한다.
메뉴에서 포커스를 옮길 때마다 다양한 효과를 적용, 콘텐츠 탐색 과정에서도 색다른 경험을 제공한다.
서비스 디자인 부문에서 모바일 앱으로 본상을 수상한 포동은 보호자와 반려견의 교감을 높일 수 있도록 돕는 펫 커뮤니티로, 현재 40만 반려인이 이용하고 있다.
반려견 행동분석 전문가와 반려견 성향분석 검사 DBTI(Dog behavior Type Indicator)를 개발, 반려견 성향분석 결과를 바탕으로 특정 행동들에 대한 이해를 돕고 행동교정 가이드를 제공해 이용자로부터 높은 호응을 얻고 있다.
몰입감을 높이는 미드폼 콘텐츠로 오리지널 콘텐츠 경쟁력을 강화하고 있는 STUDIO X+U는 커뮤니케이션 디자인 부문에서 브랜딩으로 본상을 수상했다. 미디어 플랫폼과 SNS 썸네일, 굿즈 등 다양한 환경에 적용할 수 있는 유연한 브랜드 디자인으로 높은 평가를 받았다.
로고 디자인은 웰메이드 미드폼 콘텐츠 창작으로 이용자 가치를 더하고, 차별화된 즐거움을 선사하겠다는 STUDIO X+U 목표를 브랜드 이름 요소들의 3차원적 결합을 통해 상징적으로 표현한다.
STUDIO X+U는 ‘하이쿠키’, ‘밤이 되었습니다’ 등 신선한 장르적 특성을 살린 드라마로 글로벌 흥행에 성공했다. 여행 예능 ‘집에 있을걸 그랬어’, 펫 예능 ‘펫대로하우스’, 아이돌 예능 ‘교양있고’, ‘별의별걸’, 스포츠 콘텐츠 ‘아워게임: LG트윈스’, ‘맨인유럽’ 등 예능 콘텐츠도 인기를 끌고 있다.",디자인어워드
지디넷코리아,"LG U+, 'iF디자인 어워드2024' 3개 부문 수상",네이버뉴스,https://n.news.naver.com/mnews/article/092/0002323976?sid=105,,지디넷코리아,"LGU+, iF 디자인 어워드서 3개 부문 수상","UI∙서비스 디자인∙커뮤니케이션 부문 수상
LG유플러스가 차별적 이용자 가치를 제공한 사례를 인정받아 iF 디자인 어워드 2024 3개 부문에서 본상을 수상했다고 10일 밝혔다.
iF 디자인 어워드는 1953년 독일 인터내셔널 포럼 주관으로 시작된 디자인 분야 최고 권위의 상으로 독일 레드닷, 미국 IDEA와 함께 세계 3대 디자인 어워드로 꼽힌다. 올해는 72개 국가에서 약 1만여 작품이 출품됐으며, 디자인 차별성, 시각적 요소, 영향력 등 종합적 심사를 거쳐 총 3,767개의 수상작이 선정됐다.
LG유플러스는 이번 어워드에서 IPTV 서비스 U+tv 넥스트(Next)와 펫 커뮤니티 포동, 콘텐츠 전문 스튜디오 STUDIO X+U가 이용자 중심의 디자인으로 우수한 평가를 받아 각각 사용자인터페이스(UI) 부문, 서비스 디자인 부문, 커뮤니케이션 부문에서 본상을 수상했다.
(사진=LG유플러스)
먼저 UI 부문에서 디지털 미디어 환경으로 본상을 수상한 U+tv 넥스트는 VOD, OTT, 실시간 콘텐츠를 한 곳에서 편리하게 탐색하고 시청할 수 있는 것이 특징이다. 이용자 몰입도를 높이기 위해 깔끔한 블랙 테마 디자인은 물론 시청 환경에 최적화된 사운드를 제공한다.
메뉴에서 포커스를 옮길 때마다 다양한 효과를 적용, 콘텐츠 탐색 과정에서도 색다른 경험을 제공한다.
서비스 디자인 부문에서 모바일 앱으로 본상을 수상한 포동은 보호자와 반려견의 교감을 높일 수 있도록 돕는 펫 커뮤니티로, 현재 40만 반려인이 이용하고 있다.
반려견 행동분석 전문가와 반려견 성향분석 검사 DBTI(Dog behavior Type Indicator)를 개발, 반려견 성향분석 결과를 바탕으로 특정 행동들에 대한 이해를 돕고 행동교정 가이드를 제공해 이용자로부터 높은 호응을 얻고 있다.
몰입감을 높이는 미드폼 콘텐츠로 오리지널 콘텐츠 경쟁력을 강화하고 있는 STUDIO X+U는 커뮤니케이션 디자인 부문에서 브랜딩으로 본상을 수상했다. 미디어 플랫폼과 SNS 썸네일, 굿즈 등 다양한 환경에 적용할 수 있는 유연한 브랜드 디자인으로 높은 평가를 받았다.
로고 디자인은 웰메이드 미드폼 콘텐츠 창작으로 이용자 가치를 더하고, 차별화된 즐거움을 선사하겠다는 STUDIO X+U 목표를 브랜드 이름 요소들의 3차원적 결합을 통해 상징적으로 표현한다.
STUDIO X+U는 ‘하이쿠키’, ‘밤이 되었습니다’ 등 신선한 장르적 특성을 살린 드라마로 글로벌 흥행에 성공했다. 여행 예능 ‘집에 있을걸 그랬어’, 펫 예능 ‘펫대로하우스’, 아이돌 예능 ‘교양있고’, ‘별의별걸’, 스포츠 콘텐츠 ‘아워게임: LG트윈스’, ‘맨인유럽’ 등 예능 콘텐츠도 인기를 끌고 있다.",디자인어워드
파이낸셜뉴스,"U+tv 넥스트·포동·스튜디오 X+U, 'iF디자인 어워드' 본상 수상",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005153576?sid=105,,파이낸셜뉴스,"LG U+, 'iF 디자인 어워드 2024' 3개 부문 수상","‘iF 디자인 어워드’에서 수상한 ‘U+tv Next’, ‘포동’, ‘STUDIO X+U’ 디자인. LG유플러스 제공
LG유플러스가 차별적 고객 가치를 제공한 사례를 세계적으로 인정받아 ‘iF 디자인 어워드 2024’ 3개 부문에서 본상을 수상했다고 10일 밝혔다.
iF 디자인 어워드는 1953년 독일 인터내셔널 포럼 주관으로 시작된 디자인 분야 최고 권위의 상으로, 독일 '레드닷', 미국 'IDEA'와 함께 세계 3대 디자인 어워드로 꼽힌다. 올해는 72개 국가에서 약 1만여 작품이 출품됐으며, 디자인 차별성, 시각적 요소, 영향력 등 종합적 심사를 거쳐 총 3767개의 수상작이 선정됐다.
LG유플러스는 이번 어워드에서 IPTV 서비스 ‘U+tv Next’와 펫 커뮤니티 ‘포동’, 콘텐츠 전문 스튜디오 ‘STUDIO X+U’가 고객 중심의 디자인으로 우수한 평가를 받아 각각 사용자 인터페이스(UI) 부문, 서비스 디자인 부문, 커뮤니케이션 부문에서 본상을 수상했다.
먼저 UI 부문에서 ‘디지털 미디어 환경’으로 본상을 수상한 ‘U+tv Next’는 주문형비디오(VOD), 온라인동영상서비스(OTT), 실시간 콘텐츠를 한 곳에서 편리하게 탐색하고 시청할 수 있는 것이 특징이다. 고객의 몰입도를 높이기 위해 깔끔한 블랙 테마 디자인은 물론 시청 환경에 최적화된 사운드를 제공한다. 메뉴에서 포커스를 옮길 때마다 다양한 효과를 적용, 콘텐츠 탐색 과정에서도 색다른 경험을 제공한다.
서비스 디자인 부문에서 ‘모바일 앱’으로 본상을 수상한 ‘포동’은 보호자와 반려견의 교감을 높일 수 있도록 돕는 펫 커뮤니티로, 현재 40만 반려인이 이용하고 있다. 반려견 행동분석 전문가와 반려견 성향분석 검사 'DBTI(Dog Behavior Type Indicator)'를 개발, 반려견 성향분석 결과를 바탕으로 특정 행동들에 대한 이해를 돕고 행동교정 가이드를 제공해 고객의 높은 호응을 받고 있다.
몰입감을 높이는 미드폼 콘텐츠로 오리지널 콘텐츠 경쟁력을 강화하고 있는 ‘STUDIO X+U’는 커뮤니케이션 디자인 부문에서 ‘브랜딩’으로 본상을 수상했다. 미디어 플랫폼과 사회관계망서비스(SNS) 썸네일, 굿즈 등 다양한 환경에 적용할 수 있는 유연한 브랜드 디자인으로 높은 평가를 받았다. 로고 디자인은 웰메이드 미드폼 콘텐츠 창작으로 고객(U) 가치를 더하고(+) 차별화(X)된 즐거움을 선사하겠다는 ‘STUDIO X+U’의 목표를 브랜드 이름 요소들의 3차원적 결합을 통해 상징적으로 표현한다.",디자인어워드
연합뉴스,"서울 도시브랜드 '서울 마이 소울', iF디자인 어워드본상",네이버뉴스,https://n.news.naver.com/mnews/article/001/0014553072?sid=102,,연합뉴스,"서울 도시브랜드 '서울 마이 소울', iF 디자인 어워드 본상","수상작 중 도시브랜드로는 유일
서울 도시 브랜드 '서울 마이 소울'
[서울시 제공. 재판매 및 DB 금지]
(서울=연합뉴스) 김기훈 기자 = 서울시는 서울의 도시브랜드 '서울 마이 소울'(SEOUL MY SOUL)이 '2024 iF 디자인 어워드'에서 커뮤니케이션·시티브랜딩 본상을 받았다고 10일 밝혔다.
독일 인터내셔널 포럼 디자인이 운영하는 iF 디자인 어워드는 세계 3대 디자인상의 하나로 꼽힌다.
매년 50여 개국에서 출품되는 1만1천여 작품을 대상으로 아이디어·형태·기능·차별성 등 요소를 종합적으로 평가해 수상작을 선정한다.
시가 지난해 8월 발표한 도시브랜드 서울 마이 소울은 도시 이름 서울을 전면에 배치하고, 전 세계인 누구나 브랜드에 담긴 의미를 직관적으로 파악할 수 있도록 경쾌한 색상의 픽토그램(그림문자)을 적용했다.
서울 도시 브랜드 '서울 마이 소울'
[서울시 제공. 재판매 및 DB 금지]
하트는 사랑으로 가득 찬 서울을 의미하며, 느낌표는 다채롭고 새로운 경험을 주는 도시, 스마일은 즐겁고 매력으로 가득한 매력 도시를 표현했다.
시는 디자인적 가치 외에도 시민·전문가 등 80만명 이상이 참여한 브랜드 개발 과정과 사회관계망서비스(SNS)·영상 등 다양한 매체 적용성 등에서 가치를 인정받은 것이라고 설명했다.
마채숙 서울시 홍보기획관은 ""앞으로 도시 브랜드를 활용해 서울이 가진 가치와 매력을 전 세계에 널리 알릴 수 있도록 더욱 노력하겠다""고 말했다.
kihun@yna.co.kr",디자인어워드
연합뉴스,"‘SEOUL MY SOUL’, 독일 iF디자인 어워드본상 수상",네이버뉴스,https://n.news.naver.com/mnews/article/001/0014553072?sid=102,,연합뉴스,"서울 도시브랜드 '서울 마이 소울', iF 디자인 어워드 본상","수상작 중 도시브랜드로는 유일
서울 도시 브랜드 '서울 마이 소울'
[서울시 제공. 재판매 및 DB 금지]
(서울=연합뉴스) 김기훈 기자 = 서울시는 서울의 도시브랜드 '서울 마이 소울'(SEOUL MY SOUL)이 '2024 iF 디자인 어워드'에서 커뮤니케이션·시티브랜딩 본상을 받았다고 10일 밝혔다.
독일 인터내셔널 포럼 디자인이 운영하는 iF 디자인 어워드는 세계 3대 디자인상의 하나로 꼽힌다.
매년 50여 개국에서 출품되는 1만1천여 작품을 대상으로 아이디어·형태·기능·차별성 등 요소를 종합적으로 평가해 수상작을 선정한다.
시가 지난해 8월 발표한 도시브랜드 서울 마이 소울은 도시 이름 서울을 전면에 배치하고, 전 세계인 누구나 브랜드에 담긴 의미를 직관적으로 파악할 수 있도록 경쾌한 색상의 픽토그램(그림문자)을 적용했다.
서울 도시 브랜드 '서울 마이 소울'
[서울시 제공. 재판매 및 DB 금지]
하트는 사랑으로 가득 찬 서울을 의미하며, 느낌표는 다채롭고 새로운 경험을 주는 도시, 스마일은 즐겁고 매력으로 가득한 매력 도시를 표현했다.
시는 디자인적 가치 외에도 시민·전문가 등 80만명 이상이 참여한 브랜드 개발 과정과 사회관계망서비스(SNS)·영상 등 다양한 매체 적용성 등에서 가치를 인정받은 것이라고 설명했다.
마채숙 서울시 홍보기획관은 ""앞으로 도시 브랜드를 활용해 서울이 가진 가치와 매력을 전 세계에 널리 알릴 수 있도록 더욱 노력하겠다""고 말했다.
kihun@yna.co.kr",디자인어워드
국민일보,"'서울마이소울', if디자인 어워드본상…도시 브랜드 중 유일",네이버뉴스,https://n.news.naver.com/mnews/article/005/0001679765?sid=102,,국민일보,"‘SEOUL MY SOUL’, 독일 iF 디자인 어워드 본상 수상","iF 디자인 어워드 홈페이지 캡처
서울시는 서울 도시브랜드 ‘SEOUL MY SOUL, 서울마이소울’이 세계 3대 디자인상 중 하나로 손꼽히는 독일 ‘2024 iF 디자인 어워드’에서 ‘커뮤니케이션, 시티브랜딩’ 본상을 수상했다고 10일 밝혔다.
SEOUL MY SOUL은 올해 iF 디자인 어워드 수상작 중 ‘도시 브랜드’로는 유일한 수상작인 것으로 알려졌다. 서울시는 “시가 지난해 8월 새 브랜드 발표 이후 약 반년 만에 이뤄낸 쾌거”라며 “이제 SEOUL MY SOUL은 서울시민을 넘어 세계인의 마음속에 각인될 브랜드로 인정받게 됐다”고 설명했다.
SEOUL MY SOUL은 도시 이름 ‘Seoul(서울)’을 전면에 배치하고, 전 세계인 누구나 브랜드에 담긴 의미를 직관적으로 파악할 수 있도록 경쾌한 색상의 픽토그램을 적용한 것이 특징이다.
하트는 마음이 모여 사랑으로 가득 찬 서울을 의미하며, 느낌표는 다채롭고 새로운 경험을 주는 도시, 스마일은 즐겁고 매력으로 가득한 매력 도시를 표현한 것이다.
iF 디자인 어워드는 독일 인터내셔널 포럼 디자인이 운영하는 행사로, 올해로 70주년을 맞았다. 독일 ‘레드닷 디자인 어워드’, 미국 ‘IDEA’와 함께 국제적 권위를 인정받고 있는 세계적 디자인 공모전이다.",디자인어워드
아이뉴스24,"LGU+, 'iF디자인 어워드2024'서 3개 부문 본상",네이버뉴스,https://n.news.naver.com/mnews/article/031/0000818978?sid=105,,아이뉴스24,"LGU+, 'iF 디자인 어워드 2024'서 3개 부문 본상","72개 국가서 약 1만여 작품 출품…총 3767개 수상작 선정
LG유플러스(대표 황현식)는 차별적 고객 가치를 제공한 사례를 인정받아 'iF 디자인 어워드(iF Design Award) 2024' 3개 부문에서 본상을 수상했다고 10일 밝혔다.
iF 디자인 어워드에서 수상한 'U+tv Next', '포동', 'STUDIO X+U' 디자인. [사진=LGU+]
iF 디자인 어워드는 1953년 독일 인터내셔널 포럼 주관으로 시작된 디자인 분야 상이다. 독일 '레드닷', 미국의 'IDEA'와 함께 세계 3대 디자인 어워드로 꼽힌다.
LG유플러스는 이번 어워드에서 IPTV 서비스 'U+tv Next'와 펫 커뮤니티 '포동', 콘텐츠 전문 스튜디오 'STUDIO X+U'가 고객 중심의 디자인으로 우수한 평가를 받았다. 각각 UI 부문, 서비스 디자인 부문, 커뮤니케이션 부문에서 본상을 수상했다.
한편, 올해는 72개 국가에서 약 1만여 작품이 출품됐다. 디자인 차별성과 시각적 요소, 영향력 등 종합적 심사를 거쳐 총 3767개의 수상작이 선정됐다.",디자인어워드
아이뉴스24,"2024년 ‘iF디자인 어워드’서 LGU+, 3개 부문 수상",네이버뉴스,https://n.news.naver.com/mnews/article/031/0000818978?sid=105,,아이뉴스24,"LGU+, 'iF 디자인 어워드 2024'서 3개 부문 본상","72개 국가서 약 1만여 작품 출품…총 3767개 수상작 선정
LG유플러스(대표 황현식)는 차별적 고객 가치를 제공한 사례를 인정받아 'iF 디자인 어워드(iF Design Award) 2024' 3개 부문에서 본상을 수상했다고 10일 밝혔다.
iF 디자인 어워드에서 수상한 'U+tv Next', '포동', 'STUDIO X+U' 디자인. [사진=LGU+]
iF 디자인 어워드는 1953년 독일 인터내셔널 포럼 주관으로 시작된 디자인 분야 상이다. 독일 '레드닷', 미국의 'IDEA'와 함께 세계 3대 디자인 어워드로 꼽힌다.
LG유플러스는 이번 어워드에서 IPTV 서비스 'U+tv Next'와 펫 커뮤니티 '포동', 콘텐츠 전문 스튜디오 'STUDIO X+U'가 고객 중심의 디자인으로 우수한 평가를 받았다. 각각 UI 부문, 서비스 디자인 부문, 커뮤니케이션 부문에서 본상을 수상했다.
한편, 올해는 72개 국가에서 약 1만여 작품이 출품됐다. 디자인 차별성과 시각적 요소, 영향력 등 종합적 심사를 거쳐 총 3767개의 수상작이 선정됐다.",디자인어워드
세계일보,핀란드·튀르키예를 품은 아파트…삼성물산 iF디자인 어워드2024 수상,네이버뉴스,https://n.news.naver.com/mnews/article/022/0003912459?sid=101,,세계일보,"2024년 ‘iF 디자인 어워드’서 LGU+, 3개 부문 수상","세계 3대 디자인 어워드로 꼽히는 ‘iF 디자인 어워드 2024’에서 LG유플러스가 3개 부문에서 본상을 받았다.
LG유플러스는 10일 자사의 IPTV(인터넷TV) 서비스 ‘U+tv Next’와 펫 커뮤니티 ‘포동’, 콘텐츠 전문 스튜디오 ‘STUDIO X+U’가 고객 중심의 디자인으로 우수한 평가를 받아 각각 사용자 환경(UI) 부문, 서비스 디자인 부문, 커뮤니케이션 부문에서 본상을 받았다고 밝혔다.
‘iF 디자인 어워드’는 1953년 시작된 디자인 분야 최고 권위의 상으로 독일의 ‘레드닷’, 미국의 ‘IDEA’와 함께 세계 3대 디자인 어워드로 꼽힌다.",디자인어워드
매일경제,“디자인·성능·실용성 모두 한국車가 최고”…유럽서 극찬받은 기아 ...,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005269784?sid=103,,매일경제,“디자인·성능·실용성 모두 한국車가 최고”…유럽서 극찬받은 기아 EV9,"기아 EV9 [사진출처=기아, 촬영=최기성 매경닷컴 기자]
기아 EV9이 유럽 친환경자동차 격전지인 영국에서 전기차 맏형답게 이름값을 했다.
차부심(자동차+자부심)이 강한 영국인들의 마음을 사로잡으며 자동차 분야 최고의 상인 ‘올해의 차’에 선정됐기 때문이다.
기아는 EV9이 ‘2024 영국 올해의 차’(UK Car of the Year)에 최종 선정됐다고 10일 밝혔다.
현대차 세븐 콘셉트카(왼쪽)와 EV9 [사진출처=현대차, 기아]
영국 올해의 차는 매해 탑기어(TopGear), 카(Car), 오토카(Autocar), 왓카(What Car), 오토트레이더(Auto Trader) 등에서 활동하는 자동차 전문기자들이 선정한다.
심사위원단 30명이 12개월 이내 출시된 차량들을 대상으로 심사와 투표를 진행한다.
EV9은 이번 어워드 1차 심사를 통해 대형 크로스오버 부문 최고의 차로 선정됐다.
각 부문별 최고의 차로 뽑힌 ▲현대차 아이오닉5(패밀리카 부문)▲르노 클리오(소형차 부문)▲볼보 EX30(소형 크로스오버)▲피스커 오션(중형 크로스오버 부문)▲BMW i5(경영진차부문)▲혼다 시빅 타입 R(고성능차 부문) 등을 이겼다.
영국은 등록 자동차 중 전동화에 기반한 친환경차의 비율이 36.5%(2023년말 기준)에 달한다. EV9은 유럽에서 친환경차에 관심이 뜨거운 영국에서 최고의 자리에 오른 셈이다.
존 칼렌 영국 올해의 차 어워드 공동 회장은 “심사위원 중 거의 절반이 올해의 차로 선택했을 만큼 EV9은 매력과 신뢰감이 느껴지는 차”라며 “1회 충전 주행거리가 길어 전기차 불안요소를 낮췄고 공간 활용도도 좋아 프리미엄 SUV 운전자들도 유인할 수 있을 것 같다”고 밝혔다.
폴 바커 카와우(Carwow)> 편집장도 “EV9은 디자인, 인테리어, 성능, 실용성 등 모든 면에서 우수한 경쟁력을 가진 차”라며 “전기차를 찾는 사람들에게 최고의 선택지”라고 평가했다.
EV9 [사진출처=기아]
EV9은 ‘2024 여성 세계 올해의 차(2024 Women’s Worldwide Car of the Year, WWCOTY)’도 수상했다.
63개 경쟁 모델을 제치고 전 세계 여성들이 뽑은 최고의 차가 된 셈이다.
여성 세계 올해의 차는 52개국 여성 자동차 기자로만 구성된 심사위원단이 안전성, 편의성, 기술력, 가성비 등을 평가한다.
EV9은 심사위원들로부터 “탁월한 에너지 효율성을 갖춘 미래 지향적인 다목적 전기차”, “뛰어난 공기 역학과 첨단 기술, 가족 친화적인 인테리어와 친숙한 운전 경험을 제공하는 대형 SUV”라는 평가를 받았다.",디자인어워드
