press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
아이뉴스24,"한컴프론티스,메타버스에 AI기술 협력 확대",네이버뉴스,https://n.news.naver.com/mnews/article/031/0000721735?sid=105,,아이뉴스24,"한컴프론티스, 메타버스에 AI기술 협력 확대","CES 2023서 한국공학대학교·광주과학기술원과 업무협약
한글과컴퓨터그룹 메타버스 전문 개발사 한컴프론티스(대표 정현석)가 메타버스 서비스에 인공지능(AI) 기술을 강화하기 위해 CES 2023에서 한국공학대학교, 광주과학기술원과 업무협약을 체결했다고 10일 발표했다.
(왼쪽부터) 한컴프론티스 정현석 대표, 한국공학대학교 박건수 총장, 광주과학기술원 박기홍 연구처장이 지난 6일 CES 2023에서 업무협약을 체결하고 기념촬영을하고 있다. [사진=한컴프론티스]
한컴프론티스는 이번 업무협약을 통해서 자사의 메타버스 플랫폼인 '아즈메타'와 연계해 AI 디지털휴먼 및 AI 3D 스캐닝 사업을 공동 추진한다.
한컴프론티스는 AI 전문 인력과 인프라를 보유한 한국공학대학교, 광주과학기술원과의 파트너십을 통해서, AI 디지털휴먼 공동 개발을 위한 모델링-영상-음성-언어-콘텐츠 생성 등 프로젝트를 단계별로 수행할 계획이다.
향후 개발된 AI 디지털휴먼은 아즈메타 오피스존 내 한국어 강사, 헬스케어존 내 비대면 검진상담원, 스토어존 내 매장 코디네이터 등으로 다양하게 활용해 나갈 예정이다.
또한 카메라를 통한 3D 스캐닝 엔진을 공동 개발함으로써 다양한 상품들이 빠른 시간 안에 아즈메타 내 마이룸이나 스토어존에 업로드되어 판매될 수 있는 시스템을 구축할 계획이다.
한컴프론티스는 지난 11월에 AI 기업 솔트룩스의 자회사인 플루닛과도 AI 가상인간 영상 제작 기술을 메타버스 서비스에 접목하기 위한 업무협약을 체결하는 등 AI 기술 연계를 위한 파트너십 확대에 적극 나서고 있다.
정현석 한컴프론티스 대표는 ""인공지능, 블록체인, 디지털자산, 보안솔루션 등 진화하고 있는 다양한 기술들을 접목함으로써, 메타버스가 유저들에게 보다 친숙한 방식으로 접근할 수 있는 대중적인 서비스 제공을 위해 도전과 실험을 지속하고 있다""면서 ""아즈메타 정식 서비스를 3월 중에 선보일 계획""이라고 말했다.",메타버스
아이뉴스24,"한컴프론티스,메타버스에 인공지능 기술 강화 위한 협력 확대",네이버뉴스,https://n.news.naver.com/mnews/article/031/0000721735?sid=105,,아이뉴스24,"한컴프론티스, 메타버스에 AI기술 협력 확대","CES 2023서 한국공학대학교·광주과학기술원과 업무협약
한글과컴퓨터그룹 메타버스 전문 개발사 한컴프론티스(대표 정현석)가 메타버스 서비스에 인공지능(AI) 기술을 강화하기 위해 CES 2023에서 한국공학대학교, 광주과학기술원과 업무협약을 체결했다고 10일 발표했다.
(왼쪽부터) 한컴프론티스 정현석 대표, 한국공학대학교 박건수 총장, 광주과학기술원 박기홍 연구처장이 지난 6일 CES 2023에서 업무협약을 체결하고 기념촬영을하고 있다. [사진=한컴프론티스]
한컴프론티스는 이번 업무협약을 통해서 자사의 메타버스 플랫폼인 '아즈메타'와 연계해 AI 디지털휴먼 및 AI 3D 스캐닝 사업을 공동 추진한다.
한컴프론티스는 AI 전문 인력과 인프라를 보유한 한국공학대학교, 광주과학기술원과의 파트너십을 통해서, AI 디지털휴먼 공동 개발을 위한 모델링-영상-음성-언어-콘텐츠 생성 등 프로젝트를 단계별로 수행할 계획이다.
향후 개발된 AI 디지털휴먼은 아즈메타 오피스존 내 한국어 강사, 헬스케어존 내 비대면 검진상담원, 스토어존 내 매장 코디네이터 등으로 다양하게 활용해 나갈 예정이다.
또한 카메라를 통한 3D 스캐닝 엔진을 공동 개발함으로써 다양한 상품들이 빠른 시간 안에 아즈메타 내 마이룸이나 스토어존에 업로드되어 판매될 수 있는 시스템을 구축할 계획이다.
한컴프론티스는 지난 11월에 AI 기업 솔트룩스의 자회사인 플루닛과도 AI 가상인간 영상 제작 기술을 메타버스 서비스에 접목하기 위한 업무협약을 체결하는 등 AI 기술 연계를 위한 파트너십 확대에 적극 나서고 있다.
정현석 한컴프론티스 대표는 ""인공지능, 블록체인, 디지털자산, 보안솔루션 등 진화하고 있는 다양한 기술들을 접목함으로써, 메타버스가 유저들에게 보다 친숙한 방식으로 접근할 수 있는 대중적인 서비스 제공을 위해 도전과 실험을 지속하고 있다""면서 ""아즈메타 정식 서비스를 3월 중에 선보일 계획""이라고 말했다.",메타버스
전자신문,"한컴프론티스,메타버스에 AI 기술 강화 위한 협력 확대",네이버뉴스,https://n.news.naver.com/mnews/article/030/0003071782?sid=105,,전자신문,"한컴프론티스, 메타버스에 인공지능 기술 강화 위한 협력 확대","(왼쪽부터) 정현석 한컴프론티스 대표, 박건수 한국공학대 총장, 박기홍 광주과학기술원 연구처장
한글과컴퓨터그룹의 메타버스 전문 개발사 한컴프론티스가 메타버스 서비스에 인공지능(AI) 기술을 강화하기 위해 한국공학대, 광주과학기술원과 업무협약을 체결했다.
한컴프론티스는 업무협약을 통해 메타버스 플랫폼 '아즈메타'와 연계해 'AI 디지털휴먼 및 AI 3D 스캐닝 사업'을 공동 추진한다.
한컴프론티스는 AI 디지털휴먼 공동 개발을 위한 모델링-영상-음성-언어-콘텐츠 생성 등 프로젝트를 단계별로 수행할 계획이다. 향후 개발된 AI 디지털휴먼은 아즈메타 오피스존 내 한국어 강사, 헬스케어존 내 비대면 검진상담원, 스토어존 내 매장 코디네이터 등으로 다양하게 활용해 나갈 예정이다.
정현석 한컴프론티스 대표는 “인공지능, 블록체인, 디지털자산, 보안솔루션 등 진화하고 있는 다양한 기술을 접목함으로써 메타버스가 이용자에게 보다 친숙한 방식으로 접근할 수 있는 대중적인 서비스 제공을 위해 도전과 실험을 지속하고 있다”며 “아즈메타 정식 서비스를 3월 중 선보일 계획”이라고 말했다.",메타버스
뉴시스,"아트 특화 '메타버스SNS' 나온다…""누구나 창작 가능""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011635593?sid=105,,뉴시스,"아트 특화 '메타버스 SNS' 나온다…""누구나 창작 가능""","기사내용 요약
스코넥-프린트베이커리 공동 개발
오픈월드 기반 아트 특화 메타버스 '에디션'
오는 11일 베타서비스 시작
정식 버전엔 1000여 개 가상 전시 공간 서비스
[서울=뉴시스] 오동현 기자 = 확장현실(XR) 기반 메타버스 기술 기업 스코넥엔터테인먼트는 미술 대중화 브랜드 ‘프린트베이커리’와 공동 개발한 오픈월드 기반 아트 특화 메타버스 ‘에디션(eddy:sean)’ 베타 버전을 출시한다고 10일 밝혔다.
에디션이 제공하는 서비스는 ▲메타버스 '월드(World)' ▲소셜 네트워킹 성격을 지닌 ‘블록(Block)’ 등 2가지다.
월드에서 이용자들은 메타버스에 구현된 다양한 전시를 관람할 수 있고, 본인이 소유한 전자지갑 내 대체불가토큰(NFT)를 메타버스와 연동해 나만의 아바타 프로필 이미지로 사용해 다른 이들과 소통할 수 있다. 블록에서는 시시각각 업데이트되는 미술계 관련 최신 정보를 확인할 수 있으며, 그 외에도 이용자가 선택한 관심 주제에 따른 콘텐츠에 기반해 커뮤니티를 형성할 수 있다.
베타서비스는 오는 11일부터 시작한다. 양사는 공동으로 선정한 약 20개 메타버스 갤러리 공간의 무료 전시를 진행한다. 정식 버전에서는 갤러리, 작가, 문화 관련 기업은 물론 일반인 창작자를 위한 1000여 개의 가상 전시 공간을 서비스할 예정이다. 베타서비스는 크롬 웹브라우저에 최적화돼 있으며, '월드' 관련 모바일 서비스는 추후 정식 서비스 오픈 때부터 준비된다.
양사는 현실과 가상 세계를 넘나드는 풍부한 콘텐츠와 감각적인 인터페이스의 새로운 '메타버스 SNS' 세계로 대중을 맞이한다는 포부다.
김소형 프린트베이커리 대표는 ""비대면 시대를 거치면서 시공간을 뛰어넘는 초현실적인 공간에 대한 수요가 증가하고 이로 인한 메타버스 세계로의 사업 확장은 필수불가결한 시장의 흐름이 됐다""며 ""지속적인 개발 및 다양한 브랜드들과의 협업을 통해 에디션의 성장 및 메타버스 아트시장에 대한 새로운 트렌드를 주도하는 것이 목표""라고 전했다.
최정환 스코넥 부사장은 ""에디션 메타버스에서는 일상 속 예술 감각을 새로운 방법으로 시도하고 표현할 수 있으며, 누구나 메타버스 세상에서는 독창적인 창작자가 될 수 있다는 발상을 하게 됐다""며 ""이번 협업은 새로운 형태의 예술 생태계를 만들어가고자 하는 공동의 목표를 지향하고 구현했다는 점에서 의미가 크다""고 밝혔다.
한편, 양사는 베타서비스 오픈 이후에 ‘3D 디지털 아트 공모 이벤트’를 개최할 계획이다.",메타버스
뉴시스,"스코넥,메타버스통해 신개념 예술 생태계 마련",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011635593?sid=105,,뉴시스,"아트 특화 '메타버스 SNS' 나온다…""누구나 창작 가능""","기사내용 요약
스코넥-프린트베이커리 공동 개발
오픈월드 기반 아트 특화 메타버스 '에디션'
오는 11일 베타서비스 시작
정식 버전엔 1000여 개 가상 전시 공간 서비스
[서울=뉴시스] 오동현 기자 = 확장현실(XR) 기반 메타버스 기술 기업 스코넥엔터테인먼트는 미술 대중화 브랜드 ‘프린트베이커리’와 공동 개발한 오픈월드 기반 아트 특화 메타버스 ‘에디션(eddy:sean)’ 베타 버전을 출시한다고 10일 밝혔다.
에디션이 제공하는 서비스는 ▲메타버스 '월드(World)' ▲소셜 네트워킹 성격을 지닌 ‘블록(Block)’ 등 2가지다.
월드에서 이용자들은 메타버스에 구현된 다양한 전시를 관람할 수 있고, 본인이 소유한 전자지갑 내 대체불가토큰(NFT)를 메타버스와 연동해 나만의 아바타 프로필 이미지로 사용해 다른 이들과 소통할 수 있다. 블록에서는 시시각각 업데이트되는 미술계 관련 최신 정보를 확인할 수 있으며, 그 외에도 이용자가 선택한 관심 주제에 따른 콘텐츠에 기반해 커뮤니티를 형성할 수 있다.
베타서비스는 오는 11일부터 시작한다. 양사는 공동으로 선정한 약 20개 메타버스 갤러리 공간의 무료 전시를 진행한다. 정식 버전에서는 갤러리, 작가, 문화 관련 기업은 물론 일반인 창작자를 위한 1000여 개의 가상 전시 공간을 서비스할 예정이다. 베타서비스는 크롬 웹브라우저에 최적화돼 있으며, '월드' 관련 모바일 서비스는 추후 정식 서비스 오픈 때부터 준비된다.
양사는 현실과 가상 세계를 넘나드는 풍부한 콘텐츠와 감각적인 인터페이스의 새로운 '메타버스 SNS' 세계로 대중을 맞이한다는 포부다.
김소형 프린트베이커리 대표는 ""비대면 시대를 거치면서 시공간을 뛰어넘는 초현실적인 공간에 대한 수요가 증가하고 이로 인한 메타버스 세계로의 사업 확장은 필수불가결한 시장의 흐름이 됐다""며 ""지속적인 개발 및 다양한 브랜드들과의 협업을 통해 에디션의 성장 및 메타버스 아트시장에 대한 새로운 트렌드를 주도하는 것이 목표""라고 전했다.
최정환 스코넥 부사장은 ""에디션 메타버스에서는 일상 속 예술 감각을 새로운 방법으로 시도하고 표현할 수 있으며, 누구나 메타버스 세상에서는 독창적인 창작자가 될 수 있다는 발상을 하게 됐다""며 ""이번 협업은 새로운 형태의 예술 생태계를 만들어가고자 하는 공동의 목표를 지향하고 구현했다는 점에서 의미가 크다""고 밝혔다.
한편, 양사는 베타서비스 오픈 이후에 ‘3D 디지털 아트 공모 이벤트’를 개최할 계획이다.",메타버스
이코노미스트,"스코넥, 아트 특화메타버스'에디션' 베타버전 1월 11일 출시",네이버뉴스,https://n.news.naver.com/mnews/article/243/0000037845?sid=105,,이코노미스트,"스코넥, 메타버스 통해 신개념 예술 생태계 마련","가상 갤러리 ‘월드’서 SNS ‘블록’으로 소통
11일 베타 버전 출시…20개 메타버스 공간 무료 전시
에디션 갤러리 내부 모습. [사진 스코넥엔터테인먼트]
[이코노미스트 송재민 기자] 확장현실(XR) 기반 메타버스 테크 기업 스코넥엔터테인먼트는 ‘에디션(eddy:sean)’ 베타 버전을 공개한다고 10일 밝혔다. 미술 대중화 브랜드 프린트베이커리와 공동개발한 에디션은 오는 11일 출시된다. 회사는 해당 서비스를 ‘오픈월드를 기반으로 한 아트특화 메타버스’라고 설명했다.
에디션은 크게 두 가지 서비스를 제공한다. 하나는 메타버스 ‘월드(World)’와 소셜 네트워킹 성격을 지닌 ‘블록(Block)’이다. 월드에서 유저들은 메타버스에 구현된 다양한 전시를 관람할 수 있고, 본인이 소유한 전자지갑 내 NFT를 메타버스와 연동해 다른 유저들과 소통할 수 있다. 블록에서는 미술계 관련 최신 정보를 확인할 수 있으며 유저가 선택한 관심 주제에 따른 콘텐츠 기반 커뮤니티를 형성할 수 있다.
양사는 베타서비스 오픈일에 맞춰 공동으로 선정한 약 20개 메타버스 갤러리 공간의 무료 전시를 진행한다. 이후 정식 버전부터는 갤러리·작가·문화 관련 기업은 물론 일반인 창작자를 위해 약 1000여개의 가상 전시 공간을 서비스할 예정이라고 전했다.
에디션은 한정판 판화를 뜻하는 ‘edition’에서 발음을 차용한 것으로 메타버스 공간에 존재하는 모든 것들은 현실의 또 다른 반영이라는 의미다.
김소형 프린트베이커리 대표는 “언택트 시대를 거치면서 시공간을 뛰어넘는 초현실적인 공간에 대한 수요가 증가하고 이로 인한 메타버스 세계로의 사업 확장은 필수불가결한 시장의 흐름이 되었다”며 “지속적인 개발 및 다양한 브랜드들과의 협업을 통해 에디션의 성장 및 메타버스 아트시장에 대한 새로운 트렌드를 주도하는 것이 목표”라고 말했다.
최정환 스코넥 부사장은 “에디션 메타버스에서는 일상 속 예술 감각을 새로운 방법으로 시도하고 표현할 수 있으며, 누구나 메타버스 세상에서는 독창적인 창작자가 될 수 있다는 발상을 하게 되었다”라며 “이번 협업은 새로운 형태의 예술 생태계를 만들어가고자 하는 공동의 목표를 지향하고 구현했다는 점에서 의미가 크다”고 밝혔다.
한편, 양사는 베타서비스 오픈 이후에 ‘3D 디지털 아트 공모 이벤트’를 개최할 계획이라고 전했다.",메타버스
이코노미스트,"롯데정보통신 칼리버스,메타버스에 CRI 미들웨어 음향 입힌다",네이버뉴스,https://n.news.naver.com/mnews/article/243/0000037850?sid=105,,이코노미스트,"롯데정보통신 칼리버스, 메타버스에 CRI 미들웨어 음향 입힌다","공간 오디오 음성 채팅 기능 핵심
롯데정보통신 자회사 칼리버스가 구현한 메타버스 내 화면. [사진 롯데정보통신]
[이코노미스트 정두용 기자] 롯데정보통신이 자회사 칼리버스와 메타버스(3차원 가상세계) 실감도 향상에 나섰다. 협업 기업은 CRI 미들웨어(이하 CRI)다. 3개 기업은 세계 최대 정보기술(IT) 전시회 ‘소비자가전쇼(CES) 2023’에서 미래기술 공동 연구에 관한 업무 협약을 맺었다.
롯데정보통신은 이 같은 업무 협약 추진 사항을 10일 공개하고 “칼리버스의 메타버스가 추구하는 초실감형 플랫폼에 현실감과 몰입감을 더해줄 것”이라고 강조했다. CRI는 온라인 커뮤니케이션 플랫폼 ‘텔레서스’를 개발한 기업이다. 약 7000개의 게임 관련 라이선스도 보유하고 있다.
텔레서스에 적용된 공간 오디오 음성 채팅 기능이 이번 협업의 핵심이다. CRI가 텔레서스에 적용한 음성 기술은 소리를 전후좌우 전 방향에서 세밀하게 구분해 전달한다. 수천명이 참여하는 가상 공간에서도 원활한 음성 채팅을 지원한다. 칼리버스 측은 “CRI의 최첨단 음성·영상 재생 관련 기술로 자사 메타버스가 추구하는 초실감형 플랫폼에 현실감과 몰입감을 더해줄 것으로 기대하고 있다”고 전했다.
노준형 롯데정보통신 대표는 “CRI는 음성·영상 재생 기술뿐만 아니라 세계 최고 수준의 고화질 영상 압축 솔루션 가지고 있다”며 “메타버스는 물론 오프라인 CCTV를 비롯해 롯데그룹의 다양한 영상 데이터 관련 기술적 운용에 있어 한 단계 높은 수준으로 도약할 것이라고 확신하고 있다”고 말했다.",메타버스
이코노미스트,"[CES 2023] 롯데정보통신·칼리버스, CRI미들웨어와메타버스기술 협약",네이버뉴스,https://n.news.naver.com/mnews/article/243/0000037850?sid=105,,이코노미스트,"롯데정보통신 칼리버스, 메타버스에 CRI 미들웨어 음향 입힌다","공간 오디오 음성 채팅 기능 핵심
롯데정보통신 자회사 칼리버스가 구현한 메타버스 내 화면. [사진 롯데정보통신]
[이코노미스트 정두용 기자] 롯데정보통신이 자회사 칼리버스와 메타버스(3차원 가상세계) 실감도 향상에 나섰다. 협업 기업은 CRI 미들웨어(이하 CRI)다. 3개 기업은 세계 최대 정보기술(IT) 전시회 ‘소비자가전쇼(CES) 2023’에서 미래기술 공동 연구에 관한 업무 협약을 맺었다.
롯데정보통신은 이 같은 업무 협약 추진 사항을 10일 공개하고 “칼리버스의 메타버스가 추구하는 초실감형 플랫폼에 현실감과 몰입감을 더해줄 것”이라고 강조했다. CRI는 온라인 커뮤니케이션 플랫폼 ‘텔레서스’를 개발한 기업이다. 약 7000개의 게임 관련 라이선스도 보유하고 있다.
텔레서스에 적용된 공간 오디오 음성 채팅 기능이 이번 협업의 핵심이다. CRI가 텔레서스에 적용한 음성 기술은 소리를 전후좌우 전 방향에서 세밀하게 구분해 전달한다. 수천명이 참여하는 가상 공간에서도 원활한 음성 채팅을 지원한다. 칼리버스 측은 “CRI의 최첨단 음성·영상 재생 관련 기술로 자사 메타버스가 추구하는 초실감형 플랫폼에 현실감과 몰입감을 더해줄 것으로 기대하고 있다”고 전했다.
노준형 롯데정보통신 대표는 “CRI는 음성·영상 재생 기술뿐만 아니라 세계 최고 수준의 고화질 영상 압축 솔루션 가지고 있다”며 “메타버스는 물론 오프라인 CCTV를 비롯해 롯데그룹의 다양한 영상 데이터 관련 기술적 운용에 있어 한 단계 높은 수준으로 도약할 것이라고 확신하고 있다”고 말했다.",메타버스
데일리한국,"롯데정보통신·칼리버스, CRI와 실감형메타버스기술 확보 맞손",,,,,,,메타버스
데일리안,[현장] '亞 최대메타버스' 제페토 입맛 잡은 신라면…현실에서도 '후루...,네이버뉴스,https://n.news.naver.com/mnews/article/119/0002674151?sid=105,,데일리안,[현장] '亞 최대 메타버스' 제페토 입맛 잡은 신라면…현실에서도 '후루룩',"9일부터 한달간 서울 성수동서 운영
제페토 ‘신라면 분식점’ 40만 방문 인기에 힘입어 추진
제페토 내 가상공간 오프라인으로 옮긴 첫 사례
이용자들에게 가장 인기 있던 라면조합 신제품 출시도
9일 서울 성수동 S펙토리에서 오픈한 ‘신라면 카페테리아 팝업스토어’에 많은 관람객들이 방문했다. ⓒ데일리안 민단비 기자
[데일리안 = 민단비 기자] 메타버스 플랫폼 ‘제페토’ 내 가상공간이 현실에 등장했다. 농심이 제페토에 오픈한 ‘신라면 카페테리아’에 40만 명이 넘는 이용자가 방문하며 큰 인기를 끌자 가상공간과 똑같은 오프라인 팝업스토어를 열어 제품 마케팅에 나선 것이다.
농심은 지난 9일부터 오는 2월 8일까지 서울 성수동에 위치한 S팩토리에서 ‘신라면 카페테리아 팝업스토어’를 운영한다. 이번 팝업스토어는 지난해 10월 농심이 제페토에 오픈한 ‘신라면 분식점’의 인기에 힘입어 추진됐다.
제페토는 네이버 손자회사 네이버제트가 운영하는 글로벌 메타버스 플랫폼이다. 국내를 비롯해 미국, 프랑스, 일본 등 200여개 국가에서 서비스 중이며, 약 3억4000만명 이상의 이용자를 보유하고 있다.
네이버는 그동안 국내 및 해외 기업과 함께 협업을 통해 실제 오프라인 공간을 메타버스에 그대로 구현해왔다. 하지만 가상공간인 신라면 분식점이 큰 인기를 끌자 이번에 처음으로 가상공간을 오프라인에 그대로 구현했다.
농심 관계자는 “신라면 제페토 큰사발 출시 이벤트 방문객이 40만여 명에 달할 정도로 큰 인기를 얻었다”며 “소비자들에게 색다른 체험의 기회를 제공하기 위해 가상현실의 공간을 실제로 옮긴 신라면 팝업스토어를 선보이게 됐다”라고 말했다.
팝업스토어 오픈과 함께 농심은 제페토에서 이끌어낸 이용자들의 경험을 활용해 실제 제품을 출시하기도 했다. 제페토 내 신라면 분식점에서 이용자들은 직접 본인 입맛에 맞는 라면 레시피를 만들고 요리할 수 있다. 여기서 총 54개의 레시피 조합이 가능한데, 농심은 이용자들이 63만회 참여한 레시피 중 가장 인기가 높았던 ‘고기 매콤 꼬들 계란 신라면’(16%)을 제품으로 출시했다.
농심이 이번에 오픈한 팝업스토어에선 가상공간과 똑같이 관람객이 직접 라면 레시피를 만들고 이 레시피에 따라 만든 라면을 먹을 수 있다. 기자가 팝업스토어에 도착했을 땐 일반 관람객 입장을 받기 전이라 줄을 기다리지 않고 바로 신라면 분식점을 체험할 수 있었다.
신라면 분식점을 이용하려면 그 앞에 비치된 모바일 기기를 통해 라면 재료와, 매운맛 정도, 면발 종류, 계란 포함 여부 등을 선택해야 한다. 모바일 기기에 뜨는 화면은 제페토 내 신라면 분식점에서 라면 레시피를 만들 때 뜨는 화면과 똑같았다.
신라면 분식점을 이용하려면 그 앞에 비치된 모바일 기기를 통해 라면 재료와, 매운맛 정도, 면발 종류, 계란 포함 여부 등을 선택해야 한다. ⓒ데일리안 민단비 기자
4단계의 선택을 거치고 나면 모바일 기기 바로 옆에 있는 소형 인쇄기에서 내 취향대로 만든 라면 레시피가 출력된다. 이 종이 레시피를 직원에게 가져다주면 컵라면과 김치, 물 등을 준다. 기자는 고기계란라면 레시피를 들고 가니 직원이 컵라면에 고기를 담아주고 플라스틱 통 안에 담긴 삶은 계란 반개를 쟁반에 올려줬다.
컵라면은 바로 옆에서 끓일 수 있다. 옆쪽에는 총 9대의 라면 끓이는 기계가 마련돼 있다. 기자는 면 익힘 정도를 보통으로 선택해 라면을 끓이는 데 5분의 시간이 걸렸다. 라면이 완성되면 해당 공간에 마련된 테이블 앞에 착석해 컵라면을 음미하면 된다.
신라면 팝업스토어에 마련된 신라면 분식점. ⓒ데일리안 민단비 기자
신라면 분식점에는 총 9대의 라면 끓이는 기계가 마련돼 있다. ⓒ데일리안 민단비 기자
완성된 고기계란신라면. ⓒ데일리안 민단비 기자
농심은 시식 이외에도 신라면의 브랜드 스토리와 역사를 한눈에 볼 수 있는 전시공간과 함께 자이언트 신라면 포토존, 방문객이 참여할 수 있는 각종 게임과 이벤트 등 다양한 볼거리와 즐길 거리를 마련했다. 특히 시식존과 함께 포토존에 많은 관람객이 몰렸다. 이외에 신라면의 디자인을 모티브로 제작한 담요와 펜, 마스킹 테이프 등 굿즈도 판매하고 있었다.
이번 신라면 팝업스토어와 같이 제페토 내 가상공간이 현실에 그대로 구현되는 사례는 앞으로 더 많아질 전망이다. 그동안 기업들은 제품 홍보를 위해 오프라인을 본뜬 가상공간을 마련해왔으나, 농심이 이번에 가상공간을 통해 행사에 대한 소비자 반응을 사전에 확인하고 수집 및 분석한 데이터를 기반으로 신제품 개발이 가능하다는 것을 보여줬기 때문이다.
현장에 있던 네이버 관계자는 추후 오프라인 행사 계획에 대한 질문에 “파트너사와 사업 관련 내용을 공유 받지 않아 아직 계획된 바는 없으나 네이버는 온•오프라인 연결을 지향하기 때문에 앞으로 이런 기회 점차 늘려나갈 계획”이라고 말했다.
네이버제트 관계자는 “제페토는 다양한 글로벌 기업들과 이용자들을 연결해주는 새로운 무대로 각광받고 있다”며 “제페토는 앞으로도 온오프라인을 넘나드는 다채로운 메타버스 경험을 선사할 수 있도록 다양한 브랜드와의 협업을 이어가겠다”고 전했다.",메타버스
