press,title,naver_news_text,naver_news_url,body
연합뉴스,"신한투자 ""상법개정되면 지주사·우선주·규제민감주 수혜""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015254953?sid=101,
연합뉴스,"""상법개정 시 경영 불확실성↑…무사안일주의 확산할 수도""-신한",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015254953?sid=101,
한국경제,"신한투자 ""상법개정되면 지주사·우선주·규제민감주 수혜""",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005103997?sid=101,
연합인포맥스,본회의 재상정되는상법개정안…'밸류업' 실효성은,,,
SBS Biz,상법개정에 날개 단 주주행동주의…정기 주총 타깃은?,네이버뉴스,https://n.news.naver.com/mnews/article/374/0000428979?sid=101,
SBS Biz,상장사 40% “주주 관여 받아”… “상법개정 땐 이사와 갈등 증가”,네이버뉴스,https://n.news.naver.com/mnews/article/374/0000428979?sid=101,
서울신문,"힘 키운 개미들, 주주행동주의 주체되나",네이버뉴스,https://n.news.naver.com/mnews/article/081/0003523700?sid=101,
직썰,주주행동주의 확산…주주 관여 91% 소액주주,,,
금강일보,“배당 확대” “집중투표제 도입” 무시 못할 소액주주 목소리,,,
이데일리,상법개정 땐 행동주의펀드 더 득세…기업 경영권 흔들린다,네이버뉴스,https://n.news.naver.com/mnews/article/018/0005958767?sid=101,
여성경제신문,상법 개정안은 기업에 부담···밸류업 공시는 긍정적 유인,,,
서울경제,'주주충실'따른 美 일부州…합병 94%가 소송 걸렸다,네이버뉴스,https://n.news.naver.com/mnews/article/011/0004459546?sid=101,
문화일보,격해진 야당… 민생 국정협의회 파행 우려,네이버뉴스,https://n.news.naver.com/mnews/article/021/0002695356?sid=100,
중부매일,22대 총선 1년… 청주 초선 국회의원 4인방 활약은?,,,
브레이크뉴스,3월 정기 주주총회 시즌 임박..소액주주 목소리 높아졌다,,,
서울경제,"장기 소송전에 입증 책임도 부담…""실질적 주주보호 의문""",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004459547?sid=101,
