press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,"중기 10곳 중 6곳 ""중대재해처벌법 시행 후 경영부담""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013646316?sid=101,,뉴시스,"중기 10곳 중 6곳 ""중대재해처벌법 시행 후 경영부담""","메인비즈협회 369개사 대상 실태조사
[서울=뉴시스]중대재해처벌법 실태조사.(사진=메인비즈협회 제공) 2025.12.08. photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스] 권혁진 기자 = 중소기업 10곳 중 6곳은 중대재해처벌법(중처법)에 따른 경영상 부담을 느끼고 있다는 조사 결과가 나왔다.
9일 메인비즈협회가 발표한 '중대재해처벌법 인식 및 대응 실태조사' 결과에 따르면 응답 기업의 61.2%는 중처법 시행 후 경영상 부담이 커졌다고 밝혔다.
이같은 현상은 특히 영세·비제조업 기업일수록 두드러지는 것으로 나타났다. 보수적 경영 및 투자위축, 사법 리스크 증가 등 부정적 영향도 드러났다.
이번 조사는 지난 10월 24~31일 메인비즈기업 369개사를 대상으로 이뤄졌다.
중처법은 사업장 등에서 안전·보건 조치 의무 위반으로 인명 피해가 발생할 경우 사업주나 법인의 처벌을 규정해 중대재해를 예방하고자 2022년 1월27일 시행됐다.
응답 기업의 95.9%는 중처법을 인지하고 있었지만, 구체적인 의무조항까지 이해하고 있다고 답한 기업은 절반 이하인 47.4%(어느 정도 알고 있다 35.2%·구체적인 내용까지 알고 있다 12.2%)에 머물렀다.
안전·보건 전담조직과 전담인력을 모두 갖춘 기업은 7.6%에 그쳤다. 대부분의 기업들은 기본 매뉴얼만 보유하거나, 기존 직원이 안전업무를 겸임하고 있는 것으로 풀이된다.
비용 부담의 구조적 한계도 드러났다. 실제 응답기업 74.6%는 안전관리비를 납품단가에 반영하지 못한다고 답했다. 법적 의무 미이행시 가장 큰 부담으로는 대표이사 형사처벌(64.0%)을 꼽았다.
가장 필요한 지원으로 66.4%가 안전보건 투자 재정지원을 언급했다. 세제혜택(36.0%)과 맞춤형 컨설팅 서비스 제공(33.3%), 디지털 안전관리 시스템 도입(33.1%) 등을 요구하는 의견도 많았다.
협회는 이번 조사로 법 준수를 위한 최소한의 안전관리 체계조차 마련하기 힘든 중소기업의 현실이 입증된 만큼 기업 규모와 여건을 고려한 합리적 제도 개선이 시급하다고 강조했다.
특히 현행 제도가 대기업 중심 기준을 일률적으로 적용하고 있어 인력·예산이 부족한 중소기업에 과도한 부담을 준다고 봤다.
이에 협회는 규모·업종·위험도에 따른 맞춤형·차등형 규제 체계 도입과 재정·세제·전문인력 등을 연계한 패키지형 안전지원 체계 구축을 제안했다. 이밖에 명확한 경영책임자의 책임과 역할 규정, 예방 중심의 생태계 전환, 협력사와 안전역량을 함께 높이는 구조적 접근이 필요하다고 전했다．",중대재해
뉴시스,중소기업 61.2% “중대재해처벌법 시행… 경영상 부담 크다”,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013646316?sid=101,,뉴시스,"중기 10곳 중 6곳 ""중대재해처벌법 시행 후 경영부담""","메인비즈협회 369개사 대상 실태조사
[서울=뉴시스]중대재해처벌법 실태조사.(사진=메인비즈협회 제공) 2025.12.08. photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스] 권혁진 기자 = 중소기업 10곳 중 6곳은 중대재해처벌법(중처법)에 따른 경영상 부담을 느끼고 있다는 조사 결과가 나왔다.
9일 메인비즈협회가 발표한 '중대재해처벌법 인식 및 대응 실태조사' 결과에 따르면 응답 기업의 61.2%는 중처법 시행 후 경영상 부담이 커졌다고 밝혔다.
이같은 현상은 특히 영세·비제조업 기업일수록 두드러지는 것으로 나타났다. 보수적 경영 및 투자위축, 사법 리스크 증가 등 부정적 영향도 드러났다.
이번 조사는 지난 10월 24~31일 메인비즈기업 369개사를 대상으로 이뤄졌다.
중처법은 사업장 등에서 안전·보건 조치 의무 위반으로 인명 피해가 발생할 경우 사업주나 법인의 처벌을 규정해 중대재해를 예방하고자 2022년 1월27일 시행됐다.
응답 기업의 95.9%는 중처법을 인지하고 있었지만, 구체적인 의무조항까지 이해하고 있다고 답한 기업은 절반 이하인 47.4%(어느 정도 알고 있다 35.2%·구체적인 내용까지 알고 있다 12.2%)에 머물렀다.
안전·보건 전담조직과 전담인력을 모두 갖춘 기업은 7.6%에 그쳤다. 대부분의 기업들은 기본 매뉴얼만 보유하거나, 기존 직원이 안전업무를 겸임하고 있는 것으로 풀이된다.
비용 부담의 구조적 한계도 드러났다. 실제 응답기업 74.6%는 안전관리비를 납품단가에 반영하지 못한다고 답했다. 법적 의무 미이행시 가장 큰 부담으로는 대표이사 형사처벌(64.0%)을 꼽았다.
가장 필요한 지원으로 66.4%가 안전보건 투자 재정지원을 언급했다. 세제혜택(36.0%)과 맞춤형 컨설팅 서비스 제공(33.3%), 디지털 안전관리 시스템 도입(33.1%) 등을 요구하는 의견도 많았다.
협회는 이번 조사로 법 준수를 위한 최소한의 안전관리 체계조차 마련하기 힘든 중소기업의 현실이 입증된 만큼 기업 규모와 여건을 고려한 합리적 제도 개선이 시급하다고 강조했다.
특히 현행 제도가 대기업 중심 기준을 일률적으로 적용하고 있어 인력·예산이 부족한 중소기업에 과도한 부담을 준다고 봤다.
이에 협회는 규모·업종·위험도에 따른 맞춤형·차등형 규제 체계 도입과 재정·세제·전문인력 등을 연계한 패키지형 안전지원 체계 구축을 제안했다. 이밖에 명확한 경영책임자의 책임과 역할 규정, 예방 중심의 생태계 전환, 협력사와 안전역량을 함께 높이는 구조적 접근이 필요하다고 전했다．",중대재해
뉴스1,"경총,중대재해가장 잘 예방한 대기업 'KT' 선정",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008650499?sid=101,,뉴스1,"경총, 중대재해 가장 잘 예방한 대기업 'KT' 선정","2회 안전문화혁신대상…우수상에 HD현대일렉·CJ ENM
서울 KT 사옥 모습. 2025.11.6/뉴스1 ⓒ News1 김민지 기자
(서울=뉴스1) 최동현 기자 = 한국경영자총협회는 9일 '제2회 안전문화혁신대상' 시상식을 열고 대기업 부문 대상에 KT를 선정했다고 밝혔다.
안전문화혁신대상은 경총이 2024년 안전 최우선 경영을 통해 중대재해를 효과적으로 예방하는 우수 사업장을 발굴·확산하기 위해 경영계 최초로 제정한 상이다.
KT는 국내외 기준에 맞는 안전보건경영시스템을 구축하고 자체 개발한 안전 문화 수준측정 진단 프로그램을 통해 전사와 협력사에 실질적인 안전문화를 정착시켰다는 평가를 받았다.
특히 인공지능(AI) 기반 안전관리 시스템(All-in Safety) 운영으로 안전작업 허가, TBM 검증, 기상 정보 기반 메시지 발송, 영상 모니터링 등 현장 안전관리의 실행력을 높였다고 경총은 설명했다.
대기업 부문 우수상은 모바일 기반 통합HSE관리시스템을 개발하고 환산재해율 개념을 도입한 HD현대일렉트릭, 국내 최초로 콘서트 위험성 평가를 도입한 CJ ENM이 선정됐다.
중견·중소기업 부문 대상은 현장 맞춤형으로 자체 개발한 안전관리시스템을 도입으로 모바일 환경에서도 손쉽게 작성·관리할 수 있는 전산 체계를 구축한 대방이 수상했다.
손경식 경총 회장은 ""최근 정부의 노동안전 종합대책 발표, 국회의 산업안전 관련 법령 논의·개정 등으로 안전에 대한 기업의 사회적 책임은 더욱 커졌다""며 ""법률 규제 강화, 사후 처벌 중심에서 사업장 자율적 산재 예방 활동을 통한 안전 문화 혁신으로 안전관리 패러다임이 전환돼야 한다""고 말했다.",중대재해
잡포스트,"용인시,중대 재해예방과 안전문화 확산 업무협약",,,,,,,중대재해
뉴시스,[산청소식]'중대재해예방' 밀폐공간 긴급구조 훈련 등,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013646733?sid=102,,뉴시스,[산청소식]'중대재해 예방' 밀폐공간 긴급구조 훈련 등,"[산청=뉴시스] 산청군 밀폐공간 긴급구조 훈련 (사진=산청군 제공) 2025. 12. 09. photo@newsis.com *재판매 및 DB 금지
[산청=뉴시스] 서희원 기자 = 경남 산청군은 지난 8일 산청생초통합정수장에서 중대산업재해(질식재해) 예방을 위한 밀폐공간 긴급구조 훈련을 실시했다고 9일 밝혔다.
밀폐공간을 보유한 부서 담당자 등 30여 명을 대상으로 추진한 이번 훈련은 질식 재해 발생 시 필요한 구조 절차를 중심으로 이뤄졌다.
(사)대한산업보건협회와 산청소방서가 참여한 훈련에서는 사고자 구조, 응급처치, 심폐소생술(CPR), 이송 등 밀폐공간 안전작업 기준과 재해 사례를 포함한 이론 교육을 시작으로 밀폐공간 구조훈련 실습이 진행됐다.
◇ 산청 청소년 축제기획단·성장지원협, 공동회의
[산청=뉴시스] 산청 청소년 축제기획단·성장지원협 공동회의 (사진=산청군 제공) 2025. 12. 09. photo@newsis.com *재판매 및 DB 금지
경남 산청군은 지난 8일 청소년수련관에서 ‘청소년축제기획단 및 청소년성장지원협의회 공동회의’가 열렸다고 9일 밝혔다.
내년도 청소년성장지원사업 활성화를 위해 마련된 이번 회의에서는 산청유스페스타 실질적 개선점 도출 및 차년도 반영, 자기주도프로그램-산청의 파티라 플랫폼 확대 방안, 지역특화프로그램-인(in),산청  타지역 특화프로그램과 상호교차·교류 체계 구축, 청소년 자유공간 조성을 위한 의견 수렴 등이 이뤄졌다.
한편 청소년축제기획단은 산청유스페스타를 산청군의 대표 청소년 축제로 자리매김하는데 큰 역할을 담당했으며, 또 청소년성장지원협의회는 지역 청소년의 건강한 성장과 지역사회의 동반 발전을 위한 민관 협력기구로 다양한 활동을 추진하고 있다.",중대재해
아시아경제,"용인시, 산업안전協과중대재해예방 업무협약",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005690436?sid=102,,아시아경제,"용인시, 산업안전協과 중대재해 예방 업무협약","안전교육·재해예방 역량 강화 지원…공동 캠페인도 추진
경기도 용인시는 8일 시청 접견실에서 대한산업안전협회와 '중대재해 예방과 안전문화 확산을 위한 업무협약'을 맺었다.
8일 용인시청 접견실에서 열린 '중대재해 예방과 안전문화 확산을 위한 업무협약식'에서 이상일 용인시장(왼쪽)과 임무송 대한산업안전협회 회장이 협약서를 들어보이고 있다. 용인시 제공
대한산업안전협회는 안전진단, 인증, 교육 등 안전관리 분야에서 핵심적인 역할을 하는 종합컨설팅 기관이다. 협약식에는 이상일 용인시장과 임무송 대한산업안전협회 회장 및 관계자 등이 참석했다.
양 기관은 이번 협약으로 ▲중대재해 예방을 위한 자문 ▲안전교육과 재해예방 역량 강화 지원 ▲시민 안전을 위한 안전점검 지원 ▲건설안전과 시설 안전에 관한 자문 ▲안전문화 확산을 위한 공동 캠페인 등을 추진하기로 했다.
시는 협약을 계기로 안전관리 체계를 고도화하고 공무원과 현장 종사자들의 안전 역량을 강화해 시민이 체감하는 안전 수준을 한층 더 높일 계획이다.
임 회장은 '용인이 다른 지역의 모범이 되는 안전의 새로운 모델로 자리 잡을 수 있도록 그 여정에 협회가 함께하겠다""고 했다.
이 시장은 ""협약을 계기로 협회가 가진 경험과 노하우를 시정에 접목해 용인시가 시민 안전 분야에서 선도적인 도시로 발전할 수 있도록 하겠다""고 말했다.",중대재해
아시아경제,"용인시, 대한산업안전협회와 협약…중대재해예방·안전문화 확산",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005690436?sid=102,,아시아경제,"용인시, 산업안전協과 중대재해 예방 업무협약","안전교육·재해예방 역량 강화 지원…공동 캠페인도 추진
경기도 용인시는 8일 시청 접견실에서 대한산업안전협회와 '중대재해 예방과 안전문화 확산을 위한 업무협약'을 맺었다.
8일 용인시청 접견실에서 열린 '중대재해 예방과 안전문화 확산을 위한 업무협약식'에서 이상일 용인시장(왼쪽)과 임무송 대한산업안전협회 회장이 협약서를 들어보이고 있다. 용인시 제공
대한산업안전협회는 안전진단, 인증, 교육 등 안전관리 분야에서 핵심적인 역할을 하는 종합컨설팅 기관이다. 협약식에는 이상일 용인시장과 임무송 대한산업안전협회 회장 및 관계자 등이 참석했다.
양 기관은 이번 협약으로 ▲중대재해 예방을 위한 자문 ▲안전교육과 재해예방 역량 강화 지원 ▲시민 안전을 위한 안전점검 지원 ▲건설안전과 시설 안전에 관한 자문 ▲안전문화 확산을 위한 공동 캠페인 등을 추진하기로 했다.
시는 협약을 계기로 안전관리 체계를 고도화하고 공무원과 현장 종사자들의 안전 역량을 강화해 시민이 체감하는 안전 수준을 한층 더 높일 계획이다.
임 회장은 '용인이 다른 지역의 모범이 되는 안전의 새로운 모델로 자리 잡을 수 있도록 그 여정에 협회가 함께하겠다""고 했다.
이 시장은 ""협약을 계기로 협회가 가진 경험과 노하우를 시정에 접목해 용인시가 시민 안전 분야에서 선도적인 도시로 발전할 수 있도록 하겠다""고 말했다.",중대재해
뉴스1,"용인시, 대한산업안전협회와중대재해예방과 안전문화 확산 업무협약",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008648994?sid=102,,뉴스1,"용인시, 대한산업안전협회와 협약…중대재해 예방·안전문화 확산","안전교육·재해예방 역량강화 지원, 안전문화 확산 공동 캠페인
이상일 시장(왼쪽)과 임무송 대한산업안전협회 회장이 8일 용인시청 접견실에서 업무협약‘을 맺은 뒤 기념촬영을 하고 있다.(용인시 제공)
(용인=뉴스1) 김평석 기자 = 경기 용인특례시가 8일 시청 접견실에서 대한산업안전협회와 ‘중대재해 예방과 안전문화 확산을 위한 업무협약’을 맺었다.
이날 협약식에는 이상일 시장, 임무송 대한산업안전협회 회장, 주도종 기술이사, 강원석 경기지역본부장이 참석했다.
협약에 따라 용인시와 협회는 △중대재해 예방을 위한 자문 △용인시 종사자 대상 안전교육과 재해예방 역량 강화 지원 △시민 안전을 위한 안전점검 지원 △건설안전과 시설 안전에 관한 자문 △안전문화 확산을 위한 공동 캠페인 등을 추진한다.
용인시는 협약을 계기로 고도화된 안전관리 체계를 구축하고, 공무원과 현장 종사자들의 안전 역량을 강화해 시민이 체감할 수 있을 정도로 안전 수준을 높인다는 계획이다.
1964년 출범한 대한산업안전협회는 오랜 경험과 전문성을 기반으로 안전진단, 인증, 교육 등 안전관리 분야에서 핵심적인 역할을 하는 종합컨설팅기관이다.
임무송 회장은 “용인이 다른 지역의 모범이 되는 안전의 새로운 모델(표준)로 자리 잡을 수 있도록 그 여정에 협회가 함께하겠다”고 말했다.
이상일 시장은 “이 협약을 계기로 협회가 갖고 있는 경험과 노하우를 시정에 접목해 용인시가 시민 안전 분야에서 선도적인 도시로 발전할 수 있도록 하겠다”고 밝혔다.",중대재해
오마이뉴스,"용인시·대한산업안전협회,중대재해예방·안전문화 확산 업무협약",네이버뉴스,https://n.news.naver.com/mnews/article/047/0002497701?sid=100,,오마이뉴스,"용인시, 대한산업안전협회와 중대재해 예방과 안전문화 확산 업무협약","이상일 시장 ""용인이 시민 안전 분야에서 선도적인 도시로 발전하도록 노력""
▲
경기 용인시는 8일 시청 4층 접견실에서 대한산업안전협회와 ‘중대재해 예방과 안전문화 확산을 위한 업무협약’을 맺었다.
ⓒ 용인시
경기 용인시는 8일 시청 4층 접견실에서 대한산업안전협회와 '중대재해 예방과 안전문화 확산을 위한 업무협약'을 맺었다.
이날 협약식에는 이상일 시장과 임무송 대한산업안전협회 회장, 주도종 기술이사, 강원석 경기지역본부장이 참석했다.
시와 협회는 ▲중대재해 예방을 위한 자문 ▲용인시 종사자 대상 안전교육과 재해예방 역량 강화 지원 ▲시민 안전을 위한 안전점검 지원 ▲건설안전과 시설 안전에 관한 자문 ▲안전문화 확산을 위한 공동 캠페인 등을 추진하기로 했다.
시는 협약을 계기로 고도화된 안전관리 체계를 구축하고, 공무원과 현장 종사자들의 안전 역량을 강화해 시민이 체감하는 안전 수준을 한층 더 높일 계획이다.
1964년 출범한 대한산업안전협회는 오랜 경험과 전문성을 기반으로 안전진단, 인증, 교육 등 안전관리 분야에서 핵심적인 역할을 하는 종합컨설팅기관이다.
임무송 회장은 ""삼성과 SK를 중심으로 용인특례시가 대한민국의 반도체 중심 도시로 도약하는 데 이상일 시장님이 큰 역할을 하신 것으로 안다""며 ""용인이 다른 지역의 모범이 되는 안전의 새로운 모델(표준)로 자리 잡을 수 있도록 그 여정에 협회가 함께하겠다""고 했다.
이상일 시장은 ""취임 이후 관계 기관과 함께 안전문화살롱을 개최하는 등 시민의 안전을 위해 다양한 노력을 기울여 왔다""며 ""이 협약을 계기로 협회가 갖고 있는 경험과 노하우를 시정에 접목해 용인특례시가 시민 안전 분야에서 선도적인 도시로 발전할 수 있도록 하겠다""고 했다.",중대재해
뉴스핌,"용인시·대한산업안전협회,중대재해예방 업무협약 체결",,,,,,,중대재해
