press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
파이낸셜뉴스,10월금리동결 확실시...“집값·환율 오름세 이어지면 11월인하도 어...,네이버뉴스,https://n.news.naver.com/mnews/article/014/0005421173?sid=101,,파이낸셜뉴스,10월 금리 동결 확실시...“집값·환율 오름세 이어지면 11월 인하도 어렵다”,"23일 금융통화위원회 앞두고 전문가 설문
집값·환율 불확실성에 금리 동결 가능성↑
추가 기준금리 인하 시점은 11월 우세
금융안정 불안 이어지면 내년으로 밀릴 듯
연합뉴스
[파이낸셜뉴스] 큰 이변이 없는 한 한국은행이 오는 23일 열리는 금융통화위원회에서 기준금리를 동결할 전망이다. 부동산 대책의 효과가 가시화되지 않으면서 서울을 중심으로 집값이 여전히 불안하고, 원·달러 환율도 1400원을 넘어서는 등 외환시장 변동성도 확대된 영향이다. 시장에서는 11월 인하 가능성을 높게 평가하고 있으나, 금융안정 우려가 지속될 경우 연내 금리 인하가 어렵다는 해석도 나온다.
■부동산 과열·환율 변동성 확대...10월에도 금리동결 유력
파이낸셜뉴스가 19일 국내 거시경제·채권 전문가 11명을 대상으로 조사한 결과, 응답자 전원은 금융통화위원회가 이달 기준금리를 연 2.50%에서 묶을 것으로 응답했다. 지난 7월과 8월에 이어 3회 연속 금리 동결 기조를 유지할 것으로 내다본 것이다.
금리동결 재료는 주택시장 과열이다. 부동산R114에 따르면 10월 셋째 주 전국 아파트 매매가격은 추석 연휴 전인 2주 전과 비교해 0.27% 상승했다. 경기·인천 지역이 0.19% 오른 가운데 서울의 상승률은 0.42%에 달했다. 6·27 대책을 시작으로 9월과 10월에 연이어 부동산 대책을 제시했으나 여전히 서울을 중심으로 아파트 가격 상승세가 지속되는 모습이다.
김지나 유진투자증권 연구원은 “부동산 대책의 효과를 지켜보는 시간이 계속될 것”이라며 “경기 하방 압력에도 불구하고 집값 등 금융안정에 한은의 관심이 훨씬 집중된 상태”라고 분석했다. 이창용 한은 총재도 지난달 ""인하를 1~2개월 미뤄도 경기를 잡는 데 큰 영향이 없지만, 인하 시그널로 서울 집값이 오르면 더 큰 고생을 한다""고 언급한 바 있다.
고공행진하는 원·달러 환율도 금리 동결 가능성을 키우고 있다. 17일 서울 외환시장에서 원·달러 환율(오후 3시 30분 기준)은 전 거래일 주간거래 종가보다 3.3원 오른 1421.2원에 마감한 뒤 야간거래(새벽 2시 기준)에서 1원 더 오른 1422.2원에 거래를 마쳤다. 원·달러 환율은 지난달 30일부터 9거래일 연속 주간·야간거래에서 모두 1400원을 넘기며 마감하는 등 높은 수준을 이어가고 있다.
윤지호 BNP파리바 연구원은 “미 연방준비제도(연준)와의 금리 차이가 축소됐음에도 환율 변동성은 증가했다”며 “10월 금통위에서 만장일치 동결 결정을 예상하며, 포워드 가이던스에서도 향후 3개월 동안 금리 인하 가능성을 열어둘 위원 수는 8월(5명)보다 줄어들 것”이라고 설명했다.
■11월 인하 전망에도...“불확실성 지속 시 연내 인하 없을 수도”
추가 금리인하 재개 시기는 연내 마지막 금통위가 열리는 11월로 예측됐다. 전문가 11명 중 7명은 한은 금통위가 다음달 27일 금리를 낮출 것으로 예상했다. 금융안정 불확실성에도 불구하고 경제성장률 하방 압력이 커지고 있는 만큼, 통화정책을 통해 경기 둔화에 대응할 필요성이 커졌기 때문이다.
김성수 한화투자증권 연구원은 “7월부터 기준금리 동결 기조가 이어지는 가운데 11월은 6·27 등 부동산 대책의 효과를 지켜본 지 5개월이 되어가는 시점”이라며 “정부가 10월 15일에 발표한 ‘주택시장 안정화 대책’도 매우 강력한 수준으로 제시됐다”고 설명했다.
이어 “금융통화위원회 의사록을 살펴보면 금통위원들은 경제성장률이 잠재성장률을 하회하는 만큼 인하 기조가 유효하다고 설명하고 있다”며 “11월 금리 인하가 가능하다고 생각한다”고 했다.
다만 전문가들은 서울 주택시장과 외환시장 불안이 진정되지 않을 경우 내년까지 금리 인하 시점이 밀릴 수 있다고 해석했다. 특히 통상 6주 간격으로 열리는 한은 금통위가 추석 연휴 등의 영향으로 11월에 5주 간격으로 진행되는 만큼, 부동산 대책 효과 등 금융안정을 확인할 시간이 다른 금통위에 부족한 상황이다.
박형중 우리은행 이코노미스트는 “집값 오름세가 멈추고 가계부채 증가세도 확연하게 꺾이는 것이 전제돼야 11월 금리 인하가 가능하다”며 “환율도 1380원 아래까지 내려오고 향후에도 꾸준히 하향 안정될 수 있다는 확신이 있어야 하는데, 현재까지 부동산 경기와 환율이 안정될 가능성이 크지 않아 기준금리 인하 시기가 내년으로 이전될 것으로 보고 있다”고 했다.
안예하 키움증권 연구원은 “추가 인하 시점은 내년 1·4분기 중으로 지연될 전망”이라며 “경기 양극화 환경에서 선별적인 지원이 필요한 가운데, 내년 이후 부동산 가격 상승세 둔화와 물가 둔화 흐름을 확인하는 과정에서 한국은행의 금리 인하 여력이 확보될 것으로 판단한다”고 말했다.",금리인하
파이낸셜뉴스,'집값 자극 할라'…연내 기준금리 인하'빨간불',네이버뉴스,https://n.news.naver.com/mnews/article/014/0005421173?sid=101,,파이낸셜뉴스,10월 금리 동결 확실시...“집값·환율 오름세 이어지면 11월 인하도 어렵다”,"23일 금융통화위원회 앞두고 전문가 설문
집값·환율 불확실성에 금리 동결 가능성↑
추가 기준금리 인하 시점은 11월 우세
금융안정 불안 이어지면 내년으로 밀릴 듯
연합뉴스
[파이낸셜뉴스] 큰 이변이 없는 한 한국은행이 오는 23일 열리는 금융통화위원회에서 기준금리를 동결할 전망이다. 부동산 대책의 효과가 가시화되지 않으면서 서울을 중심으로 집값이 여전히 불안하고, 원·달러 환율도 1400원을 넘어서는 등 외환시장 변동성도 확대된 영향이다. 시장에서는 11월 인하 가능성을 높게 평가하고 있으나, 금융안정 우려가 지속될 경우 연내 금리 인하가 어렵다는 해석도 나온다.
■부동산 과열·환율 변동성 확대...10월에도 금리동결 유력
파이낸셜뉴스가 19일 국내 거시경제·채권 전문가 11명을 대상으로 조사한 결과, 응답자 전원은 금융통화위원회가 이달 기준금리를 연 2.50%에서 묶을 것으로 응답했다. 지난 7월과 8월에 이어 3회 연속 금리 동결 기조를 유지할 것으로 내다본 것이다.
금리동결 재료는 주택시장 과열이다. 부동산R114에 따르면 10월 셋째 주 전국 아파트 매매가격은 추석 연휴 전인 2주 전과 비교해 0.27% 상승했다. 경기·인천 지역이 0.19% 오른 가운데 서울의 상승률은 0.42%에 달했다. 6·27 대책을 시작으로 9월과 10월에 연이어 부동산 대책을 제시했으나 여전히 서울을 중심으로 아파트 가격 상승세가 지속되는 모습이다.
김지나 유진투자증권 연구원은 “부동산 대책의 효과를 지켜보는 시간이 계속될 것”이라며 “경기 하방 압력에도 불구하고 집값 등 금융안정에 한은의 관심이 훨씬 집중된 상태”라고 분석했다. 이창용 한은 총재도 지난달 ""인하를 1~2개월 미뤄도 경기를 잡는 데 큰 영향이 없지만, 인하 시그널로 서울 집값이 오르면 더 큰 고생을 한다""고 언급한 바 있다.
고공행진하는 원·달러 환율도 금리 동결 가능성을 키우고 있다. 17일 서울 외환시장에서 원·달러 환율(오후 3시 30분 기준)은 전 거래일 주간거래 종가보다 3.3원 오른 1421.2원에 마감한 뒤 야간거래(새벽 2시 기준)에서 1원 더 오른 1422.2원에 거래를 마쳤다. 원·달러 환율은 지난달 30일부터 9거래일 연속 주간·야간거래에서 모두 1400원을 넘기며 마감하는 등 높은 수준을 이어가고 있다.
윤지호 BNP파리바 연구원은 “미 연방준비제도(연준)와의 금리 차이가 축소됐음에도 환율 변동성은 증가했다”며 “10월 금통위에서 만장일치 동결 결정을 예상하며, 포워드 가이던스에서도 향후 3개월 동안 금리 인하 가능성을 열어둘 위원 수는 8월(5명)보다 줄어들 것”이라고 설명했다.
■11월 인하 전망에도...“불확실성 지속 시 연내 인하 없을 수도”
추가 금리인하 재개 시기는 연내 마지막 금통위가 열리는 11월로 예측됐다. 전문가 11명 중 7명은 한은 금통위가 다음달 27일 금리를 낮출 것으로 예상했다. 금융안정 불확실성에도 불구하고 경제성장률 하방 압력이 커지고 있는 만큼, 통화정책을 통해 경기 둔화에 대응할 필요성이 커졌기 때문이다.
김성수 한화투자증권 연구원은 “7월부터 기준금리 동결 기조가 이어지는 가운데 11월은 6·27 등 부동산 대책의 효과를 지켜본 지 5개월이 되어가는 시점”이라며 “정부가 10월 15일에 발표한 ‘주택시장 안정화 대책’도 매우 강력한 수준으로 제시됐다”고 설명했다.
이어 “금융통화위원회 의사록을 살펴보면 금통위원들은 경제성장률이 잠재성장률을 하회하는 만큼 인하 기조가 유효하다고 설명하고 있다”며 “11월 금리 인하가 가능하다고 생각한다”고 했다.
다만 전문가들은 서울 주택시장과 외환시장 불안이 진정되지 않을 경우 내년까지 금리 인하 시점이 밀릴 수 있다고 해석했다. 특히 통상 6주 간격으로 열리는 한은 금통위가 추석 연휴 등의 영향으로 11월에 5주 간격으로 진행되는 만큼, 부동산 대책 효과 등 금융안정을 확인할 시간이 다른 금통위에 부족한 상황이다.
박형중 우리은행 이코노미스트는 “집값 오름세가 멈추고 가계부채 증가세도 확연하게 꺾이는 것이 전제돼야 11월 금리 인하가 가능하다”며 “환율도 1380원 아래까지 내려오고 향후에도 꾸준히 하향 안정될 수 있다는 확신이 있어야 하는데, 현재까지 부동산 경기와 환율이 안정될 가능성이 크지 않아 기준금리 인하 시기가 내년으로 이전될 것으로 보고 있다”고 했다.
안예하 키움증권 연구원은 “추가 인하 시점은 내년 1·4분기 중으로 지연될 전망”이라며 “경기 양극화 환경에서 선별적인 지원이 필요한 가운데, 내년 이후 부동산 가격 상승세 둔화와 물가 둔화 흐름을 확인하는 과정에서 한국은행의 금리 인하 여력이 확보될 것으로 판단한다”고 말했다.",금리인하
비즈워치,"전문가들 ""10월 금통위 '금리동결' 유력""…추가인하는 11월?",네이버뉴스,https://n.news.naver.com/mnews/article/648/0000040824?sid=101,,비즈워치,'집값 자극 할라'…연내 기준금리 인하 '빨간불',"[경제 레이더]
이달 23일 한은 기준금리 결정… 2.5% 동결 전망 우세
""수도권 집값·환율 변동성 확대 시 11월도 인하 어려워""
9월 생산자물가지수, 경제상황 평가 보고서도 촉각
한국은행 금융통화위원회가 이달 기준금리를 동결한다는 전망이 힘을 얻고 있다. 부동산 가격과 고환율이라는 변수에 인하 시기를 늦춘다는 예상이다.
기준금리 인하가 내년으로 미뤄질 가능성도 거론되는 가운데 이번 주 한은에서 발표하는 생산자물가지수와 경제상황 평가 보고서가 시장 전망에 영향을 미칠지도 주목되고 있다.
집값 상승·고환율 '현재 진행형'
19일 금융권에 따르면 한은 금융통화위원회는 오는 23일 통화정책방향 회의를 열고 기준금리 인하 여부를 결정한다.
한은은 올해 2월과 5월 경기둔화 우려에 기준금리를 인하했다가 이후 7월과 8월 연속 기준금리를 연 2.5%로 동결했다. 수도권 집값 상승세로 가계부채가 대폭 늘어날 수 있다는 우려였다. 최근 부동산 가격은 한은 기준금리 결정의 주요인이다. 한은 역할은 물가와 통화관리라는 반론도 만만찮게 나오지만 부동산 가격, 월세 변화 등이 물가에 상당한 영향을 미치기 때문에 부동산이라는 요소를 제외하기 어렵다는 입장을 견지하고 있다.
6·27 대출 규제, 9·7 추가 규제에도 수도권 집값 상승 폭이 다시 오르고 있어 기준금리 동결 가능성은 더욱 커지고 있다. 한은의 기준금리 결정을 일주일 앞두고 발표된 '10·15 부동산 대책'에도 시장은 관망 기조를 유지 중이다. 역대급으로 강력하다는 평가이지만 효과를 확인하는 시간이 필요하기 때문에 한은은 움직이지 않을 것이란 분석이다. ▷관련기사: 집값 따라 주담대 한도 '6억→2억'…1주택자 전세대출 DSR 적용(2025.10.14)
안재균 한국투자증권 연구원은 보고서를 통해 ""이번 대책의 효과를 확인하려면 최소 1∼2개월이 필요하다""며 ""당분간 한은이 기준금리를 2.5%로 동결할 가능성이 높아졌다""고 전망했다.
5개월 만에 1400원대로 재진입한 원·달러환율도 변수로 떠올랐다. 지난 17일 원·달러환율은 1421.20원으로 하반기 들어서만 5.3% 올랐다. 시장은 여전히 환율 변동성 우려가 크다고 보고 있다. 이미 미국보다 한국 기준금리가 낮은 상황에서 원화 가치까지 급락하고 있어 한은의 부담이 커졌다는 의견이 적지 않다.
금리 인하, 다음달도 어렵다?
부동산과 고환율이라는 변수가 상존하는 만큼 이달은 물론 다음 달 금통위에서도 금리 인하가 이뤄지지 않을 수 있다는 예측이 나오고 있다.
민지희 미래에셋증권 연구원은 ""한은이 부동산과 환율에 더 주목할 경우 단기간 내 금리인하 기대감이 강화되기 어렵다""면서 ""총재는 10·15 부동산 대책 효과를 확인해야 한다며 추가 인하 시점에 대한 시그널은 명확하게 전달하지 않을 가능성이 높다""고 내다봤다.
김지만 삼성증권 연구원은 ""외환 및 부동산 시장에서의 상황 개선을 확인하기에 11월 금통위 시점까지 시간이 충분할지 의문""이라면서 ""추가 기준 금리 인하가 내년 상반기로 더 지연되거나, 추가 인하가 없을 가능성도 배제하기 어려워졌다""고 설명했다.
사실상 기준금리 인하 시점이 올해 11월 이후로 미뤄진 가운데 한국은행은 오는 22일 '9월 생산자물가지수', 23일 '경제상황 평가' 보고서를 순차 발표한다.
생산자물가지수는 향후 소비자물가를 가늠할 수 있는 지표로 6월과 7월 연속 상승하다 SKT 요금 인하 영향으로 8월 하락 전환했다. 경제상황 평가 보고서에는 최근 반도체 경기와 수출 경상수지 상황에 대한 평가와 전망이 담길 예정이다.",금리인하
머니투데이,금통위 D-3… 환율·집값금리인하발목,네이버뉴스,https://n.news.naver.com/mnews/article/008/0005264806?sid=101,,머니투데이,"전문가들 ""10월 금통위 '금리 동결' 유력""…추가 인하는 11월?","[금통위폴] 채권시장 전문가 10인 만장일치 ""10월 동결""
10명 중 7명은 ""다음 인하는 11월""…연내 인하 없단 의견도
전문가 10인의 한국은행 7월 기준금리 결정 전망/그래픽=최헌정
한국은행이 10월 금융통화위원회에서 3차례 연속 기준금리를 동결할 것으로 전망된다. 전문가들은 꺾이지 않는 서울 집값과 높은 환율 변동성 등을 고려할 때 한은이 이번에도 금리인하를 미룰 것으로 예상했다.
다음 금리인하 시점은 11월 전망이 우세하다. 11월은 연내 마지막 금통위다. 다만 부동산 정책 효과를 확인하는 데 시간이 필요하다는 점에서 내년으로 추가 인하 시점이 지연될 것이란 의견도 있다. 이번 금리인하기의 최종 금리 예상 범위는 1.75~2.25%로 나타났다.
━
전문가 10인 ""10월 금리 동결…부동산 지켜볼 것""
━
19일 머니투데이가 채권시장 전문가 10명을 대상으로 설문한 결과 10명 모두 오는 23일 열리는 금통위에서 한은이 기준금리를 동결할 것으로 전망했다. 현재 우리나라 기준금리는 연 2.5%다.
한은은 지난해 10월부터 지금까지 총 4차례(100bp) 금리인하를 단행했다. 올해 들어선 지난 2월과 5월 금리를 내렸다. 5월 이후 열린 7월과 8월 금통위에선 2차례 연속으로 금리를 동결했다.
전문가들이 10월 금리동결을 유력하게 보는 이유는 '부동산' 때문이다. 6·27 대책 등으로 주춤했던 서울 아파트 거래량이 지난달 말부터 재반등하면서다. 지난 15일 정부가 세 번째 추가 부동산 대책을 내놨지만 효과를 확인하기엔 시간이 부족하다는 평가다.
안예하 키움증권 연구원은 ""정부가 부동산 규제 정책을 발표한 만큼 한은도 정책 공조 차원에서 10월 금리를 동결할 것""이라며 ""환율 변동성도 커졌기 때문에 금융안정 측면을 고려할 필요가 있다""고 말했다.
조용구 신영증권 연구원은 ""경기 측면에선 인하 필요성이 있지만 한미 관세 후속 협상이 지연되면서 원/달러 환율이 1400원선을 넘은 점과 서울 부동산 시장 과열을 고려하면 금리는 동결될 것""이라고 전망했다.
이어 ""10·15 대책 효과를 지켜볼 시간적 여유가 필요하고 자가주거비를 포함하면 물가 수준이 높다는 논거가 강화되고 있다는 점에서도 동결이 확실시된다""고 덧붙였다.
━
다음 인하는 11월?…연내 인하 기대도 후퇴
━
우리나라 기준금리 추이/그래픽=이지혜
시장에서 보는 다음 추가 금리인하 시점은 11월이 우세하다. 관세 영향에 따른 국내 경기 충격과 잠재성장률을 하회하는 성장 경로를 고려하면 금리인하 필요성이 여전하다는 이유에서다. 다만 서울 아파트 가격 상승세와 원/달러 환율이 진정돼야 한다는 조건이 뒤따른다.
김지만 삼성증권 연구원은 ""올해는 잠재성장률의 절반 수준의 성장에 그치고 내년 성장률이 반등한다고 하더라도 지금의 금리 수준으로는 충분하지 않다""며 ""11월 인하를 재개할 것""이라고 말했다.
강승원 NH투자증권 연구원은 ""10월 연방준비제도가 FOMC(연방공개시장위원회)에서 금리를 내릴 것으로 보이고 국내 부동산 대책도 발표됐기 때문에 대책 효과가 확인된다면 11월 인하가 가능하다""고 말했다.
다만 11월까지 금리를 유지하고 내년부터 다시 금리인하를 재개할 것이란 의견도 있다. 안 연구원은 ""11월 금통위 이전까지 이번 부동산 대책 효과를 평가하긴 이른 시간""이라며 ""11월 인하 기대도 크지 않고 내년 2월 다시 금리를 내릴 것""이라고 말했다.
이정훈 유진투자증권 연구원은 ""한 달 사이 아파트 거래량이 급격하게 줄어들지 않는 이상 11월에도 동결 가능성이 높다""며 ""내년 1분기 중 추가 인하가 있을 것""이라고 분석했다.
전문가들은 이번 금리인하기의 최종 금리 수준을 1.75~2.25% 등으로 예상했다. 추가 인하 횟수는 1~3회로 의견이 엇갈렸다.
정용택 IBK투자증권 수석 연구위원은 ""내년 성장률이 한은의 현재 전망보다 나아질 것 같지 않다""며 ""GDP 갭을 기준으로 생각하면 내년 2~3회 더 금리를 내려 1.75~2.0% 수준으로 운용해야 한다고 본다""고 말했다.",금리인하
매일일보,"""10월 금통위 '금리동결' 유력.. 집값·환율에 연내인하불투명""",,,,,,,금리인하
한국경제,"""10·15 대책 집값 못 잡아…금리인하속도 느려질 것""",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005198897?sid=101,,한국경제,"""10·15 대책 집값 못 잡아…금리인하 속도 느려질 것""","한경 이코노미스트클럽 설문…""이달 금리 동결"" 의견일치
공급 대책 빠진 부동산 규제
집값 상승 억제효과 제한적
전문가 20명 중 18명 한목소리
한경 이코노미스트 클럽 경제전문가들은 올해 한국은행 통화정책 방향의 최대 변수로 부동산을 꼽았다. 응답자 20명 중 9명(45%)이 “기준금리 인하를 결정할 때 부동산 가격 상승 및 가계대출 증가세 둔화를 가장 크게 고려할 것”이라고 예상했다. 경기(25%), 외환시장(15%)을 거론한 전문가도 많았다. 두 달 전과 비교하면 매파(통화 긴축 선호)적 전망이 확산한 것으로 분석됐다.
◇ 정부 대책, 부동산 심리 꺾기엔 부족
19일 한경 이코노미스트 클럽 설문에서 20명의 경제전문가 전원이 금리 동결을 예상한 것은 부동산 문제가 해결되지 않고 있다는 판단에서다. 지난해 10월 기준금리 인하 사이클이 시작된 이후 한경 이코노미스트 클럽 경제전문가 전원의 의견이 일치한 것은 지난 5월(인하) 이후 처음이다.
대부분 경제전문가는 정부의 ‘10·15 부동산 대책’ 효과가 제한적이라고 판단했다. 18명(90%)은 “강력한 대책이지만 가격 상승률을 둔화시키는 정도에 그칠 것”으로 예상했다. 효과적인 공급 대책을 주문하는 목소리가 컸다.
박춘성 한국금융연구원 연구위원은 “규제를 통한 수요 억제는 거래를 급감시키겠지만 매도자의 호가를 낮추는 영향은 제한적”이라고 설명했다. 이상호 한국경제인협회 경제산업본부장은 “수요 억제보다 공급 확대가 가격 안정에 효과적”이라고 했다.
석병훈 이화여대 경제학과 교수는 “수도권 핵심지에 신규 주택 공급계획이 없다”며 “규제지역이 확대돼 재건축·재개발 속도가 낮아질 수 있는 점도 문제”라고 지적했다.
한은 부총재 출신인 이승헌 숭실대 경제학과 교수는 “정부 대책에도 불구하고 가격 상승세가 이어질 것”이라고 분석했다. 정부 대책의 효과로 부동산 가격이 내릴 것이라고 본 사람은 한 명도 없었다.
부동산 규제로 수요를 인위적으로 억누르면 부작용이 커질 수 있다는 우려도 제기됐다. 이남강 한국금융지주 이코노미스트는 “서울 아파트 가격 상승 기대는 계속 작동할 것”이라며 “토지거래허가구역 해제 시 응축된 에너지가 폭발할 수 있다”고 지적했다.
◇ 내년도 연 2%대 기준금리
경기 대응 측면에서도 기준금리 인하의 필요성은 줄어든 것으로 분석됐다. 안기태 NH투자증권 이코노미스트는 10월 금리 동결을 예상하면서 “반도체 경기가 개선되고 있다”는 점을 짚었다.
미국의 금리 결정 등 대외 변수가 중요하다는 시각도 있었다. 주원 현대경제연구원 경제연구실장은 “미국과의 금리 격차 해소가 필요하다”고 했다. 김형주 LG경영연구원 경제정책부문장은 “대내외 환경이 불확실한 상황에서 무리한 결정을 피할 것”으로 내다봤다.
한은의 금리 인하 속도는 둔화할 것으로 예상됐다. 이번 설문에서 금리 인하 시점을 묻는 말에 12명(60%)만이 11월을 제시했다. 나머지 8명(40%)은 올해는 금리가 동결될 것으로 봤다. 인하 시점은 내년 1월 2명(10%), 2월 4명(20%) 등으로 갈렸다. 지난 8월 설문조사에선 20명 전원이 연내 최소 1회 이상의 금리 인하가 있을 것으로 예상했다.
경제전문가 20인이 내놓은 한경 점도표의 평균 금리 수준도 높아졌다. 올해 말 기준금리 수준은 평균 연 2.34%로 제시됐다. 연말 금리 수준은 7월 설문 때 연 2.16%에서 8월 연 2.23%로 상승한 뒤 이달에도 올랐다.
이들 전문가는 내년 상반기 말엔 금리가 연 2.15% 수준에 있을 것으로 예상했다. 내년 말 금리 수준은 연 2.05%로 제시했다. 내년 말 연 1%대 금리를 예상한 전문가는 3명(15%)으로, 8월(6명)의 절반 수준으로 급감했다.",금리인하
ifspost,[월街 Watch] WSJ 평론 : 연준을 다시금리인하기조로 바꾼 파월,,,,,,,금리인하
파이낸셜뉴스,글로벌금리인하사이클 진입… 위험·안전 자산 모두 뛴다['에브리싱 ...,네이버뉴스,https://n.news.naver.com/mnews/article/014/0005421256?sid=101,,파이낸셜뉴스,글로벌 금리인하 사이클 진입… 위험·안전 자산 모두 뛴다['에브리싱 랠리' 시대 투자전략(상)],"금·실물·가상자산 투자 다양화
내년 코스피 4300대까지 전망
수출주로 포트폴리오 재편해야
미국 재정적자 확대와 각국 중앙은행의 금리인하로 법정화폐 가치가 흔들리면서 금, 주식, 가상자산이 동시에 오르는 '에브리싱 랠리'가 가속화되고 있다. 금 가격은 연일 급등하며 사상 최고치를 경신하고 있고, 내년 코스피 상단은 4300까지 전망됐다. 이에 증권가 전문가들은 해외매출 비중이 높은 수출주 중심으로 포트폴리오를 재편해야 한다고 조언한다.
■각국 금리인하… 디베이스먼트 확산
19일 금융투자업계에 따르면 세계 각국 정부는 본격적으로 돈을 풀고 있다. 미국 트럼프 2기 행정부는 국내총생산(GDP) 대비 재정적자를 3% 이내로 관리하겠다고 공약했지만, 여전히 6% 안팎의 높은 수준을 유지하고 있다. 한국도 두 차례 추가경정예산 집행을 통해 GDP 대비 4.2% 관리재정수지 적자가 예상된다.
각국의 중앙은행도 금리인하 사이클에 진입하고 있다. 신한투자증권 이재원 연구원은 ""국가부채 확대와 재정균형 우려감이 '디베이스먼트 트레이드(화폐 탈출)' 주장의 기저에 깔려 있다""면서 ""전통적 자산 배분인 60(주식)대 40(채권)에서 탈피해 20%를 금이나 실물자산, 가상자산으로 배분해야 한다는 주장이 나오고 있다""고 전했다.
이에 따라 정부 및 중앙은행이 인위적으로 공급을 조절할 수 없는 금, 은, 비트코인 등 대안자산으로 자금이 몰리고 있다. 특히 최근 국내 금값과 국제 금 가격이 연일 상승세를 보이고 있다. 지난 16일 기준 국내 금현물 가격은 21만8000원(1g)으로 연초 대비 69.3% 급상승했다. 이재원 연구원은 ""국제 금 시세 대비 국내 현물 금가격은 15%가량 고평가된 상황""이라고 말했다.
■코스피, 내년 4000 시대 전망
내년에도 중국과 유럽 중심의 재정지출 증가와 미국 기준금리 인하 기조가 지속될 가능성이 높다. 하나증권 이재만 연구원은 ""유동성 확장 등 통화 공급량 증가는 화폐 가치 하락으로 이어지기 때문에 금, 주식, 가상자산 등 투자자산으로의 자금 유입은 지속될 것""이라고 전망했다.
iM증권 박상현 연구원도 ""글로벌 경제의 펀더멘털이 강하지 않음에도 상승 랠리가 이어지고 있는 배경은 불확실성 리스크 완화, 유동성 확대, 달러화 약세""라며 ""주가 등 위험자산들을 중심으로 한 자산 가격 동반 랠리는 지속될 것""이라고 내다봤다.
이에 따라 코스피와 스탠더드앤드푸어스(S&P)500 지수 상승세도 당분간 이어질 전망이다. 이 연구원은 ""내년 3·4분기 글로벌 유동성 증가율이 정점을 형성하고 하락 전환할 가능성이 높다""며 ""S&P500의 주당순이익(EPS) 증가 등 투자 사이클 확장 속에 코스피의 반도체업종과 반도체 제외 업종 합산 기대수익률은 15%""라고 추산했다. 이를 현재 지수에 적용하면 내년 코스피의 상단은 4300이다.
다만 국내 투자자에게는 원화 약세를 돌파할 투자전략이 요구되고 있다. 이에 증권가에서는 매출이 해외에서 발생하는 수출주일수록 국내 실적 환산 효과가 클 것이라고 입을 모았다. 신한투자증권 노동길 연구원은 ""원화 약세 환경에서는 해외매출 비중이 높은 수출주와 해외 시장을 겨냥한 성장주 중심으로 포트폴리오를 재편해야 한다""고 조언했다.
미래에셋증권 김성근 연구원도 ""국내외 증시에서 인공지능(AI) 테크 기업들의 중요도가 매우 높아진 만큼 빅테크 기업들의 실적 발표도 모니터링할 필요가 있다""고 말했다. 다만 리스크 요인도 공존한다. 김 연구원은 ""미중 무역관계 악화 등 불확실성도 염두에 둬야 한다""면서 ""우선 양국의 아시아태평양경제협력체(APEC) 정상회의 결과에 따라 무역갈등 해소 여부가 판가름날 것 같다""고 덧붙였다.",금리인하
이투데이,"양자컴, 대규모 투자에금리 인하까지 잇따른 호재…관련 ETF 급등",,,,,,,금리인하
한국강사신문,[금값 시세] 날개돋친 금가격에 ETF 한달 수익률만 20% 넘어…기준금리...,,,,,,,금리인하
